ID,CYM,HEB,PoS,score
124,casglu,להגיע,verbs,0.95
125,gŵr,גבר,nouns,3.5
126,bagiau,הקפת כדור הארץ,nouns,0.1
127,buwch,עז,nouns,1.45
128,yn annaturiol,בטבעיות,adverbs,0.5
129,ymofyn,לחפש,verbs,0.8
130,disgleirio,לזהור,verbs,4.45
131,stori,שיר,nouns,1.55
132,gwn,סמל,nouns,0.45
133,cwmni,עסק,nouns,3.6
134,gwydn,קל,adjectives,0.5
135,digwyddiad,התרמה,nouns,1.75
136,dyn,חשוד,nouns,0.75
137,tarth,ענן,nouns,2.4
138,ailgynhesu,חימום מראש,nouns,2.9
139,siriol,מהנה,adjectives,3.35
140,diddanu,לרצות,verbs,1.3
141,beic,חדר שינה,nouns,0.15
142,siriol,שמח,adjectives,5.25
143,mynd  ,לאפשר,verbs,0.05
144,sarsiant,אקדח,nouns,0.45
145,anrhagweledig,בלתי צפוי,adjectives,4.8
146,nod,חיפוש,nouns,1.65
147,dathliad,טקס,nouns,2.65
148,pêl,תותח,nouns,0.8
149,nos,שחר,nouns,0.9
150,sgil,אינטליגנציה,nouns,1.65
151,yn annhebygol,באופן ידידותי,adverbs,0.0
152,wedi blino,רעב,adjectives,0.55
153,tribiwnlys,צדק,nouns,1.5
154,argyhoeddi,להתווכח,verbs,1.05
155,cyfamod,הסכם,nouns,5.25
156,aeddfed,מתוחכם,adjectives,1.65
157,gwraig,אמבטיה,nouns,0.05
158,anghwrtais,ביקורתי,adjectives,1.0
159,cleddyf,כס,nouns,0.65
160,miniog,קהה,adjectives,0.9
161,awdur,יוצר,nouns,3.5
162,coctel,אלכוהול,nouns,2.1
163,prif air,תחביר,nouns,0.6
164,cinio,מרק,nouns,1.55
165,stopio,לשרוק,verbs,0.15
166,dannedd,פטיש,nouns,0.0
167,hawdd,גמיש,adjectives,1.25
168,modfedd,מטר,nouns,1.45
169,yn oddefol,באופן אמין,adverbs,0.6
170,cymysg,ישן,adjectives,0.1
171,cyfreithiwr,תובע,nouns,2.65
172,yn gyfrifol,באופן עצמאי,adverbs,0.8
173,cytuno,לחלוק,verbs,0.55
174,cofleidio,למחוץ,verbs,1.55
175,diplomyddiaeth,הדיינות,nouns,2.1
176,cyllell,אקדח,nouns,1.25
177,blodyn,שיח,nouns,1.75
178,llun,מהומה,nouns,0.1
179,gadael,להגיע,verbs,0.5
180,brifo,להעציב,verbs,0.6
181,pêl-droed,כיף,nouns,0.55
182,buan,זריז,adjectives,4.65
183,casglu,לשמור,verbs,1.9
184,nofio,להיפגש,verbs,0.05
185,jar,כוס,nouns,1.7
186,oer,רגיל,adjectives,0.2
187,pont,קלף,nouns,0.7
188,hyblyg,קל,adjectives,1.25
189,artist,יצירה,nouns,1.4
190,gwenynen,נמלה,nouns,1.25
191,sleid,מצביע,nouns,0.2
192,cystadlu,לסיים,verbs,0.1
193,cwrw,אלכוהול,nouns,2.5
194,cyfreithiol,בטוח,adjectives,0.9
195,bychanu,לנחם,verbs,0.35
196,ufuddhau,להתנהג,verbs,1.6
197,dewis,דעה,nouns,1.2
198,ynys,חצי אי,nouns,2.65
199,pêl-foli,כדור,nouns,2.3
200,swydd,הנהלה,nouns,0.8
201,troed,חול,nouns,0.3
202,sychedig,רעב,adjectives,1.55
203,gwisgedig,מכוסה,adjectives,2.3
204,amddiffyn,לשמור,verbs,4.25
205,ardderchog,רע,adjectives,0.3
206,dyn,אישה,nouns,0.9
207,eirfwrdd,סקי,nouns,2.3
208,yn union,באופן לא מדויק,adverbs,0.5
209,llonydd,ניטרלי,adjectives,1.3
210,bwrw,להעניש,verbs,1.4
211,cwmpawd,פיל,nouns,0.0
212,dyn,לוחם,nouns,1.05
213,arall,הפוך,adjectives,0.8
214,graddio,לסיים,verbs,1.45
215,de,צפון,nouns,1.15
216,hyll,גס,adjectives,0.75
217,cotwm,פוליאסטר,nouns,1.45
218,benthyg,לשמור,verbs,0.65
219,geiser,אביב,nouns,0.0
220,bwlb,פרח,nouns,1.25
221,hysbysu,להבריק,verbs,0.0
222,ysgrifennydd,אישה,nouns,0.85
223,ofnus,ביישן,adjectives,1.9
224,balch,עצוב,adjectives,0.35
225,ymosodol,חצוף,adjectives,1.1
226,theatr,סוללה,nouns,0.0
227,awyren,מסוק,nouns,2.95
228,derbyn,לסלוח,verbs,1.25
229,rhyddhau,ללחוץ,verbs,0.5
230,proffwyd,כומר,nouns,1.6
231,dal,לקבל,verbs,1.45
232,hysteria,בלבול,nouns,1.55
233,diflas,משמים,adjectives,3.35
234,pobl,אוכלוסייה,nouns,2.7
235,bwthyn,ביתן,nouns,3.6
236,newynog,צמא,adjectives,1.55
237,ci hela,שועל,nouns,1.35
238,lluosi,לחלק,verbs,1.1
239,blaengroen,ברית מילה,nouns,1.3
240,aderyn,הודו,nouns,2.15
241,beibl,המנון,nouns,0.5
242,cario ,לקחת,verbs,1.3
243,cyflymder,משרה,nouns,0.3
244,prin,לעולם לא,adverbs,2.65
245,anghytuno,לריב,verbs,1.2
246,llwy,מיץ,nouns,0.3
247,ceisio,להצליח,verbs,1.3
248,ymgeisio,להתכוון,verbs,0.9
249,hydwyll,טיפשי,adjectives,1.6
250,wedi ymlacio,לחוץ,adjectives,0.5
251,ffôn symudol,טלפון,nouns,4.35
252,cyfreithiwr,גלריה,nouns,0.0
253,cardigan,חולצה,nouns,1.45
254,methu,לסמוך,verbs,0.35
255,gardd,צינור,nouns,0.6
256,garw,נוקשה,adjectives,1.2
257,gwely,חדר שינה,nouns,1.75
258,bachgen,אח,nouns,2.1
259,hapusrwydd,מזל,nouns,0.95
260,beic,מכונית,nouns,1.45
261,cwch,מנוע,nouns,1.05
262,cliw,מילה,nouns,0.55
263,cymryd,ללכוד,verbs,1.05
264,angerdd,רגש,nouns,3.55
265,dyweddïo,להתחתן,verbs,1.55
266,boch,לשון,nouns,1.0
267,telesgop,סיעור מוחות,nouns,0.0
268,gwadu,לקבל,verbs,0.3
269,telesgop,כיסא,nouns,0.15
270,danfon,ללכת,verbs,0.9
271,meddyg,מזג,nouns,0.0
272,ystafell wely,בטן,nouns,0.05
273,graff,תרשים,nouns,4.3
274,arian,הון,nouns,3.7
275,bara,קמח,nouns,1.25
276,canol,ארוחה,nouns,0.4
277,tywysoges,לחמניה,nouns,0.0
278,oeraidd,שביר,adjectives,0.4
279,gwych,מצוין,adjectives,5.25
280,gwrando,לשמוע,verbs,3.4
281,dychan,מיתוס,nouns,0.7
282,gwleidydd,שוטר,nouns,0.45
283,noswaith,דמדומים,nouns,3.55
284,cyfnod,עשור,nouns,1.85
285,cwpl,צמד,nouns,5.75
286,plesio,לספק,verbs,3.25
287,plât,קערה,nouns,2.05
288,cyfiawnder,בית דין,nouns,1.5
289,teledu,קולנוע,nouns,1.85
290,yfed,לערבב,verbs,0.6
291,cyffredin,מוזר,adjectives,0.5
292,yn falch,בענווה,adverbs,0.55
293,perlysieuyn,מריחואנה,nouns,2.45
294,pwnc,סולמית,nouns,0.5
295,glaw,ברד,nouns,2.35
296,yn enfawr,בפתיחות,adverbs,0.6
297,afal,לימון,nouns,1.65
298,penderfynu,לחשוב,verbs,1.4
299,cythruddo,לנחש,verbs,0.05
300,naïf,תמים,adjectives,5.4
301,gwydr,תג,nouns,0.2
302,yn fras,בוודאי,adverbs,0.6
303,iâr,הודו,nouns,1.8
304,eliffant,מצפן,nouns,0.0
305,esgob,ארכיבישוף,nouns,3.05
306,finegr,סלט,nouns,0.75
307,penderfynu,לתאר,verbs,0.2
308,beichio,לבכות,verbs,4.3
309,diemwnt,כסף,nouns,1.05
310,gwraidd,דשא,nouns,0.85
311,cyflwr,חוזה,nouns,0.7
312,syml,קשה,adjectives,0.4
313,gwych,נורא,adjectives,0.4
314,yn ddiweddar,כרגע,adverbs,1.05
315,mariwana,עשב,nouns,2.45
316,derwen,מייפל,nouns,1.85
317,nod,מנצח,nouns,0.55
318,patholeg,המטולוגיה,nouns,1.95
319,soffa,כיסא,nouns,2.45
320,cynnig,תרומה,nouns,2.35
321,rhyddid,חופש,nouns,5.55
322,tasg,מטלה,nouns,5.15
323,swper,ארוחת בוקר,nouns,1.75
324,yn garedig,בעדינות,adverbs,0.55
325,cyfuniad,איחוד,nouns,2.55
326,brwydr,לוחמנות,nouns,2.55
327,enaid,אח,nouns,0.1
328,yn fras,באופן אמין,adverbs,0.2
329,bachgen,שותף,nouns,0.55
330,jar,בקבוק,nouns,2.8
331,alaw,מוסיקה,nouns,3.35
332,yma,עכשיו,adverbs,2.5
333,cwyno,לטעון,verbs,1.5
334,gwraig,אישה,nouns,4.85
335,brandi,אלכוהול,nouns,2.4
336,creulon,לא הוגן,adjectives,1.4
337,ysgyfaint,כבד,nouns,1.15
338,yn garedig,בצורה יפה,adverbs,3.35
339,wal,מבצר,nouns,1.0
340,yn onest,בכנות,adverbs,5.0
341,gitâr,כינור,nouns,1.5
342,myfyriwr,מורה,nouns,1.1
343,derbyn,להסכים,verbs,3.6
344,wal,לבנה,nouns,1.45
345,ffon reoli,רדאר,nouns,0.15
346,sinc,זהב,nouns,1.05
347,synhwyrydd,רדיאטור,nouns,0.5
348,deinosor,פיל,nouns,0.65
349,heno,מחר,adverbs,0.75
350,llaw,ציפורן,nouns,1.0
351,yn garedig,בנדיבות,adverbs,2.7
352,deallusrwydd,בורות,nouns,0.5
353,sylfaen,חומצה,nouns,0.6
354,lifft,תיבה,nouns,0.3
355,gwythïen,בטן,nouns,0.55
356,ychydig,בערך,adverbs,0.45
357,digonedd,שפע,nouns,3.85
358,yn ddiogel,בזהירות,adverbs,2.05
359,glaw,טפטוף,nouns,3.45
360,gwallgof,אומלל,adjectives,0.6
361,syniad,תמונה,nouns,0.9
362,hanesyddiaethwr,היסטוריון,nouns,3.0
363,yn onest,לעולם לא,adverbs,0.0
364,purdan,העולם הבא,nouns,1.9
365,alwminiwm,בדיל,nouns,2.0
366,digid,מספר,nouns,5.3
367,mynychu,להתכנס,verbs,0.95
368,yn ysgafn,בנדיבות,adverbs,0.55
369,crefydd,חילוניות,nouns,1.2
370,cenllysg,גשם,nouns,2.35
371,senedd,חוקה,nouns,0.95
372,bachgen,אורז,nouns,0.2
373,cytuno,לרצות,verbs,0.85
374,ysglyfaeth,אל,nouns,0.05
375,ysbrydol,חסר גוף,adjectives,1.2
376,grawnfwyd,חיטה,nouns,2.5
377,tymor,חורף,nouns,2.05
378,benthyg,לתת,verbs,1.75
379,chwerthin,לגחך,verbs,4.6
380,eisiau,לחשוק,verbs,4.35
381,pobl,אקדח,nouns,0.35
382,anghorfforol,רוחני,adjectives,1.2
383,concwest,המנון,nouns,0.25
384,paraseicoleg,נוירופסיכולוגיה,nouns,1.65
385,gwerth,שיעור,nouns,1.7
386,credu,לקבל,verbs,1.4
387,dewis,וריד,nouns,0.0
388,meddal,אלים,adjectives,0.35
389,cnawd,דם,nouns,1.2
390,ysgrifennu,לשרבט,verbs,3.0
391,maddau,להבין,verbs,0.95
392,mam,רעיה,nouns,2.15
393,bwyd,תוכנית,nouns,0.3
394,portreadu,להודיע,verbs,0.6
395,awyren,שדה תעופה,nouns,1.65
396,derbyn,להכחיש,verbs,0.3
397,yn heddychlon,בהרס,adverbs,0.2
398,craig,מכרה,nouns,0.95
399,asetylocolin,איריס,nouns,0.35
400,serameg,קדרות,nouns,3.9
401,misol,שבועי,adjectives,1.25
402,wythnos,סוף שבוע,nouns,1.65
403,dosbarthu,לקבל,verbs,0.55
404,dod i feddiant,להשיג,verbs,3.5
405,yr wyddor,עט,nouns,0.4
406,weithiau,בוודאי,adverbs,0.05
407,log,עץ,nouns,2.55
408,car,גשר,nouns,0.55
409,crio,לצחוק,verbs,0.55
410,caled,פשוט,adjectives,0.4
411,aderyn,נץ,nouns,2.15
412,mynd,להיכנס,verbs,1.3
413,arnofio,לשיר,verbs,0.2
414,pwrs,תיק,nouns,2.3
415,ysbryd,אל,nouns,1.2
416,pleserdaith,מסע,nouns,3.65
417,ymuno,לרכוש,verbs,0.25
418,brandi,יין,nouns,1.7
419,dygnwch,פרח,nouns,0.1
420,rhythm,חשבון,nouns,0.1
421,mynachlog,מקלחת,nouns,0.0
422,canlyn,לחקור,verbs,0.6
423,dwywaith,פעם אחת,adverbs,1.15
424,balchder,מסכן,adjectives,0.15
425,casglu,לסדר,verbs,1.45
426,ymarfer,לחזור,verbs,0.75
427,amgylchedd,חרב,nouns,0.0
428,yn sicr,לפעמים,adverbs,0.05
429,sffer,כדור,nouns,3.4
430,dadlau,להצדיק,verbs,1.1
431,trist,נורא,adjectives,1.7
432,cymryd,למסור,verbs,0.65
433,gwn,תותח,nouns,2.45
434,awyrgylch,זיהום,nouns,0.9
435,ychwanegu,לבנות,verbs,1.7
436,geiriadur,מילה,nouns,1.8
437,ciledrych,לבהות,verbs,0.75
438,da,חריף,adjectives,0.45
439,balch ,חזק,adjectives,0.5
440,clwstwr,קהל,nouns,2.65
441,tatws,חמאה,nouns,0.6
442,cadernid,כוח,nouns,4.55
443,ar unwaith,בקרוב,adverbs,1.95
444,chwalu,לרסק,verbs,4.25
445,pren,קורה,nouns,2.55
446,brechdan,בשר,nouns,0.7
447,myfyrdod,תמונה,nouns,1.25
448,ysgytlaeth,מיץ,nouns,1.55
449,swil,מפוחד,adjectives,1.9
450,apwyntiad,התחייבות,nouns,0.45
451,athro,רב,nouns,2.55
452,aur,אבץ,nouns,1.05
453,perygl,איום,nouns,3.85
454,wedi ei orchuddio,לבוש,adjectives,2.3
455,heddwch,שמחה,nouns,0.9
456,cenedlaethol,מוכר,adjectives,0.6
457,edau,חוט,nouns,4.4
458,yn anarferol,בדרך כלל,adverbs,0.6
459,ffres,חדש,adjectives,3.75
460,llesteirio,לדכא,verbs,2.4
461,ffrind,אורח,nouns,1.35
462,helmed,נשק,nouns,1.15
463,awdur,כישרון,nouns,0.65
464,angenrheidiol,חשוב,adjectives,3.25
465,marw,לקבור,verbs,1.15
466,ystafell,אמבטיה,nouns,0.85
467,gweithiwr,משרד,nouns,0.95
468,tuedd,דעה,nouns,2.6
469,bygythiad,סכנה,nouns,3.85
470,gwddf,זרוע,nouns,0.75
471,haeddu,להשתכר,verbs,0.35
472,gwartheg,פרה,nouns,3.4
473,diangen,הכרחי,adjectives,0.55
474,lwc,שמחה,nouns,0.95
475,actor,זמר,nouns,1.45
476,môr,אוקיינוס,nouns,3.75
477,drws,חלון,nouns,1.15
478,ymuno,לעזוב,verbs,0.55
479,llythyr,פסקה,nouns,1.25
480,hawdd,פשוט,adjectives,3.35
481,anthropoleg,ארכיאולוגיה,nouns,1.75
482,parasetamol,ברונכיטיס,nouns,0.8
483,deallus,מטומטם,adjectives,0.45
484,modryb,דוד,nouns,2.55
485,llawr,דלת,nouns,0.55
486,awyr,שמש,nouns,1.05
487,trefnu,מבולגן,verbs,0.55
488,tacsi,מונית,nouns,5.55
489,corff,לבנים,nouns,0.3
490,cael,לרכוש,verbs,3.5
491,lindys,תולעת משי,nouns,2.25
492,yn drist,רגשית,adverbs,1.5
493,argymell,לייעץ,verbs,3.3
494,wedi cyffroi,מבוהל,adjectives,1.6
495,silff,הר,nouns,0.2
496,danfon,להגיע,verbs,0.45
497,cyhoeddus,פרטי,adjectives,0.55
498,brawdgarwch,דלת,nouns,0.0
499,gwyliadwraeth,חצאית,nouns,0.25
500,yn gyfeillgar,לא סביר,adverbs,0.0
501,arbennig,בעל ערך,adjectives,2.55
502,yn iawn,בינוני,adjectives,1.7
503,yn gyfan gwbl,באופן שולי,adverbs,0.45
504,trwm,גדול,adjectives,1.25
505,taro,לכוון,verbs,0.8
506,dychmygu,להתחזות,verbs,1.45
507,ofnadwy,מעולה,adjectives,0.4
508,denu,להכות,verbs,0.45
509,dewis,להצביע,verbs,3.55
510,goddefol,אלים,adjectives,0.3
511,caledwedd,מקרה,nouns,0.25
512,angenrheidiol,מיותר,adjectives,0.55
513,gwallgof,משוגע,adjectives,4.55
514,cyfraith,לימודים,nouns,0.65
515,gofyn,להתפלל,verbs,1.95
516,piano,הרמוניה,nouns,1.0
517,gynfad,חוף,nouns,0.65
518,caffael,להצטרף,verbs,0.25
519,deall,לקרוא,verbs,0.9
520,gwn,שחר,nouns,0.0
521,llygredd,נשיא,nouns,0.05
522,gorffen,להתחרות,verbs,0.1
523,saeth,מטרה,nouns,1.05
524,cwningen,חתול,nouns,1.15
525,yn aeddfed,בצדקנות,adverbs,0.55
526,biolegydd,מיקרוסקופ,nouns,0.95
527,glaswellt,להב,nouns,0.55
528,ffraeo,לשכנע,verbs,1.05
529,cotwm,סוודר,nouns,0.8
530,esgeuluso,לנשל,verbs,0.65
531,myffin,פטרוזיליה,nouns,0.45
532,lleuad,פלנטה,nouns,2.1
533,ymgeisydd,מנצח,nouns,1.0
534,ongl,עקומה,nouns,2.0
535,hawdd,פגיע,adjectives,0.15
536,cymysgu,לצרף,verbs,3.85
537,pennod,זנב,nouns,0.2
538,corwynt,סערה,nouns,3.4
539,modrwy,אירוסין,nouns,1.85
540,gweiddi,להתווכח,verbs,1.9
541,syml,קל,adjectives,3.35
542,cymysgu,לבשל,verbs,1.15
543,trydanol,מתוק,adjectives,0.0
544,arferol,שונה,adjectives,0.8
545,hyfryd,נפלא,adjectives,2.95
546,yn sicr,בהחלט,adverbs,5.75
547,bwystfil,חיה,nouns,3.15
548,trên,חשמלית,nouns,2.7
549,delta,ים,nouns,1.3
550,pêl,תחפושת,nouns,0.25
551,ymwrthod,לנשל,verbs,1.95
552,anhygoel,מלוכלך,adjectives,0.15
553,band,סבולת,nouns,0.1
554,cerflunwaith,אנדרטה,nouns,4.6
555,gwerthuso,ללמוד,verbs,0.6
556,mynd i mewn,לעזוב,verbs,0.55
557,addurn,קיר,nouns,0.5
558,anifail anwes,חתול,nouns,2.7
559,metel,פח,nouns,2.2
560,wedi tyfu,ילדותי,adjectives,0.55
561,pobl,דולר,nouns,0.05
562,braich,רגל,nouns,1.3
563,gweithiwr,מצלמה,nouns,0.1
564,sigarét,טבק,nouns,2.3
565,meddu ,לשמור,verbs,2.8
566,mêr,דם,nouns,1.0
567,ymuno,להוסיף,verbs,1.15
568,damwain,ספר,nouns,0.0
569,cymryd,לגנוב,verbs,2.35
570,gwellt,משימה,nouns,0.0
571,ffwr,אישה,nouns,0.25
572,dydd  ,בוקר,nouns,1.55
573,clywed,להבחין,verbs,0.95
574,eang,גדול,adjectives,2.9
575,priodol,רשמי,adjectives,1.0
576,economi,מערכת אקולוגית,nouns,0.55
577,hyfforddwyr,מדליה,nouns,0.65
578,beiddgar,גאה,adjectives,0.9
579,bach,עצום,adjectives,0.55
580,dysgu,לבלבל,verbs,0.3
581,o ychydig,לחלוטין,adverbs,0.45
582,algebra,פעולה,nouns,0.7
583,ystadegau,טניס,nouns,0.1
584,wedi blino,משעמם,adjectives,0.85
585,penderfynu,לשפוט,verbs,2.35
586,gwm,מנטה,nouns,0.8
587,glob,עולם,nouns,4.35
588,stumog,וריד,nouns,0.55
589,arholiad,סילבוס,nouns,0.7
590,cwympo,למעוד,verbs,4.55
591,diog,יקר ערך,adjectives,0.0
592,athro,סטודנט,nouns,1.05
593,yn wahanol,נורמלי,adjectives,0.8
594,treisgar,רך,adjectives,0.35
595,caseg,סוס,nouns,3.95
596,hurt,אינטליגנטי,adjectives,0.45
597,symudol,גמיש,adjectives,1.3
598,angor,סירה,nouns,1.2
599,hapus,עליז,adjectives,5.25
600,tramorwr,מתרגם,nouns,0.45
601,gorffwyll,מטורף,adjectives,4.55
602,yn uchel,בעדינות,adverbs,0.2
603,soned,יופי,nouns,0.35
604,am ddim,תמים,adjectives,0.1
605,maes awyr,חלק,nouns,0.1
606,cymryd rhan,לשתף,verbs,1.65
607,ewin,ראש,nouns,0.4
608,byw,לשרוד,verbs,3.05
609,ceffyl,סוסה,nouns,3.95
610,anwybyddu,לעזוב,verbs,0.95
611,nerth,יכולת,nouns,2.25
612,yn drist,נורא,adverbs,0.6
613,band,מצעד,nouns,1.4
614,syth,מעוקל,adjectives,0.55
615,chwydu,לסגור,verbs,0.05
616,cyfeillgar,נדיר,adjectives,0.85
617,yn onest,בנאמנות,adverbs,1.8
618,nos,יום,nouns,0.6
619,ffilm,ניהיליזם,nouns,0.15
620,alcohol,ברנדי,nouns,2.4
621,gwin,ברנדי,nouns,1.7
622,cegin,אמבטיה,nouns,1.2
623,bag,ארנק,nouns,2.3
624,gogwyddo,להטות,verbs,3.85
625,newyddiadur,כתבה,nouns,2.35
626,rhesymeg,חשבון,nouns,1.05
627,meddyg,אורתודונט,nouns,1.8
628,plesio,להפציר,verbs,0.3
629,cyfeiliornus,לא אמין,adjectives,1.6
630,haearn,ויטמין,nouns,1.25
631,braisg,גדול,adjectives,3.9
632,nôl rhywbeth,לקנות,verbs,1.0
633,ffôl,מטומטם,adjectives,4.65
634,cyhuddo,לשפוט,verbs,2.6
635,cul,דק,adjectives,3.35
636,gadael,להופיע,verbs,0.35
637,yn ddibynadwy,באופן אחראי,adverbs,3.2
638,awdur,רומן,nouns,1.4
639,ffroenell,נוזל,nouns,0.45
640,arian cyfred,חליפין,nouns,1.0
641,synnwyr,אינטואיציה,nouns,4.2
642,cig,כריך,nouns,0.7
643,anelu,להכות,verbs,0.8
644,troi allan,להשאיר,verbs,0.7
645,ton,מזג אוויר,nouns,0.3
646,amlwg,חבוי,adjectives,0.5
647,arloeswr,קשת,nouns,0.15
648,anwybyddu,להימנע,verbs,2.4
649,atwrnai,פרקליט,nouns,4.35
650,canfod,לשמוע,verbs,0.95
651,cloch,דלת,nouns,0.75
652,tiwtora,לחנך,verbs,3.9
653,maint,גודל,nouns,3.35
654,coflaid,לחנוק,verbs,0.45
655,danfon,להביא,verbs,1.15
656,sylweddol,זעיר,adjectives,0.45
657,llywodraeth,לטאה,nouns,0.05
658,dweud yn gyhoeddus,להכריז,verbs,4.3
659,concwest,קרב,nouns,2.2
660,diymhongar,גמיש,adjectives,0.3
661,beio,לדחוף,verbs,0.25
662,llyfr,כתב יד,nouns,1.45
663,llwyn,פרח,nouns,1.75
664,cadw,להישאר,verbs,0.5
665,brwnt,צר,adjectives,0.0
666,gorllewin,צפון,nouns,1.5
667,coch,כחול,adjectives,1.1
668,ffrio,לבשל,verbs,2.05
669,profocio,לפגוע,verbs,1.5
670,traeth,ים,nouns,2.05
671,seler,דלת,nouns,0.55
672,gwirod,להקה,nouns,0.0
673,iâr,ציפור,nouns,2.2
674,benthyca,לתת,verbs,2.5
675,cyfalaf,כסף,nouns,3.7
676,plentyn,מבוגר,nouns,1.1
677,ysbryd,מנורה,nouns,0.45
678,addysgu,ללמד,verbs,3.9
679,gwthio,למשוך,verbs,0.55
680,yn bwysig,רשמית,adverbs,1.6
681,aneglur,מעורפל,adjectives,4.15
682,dur,סגסוגת,nouns,2.3
683,haint,נטייה,nouns,0.05
