ID,FIN,RUS,PoS,score
96,tukki,ванна,nouns,0.0
97,vihamielisyys,агрессивность,nouns,5.05
98,kauhea,плохой,adjectives,3.9
99,vehnä,злак,nouns,3.1
100,todennäköisesti,возможно,adverbs,3.15
101,tarkalleen,неаккуратно,adverbs,0.2
102,kurpitsa,кровь,nouns,0.3
103,tehdä,происходить,verbs,1.65
104,iso,легкий,adjectives,0.0
105,keisari,конституция,nouns,0.35
106,kaava,уравнение,nouns,3.2
107,jalkaterä,база,nouns,0.1
108,taivas,мечта,nouns,0.25
109,miehet,братство,nouns,0.95
110,neutraali,спокойный,adjectives,1.45
111,kieltäminen,признание,nouns,0.2
112,arvokas,особый,adjectives,2.35
113,luonto,флора,nouns,2.65
114,tyydyttää,угождать,verbs,2.55
115,hyökätä,повредить,verbs,0.5
116,riutta,пляж,nouns,0.95
117,suojella,покрывать,verbs,2.9
118,viestintä,язык,nouns,1.6
119,juoma,пиво,nouns,2.5
120,jauho,хлеб,nouns,1.35
121,valopuhelin,омофон,nouns,0.1
122,suostutella,добиваться,verbs,0.9
123,luu,зубы,nouns,1.65
124,huuli,бедро,nouns,0.95
125,seurata,гнаться,verbs,3.1
126,sinkki,золото,nouns,0.9
127,surullinen,гордый,adjectives,0.05
128,osallistua,спорить,verbs,0.15
129,vaatia,спорить,verbs,0.8
130,äänioikeus,выход,nouns,0.0
131,joustava,эластичный,adjectives,4.55
132,valinta,выборы,nouns,2.4
133,teoria,гипотеза,nouns,3.6
134,metalli,олово,nouns,1.2
135,vahva,гордый,adjectives,0.8
136,sulttaani,министерство,nouns,0.1
137,strutsi,плодовый сад,nouns,0.0
138,ihailla,обожать,verbs,4.05
139,auto,велосипед,nouns,0.9
140,työnantaja,работник,nouns,1.0
141,oikeudenmukaisuus,суд,nouns,1.6
142,sivuuttaa,распечатать,verbs,0.0
143,saada kiinni,захватить,verbs,2.5
144,etelä,север,nouns,0.8
145,säveltäjä,писатель,nouns,1.05
146,demokratia,монархия,nouns,0.85
147,valkoinen,узкий,adjectives,0.0
148,tiedottaa,сообщать,verbs,4.9
149,auto,танк,nouns,1.15
150,syöpä,болезнь,nouns,1.1
151,morsian,принцесса,nouns,0.4
152,loukata,беспокоить,verbs,0.8
153,rauhallisesti,хаотично,adverbs,0.3
154,mieletön,довольный,adjectives,0.1
155,apokalypsi,пожар,nouns,0.65
156,negatiivinen,никогда,adjectives,1.45
157,kummallinen,чудной,adjectives,5.2
158,riisi,мальчик,nouns,0.0
159,toimittaja,поэт,nouns,0.8
160,tapetti,фон,nouns,1.75
161,kirja,библия,nouns,2.05
162,merkittävästi,официально,adverbs,0.7
163,tuoli,телескоп,nouns,0.0
164,tekijöihinjako,разложение,nouns,0.8
165,koe,учебный план,nouns,0.6
166,pallo,сфера,nouns,1.65
167,kylki,верх,nouns,0.45
168,nainen,мех,nouns,0.2
169,ranne,кисть,nouns,2.3
170,juoruilu,новость,nouns,1.7
171,järjestää,нуждаться,verbs,0.0
172,torjunta-aine,вредитель,nouns,0.75
173,viulu,инструмент,nouns,2.65
174,älykkyys,навык,nouns,1.15
175,antaa anteeksi,принимать,verbs,1.4
176,kohdella,платить,verbs,0.1
177,teksti,книга,nouns,2.35
178,ilmapallo,ванна,nouns,0.05
179,uusi,старый,adjectives,0.3
180,mielipide,идея,nouns,2.0
181,nujertaa,доминировать,verbs,2.2
182,puoli,низ,nouns,0.45
183,geisir,весна,nouns,0.1
184,hauskanpito,футбол,nouns,0.7
185,vatsa,вена,nouns,0.8
186,sulautua,комбинировать,verbs,3.35
187,kehitys,сбор пожертвований,nouns,0.0
188,tyttö,ребенок,nouns,2.15
189,ihmiset,ружье,nouns,0.05
190,ihmiset,цент,nouns,0.05
191,sentti,размер,nouns,0.95
192,suo,озеро,nouns,1.0
193,heppu,товарищ,nouns,1.35
194,yö,день,nouns,0.7
195,korvaus,вознаграждение,nouns,3.2
196,kukka,луковица,nouns,0.3
197,pitää,владеть,verbs,1.45
198,moraali,легенда,nouns,0.3
199,auto,автомобиль,nouns,5.85
200,vaalit,выбор,nouns,2.4
201,presidentti,мэр,nouns,1.4
202,valmistaja,создатель,nouns,3.9
203,hätätilanne,происшествие,nouns,4.05
204,itsevarmasti,тайно,adverbs,0.05
205,kulmakarva,глаз,nouns,0.85
206,tavallinen,странный,adjectives,0.25
207,solu,комната,nouns,1.25
208,makea,электрический,adjectives,0.0
209,myöntyä,различаться,verbs,0.0
210,asianmukainen,вежливый,adjectives,2.3
211,kyynel,глаз,nouns,0.95
212,poika,ребенок,nouns,2.55
213,maksa,орган,nouns,2.1
214,harvinainen,скудный,adjectives,2.05
215,toimittaa,принимать,verbs,0.1
216,rentoutunut,напряжённый,adjectives,0.25
217,sentti,жена,nouns,0.0
218,ennustaa,полагать,verbs,2.0
219,päättää,думать,verbs,1.85
220,pehmeästi,громко,adverbs,0.05
221,pilvi,буря,nouns,1.05
222,laillinen,допущенный,adjectives,3.4
223,balladi,песня,nouns,3.95
224,häpeissään oleva,расстроенный,adjectives,0.75
225,nyyhkyttää,плакать,verbs,4.55
226,vyö,петля,nouns,0.6
227,miekkailu,гимнастика,nouns,1.05
228,säilyttää,оставаться,verbs,1.0
229,tavata,приветствовать,verbs,1.9
230,olennaisesti,критично,adverbs,0.9
231,ajaa,бежать,verbs,0.65
232,laajentaa,расти,verbs,3.25
233,prinssi,король,nouns,1.65
234,tuomita,обвинять,verbs,3.15
235,palvelija,рабыня,nouns,2.0
236,kastella,уменьшить,verbs,0.0
237,aikuinen,младенец,nouns,0.8
238,hyökätä,преступление,nouns,0.35
239,massiivisesti,открыто,adverbs,0.2
240,patogeeni,микроб,nouns,5.0
241,toukka,шелкопряд,nouns,3.2
242,erityisesti,значительно,adverbs,0.5
243,laittaa,получать,verbs,0.25
244,käsityö,традиция,nouns,0.55
245,matka,завование,nouns,0.25
246,kylpy,бревно,nouns,0.0
247,veljeskunta,дверь,nouns,0.0
248,kaapeli,волшебник,nouns,0.0
249,robotiikka,симуляция,nouns,0.8
250,järkyttää,отговаривать,verbs,0.3
251,ooppera,кино,nouns,0.95
252,korkeakoulu,класс,nouns,0.7
253,laulusolisti,штат сотрудников,nouns,0.0
254,oppia,оценивать,verbs,1.55
255,tarttua,схватывать,verbs,0.85
256,purkki,бутылка,nouns,1.9
257,rauta,витамин,nouns,0.85
258,jättää,оставаться,verbs,0.55
259,vuosikymmen,эпоха,nouns,1.6
260,häätää,освобождать,verbs,1.35
261,käärme,ящерица,nouns,1.7
262,tuoda,нести,verbs,2.0
263,turkki,норка,nouns,2.0
264,epäsäännöllisesti,обычно,adverbs,0.3
265,neuletakki,рубашка,nouns,1.2
266,oppia,слушать,verbs,0.65
267,joki,долина,nouns,0.7
268,kiistellä,убеждать,verbs,1.15
269,huutaa,орать,verbs,4.9
270,uusi,свежий,adjectives,4.0
271,saavuttaa,завершать,verbs,2.3
272,huippu,низ,nouns,0.35
273,tykkivene,берег,nouns,0.25
274,yksinkertainen,трудный,adjectives,0.0
275,vartalo,плечо,nouns,1.3
276,luoda,нырять,verbs,0.0
277,kappale,конец,nouns,0.1
278,valloitus,псалом,nouns,0.0
279,rukoilla,просить,verbs,1.45
280,löytää,исчезать,verbs,0.15
281,veri,тело,nouns,0.9
282,varallisuus,слава,nouns,0.8
283,olla arvoinen,зарабатывать,verbs,3.05
284,sotkuinen,уродливый,adjectives,0.45
285,olla eri mieltä,бороться,verbs,0.8
286,lasi,значок,nouns,0.0
287,joukkio,толпа,nouns,4.6
288,kartta,площадь,nouns,0.35
289,sallittu,легальный,adjectives,3.4
290,poliisi,политик,nouns,0.45
291,pesäpallo,кушетка,nouns,0.25
292,poika,ребенок,nouns,2.75
293,keskinkertainen,хороший,adjectives,0.65
294,uloskäynti,избирательное право,nouns,0.0
295,harvoin,обычно,adverbs,0.2
296,väliaine,новость,nouns,0.2
297,pankki,сиденье,nouns,0.0
298,pelästynyt,стеснительный,adjectives,0.7
299,tuhota,создавать,verbs,0.25
300,poika,солдат,nouns,1.1
301,selvästi,конечно,adverbs,2.95
302,taistelu,воинственность,nouns,1.9
303,poika,брат,nouns,1.55
304,kurkku,язык,nouns,1.2
305,epärehellinen,плохой,adjectives,1.35
306,joskus,когда,adverbs,0.6
307,aktiivisesti,точно,adverbs,0.25
308,tuhota,строить,verbs,0.2
309,antaa,отказывать,verbs,0.05
310,ovela,выносливый,adjectives,0.65
311,huomio,интерес,nouns,3.65
312,usva,дождь,nouns,2.0
313,infektio,болезнь,nouns,3.3
314,tietosanakirja,словарь,nouns,2.55
315,häätää,покидать,verbs,0.8
316,ei koskaan,щедро,adverbs,0.05
317,olosuhde,ситуация,nouns,4.3
318,pekoni,боб,nouns,0.3
319,jogurtti,коро́ва,nouns,0.3
320,sotilas,мальчик,nouns,1.1
321,moottori,поршень,nouns,1.75
322,prinsessa,бисквит,nouns,0.0
323,sekoittaa,растворять,verbs,1.5
324,sopimus,пакт,nouns,4.65
325,kirjailija,дар,nouns,0.4
326,raha,наличные,nouns,3.6
327,suojella,помогать,verbs,2.3
328,huuli,рот,nouns,1.65
329,rynnätä,торопиться,verbs,2.9
330,vaihto,замена,nouns,4.4
331,papu,рис,nouns,0.9
332,vaihtaa,изменять,verbs,2.75
333,seutu,область,nouns,4.5
334,partio,армия,nouns,1.2
335,paha,виноватый,adjectives,0.7
336,valita,решать,verbs,2.25
337,tiili,стена,nouns,0.9
338,kerätä,организовать,verbs,1.6
339,aineeton,духовный,adjectives,2.9
340,omena,лимон,nouns,1.15
341,veli,сестра,nouns,1.65
342,alumiini,банка,nouns,0.35
343,alkoholi,джин,nouns,2.45
344,kuuluisuus,богатство,nouns,0.8
345,pahentaa,беспокоить,verbs,0.25
346,valmistua,заканчивать,verbs,2.95
347,risti,монах,nouns,0.95
348,keisari,губернатор,nouns,1.15
349,jahdata,ловить,verbs,1.6
350,painava,большой,adjectives,1.45
351,kuningas,принц,nouns,1.65
352,liina,одежда,nouns,1.2
353,halveksia,обвинять,verbs,0.15
354,taistella,укусить,verbs,0.85
355,tuuma,ярд,nouns,1.6
356,kunto,мальчик,nouns,0.0
357,hyppy,забор,nouns,0.4
358,tutka,джойстик,nouns,0.45
359,epäselvä,смутный,adjectives,4.5
360,mato,вредоносные программы,nouns,1.45
361,turvautua,провалиться,verbs,0.1
362,taifuuni,циклон,nouns,4.25
363,opettaa,наказать,verbs,0.35
364,lammas,скот,nouns,2.85
365,pelokas,встревоженный,adjectives,3.35
366,johtokunta,руководство,nouns,3.9
367,hyväntuulinen,счастливый,adjectives,4.0
368,kello,башня,nouns,0.65
369,uskomus,ценность,nouns,1.0
370,kuvitella,притворяться,verbs,1.65
371,toistaa,практиковаться,verbs,2.1
372,lopullisesti,конечно,adverbs,2.8
373,ovi,подвал,nouns,0.5
374,köyhyys,богатство,nouns,0.4
375,kasvi,сельское хозяйство,nouns,0.9
376,supistaa,ограничивать,verbs,3.0
377,isä,бог,nouns,0.85
378,poika,состояние,nouns,0.0
379,liittää,отделять,verbs,0.2
380,setä,мужчина,nouns,2.55
381,kiivetä,путешествовать,verbs,1.2
382,olla eri mieltä,соглашаться,verbs,0.25
383,hävitä,пропадать,verbs,5.25
384,ilmapallo,народ,nouns,0.0
385,siirrettävä,гибкий,adjectives,1.0
386,peli,сноровка,nouns,0.9
387,utu,облако,nouns,2.8
388,kiistellä,различаться,verbs,0.25
389,kuorma-auto,автомобиль,nouns,2.85
390,kutistua,исчезать,verbs,1.25
391,normaalisti,ежедневно,adverbs,1.5
392,pitää,занимать,verbs,0.3
393,intiimi,личный,adjectives,4.05
394,hallittu,беспорядочный,adjectives,0.3
395,huippu,бок,nouns,0.45
396,korvaus,монета,nouns,0.9
397,tiedustella,думать,verbs,0.65
398,mielekkäästi,специально,adverbs,0.5
399,säännöllinen,невежественный,adjectives,0.05
400,valita,хотеть,verbs,0.7
401,enimmäkseen,глубоко,adverbs,0.3
402,biologia,анатомия,nouns,1.9
403,lista,матрица,nouns,0.65
404,valehdella,обвинять,verbs,0.15
405,ruokavalio,салат,nouns,0.9
406,liittyä,приобретать,verbs,0.15
407,huilu,музыка,nouns,0.95
408,aamunkoitto,день,nouns,1.55
409,päivä ,рассвет,nouns,1.55
410,vikkelä,скоростной,adjectives,4.25
411,eteishalli,коридор,nouns,3.8
412,ylpeä,высокомерный,adjectives,2.5
413,vaatimaton,пристыженный,adjectives,0.45
414,esteettömyys,цензура,nouns,0.4
415,molekyyli,воздух,nouns,0.75
416,hevonen,собака,nouns,0.95
417,kolikko,оплата,nouns,0.9
418,sulkea,срыгивать,verbs,0.0
419,professori,доктор,nouns,1.9
420,turvallisesti,счастливо,adverbs,0.65
421,kuuluttaa,провозглашать,verbs,4.6
422,ekseema,дерматит,nouns,3.55
423,meri,цунами,nouns,1.0
424,piispa,архиепископ,nouns,3.15
425,käsilaukku,сумка,nouns,4.15
426,anteliaasti,любезно,adverbs,1.75
427,syyttää,обвинять,verbs,4.2
428,ennen,после,adverbs,0.2
429,seinä,отделка,nouns,0.75
430,vahvistaa,разрешать,verbs,2.6
431,sovinisti,предубеждение,nouns,1.1
432,voitto,триумф,nouns,3.95
433,entropia,информация,nouns,0.15
434,miekka,окружение,nouns,0.2
435,varainkeruu ,развитие,nouns,0.0
436,lasi,хрусталь,nouns,2.75
437,mehu,яблоко,nouns,0.85
438,pelästyttää,преследовать,verbs,1.2
439,epäreilusti,необоснованно,adverbs,2.1
440,ajatella,размышлять,verbs,5.2
441,vesi,лед,nouns,2.3
442,ammatti,колледж,nouns,0.55
443,paha,великолепный,adjectives,0.05
444,sanoa,выражать,verbs,3.25
445,kirjallisuus,слово,nouns,0.95
446,viski,шампанское,nouns,1.25
447,antaa anteeksi,забывать,verbs,1.05
448,häntä,глава,nouns,0.1
449,taimi,лист,nouns,1.05
450,kappeli,кабель,nouns,0.0
451,riippua,полагаться,verbs,1.9
452,vuosisata,десятилетие,nouns,0.85
453,majatalo,мотель,nouns,4.0
454,lujasti,спокойно,adverbs,0.3
455,hyytävä,грубый,adjectives,0.35
456,manageri,глава,nouns,3.8
457,sairaus,жар,nouns,1.95
458,nainen,секретарь,nouns,0.75
459,kouluttaja,учитель,nouns,4.8
460,alkoholi,пиво,nouns,2.5
461,ilmoittaa,изображать,verbs,0.15
462,monitahokas,актер,nouns,0.05
463,epänormaalisti,обычно,adverbs,0.2
464,ruusu,бабочка,nouns,0.45
465,kerätä,встряхивать,verbs,0.1
466,keitto,ужин,nouns,1.35
467,tuoli,табуретка,nouns,3.6
468,työ,управление,nouns,1.05
469,mieli,мозги,nouns,1.95
470,jumala,дьявол,nouns,0.85
471,sää,волна,nouns,0.35
472,laulu,история,nouns,0.4
473,tukahduttaa,жечь,verbs,0.25
474,lehmä,коза,nouns,1.0
475,istunto,пациент,nouns,0.25
476,juna,трамвай,nouns,2.1
477,ääni,акустика,nouns,2.6
478,suositella,принимать,verbs,0.85
479,passiivisesti,надёжно,adverbs,0.05
480,itseluottamus,самость,nouns,1.9
481,lannistaa,подбодрять,verbs,0.25
482,epätäsmällisesti,точно,adverbs,0.2
483,veli,мальчик,nouns,1.8
484,halkaista,отрывать,verbs,1.45
485,kieleke,гора,nouns,0.8
486,rytmi,каденция,nouns,1.0
487,tunteellisesti,грустно,adverbs,1.45
488,veri,мозг,nouns,0.3
489,kirja,статья,nouns,1.3
490,fantasia,реальность,nouns,0.45
491,hunaja,молочные продукты,nouns,0.1
492,liueta,смешивать,verbs,1.5
493,armeija,отряд,nouns,1.2
494,asunto,мебель,nouns,0.75
495,unohtaa,знать,verbs,0.2
496,esitys,камея,nouns,0.5
497,sopimus,прореха,nouns,0.0
498,työntekijä,работодатель,nouns,1.0
499,supistaa,сжиматься,verbs,3.1
500,tarpeeton,необходимый,adjectives,0.25
501,aita,прыжки,nouns,0.4
502,mieto,острый,adjectives,0.0
503,iso,национальный,adjectives,0.15
504,hirveä,прекрасный,adjectives,0.2
505,yhtye,спиртное,nouns,0.15
506,suuri,гибкий,adjectives,0.2
507,atomi,углерод,nouns,1.5
508,lainmukainen,нелегальный,adjectives,0.3
509,kriittinen,грубый,adjectives,0.6
510,tiedottaa,полировать,verbs,0.0
511,auttaa,просить,verbs,0.3
512,legioona,армия,nouns,2.25
513,suru,счастье,nouns,0.25
514,peittelemätön,неизвестный,adjectives,0.25
515,lykätä,заканчивать,verbs,0.25
516,kiireellisesti,быстро,adverbs,4.25
517,matka,поездка,nouns,4.4
518,ortodontti,врач,nouns,2.1
519,samanaikaisuus,валюта,nouns,0.0
520,teoria,химия,nouns,0.7
521,mökki,домик,nouns,4.0
522,mielettömästi,громко,adverbs,0.6
523,kuoro,церковь,nouns,0.95
524,viisaus,ум,nouns,3.7
525,isä,сын,nouns,1.15
526,mekaanisesti,идеально,adverbs,0.05
527,morsian,жених,nouns,1.05
528,ikkuna,крыша,nouns,0.9
529,antaa,красть,verbs,0.15
530,jumala,священник,nouns,1.0
531,virkkaus,форма,nouns,0.2
532,kantaa,родить,verbs,1.05
533,iltahämärä,вечер,nouns,3.35
534,kuvanveistäjä,особняк,nouns,0.3
535,ehkäpä,наверное,adverbs,3.15
536,säilytysastia,мышь,nouns,0.0
537,tuhoeläin,пестицид,nouns,0.75
538,suoni,вена,nouns,3.45
539,diplomatia,переговоры,nouns,2.1
540,nöyrästi,неудачно,adverbs,0.05
541,johtaja,руководитель,nouns,3.8
542,merenranta,пляж,nouns,2.95
543,lakimies,банкир,nouns,0.95
544,saapua,посещать,verbs,0.9
545,epäröivä,гневный,adjectives,0.35
546,syyllinen,плохой,adjectives,0.7
547,luoja,автор,nouns,4.15
548,kauneus,возраст,nouns,0.4
549,tuulenpuuska,ветер,nouns,4.2
550,rotta,мышь,nouns,2.5
551,juliste,бумага,nouns,2.25
552,tennis,статистика,nouns,0.0
553,kuvitella,создавать,verbs,0.75
554,demoni,ангел,nouns,0.5
555,lähettää,получать,verbs,0.25
556,tyhmä,дурацкий,adjectives,2.9
557,keidas,свобода,nouns,0.1
558,unohtaa,помнить,verbs,0.1
559,polkupyörä,спальня,nouns,0.0
560,rannikkoalue,канонерская лодка,nouns,0.25
561,suurenmoinen,плохой,adjectives,0.2
562,teeskennellä,воображать,verbs,1.65
563,halata,душить,verbs,0.55
564,pilli,псалом,nouns,0.1
565,psykologia,наука,nouns,1.95
566,sähköinen,механический,adjectives,0.7
567,valita,отклонять,verbs,0.1
568,ontua,ходить,verbs,1.55
569,mies,женщина,nouns,0.65
570,myytti,сатира,nouns,0.6
571,uusi,старый,adjectives,0.2
572,varmasti,иногда,adverbs,0.3
573,taksi,автомобиль,nouns,3.0
574,muu,противолежащий,adjectives,0.75
575,vaatteet,ткань,nouns,1.57
576,kuvata,уведомлять,verbs,0.15
577,naudanliha,мясо,nouns,3.0
578,liha,бекон,nouns,2.75
579,yksityinen,общественный,adjectives,0.2
580,paha,ужасный,adjectives,4.0
581,vero,доход,nouns,0.7
582,kummallinen,скрытный,adjectives,0.85
583,äänekkäästi,безумно,adverbs,0.6
584,tulla,приносить,verbs,1.0
585,äiti,подруга,nouns,1.0
586,määrittää,предсказывать,verbs,0.85
587,rikos,атака,nouns,0.35
588,julma,несправедливый,adjectives,1.75
589,epäluonnollisesti,отрицательно,adverbs,0.3
590,tajuta,обнаруживать,verbs,3.1
591,onnellinen,довольный,adjectives,3.6
592,vaatimaton,покладистый,adjectives,1.2
593,lintu,курица,nouns,2.45
594,omituisesti,иначе,adverbs,1.8
595,vaivata,обострять,verbs,0.25
596,jahdata,следовать,verbs,3.1
597,tulla,посещать,verbs,1.75
598,tunnettu,хороший,adjectives,0.1
599,tarpeellinen,важный,adjectives,4.1
600,mielekkäästi,глубоко,adverbs,0.9
601,tukea,ассистировать,verbs,4.55
602,tuli,апокалипсис,nouns,0.65
603,stressaantunut,расслабленный,adjectives,0.25
604,käsivarsi,мускул,nouns,1.15
605,aloittaa,происходить,verbs,0.55
606,keksi,принцесса,nouns,0.0
607,artikkeli,журнал,nouns,1.4
608,terminaalisesti,иначе,adverbs,0.15
609,enkeli,демон,nouns,0.5
610,tienraivaaja,лучник,nouns,0.4
611,nihilismi,фильм,nouns,0.0
612,kalenteri,праздник,nouns,0.8
613,molekyyli,матрица,nouns,0.5
614,päättää,выбирать,verbs,2.25
615,puhdashenkinen,скромный,adjectives,0.5
616,puuvilla,полиэстер,nouns,0.85
617,iloinen,рассерженный,adjectives,0.1
618,kierrellä,бродить,verbs,3.5
619,antaa,одалживать,verbs,1.8
620,tuoda,жаловаться,verbs,0.1
621,tyttö,парень,nouns,0.55
622,huomio,осведомленность,nouns,1.5
623,tilanne,состояние,nouns,1.85
624,nuoli,мишень,nouns,0.55
625,tee,лимон,nouns,0.7
626,idea,мнение,nouns,2.0
627,hankkia,объединяться,verbs,0.15
628,taiteilija,искусства,nouns,1.05
629,virkailija,лейтенант,nouns,1.35
630,raamattu,псалом,nouns,1.5
631,galleria,адвокат,nouns,0.0
632,saari,задача,nouns,0.0
633,neliö,карта,nouns,0.35
634,poissa,домой,adverbs,0.35
635,kansi,судно,nouns,1.0
636,planeetta,звезда,nouns,2.25
637,paha,нечестный,adjectives,1.35
638,lenkkikengät,медаль,nouns,0.2
639,fiktio,биография,nouns,1.0
640,muinainen,новый,adjectives,0.2
641,lentäjä,водитель,nouns,2.4
642,sosiobiologia,мутант,nouns,0.25
643,onnistua,проваливать,verbs,0.2
644,sotaisuus,бой,nouns,1.9
645,vene,палуба,nouns,1.0
646,lukija,писатель,nouns,0.95
647,oppilas,президент,nouns,0.35
648,saavuttaa,получать,verbs,0.95
649,koira,кошка,nouns,0.9
650,tapahtua,действовать,verbs,1.65
651,poika,брат,nouns,1.8
652,tiede,психология,nouns,1.95
653,raivo,злость,nouns,4.45
654,varovaisuus,забота,nouns,1.7
655,mitali,тренери,nouns,0.2
656,laiska,драгоценный,adjectives,0.0
657,liike,действие,nouns,2.5
658,lukukausimaksu,стипендия,nouns,0.65
659,homofoni,фотофон,nouns,0.1
660,laitteisto,дело,nouns,0.15
661,laulu,исполнитель,nouns,0.95
662,minttu,музей,nouns,0.0
663,pekoni,завтрак,nouns,0.95
664,talo,ковер,nouns,0.65
665,kulttuuri,общество,nouns,1.5
666,työ,инструмент,nouns,0.7
667,jakku,одежда,nouns,1.75
668,kirja,авария,nouns,0.0
669,katto,окно,nouns,0.9
670,korvaus,гонорар,nouns,3.8
671,kieli,мускул,nouns,1.3
672,hämätä,учить,verbs,0.0
673,saada selville,осознавать,verbs,3.1
674,kovakouraisesti,очевидно,adverbs,0.0
675,munkki,крест,nouns,0.95
676,leipä,мука,nouns,1.35
677,itkeä,реветь,verbs,4.55
678,kaoottisesti,мирно,adverbs,0.3
679,televisio,актер,nouns,0.8
680,toimittaa,носить,verbs,1.05
681,kaareva,агрессивный,adjectives,0.0
682,kapea,грязный,adjectives,0.0
683,tietää,забывать,verbs,0.2
684,vetäytyä,покидать,verbs,2.85
685,papu,кофе,nouns,0.7
686,kertoa,складывать,verbs,0.9
687,laukaista,отправить,verbs,2.4
688,käsivarsi,ветка,nouns,0.25
689,vastapäinen,уникальный,adjectives,0.3
690,kotona,далеко,adverbs,0.35
691,kerran,дважды,adverbs,0.6
692,johtokunta,мышь,nouns,0.35
693,kantaa,брать,verbs,0.4
694,aihe,история,nouns,0.8
695,tukija,крикет,nouns,0.0
696,viheltää,останавливаться,verbs,0.05
697,tsunami,море,nouns,1.0
698,väkivaltainen,мягкий,adjectives,0.1
699,löytää,убегать,verbs,0.2
700,suihku,монастырь,nouns,0.0
701,ajokoira,лиса,nouns,0.9
702,torjua,принимать,verbs,0.25
703,vilpittömästi,честно говоря,adverbs,4.6
704,ryhmä,список,nouns,0.65
705,laulaja,хор,nouns,1.7
706,jäähdytin,датчик,nouns,0.25
707,lumivyöry,снег,nouns,1.75
708,huolellisesti,опасно,adverbs,0.15
709,potilas,сессия,nouns,0.25
710,herättää,храпеть,verbs,0.3
711,helposti,грубо,adverbs,0.15
