ID,EST,FIN,PoS,score
197,edu saavutama,epäonnistua,verbs,0.5
198,puur,vene,nouns,0.25
199,taassoojendama,esilämmitys,nouns,1.2
200,kondensaator,diodi,nouns,1.5
201,kohut mõistma,todistaa,verbs,0.8
202,täpselt,tarkalleen,adverbs,5.25
203,lipp,veksillologia,nouns,1.5
204,teesklema,kuvitella,verbs,1.35
205,mööda lööma,iskeä,verbs,0.6
206,kaste,omena,nouns,0.55
207,uudised,pääkirjoitus,nouns,1.2
208,halb,mahtava,adjectives,0.2
209,tööline,työnantaja,nouns,1.45
210,tähelepanu,tietoisuus,nouns,2.35
211,peekon,aamiainen,nouns,0.95
212,arst,luonne,nouns,0.1
213,õlu,shamppanja,nouns,1.25
214,isa,poika,nouns,1.6
215,täht,asteroidi,nouns,1.95
216,raamat,teksti,nouns,2.4
217,vabastama,häätää,verbs,1.4
218,seemik,lehti,nouns,1.05
219,lõug,luu,nouns,1.2
220,ebaselge,epämääräinen,adjectives,4.65
221,muru,juuri,nouns,1.05
222,muru,terä,nouns,0.25
223,hiir,rotta,nouns,2.6
224,põllumajandus,monokulttuuri,nouns,1.05
225,ananass,älypuhelin,nouns,0.05
226,meeter,jaardi,nouns,2.3
227,uhke,uskalias,adjectives,1.1
228,laiendama,kasvaa,verbs,3.4
229,töö,tehtävä,nouns,3.55
230,meierei,hunaja,nouns,0.15
231,episood,esitys,nouns,0.9
232,magamistuba,polkupyörä,nouns,0.05
233,kahuripaat,rannikkoalue,nouns,0.5
234,putukas,torjunta-aine,nouns,0.85
235,hüpotees,teoria,nouns,3.5
236,suu,nenä,nouns,1.45
237,arendus,varainkeruu ,nouns,0.25
238,raha,helmi,nouns,0.45
239,torm,pilvi,nouns,1.1
240,otseloomulikult,hienovaraisesti,adverbs,0.35
241,otsustamata,neutraali,adjectives,0.95
242,äri,yritys,nouns,3.7
243,essee,läksyt,nouns,1.95
244,jõukus,arvovalta,nouns,0.85
245,korraldama,organisoida,verbs,5.4
246,kummitama,pelästyttää,verbs,2.05
247,sularaha,raha,nouns,3.85
248,kummaline,tavallinen,adjectives,0.55
249,laenama,pitää,verbs,0.45
250,keha,selkäranka,nouns,1.4
251,valuuta,vaihto,nouns,0.75
252,rong,raitiovaunu,nouns,2.15
253,mootor,kone,nouns,2.7
254,ebatõenäoline,ystävällisesti,adverbs,0.0
255,orkaan,myrsky,nouns,3.6
256,merevägi,saari,nouns,0.25
257,osalema,lähettää,verbs,0.5
258,uus,käyttämätön,adjectives,4.55
259,lõdvestunud,rauhallinen,adjectives,3.7
260,viirus,veri,nouns,0.9
261,meeter,tuuma,nouns,1.7
262,kass,jänis,nouns,1.15
263,floora,luonto,nouns,2.55
264,teavitama,kuvata,verbs,0.25
265,loomulikult,epäluonnollisesti,adverbs,0.45
266,treener,pelaaja,nouns,1.2
267,maantee,tehtävä,nouns,0.1
268,täiskasvanu,lapsi,nouns,1.0
269,diskreetselt,ilmiselvästi,adverbs,0.35
270,märksõna,syntaksi,nouns,1.05
271,põlv,luu,nouns,1.2
272,täht,planeetta,nouns,2.15
273,pehmelt,äänekkäästi,adverbs,0.15
274,lärm,maila,nouns,0.45
275,lubatud,laillinen,adjectives,4.45
276,õlu,juoma,nouns,2.2
277,oluliselt,todella,adverbs,1.75
278,valelik,totuudenmukainen,adjectives,0.5
279,ilmne,ilmiselvä,adjectives,5.25
280,kuningas,hallitsija,nouns,4.25
281,vahepeal,milloin tahansa,adverbs,1.25
282,liikumine,aktiviteetti,nouns,2.25
283,kohtlema,maksaa,verbs,0.15
284,algebra,operaatio,nouns,0.75
285,suruma,luopua,verbs,0.3
286,kass,lemmikkieläin,nouns,2.65
287,lumelaud,hiihtäminen,nouns,1.45
288,tank,auto,nouns,0.95
289,ots,kappale,nouns,0.05
290,sigar,laatikko,nouns,0.4
291,monokultuur,maatalous,nouns,1.05
292,arvuti,levy,nouns,0.5
293,jard,tuuma,nouns,1.5
294,laps,poika,nouns,2.3
295,vend,sisko,nouns,1.55
296,janune,nälkäinen,adjectives,1.55
297,ülevõim,kaikkivaltius,nouns,3.15
298,võitlus,valloitus,nouns,2.0
299,sile,terävä,adjectives,0.55
300,lonkama,kävellä,verbs,2.25
301,vöökoht,vatsa,nouns,2.85
302,kõri,nenä,nouns,1.4
303,saal,välikäytävä,nouns,1.25
304,kohtumine,sitoumus,nouns,0.55
305,võtma,vastaanottaa,verbs,2.4
306,pilv,myrsky,nouns,1.1
307,halb,kauhea,adjectives,2.8
308,patsient,istunto,nouns,0.5
309,mootor,veduri,nouns,0.95
310,heidutama,rohkaista,verbs,0.25
311,hertsogkond,prinssikunta,nouns,2.55
312,proovima,saavuttaa,verbs,1.1
313,armee,legioona,nouns,3.0
314,kahanema,supistaa,verbs,2.85
315,ala,seutu,nouns,3.9
316,vulkaan,magma,nouns,1.5
317,tükk,lentokenttä,nouns,0.0
318,näitleja,monitahokas,nouns,0.2
319,otsustama,kuvata,verbs,0.4
320,taasmatmine,hauta,nouns,1.1
321,mäss,piirustus,nouns,0.05
322,brändi,alkoholi,nouns,2.6
323,vaimustav,tylsä,adjectives,0.25
324,hiir,kansi,nouns,0.15
325,poliitik,presidentti,nouns,3.1
326,saama,saada kiinni,verbs,1.35
327,laine,sää,nouns,0.3
328,krõmpsutama,napsahtaa,verbs,1.25
329,alumiinium,säilyketölkki,nouns,1.05
330,käsi,jalkaterä,nouns,1.45
331,ärritama,arvata,verbs,0.2
332,katus,lattia,nouns,0.95
333,sviiter,jakku,nouns,1.9
334,moraal,legenda,nouns,0.35
335,trell,putka,nouns,0.8
336,rumal,herkkäuskoinen,adjectives,2.25
337,umbes,ilmiselvästi,adverbs,0.1
338,peenike,kapea,adjectives,2.95
339,rand,merenranta,nouns,3.55
340,ühendama,jakaa,verbs,0.85
341,võrevoodi,kehto,nouns,3.6
342,kampaania,apina,nouns,0.05
343,eitamine,tunnustus,nouns,0.65
344,kivisüsi,puuhiili,nouns,3.3
345,ruupor,rumpu,nouns,0.6
346,huvi,huomio,nouns,3.15
347,vihm,usva,nouns,2.2
348,jäädvustama,matkia,verbs,0.55
349,õepoeg,täti,nouns,1.0
350,ootama,jättää,verbs,0.25
351,täielikult,pohjimmiltaan,adverbs,1.6
352,lagunema,tuhota,verbs,1.4
353,andma,antaa lainaksi,verbs,2.2
354,haigus,kuume,nouns,2.4
355,raamat,teema,nouns,0.7
356,tegema,ansaita,verbs,0.45
357,kartmatu,ylpeä,adjectives,1.1
358,tabama,tähdätä,verbs,1.75
359,oaas,vapaus,nouns,0.35
360,võõrsil,kotona,adverbs,0.6
361,tasu,korvaus,nouns,3.55
362,paindlik,löysä,adjectives,1.3
363,naine,farkut,nouns,0.15
364,kalju,häntä,nouns,0.0
365,kaval,kummallinen,adjectives,0.7
366,palavik,flunssa,nouns,2.55
367,meelde tuletama,unohtaa,verbs,0.55
368,ülaosa,pohja,nouns,0.65
369,tüütama,loukata,verbs,0.95
370,haavatav,avuton,adjectives,3.8
371,püüdma,vapauttaa,verbs,0.6
372,teraapia,behaviorismi,nouns,0.85
373,isa,vanhempi,nouns,3.05
374,pilvkate,ennuste,nouns,0.85
375,täiskasvanu,huoltaja,nouns,2.35
376,aken,katto,nouns,1.0
377,diivan,pesäpallo,nouns,0.35
378,jahu,leipä,nouns,1.3
379,kuningas,nepotismi,nouns,1.2
380,pööraselt,äänekkäästi,adverbs,1.35
381,imenduma,vetäytyä,verbs,0.4
382,küngas,kalliojyrkänne,nouns,1.9
383,definitisioon,sanakirja,nouns,1.3
384,keel,auringonlasku,nouns,0.05
385,maitsetaim,marihuana,nouns,1.95
386,nisu,vilja,nouns,3.15
387,eestkostja,aikuinen,nouns,2.35
388,ilu,sonetti,nouns,0.45
389,laud,auringonlasku,nouns,0.05
390,koguma,kokoontua,verbs,1.55
391,mootor,vene,nouns,0.65
392,alluma,kuunnella,verbs,0.85
393,molekul,ilma,nouns,0.8
394,meeleheide,kurjuus,nouns,2.7
395,pidulik,asianmukainen,adjectives,1.75
396,tüssama,huijata,verbs,4.75
397,räpane,halpa,adjectives,0.75
398,raskendama,vaivata,verbs,1.0
399,veenma,tavoitella,verbs,0.5
400,kärbes,muurahainen,nouns,1.55
401,õhtusöök,keitto,nouns,1.6
402,karp,sikari,nouns,0.4
403,kool,laki,nouns,0.3
404,kuninganna,mehiläinen,nouns,0.8
405,arvama,ärsyttää,verbs,0.2
406,kaval,rankka,adjectives,0.3
407,võimatu,käyttökelpoinen,adjectives,0.5
408,vastutustundlikult,luotettavasti,adverbs,3.7
409,isiklik,yksityinen,adjectives,4.9
410,pöörane,iloinen,adjectives,0.35
411,apokalüpsis,tuli,nouns,0.5
412,rass,viikonloppu,nouns,0.0
413,põhiliselt,enimmäkseen,adverbs,4.5
414,leidma,karata,verbs,0.4
415,käsi,niska,nouns,1.0
416,operatsioon,sydän,nouns,0.6
417,meloodia,rytmi,nouns,1.7
418,filosoof,kilpaileminen,nouns,0.0
419,petersell,muffini,nouns,0.4
420,fonoloogia,näyttö,nouns,0.2
421,tagasi lükkama,vetäytyä,verbs,1.6
422,jooma,sekoittaa,verbs,0.3
423,huul,suu,nouns,2.15
424,laadija,levy,nouns,0.2
425,voodi,huonekalut,nouns,2.0
426,osalema,sanoa,verbs,0.6
427,uurima,kuulustella,verbs,2.55
428,kriitika,kiista,nouns,1.0
429,passiivselt,luotettavasti,adverbs,0.25
430,ball,asu,nouns,0.7
431,sõna,vihje,nouns,0.45
432,õnnetu,mieletön,adjectives,0.55
433,astronoomiline,massiivinen,adjectives,2.05
434,ekraan,monitori,nouns,4.9
435,kaer,pelto,nouns,1.15
436,hõivatud,laiska,adjectives,0.3
437,kabel,kirkontorni,nouns,1.65
438,süüdi,paha,adjectives,1.2
439,elegantselt,kauniisti,adverbs,3.9
440,käsi,polvi,nouns,1.15
441,agressiivne,kaareva,adjectives,0.25
442,elama,selviytyä,verbs,2.35
443,hädaolukord,onnettomuus,nouns,3.8
444,lubama,päästää,verbs,3.3
445,taotlus,hakija,nouns,1.2
446,abikaasa (mees),mies,nouns,3.55
447,õpetaja,kouluttaja,nouns,4.05
448,nutikas,tyhmä,adjectives,0.45
449,pigem,mahdollisesti,adverbs,2.6
450,väide,kritiikki,nouns,1.0
451,võit,riemuvoitto,nouns,3.95
452,tapeet,tausta,nouns,2.2
453,kriitiline,töykeä,adjectives,0.95
454,vabadus,keidas,nouns,0.35
455,film,teatteri,nouns,0.95
456,kuulma,kuunnella,verbs,3.0
457,jalg,raaja,nouns,3.05
458,valimine,valinta,nouns,2.7
459,lämmatama,musertaa,verbs,2.15
460,alamprogramm,laatija,nouns,0.55
461,rääkima,tunnustaa,verbs,1.45
462,alumiinium,metalli,nouns,2.85
463,ebaviisakas,aggressiivinen,adjectives,2.4
464,sool,vesi,nouns,0.45
465,mesi,sokeri,nouns,1.95
466,kummaline,ovela,adjectives,0.7
467,õnnelikult,aktiivisesti,adverbs,1.1
468,soovitama,neuvoa,verbs,3.95
469,puudumine,läsnäolo,nouns,0.65
470,pihk,sormi,nouns,0.4
471,passiivne,väkivaltainen,adjectives,0.35
472,arv,luku,nouns,4.85
473,ori,palvelija,nouns,2.1
474,meedium,uutiset,nouns,0.7
475,koridor,ovi,nouns,1.1
476,täring,kuutio,nouns,2.8
477,karvapealt,täsmällisesti,adverbs,5.25
478,pilv,usva,nouns,2.65
479,metsamajake,mökki,nouns,3.4
480,sassis,puhdas,adjectives,0.45
481,autor,luoja,nouns,4.55
482,saatma,mennä,verbs,0.45
483,elevant,dinosaurus,nouns,1.15
484,andestama,unohtaa,verbs,0.75
485,müüma,muistuttaa,verbs,0.0
486,semu,ystävä,nouns,5.0
487,päästma,tuhota,verbs,0.35
488,taust,tapetti,nouns,2.2
489,haruldane,tyhmä,adjectives,0.0
490,varastama,ostaa,verbs,0.6
491,käsi,olkapää,nouns,1.55
492,uks,läsnäolo,nouns,0.2
493,jumal,isä,nouns,0.35
494,tekst,kirja,nouns,2.4
495,kuupäev,kalenteri,nouns,1.7
496,laps,mies,nouns,1.15
497,homofoon,valopuhelin,nouns,0.1
498,orkester,paraati,nouns,0.6
499,lihtsalt,ilmeisesti,adverbs,0.75
500,kokpit,lentoperämies,nouns,0.8
501,uskumus,kukka,nouns,0.05
502,määrima,levitä,verbs,0.7
503,isa,mies,nouns,2.35
504,bänd,kestävyys,nouns,0.15
505,põngerjas,tytär,nouns,1.55
506,häbelik,kallis,adjectives,0.05
507,lill,polttimo,nouns,0.35
508,makse,maksu,nouns,3.55
509,närv,aivot,nouns,1.85
510,raputama,kerätä,verbs,0.15
511,au,kunnioitus,nouns,2.55
512,haistma,pilata,verbs,0.05
513,märkmik,ase,nouns,0.0
514,ostma,varastaa,verbs,0.6
515,suur,joustava,adjectives,0.4
516,uba,kahvi,nouns,1.0
517,vedur,moottori,nouns,0.95
518,ette kujutama,teeskennellä,verbs,1.35
519,sügavus,suuruus,nouns,2.2
520,kohtuma,uida,verbs,0.0
521,valk,kahva,nouns,0.0
522,raud,vitamiini,nouns,0.85
523,põngerjas,poika,nouns,2.7
524,kaotama,vähentää,verbs,1.0
525,tulema,tuoda,verbs,1.2
526,vein,väkijuoma,nouns,2.35
527,partner,poika,nouns,1.3
528,lääs,pohjoinen,nouns,1.05
529,sekund,minuutti,nouns,1.95
530,väärtuslik,erityinen,adjectives,2.75
531,liha,leipä,nouns,0.8
532,käsi,laskimo,nouns,0.65
533,mitu korda,kahdesti,adverbs,1.6
534,aritmeetika,logiikka,nouns,1.5
535,normaalne,outo,adjectives,0.5
536,peatuma,kieltää,verbs,0.4
537,kauss,häntä,nouns,0.0
538,veok,paketti,nouns,0.7
539,tapma,puolustaa,verbs,0.5
540,koletis,demoni,nouns,4.0
541,lõpmatus,nolla,nouns,0.5
542,fakt,ymmärrys,nouns,1.0
543,rütm,kadenssi,nouns,1.65
544,juhtuma,esiintyä,verbs,1.1
545,muusika,melodia,nouns,2.7
546,kõva,tiheä,adjectives,1.55
547,kohalikult,tarkasti,adverbs,1.65
548,unustama,muistuttaa,verbs,0.55
549,naerma,itkeä,verbs,0.75
550,ebaregulaarselt,yleensä,adverbs,0.45
551,puit,peitto,nouns,0.05
552,karistama,totella,verbs,0.5
553,omama,pitää,verbs,1.75
554,õhk,molekyyli,nouns,0.8
555,tõenäoliselt,positiivisesti,adverbs,0.85
556,härg,hevonen,nouns,1.5
557,töötaja,työnantaja,nouns,1.25
558,järelliide,suffiksi,nouns,3.15
559,ära tõukama,antaa,verbs,0.15
560,tütar,isä,nouns,1.1
561,peatükk,valinta,nouns,0.5
562,kindel,itsevarma,adjectives,3.1
563,modernne,muinainen,adjectives,0.5
564,põhiseadus,keisari,nouns,0.55
565,professor,tohtori,nouns,2.6
566,iganädalane,kuukausittainen,adjectives,1.25
567,ebaausalt,reilusti,adverbs,0.45
568,ksenofoobia,rasismi,nouns,4.0
569,aktsepeerima,kiistää,verbs,0.35
570,lumi,jää,nouns,2.9
571,koosseis,laulusolisti,nouns,0.4
572,kätte toimetama,kantaa,verbs,1.65
573,pealik,pormestari,nouns,2.0
574,uhkelt,nõyrästi,adverbs,0.5
575,omandama,liittyä,verbs,0.3
576,tunnistama,ilmoittaa,verbs,1.45
577,kleepuv,likainen,adjectives,2.4
578,siin,nyt,adverbs,1.2
579,president,kamera,nouns,0.2
580,sajand,vuosikymmen,nouns,1.45
581,sõjakus,taistelu,nouns,1.65
582,poiss,riisi,nouns,0.05
583,vinge,paha,adjectives,0.1
584,määrama,ennustaa,verbs,1.25
585,prokurör,lakimies,nouns,2.35
586,lisama,liittyä,verbs,1.5
587,elektriline,makea,adjectives,0.1
588,laisk,kiireinen,adjectives,0.3
589,rahuldama,käsittää,verbs,0.15
590,palavik,sairaus,nouns,2.4
591,džinn,lamppu,nouns,0.5
592,tegema,muodostaa,verbs,2.7
593,president,poliitikko,nouns,3.1
594,veen,valinta,nouns,0.05
595,leegion,armeija,nouns,3.0
596,vältima,sivuuttaa,verbs,3.95
597,põlglik,halveksuva,adjectives,5.55
598,vend,isä,nouns,1.5
599,võlur,kaapeli,nouns,0.0
600,kino,paukkumaissi,nouns,0.75
601,väljapääs,äänioikeus,nouns,0.15
602,rahulikult,lujasti,adverbs,0.35
603,ajaleht,tieto,nouns,1.3
604,vihm,raekuuro,nouns,2.6
605,film,elokuva,nouns,5.2
606,kass,koira,nouns,1.4
607,varastama,antaa,verbs,0.3
608,kirjutama,raapustaa,verbs,2.9
609,kaasamine,tapaaminen,nouns,0.55
610,buss,taksi,nouns,1.65
611,prestiiž,varakkuus,nouns,0.85
612,paat,ankkuri,nouns,0.95
613,monitor,näyttö,nouns,4.9
614,ausalt,ei koskaan,adverbs,0.0
615,kena,ulospäinsuuntautunut,adjectives,1.2
616,maakera,maailma,nouns,3.8
617,haarama,ottaa,verbs,2.6
618,relv,muistikirja,nouns,0.0
619,ministeerium,sulttaani,nouns,0.2
620,veresoon,laskimo,nouns,3.75
621,pilt,heijastus,nouns,1.55
622,käsivars,jalka,nouns,1.5
623,nõustuma,hyväksyä,verbs,4.35
624,sõjamees,mies,nouns,1.55
625,saatma,osallistua,verbs,0.5
626,korrutama,jakaa,verbs,0.95
627,ajakiri,artikkeli,nouns,1.5
628,teleskoop,aivoriihi,nouns,0.0
629,pärinema,saada selville,verbs,0.35
630,välja tõstma,jättää,verbs,1.0
631,suhkur,hunaja,nouns,1.95
632,sünnipäev,päivämäärä,nouns,2.05
633,hädavajalik,tarpeellinen,adjectives,3.35
634,õde,tieteilijä,nouns,0.3
635,pöörane,suurenmoinen,adjectives,3.55
636,jätma,mennä,verbs,1.15
637,näljane,väsynyt,adjectives,0.6
638,neelatama,siemailla,verbs,2.15
639,joonistama,luoda,verbs,1.55
640,valik,kappale,nouns,0.5
641,aktsepteerima,uskoa,verbs,1.3
642,õun,sitruuna,nouns,1.35
643,alustama,lopettaa,verbs,0.5
644,teesklema,valehdella,verbs,2.85
645,luud,pöly,nouns,0.9
646,vend,poika,nouns,1.65
647,paber,puumateriaali,nouns,1.5
648,muru,sammal,nouns,1.55
649,mosaiik,basilikakirkko,nouns,0.6
650,säilitama,unohtaa,verbs,0.35
651,selgroog,niska,nouns,1.4
652,lihas,kieli,nouns,1.3
653,kalju,kaivos,nouns,0.2
654,soolikas,hermo,nouns,0.7
655,number,sytoplasma,nouns,0.05
656,kuulama,oppia,verbs,1.2
657,kiibid,kursori,nouns,0.2
658,kinnas,pallo,nouns,0.3
659,räpane,kapea,adjectives,0.25
660,pidu,naamio,nouns,0.6
661,igapäevane,tavallinen,adjectives,4.65
662,nina,kurkku,nouns,1.4
663,kana,pihvi,nouns,0.8
664,bronhiit,parasetamoli,nouns,0.6
665,vormitu,amorfinen,adjectives,3.75
666,õde,veli,nouns,1.55
667,teadma,ymmärtää,verbs,3.05
668,rahvastik,ihmiset,nouns,3.25
669,korporatsioon,ovi,nouns,0.15
670,kuulma,puhua,verbs,0.65
671,tihti,joskus,adverbs,0.8
672,uskuma,tietää,verbs,1.8
673,uus,hiljattainen,adjectives,3.7
674,karistama,opettaa,verbs,0.45
675,tennis,tilastotiede,nouns,0.2
676,kardin,sauva,nouns,0.15
677,heameelt tegema,myöntyä,verbs,0.9
678,tegelane,henkilö,nouns,3.1
679,rivi,lista,nouns,1.0
680,ainulaadne,vastapäinen,adjectives,0.7
681,delikaatselt,nykyään,adverbs,0.2
682,lihtne,helppo,adjectives,4.35
683,pritsess,keksi,nouns,0.05
684,püüdma,jahdata,verbs,1.7
685,sirge,kaareva,adjectives,0.55
686,poolsaar,saari,nouns,1.85
687,amet,johtokunta,nouns,1.15
688,hümn,pilli,nouns,0.1
689,auk,vaimo,nouns,0.05
690,vinge,ihmeellinen,adjectives,3.25
691,mängima,taistella,verbs,0.65
692,bioloogia,biotooppi,nouns,1.3
693,koguma,organisoida,verbs,0.6
