ID,FIN,FRA,PoS,score
81,pitkä,étroit,adjectives,1.2
82,tuskin koskaan,jamais,adverbs,3.45
83,murehtia,gaspiller,verbs,0.2
84,ruoka,programme,nouns,0.55
85,lakimies,procureur,nouns,3.05
86,ihmiset,dollar,nouns,0.05
87,vuosikymmen,ère,nouns,2.6
88,miekkailu,gymnastique,nouns,2.1
89,valtava,stupide,adjectives,0.65
90,kynsi,main,nouns,2.15
91,valtava,minuscule,adjectives,1.05
92,vamppyyri,chauve-souris,nouns,2.25
93,kuvanveistäjä,château,nouns,0.35
94,tukki,bois,nouns,3.6
95,dia,pointeur,nouns,0.1
96,kirja,sujet,nouns,1.0
97,turvallinen,légal,adjectives,1.7
98,lopettaa,faire,verbs,0.95
99,syntaksi,mot-clé,nouns,1.2
100,tyhmä,intelligent,adjectives,1.05
101,päivittäin,normalement,adverbs,1.75
102,puuvilla,pull-over,nouns,1.4
103,epätäsmällisesti,précisément,adverbs,0.95
104,kerran,immédiatement,adverbs,0.75
105,luuri,victime,nouns,0.1
106,vartalo,poitrine,nouns,2.4
107,lähettää,assister,verbs,0.4
108,väkijoukko,défilé,nouns,2.25
109,kylpyhuone,cuisine,nouns,1.9
110,täsmällinen,faux,adjectives,0.3
111,käsittää,satisfaire,verbs,0.4
112,satama,emballage,nouns,0.45
113,ystävä,copain,nouns,5.4
114,hermo,corps,nouns,1.3
115,puu,érable,nouns,4.1
116,esinahka,circoncision,nouns,1.65
117,suru,agonie,nouns,2.95
118,aloittaa,aller,verbs,1.0
119,täysin,strictement,adverbs,3.1
120,työnantaja,ouvrier,nouns,1.8
121,fonologia,écran,nouns,0.15
122,jättää,rester,verbs,1.4
123,ylivalta,omnipotence,nouns,4.05
124,käsivarsi,veine,nouns,1.0
125,häntä,bol,nouns,0.05
126,kaatua,trébucher,verbs,3.95
127,jättää,expulser,verbs,1.7
128,väkijuoma,groupe,nouns,0.15
129,juonittelija,stratège,nouns,3.0
130,kiireinen,paresseux,adjectives,0.6
131,kuvitus,ampoule,nouns,0.15
132,mies,mari,nouns,3.85
133,menettää,garder,verbs,0.85
134,parasetamoli,bronchite,nouns,0.85
135,olla tunnustamatta,donner,verbs,0.1
136,pysyä,attendre,verbs,2.4
137,puutarha,tuyau,nouns,0.8
138,lumi,glace,nouns,3.65
139,maatalous,plante,nouns,1.35
140,lyhyt,long,adjectives,1.1
141,ennuste,révision,nouns,0.85
142,korkeus,conversion,nouns,0.2
143,nenä,tête,nouns,2.0
144,merkittävästi,vraiment,adverbs,2.3
145,ajaa,mélanger,verbs,0.55
146,liitto,combinaison,nouns,4.05
147,julistaa,annoncer,verbs,5.05
148,vilpittömästi,honnêtement,adverbs,5.45
149,luu,muscle,nouns,1.6
150,asianmukainen,poli,adjectives,2.15
151,koodi,symbole,nouns,3.0
152,kasvisto,nature,nouns,3.1
153,peittää,enterrer,verbs,3.55
154,säästää,détruire,verbs,0.8
155,kuukausi,août,nouns,3.0
156,tappaa,défendre,verbs,0.85
157,tahraton,propre,adjectives,5.4
158,päiväkoti,maternelle,nouns,3.2
159,tuleva,extraverti,adjectives,0.35
160,unohtaa,retenir,verbs,0.8
161,vero,revenu,nouns,1.4
162,uskomus,impression,nouns,2.2
163,ahdistunut,impatient,adjectives,1.75
164,siemailla,boire,verbs,4.4
165,tulla johtopäätökseen,décider,verbs,4.0
166,kuningas,dirigeant,nouns,4.45
167,kapea,vaste,adjectives,0.7
168,letku,jardin,nouns,0.8
169,pehmeästi,bruyamment,adverbs,0.6
170,neuvottelu,diplomatie,nouns,3.05
171,terävä,lisse,adjectives,1.0
172,tehdä yhteistyötä,participer,verbs,3.2
173,todentaa,justifier,verbs,2.25
174,kypärä,arme,nouns,1.15
175,sattua,tomber,verbs,1.15
176,arvioida,apprendre,verbs,1.1
177,lannistaa,frustrer,verbs,3.0
178,valtava,grand,adjectives,4.8
179,käsivarsi,épaule,nouns,2.3
180,muslimi,évêque,nouns,0.95
181,matriisi,molécule,nouns,0.2
182,kastike,pomme,nouns,1.1
183,tajuta,découvrir,verbs,3.3
184,mielenkiinto,attention,nouns,4.0
185,tulostaa,ignorer,verbs,0.1
186,paperi,affiche,nouns,2.95
187,nauttia,divertir,verbs,0.85
188,auto,tuyau,nouns,0.1
189,milloin tahansa,parfois,adverbs,0.8
190,hede,pollinisation,nouns,1.8
191,vikkelä,rapide,adjectives,4.8
192,juoda,mélanger,verbs,0.4
193,äänekkäästi,doucement,adverbs,0.6
194,epämääräinen,incertain,adjectives,4.95
195,odottaa,rester,verbs,2.4
196,pormestari,chef,nouns,2.45
197,tieto,livre,nouns,1.5
198,usva,nuage,nouns,3.0
199,moittia,mentir,verbs,0.55
200,maito,jus,nouns,1.85
201,purukumi,menthe,nouns,0.95
202,tulla,sembler,verbs,1.0
203,hirviö,démon,nouns,4.5
204,paeta,s'échapper,verbs,5.7
205,rangaista,enseigner,verbs,0.7
206,lintu,dinde,nouns,3.2
207,hämmästyttävä,sale,adjectives,0.35
208,valloitus,bataille,nouns,2.75
209,eri tavalla,en phase terminale,adverbs,0.1
210,huolellisesti,dangereusement,adverbs,0.45
211,jakaa,ajouter,verbs,1.35
212,henkilö,animal,nouns,0.95
213,kovakouraisesti,évidemment,adverbs,0.45
214,vapauttaa,presser,verbs,0.2
215,ottaa,voler,verbs,2.6
216,ranne,main,nouns,2.8
217,vastaanottaa,atteindre,verbs,0.5
218,järkeistää,penser,verbs,3.2
219,kurjuus,désespoir,nouns,3.3
220,antaa lupa,approuver,verbs,3.0
221,tiukasti,fermement,adverbs,5.1
222,käsi,ongle,nouns,2.15
223,vilja,blé,nouns,3.65
224,strategi,conspirateur,nouns,3.0
225,hoikka,mince,adjectives,5.55
226,pappi,prophète,nouns,1.9
227,syntymäpäivä,anniversaire,nouns,2.5
228,sitrushedelmä,orange,nouns,4.25
229,kansallinen,connu,adjectives,1.05
230,muksu,fille,nouns,2.1
231,jalkaterä,main,nouns,1.95
232,filmi,long métrage,nouns,5.6
233,vastuullisesti,sérieusement,adverbs,3.75
234,rauhallinen,neutre,adjectives,1.45
235,aggressio,hostilité,nouns,4.4
236,lumimyrsky,pluie,nouns,2.65
237,tukehtua,respirer,verbs,1.25
238,jättää,attendre,verbs,0.8
239,sentti,personne,nouns,0.1
240,käsittää,lire,verbs,1.05
241,pääasiassa,surtout,adverbs,5.3
242,parapsykologia,neuropsychologie,nouns,2.2
243,kuukausittainen,hebdomadaire,adjectives,2.05
244,aikuinen,parent,nouns,3.5
245,välttämätön,important,adjectives,5.0
246,tulla,arriver,verbs,5.05
247,suola,eau,nouns,0.75
248,keskustelu,communication,nouns,3.75
249,peruna,beurre,nouns,1.25
250,julkistamaton,manifeste,adjectives,0.5
251,juoda,siroter,verbs,4.4
252,kissa,lapin,nouns,1.6
253,pyyhkiä,détériorer,verbs,0.25
254,kansallinen,gros,adjectives,0.25
255,linja-auto,taxi,nouns,2.4
256,paikallisesti,attentivement,adverbs,1.05
257,kunnossa oleva,médiocre,adjectives,1.25
258,ihailla,adorer,verbs,4.35
259,säilyttää,rester,verbs,1.3
260,pariskunta,paire,nouns,5.35
261,sitruuna,thé,nouns,1.05
262,huone,bain,nouns,0.8
263,soturi,homme,nouns,1.8
264,epäröivä,courroucé,adjectives,0.7
265,herttua,république,nouns,0.5
266,sekava,organisé,verbs,1.05
267,ajaa,courir,verbs,1.2
268,teoria,chimie,nouns,1.05
269,voittaa,réussir,verbs,3.95
270,ovi,cuisine,nouns,0.6
271,kohtelias,bon,adjectives,2.15
272,tiivis,stupide,adjectives,0.05
273,unohtaa,rappeler,verbs,0.95
274,puhtaasti,complètement,adverbs,3.1
275,kuorma-auto,voiture,nouns,3.25
276,teollisuus,affaire,nouns,2.4
277,mies,vainqueur,nouns,0.8
278,itseluottamus,soi,nouns,1.6
279,hammaslääkäri,colonel,nouns,0.65
280,järvi,nuage,nouns,0.55
281,alieni,étranger,nouns,3.8
282,raapustaa,écrire,verbs,4.05
283,laukku,porte-monnaie,nouns,3.25
284,luonnollisesti,bizarrement,adverbs,0.95
285,hämätä,apprendre,verbs,0.5
286,tuore,large,adjectives,0.1
287,olla eri mieltä,être d'accord,verbs,1.05
288,kasvu,engrais,nouns,1.45
289,esikoulu,crèche,nouns,3.2
290,nykyään,délicatement,adverbs,0.15
291,mennä,vendre,verbs,0.3
292,kerho,marque,nouns,0.3
293,yrittää,réussir,verbs,1.6
294,elokuu,mois,nouns,3.0
295,poissa,à domicile,adverbs,1.15
296,huonekalut,appartement,nouns,1.3
297,sinkki,or,nouns,2.05
298,lujasti,doucement,adverbs,0.9
299,nuori,heureux,adjectives,0.4
300,toukka,ver à soie,nouns,3.6
301,pilvi,météo,nouns,1.8
302,ihmiset,fête,nouns,0.9
303,kiistää,accepter,verbs,1.05
304,laittaa,obtenir,verbs,0.35
305,hauska,sérieux,adjectives,1.1
306,sade,brume,nouns,2.55
307,kovakouraisesti,fiablement,adverbs,0.5
308,paistaa,cuire,verbs,3.7
309,auttaa,demander,verbs,0.8
310,rumpu,guitare,nouns,2.15
311,sana,indice,nouns,0.9
312,rannikko,côte,nouns,5.0
313,aihe,livre,nouns,1.0
314,laite,pot,nouns,0.15
315,ksenofobia,racisme,nouns,4.9
316,kirja,littérature,nouns,2.8
317,analysoida,évaluer,verbs,4.6
318,koditon,milliardaire,nouns,0.9
319,lounas,sandwich,nouns,2.2
320,sekoittaa,remuer,verbs,4.85
321,kutistua,croître,verbs,1.0
322,tarkalleen,inexactement,adverbs,0.95
323,papu,riz,nouns,1.7
324,käyrä,angle,nouns,1.9
325,leuka,os,nouns,2.05
326,halpa,sale,adjectives,0.25
327,kuvata,décider,verbs,0.95
328,viski,gin,nouns,2.55
329,paukkumaissi,cinéma,nouns,1.1
330,setä,homme,nouns,2.8
331,mukava,cruel,adjectives,0.65
332,totella,se comporter,verbs,3.05
333,opiskelija,élève,nouns,5.45
334,liha,lard,nouns,3.25
335,helppo,difficile,adjectives,1.1
336,eversti,dentiste,nouns,0.65
337,hienovaraisesti,calmement,adverbs,1.35
338,alue,coin,nouns,1.05
339,setä,cousin,nouns,2.3
340,matka,promenade,nouns,4.15
341,kahva,protéine,nouns,0.1
342,tyttö,bonne,nouns,1.45
343,veljeskunta,base-ball,nouns,0.2
344,tuonpuoleinen,purgatoire,nouns,2.3
345,kellua,chanter,verbs,0.1
346,tohtori,professeur,nouns,2.65
347,kylpy,journal,nouns,0.0
348,onnellisuus,tristesse,nouns,1.15
349,näyttö,moniteur,nouns,5.3
350,iho,vélo,nouns,0.2
351,galaksi,astronome,nouns,1.3
352,vetolaatikko,habit,nouns,0.8
353,viehättää,frapper,verbs,0.55
354,täsmällisesti,précisément,adverbs,5.55
355,lapsi,garçon,nouns,3.45
356,ruohoalue,prairie,nouns,4.15
357,mittari,voiture,nouns,0.55
358,edistää,avancer,verbs,2.35
359,ajatella,essayer,verbs,0.3
360,auto,ascenseur,nouns,0.4
361,keittiö,porte,nouns,0.6
362,lähettää,aller,verbs,0.55
363,sirut,curseur,nouns,0.1
364,kaava,équation,nouns,3.9
365,veitsi,pistolet,nouns,2.9
366,väkijuoma,siècle,nouns,0.05
367,uskomattomasti,fermement,adverbs,0.3
368,tuomita,témoigner,verbs,1.2
369,suuresti,incroyablement,adverbs,1.7
370,omena,citron,nouns,2.05
371,monitori,écran,nouns,5.3
372,karitsa,mouton,nouns,4.55
373,peittämätön,couvert,adjectives,1.05
374,ajatella,rationaliser,verbs,3.2
375,kiistellä,se plaindre,verbs,1.7
376,heppu,tombeur,nouns,1.55
377,jakkara,chaise,nouns,4.25
378,varmasti,évidemment,adverbs,3.85
379,kaikkivaltius,suprématie,nouns,4.05
380,diplomatia,négociation,nouns,3.05
381,henki,dieu,nouns,2.6
382,lahja,écrivain,nouns,0.25
383,tahmea,sale,adjectives,2.65
384,viime aikoina,récemment,adverbs,5.1
385,tasavalta,duc,nouns,0.5
386,yltäkylläisyys,profusion,nouns,5.5
387,kongressi,parlement,nouns,4.0
388,edullinen,bon marché,adjectives,5.6
389,rauhanomaisesti,calmement,adverbs,4.3
390,historiografi,historien,nouns,3.9
391,ovi,sol,nouns,0.8
392,naaraslintu,oiseau,nouns,3.05
393,jauho,pain,nouns,2.0
394,uusi,frais,adjectives,4.3
395,laittaa,donner,verbs,1.35
396,hurrikaani,orage,nouns,3.55
397,sotalaiva,cuirassé,nouns,5.15
398,paha,génial,adjectives,0.35
399,tyhmä,énorme,adjectives,0.65
400,purkki,bouteille,nouns,2.7
401,suu,nez,nouns,2.1
402,yksinkertainen,facile,adjectives,5.1
403,salamahyökkäys,attaque,nouns,3.45
404,infektio,maladie,nouns,4.0
405,pää,ongle,nouns,1.2
406,massiivisesti,ouvertement,adverbs,0.65
407,tukki,bois,nouns,3.45
408,voittaja,objectif,nouns,1.1
409,turvattu,fastidieux,adjectives,0.25
410,passiivisesti,activement,adverbs,1.05
411,meri,océan,nouns,4.65
412,ajatella,décider,verbs,2.3
413,vapaus,oasis,nouns,0.2
414,lusikka,jus,nouns,0.6
415,nokkela,stupide,adjectives,0.95
416,kello,tour,nouns,1.05
417,diodi,condensateur,nouns,1.6
418,vihje,mot,nouns,0.9
419,sovellus,galaxie,nouns,0.1
420,laulu,ballade,nouns,4.55
421,lihas,bras,nouns,1.9
422,tuoli,tabouret,nouns,4.25
423,häätää,quitter,verbs,1.8
424,mies,père,nouns,2.95
425,populaatio,personne,nouns,3.9
426,köyhä,solitaire,adjectives,0.7
427,jäädä,obtenir,verbs,0.25
428,pesäpallo,canapé,nouns,0.3
429,liittää,séparer,verbs,0.95
430,näyttelijä,actrice,nouns,4.75
431,kadetraali,plafond,nouns,0.3
432,enimmäkseen,profondément,adverbs,0.85
433,nilkka,coude,nouns,2.1
434,viihdyttää,satisfaire,verbs,1.85
435,ase,fourrure,nouns,0.05
436,vaimo,centime,nouns,0.05
437,pellava,tissu,nouns,2.75
438,veli,garçon,nouns,2.55
439,kamera,ouvrier,nouns,0.1
440,fiksu,intelligent,adjectives,5.2
441,laulaja,choeur,nouns,2.65
442,koira,chat,nouns,1.95
443,cocktail,alcool,nouns,3.0
444,paha,affreux,adjectives,3.25
445,kapea,svelte,adjectives,2.85
446,viestintä,télévision,nouns,1.9
447,valloitus,hymne,nouns,0.4
448,raivo,colère,nouns,4.95
449,merkki,club,nouns,0.3
450,hukkua ,sauver,verbs,0.8
451,menestyjä,homme,nouns,0.8
452,anoa,emprunter,verbs,1.05
453,väärä,précis,adjectives,0.3
454,torjua,élire,verbs,0.55
455,fantasia,réalité,nouns,1.15
456,mansikka,cerise,nouns,2.2
457,rannikkoalue,canonnière,nouns,0.35
458,huokea,abordable,adjectives,5.3
459,tyyli,mode,nouns,4.1
460,sanakirja,mot,nouns,2.0
461,orivarsa,cheval,nouns,3.8
462,neutraali,calme,adjectives,1.45
463,tiukasti,incroyablement,adverbs,0.3
464,kovakouraisesti,marginalement,adverbs,0.7
465,bändi,orchestre,nouns,4.15
466,unohtaa,apprendre,verbs,0.95
467,rationaalinen,sobre,adjectives,1.05
468,tuore,nouveau,adjectives,4.3
469,hienotunteisesti,actuellement,adverbs,0.15
470,affiksi,suffixe,nouns,3.45
471,vaivata,aggraver,verbs,0.4
472,ottaa,livrer,verbs,0.6
473,tykki,pistolet,nouns,3.1
474,yö,aube,nouns,1.85
475,täysikasvuinen,immature,adjectives,0.9
476,pelästynyt,incertain,adjectives,1.0
477,pysähtyä,siffler,verbs,0.3
478,vahvistaa,permettre,verbs,3.0
479,kamera,lentille,nouns,2.0
480,virsi,bible,nouns,0.8
481,jalka,bras,nouns,2.15
482,poliitikko,policier,nouns,1.15
483,vankila,choix,nouns,0.15
484,kylpy,pièce,nouns,0.8
485,matkia,représenter,verbs,1.55
486,metsästää,chercher,verbs,2.0
487,alue,zone,nouns,4.1
488,hevonen,boeuf,nouns,2.05
489,tuhlata,inquiéter,verbs,0.2
490,kaneli,bonbon,nouns,0.95
491,outo,ordinaire,adjectives,1.1
492,tyhmä,stupide,adjectives,5.6
493,talo,appartement,nouns,3.75
494,sisäkatto,cathédrale,nouns,0.3
495,katsoa,chercher,verbs,2.0
496,teleskooppi,chaise,nouns,0.2
497,mitali,basket,nouns,0.3
498,selvin päin oleva,rationnel,adjectives,1.05
499,tarina,crayon,nouns,0.4
500,ilmiselvä,perceptible,adjectives,2.85
501,puu,feuille,nouns,1.9
502,asetyylikoliini,iris,nouns,nan
503,ilma,molécule,nouns,1.3
504,omituisesti,différemment,adverbs,1.95
505,auringonpaiste,pomme,nouns,0.3
506,opettaa,punir,verbs,0.7
507,kuluttaa,sauver,verbs,0.5
508,valehdella,prétendre,verbs,3.5
509,usein,rarement,adverbs,1.05
510,innostunut,effrayé,adjectives,0.8
511,valinta,veine,nouns,0.25
512,imeä itseensä,retirer,verbs,1.35
513,muinainen,moderne,adjectives,1.1
514,laulu,histoire,nouns,1.25
515,liiketoiminta,industrie,nouns,2.4
516,aggressiivinen,grossier,adjectives,2.25
517,koriste,mur,nouns,1.15
518,vene,ancre,nouns,1.4
519,peli,tour,nouns,1.65
520,virsi,conquête,nouns,0.4
521,pettää,tricher,verbs,4.1
522,luonto,flore,nouns,3.1
523,biologia,biotope,nouns,1.7
524,kirsikka,fraise,nouns,2.2
525,tuulenpuuska,vent,nouns,4.25
526,ottaa osaa,dire,verbs,1.2
527,presidentti,élève,nouns,0.8
528,levoton,jeune,adjectives,0.7
529,pitää päällä,ronger,verbs,0.15
530,yksityinen,personnel,adjectives,4.8
531,merkittävästi,sérieusement,adverbs,1.5
532,isä,homme,nouns,2.95
533,riutta,plage,nouns,1.75
534,jäädä,partir,verbs,1.4
535,tilanne,circonstance,nouns,4.9
536,reikä,accord,nouns,0.0
537,puumateriaali,papier,nouns,2.05
538,sytoplasma,chiffre,nouns,0.0
539,väkivaltainen,doux,adjectives,0.75
540,tiede,psychologie,nouns,2.4
541,kissa,lion,nouns,2.65
542,ikkuna,cheville,nouns,0.0
543,vedota,supplier,verbs,2.55
544,lähettää,apporter,verbs,1.45
545,kuiskata,parler,verbs,3.4
546,riisi,poulet,nouns,1.0
547,hauska,terne,adjectives,0.45
548,töykeä,bruyant,adjectives,1.15
549,käsikirjoittaja,télévision,nouns,1.1
550,muistuttaa,oublier,verbs,0.95
551,suoja,armure,nouns,3.35
552,säde,soleil,nouns,2.55
553,eleganssi,style,nouns,4.55
554,kalliojyrkänne,queue,nouns,0.05
555,vatsa,cours,nouns,0.1
556,matkatavarat,circumnavigation,nouns,0.65
557,opiskelija,enseignant,nouns,1.85
558,piirakka,chocolat,nouns,1.3
559,pallo,sphère,nouns,2.25
560,härkä,cheval,nouns,2.05
561,nenä,bouche,nouns,2.1
562,onnellisesti,activement,adverbs,0.55
563,mehu,milk-shake,nouns,2.0
564,poika,frère,nouns,2.55
565,käärme,lézard,nouns,2.8
566,ovi,fraternité,nouns,0.0
567,kaavio,graphique,nouns,2.7
568,pysähtyä,prévenir,verbs,0.8
569,kompastua,tomber,verbs,3.95
570,mies,suspect,nouns,0.9
571,erityinen,précieux,adjectives,3.0
572,sydän,chirurgie,nouns,1.2
573,patologia,hématologie,nouns,2.25
574,edellyttää,organiser,verbs,0.2
575,jakolasku,multiplication,nouns,2.3
576,mekaaninen,électrique,adjectives,1.8
577,korvaaminen,échange,nouns,4.75
578,vauva,adulte,nouns,1.5
579,negatiivisesti,anormalement,adverbs,0.85
580,kallis,timide,adjectives,0.1
581,laskimo,estomac,nouns,1.15
582,emolevy,carte graphique,nouns,3.8
583,lusikka,tasse,nouns,1.55
584,tylsä,ennuyé,adjectives,1.8
585,tuoli,lit,nouns,1.65
586,heikko,puissant,adjectives,0.9
587,huoltaja,adulte,nouns,2.65
588,nainen,secrétaire,nouns,1.2
589,arvokas,spécial,adjectives,3.0
590,vartiomies,homme,nouns,2.45
591,voimistelu,escrime,nouns,2.1
592,mehiläinen,insecte,nouns,3.25
593,elämäkerta,fiction,nouns,1.65
594,moottori ,bateau,nouns,1.25
595,kulho,assiette,nouns,2.65
596,surullinen,fier,adjectives,0.65
597,kastella,réduire,verbs,0.05
598,vesi,sacre,nouns,0.25
599,pelto,avoine,nouns,1.3
600,perhonen,rose,nouns,0.5
601,noppa,cube,nouns,3.9
602,valmistaja,créateur,nouns,4.4
603,auttaa,protéger,verbs,2.7
604,topologia,structure,nouns,3.1
605,luotto,emprunteur,nouns,1.35
606,joukkio,foule,nouns,5.45
607,torni,cloche,nouns,1.05
608,uskonto,laïc,nouns,1.2
609,painaa,libérer,verbs,0.2
610,ruma,désordonné,adjectives,0.6
611,puhelin,portable,nouns,5.15
612,luvata,jurer,verbs,5.1
613,hevonen,poulain,nouns,3.8
614,juoda,élever,verbs,0.05
615,illallinen,repas,nouns,4.2
616,paraati,foule,nouns,2.25
617,jaardi,centimètre,nouns,2.55
618,pala,aéroport,nouns,0.1
619,pappi,dieu,nouns,1.5
620,huutaa,débattre,verbs,1.6
621,suurenmoinen,merveilleux,adjectives,2.35
622,elokuvateatteri,pop-corn,nouns,1.1
623,merkki,symbole,nouns,5.45
624,tuhota,tuer,verbs,3.2
625,helposti,approximativement,adverbs,0.4
626,muurahainen,mouche,nouns,2.05
627,negatiivinen,jamais,adjectives,1.25
628,eteishalli,salle de cours,nouns,1.15
629,hedelmätarha,autruche,nouns,0.05
630,laatikko,cigare,nouns,0.85
631,huone,lit,nouns,1.0
632,ystävä,mère,nouns,1.4
633,järjestää,nécessiter,verbs,0.2
634,huomattava,évident,adjectives,2.85
635,myöntyä,être en désaccord,verbs,1.05
636,imeä itseensä,apprendre,verbs,2.35
637,katedraali,église,nouns,4.4
638,metalli,aluminium,nouns,3.15
639,luu,bras,nouns,1.8
640,nilkka,fenêtre,nouns,0.0
641,solvata,offenser,verbs,4.85
642,koju,téléphone,nouns,0.75
643,luova,innovant,adjectives,5.5
644,saavuttaa,essayer,verbs,1.25
645,niukka,limité,adjectives,3.4
646,protestantti,chrétien,nouns,3.7
647,yllättää,fêter,verbs,0.5
648,kestävyys,fleur,nouns,0.2
649,uusi,ancien,adjectives,1.1
650,hampaat,os,nouns,2.45
651,neliö,carte,nouns,0.4
652,hyväksyä,décliner,verbs,1.15
653,koko,astuce,nouns,0.0
654,krokotiili,lézard,nouns,3.25
655,muotoutumaton,uniforme,adjectives,0.75
656,yksinäinen,pauvre,adjectives,0.7
657,pyrkiä,saisir,verbs,0.4
658,suuri,flexible,adjectives,0.35
659,tapaus,électricité,nouns,0.65
660,puolustaa,tuer,verbs,0.85
661,alkoholi,whisky,nouns,3.1
662,sekunti,minute,nouns,2.7
663,lannistaa,encourager,verbs,1.05
664,älykkyys,logique,nouns,3.3
665,sisäistää,comprendre,verbs,5.4
666,metalliseos,acier,nouns,3.45
667,koti,état,nouns,0.1
668,kouluttaa,enseigner,verbs,4.55
669,tehdä tutkimusmatka,ignorer,verbs,0.3
670,selvin päin oleva,ivre,adjectives,1.1
671,hiljaa,passivement,adverbs,1.5
672,ministeriö,sultan,nouns,0.6
673,kaapeli,sorcier,nouns,0.0
674,lasi,badge,nouns,0.25
675,virus,sang,nouns,1.4
676,myrsky,nuage,nouns,1.5
677,olettaa,prédire,verbs,2.8
678,paperi,carton,nouns,3.65
679,lehti,semis,nouns,1.3
680,kyttä,copilote,nouns,0.85
681,kasvaa,développer,verbs,4.0
682,infektio,inflexion,nouns,0.15
683,kaapata,imiter,verbs,0.35
684,muffini,persil,nouns,0.5
685,terminaalisesti,principalement,adverbs,0.15
686,kierrellä,errer,verbs,2.8
687,ateria,taille,nouns,0.2
688,onnellisesti,sûrement,adverbs,1.6
689,kulta,zinc,nouns,2.05
690,nopeasti,instamment,adverbs,4.65
691,ovi,ouverture,nouns,3.25
692,yrittää,penser,verbs,0.3
693,antaa,nier,verbs,0.2
694,jakaa,unir,verbs,1.25
695,väkivaltainen,passif,adjectives,0.45
696,arvioida,analyser,verbs,4.6
697,fakta,preuve,nouns,3.5
698,mies,oncle,nouns,2.8
699,astronomi,galaxie,nouns,1.3
700,lujasti,calmement,adverbs,0.55
701,vanha,mixte,adjectives,0.05
702,haluta,désirer,verbs,5.25
703,siemailla,engloutir,verbs,2.1
704,valmistaa,créer,verbs,4.8
705,kysyä,ignorer,verbs,0.55
706,vatsa,veine,nouns,1.15
707,liiketoiminta,société,nouns,2.45
708,kuutio,dé,nouns,3.9
709,imeä itseensä,posséder,verbs,0.6
710,penkki,chaise,nouns,3.7
711,auttaja,enseignant,nouns,2.35
712,kaatua,blesser,verbs,1.15
713,taivas,rêve,nouns,0.45
714,basilikakirkko,mosaïque,nouns,0.65
715,liina,vêtement,nouns,1.65
716,paistaa,bouillir,verbs,2.55
