ID,EST,RUS,PoS,score
92,vale,точный,adjectives,0.25
93,teavitama,информировать,verbs,5.05
94,uhke,дерзкий,adjectives,1.5
95,diivan,бейсбол,nouns,0.1
96,tundma,верить,verbs,1.15
97,ümberlõikus,крайняя плоть,nouns,2.1
98,tass,рожок,nouns,0.5
99,valu,вред,nouns,1.55
100,jagama,складывать,verbs,0.2
101,põllumajandus,монокультура,nouns,1.1
102,katus,окно,nouns,1.0
103,kihlus,кольцо,nouns,1.25
104,putukas,пчела,nouns,2.4
105,sularaha,деньги,nouns,4.25
106,õpetaja,друг,nouns,1.55
107,katus,потолок,nouns,2.85
108,õun,солнце,nouns,0.2
109,pehme,агрессивный,adjectives,0.0
110,kergelt,удобно,adverbs,1.6
111,käsitöö,традиция,nouns,1.05
112,koidik,день,nouns,1.3
113,eestkostja,мать,nouns,1.35
114,tunnistama,судить,verbs,0.6
115,suu,нос,nouns,1.05
116,reaalsus,иллюзия,nouns,0.8
117,koridor,проход,nouns,4.03
118,prints,король,nouns,1.6
119,aju,нерв,nouns,1.4
120,seeme,горчица,nouns,1.25
121,sportlane,бегун,nouns,2.35
122,käsi,мускул,nouns,1.25
123,trikk,размер,nouns,0.1
124,tark,тупой,adjectives,0.5
125,leebe,острый,adjectives,0.15
126,trikk,игра,nouns,1.3
127,professor,доктор,nouns,2.1
128,müüma,напоминать,verbs,0.05
129,relv,шалость,nouns,0.25
130,hoone,комната,nouns,1.25
131,küsima,умолять,verbs,3.0
132,lugu,книга,nouns,1.55
133,pettus,коррупция,nouns,3.1
134,tegu,курс,nouns,1.0
135,brändi,вино,nouns,1.5
136,jagamine,умножение,nouns,1.05
137,rand,остров,nouns,0.9
138,auk,соглашение,nouns,0.05
139,koridor,дверь,nouns,1.15
140,tuli,апокалипсис,nouns,0.95
141,koheselt,скоро,adverbs,2.15
142,ooper,кино,nouns,0.7
143,hoomama,читать,verbs,0.95
144,vann,бревно,nouns,0.0
145,andestama,принимать,verbs,1.9
146,sõitma,останавливаться,verbs,0.35
147,haavatav,удобный,adjectives,0.25
148,õhupall,народ,nouns,0.1
149,voodi,спальня,nouns,1.25
150,lai,свежий,adjectives,0.05
151,toll,метр,nouns,1.45
152,hiiglasuur,крошечный,adjectives,0.25
153,igav,посредственный,adjectives,2.5
154,direktor,босс,nouns,4.25
155,süsinik,атом,nouns,1.45
156,ilm,облако,nouns,1.15
157,sõjakus,бой,nouns,1.75
158,tubakas,сигарета,nouns,2.35
159,otsekohe,один раз,adverbs,0.1
160,tooma,восстанавливать,verbs,0.15
161,õpetaja,помощник,nouns,1.95
162,kogunemine,собрание,nouns,3.9
163,veri,тело,nouns,1.1
164,ebamäärane,неясный,adjectives,4.45
165,koer,лошадь,nouns,0.6
166,õlu,напиток,nouns,2.0
167,harilik,странный,adjectives,0.4
168,vägivaldne,пассивный,adjectives,0.3
169,veider,странный,adjectives,5.1
170,fantastiliselt,удивительно,adverbs,3.85
171,kalender,праздник,nouns,0.95
172,hammas,рот,nouns,1.0
173,suruma,отрекаться,verbs,0.05
174,puur,лодка,nouns,0.3
175,aed,прыжки,nouns,0.75
176,rand,берег,nouns,2.85
177,masin,компьютер,nouns,1.6
178,omama,брать,verbs,2.4
179,lööma,выиграть,verbs,1.2
180,kirik,собор,nouns,4.0
181,küüs,шляпка,nouns,0.85
182,kaasa arvama,включать,verbs,2.3
183,hukka mõistma,отклонять,verbs,0.7
184,valima,хотеть,verbs,1.0
185,vastu võtma,отвергать,verbs,0.35
186,aktsepteerima,признавать,verbs,3.05
187,astronoom,галактика,nouns,1.35
188,katma,закапывать,verbs,1.1
189,planeet,звезда,nouns,2.4
190,jalgpall,развлечение,nouns,0.95
191,õnnelik,довольный,adjectives,3.55
192,eksootiline,редкий,adjectives,4.65
193,varastama,приобретать,verbs,0.35
194,mobiiltelefon,телефон,nouns,3.4
195,muretsema,тратить,verbs,0.15
196,kapp,одежда,nouns,0.8
197,raamat,история,nouns,1.55
198,jäik,грубый,adjectives,0.85
199,pea,гвоздь,nouns,0.85
200,niit,пряжа,nouns,2.85
201,oluliselt,действительно,adverbs,0.7
202,teostatav,невозможный,adjectives,0.45
203,abikaasa (naine),ванна,nouns,0.0
204,relv,нож,nouns,1.8
205,lennuk,аэропорт,nouns,1.25
206,pidustus,церемония,nouns,3.65
207,lahing,воинственность,nouns,1.75
208,sõbralik,великодушный,adjectives,2.9
209,uskumus,цветок,nouns,0.1
210,alkohol,пиво,nouns,2.45
211,siiralt,честно говоря,adverbs,4.65
212,intelligentsus,навык,nouns,1.1
213,šokolaad,пирог,nouns,0.8
214,tuntud,хороший,adjectives,0.4
215,kongress,парламент,nouns,2.35
216,edu saavutama,достигать,verbs,3.4
217,kaamera,работник,nouns,0.3
218,eestkostja,взрослый,nouns,1.85
219,põhiliselt,обязательно,adverbs,1.0
220,uskumatult,плотно,adverbs,0.2
221,palk,ванна,nouns,0.0
222,mesilane,муравей,nouns,0.75
223,klaaspurk,бутылка,nouns,2.0
224,esineja,песня,nouns,1.1
225,kõri,нос,nouns,1.05
226,räpane,узкий,adjectives,0.25
227,delta,море,nouns,0.65
228,igav,усталый,adjectives,1.0
229,ala,зона,nouns,4.1
230,intelligentsus,логика,nouns,2.35
231,hoidma,владеть,verbs,1.7
232,silm,слеза,nouns,1.2
233,võitma,отбивать,verbs,1.2
234,mitte kunagi,потом,adverbs,0.05
235,vägivaldne,радикальный,adjectives,1.45
236,jälitama,ловить,verbs,2.0
237,võtma,красть,verbs,1.25
238,karusnahk,норка,nouns,2.7
239,kuld,цинк,nouns,0.75
240,kutt,друг,nouns,1.65
241,informatsioon,книга,nouns,1.25
242,koguma,сохранять,verbs,2.25
243,särk,кардиган,nouns,1.05
244,hämmastavalt,фантастически,adverbs,3.85
245,leib,мясо,nouns,0.55
246,vahetus,замена,nouns,4.15
247,kauss,дорожка,nouns,0.0
248,rand,море,nouns,1.55
249,munk,крест,nouns,1.25
250,õnnetus,бедствие,nouns,4.05
251,lubama,позволять,verbs,4.3
252,riistvara,дело,nouns,0.35
253,mees,ребенок,nouns,0.95
254,pealik,мэр,nouns,2.6
255,naps,группа,nouns,0.45
256,päästma,уничтожить,verbs,0.15
257,täht,астероид,nouns,2.1
258,entsüklopeedia,словарь,nouns,2.0
259,asjaolu,ситуация,nouns,3.7
260,hobune,жеребенок,nouns,2.9
261,tehe,алгебра,nouns,0.7
262,rahvas,доллар,nouns,0.05
263,küünarnukk,лодыжка,nouns,0.85
264,andur,радиатор,nouns,0.3
265,regulaarne,невежественный,adjectives,0.25
266,vastu võtma,доставлять,verbs,0.4
267,plekitu,чистый,adjectives,3.85
268,pragunema,ломать,verbs,1.6
269,segatud,комбинированный,adjectives,3.9
270,sisalik,правительство,nouns,0.0
271,panustama,рисковать,verbs,2.55
272,austus,честь,nouns,3.1
273,lind,ястреб,nouns,2.15
274,kurvalt,безумно,adverbs,0.45
275,põlastav,пренебрежительный,adjectives,4.6
276,sõrm,ладонь,nouns,0.9
277,auto,танк,nouns,1.2
278,tööandja,работник,nouns,1.2
279,oletama,предсказывать,verbs,3.15
280,simulatsioon,робототехника,nouns,1.15
281,märk,клуб,nouns,0.35
282,lähedaselt,локально,adverbs,0.85
283,maja,амбар,nouns,1.2
284,kari,овца,nouns,2.5
285,hiljuti,на днях,adverbs,3.5
286,keha,желудок,nouns,1.6
287,alkohol,вино,nouns,2.2
288,prognoos,облачность,nouns,1.1
289,biograafia,роман,nouns,1.25
290,pott,прибор,nouns,0.4
291,kannatamatu,беспокойный,adjectives,3.25
292,pärast,до,adverbs,0.3
293,tseremoonia,праздник,nouns,3.65
294,vaenlaseks tegema,раздражать,verbs,1.0
295,pooma,убивать,verbs,1.85
296,tükk,аэропорт,nouns,0.0
297,naarits,мех,nouns,2.7
298,kommunikatsioon,телевидение,nouns,2.15
299,forell,гитара,nouns,0.0
300,toores,уродливый,adjectives,1.0
301,uhke,сильный,adjectives,0.9
302,maks,доход,nouns,0.75
303,muffin,петрушка,nouns,0.3
304,põhimõtteliselt,вполне,adverbs,1.2
305,tee,шоссе,nouns,4.4
306,neutraalne,спокойный,adjectives,2.25
307,pankur,юрист,nouns,1.0
308,võit,триумф,nouns,4.7
309,kõrs,псалом,nouns,0.0
310,kihluma,жениться,verbs,1.65
311,meel,мозги,nouns,2.05
312,karusnahk,женщина,nouns,0.4
313,kaart,площадь,nouns,0.6
314,tõsine,смешной,adjectives,0.5
315,kutt,товарищ,nouns,1.8
316,ise,уверенность,nouns,1.8
317,kana,индейка,nouns,1.25
318,veenma,спорить,verbs,1.9
319,veok,посылка,nouns,0.8
320,teema,хэштег,nouns,2.75
321,hammustama,читать,verbs,0.1
322,õpetaja,ученик,nouns,1.1
323,vahekohus,справедливость,nouns,1.75
324,allikas,коробка,nouns,0.0
325,nool,мишень,nouns,0.9
326,taldrik,миска,nouns,2.85
327,kauss,тарелка,nouns,2.85
328,ball,перчатка,nouns,0.25
329,võrrand,формула,nouns,2.9
330,juhtkond,мышь,nouns,0.35
331,innovatiivne,творческий,adjectives,3.55
332,võõrsil,домой,adverbs,0.45
333,osalema,присоединяться,verbs,1.35
334,vältima,игнорировать,verbs,4.05
335,jääma,ждать,verbs,0.9
336,tegema,разрушать,verbs,0.45
337,kohalikult,очевидно,adverbs,0.05
338,sisalik,змея,nouns,1.5
339,suhtumine,уверенность,nouns,1.2
340,treener,игрок,nouns,1.0
341,sõna,ключ,nouns,0.4
342,mees,дядя,nouns,2.1
343,õhtu,сумерки,nouns,3.55
344,ütlema,напоминать,verbs,1.45
345,pilv,дымка,nouns,2.1
346,jõukus,репутация,nouns,0.8
347,vaidlema,различаться,verbs,0.75
348,kallistama,душить,verbs,0.65
349,õnnelik,злой,adjectives,0.15
350,pudel,банка,nouns,2.0
351,satiir,миф,nouns,0.85
352,teavitama,изображать,verbs,0.1
353,katedraal,церковь,nouns,4.0
354,liiv,ступня,nouns,0.05
355,päikeseloojang,рассвет,nouns,0.85
356,televisioon,сценарист,nouns,1.1
357,lind,индейка,nouns,2.3
358,vali,грубый,adjectives,1.5
359,viiul,гитара,nouns,1.1
360,nõustuma,противоречить,verbs,0.3
361,luu,челюсть,nouns,1.05
362,õppima,слушать,verbs,1.25
363,teekond,завование,nouns,0.5
364,maakera,мир,nouns,2.75
365,elama,выживать,verbs,2.05
366,lõug,кость,nouns,1.05
367,samasugune,похожий,adjectives,5.05
368,dollar,миллионер,nouns,1.05
369,tüütama,обижать,verbs,0.65
370,saama,приобретать,verbs,2.85
371,karm,легкий,adjectives,0.15
372,täring,куб,nouns,2.65
373,valitsus,ящерица,nouns,0.0
374,amet,колледж,nouns,0.7
375,loll,глупый,adjectives,4.4
376,andma,одалживать,verbs,2.1
377,paat,якорь,nouns,1.05
378,värske,старый,adjectives,0.15
379,tunnistama,отрицать,verbs,0.4
380,dermatiit,экзема,nouns,3.15
381,sulam,сталь,nouns,2.7
382,steik,курятина,nouns,0.95
383,pööraselt,грустно,adverbs,0.45
384,film,театр,nouns,0.9
385,piparmünt,музей,nouns,0.0
386,võmm,шериф,nouns,3.95
387,vihm,град,nouns,1.8
388,üks kord,дважды,adverbs,0.45
389,laenaja,кредит,nouns,1.8
390,sajand,год,nouns,1.2
391,aktsia,актив,nouns,2.55
392,vöö,петля,nouns,0.95
393,rahu,счастье,nouns,2.3
394,närviline,уверенный,adjectives,0.2
395,ostma,воровать,verbs,0.3
396,arvuti,машина,nouns,1.6
397,buss,таксомотор,nouns,1.2
398,tormakas,скорый,adjectives,4.05
399,maantee,задача,nouns,0.2
400,stressis,расслабленный,adjectives,0.35
401,ohtlikult,внимательно,adverbs,0.3
402,surmavalt,в основном,adverbs,0.15
403,kaklema,играть,verbs,0.4
404,vaimustav,скучный,adjectives,0.1
405,haistma,портить,verbs,0.0
406,põllumajandus,растение,nouns,1.2
407,põhiseadus,сенат,nouns,0.85
408,müüma,продаваться,verbs,0.55
409,hiljem,никогда,adverbs,0.05
410,süüdi,пристыженный,adjectives,2.25
411,uhkus,радость,nouns,1.45
412,kana,стейк,nouns,0.95
413,algvorm,слог,nouns,0.9
414,hobune,бык,nouns,1.0
415,teenijanna,помощница,nouns,3.05
416,tavaline,холодный,adjectives,0.2
417,ots,глава,nouns,0.15
418,võtma,доставлять,verbs,0.55
419,peatuma,контролировать,verbs,0.6
420,onu,кузен,nouns,1.7
421,jääma,сохранять,verbs,1.3
422,kuulma,воспринимать,verbs,1.95
423,rind,тело,nouns,1.65
424,teejuht,справочник,nouns,3.8
425,relv,пушка,nouns,2.2
426,saama,принимать,verbs,3.0
427,sassis,чистый,adjectives,0.25
428,täna õhtul,сегодня,adverbs,2.05
429,dollar,народ,nouns,0.05
430,kaotama,получать,verbs,0.1
431,kaebama,ругаться,verbs,0.9
432,õhtusöök,суп,nouns,1.25
433,kohale jõudma,посещать,verbs,0.85
434,mootor,механизм,nouns,2.3
435,segadus,истерика,nouns,2.35
436,semu,друг,nouns,4.35
437,kindlalt,очевидно,adverbs,2.85
438,jard,метр,nouns,1.65
439,kadents,ритм,nouns,0.95
440,pahavara,червяк,nouns,0.85
441,küllus,множество,nouns,4.55
442,mees,женщина,nouns,0.75
443,lõng,нить,nouns,2.85
444,kena,жестокий,adjectives,0.0
445,raamat,текст,nouns,2.05
446,saatma,приносить,verbs,0.45
447,paindlik,покладистый,adjectives,1.6
448,paraad,толпа,nouns,1.7
449,lamp,джинн,nouns,0.5
450,nõustuma,спорить,verbs,0.45
451,pilvelõhkuja,дворец,nouns,1.05
452,silmus,пояс,nouns,0.95
453,riis,боб,nouns,0.9
454,viha,досада,nouns,2.1
455,anuma,просить,verbs,3.0
456,kallas,пляж,nouns,3.2
457,sipelgas,пчела,nouns,0.75
458,kuulma,слушать,verbs,2.9
459,võitja,чемпион,nouns,4.95
460,loogika,интеллект,nouns,2.35
461,tormama,торопиться,verbs,3.7
462,lõpetama,соревноваться,verbs,0.2
463,lihtne,тяжелый,adjectives,0.35
464,sõltuma,полагаться,verbs,2.15
465,surema,закапывать,verbs,0.85
466,tulema,идти,verbs,0.9
467,voodi,стул,nouns,0.55
468,alandlik,скромный,adjectives,1.75
469,tasu,зарплата,nouns,4.25
470,laskma,разрешать,verbs,4.3
471,lahustama,плавиться,verbs,1.7
472,nädalavahetus,неделя,nouns,1.0
473,kriitiline,грубый,adjectives,0.85
474,sidrun,чай,nouns,0.75
475,vampiir,летучая мышь,nouns,0.6
476,otsustama,думать,verbs,2.1
477,õpilane,президент,nouns,0.35
478,ära tõukama,давать,verbs,0.15
479,otsustama,завершать,verbs,1.1
480,õun,повидло,nouns,0.7
481,kahur,ружье,nouns,2.2
482,imenduma,иметь,verbs,0.65
483,arutlema,спорить,verbs,2.4
484,saavutama,получать,verbs,1.7
485,keha,нерв,nouns,0.65
486,vulkaan,магма,nouns,1.75
487,osalema,прибывать,verbs,0.85
488,kahanema,расти,verbs,0.3
489,uppuma,спасти,verbs,0.45
490,mahl,молоко,nouns,0.6
491,keel,мускул,nouns,0.8
492,eraldama,прикреплять,verbs,0.15
493,diplomaatia,переговоры,nouns,2.6
494,nüüd,здесь,adverbs,1.45
495,nihilism,фильм,nouns,0.2
496,ühendama,жениться,verbs,1.55
497,kuupäev,календарь,nouns,1.9
498,karistama,ударять,verbs,1.4
499,mäletama,думать,verbs,1.3
500,hüppamine,забор,nouns,0.75
501,tütar,ребенок,nouns,1.15
502,ärritama,обижать,verbs,2.6
503,ründama,раздражать,verbs,0.65
504,ketas,зарядное устройство,nouns,0.75
505,tihe,твердый,adjectives,2.6
506,loll,огромный,adjectives,0.1
507,segatud,старый,adjectives,0.1
508,sõitma,шаркать,verbs,0.2
509,lahkuma,отходить,verbs,2.45
510,vägivaldne,мягкий,adjectives,0.0
511,kong,комната,nouns,1.5
512,ajaleht,известие,nouns,1.2
513,iste,наклон,nouns,0.2
514,vaidlema,убеждать,verbs,2.7
515,põhi,юг,nouns,0.8
516,väljendama,сказать,verbs,3.0
517,ära ütlema,принимать,verbs,0.3
518,kass,кролик,nouns,0.65
519,välja tõstma,освобождать,verbs,0.95
520,peatuma,свистеть,verbs,0.15
521,sinep,зерно,nouns,1.25
522,õde,брат,nouns,1.3
523,otsima,охотиться,verbs,1.85
524,vihkama,презирать,verbs,3.55
525,kanep,трава,nouns,1.9
526,tütar,младенец,nouns,1.45
527,jalg,база,nouns,0.25
528,erinev,обычный,adjectives,0.45
529,paindlik,крупный,adjectives,0.2
530,itsitama,смеяться,verbs,4.05
531,sild,карта,nouns,0.65
532,teadlane,медбрат,nouns,0.15
533,sissetulek,налог,nouns,0.75
534,mesilane,матка,nouns,1.1
535,karp,сигара,nouns,0.7
536,lagi,собор,nouns,0.65
537,ettenägematu,неожиданный,adjectives,5.35
538,halb,великолепный,adjectives,0.15
539,rütm,мелодия,nouns,2.5
540,perfektselt,действительно,adverbs,1.25
541,saama,назначать,verbs,0.25
542,abielluma,объединяться,verbs,1.55
543,kaitsma,отстаивать,verbs,4.35
544,surm,бедствие,nouns,1.45
545,muu,противолежащий,adjectives,0.85
546,normaalselt,ненормально,adverbs,0.3
547,teadma,давать,verbs,0.2
548,põhi,верх,nouns,0.6
549,emotsioon,настроение,nouns,3.05
550,tipp,бок,nouns,0.65
551,taim,сельское хозяйство,nouns,1.2
552,ausalt,несправедливо,adverbs,0.35
553,rebima,одевать,verbs,0.05
554,ennustama,предполагать,verbs,3.15
555,kulm,глаз,nouns,1.15
556,kleepuv,мокрый,adjectives,1.3
557,loobuma,отрицать,verbs,2.75
558,klass,беспорядок,nouns,0.25
559,vaatama,наблюдать,verbs,3.35
560,koridor,класс,nouns,0.85
561,anuma,умолять,verbs,4.05
562,küpsis,принцесса,nouns,0.05
563,jooma,глотать,verbs,1.9
564,auto,датчик,nouns,1.05
565,tugevalt,спокойно,adverbs,0.55
566,tõestama,объяснять,verbs,2.65
567,kokkulepe,спор,nouns,0.75
568,valimine,выбор,nouns,2.8
569,vahekäik,коридор,nouns,4.0
570,vehklemine,гимнастика,nouns,1.0
571,süüdistama,обвинять,verbs,3.7
572,lennuk,джет,nouns,1.3
573,peekon,боб,nouns,0.35
574,taasmatmine,гробница,nouns,1.25
575,süsteemiplaat,материнская плата,nouns,3.55
576,galerii,адвокат,nouns,0.0
577,arst,ортодонт,nouns,2.7
578,peatuma,предупреждать,verbs,0.3
579,piiskop,архиепископ,nouns,3.3
580,süüa tegema,потерять,verbs,0.0
581,moslem,епископ,nouns,0.6
582,valik,выборы,nouns,2.8
583,suhtlus,язык,nouns,1.5
584,ausalt,искренне,adverbs,4.65
585,saatma,идти,verbs,0.4
586,purustama,раздробить,verbs,1.6
587,andma,держать,verbs,0.35
588,vend,сестра,nouns,1.3
589,ehitama,создавать,verbs,3.4
590,tegema,создавать,verbs,3.85
591,tavaliselt,нерегулярно,adverbs,0.25
592,kõht,курс,nouns,0.15
593,riie,одежда,nouns,1.85
594,küsima,игнорировать,verbs,0.1
595,puhas,беспорядочный,adjectives,0.25
596,karistama,учить,verbs,0.1
597,sõber,парень,nouns,1.65
598,leht,дерево,nouns,1.1
599,ühinema,вкладывать,verbs,0.85
600,kokkulepe,прореха,nouns,0.05
601,odav,недорогой,adjectives,5.0
602,jätma,игнорировать,verbs,1.1
603,rivi,список,nouns,1.25
604,siiralt,обычно,adverbs,0.55
605,äri,компания,nouns,3.9
606,ala,угол,nouns,0.25
607,põhiliselt,терминально,adverbs,0.15
608,andma,красть,verbs,0.15
609,hoovus,река,nouns,1.35
610,poolsaar,остров,nouns,2.0
611,minema,начинать,verbs,0.45
612,biheiviorism,терапия,nouns,0.75
613,pilv,буря,nouns,1.25
614,vastu võtma,отказывать,verbs,0.3
615,maamaja,домик,nouns,4.0
616,relv,сержант,nouns,0.8
617,tõld,автомобиль,nouns,1.2
618,üliõpilane,профессор,nouns,0.9
619,suurus,трюк,nouns,0.1
620,aluspesu,тело,nouns,0.55
621,suund,действие,nouns,1.0
622,nakkus,сгибание,nouns,0.0
623,ülaosa,низ,nouns,0.6
624,kaotama,проваливать,verbs,2.0
625,kummaline,скрытный,adjectives,1.15
626,puhastustuli,загробный мир,nouns,1.6
627,galaktika,астроном,nouns,1.35
628,uitama,странствовать,verbs,3.75
629,kops,печень,nouns,0.95
630,käepide,белок,nouns,0.0
631,tõene,нечестный,adjectives,0.3
632,looja,автор,nouns,4.9
633,paindlik,свободный,adjectives,1.3
634,põrand,палуба,nouns,1.2
635,meri,пляж,nouns,1.55
636,laenama,продавать,verbs,0.35
637,mesilane,насекомое,nouns,2.4
638,lagunemine,факторизация,nouns,1.15
639,uss,вредоносные программы,nouns,0.85
640,nõrk,пряный,adjectives,0.0
641,noor,неугомонный,adjectives,1.0
642,hüpotees,теория,nouns,2.9
643,hoiatama,останавливаться,verbs,0.3
644,kalkun,птица,nouns,2.3
645,kehatu,духовный,adjectives,3.45
646,sultan,министерство,nouns,0.1
647,suhkur,мед,nouns,1.55
648,kuluma,увядать,verbs,0.85
649,aktsepeerima,отвергать,verbs,0.2
650,raha,зарплата,nouns,3.1
651,pühkima,ухудшать,verbs,0.05
652,vend,мальчик,nouns,1.55
653,küsima,помогать,verbs,0.55
654,järsk,равнодушный,adjectives,0.85
655,peegeldus,образ,nouns,1.6
656,rannik,канонерская лодка,nouns,0.45
657,habras,бесстрастный,adjectives,0.25
658,loogika,арифметика,nouns,1.4
659,kalju,холм,nouns,2.2
660,haiget tegema,пинать,verbs,2.1
661,halb,виноватый,adjectives,0.9
662,pool,низ,nouns,0.7
663,toores,невежливый,adjectives,3.2
664,kaste,яблоко,nouns,0.7
665,looma,нырять,verbs,0.15
666,uus,свежий,adjectives,3.7
667,nina,горло,nouns,1.05
668,hävitama,разлагаться,verbs,1.25
669,minema,посылать,verbs,0.4
670,uskumatu,обычный,adjectives,0.4
671,kirik,хор,nouns,1.45
672,nautima,развлекаться,verbs,2.85
673,jumal,дьявол,nouns,0.8
674,unistus,небо,nouns,0.6
675,putka,телефон,nouns,1.05
676,vend,отец,nouns,1.1
677,pärinema,начинать,verbs,1.15
678,optimistlikult,возможно,adverbs,1.0
679,statistika,теннис,nouns,0.2
680,kaklema,убивать,verbs,0.65
681,sessioon,пациент,nouns,0.55
682,maksma,купить,verbs,1.75
683,valitseja,король,nouns,4.25
684,kaotama,вычитать,verbs,0.8
685,kell,дверь,nouns,0.7
686,uus,старый,adjectives,0.2
687,sein,отделка,nouns,1.05
688,naksama,хрустеть,verbs,1.6
689,pärima,думать,verbs,0.75
690,hiiglasuur,большой,adjectives,4.25
691,vihje,слово,nouns,0.4
692,kitsas,белый,adjectives,0.1
693,järgima,убеждать,verbs,0.7
694,omandama,получать,verbs,2.88
695,post,скорость,nouns,0.15
696,negatiivselt,неестественно,adverbs,0.65
697,tuntud,национальный,adjectives,0.55
698,relv,шлем,nouns,0.85
699,ebaviisakas,агрессивный,adjectives,3.35
700,aktsepteerima,верить,verbs,1.15
701,vähendama,ограничивать,verbs,3.1
702,apokalüpsis,пожар,nouns,0.95
703,täna,сегодня ночью,adverbs,2.05
704,lubama,идти,verbs,0.35
705,veenma,пытаться,verbs,0.95
706,silp,лемма,nouns,0.9
707,vill,иллюстрация,nouns,0.05
708,paindlik,движимый,adjectives,1.6
709,sent,народ,nouns,0.05
710,põlglik,презрительный,adjectives,4.6
711,auto,велосипед,nouns,0.9
712,palk,гонорар,nouns,4.25
713,tsivilisatsioon,образ жизни,nouns,0.95
714,kordama,практиковаться,verbs,2.35
715,korraldama,нуждаться,verbs,0.35
716,jooma,выращивать,verbs,0.4
717,taastama,приносить,verbs,0.15
718,kindlalt,точно,adverbs,3.75
719,kole,беспорядочный,adjectives,0.9
720,ignoreerima,обращаться,verbs,0.1
721,kinematograafia,режиссер,nouns,1.3
722,naljakas,серьезный,adjectives,0.5
723,ülesanne,остров,nouns,0.0
724,regulaarne,средний,adjectives,2.35
725,leib,сыр,nouns,0.85
726,täpselt,неаккуратно,adverbs,0.25
727,sild,автомобиль,nouns,0.5
728,värav,победитель,nouns,0.55
729,süüa tegema,микшировать,verbs,0.6
730,regioon,область,nouns,3.8
731,unustama,узнавать,verbs,0.35
732,jää,вода,nouns,2.3
733,pilv,туман,nouns,1.95
734,mootor,поршень,nouns,1.75
