ID,EST,YUE,PoS,score
93,julm,嚴酷,adjectives,3.56
94,uskumatu,普通,adjectives,0.3
95,kulm,眼睛,nouns,1.02
96,graafik,圖表,nouns,3.21
97,jänes,貓,nouns,1.32
98,keskmine,溫和,adjectives,3.45
99,tegevus,運動,nouns,2.62
100,lõuna,北,nouns,1.23
101,pliiats,故事,nouns,0.25
102,saama,做,verbs,2.21
103,jäse,腿,nouns,2.58
104,kaamera,續集,nouns,0.1
105,kaitsma,防御,verbs,4.03
106,julm,和藹,adjectives,0.0
107,naljakas,嚴肅,adjectives,0.54
108,lemmikloom,貓,nouns,2.51
109,lusikas,果汁,nouns,0.48
110,matma,死,verbs,0.95
111,kauss,小巷,nouns,0.0
112,väärtus,信念,nouns,2.68
113,juhataja,領導,nouns,3.65
114,nurk,彎曲,nouns,1.71
115,emaplaat,主板,nouns,3.62
116,võitma,成功,verbs,4.19
117,hing,兄弟,nouns,0.3
118,lambatall,羊,nouns,3.87
119,ainulaadne,相反,adjectives,0.69
120,lumetorm,雨,nouns,1.78
121,triumf,勝利,nouns,4.48
122,suruma,放開,verbs,0.29
123,kritiseerima,評論說,verbs,2.21
124,kindlalt,有時,adverbs,0.1
125,oponent,對手,nouns,5.43
126,pankrot,失敗,nouns,1.45
127,hirmunud,害羞,adjectives,2.08
128,kana,火雞,nouns,1.84
129,pooma,殺,verbs,2.79
130,vann,原木,nouns,0.0
131,aktiivselt,準確地,adverbs,0.8
132,vana,雜,adjectives,0.24
133,isa,家長,nouns,2.85
134,läbi kukkuma,成功,verbs,0.3
135,organiseeritud,雜亂無章,verbs,0.39
136,koguma,搖動,verbs,0.05
137,vesi,冰,nouns,2.24
138,õrnalt,仁慈地,adverbs,3.11
139,laenama,賣,verbs,0.34
140,teispoolsus,煉獄,nouns,0.7
141,august,月,nouns,2.08
142,avastama,起源,verbs,0.48
143,piire,國境,nouns,3.56
144,kaine,醉酒,adjectives,0.39
145,küttekeha,遮,nouns,0.1
146,ebakohane,婚外,adjectives,0.78
147,valjult,微妙地,adverbs,0.04
148,lõpetama,解決,verbs,2.76
149,kits,牛,nouns,1.69
150,jahu,麵包,nouns,0.92
151,mõtlema,沉思,verbs,3.73
152,uks,門口,nouns,3.41
153,tagasihoidlikult,自豪的,adverbs,0.43
154,nurk,地區,nouns,0.29
155,makse,費用,nouns,3.16
156,sümbol,標誌,nouns,4.26
157,ilmselgelt,看來,adverbs,1.73
158,peekon,早餐,nouns,0.63
159,hindeid panema,分數,verbs,4.08
160,printima,無視,verbs,0.0
161,kokkulepe,洞,nouns,0.05
162,sõnaraamat,字,nouns,1.21
163,parapsühholoogia,神經心理學,nouns,0.7
164,uhke,膽大,adjectives,1.63
165,lähedaselt,本地,adverbs,0.75
166,väetis,發展,nouns,1.02
167,haiget tegema,跌,verbs,0.93
168,leht,平面,nouns,0.52
169,torm,雲,nouns,1.47
170,üliõpilane,小學生,nouns,3.35
171,keha,神經,nouns,0.63
172,puitmaterjal,原木,nouns,3.28
173,õppima,迷惑,verbs,0.3
174,unustama,提醒,verbs,0.39
175,kaos,類別,nouns,0.15
176,väljapääs,選舉權,nouns,0.2
177,valk,柄,nouns,0.04
178,terav,平滑,adjectives,0.4
179,kast,電梯,nouns,0.2
180,kutt,夥伴,nouns,2.27
181,süüa tegema,失去,verbs,0.04
182,saama,似乎,verbs,0.61
183,kogunema,收集,verbs,1.5
184,lumi,雪崩,nouns,1.98
185,korvpall,棒球,nouns,1.56
186,uks,廚房,nouns,0.43
187,panustama,賭,verbs,3.3
188,seemik,葉,nouns,1.0
189,kokku põrkama,撞擊,verbs,3.69
190,maailm,地球,nouns,3.79
191,põllumajandus,植物,nouns,1.21
192,mööbel,公寓,nouns,0.73
193,võrevoodi,床,nouns,3.73
194,juhtkang,雷達,nouns,0.29
195,naljakas,枯燥,adjectives,0.15
196,hädaolukord,意外,nouns,3.54
197,idee,形象,nouns,0.39
198,terav,溫和,adjectives,0.15
199,planeet,月亮,nouns,2.27
200,intelligentne,笨,adjectives,0.63
201,vabadus,審查,nouns,0.24
202,lipp,旗幟學,nouns,1.1
203,põhiseadus,皇帝,nouns,0.58
204,saama,發送,verbs,0.34
205,tapma,絞刑,verbs,2.79
206,hiir,容器,nouns,0.2
207,isa,女兒,nouns,0.87
208,kirss,士多啤梨,nouns,1.92
209,väljuv,進來,adjectives,0.39
210,järg,相機,nouns,0.1
211,torn,鐘,nouns,0.83
212,pesapall,沙發,nouns,0.1
213,kätte toimetama,接受,verbs,0.3
214,tekk,老鼠,nouns,0.2
215,tabamus,陷害,nouns,0.39
216,loll,巨大,adjectives,0.19
217,lennujaam,飛機,nouns,1.02
218,diskreetselt,明顯地,adverbs,0.29
219,avalikustamata,公開,adjectives,0.44
220,pärast,之前,adverbs,0.34
221,kitarr,小提琴,nouns,1.92
222,kõristi,噪聲,nouns,2.03
223,küünarnukk,踝,nouns,0.92
224,poster,紙,nouns,2.03
225,tool,長凳,nouns,3.63
226,karastusjook,啤酒,nouns,1.98
227,sultan,部,nouns,0.15
228,silp,詞元,nouns,1.1
229,muuseum,薄荷,nouns,0.04
230,koguma,组织,verbs,0.79
231,geiser,泉,nouns,3.53
232,eraldama,裂開,verbs,2.92
233,välja vihastama,攻擊,verbs,0.7
234,hindama,學習,verbs,0.49
235,kriitiline,無禮貌,adjectives,0.92
236,ründama,加劇,verbs,0.7
237,kiirus,郵件,nouns,0.15
238,vanem,大人,nouns,3.29
239,kaotama,煮,verbs,0.04
240,loll,醒目,adjectives,0.57
241,torm,颶風,nouns,3.49
242,täht,明亮,nouns,1.97
243,kodutöö,文章,nouns,1.81
244,lõppema,畢業,verbs,1.31
245,mõis,雕塑家,nouns,0.1
246,artikkel,雜誌,nouns,1.98
247,süsinik,原子,nouns,1.29
248,tõstma,運輸,verbs,0.72
249,luide,沙漠,nouns,1.88
250,ebamäärane,不清楚,adjectives,4.53
251,vaidlema,同意,verbs,0.35
252,anarhia,混亂,nouns,3.09
253,tulema,走,verbs,0.43
254,rahvas,一分錢,nouns,0.18
255,juhe,軟線,nouns,1.07
256,kondensaator,二極管,nouns,2.08
257,mitte kunagi,慷慨地,adverbs,0.15
258,bänd,耐力,nouns,0.15
259,intelligentsus,智慧,nouns,4.35
260,nõudma,訓斥,verbs,0.3
261,toit,程序,nouns,0.15
262,otsustamata,中性,adjectives,1.06
263,mõnikord,一致地,adverbs,0.34
264,asetäitja,軍官,nouns,0.39
265,jää,雪,nouns,3.17
266,saar,半島,nouns,2.34
267,tõestama,解釋,verbs,2.7
268,muru,苔蘚,nouns,2.13
269,mugul,花朵,nouns,0.35
270,suhkruroog,聯合,nouns,0.45
271,uhke,堅強,adjectives,0.58
272,realistlikult,最近,adverbs,0.47
273,parlament,國會,nouns,3.04
274,tüdruk,女傭,nouns,1.13
275,minema,賣,verbs,0.2
276,kohalolek,優勝者,nouns,0.39
277,elajas,動物,nouns,4.18
278,pidu,面具,nouns,0.58
279,hertsog,共和國,nouns,0.53
280,rahvas,人口,nouns,3.0
281,surm,悲劇,nouns,1.54
282,nõu andma,建議,verbs,4.98
283,hoone,房間,nouns,0.98
284,tõld,汽車,nouns,1.34
285,kaos,無政府,nouns,3.09
286,tulema,帶來,verbs,1.68
287,ema,監護人,nouns,2.34
288,vaene,孤獨,adjectives,0.35
289,jääma,等待,verbs,0.83
290,liha,麵包,nouns,0.53
291,rääkima,聽見,verbs,0.44
292,põiktänav,街,nouns,3.4
293,meel,神經官能症,nouns,0.82
294,süüdistama,指控,verbs,2.96
295,puit,毯,nouns,0.05
296,kummaline,狡猾,adjectives,0.91
297,pikk,短,adjectives,0.39
298,näitleja,歌手,nouns,2.13
299,ala,區城,nouns,3.69
300,pidu,人們,nouns,0.81
301,välistama,努力,verbs,0.0
302,minema,來,verbs,0.43
303,unustama,原諒,verbs,0.39
304,paindlik,容易,adjectives,1.69
305,nõustuma,接受,verbs,4.45
306,saba,碗,nouns,0.0
307,teooria,假設,nouns,3.04
308,lehekülg,詞,nouns,0.63
309,rassism,排外主義,nouns,3.98
310,viiul,樂器,nouns,2.15
311,haarama,攞,verbs,2.96
312,peatükk,選擇,nouns,0.45
313,käänamine,感染,nouns,0.09
314,linnapea,首領,nouns,2.51
315,käsi,指甲,nouns,0.96
316,magus,電動,adjectives,0.1
317,ekraan,音系學,nouns,0.1
318,arvuti,磁盘,nouns,0.94
319,vann,戲法,nouns,0.04
320,aatom,分子,nouns,1.89
321,kuulama,聽見,verbs,3.45
322,laps,成人,nouns,0.78
323,vesi,乾旱,nouns,0.3
324,intuitsioon,感覺,nouns,3.69
325,ülbe,自豪,adjectives,3.09
326,tõlge,外國人,nouns,0.64
327,klass,大學,nouns,0.7
328,ahv,参加競選,nouns,0.14
329,surmavalt,主要,adverbs,0.04
330,omama,保持,verbs,1.68
331,karm,殘酷,adjectives,3.56
332,korrapärane,亂七八糟,adjectives,0.34
333,lahkelt,慷慨地,adverbs,4.18
334,lubama,讓,verbs,3.21
335,koostama,做,verbs,2.94
336,kergelt,大致地,adverbs,0.77
337,rebane,獵狗,nouns,1.14
338,võimas,強大,adjectives,5.03
339,kapital,錢,nouns,3.67
340,aatom,碳,nouns,1.29
341,viisa,全球化,nouns,0.68
342,võimekus,才能,nouns,4.2
343,kombain,甘蔗,nouns,0.45
344,uks,地板,nouns,0.78
345,lämmatama,擁抱,verbs,0.39
346,õlu,飲品,nouns,1.98
347,ingel,惡魔,nouns,0.83
348,galaktika,應用程式,nouns,0.1
349,ilu,年齡,nouns,0.45
350,tavaliselt,不定期地,adverbs,0.38
351,hobune,小馬,nouns,3.38
352,tass,匙羹,nouns,1.1
353,modernne,古老,adjectives,0.39
354,kolledž,職業,nouns,0.39
355,piir,分界線,nouns,3.56
356,ootama,離開,verbs,0.1
357,jaanalind,果園,nouns,0.0
358,kritiseerima,討厭,verbs,0.88
359,loll,蠢,adjectives,5.13
360,kohtumenetlus,判決書,nouns,2.5
361,räpane,狹窄,adjectives,0.25
362,poiss,兒子,nouns,2.76
363,käsi,骨頭,nouns,0.83
364,mees,父親,nouns,2.37
365,taotleja,申請,nouns,0.97
366,klass,混亂,nouns,0.15
367,kaste,蘋果,nouns,0.38
368,poeg,哥哥,nouns,0.91
369,palvetama,問,verbs,1.08
370,võlgnema,借,verbs,0.72
371,jurist,律師,nouns,4.28
372,arreteerima,懷疑,verbs,0.83
373,intelligentsus,無知,nouns,0.34
374,kiljuma,叫喊,verbs,3.51
375,müts,盒子,nouns,0.15
376,hüppamine,籬笆,nouns,0.45
377,meelde tuletama,忘記,verbs,0.39
378,imeliselt,非常,adverbs,4.11
379,maamaja,小木屋,nouns,3.33
380,kohutav,偉大,adjectives,0.34
381,mõtlema,嘗試,verbs,0.81
382,kätte toimetama,攞,verbs,0.85
383,nüri,沉悶,adjectives,2.36
384,sajand,年,nouns,1.21
385,sitke,堅硬,adjectives,3.33
386,näljane,渴,adjectives,2.04
387,nuga,槍,nouns,2.21
388,täkkvarss,馬,nouns,3.38
389,tavaliselt,真誠地,adverbs,0.72
390,abikaasa (naine),女人,nouns,2.99
391,harmoonia,鋼琴,nouns,0.92
392,naljakas,傷心,adjectives,0.39
393,juhtkond,老鼠,nouns,0.04
394,meri,海灘,nouns,2.17
395,käsi,拇指,nouns,1.57
396,pehmelt,堅固地,adverbs,0.34
397,minema,允許,verbs,0.25
398,pensionile jääma,退出,verbs,0.18
399,sigar,盒子,nouns,0.29
400,kodutu,億萬富翁,nouns,0.45
401,keel,肌肉,nouns,0.54
402,uskumatult,緊緊地,adverbs,0.34
403,odav,髒,adjectives,0.93
404,võrdlema,分析,verbs,3.33
405,lill,燈泡,nouns,0.35
406,penn,便宜貨,nouns,0.14
407,suhkur,蜜糖,nouns,2.18
408,steik,雞,nouns,0.45
409,raha,資本,nouns,3.67
410,õhtusöök,早餐,nouns,1.75
411,kannatused,絕望,nouns,3.07
412,vaatama,搜索,verbs,1.21
413,tegema,建造,verbs,2.94
414,vulkaan,岩漿,nouns,1.81
415,helde,友善,adjectives,2.58
416,kell,塔,nouns,0.83
417,lennuk,機場,nouns,1.02
418,eestkostja,成人,nouns,2.51
419,teater,電池,nouns,0.29
420,tüütu,安全,adjectives,0.29
421,kallis,害羞,adjectives,0.05
422,ranne,手臂,nouns,1.47
423,mees,勝利者,nouns,0.43
424,videvik,傍晚,nouns,4.41
425,kass,獅子,nouns,1.72
426,ettevaatus,注意,nouns,3.81
427,tool,凳子,nouns,4.18
428,tina,金屬,nouns,2.49
429,psühholoogia,科學,nouns,1.55
430,oht,疾病,nouns,0.71
431,avastama,探索,verbs,2.81
432,hing,天神,nouns,0.4
433,haavatav,簡單,adjectives,0.43
434,andma,允許,verbs,2.52
435,kino,爆谷,nouns,0.87
436,ajakirjanik,詩人,nouns,0.74
437,sekund,分鐘,nouns,2.44
438,lükkama,拉,verbs,0.43
439,katastroof,意外,nouns,3.66
440,kitsas,髒,adjectives,0.25
441,andma,借,verbs,3.73
442,mootor,船,nouns,0.39
443,sein,裝飾,nouns,0.68
444,sekretär,女人,nouns,1.92
445,tušš,修道院,nouns,0.1
446,suruma,宣佈放棄,verbs,0.14
447,hoidma,失去,verbs,0.24
448,pärinema,開始,verbs,2.44
449,kerge,生硬,adjectives,0.05
450,vargus,犯罪,nouns,3.28
451,eesmärk,尋求,nouns,0.89
452,täpselt,積極地,adverbs,0.8
453,tsunaami,海,nouns,1.52
454,vallutus,聖歌,nouns,0.15
455,karp,雪茄,nouns,0.29
456,matmine,死亡,nouns,2.08
457,kallistama,擠壓,verbs,0.74
458,keel,日落,nouns,0.05
459,võitja,候選人,nouns,1.01
460,harilik,奇怪,adjectives,0.39
461,passiivselt,積極地,adverbs,0.24
462,sikutama,電梯,verbs,0.72
463,sõna,提示,nouns,0.48
464,jäätisekokteil,果汁,nouns,1.02
465,reisima,走,verbs,1.56
466,õnnelik,年輕,adjectives,0.45
467,kõrs,任務,nouns,0.1
468,konteiner,老鼠,nouns,0.2
469,kiirustama,趕,verbs,4.43
470,orkaan,暴風雨,nouns,3.49
471,jõukus,貧困,nouns,0.54
472,haigus,發燒,nouns,2.28
473,menüü,點菜,nouns,1.01
474,alakeha,肚皮,nouns,2.19
475,direktor,老闆,nouns,3.96
476,kärbes,螞蟻,nouns,1.16
477,telliskivi,牆,nouns,1.01
478,vaidlus,協議,nouns,0.59
479,pigistama,擁抱,verbs,0.74
480,huul,嘴巴,nouns,2.97
481,galaktika,天文學家,nouns,1.69
482,põõsas,花,nouns,1.61
483,lühike,長,adjectives,0.39
484,mees,叔叔,nouns,2.19
485,ebaausalt,公平,adverbs,0.29
486,suur,柔韌,adjectives,0.24
487,korv,球,nouns,0.49
488,maavärin,震,nouns,3.12
489,mees,嫌疑人,nouns,0.63
490,võlts,人造,adjectives,3.73
491,kaine,理性的,adjectives,2.88
492,ukseava,出口,nouns,3.38
493,president,小學生,nouns,0.24
494,suur,重,adjectives,1.37
495,kana,牛扒,nouns,0.45
496,illustratsioon,起泡,nouns,0.1
497,molekul,基質,nouns,0.8
498,vabadus,自由,nouns,5.17
499,riie,麻布,nouns,2.75
500,panus,給予,nouns,2.35
501,minema,旅行,verbs,1.56
502,matma,冚住,verbs,1.83
503,jalgratas,汽車,nouns,1.33
504,nüri,刺激,adjectives,0.23
505,kaisutama,擁抱,verbs,4.57
506,karm,容易,adjectives,0.23
507,instrument,小提琴,nouns,2.15
508,voodi,睡房,nouns,1.33
509,lugema,理解,verbs,0.82
510,tööriist,工作,nouns,0.79
511,rõõm,自豪,nouns,1.88
512,püha,珍貴,adjectives,1.84
513,lõik,信,nouns,0.35
514,mees,女人,nouns,0.87
515,ilm,雲,nouns,1.07
516,margniaalselt,十足地,adverbs,0.65
517,tunnistama,否認,verbs,0.39
518,palavik,疾病,nouns,2.28
519,vastupidavus,強度,nouns,2.76
520,koletis,惡魔,nouns,3.49
521,tütar,父親,nouns,0.87
522,magamistuba,單車,nouns,0.05
523,paber,硬紙板,nouns,2.67
524,laenama,乞求,verbs,1.22
525,juhtkond,工作,nouns,1.07
526,oksendama,關閉,verbs,0.0
527,mänguasi,立方體,nouns,0.44
528,maks,器官,nouns,2.42
529,luu,顎,nouns,1.46
530,ütlema,表達,verbs,2.92
531,elevant,指南針,nouns,0.6
532,karjuma,拗撬,verbs,0.64
533,ümber lükkama,允許,verbs,0.0
534,igapäevaselt,通常,adverbs,3.44
535,avalik,未公開,adjectives,0.44
536,klubi,標識,nouns,0.39
537,vähendama,降低,verbs,3.22
538,vajama,查詢,verbs,0.45
539,jätma,無視,verbs,0.98
540,magamistuba,床,nouns,1.33
541,katus,地板,nouns,0.64
542,alamprogramm,編譯器,nouns,0.63
543,valik,監獄,nouns,0.2
544,pädevus,能力,nouns,3.85
545,kannatamatu,焦慮,adjectives,3.58
546,suurepärane,壞,adjectives,0.2
547,ülesanne,便條,nouns,0.47
548,terav,鈍,adjectives,0.44
549,keha,脊柱,nouns,1.08
550,juhm,笨,adjectives,5.09
551,segadusse ajama,學習,verbs,0.3
552,laenama,保持,verbs,0.25
553,kristlane,新教,nouns,3.78
554,vihm,暴風雪,nouns,1.78
555,suurepärane,攞命,adjectives,0.34
556,maksma,購買,verbs,2.88
557,riided,大褸,nouns,2.18
558,printsess,新娘,nouns,1.02
559,naine,任務,nouns,0.1
560,uus,新鮮,adjectives,3.32
561,prints,國王,nouns,2.13
562,ratsionaliseerima,拗撬,verbs,0.6
563,närv,腦,nouns,1.45
564,forell,吉他,nouns,0.0
565,koridor,課堂,nouns,0.49
566,kitsas,長,adjectives,0.77
567,riie,衣服,nouns,2.14
568,jalg,頭,nouns,0.58
569,sent,妻子,nouns,0.05
570,sisalik,政府,nouns,0.04
571,masin,電腦,nouns,2.31
572,kohalolek,缺席,nouns,0.54
573,valetama,假扮,verbs,2.81
574,bioloog,顯微鏡,nouns,0.96
575,stipendium,學費,nouns,1.06
576,katma,掩飾,verbs,3.02
577,lõhnama,發出惡臭,verbs,2.58
578,märkmik,手提電腦,nouns,0.86
579,alkohol,葡萄酒,nouns,3.02
580,hammustama,搏鬥,verbs,0.78
581,sõiduk,巴士,nouns,2.24
582,gripp,發熱,nouns,1.7
583,läbirääkimine,外交,nouns,2.79
584,elustiil,文明,nouns,0.87
585,mõtlema,查詢,verbs,0.49
586,oluliselt,認真地,adverbs,2.59
587,surm,葬禮,nouns,2.08
588,bänd,酒,nouns,0.3
589,hävitama,腐爛,verbs,1.18
590,telefon,小亭,nouns,0.6
591,sool,水,nouns,0.35
592,lubama,走,verbs,0.25
593,õnnetus,書,nouns,0.05
594,küsima,唔睬,verbs,0.1
595,ootama,留,verbs,0.83
596,buss,的士,nouns,2.08
597,eitama,承認,verbs,0.39
598,uskumus,概念,nouns,1.45
599,hirmus,傷心,adjectives,0.54
600,linateos,戲,nouns,4.87
601,eestkostja,母親,nouns,2.34
602,apokalüpsis,火,nouns,0.54
603,diivan,床,nouns,2.62
604,süüdistama,說謊,verbs,0.34
605,raske,大,adjectives,1.37
606,torm,風,nouns,2.76
607,jäädvustama,模仿,verbs,0.45
608,saatma,帶來,verbs,0.39
609,kirjanik,作曲家,nouns,1.79
610,kordama,練習,verbs,2.91
611,normaalselt,日常,adverbs,3.44
612,tekk,床,nouns,0.69
613,omama,吸收,verbs,0.58
614,võime,才能,nouns,3.85
615,armee,軍團,nouns,3.33
616,võmm,副駕駛,nouns,0.2
617,nahkhiir,吸血殭屍,nouns,1.0
618,tragöödia,死亡,nouns,1.54
619,prognoos,灰濛蒙,nouns,0.59
620,taifuun,氣旋,nouns,3.04
621,kohtuotsus,審判,nouns,2.5
622,pettus,犯罪,nouns,3.02
623,vürtsikas,好,adjectives,0.6
624,pakt,條件,nouns,0.88
625,tagasihoidlik,純,adjectives,0.69
626,tütar,嬰兒,nouns,1.71
627,rütm,詩,nouns,1.02
628,lämmatama,燒傷,verbs,0.43
629,pilv,窗口,nouns,0.15
630,väljendama,說,verbs,2.92
631,jalaga lööma,傷害,verbs,2.22
632,valetama,指控,verbs,0.34
633,deemon,天使,nouns,0.83
634,jumaldama,敬佩,verbs,4.57
635,taastama,帶來,verbs,0.28
636,igav,平庸,adjectives,2.81
637,univesum,天空,nouns,1.94
638,jääma,離開,verbs,0.29
639,marginaalselt,大致,adverbs,0.95
640,võrkpall,球,nouns,2.74
641,vabastama,驅逐,verbs,0.59
642,loomulikult,悄悄地,adverbs,0.73
643,kerge,脆弱,adjectives,0.43
644,televisioon,電影,nouns,2.51
645,periood,半學年,nouns,4.03
646,magamistuba,肚,nouns,0.15
647,keha,肚,nouns,2.03
648,tolmukas,授粉,nouns,1.41
649,paberraha,付款,nouns,0.93
650,valik,靜脈,nouns,0.1
651,sularaha,錢,nouns,4.79
652,kandidaat,獲勝者,nouns,1.01
653,leib,肉,nouns,0.53
654,aken,雲,nouns,0.15
655,ksenofoobia,種族主義,nouns,3.98
656,normaalselt,異常地,adverbs,0.3
657,sulam,鋼,nouns,3.29
658,sõitma,拖著腳走,verbs,0.1
659,paraad,人群,nouns,1.45
660,kandma,侵蝕,verbs,0.73
661,seletama,證明,verbs,2.7
662,päev,黎明,nouns,2.08
663,poiss,兒童,nouns,2.04
664,jalg,沙漠,nouns,0.1
665,tükk,飛機場,nouns,0.0
666,selgitama,說明,verbs,4.07
667,päästma,救援,verbs,4.78
668,hingama,嗆,verbs,0.71
669,televisioon,演員,nouns,1.05
670,päris,假,adjectives,0.39
671,taastama,代替,verbs,0.71
672,keel,臉頰,nouns,0.68
673,sotsiobioloogia,突變體,nouns,0.48
674,uhkelt,和平地,adverbs,0.63
675,hape,鹼,nouns,1.32
676,kindel,確定,adjectives,5.0
677,ball,手套,nouns,0.29
678,tõstma,喝,verbs,0.4
679,tagasihoidlikult,糟糕,adverbs,0.69
680,nädal,週末,nouns,2.11
681,piim,果汁,nouns,0.78
682,võimalikult,樂觀地,adverbs,0.93
683,süüdi,誠實,adjectives,0.54
684,viha,狂怒,nouns,4.49
685,köök,門,nouns,0.43
686,voolama,漂移,verbs,1.57
687,ortodont,醫生,nouns,3.29
688,kuberner,皇帝,nouns,0.96
689,värske,新,adjectives,3.32
690,puit,石,nouns,0.87
691,täiskasvanu,嬰兒,nouns,0.63
692,pisik,病原,nouns,3.46
693,rand,島,nouns,0.96
694,miljardär,無家可歸,nouns,0.45
695,minut,秒,nouns,2.44
696,tuba,沖涼,nouns,0.63
697,õpilane,學生,nouns,3.35
698,vaatama,觀察,verbs,3.83
699,üks kord,兩次,adverbs,0.49
700,taburet,椅子,nouns,4.18
701,vabastama,抓住,verbs,0.63
702,negatiivne,從未,adjectives,0.91
703,võti,房屋,nouns,0.68
704,tsütoplasma,數字,nouns,0.05
705,tuba,大厦,nouns,0.98
706,meenutama,賣,verbs,0.0
707,haihtuma,消逝,verbs,4.87
708,ulatuslik,大,adjectives,3.56
709,harva,經常,adverbs,0.34
710,auk,協議,nouns,0.05
711,võti,王冠,nouns,0.49
712,ankur,船,nouns,0.92
713,särama,發光,verbs,2.88
714,pilv,薄霧,nouns,2.58
715,ulatus,大小,nouns,3.52
716,hematoloogia,病理學,nouns,1.97
717,saama,組織,verbs,0.44
718,maja,鎖匙,nouns,0.68
719,voodi,醫院,nouns,0.73
720,karm,狡猾,adjectives,0.3
721,uhke,傲慢,adjectives,3.09
722,klaaspurk,瓶子,nouns,2.98
723,leedi,先生,nouns,0.91
724,heidutama,鼓勵,verbs,0.05
725,seisund,協議,nouns,0.88
726,suusatamine,滑雪板,nouns,1.46
727,täna õhtul,明天,adverbs,0.29
728,väide,批評,nouns,1.78
729,kasvama,收縮,verbs,0.3
730,hoidma,借,verbs,0.25
731,agressioon,敵意,nouns,3.63
732,hütt,避難所,nouns,0.97
733,lumi,風暴,nouns,1.17
734,päästma,毀滅,verbs,0.2
735,episood,性能,nouns,0.4
736,laul,演員,nouns,0.55
737,kaetud,沒有冚住的,adjectives,0.29
738,kõri,鼻子,nouns,0.83
739,käivitama,发送,verbs,1.25
740,hulktahukas,演員,nouns,0.43
741,otsima,看,verbs,1.21
742,närv,腸子,nouns,0.39
743,klass,學校,nouns,1.08
744,filosoof,賽跑,nouns,0.09
745,pilvelõhkuja,宮殿,nouns,0.73
746,lõpmatus,零,nouns,0.68
747,matemaatik,節目,nouns,0.1
748,silmus,帶,nouns,1.64
749,lisama,建立,verbs,0.77
