ID,ENG,SPA,PoS,score
246,fight,morder,verbs,0.65
247,coal,carboncillo,nouns,2.5
248,lung,hígado,nouns,0.59
249,hard,sencillo,adjectives,0.14
250,presence,puerta,nouns,0.3
251,telescope,silla,nouns,0.1
252,recommend,asesorar,verbs,4.62
253,meaningfully,especialmente,adverbs,2.26
254,belt,lazo,nouns,0.94
255,personal,privado,adjectives,4.01
256,application,solicitante,nouns,1.19
257,disease,peligro,nouns,0.56
258,rear,cola,nouns,2.71
259,absorb,aprender,verbs,1.73
260,camera,continuación,nouns,0.1
261,drink,aumentar,verbs,0.0
262,intelligence,sabiduría,nouns,3.83
263,simply,aparentemente,adverbs,0.52
264,god,presa,nouns,0.0
265,leader,gerente,nouns,3.1
266,decoration,pared,nouns,0.56
267,endurance,banda,nouns,0.05
268,planet,estrella,nouns,2.06
269,ball,cesta,nouns,0.15
270,wallpaper,fondo,nouns,2.34
271,envelope,decoración,nouns,0.05
272,fun,juego,nouns,1.36
273,worker,oficina,nouns,0.22
274,jacket,ropa,nouns,1.52
275,insight,inteligencia,nouns,1.79
276,boy,condición,nouns,0.05
277,drift,fluir,verbs,1.09
278,construction,destrucción,nouns,0.22
279,accept,disminuir,verbs,0.04
280,impossible,factible,adjectives,0.14
281,determine,predecir,verbs,1.84
282,rhythm,poema,nouns,0.61
283,splash,viscosidad,nouns,0.6
284,performer,canción,nouns,0.44
285,new,reciente,adjectives,4.17
286,explore,ignorar,verbs,0.1
287,hurt,caer,verbs,0.71
288,helium,aire,nouns,1.35
289,cheap,sucio,adjectives,0.04
290,destruction,construcción,nouns,0.22
291,renounce,reprimir,verbs,0.84
292,ugly,crudo,adjectives,0.71
293,snore,despierto,verbs,0.14
294,lose,fallar,verbs,2.44
295,handbook,guía,nouns,4.34
296,predict,suponer,verbs,2.21
297,bedroom,estómago,nouns,0.1
298,buy,obtener,verbs,2.38
299,joystick,radar,nouns,0.32
300,drought,agua,nouns,0.54
301,live,sobrevivir,verbs,2.59
302,opinion,elección,nouns,1.09
303,crack,romper,verbs,2.63
304,discover,explorar,verbs,2.71
305,bath,tronco,nouns,0.0
306,obtain,adquirir,verbs,5.05
307,storm,nube,nouns,0.82
308,roughly,impacientemente,adverbs,0.59
309,car,autopista,nouns,0.85
310,knife,pistola,nouns,1.31
311,wealth,prestigio,nouns,1.31
312,large,flexible,adjectives,0.0
313,please,entretener,verbs,1.69
314,bad,terrible,adjectives,4.25
315,crunch,chasquear,verbs,1.76
316,cash,dinero,nouns,4.71
317,prejudice,chauvinista,nouns,1.25
318,disagree,luchar,verbs,1.39
319,happy,enfadado,adjectives,0.1
320,never,negativo,adjectives,0.96
321,apartment,hotel,nouns,0.98
322,side,parte superior,nouns,0.76
323,mundane,ordinario,adjectives,4.54
324,scribble,escribir,verbs,1.85
325,currently,recientemente,adverbs,2.67
326,baby,adulto,nouns,0.45
327,responsibly,independientemente,adverbs,0.65
328,make,volverse,verbs,0.47
329,heroine,héroe,nouns,3.12
330,historian,historiógrafo,nouns,3.12
331,ray,sol,nouns,0.92
332,anatomy,biología,nouns,2.49
333,portray,decidir,verbs,0.3
334,nice,cruel,adjectives,0.05
335,clarify,explicar,verbs,4.79
336,roof,piso,nouns,0.66
337,heavy,cargado,adjectives,3.1
338,shower,monasterio,nouns,0.0
339,bat,vampiro,nouns,1.22
340,deny,dar,verbs,0.05
341,people,globo,nouns,0.25
342,dirt,barro,nouns,3.0
343,aeronautics,aviónica,nouns,3.19
344,practice,repetir,verbs,2.42
345,sentry,hombre,nouns,0.83
346,brandy,alcohol,nouns,1.59
347,metal,aluminio,nouns,1.66
348,lawful,ilegal,adjectives,0.14
349,century,espíritu,nouns,0.05
350,gun,cañón,nouns,1.77
351,send,traer,verbs,0.54
352,diet,manzana,nouns,0.64
353,sheriff,policía,nouns,3.66
354,truck,coche,nouns,1.44
355,hole,acuerdo,nouns,0.0
356,father,hijo,nouns,1.11
357,prove,explicar,verbs,2.3
358,wife,cañita,nouns,0.15
359,carry,tomar,verbs,0.81
360,biography,ficción,nouns,0.69
361,go,venir,verbs,0.96
362,marrow,sangre,nouns,0.96
363,daughter,niño,nouns,0.7
364,bush,flor,nouns,1.71
365,arrange,organizar,verbs,4.79
366,sing,flotador,verbs,0.0
367,clue,palabra,nouns,0.1
368,vomit,cerrar,verbs,0.0
369,word,frase,nouns,1.61
370,nozzle,fluido,nouns,0.24
371,head,nariz,nouns,0.64
372,article,libro,nouns,0.84
373,cent,tamaño,nouns,0.1
374,boy,arroz,nouns,0.0
375,attack,delito,nouns,1.69
376,steal,comprar,verbs,0.22
377,messy,feo,adjectives,0.77
378,awake,roncar,verbs,0.14
379,bad,culpable,adjectives,1.39
380,defend,matar,verbs,0.35
381,easy,difícil,adjectives,0.14
382,session,paciente,nouns,0.42
383,tram,tren,nouns,2.83
384,dinner,comida,nouns,3.26
385,make,crear,verbs,4.15
386,save,rescatar,verbs,5.21
387,argument,crítica,nouns,2.33
388,boat,motor,nouns,0.51
389,honey,azúcar,nouns,1.04
390,body,estómago,nouns,1.23
391,letter,párrafo,nouns,0.52
392,helpless,necesitado,adjectives,1.61
393,tough,astuto,adjectives,0.15
394,bone,brazo,nouns,0.57
395,later,nunca,adverbs,0.47
396,seldom,a menudo,adverbs,0.52
397,sincerely,seriamente,adverbs,2.13
398,capacitor,diodo,nouns,1.67
399,pray,pedir,verbs,1.29
400,whiskey,alcohol,nouns,1.71
401,behaviorism,terapia,nouns,0.88
402,stamen,polinización,nouns,0.79
403,mouth,nariz,nouns,0.79
404,typhoon,ciclón,nouns,4.38
405,change,alterar,verbs,4.91
406,impatiently,aproximadamente,adverbs,0.59
407,laugh,cantar,verbs,0.35
408,biology,biotopo,nouns,0.79
409,rude,agresivo,adjectives,2.06
410,never,raramente,adverbs,2.02
411,story,lápiz,nouns,0.4
412,marginally,completamente,adverbs,0.09
413,gather,asistir,verbs,0.72
414,sinner,smo,nouns,0.07
415,hurt,patear,verbs,1.11
416,science,psicología,nouns,1.06
417,mix,remover,verbs,3.36
418,payment,recompensa,nouns,2.99
419,value,tarifa,nouns,2.12
420,usually,irregularmente,adverbs,0.41
421,logic,aritmética,nouns,1.98
422,prove,discutir,verbs,1.23
423,guilty,malo,adjectives,1.39
424,bowl,cola,nouns,0.1
425,wander,vagar,verbs,5.03
426,cat,ratón,nouns,0.41
427,curved,derecho,adjectives,0.22
428,pointer,diapositiva,nouns,0.25
429,multiple,dos veces,adverbs,1.31
430,officer,diputado,nouns,1.59
431,caterpillar,gusano de seda,nouns,2.44
432,cloud,neblina,nouns,2.83
433,brainstorming,telescopio,nouns,0.0
434,coronation,agua,nouns,0.0
435,highway,coche,nouns,0.85
436,stomach,cuerpo,nouns,1.23
437,falcon,águila,nouns,2.39
438,girl,niño,nouns,2.53
439,ceiling,tejado,nouns,4.25
440,head,pie,nouns,0.29
441,earn,merecer,verbs,2.07
442,king,nepotismo,nouns,1.0
443,system,culpa,nouns,0.22
444,emergency,accidente,nouns,2.86
445,club,marca,nouns,0.45
446,word,diccionario,nouns,0.94
447,bring,venir,verbs,0.34
448,shy,costoso,adjectives,0.2
449,participate,unirse,verbs,3.12
450,illustration,ampolla,nouns,0.0
451,book,tema,nouns,0.49
452,engine,motor,nouns,2.66
453,salary,cuota,nouns,1.57
454,borrow,dar,verbs,0.54
455,airport,pieza,nouns,0.0
456,today,esta noche,adverbs,2.02
457,cryptogram,símbolo,nouns,2.49
458,endurance,flor,nouns,0.05
459,ankle,ventana,nouns,0.05
460,motherboard,placa base,nouns,2.4
461,coach,jugador,nouns,0.41
462,word,pista,nouns,0.1
463,evening,puesta de sol,nouns,1.56
464,flow,deambular,verbs,1.09
465,confidence,actitud,nouns,1.91
466,disown,negar,verbs,1.25
467,writer,regalo,nouns,0.05
468,discuss,explicar,verbs,1.5
469,apple,caramelo,nouns,0.29
470,cab,coche,nouns,3.33
471,normally,anormalmente,adverbs,0.14
472,good,picante,adjectives,0.0
473,distance,perspectiva,nouns,1.89
474,cattle,oveja,nouns,2.12
475,cereal,trigo,nouns,1.6
476,mist,lluvia,nouns,1.29
477,polish,informar,verbs,0.0
478,article,diario,nouns,1.85
479,pottery,cerámico,nouns,4.05
480,presence,ausencia,nouns,0.27
481,hall,pasillo,nouns,1.39
482,teacher,amigo,nouns,0.35
483,receive,tomar,verbs,1.26
484,belief,flor,nouns,0.17
485,frustration,enfado,nouns,4.25
486,loose,flexible,adjectives,1.65
487,rod,cortina,nouns,0.35
488,choir,iglesia,nouns,0.79
489,necessary,esencial,adjectives,5.09
490,trick,juego,nouns,1.34
491,management,administración,nouns,3.27
492,despise,cargar,verbs,0.3
493,president,alumno,nouns,0.1
494,involve,incluir,verbs,3.5
495,construct,hacer,verbs,3.7
496,opponent,adversario,nouns,5.09
497,strawberry,cereza,nouns,1.04
498,god,diablo,nouns,0.57
499,pathfinder,arquero,nouns,0.56
500,behave,obedecer,verbs,2.51
501,holiday,calendario,nouns,0.71
502,alcohol,cerveza,nouns,2.09
503,noticeable,obvio,adjectives,3.69
504,assault,agravar,verbs,0.93
505,carpet,casa,nouns,0.19
506,nephew,tía,nouns,0.41
507,container,ratón,nouns,0.05
508,waist,estómago,nouns,1.61
509,nervously,ansiosamente,adverbs,4.71
510,sweet,eléctrico,adjectives,0.0
511,garden,manguera,nouns,0.33
512,girl,mucama,nouns,0.52
513,leg,miembro,nouns,2.88
514,confidently,secretamente,adverbs,0.82
515,search,encontrar,verbs,1.61
516,quit,hacer,verbs,0.24
517,fully,básicamente,adverbs,0.74
518,collect,sacudir,verbs,0.2
519,cross,monje,nouns,0.17
520,infection,enfermedad,nouns,3.29
521,cook,mezclar,verbs,0.81
522,bring,quejar,verbs,0.0
523,find,buscar,verbs,1.61
524,decade,siglo,nouns,0.69
525,possess,absorber,verbs,0.69
526,eczema,dermatitis,nouns,2.64
527,duke,república,nouns,0.14
528,machine,motor,nouns,2.44
529,furniture,apartamento,nouns,0.41
530,oak,arce,nouns,1.17
531,make,destruir,verbs,0.14
532,organize,gestionar,verbs,4.79
533,drawing,alboroto,nouns,0.05
534,fry,hornear,verbs,1.35
535,smother,abrazar,verbs,0.92
536,program,comida,nouns,0.05
537,arm,cuello,nouns,0.29
538,concurrency,moneda,nouns,0.19
539,flexible,suelto,adjectives,1.65
540,door,ventana,nouns,0.64
541,join,participar,verbs,3.12
542,lucky,avergonzado,adjectives,0.0
543,polyester,algodón,nouns,1.13
544,encourage,desalentar,verbs,0.19
545,vexillology,bandera,nouns,1.27
546,door,piso,nouns,0.49
547,beverage,cerveza,nouns,1.79
548,short,largo,adjectives,0.14
549,argue,racionalizar,verbs,2.17
550,viscosity,chapoteo,nouns,0.6
551,evening,oscuridad,nouns,3.34
552,president,político,nouns,2.5
553,base,pie,nouns,2.29
554,orchard,avestruz,nouns,0.2
555,vulnerable,fácil,adjectives,0.94
556,bowler,bolos,nouns,1.63
557,neurosis,mente,nouns,1.18
558,past,antecedente,nouns,2.85
559,circumnavigation,equipaje,nouns,0.63
560,pot,aparato,nouns,0.49
561,mild,agudo,adjectives,0.25
562,arithmetic,lógica,nouns,1.98
563,forget,conservar,verbs,0.15
564,tongue,músculo,nouns,1.81
565,hero,heroína,nouns,3.12
566,dream,cielo,nouns,0.33
567,sea,río,nouns,1.89
568,card,puente,nouns,0.0
569,bed,mueble,nouns,1.44
570,fraternity,hombres,nouns,0.9
571,car,automóvil,nouns,5.6
572,food,programa,nouns,0.05
573,formal,apropiado,adjectives,3.38
574,stool,silla,nouns,2.99
575,elegance,estilo,nouns,3.71
576,keep,poseer,verbs,2.84
577,catastrophe,accidente,nouns,3.27
578,forget,aprender,verbs,0.09
579,dust,escoba,nouns,0.57
580,piston,motor,nouns,2.03
581,surgery,corazón,nouns,0.57
582,hound,zorro,nouns,0.98
583,unforeseen,no previsible,adjectives,5.51
584,dirty,increíble,adjectives,0.0
585,lady,hidalgo,nouns,0.76
586,pour,gotear,verbs,1.34
587,obviously,aparentemente,adverbs,3.69
588,simple,fácil,adjectives,4.61
589,snowboard,esquí,nouns,1.92
590,kill,colgar,verbs,0.68
591,spine,cuerpo,nouns,0.49
592,biotope,biología,nouns,0.79
593,father,hija,nouns,0.33
594,battery,teatro,nouns,0.1
595,cat,conejo,nouns,0.76
596,extramarital,inmencionable,adjectives,0.22
597,whiskey,ginebra,nouns,1.06
598,chaos,clase,nouns,0.1
599,doctor,ortodoncista,nouns,1.71
600,text,libro,nouns,2.41
601,flag,polo,nouns,0.3
602,sea,delta,nouns,0.92
603,mainly,mayormente,adverbs,4.39
604,raise,beber,verbs,0.0
605,sultan,ministerio,nouns,0.35
606,diet,ensalada,nouns,0.93
607,lamp,genio,nouns,0.89
608,delightful,maravilloso,adjectives,4.0
609,believe,saber,verbs,1.45
610,arm,rama,nouns,1.11
611,keep,conservar,verbs,4.92
612,ask,rezar,verbs,1.29
613,building,habitación,nouns,0.71
614,mink,petróleo,nouns,0.05
615,storm,nieve,nouns,1.24
616,ankle,codo,nouns,0.39
617,pupil,estudiante,nouns,5.6
618,sip,tragar,verbs,1.92
619,chaotically,pacíficamente,adverbs,0.09
620,cathedral,iglesia,nouns,4.04
621,economy,ecosistema,nouns,0.39
622,republic,duque,nouns,0.14
623,window,puerta,nouns,0.64
624,listen,obedecer,verbs,1.06
625,bible,himno,nouns,0.64
626,scared,inseguro,adjectives,1.43
627,baby,hija,nouns,2.38
628,parade,multitud,nouns,1.98
629,nose,garganta,nouns,0.44
630,daughter,padre,nouns,0.33
631,bottle,tarro,nouns,2.8
632,offender,criminal,nouns,4.29
633,wrapper,puerto,nouns,0.05
634,organ,hígado,nouns,2.04
635,parent,adulto,nouns,1.21
636,undisclosed,abierto,adjectives,0.27
637,blue,rojo,adjectives,0.56
638,private,público,adjectives,0.14
639,fur,pistola,nouns,0.05
640,tonight,hoy,adverbs,2.02
641,fry,cocinar,verbs,2.55
642,essay,libro,nouns,1.25
643,demon,ángel,nouns,0.61
644,hit,atraer,verbs,0.05
645,cry,lloriquear,verbs,4.47
646,star,planeta,nouns,2.06
647,underwear,cuerpo,nouns,0.45
648,cigar,caja,nouns,0.42
649,immediately,pronto,adverbs,3.55
650,professor,médico,nouns,1.48
651,door,cocina,nouns,0.39
652,camp,cabina,nouns,0.84
653,sunset,cuerda,nouns,0.0
654,tool,trabajo,nouns,0.48
655,spend,salvar,verbs,0.09
656,sunrise,puesta de sol,nouns,0.57
657,smell,mimar,verbs,0.04
658,management,trabajo,nouns,1.13
659,wizard,cable,nouns,0.0
660,alcohol,cóctel,nouns,2.13
661,repeat,practicar,verbs,2.42
662,overt,no revelado,adjectives,0.27
663,iron,vitamina,nouns,0.86
664,tie,unir,verbs,1.06
665,mill,semilla,nouns,0.86
666,press,lanzar,verbs,0.1
667,leave,unirse,verbs,0.29
668,division,multiplicación,nouns,0.68
669,game,truco,nouns,1.34
670,wide,estrecho,adjectives,0.14
671,galaxy,aplicación,nouns,0.1
672,ballad,canción,nouns,3.6
673,dukedom,principado,nouns,2.17
674,dive,crear,verbs,0.0
675,badge,vaso,nouns,0.39
676,teacher,ayudante,nouns,1.63
677,performance,camafeo,nouns,0.69
678,pen,alfabeto,nouns,0.44
679,carefully,peligrosamente,adverbs,0.15
680,buy,paga,verbs,1.16
681,flower,arbusto,nouns,1.71
682,know,creer,verbs,1.45
683,decide,escoger,verbs,4.08
684,discourage,animar,verbs,0.19
685,stumble,caerse,verbs,3.51
686,rough,frígido,adjectives,0.4
687,find,escapar,verbs,0.15
688,obviously,aproximadamente,adverbs,0.44
689,historiographer,historiador,nouns,3.12
690,irritate,adivinar,verbs,0.0
691,predict,determinar,verbs,1.84
692,sunset,mesa,nouns,0.05
693,pure,modesto,adjectives,0.57
694,easily,aproximadamente,adverbs,0.1
695,pray,comunicar,verbs,0.65
696,organized,desorganizado,verbs,0.09
697,strongly,oficialmente,adverbs,0.15
698,birthday,año,nouns,1.02
699,wagon,carro,nouns,2.71
700,incredible,ordinario,adjectives,0.14
701,carbon,átomo,nouns,1.31
702,remind,olvidar,verbs,0.09
703,learn,olvidar,verbs,0.09
704,song,bailarín,nouns,0.44
705,digit,citoplasma,nouns,0.0
706,skirt,reloj,nouns,0.15
707,tired,aburrido,adjectives,0.91
708,gin,whisky,nouns,1.06
709,highway,tarea,nouns,0.05
710,screenwriter,televisión,nouns,0.82
711,home,estado,nouns,0.37
712,door,campana,nouns,0.27
713,game,divertido,nouns,1.36
714,opening,brecha,nouns,3.6
715,nervous,cierto,adjectives,0.05
716,seem,volverse,verbs,0.32
717,tin,metal,nouns,1.71
718,football,divertido,nouns,0.6
719,engine,pistón,nouns,2.03
720,sculpture,estatua,nouns,5.11
721,wine,brandy,nouns,1.49
722,environment,espada,nouns,0.05
723,humble,modesto,adjectives,4.6
724,find,desaparecer,verbs,0.15
725,modern,antiguo,adjectives,0.14
726,ashamed,modesto,adjectives,0.52
727,immoral,ilegal,adjectives,1.71
728,confession,negación,nouns,0.87
729,area,zona,nouns,5.15
730,king,príncipe,nouns,2.06
731,currency,intercambio,nouns,1.49
732,teacher,estudiante,nouns,0.45
733,rare,escaso,adjectives,4.35
734,sword,trono,nouns,0.28
735,people,pistola,nouns,0.05
736,flower,creencia,nouns,0.17
737,god,espíritu,nouns,1.91
738,maid,niña,nouns,0.52
739,image,reflexión,nouns,1.71
740,chair,banco,nouns,3.06
741,manuscript,artículo,nouns,1.87
742,cattle,yogur,nouns,0.57
743,bother,interrumpir,verbs,3.53
744,style,moda,nouns,4.05
745,loudly,locamente,adverbs,0.94
746,handle,proteína,nouns,0.15
747,maid,ayudante,nouns,2.44
748,read,morder,verbs,0.0
749,adult,padre,nouns,1.21
750,boundary,frontera,nouns,4.97
751,here,ahora,adverbs,1.76
752,esteem,honor,nouns,2.52
753,funny,grave,adjectives,0.0
754,gun,sargento,nouns,0.57
755,arm,rodilla,nouns,0.29
756,disc,ordenador,nouns,0.99
757,mint,museo,nouns,0.04
758,airport,avión,nouns,0.89
759,lake,nube,nouns,0.15
760,syllable,lema,nouns,0.41
761,private,personal,adjectives,4.01
762,region,zona,nouns,4.49
763,infection,inflexión,nouns,0.1
764,catch,capturar,verbs,3.65
765,precisely,inexactamente,adverbs,0.09
766,vein,estómago,nouns,0.2
767,fee,salario,nouns,1.57
768,softly,ruidosamente,adverbs,0.09
769,storm,huracán,nouns,3.21
770,companion,amante,nouns,1.88
771,surely,claramente,adverbs,3.55
772,know,dar,verbs,0.29
773,dignity,insignias,nouns,0.39
774,blood,virus,nouns,0.91
775,crude,grosero,adjectives,1.41
776,concept,creencia,nouns,1.82
777,obey,castigar,verbs,0.5
778,happen,ocurrir,verbs,5.17
779,city,pueblo,nouns,3.02
780,friend,profesor,nouns,0.35
781,obviously,en la zona,adverbs,0.0
782,couch,cama,nouns,1.67
783,blitz,ataque,nouns,2.9
784,pesticide,parásito,nouns,0.56
785,rush,darse prisa,verbs,5.2
786,ignore,salir,verbs,0.72
787,danger,amenaza,nouns,4.48
788,differently,extrañamente,adverbs,1.84
