ID,EST,SWA,PoS,score
176,otsustama,kuchagua,verbs,2.85
177,sünnipäev,mwaka,nouns,0.8
178,makse,malipo,nouns,1.3
179,inimene,mnyama,nouns,1.0
180,magamistuba,tumbo,nouns,0.1
181,surmavalt,hatari sana,adverbs,0.05
182,pahkluu,kiwiko,nouns,0.9
183,mängija,mchezaji,nouns,1.3
184,uss,mnyoo,nouns,0.4
185,sõrm,kiganja,nouns,1.0
186,lill,kichaka,nouns,0.9
187,president,meya,nouns,1.05
188,sõjamees,mwanaume,nouns,1.35
189,kõndima,kutembea ,verbs,0.3
190,valu,madhara,nouns,2.55
191,omama,kufyonza,verbs,0.5
192,silp,silabu,nouns,0.85
193,armee,jeshi la wanamaji,nouns,3.25
194,sisalik,mjusi,nouns,0.0
195,toru,sigara,nouns,0.45
196,pruut,bwana arusi,nouns,0.8
197,jaanalind,mbuni,nouns,0.0
198,hävitama,kuua,verbs,2.25
199,aitama,kusaidia,verbs,0.65
200,haarama,kufahamu,verbs,0.4
201,informeerima,arifu,verbs,0.0
202,lühike,mrefu,adjectives,0.3
203,teksad,jinzi,nouns,0.15
204,administratsioon,menejimenti,nouns,3.75
205,piibel,nyimbo,nouns,0.15
206,homme,kesho,adverbs,0.15
207,alamprogramm,subroutine,nouns,0.45
208,sekularist,mwanaisilamu,nouns,1.75
209,korjandus,mchango,nouns,0.35
210,varjend,kibanda,nouns,1.05
211,teema,kitabu,nouns,0.53
212,kongress,mkutano,nouns,2.7
213,keeruline,rahisi,adjectives,0.3
214,toll,yadi,nouns,1.45
215,kirss,cheri,nouns,1.55
216,leidma,kujipatia,verbs,1.15
217,sõdur,mvulana,nouns,0.5
218,mantel,kofia,nouns,0.75
219,veendunud,uhakika,adjectives,0.15
220,ebamäärane,isiyo dhahiri,adjectives,4.6
221,ortodont,daktari,nouns,3.05
222,mõtlema,kutafiti,verbs,0.6
223,mõtlema,kujaribu,verbs,0.45
224,tabama,kuchapa,verbs,0.4
225,mehaaniline,a kifundi,adjectives,0.35
226,putukamürk,dawa ya wadudu,nouns,0.95
227,hakk,ndege,nouns,3.05
228,oksendama,kutapika,verbs,0.0
229,meelt lahutama,kufurahia,verbs,2.7
230,igakuine,kila mwezi,adjectives,0.65
231,täiskasvanu,mtoto,nouns,0.65
232,abikaasa (mees),mwanaume,nouns,4.1
233,jagama,kuzidisha,verbs,0.4
234,kaotama,kupoteza,verbs,0.6
235,rakendus,programu tumishi,nouns,0.1
236,lahendama,kutoa suluhisho,verbs,2.25
237,ilu,uzuri,nouns,0.35
238,putka,simu,nouns,1.8
239,automobiil,motokaa,nouns,5.4
240,tuba,kitanda,nouns,0.6
241,depressioon,huzuni,nouns,0.3
242,rahutult,kwa wasiwasi,adverbs,4.8
243,vaidlus,mapatano,nouns,0.55
244,kuningas,mfalme,nouns,0.65
245,raiskama,takataka,verbs,0.15
246,kirjandus,neno,nouns,1.1
247,tramm,tramu,nouns,1.95
248,maatriks,matriksi,nouns,0.85
249,dieet,matofaa,nouns,0.35
250,sild,kadi,nouns,0.25
251,magamistuba,kitanda,nouns,1.15
252,ebaaus,jeuri,adjectives,2.3
253,vend,baba,nouns,0.85
254,isa,mzazi,nouns,3.4
255,keeruline,bila jasho,adjectives,0.4
256,heledus,nuru,nouns,2.1
257,märg,lowa,adjectives,1.15
258,umbes,kwa kukadiria,adverbs,0.1
259,suhtlema,kusali,verbs,0.45
260,raevukas,mkali,adjectives,0.25
261,papp,karatasi,nouns,2.25
262,heegeldus,krocheti,nouns,0.2
263,õhtusöök,chakula,nouns,3.55
264,nõrk,dhaifu,adjectives,0.2
265,kitarr,ngoma,nouns,1.85
266,põrand,mlango,nouns,0.65
267,passivselt,pasipo tu,adverbs,0.6
268,avastama,kutokana,verbs,0.3
269,skulptuur,sanamu,nouns,4.55
270,raske,mkubwa,adjectives,2.05
271,vana,mbivu,adjectives,0.15
272,põgenema,kutoroka,verbs,4.8
273,tunnel,shimo,nouns,0.45
274,sidrun,chai,nouns,0.4
275,täiskasvanu,mlezi,nouns,2.1
276,pikk,mfupi,adjectives,0.3
277,kursor,mshale,nouns,0.2
278,puuvill,plastiki,nouns,0.55
279,peapiiskop,askofu,nouns,4.2
280,käsitöö,kazi za mikono,nouns,0.7
281,külg,juu,nouns,0.7
282,maasikas,strouberi,nouns,1.55
283,ülaosa,chini,nouns,0.55
284,ajaloouurija,mwanahistoria,nouns,5.5
285,aken,dirisha,nouns,0.15
286,katus,paa,nouns,0.6
287,mootor,boti,nouns,1.3
288,imenduma,kujifunza,verbs,0.45
289,saama,kupa,verbs,0.7
290,valvur,mwanaume,nouns,1.0
291,legend,hadithi,nouns,0.35
292,diood,diode,nouns,1.6
293,loomulikult,kwa uhalisia,adverbs,0.55
294,loomulikult,kiasili,adverbs,0.45
295,tulema,kuhudhuria,verbs,2.4
296,loll,mkubwa mno,adjectives,0.1
297,imlselgelt,ni wazi,adverbs,0.1
298,kael,uti,nouns,0.95
299,relv,manyoya,nouns,0.3
300,kombineerima,kujumuisha,verbs,2.2
301,artikkel,kitabu,nouns,1.15
302,kuulsus,utajiri,nouns,0.65
303,kõikvõimsus,uwezaji,nouns,2.65
304,tõbi,ugonjwa wa kuambukiza ,nouns,3.4
305,lihas,ulimi,nouns,0.55
306,ori,falahi,nouns,2.55
307,reaalsus,njozi,nouns,0.55
308,allkirjastama,kuimba,verbs,0.0
309,sisenema,kwenda,verbs,0.75
310,vend,mvulana,nouns,2.3
311,trumm,gitaa,nouns,1.85
312,kohtumenetlus,wamuzi,nouns,1.6
313,lämbuma,kupumua,verbs,0.4
314,harilik,kawaida,adjectives,0.45
315,sõbralik,mkarimu,adjectives,2.6
316,põhiliselt,kimsingi,adverbs,0.65
317,hämmastavalt,kwa kushangaza,adverbs,4.25
318,uks,undugu,nouns,0.15
319,tavaline,kawaida,adjectives,0.2
320,hotell,fleti,nouns,0.85
321,klaas,glasi,nouns,0.15
322,sõber,mwalimu,nouns,0.8
323,üle saama,kutawala,verbs,0.9
324,auto,mtaa,nouns,0.4
325,palk,hela,nouns,3.2
326,uudised,porojo,nouns,1.65
327,mahl,matofaa,nouns,1.35
328,kahanema,kupotea,verbs,1.3
329,paluma,kusihi,verbs,4.55
330,valima,kuamua,verbs,2.85
331,uus,wa kale,adjectives,0.3
332,lehm,mbuzi,nouns,0.8
333,kolledž,weledi,nouns,0.7
334,säilitama,kusahau,verbs,0.35
335,suhkruroog,muwa,nouns,0.45
336,kaasa arvama,kukuhusisha,verbs,2.3
337,arreteerima,kukamatwa,verbs,0.65
338,süda,upasuaji,nouns,0.6
339,saama,kupokea,verbs,2.17
340,vähendama,kupunguza,verbs,1.32
341,üks kord,mara moja,adverbs,0.4
342,siiralt,kwa ukweli,adverbs,0.88
343,ühinema,kujumlisha,verbs,1.1
344,tuli,moto,nouns,0.4
345,org,mto,nouns,0.9
346,energia,nishati,nouns,1.3
347,sõitma,endesha,verbs,0.2
348,portreteerima,kujifanya,verbs,0.7
349,segatud,changanywa,adjectives,3.05
350,küüs,mkono,nouns,0.8
351,leib,chizi,nouns,0.75
352,kohtuma,kukusanya,verbs,2.25
353,teostama,kuwa,verbs,0.8
354,teenija,mtumishi,nouns,2.55
355,eestkostja,mtu mzima,nouns,2.1
356,ebavajalik,lazima,adjectives,0.3
357,nurk,tao,nouns,1.45
358,keel,mawasiliano,nouns,2.1
359,mäng,mbinu,nouns,1.1
360,ostma,kununua,verbs,2.45
361,kell,mnara,nouns,0.8
362,krõmpsutama,kuteketa,verbs,0.8
363,väärtuslik,yenye thamani,adjectives,2.75
364,naerma,kucheka,verbs,0.38
365,pöörane,ana kichaa,adjectives,5.25
366,luu,goti,nouns,0.75
367,haavama,kukashifu,verbs,3.2
368,kerge,bila jasho,adjectives,4.6
369,jard,mita,nouns,2.4
370,vihje,neno,nouns,0.55
371,kitarr,gita,nouns,0.65
372,põhi,upande,nouns,0.8
373,stressis,kusisitiza,adjectives,0.3
374,müüma,kwenda,verbs,0.15
375,vältima,kukataa,verbs,1.65
376,kulm,jicho,nouns,0.95
377,konteiner,chupa,nouns,0.85
378,käsi,mfupa,nouns,0.95
379,nurjuma,kushidwa,verbs,0.05
380,saama,kutengeneza,verbs,0.8
381,pesapall,undugu,nouns,0.1
382,tööline,mfanyakazi,nouns,0.65
383,vihje,ukweli,nouns,1.55
384,pettus,ulaghai,nouns,2.65
385,trumm,pembe,nouns,0.7
386,nüüd,sasahivi,adverbs,1.65
387,pankur,mwanasheria,nouns,0.85
388,kroonimine,kusimikwa ufalme,nouns,0.1
389,aritmeetika,pigo,nouns,0.65
390,heameelt tegema,kusihi,verbs,0.3
391,pull,ndama,nouns,1.85
392,luu,kiwiko,nouns,0.9
393,osalema,kuja,verbs,2.4
394,jumal,padri,nouns,0.95
395,valik,chaguo,nouns,3.05
396,magamistuba,bafu,nouns,0.8
397,kahanema,kukua,verbs,0.35
398,rahul,ana hasira,adjectives,0.3
399,veenma,kushawishi,verbs,0.7
400,nahkhiir,popo,nouns,0.95
401,naps,bendi,nouns,0.35
402,täiskasvanud,umekua,adjectives,0.2
403,liikuma,kutoka,verbs,0.25
404,jõgi,bonde,nouns,0.9
405,keha,tumbo,nouns,1.25
406,saatma,kwenda,verbs,0.4
407,nakkus,maambukizo,nouns,0.75
408,kokpit,chumba cha rubani,nouns,0.85
409,lift,sanduku,nouns,0.15
410,tagasi võtma,kufyonza,verbs,0.85
411,veri,uboho,nouns,0.9
412,tõsine,makini,adjectives,0.45
413,sümbol,msimbo,nouns,1.85
414,aatom,molekuli,nouns,2.1
415,otseloomulikult,ni wazi,adverbs,0.25
416,aed,uzio,nouns,0.45
417,tabama,piga,verbs,1.55
418,telefon,kibanda cha simu,nouns,1.8
419,selgroog,mwili,nouns,1.0
420,merevägi,jeshi,nouns,3.25
421,luu,taya,nouns,0.65
422,perfektselt,kiukamilifu,adverbs,0.75
423,jalg,mkono,nouns,1.15
424,käsi,misuli,nouns,0.85
425,sarnane,sawasawa,adjectives,4.5
426,rind,mwili,nouns,1.9
427,entroopia,kuzorota,nouns,0.75
428,nõudma,kutaka,verbs,0.3
429,tank,tenki,nouns,0.85
430,kaitsma,kukinga,verbs,4.65
431,kandidaat,mshindi,nouns,1.15
432,teoreem,nadharia,nouns,2.3
433,valima,kuteua,verbs,0.45
434,kaamera,mfanyakazi,nouns,0.05
435,teravili,ngano,nouns,2.7
436,koer,farasi,nouns,0.65
437,kirjandus,kitabu,nouns,2.25
438,lahkuma,kubaki,verbs,0.3
439,ema,baba,nouns,0.8
440,alluma,kusikiliza,verbs,1.4
441,naine,mke,nouns,3.9
442,õpilane,rais,nouns,0.25
443,kõrs,nyimbo,nouns,0.0
444,süntaks,sintaksia,nouns,0.85
445,uhkus,furaha,nouns,0.8
446,kirjanik,mwandishi,nouns,0.85
447,lugema,kusoma,verbs,0.1
448,neutraalne,upande wowote,adjectives,0.8
449,ketas,kompyuta,nouns,0.55
450,voodi,hospitali,nouns,0.8
451,kohtlema,tibu,verbs,0.15
452,klubi,jamii,nouns,0.7
453,kuritegu,kosa,nouns,3.5
454,luu,shingo,nouns,0.65
455,auto,gari,nouns,3.5
456,uudised,habari,nouns,0.8
457,unustama,kujua,verbs,0.25
458,naps,karne,nouns,0.0
459,esineja,mwigizaji,nouns,0.8
460,ausalt,kwa haki,adverbs,0.3
461,neuroos,ugonjwa wa neurosis,nouns,1.1
462,põhi,magharibi,nouns,0.65
463,auk,mke,nouns,0.05
464,korporatsioon,baseball,nouns,0.1
465,evakueerima,kuondoka,verbs,0.05
466,käänamine,inflection,nouns,0.75
467,soetama,kupata,verbs,0.35
468,hammustama,kung'ata,verbs,0.7
469,pärima,ulizia,verbs,1.8
470,kuritegu,udanganyifu,nouns,3.25
471,heameelt tegema,kukubali,verbs,0.5
472,sein,pambo,nouns,0.65
473,ümbrik,bahasha,nouns,0.25
474,saabuma,kuondoka,verbs,0.45
475,kerge,ngumu,adjectives,0.45
476,näitleja,mchezaji wa kike,nouns,4.3
477,õppekava,mtaala,nouns,0.75
478,film,sinema,nouns,4.9
479,luide,dune,nouns,1.8
480,innovatiivne,bunifu,adjectives,3.65
481,vabastama,okoa,verbs,4.5
482,kissitama,kufinya macho,verbs,0.8
483,relv,watu,nouns,0.1
484,kallis,yenye thamani,adjectives,1.07
485,täna,leo,adverbs,1.95
486,fantastiliselt,kimaajabu,adverbs,4.25
487,ignorantne,mjinga,adjectives,0.2
488,jõllitama,kukondoa macho,verbs,0.8
489,abiline,mfanyakazi wa nyumbani,nouns,3.0
490,kavatsema,kuania,verbs,1.85
491,pööraselt,kwa hasira,adverbs,1.35
492,autojuht,rubani,nouns,2.2
493,ründama,kushambulia,verbs,0.65
494,kunstiteos,mchoro,nouns,1.15
495,hing,mungu,nouns,1.5
496,uskuma,kukubali,verbs,1.8
497,kaitsma,kuokoa,verbs,1.55
498,riided,kifungo,nouns,0.7
499,tehing,maafikiano,nouns,0.05
500,mast,mlingoti,nouns,1.1
501,purustamine,ujenzi,nouns,0.5
502,kummaline,mwerevu,adjectives,0.5
503,kuulutama,kuhubiri,verbs,2.6
504,looma,kuunda,verbs,3.85
505,kalju,kilima,nouns,2.6
506,lipp,bendera,nouns,1.1
507,tööandja,mwajiriwa,nouns,0.9
508,käsikiri,muswada,nouns,1.55
509,tööline,mwajiri,nouns,1.0
510,panema,kupa,verbs,0.3
511,flööt,filimbi,nouns,1.1
512,välja tõstma,kufukuza,verbs,0.75
513,nööp,nguo,nouns,0.7
514,mood,mtindo,nouns,2.95
515,kuu,sayari,nouns,1.55
516,majandus,uchumi,nouns,0.75
517,näitleja,mwigaji,nouns,0.48
518,mitte kunagi,kamwe,adjectives,0.25
519,tark,mpumbavu,adjectives,0.4
520,metsamajake,nyumba ndogo,nouns,3.6
521,õun,juisi,nouns,1.35
522,avastama,kufanya utafiti,verbs,2.75
523,ekseem,uwasho,nouns,2.7
524,odav,rahisi,adjectives,3.4
525,täpne,uhakika,adjectives,0.25
526,meedium,habari,nouns,1.7
527,looma,kuharibu,verbs,0.35
528,džinn,jini,nouns,0.4
529,odav,si ghali,adjectives,5.3
530,ühtne,sare,adjectives,0.35
531,kuulama,kuelewa,verbs,0.95
532,kass,panya,nouns,0.5
533,hümn,biblia,nouns,0.15
534,kaotama,poteza,verbs,0.0
535,lind,mwewe,nouns,3.05
536,õhtu,giza kuingia,nouns,4.45
537,räpane,rahisi,adjectives,0.7
538,post,nguzo,nouns,0.15
539,kitarr,gitaa,nouns,0.0
540,pakk,furushi,nouns,0.65
541,märge,kumbuku,nouns,0.35
542,heidutama,kukatisha tamaa,verbs,1.2
543,bioloog,mbiolojia,nouns,0.85
544,kardin,nguzo,nouns,0.2
545,mäng,burudani,nouns,2.8
546,kindlus,mtazamo,nouns,0.4
547,raamat,insha,nouns,1.0
548,umbes,takriban,adverbs,0.3
549,põsk,ulimi,nouns,0.7
550,ebakohane,haionekani,adjectives,0.55
551,täring,kete,nouns,1.65
552,üdi,damu,nouns,0.9
553,võimalikult,ikiwezekana,adverbs,2.8
554,seelik,sketi,nouns,0.1
555,käsi,shingo,nouns,0.6
556,kokkukutsumine,mkutano,nouns,4.0
557,sajand,pombe,nouns,0.0
558,vihm,manyunyu,nouns,4.3
559,illusioon,uhalisi,nouns,0.55
560,saama,kupanga,verbs,0.45
561,sild,gari,nouns,0.35
562,sõber,mvulana,nouns,1.0
563,kannatused,ukiwa,nouns,2.4
564,sõnaraamat,kamusi,nouns,2.4
565,kokku põrkama,kugonga,verbs,1.85
566,tõend,ukweli,nouns,2.35
567,delikaatselt,kwa uangalifu,adverbs,0.2
568,mäng,tendo,nouns,1.25
569,meelde tuletama,kusahau,verbs,0.4
570,hobune,ng'ombe dume,nouns,0.8
571,ala,mkoa,nouns,3.7
572,pühkima,kupanguza,verbs,0.05
573,põhiseadus,katiba,nouns,0.73
574,silm,nyusi,nouns,0.95
575,meenutama,kuuza,verbs,0.0
576,auto,gari,nouns,3.13
577,heidutama,katisha tamaa,verbs,2.35
578,ütlema,kusema,verbs,2.7
579,samasugune,sawa,adjectives,4.5
580,võtma,kumiliki,verbs,1.6
581,ettevaatlikult,kwa uangalifu,adverbs,3.05
582,naine,manyoya,nouns,0.2
583,tipp,upande,nouns,0.7
584,kass,mnyama,nouns,2.75
585,raha,lulu,nouns,0.25
586,kohtuma,kusalimia,verbs,1.3
587,sulgema,kufunga,verbs,0.0
588,märksõna,nenokuu,nouns,0.85
589,uskumus,ua,nouns,0.1
590,tsivilisatsioon,ustaarabu,nouns,1.35
591,uskumus,fikra,nouns,1.4
592,põlv,mkono,nouns,0.7
593,liha,nyama ya nguruwe,nouns,3.55
594,tagasi lükkama,kukataa,verbs,0.95
595,teadus,saikolojia,nouns,2.2
596,veendunud,ana hakika,adjectives,4.75
597,menüü,agizo,nouns,1.0
598,päästma,kuokoa,verbs,2.45
599,pudel,chupa,nouns,1.6
600,õppima,kuchambua,verbs,0.85
601,kohtuma,kupatana,verbs,0.0
602,torm,theluji,nouns,0.9
603,vihane,mwenye furaha,adjectives,0.3
604,biograafia,habari za kubuniwa,nouns,1.2
605,iiris,boriti,nouns,0.35
606,elustiil,mtindo wa maisha,nouns,1.35
607,torm,upepo mkali,nouns,3.55
608,vanduma,kuapa,verbs,3.8
609,keha,bega,nouns,0.85
610,seisma,kusimama,verbs,0.3
611,terav,kali,adjectives,0.15
612,uhke,kujivunia,adjectives,0.0
613,rahvas,sherehe,nouns,0.65
614,poeg,baba,nouns,1.15
615,hoidma,kumiliki,verbs,1.3
616,närviline,wasiwasi,adjectives,2.8
617,vahepeal,mara nyingine,adverbs,0.78
618,munk,mtawa,nouns,0.55
619,nädalavahetus,wikiendi,nouns,0.0
620,kritseldama,kuandika,verbs,2.45
621,vahemaa,umbali,nouns,0.35
622,hukka mõistma,laani,verbs,0.95
623,siin,papa hapa,adverbs,1.65
624,jätma,kuchukua,verbs,0.4
625,koridor,mlango,nouns,1.05
626,arvuti,kompyuta,nouns,2.4
627,leht,gombo,nouns,0.15
628,kindlalt,hakika,adverbs,1.57
629,maantee,barabara kuu,nouns,4.6
630,näima,kuwa,verbs,0.45
631,võti,funguo,nouns,1.35
632,tööriist,kitendea kazi,nouns,1.35
633,valik,jela,nouns,0.3
634,lubama,kuweka ahadi,verbs,3.8
635,lagi,sakafu,nouns,0.7
636,hiir,paka,nouns,0.5
637,galerii,nyumba ya sanaa,nouns,0.0
638,vähendama,kupungua,verbs,3.05
639,emaplaat,bodi mama(mama as central),nouns,4.05
640,saar,ufuko,nouns,0.9
641,põletama,kuunguza,verbs,0.2
642,tool,benchi,nouns,4.25
643,lambatall,kondoo,nouns,3.9
644,võlts,bandia,adjectives,4.65
645,täpselt,kwa usahihi,adverbs,0.35
646,portreteerima,kuamua,verbs,0.25
647,kohus,korti,nouns,1.85
648,väljapääs,mahali ya kutokea,nouns,0.15
649,kass,simba,nouns,1.2
650,sirge,nyooka,adjectives,0.4
651,seade,chungu,nouns,0.45
652,ajaleht,neno,nouns,0.65
653,rand,bahari,nouns,2.25
654,periood,muhula,nouns,4.3
655,ülesanne,kazi,nouns,3.45
656,kalju,mwamba,nouns,0.0
657,kõht,mwili,nouns,1.25
658,kokkulepe,tundu,nouns,0.05
659,sool,maji,nouns,0.5
660,tasu,malipo,nouns,4.05
661,naine,sekretari,nouns,0.95
662,lammas,mifugo,nouns,2.55
663,uitama,kuondoka,verbs,0.75
664,diivan,kitanda,nouns,1.95
665,kindlalt,kwa hakika,adverbs,4.4
666,valik,sura,nouns,0.45
667,naljakas,wa kuchosha,adjectives,0.15
668,põiktänav,bakuli,nouns,0.05
669,torbik,kikombe,nouns,0.35
670,küün,nyumba,nouns,2.05
671,ebaviisakas,jeuri,adjectives,2.1
672,organiseeritud,kupanga,verbs,0.35
673,korvpall,baseball,nouns,0.8
674,võitja,uwepo,nouns,0.4
675,erinevalt,kitofauti,adverbs,0.1
676,puit,mbao,nouns,0.55
677,hing,kaka,nouns,0.35
678,suur,mpana,adjectives,3.7
679,põhi,kusini,nouns,0.65
680,haige,ana wazimu,adjectives,0.85
681,tulema,kuleta,verbs,0.85
682,hertsogkond,dukedom,nouns,2.45
683,kott,pochi,nouns,4.1
684,hobune,farasi wa kiume,nouns,3.65
685,madrus,kapteni,nouns,1.65
686,patarei,betri,nouns,0.2
687,osariik,nyumba,nouns,0.4
688,kaisutama,kukumbatia,verbs,4.75
689,mära,farasi,nouns,3.45
690,planeet,mwezi,nouns,1.55
691,külm,baridi,adjectives,0.2
692,tuba,chumba,nouns,1.3
693,auto,gari la farasi,nouns,1.25
694,saar,kisiwa,nouns,0.2
695,auk,mapatano,nouns,0.05
696,saabuma,kuja,verbs,3.65
697,seebivaht,puto,nouns,2.0
698,arvamus,chaguo,nouns,1.35
