ID,POL,SWA,PoS,score
54,nerka,kiungo,nouns,2.95
55,władca,mtawala,nouns,5.1
56,sprzedawać,kukumbusha,verbs,0.0
57,smutny,wa kuchekesha,adjectives,0.05
58,książę,mjuzi,nouns,0.0
59,baseball,undugu,nouns,0.0
60,zatrzymywać,kubakisha,verbs,2.75
61,światło,mwanga,nouns,0.0
62,wyścig,mbio,nouns,0.0
63,średni,wastani,adjectives,0.75
64,ocalać,okoa,verbs,5.2
65,dywan,nyumba,nouns,0.2
66,mąż,mke,nouns,0.55
67,śnieg,hali ya hewa,nouns,0.45
68,rękawica,mpira,nouns,0.8
69,drzwi,undugu,nouns,0.05
70,mrówka,nyuki,nouns,0.65
71,skrzypce,fidia,nouns,0.75
72,pilnie,haraka,adverbs,4.45
73,nabyć,kutafuta,verbs,1.15
74,iść,kuuza,verbs,0.0
75,przejście,njia,nouns,0.85
76,rejestr,kanuni,nouns,0.45
77,nerw,mwili,nouns,0.6
78,alfabet,alphabeti,nouns,0.05
79,płaszcz,kofia,nouns,0.45
80,chłopiec,wali,nouns,0.0
81,balon,kuoga,nouns,0.0
82,płatność,ada,nouns,4.95
83,spragniony,kua na kiu,adjectives,0.7
84,okropny,poa,adjectives,0.05
85,wada,kosa,nouns,0.05
86,fala,wimbi,nouns,0.45
87,nieuleczalnie,mwishoni,adverbs,0.3
88,bazylika,basilika,nouns,0.25
89,społeczeństwo,jamii,nouns,1.4
90,ciało,mkono,nouns,1.7
91,refren,kiitiko,nouns,0.2
92,stracić,poteza,verbs,0.0
93,mieszać,kukoroga,verbs,4.3
94,hymn,biblia,nouns,0.4
95,łóżko,kiti,nouns,0.45
96,melodia,muziki,nouns,4.25
97,opowieść,kitabu,nouns,2.15
98,stopa,kichwa,nouns,0.3
99,bezpiecznie,kwa ulinzi,adverbs,3.1
100,akceptować,kupeleka,verbs,0.0
101,wypadek,ajali,nouns,0.0
102,dostarczać,kuchukua,verbs,0.3
103,wyspa,kisiwa,nouns,0.55
104,zatrzymywać,kuacha,verbs,0.1
105,ubrania,koti,nouns,2.7
106,parasol,mwavuli,nouns,0.0
107,narzędzie,kitendea kazi,nouns,1.05
108,rządać,hitaji,verbs,0.25
109,potrzebujący,uhitaji,adjectives,1.8
110,nauka,saikolojia,nouns,2.15
111,smukły,mwembamba,adjectives,4.95
112,niejasny,haijulikani,adjectives,4.35
113,czerwony,nyekundu,adjectives,0.3
114,argumentować,kupinga,verbs,0.0
115,podłoga,paa,nouns,0.35
116,węgiel,makaa,nouns,3.75
117,niedokładnie,si kwa usahihi,adverbs,0.0
118,inny,wa kawaida,adjectives,0.15
119,posiłek,karamu,nouns,3.95
120,niecenzuralny,haionekani,adjectives,0.1
121,tani,si ghali,adjectives,5.65
122,oszustwo,uhalifu,nouns,3.7
123,niebieski,bluu,adjectives,0.3
124,umiejętność,ustadi,nouns,3.5
125,zły,poa,adjectives,0.05
126,dolegliwość,ugonjwa wa kuambukiza ,nouns,3.4
127,niesprawiedliwie,si kwa haki,adverbs,0.05
128,konfuzja,kichaa,nouns,0.7
129,najwyraźniej,inaonekana,adverbs,0.6
130,radzić,kupendekeza,verbs,3.7
131,dłoń,kidole,nouns,1.3
132,ogon,bakuli,nouns,0.0
133,samochód,njia kuu,nouns,0.4
134,prezydent,kamera,nouns,0.0
135,zdrowy,salama,adjectives,0.05
136,bronchit,ugonja wa bronchitis,nouns,0.4
137,robotnik,makanika,nouns,1.9
138,odkryć,kufanya utafiti,verbs,2.95
139,pracownik,mwajiri,nouns,0.7
140,przestrzegać,kutenda,verbs,2.15
141,konstrukcja,uharibifu,nouns,0.05
142,nerw,akili,nouns,0.5
143,zadanie,kazi,nouns,4.25
144,klacz,farasi,nouns,3.55
145,zamówienie,menyu,nouns,0.9
146,ciężarówka,lori,nouns,3.8
147,kierownictwo,utawala,nouns,3.55
148,satyra,satire,nouns,2.1
149,wielce,sana,adverbs,1.3
150,mysz,paka,nouns,0.3
151,bóg,roho,nouns,2.15
152,robić,kujenga,verbs,4.1
153,tradycja,utamaduni,nouns,0.0
154,motłoch,umati,nouns,3.95
155,żona,mume,nouns,0.55
156,aktywnie,kwa uhai,adverbs,0.05
157,kapelusz,sanduku,nouns,0.15
158,mięso,ugali,nouns,0.25
159,guma,fizi,nouns,0.15
160,wiek,urembo,nouns,0.1
161,strona,neno,nouns,0.4
162,wysyłać,kuhudhuria,verbs,0.0
163,wirus,kirusi,nouns,0.5
164,początkowo,ya uhalisia,adverbs,0.85
165,ludzie,idadi ya watu,nouns,3.9
166,piękno,umri,nouns,0.1
167,robótka szydełkowa,krocheti,nouns,0.0
168,dać,kuruhusu,verbs,1.25
169,sufit,kanisa kuu,nouns,0.35
170,świeży,mzee,adjectives,0.05
171,hit,pigo,nouns,0.0
172,uchwyt,mpini,nouns,0.15
173,zapominać,kusamehe,verbs,1.35
174,mięso,nyama,nouns,3.75
175,mysz,menejimenti,nouns,0.05
176,sława,utajiri,nouns,0.4
177,byk,ndama,nouns,2.1
178,szturm,mashambulizi,nouns,5.2
179,wybaczać,samehea,verbs,4.4
180,kryminalista,mhalifu,nouns,5.15
181,dominować,kushinda,verbs,1.45
182,ramię,goti,nouns,0.5
183,prezydent,meya,nouns,1.25
184,mężczyzna,mwanamke,nouns,0.35
185,stulecie,pombe,nouns,0.05
186,dzień,usiku,nouns,0.25
187,prosić,kuomba,verbs,4.7
188,zapominać,kujifunza,verbs,0.15
189,stanowczo,kwa dhati,adverbs,0.35
190,selekcjonować,kuchagua,verbs,5.25
191,nigdy,kamwe,adverbs,0.13
192,działo,bunduki,nouns,1.6
193,pomniejszy,mdogo,adjectives,0.0
194,motyw,kitabu,nouns,0.0
195,złapać,kamata,verbs,0.6
196,grób,kaburi,nouns,1.6
197,stan,nyumba,nouns,0.1
198,łączyć,kuunganisha,verbs,0.15
199,śmiać się,kucheka,verbs,0.08
200,sułtan,sultani,nouns,0.15
201,sędzia pokoju,hakimu,nouns,4.45
202,kaliber,kaliba,nouns,0.0
203,pociągać,kuvutia,verbs,0.0
204,normalny,si wa kawaida,adjectives,0.15
205,różnić się,kugombana,verbs,3.05
206,siostrzeniec,shangazi,nouns,0.55
207,podnieść,nyanyua,verbs,0.95
208,neuroza,ugonjwa wa neurosis,nouns,0.8
209,pewny,bila shaka,adjectives,4.35
210,wiśnia,cheri,nouns,2.1
211,fonologia,fonolojia,nouns,0.15
212,osiągnąć,kujaribu,verbs,0.45
213,pikantny,pilipili,adjectives,0.25
214,winny,mkweli,adjectives,0.1
215,skała,mwamba,nouns,0.3
216,łóżko,fanicha,nouns,2.9
217,kontrolować,kudhibiti,verbs,0.7
218,rzeka,bonde,nouns,0.55
219,ganić,kulaani,verbs,0.7
220,modlić się,kuwasiliana,verbs,0.35
221,pszczoła,malkia,nouns,0.45
222,uwalniać,kuachilia,verbs,0.0
223,wymiana,ubadilishaji,nouns,0.2
224,zawstydzony,mwenye kiasi,adjectives,0.65
225,oczywisty,wa kuona,adjectives,2.75
226,kawa ,maharagwe,nouns,0.75
227,sprawiedliwie,kwa haki,adverbs,0.05
228,uczęszczać,kukusanya,verbs,1.2
229,histeria,ghasia,nouns,0.7
230,rywalizować,kushindana,verbs,0.15
231,zakryć,kufunika,verbs,1.55
232,stek,nyama,nouns,4.45
233,wygrać,kufanikisha,verbs,2.7
234,kurtka,nguo,nouns,2.7
235,walka,pambano,nouns,3.45
236,motor,boti,nouns,1.3
237,absorbować,kujifunza,verbs,0.45
238,ramię,mkono,nouns,0.1
239,sierżant,mjeshi,nouns,0.5
240,nudny,hafifu,adjectives,0.7
241,polano,mbao,nouns,3.25
242,zachować,kulinda,verbs,0.95
243,głupi,mpumbavu,adjectives,0.75
244,kostka,dirisha,nouns,0.0
245,sznurek,uzi,nouns,0.0
246,samochód,gari,nouns,3.8
247,matryca,matriksi,nouns,0.53
248,wanna,chumba,nouns,0.15
249,kosz,mpira,nouns,0.45
250,krytyka,hoja,nouns,0.85
251,dumny,kujivunia,adjectives,0.0
252,pozostać,kudumisha,verbs,0.55
253,zadanie,njia kuu,nouns,0.15
254,ciotka,mpwa,nouns,0.55
255,nerwowy,kuoga,adjectives,0.0
256,unikać,kujiweka mbali,verbs,1.05
257,kierowca,rubani,nouns,2.25
258,satysfakcjonować,kufahamu,verbs,0.15
259,przyjść,kuleta,verbs,0.4
260,dorosły,mlezi,nouns,2.45
261,klejący,natanata,adjectives,0.55
262,winić,kulaumu,verbs,2.38
263,tłumacz,mtafsiri,nouns,0.2
264,lód,maji,nouns,1.75
265,spódnica,sketi,nouns,0.05
266,księżyc,sayari,nouns,1.3
267,manuskrypt,muswada,nouns,1.35
268,chleb,chizi,nouns,0.15
269,bark,mkono,nouns,2.8
270,pobieżnie,takribani,adverbs,0.8
271,głośno,kwa sauti,adverbs,0.22
272,woda,maji,nouns,0.1
273,zorganizowany,kupanga,adjectives,0.0
274,konieczny,sio wa lazima,adjectives,0.05
275,wektor,vector,nouns,0.95
276,informacja,kitabu,nouns,0.8
277,skakanie,kuruka,nouns,0.1
278,filiżanka,kopo,nouns,1.0
279,gitara,gita,nouns,0.75
280,przestrzegać,kutii,verbs,0.4
281,normalnie,kwa kawaida,adverbs,2.3
282,ludzie,sherehe,nouns,0.45
283,ukończyć,kuhitimu,verbs,4.7
284,zgadzać się,kujipendekeza,verbs,0.45
285,córka,kijana,nouns,2.0
286,znany,julikana,adjectives,2.83
287,bawić się,kucheza,verbs,0.0
288,ciało,neva,nouns,0.6
289,mennica,minti,nouns,0.05
290,sacharoza,sukrosi,nouns,1.8
291,samochód,baisikeli,nouns,0.65
292,noc,mchana,nouns,0.25
293,miesiąc,agosti,nouns,2.65
294,sugerować,kupendekeza,verbs,4.0
295,pragnąć,kua na hamu,verbs,4.7
296,pokój,kuoga,nouns,0.15
297,pakt,mazingira,nouns,0.85
298,oko,chozi,nouns,1.0
299,ogień,moto,nouns,0.55
300,okno,mlango,nouns,1.05
301,zamierzać,kuania,verbs,1.6
302,klon,mti,nouns,2.95
303,odejmować,toa ,verbs,0.7
304,bieg,tendo,nouns,0.65
305,brat,baba,nouns,0.35
306,zagrożenie,hatari,nouns,5.05
307,biegać,kimbia,verbs,0.1
308,tata,mama,nouns,0.75
309,adwokat,mwanasheria,nouns,4.75
310,przykryć,kufunika,verbs,2.65
311,trik,mchezo,nouns,0.75
312,dąb,mpera,nouns,1.4
313,martwić,kuwa na wasiwasi,verbs,0.0
314,przezornie,kwa uangalifu,adverbs,5.05
315,opinia,upendeleo,nouns,0.25
316,literatura,kitabu,nouns,2.85
317,oczywiście,ni dhahiri,adverbs,3.75
318,cenzura,udhibiti,nouns,0.15
319,kwas,asidi,nouns,0.25
320,wędrować,kuondoka,verbs,0.7
321,niedawno,hivi karibuni,adverbs,1.2
322,łódź,gari,nouns,0.65
323,opinia,chaguo,nouns,1.15
324,zamarzać,kuganda,verbs,0.35
325,samochód,teksi,nouns,3.9
326,akceptować,kuamini,verbs,1.8
327,baseball,kochi,nouns,0.0
328,popcorn,bisi,nouns,0.25
329,trunek,bendi,nouns,0.05
330,nasienie,mbegu,nouns,0.15
331,jabłko,sosi,nouns,0.1
332,ułaskawić,kusamehe,verbs,4.4
333,powieść się,kutimiza,verbs,3.1
334,tsunami,sunami,nouns,0.75
335,list,aya,nouns,0.4
336,ballada,wimbo,nouns,3.25
337,suma,jumla,nouns,1.05
338,utykać,kuchechemea,verbs,1.5
339,deszcz,mvuke,nouns,0.6
340,terapia,tiba,nouns,0.95
341,jasno,kwa ukali,adverbs,0.2
342,mężczyzna,mjomba,nouns,2.1
343,tron,kiti cha enzi,nouns,0.05
344,biedny,maskini,adjectives,0.1
345,łóżko,chumba cha kulala,nouns,1.35
346,wiedzieć,kusahau,verbs,0.05
347,organizować,panga,verbs,2.2
348,pensja,ada,nouns,0.7
349,plaża,mchanga,nouns,0.55
350,kreatywny,mbunifu,adjectives,3.8
351,zachód,kaskazini,nouns,0.55
352,czysty,safi,adjectives,0.3
353,duma,furaha,nouns,0.85
354,sensor,sensa,nouns,0.35
355,zdarzyć się,kutokea,verbs,4.55
356,polano,kuni,nouns,4.2
357,żołądek,kiuno,nouns,0.6
358,biały,nyeupe,adjectives,0.0
359,nosić,kuvaa,verbs,0.05
360,topologia,upangilio,nouns,3.05
361,sałatka,siki,nouns,0.25
362,zaprzeczać,kukataa,verbs,0.28
363,morał,adili,nouns,0.4
364,plakat,bango,nouns,0.95
365,domek,nyumba ndogo,nouns,4.4
366,ofiara,mungu,nouns,0.0
367,wszechmoc,uwezaji,nouns,1.9
368,wizerunek,kioo,nouns,2.05
369,puszka,kopo,nouns,1.4
370,wychodzić,enda,verbs,0.65
371,przyznawać,kukubali,verbs,0.1
372,zapominać,kukumbusha,verbs,0.05
373,przekonywać,kushawishi,verbs,0.65
374,wygięty,yenye pindo,adjectives,0.05
375,zobowiązanie,mkutano,nouns,0.75
376,wznosić,kulea,verbs,0.1
377,student,mwanafunzi,nouns,0.65
378,skończyć,maliza,verbs,0.75
379,ciasno,kwa ukakamavu,adverbs,0.85
380,dżojstik,joystiki,nouns,0.3
381,stać się,kupanga,verbs,0.15
382,ptak,mwewe,nouns,3.6
383,szosa,gari,nouns,0.4
384,istotny,muhimu,adjectives,0.0
385,autor,msomaji,nouns,0.1
386,dumny,mjasiri,adjectives,0.85
387,kotwica,boti,nouns,1.0
388,bagaż,mzigo,nouns,0.0
389,musztarda,mbegu,nouns,0.05
390,plaża,kisiwa,nouns,1.2
391,cent,saizi,nouns,0.05
392,niesamowicie,kwa kushangaza,adverbs,4.6
393,wesoły,mwenye kupendeza,adjectives,1.3
394,uczyć się,kufyonza,verbs,0.45
395,długi,mfupi,adjectives,0.05
396,młody,isiyotulia,adjectives,0.5
397,zezwalać,kwenda,verbs,0.1
398,niechlujny,chafu,adjectives,0.0
399,żyła,chaguo,nouns,0.05
400,skóra,ngozi,nouns,0.0
401,prawo,shule,nouns,0.15
402,kwestowanie,mchango,nouns,0.15
403,dorosły,mtoto,nouns,0.15
404,nabyć,kupata,verbs,1.48
405,giętki,mwenye kiasi,adjectives,0.55
406,wgląd,ukweli,nouns,1.75
407,dzwon,mnara,nouns,0.4
408,symbol,msimbo,nouns,1.95
409,realistycznie,kwelikweli,adverbs,0.0
410,wybrzeże,pwani,nouns,0.1
411,wyspa,mtoto wa mfalme,nouns,0.0
412,korzeń,nyasi,nouns,0.4
413,strzała,lengo,nouns,0.5
414,pojazd,basi,nouns,3.85
415,gardło,ulimi,nouns,1.05
416,prawdziwy,halisi,adjectives,0.1
417,pistolet,watu,nouns,0.05
418,siedzenie,kiti,nouns,0.15
419,woda,chumvi,nouns,0.45
420,przynieść,kutuma,verbs,0.05
421,krew,damu,nouns,0.5
422,przeszłość,zamani,nouns,1.15
423,przestępstwo,udanganyifu,nouns,3.7
424,mierny,mtumba,adjectives,0.65
425,lokalnie,kienyeji,adverbs,0.0
426,wstyd,huzuni,nouns,0.5
427,odłączyć,kutenganisha,verbs,4.2
428,bok,juu,nouns,0.4
429,wygięty,pinda,adjectives,0.1
430,tępy,adimu,adjectives,0.0
431,sweter,fulana,nouns,0.55
432,kłócić się,kukubaliana,verbs,0.15
433,niebezpieczeństwo,tishio,nouns,5.05
434,motor,injini,nouns,4.55
435,matka,mlezi,nouns,3.3
436,łóżko,chumba,nouns,0.4
437,kurczak,steki,nouns,0.6
438,radar,rada,nouns,0.3
439,giętki,rahisi,adjectives,0.2
440,nielegalny,wa dhambi,adjectives,2.05
441,przekonanie,ua,nouns,0.05
442,chicho,kwa ukimya,adverbs,0.0
443,kiedykolwiek,kila wakati,adverbs,0.7
444,komunikacja,lugha,nouns,2.5
445,złoto,dhahabu,nouns,0.7
446,wojownik,mwanaume,nouns,1.1
447,wycierać,kupanguza,verbs,0.2
448,brać,kupokea,verbs,2.95
449,nosić,kuvaa,verbs,0.0
450,aktor,mchezaji wa kike,nouns,3.3
451,cygaro,sanduku ,nouns,0.0
452,skromny,ana aibu,adjectives,0.65
453,wysyłać,kuleta,verbs,0.05
454,korytarz,mlango,nouns,0.35
455,hojny,wa kirafiki,adjectives,1.65
456,brudny,chafu,adjectives,1.0
457,kwiat,chavua,nouns,1.65
458,piłka,kikapu,nouns,0.45
459,poręcz,ua,nouns,0.3
460,gwizdać,mluzi,verbs,0.05
461,wiedzieć,kuamini,verbs,0.45
462,trybunał,mahakama,nouns,1.95
463,prosić,kuuliza,verbs,1.6
464,żołądek,chumba cha kulala,nouns,0.0
465,powiedzieć,kusema,verbs,0.95
466,kostium,sherehe,nouns,0.25
467,rok,mwaka,nouns,0.75
468,pojemnik,panya,nouns,0.05
469,obecność,mlango,nouns,0.0
470,rozumieć,kuelewa,verbs,4.45
471,rezygnować,kuanza,verbs,0.05
472,wichura,upepo mkali,nouns,0.0
473,blaknąć,kufifia,verbs,1.1
474,nudny,zorota,adjectives,0.0
475,zawstydzony,jisikia aibu,adjectives,0.35
476,senat,seneti,nouns,0.85
477,śpiewać,kuimba,verbs,0.1
478,wydarzenie,tukio,nouns,0.5
479,wierzyć,kuamini,verbs,0.85
480,powiadamiać,kufahamisha,verbs,5.6
481,po,baada ya,adverbs,0.25
482,podbój,safari,nouns,0.35
483,sok,maziwa,nouns,0.6
484,inaczej,tofauti,adverbs,1.25
485,mnożenie,zidisha,nouns,0.2
486,ulica,gari,nouns,0.15
487,nużący,kulivu,adjectives,0.0
488,książka,makala,nouns,1.1
489,futro,bunduki,nouns,0.0
490,polityk,rais,nouns,3.5
491,zaręczyny,uchumba,nouns,0.55
492,wkład,mchango,nouns,2.0
493,tłumić,kukandamiza,verbs,1.15
494,kura,ndege,nouns,3.15
495,oddział,jeshi,nouns,2.6
496,wybierać,kutaka,verbs,1.15
497,posiąść,kufyonza,verbs,0.7
498,obszar,mkoa,nouns,4.65
499,oczywiście,ni wazi,adverbs,0.03
500,ciało,uti,nouns,0.6
501,pudełko,sigara,nouns,0.0
502,drzwi,sakafu,nouns,0.25
503,pasywnie,kwa kutegemewa,adverbs,0.1
504,stulecie,muongo,nouns,0.75
505,sprzedawać,kwenda,verbs,0.0
506,pacjent,mgonjwa,nouns,0.0
507,robić,kuchuma,verbs,0.65
508,wartownik,mwanaume,nouns,0.9
509,granica,mpaka,nouns,3.75
510,pszczoła,mdudu,nouns,2.55
511,wchodzić,kudaiwa,verbs,0.0
512,wielki,mkubwa mno,adjectives,5.75
513,zły,ana hatia,adjectives,1.9
514,świecić,kuangaza,verbs,4.05
515,zadowalać,kusihi,verbs,0.2
516,słowo,fasihi,nouns,1.3
517,butelka,chupa,nouns,1.4
518,długi,mwembamba,adjectives,0.2
519,wytrzymałość,ua,nouns,0.0
520,mieszkanie,fanicha,nouns,0.35
521,muzułmanin,mwislamu,nouns,0.1
522,papier,karatasi,nouns,0.95
523,cytryna,chai,nouns,0.15
524,syn,baba,nouns,0.8
525,wiza,mhuri,nouns,0.05
526,płuco,ini,nouns,0.65
527,ciężki,rahisi,adjectives,0.05
528,cicho,kwa upole,adverbs,0.0
529,stół,meza,nouns,0.0
530,zaczynać,kuacha,verbs,0.05
531,pewnie,kwa hakika,adverbs,4.9
532,bawełna,plastiki,nouns,0.35
533,marnować,takataka,verbs,0.0
534,szeptać,kunong'oneza,verbs,1.7
535,entropia,kuzorota,nouns,0.1
536,córka,baba,nouns,0.3
537,cukierek,matofaa,nouns,0.4
538,palec,kiganja,nouns,1.3
539,dumny,mwenye nguvu,adjectives,0.45
540,koc,kitanda,nouns,0.9
541,iluzja,uhalisi,nouns,0.15
542,pojawić się,kuondoka,verbs,0.65
543,rozpadać się,kuoza,verbs,1.7
544,dodawać,kuzidisha,verbs,0.45
545,chwytać,kamata,verbs,1.55
546,przyłączyć się,kukuunga,verbs,0.0
547,objuczony,mzito,adjectives,1.35
548,kuchnia,bafu,nouns,0.4
549,bateria,betri,nouns,1.4
550,jabłko,mwanga wa jua,nouns,0.1
551,ofiara,toleo,nouns,2.0
552,głowa,kichwa,nouns,0.9
553,domek,kambi,nouns,0.5
554,kołyska,kitanda cha mtoto,nouns,2.55
555,obecność,kutokuwepo,nouns,0.15
556,wieczerza,chakula cha asubuhi,nouns,0.3
557,pochować,kuzikwa,verbs,1.6
558,wartość,imani,nouns,1.25
559,facet,rafiki,nouns,0.75
560,kurczyć się,kukua,verbs,0.05
561,pistolet,bunduki,nouns,0.5
562,wybory,uchaguzi,nouns,2.75
563,ponury,wa kuchosha,adjectives,0.7
564,chmura,hali ya hewa,nouns,1.15
565,notatka,kumbuku,nouns,0.4
566,chleb,unga,nouns,0.9
567,szczupły,mwembamba,adjectives,3.7
568,wybrzeże ,ufuko,nouns,4.35
569,kłaść,kuning'inia,verbs,0.2
570,rozkoszny,mchangamfu,adjectives,1.3
571,zwycięzca,uwepo,nouns,0.1
572,naukowiec,muuguzi,nouns,0.15
573,próbować,kujaribu,verbs,0.65
574,sól,maji,nouns,0.45
575,drzwi,jiko,nouns,0.15
576,unosić się,kuelea,verbs,0.0
577,płot,uzio,nouns,0.1
578,chojnie,kwa fadhili,adverbs,2.2
579,klakson,gari,nouns,0.4
580,żołądek,mshipa,nouns,0.25
581,dać,kujua,verbs,0.1
582,monokultura,kilima cha zao moja,nouns,2.3
583,kręgosłup,mwili,nouns,0.6
584,węgiel,atomu,nouns,1.1
585,słodki,tamu,adjectives,0.0
586,pogorszyć się,kuzorota,verbs,0.2
587,mężczyzna,mtoto,nouns,0.2
588,święto,likizo,nouns,0.55
589,przytłaczać,kuzidiwa,verbs,0.55
590,wierzch,upande,nouns,0.4
591,pobieżnie,takriban,adverbs,0.32
592,krew,uboho,nouns,0.65
593,ptak,batamzinga,nouns,3.45
594,nalewać,kumwaga,verbs,1.05
595,podbój,nyimbo,nouns,0.05
596,legenda,hadithi,nouns,0.4
597,żołnierz,mvulana,nouns,0.1
598,iść,kuruhusu,verbs,0.1
599,burza,wingu,nouns,0.55
600,słowo,kamusi,nouns,1.25
601,urodziny,tarehe,nouns,1.65
602,zasługiwać,kuchuma,verbs,0.65
603,obłąkany,safi,adjectives,0.0
604,tył,nyuma,nouns,2.9
605,dom,fleti,nouns,4.35
606,jawny,bila siri,adjectives,0.15
607,głęboko,kwa undani,adverbs,0.2
608,kula,mviringo,nouns,2.1
609,werdykt,kesi,nouns,1.5
610,słoma,jukumu,nouns,0.0
611,wąż ,nyoka,nouns,0.45
612,biznes,viwanda,nouns,2.0
613,wynagrodzenie,thawabu,nouns,4.75
614,fantazja,uhalisi,nouns,0.05
615,wybór,oni,nouns,1.15
616,pokorny,mnyenyekevu,adjectives,4.45
617,posiąść,kuchukua,verbs,1.7
618,oko,nyusi,nouns,0.5
619,rakieta,raketi,nouns,0.4
620,kompletnie,kwa ukamilifu,adverbs,0.93
621,wiadomości,vyombo vya habari,nouns,1.6
622,pas,kitanzi,nouns,1.05
623,pętla,mkanda,nouns,1.05
624,partner,mvulana,nouns,0.6
625,holować,kuvuta,verbs,0.95
626,udawać,kuonekana,verbs,0.7
627,zabawa,mpira wa miguu,nouns,1.05
628,tunel,shimo,nouns,0.15
629,koń,farasi wa kike,nouns,3.55
630,definicja,kamusi,nouns,0.75
631,głębia,ukubwa,nouns,1.15
632,płyta główna,bodi kuu,nouns,4.0
633,pudełko,lifti,nouns,0.1
634,głowa,msumari,nouns,0.25
635,niemoralny,mbaya,adjectives,2.7
636,wyruszyć,kuondoka,verbs,0.0
637,chmura,dhoruba,nouns,0.55
638,pieniądze,hela,nouns,5.8
639,ocean,bahari,nouns,2.4
640,niepoczytalny,ana wazimu,adjectives,5.4
641,przyjść,kuhudhuria,verbs,2.9
642,pora roku,msimu wa baridi,nouns,3.25
643,czytelnik,mtunzi,nouns,0.1
644,znaleźć,kujipatia,verbs,1.15
645,pewny,ana kujiamini,adjectives,3.95
646,zezwalać,kuruhusu,verbs,0.0
647,wierzyć,kukubali,verbs,1.8
648,luźny,pwaya,adjectives,1.25
649,słuchać,kuelewa,verbs,0.85
650,zaprzeczać,kukana,verbs,1.05
651,narodowy,kitaifa,adjectives,0.25
652,wytrzymałość,bendi,nouns,0.0
653,nawalić,kushidwa,verbs,0.05
654,tęczówka,boriti,nouns,0.3
655,umknąć,kukimbia,verbs,4.95
656,dowiadywać się,kuwaza,verbs,0.4
657,bóg,padri,nouns,0.55
658,organizować,kuandaa,verbs,3.8
659,rabin,mwalimu,nouns,1.85
660,czytać,kufahamu,verbs,0.85
661,pęcherz,malengelenge,nouns,0.0
662,pielęgniarka,mwanasayansi,nouns,0.15
663,ostrożnie,kwa utaratibu,adverbs,0.0
664,pocieszać,kufaraja,verbs,0.0
665,cukierek,peremende,nouns,0.2
666,kość,shingo,nouns,0.45
667,ziarnko,kahawa,nouns,0.75
668,przestępstwo,kosa,nouns,3.4
669,wskaźnik,kionyeshi,nouns,0.0
670,mięso,mkate,nouns,0.1
671,bark,mwili,nouns,0.85
672,pozwalać,kuruhusu,verbs,4.2
673,kierownictwo,panya,nouns,0.05
674,bóg,baba,nouns,2.2
675,sonet,ushairi,nouns,0.1
676,weryfikować,kutetea,verbs,1.0
677,harmonia,umoja,nouns,0.15
678,frustrować,kufadhaisha,verbs,1.7
679,nowy,wa kale,adjectives,0.1
680,rozpuszczać,kuyeyusha,verbs,0.65
681,powiedzieć,kusema,verbs,2.75
682,tępy,mkubwa mno,adjectives,0.0
683,szalenie,kwa hasira,adverbs,0.65
684,nawalić,kushindwa,verbs,4.85
685,bilioner,bilionea,nouns,0.0
686,komunikacja,televisheni,nouns,1.3
687,niespokojny,mchanga,adjectives,0.5
688,pudełko,kibanda,nouns,0.2
