ID,CMN,RUS,PoS,score
189,父亲,родитель,nouns,3.98
190,光标,слайд,nouns,0.09
191,私人,личный,adjectives,4.18
192,胆大,гордый,adjectives,1.02
193,发抖,замерзать,verbs,0.83
194,不同意,бороться,verbs,0.25
195,任务,автострада,nouns,0.1
196,难以置信,обычный,adjectives,0.1
197,井井有条,беспорядочный,verbs,0.18
198,孤独,бедный,adjectives,0.29
199,钱,капитал,nouns,3.82
200,找到,убегать,verbs,0.0
201,不显眼地,очевидно,adverbs,0.43
202,大概,положительно,adverbs,0.05
203,搅拌,встряхивать,verbs,1.55
204,需求,спорить,verbs,0.58
205,词,литература,nouns,1.55
206,唱,плавать,verbs,0.05
207,数字,цитоплазма,nouns,0.0
208,起源,открывать,verbs,0.18
209,男人,женщина,nouns,0.38
210,无知,обычный,adjectives,0.1
211,用拳猛击,ущипнуть,verbs,0.53
212,男人,подозреваемый,nouns,0.38
213,毕业,заканчивать,verbs,2.28
214,成功,проваливать,verbs,0.18
215,罕见,немой,adjectives,0.0
216,异常地,обычно,adverbs,0.0
217,修理,восстановить,verbs,2.89
218,救,тонуть,verbs,0.1
219,说服,пытаться,verbs,0.57
220,键盘,свет,nouns,0.04
221,承认,уведомлять,verbs,0.25
222,山,выступ,nouns,0.5
223,狡猾,умный,adjectives,1.75
224,古怪,странный,adjectives,4.78
225,棉,полиэстер,nouns,0.65
226,推荐,советовать,verbs,4.46
227,皮肤,велосипед,nouns,0.0
228,语言,общение,nouns,0.92
229,自然地,неестественно,adverbs,0.23
230,武器,шлем,nouns,0.69
231,争论,обсуждать,verbs,2.74
232,一分钱,размер,nouns,0.3
233,花朵,фиалка,nouns,2.88
234,主题,книга,nouns,1.35
235,重大,незначительный,adjectives,0.14
236,事件,сбор пожертвований,nouns,1.03
237,给予,получать,verbs,0.05
238,信念,мнение,nouns,0.57
239,酒,век,nouns,0.0
240,新教,кристиан,nouns,2.21
241,旋律,ритм,nouns,3.27
242,门口,выход,nouns,3.27
243,喇叭,барабан,nouns,0.39
244,小学生,учащийся,nouns,4.7
245,眼泪,глаз,nouns,0.72
246,遇见,плавать,verbs,0.0
247,肉,стейк,nouns,4.14
248,巧妙,зрело,adverbs,0.38
249,参与,сотрудничать,verbs,1.36
250,医生,ортодонт,nouns,2.83
251,勺子,чашка,nouns,0.45
252,等待,покидать,verbs,0.28
253,暴动,рисование,nouns,0.04
254,今天晚上,сегодня,adverbs,1.93
255,留,покидать,verbs,0.09
256,自行车,кожа,nouns,0.0
257,提醒,забывать,verbs,0.18
258,无实体,духовный,adjectives,2.97
259,赢家,гол,nouns,0.15
260,收到,ловить,verbs,0.39
261,伙伴,спутник,nouns,2.31
262,小炮舰,берег,nouns,0.15
263,牙齿,кость,nouns,0.97
264,糖,мед,nouns,1.82
265,学生,профессор,nouns,0.48
266,相信,принимать,verbs,1.0
267,旗,изучение флагов,nouns,0.96
268,坏,виноватый,adjectives,0.24
269,苔藓,трава,nouns,1.57
270,牛肉,мясо,nouns,3.12
271,给予,занимать,verbs,1.88
272,得分,уровень,nouns,0.36
273,紧密地,локально,adverbs,0.19
274,狡诈,ненадёжный,adjectives,2.19
275,创建,строить,verbs,3.97
276,猫,лев,nouns,0.76
277,之前,после,adverbs,0.18
278,杜松子酒,виски,nouns,1.72
279,朋友,приятель,nouns,3.95
280,毯子,постель,nouns,0.65
281,乱,уродливый,adjectives,0.42
282,头,ступня,nouns,0.39
283,预测,облачность,nouns,0.65
284,说谎,обвинять,verbs,0.24
285,枪,мех,nouns,0.05
286,诚实,виноватый,adjectives,0.04
287,自信,настрой,nouns,1.44
288,容易地,удобно,adverbs,1.63
289,餐,ужин,nouns,3.28
290,手指,ладонь,nouns,1.41
291,图像,отражение,nouns,2.5
292,想,помнить,verbs,0.53
293,友好,навряд ли,adverbs,0.09
294,人,ружье,nouns,0.05
295,离开,прибывать,verbs,0.14
296,混合,пить,verbs,0.05
297,离开,входить,verbs,0.18
298,白天,ночь,nouns,0.1
299,目标,поиск,nouns,0.95
300,剧院,фильм,nouns,1.3
301,不诚实,правдивый,adjectives,0.04
302,教授,студент,nouns,0.48
303,辣,хороший,adjectives,0.35
304,骗局,коррупция,nouns,2.08
305,州,дом,nouns,0.25
306,高高兴兴,активно,adverbs,0.37
307,信念,представление,nouns,1.29
308,系统,вина,nouns,0.05
309,收费,презирать,verbs,0.15
310,词性变化,инфекция,nouns,0.0
311,洞,жена,nouns,0.32
312,成长,расширяться,verbs,2.5
313,模式,мода,nouns,0.39
314,赞成,разрешать,verbs,3.31
315,理解,удовлетворять,verbs,0.43
316,快乐,счастливый,adjectives,5.02
317,码,дюйм,nouns,1.97
318,数学家,показ,nouns,0.0
319,农药,вредитель,nouns,0.63
320,拯救,выручать,verbs,4.52
321,纸,плакат,nouns,1.96
322,理想地,механически,adverbs,0.14
323,毛线衣,хлопок,nouns,0.77
324,职业,колледж,nouns,0.39
325,掩盖,закапывать,verbs,1.73
326,狡猾,странный,adjectives,0.97
327,羞愧,печаль,nouns,0.85
328,小心地,опасно,adverbs,0.28
329,争论,посещать,verbs,0.09
330,看,искать,verbs,1.15
331,詞,страница,nouns,0.4
332,这里,сейчас,adverbs,1.55
333,表,закат,nouns,0.0
334,僵硬,легкий,adjectives,0.09
335,妻子,мать,nouns,2.08
336,威胁,опасность,nouns,4.32
337,岛,пляж,nouns,0.98
338,非一般,редкий,adjectives,3.84
339,羊肉,овца,nouns,3.68
340,高兴,рассерженный,adjectives,0.33
341,侧面,верх,nouns,0.34
342,到达,приходить,verbs,2.96
343,沐浴,шалость,nouns,0.0
344,煮沸,жарить,verbs,0.71
345,僧侣,священник,nouns,2.97
346,服从,слушать,verbs,2.25
347,自行车,спальня,nouns,0.0
348,公主,король,nouns,0.45
349,仁慈地,мило,adverbs,4.42
350,新闻,сплетня,nouns,2.29
351,秘书,женщина,nouns,0.71
352,存款,бережливый человек,nouns,0.58
353,合唱团,церковь,nouns,0.74
354,头,нос,nouns,0.49
355,微晶片,курсор,nouns,0.15
356,牙医,ортодонт,nouns,4.34
357,铝,металл,nouns,2.4
358,一致地,иногда,adverbs,0.05
359,静脉,выбор,nouns,0.04
360,图解,диаграмма,nouns,3.49
361,肯定,самоуверенный,adjectives,2.8
362,车,такси,nouns,3.13
363,舱,лагерь,nouns,0.69
364,极好,отличный,adjectives,4.88
365,老鼠,кошка,nouns,0.43
366,公爵,республика,nouns,0.15
367,苹果,повидло,nouns,0.59
368,骨头,лодыжка,nouns,0.82
369,王座,меч,nouns,0.33
370,年龄,красота,nouns,0.48
371,二极管,конденсатор,nouns,0.88
372,忽略,обращаться,verbs,0.09
373,普通,холодный,adjectives,0.0
374,副手,офицер,nouns,1.73
375,狗,лошадь,nouns,0.56
376,书,авария,nouns,0.0
377,从不,редко,adverbs,1.54
378,便宜货,пенни,nouns,0.15
379,心灵,бестелесный,adjectives,2.97
380,电梯,автомобиль,nouns,0.4
381,舌头,щека,nouns,0.5
382,啤酒,напиток,nouns,2.42
383,房间,ванна,nouns,0.8
384,主板,материнская плата,nouns,3.44
385,想,выбирать,verbs,0.71
386,生存,жить,verbs,2.13
387,断绝亲子关系 or...,давать,verbs,0.0
388,责怪,толкать,verbs,0.18
389,牛,коза,nouns,0.47
390,解剖学,биология,nouns,2.07
391,钝,острый,adjectives,0.14
392,次要,значительный,adjectives,0.14
393,天空,мечта,nouns,0.29
394,星系,приложение,nouns,0.3
395,妻子,женщина,nouns,2.54
396,树,лист,nouns,0.64
397,家具,квартира,nouns,0.49
398,捏,бить,verbs,0.53
399,营地,домик,nouns,0.69
400,皇帝,конституция,nouns,0.24
401,感觉到,верить,verbs,0.91
402,不需要,необходимый,adjectives,0.14
403,身体,плечо,nouns,1.06
404,获得,объединяться,verbs,0.15
405,和平地,с гордостью,adverbs,0.09
406,湿疹,дерматит,nouns,3.48
407,平庸,хороший,adjectives,0.53
408,蛋白质,ручка,nouns,0.0
409,平淡,скучающий,adjectives,2.34
410,紧张,уверенный,adjectives,0.05
411,天气,облако,nouns,1.49
412,实质上,критично,adverbs,0.53
413,面包,мука,nouns,1.52
414,站立,ходить,verbs,0.28
415,发烧,болезнь,nouns,1.79
416,门,окно,nouns,0.53
417,日落,рассвет,nouns,0.57
418,离开,забирать,verbs,0.05
419,哭泣,плакать,verbs,5.16
420,叫喊,спорить,verbs,0.75
421,选举,отклонять,verbs,0.1
422,扼杀,сокрушать,verbs,0.39
423,尊严,значки,nouns,0.15
424,果汁,молоко,nouns,0.42
425,法律,факультет,nouns,0.58
426,编译器,подпрограмма,nouns,1.36
427,闪电攻击,атака,nouns,3.38
428,天气,волна,nouns,0.29
429,阵列,список,nouns,0.73
430,焦躁不安,молодой,adjectives,0.45
431,作业,задача,nouns,3.22
432,膝盖,кость,nouns,1.28
433,混乱,мирно,adverbs,0.1
434,机械地,идеально,adverbs,0.14
435,公开,неизвестный,adjectives,0.24
436,鸟,ястреб,nouns,1.94
437,肢体,нога,nouns,2.5
438,储蓄者,сбережения,nouns,0.58
439,覆盖着的,непокрытый,adjectives,0.14
440,凯旋,победа,nouns,4.67
441,出席,посылать,verbs,0.1
442,木材,бревно,nouns,3.54
443,坦克,машина,nouns,1.02
444,电影,попкорн,nouns,0.78
445,宣布,провозглашать,verbs,4.87
446,了解,прощать,verbs,1.32
447,滑雪,сноуборд,nouns,1.77
448,正义,суд,nouns,1.3
449,早餐,ужин,nouns,0.66
450,精确,неправильный,adjectives,0.09
451,枪,сержант,nouns,0.44
452,国王,правитель,nouns,4.5
453,座位,наклон,nouns,0.09
454,歌手,штат сотрудников,nouns,0.18
455,探路者,лучник,nouns,0.43
456,走,продавать,verbs,0.4
457,借,продавать,verbs,0.33
458,膝盖,рука,nouns,0.53
459,忽略,покидать,verbs,0.43
460,习语,слово,nouns,1.02
461,现实地,недавно,adverbs,0.0
462,重要,необходимый,adjectives,3.66
463,醋,салат,nouns,0.39
464,芝士,хлеб,nouns,0.34
465,收到,брать,verbs,1.42
466,星,астероид,nouns,2.5
467,建造,делать,verbs,2.78
468,日志,формула,nouns,0.2
469,大声地,мягко,adverbs,0.0
470,茶,лимон,nouns,0.49
471,搏斗,укусить,verbs,1.21
472,伤心,гордый,adjectives,0.18
473,模仿,захватить,verbs,0.0
474,脾气,врач,nouns,0.15
475,绿洲,свобода,nouns,0.15
476,黏,мокрый,adjectives,1.4
477,草,мох,nouns,1.57
478,光线电话机,омофон,nouns,0.1
479,新,старый,adjectives,0.24
480,知会,сообщать,verbs,4.03
481,工人,механик,nouns,2.08
482,器官,печень,nouns,2.27
483,知道,забывать,verbs,0.05
484,原谅,принимать,verbs,1.92
485,书,тема,nouns,1.35
486,击剑,гимнастика,nouns,0.66
487,忘记,прощать,verbs,0.93
488,部,султан,nouns,0.0
489,时装,стиль,nouns,2.73
490,海啸,море,nouns,1.13
491,校验,говорить,verbs,0.3
492,忍耐力,цветок,nouns,0.23
493,夺取,брать,verbs,2.06
494,蔑视,ненавидеть,verbs,3.05
495,音节,лемма,nouns,0.75
496,血液,тело,nouns,0.91
497,演员,телевидение,nouns,0.82
498,疾病,жар,nouns,1.79
499,不公平地,необоснованно,adverbs,2.3
500,手臂,мускул,nouns,1.14
501,忘记,игнорировать,verbs,2.69
502,消失,сжиматься,verbs,0.58
503,韵律,стих,nouns,0.88
504,尖,тупой,adjectives,0.14
505,加入,приобретать,verbs,0.15
506,组织,собирать,verbs,1.69
507,珍贵,ленивый,adjectives,0.04
508,打扰,мешать,verbs,3.51
509,神经官能症,разум,nouns,0.19
510,作证,судить,verbs,0.14
511,困难,легкий,adjectives,0.14
512,宪法,сенат,nouns,0.71
513,衬衣,кардиган,nouns,1.03
514,坏,нечестный,adjectives,0.96
515,运输,автомобиль,nouns,1.41
516,酒,группа,nouns,0.15
517,打扰,обижать,verbs,1.21
518,课程,действие,nouns,0.53
519,之后,до,adverbs,0.18
520,椅子,диван,nouns,1.59
521,瞄准,ударять,verbs,1.25
522,门,звонок,nouns,0.5
523,闷,посредственный,adjectives,1.6
524,中性,нерешительный,adjectives,0.72
525,晚餐,завтрак,nouns,0.66
526,包装纸,убежище,nouns,0.1
527,锌,золото,nouns,0.56
528,天花板,пол,nouns,0.34
529,打,привлекать,verbs,0.0
530,画画,бунт,nouns,0.04
531,探索,игнорировать,verbs,0.0
532,不可能,дружелюбно,adverbs,0.09
533,骰子,куб,nouns,2.67
534,法庭,судья,nouns,1.21
535,年级,школа,nouns,1.0
536,总和,соединение,nouns,1.37
537,纸,дерево,nouns,0.63
538,强烈地,официально,adverbs,0.52
539,轻轻的,твердо,adverbs,0.05
540,星星,планета,nouns,2.88
541,跟随,гнаться,verbs,2.76
542,离开,присоединиться,verbs,0.18
543,钩针编织,форма,nouns,0.43
544,减少,сжиматься,verbs,3.19
545,压抑,отрекаться,verbs,0.05
546,操纵杆,радар,nouns,0.29
547,金属,алюминий,nouns,2.4
548,离开,оставаться,verbs,0.09
549,明亮,звезда,nouns,0.83
550,碗,хвост,nouns,0.0
551,加冕礼,воды,nouns,0.04
552,抽屉,одежда,nouns,0.39
553,选择,тюрьма,nouns,0.04
554,旗帜学,флаг,nouns,0.96
555,意志,намерение,nouns,1.36
556,沐浴,комната,nouns,0.8
557,悲剧,смерть,nouns,2.08
558,糟糕,смиренно,adverbs,0.0
559,厨房,ванная,nouns,0.44
560,姊妹,брат,nouns,1.74
561,阻碍,стараться,verbs,0.0
562,男孩,рис,nouns,0.0
563,鸡,стейк,nouns,0.64
564,枪,нож,nouns,1.59
565,不清楚,смутный,adjectives,4.24
566,情绪,страсть,nouns,2.74
567,赚,заслуживать,verbs,1.78
568,偷,покупать,verbs,0.28
569,教,наказать,verbs,0.28
570,轻轻的,громко,adverbs,0.0
571,困扰,попугать,verbs,0.63
572,北方,запад,nouns,0.24
573,狂怒,злость,nouns,4.2
574,组织,становиться,verbs,0.15
575,活动,гибкий,adjectives,0.82
576,建议,рекомендовать,verbs,4.46
577,允许,легальный,adjectives,2.77
578,分子,атом,nouns,1.73
579,约定,обязательство,nouns,1.69
580,战斗,воинственность,nouns,2.5
581,累,голодный,adjectives,0.47
582,自豪,сильный,adjectives,0.78
583,第五,первый,adjectives,0.04
584,戒除,делать,verbs,0.1
585,攻击,раздражать,verbs,0.18
586,徘徊,странствовать,verbs,3.55
587,犯罪,мошенничество,nouns,2.36
588,船,якорь,nouns,0.73
589,舌头,горло,nouns,0.81
590,云,озеро,nouns,0.2
591,知会,полировать,verbs,0.0
592,脏,липкий,adjectives,1.22
593,猴子,кампания,nouns,0.0
594,谦逊地,неудачно,adverbs,0.0
595,灵活,скромный,adjectives,1.27
596,管理,руководство,nouns,4.17
597,市长,глава,nouns,3.18
598,假日,календарь,nouns,0.68
599,征服,псалом,nouns,0.0
600,平庸,скучный,adjectives,1.6
601,唱,смеяться,verbs,0.1
602,检察官,адвокат,nouns,1.38
603,创建,нырять,verbs,0.0
604,紧急,быстро,adverbs,2.94
605,鸡,ужин,nouns,0.43
606,晚餐,суп,nouns,0.72
607,故障,система,nouns,0.05
608,踝,окно,nouns,0.0
609,大致,грубо,adverbs,0.71
610,不久,немедленно,adverbs,1.91
611,基质,молекула,nouns,0.91
612,角,область,nouns,0.23
613,啤酒,шампанское,nouns,1.78
614,班,армия,nouns,1.17
615,鼻子,рот,nouns,0.45
616,木,бумага,nouns,0.63
617,马,собака,nouns,0.56
618,评论说,критиковать,verbs,1.57
619,不准确地,точно,adverbs,0.18
620,停,предупреждать,verbs,0.2
621,理论,химия,nouns,0.92
622,有趣,печальный,adjectives,0.04
623,机灵,хитрый,adjectives,1.75
624,借,давать,verbs,1.89
625,记者,поэт,nouns,0.35
626,炒,готовить,verbs,0.88
627,法官,суд,nouns,1.21
628,终末,иначе,adverbs,0.05
629,说谎,притворяться,verbs,2.69
630,促进,продвигаться,verbs,1.52
631,海,цунами,nouns,1.13
632,演出,приветствовать,verbs,0.55
633,床,комната,nouns,0.39
634,无知,ум,nouns,0.25
635,手,палец,nouns,0.68
636,米饭,мальчик,nouns,0.0
637,慷慨地,любезно,adverbs,2.42
638,手臂,тело,nouns,0.78
639,喝,хлебать,verbs,1.92
640,脆弱,удобный,adjectives,0.09
641,天空,солнце,nouns,0.96
642,通知,признавать,verbs,0.25
643,实现,получать,verbs,0.6
644,狭窄,широкий,adjectives,0.14
645,敬佩,обожать,verbs,4.17
646,嘴巴,губа,nouns,1.88
647,没有覆蓋的,покрытый,adjectives,0.14
648,国王,принц,nouns,1.65
649,眉头,глаз,nouns,0.68
650,日落,строка,nouns,0.0
651,小马,конь,nouns,2.98
652,暴力,радикальный,adjectives,1.88
653,非常,ярко,adverbs,0.6
654,软管,автомобиль,nouns,0.45
655,重要,решающий,adjectives,4.07
656,可靠,ответственно,adverbs,3.17
657,脏,дешевый,adjectives,0.32
658,生气,ярость,nouns,4.2
659,怀疑,арестовывать,verbs,0.33
660,普通,обычный,adjectives,5.46
661,强大,слабый,adjectives,0.05
662,来,идти,verbs,0.82
663,埋葬,покрывать,verbs,1.73
664,骨头,челюсть,nouns,1.37
665,脑,нерв,nouns,1.41
666,文学,слово,nouns,1.55
667,全球化,виза,nouns,0.56
668,幼儿床,колыбель,nouns,3.55
669,可能,скорее всего,adverbs,3.98
670,代数,операция,nouns,0.0
671,两次,множественный,adverbs,0.29
672,羞耻,счастливый,adjectives,0.04
673,水,коронация,nouns,0.04
674,争论,вопить,verbs,0.75
675,聚集,посещать,verbs,0.43
676,晚餐,трапеза,nouns,3.28
677,八月,месяц,nouns,2.6
678,可怕,печальный,adjectives,0.57
679,枪,пушка,nouns,1.86
680,神职人员,монах,nouns,2.97
681,消失,находить,verbs,0.0
682,笨,упрямый,adjectives,1.21
683,屋,амбар,nouns,0.78
684,每月,еженедельный,adjectives,0.92
685,违反,преступление,nouns,3.73
686,避免,отрицать,verbs,0.38
687,说话,признавать,verbs,0.68
688,信,абзац,nouns,0.54
689,使满意,развлекать,verbs,0.67
690,独特,противоположный,adjectives,0.65
691,望远镜,стул,nouns,0.0
692,侧面,низ,nouns,0.29
693,货币,обмен,nouns,0.9
694,开始,идти,verbs,0.24
695,暴风雪,дождь,nouns,0.77
696,鞭打,бить,verbs,0.28
697,保留,уничтожить,verbs,0.09
698,顽固,глупый,adjectives,1.21
699,害羞,напуганный,adjectives,0.71
700,女人,мужчина,nouns,0.38
701,攻击,блицкриг,nouns,3.38
702,阳光,небо,nouns,0.96
703,有趣,футбол,nouns,0.6
704,通灵研究,нейропсихология,nouns,1.07
705,父亲,мужчина,nouns,1.93
706,开心,молодой,adjectives,0.15
707,牛肉,скот,nouns,2.91
708,巧妙的,спокойно,adverbs,0.28
709,氦气,воздух,nouns,2.12
710,衣服,ящик,nouns,0.39
711,听见,слушать,verbs,3.58
712,群落生境,биология,nouns,0.89
713,邮件,скорость,nouns,0.0
714,沙拉,диета,nouns,0.63
715,手,ступня,nouns,0.43
716,大致,очевидно,adverbs,0.28
717,坚强,гордый,adjectives,0.78
718,失去,готовить,verbs,0.0
719,智慧,ум,nouns,3.75
720,雨,морось,nouns,3.83
721,兄弟,человек,nouns,0.5
722,知道,верить,verbs,0.71
723,宫殿,небоскреб,nouns,0.63
724,死气沉沉的,счастливо,adverbs,0.28
725,尾巴,миска,nouns,0.0
726,受害者,телефон,nouns,0.0
727,裂开,ломать,verbs,1.7
728,肺,печень,nouns,0.72
729,植物,сельское хозяйство,nouns,1.04
730,进入,задолжать,verbs,0.0
731,同意,принимать,verbs,3.01
732,死亡,погребение,nouns,0.92
733,重要地,действительно,adverbs,0.2
734,来,посещать,verbs,2.74
735,结婚,объединяться,verbs,1.17
736,贪污,мошенничество,nouns,2.08
737,疾病,опасность,nouns,0.53
738,世纪,десятилетие,nouns,0.24
739,算术,ритм,nouns,0.15
740,想,пытаться,verbs,0.43
741,碟,миска,nouns,2.56
742,古老,современный,adjectives,0.05
743,未拿定主意,нейтральный,adjectives,0.72
744,母亲,жена,nouns,2.08
745,困难,простой,adjectives,0.07
746,大炮,ядро,nouns,0.6
747,接受,отказывать,verbs,0.18
748,飞机场,кусок,nouns,0.0
749,鸵鸟,плодовый сад,nouns,0.0
750,演员,певец,nouns,1.73
751,电动机,лодка,nouns,0.58
752,圣歌,библия,nouns,2.19
753,卖,напоминать,verbs,0.05
754,苹果,диета,nouns,0.67
755,神经,мозг,nouns,1.41
756,编织,двигаться,verbs,0.0
757,机器,двигатель,nouns,2.33
758,糖果,корица,nouns,0.29
759,射手,следопыт,nouns,0.43
760,走,приходить,verbs,0.82
761,新娘,жених,nouns,0.78
762,猎物,бог,nouns,0.15
763,失败,проигрывать,verbs,1.27
764,完成,становиться,verbs,0.81
765,任务,женщина,nouns,0.0
766,椅子,кровать,nouns,0.28
767,发送,посещать,verbs,0.1
768,丰富,множество,nouns,4.44
769,钻石,деньги,nouns,0.95
770,腿,рука,nouns,0.53
771,重要的,официально,adverbs,0.9
772,成长,сжиматься,verbs,0.09
773,零,бесконечность,nouns,0.2
