ID,CMN,SWA,PoS,score
416,表哥,mjomba,nouns,0.43
417,等待,kusubiri,verbs,1.49
418,窗口,dirisha,nouns,0.0
419,行政管理,menejimenti,nouns,3.51
420,接受,kukataa,verbs,0.28
421,带来,kubeba,verbs,2.65
422,否认,kukataa,verbs,0.3
423,枫木,mnazi,nouns,1.68
424,洞,mapatano,nouns,0.0
425,武士,mwanaume,nouns,0.73
426,汽车,daraja,nouns,0.14
427,天文,unajimu,adjectives,0.04
428,自豪的,kwa jeuri,adverbs,0.23
429,种子,viungo,nouns,0.33
430,男孩,patna,nouns,0.28
431,灵活,rahisi kubadilika,adjectives,1.41
432,承认,kuzungumza,verbs,0.38
433,激情,hisia,nouns,2.99
434,酒,jini,nouns,3.12
435,冷,baridi,adjectives,0.0
436,容易,bila jasho,adjectives,4.63
437,保留,kubakisha,verbs,2.59
438,苹果,juisi,nouns,1.23
439,农药,dawa ya wadudu,nouns,0.58
440,完结,kamili,adjectives,4.25
441,找到,kujipatia,verbs,1.44
442,说,kusema,verbs,2.63
443,预测,utabiri,nouns,0.2
444,混合,kuchanganya,verbs,1.47
445,滴,dondoka,verbs,0.71
446,通常,kwa kawaida,adverbs,2.99
447,需要,kutafiti,verbs,0.18
448,探索,kupuuza,verbs,0.05
449,正牙医生,mtaalamu wa meno,nouns,4.59
450,球,mzinga,nouns,0.1
451,种子,mbegu,nouns,0.19
452,旧,zamani,adjectives,0.0
453,相信,kukubali,verbs,1.65
454,瘦,nyembamba,adjectives,4.53
455,选择,chaguo,nouns,2.87
456,战斗,pambano,nouns,3.55
457,统治,kushinda,verbs,0.56
458,克服,kutawala,verbs,0.69
459,杆,mlingoti,nouns,0.98
460,墙,tofali,nouns,1.22
461,女演员,mchezaji,nouns,3.68
462,十年,karne,nouns,0.29
463,问,kupuuza,verbs,0.14
464,食物,chakula,nouns,0.0
465,蚂蚁,chungu,nouns,0.52
466,深度,ukubwa,nouns,0.86
467,工作,kazi,nouns,0.88
468,植物,mmea,nouns,1.39
469,手术,uendeshaji,nouns,0.0
470,做,kutukia,verbs,0.15
471,成年人,mtoto mchanga,nouns,0.38
472,使满意,kuburudisha,verbs,0.36
473,毯,blanketi,nouns,0.0
474,手臂,mwili,nouns,1.18
475,平淡,zorota,adjectives,0.09
476,零,sufuri,nouns,0.05
477,男人,msichana,nouns,0.24
478,开心,mchangamfu,adjectives,5.22
479,在家里,nyumbani,adverbs,0.18
480,容器,mkokoteni,nouns,0.09
481,沐浴,mbinu,nouns,0.0
482,胜利,fora,nouns,4.07
483,大气层,uchafuzi,nouns,0.19
484,共和国,jamhuri,nouns,0.0
485,清楚地,ni wazi,adverbs,0.43
486,工作者,mfanyakazi,nouns,0.48
487,章,mkia,nouns,0.0
488,今天晚上,usiku huu,adverbs,1.83
489,荣誉,heshima,nouns,0.92
490,解决,kutoa suluhisho,verbs,1.72
491,市长,mkuu,nouns,2.68
492,挤压,kuminya,verbs,0.33
493,合唱团,kanisa,nouns,0.84
494,生物学家,mbiolojia,nouns,0.34
495,主教,askofu,nouns,0.41
496,键盘,kibodi,nouns,0.04
497,兴趣,uangalifu,nouns,0.43
498,开始,kuacha,verbs,0.05
499,帮助,saidia,verbs,0.95
500,自然地,kiasili,adverbs,0.28
501,粗糙地,yenye kukwaruza,adverbs,0.46
502,错误,kosa,adjectives,0.09
503,可靠地,kwa kuaminika,adverbs,0.09
504,编剧,mwandishi wa filamu,nouns,0.43
505,疯狂,mkubwa sana,adjectives,0.18
506,意见,upendeleo,nouns,0.18
507,走,kuuza,verbs,0.0
508,猛烈地,kwa ghadhabu,adverbs,0.44
509,小心地,kwa uangalifu,adverbs,2.52
510,非自然,si asili,adverbs,0.31
511,法庭,korti,nouns,1.46
512,充分,kwa uzima,adverbs,0.23
513,禁止,kukataza,verbs,2.65
514,酒,wiski,nouns,3.97
515,新教,protestanti,nouns,3.21
516,米饭,mvulana,nouns,0.0
517,无知,akili,nouns,0.2
518,作业,mgawo,nouns,0.33
519,故事,kitabu,nouns,2.17
520,西方,kaskazini,nouns,0.24
521,军官,ofisa,nouns,0.98
522,教学大纲,mtaala,nouns,0.43
523,雕像,kinyagu,nouns,4.88
524,小心地,kwa utaratibu,adverbs,0.18
525,河谷,mto,nouns,1.11
526,大脑,bongo,nouns,4.83
527,花费,kuokoa,verbs,0.52
528,甜,tamu,adjectives,0.0
529,拥有,kuchukua,verbs,0.78
530,乱,chafu,adjectives,0.58
531,惱火,bila furaha,adjectives,3.08
532,血液,damu,nouns,0.34
533,邮包,furushi,nouns,0.04
534,争论,kukubaliana,verbs,0.33
535,骨头,kiwiko,nouns,0.34
536,自行车,gari,nouns,0.68
537,原子,kaboni,nouns,0.63
538,在别处,ugenini,adverbs,0.18
539,妻子,kuoga,nouns,0.0
540,字典,namna,nouns,0.32
541,知道,kufahamu,verbs,4.46
542,树木,mpera,nouns,3.68
543,程序,mradi,nouns,0.0
544,吸引,kuvutia,verbs,0.0
545,女佣,msichana,nouns,1.35
546,诚实,ana hatia,adjectives,0.15
547,公爵,mjuzi,nouns,0.0
548,老鼠,menejimenti,nouns,0.0
549,教堂,basilika,nouns,0.05
550,段,ukurasa,nouns,0.5
551,新闻,porojo,nouns,1.64
552,粘性,mnato,nouns,0.04
553,疾病,ugonjwa wa kuambukiza ,nouns,2.25
554,未公开,haijafichuliwa,adjectives,0.24
555,行动,mchezo,nouns,0.4
556,门,lango,nouns,5.32
557,支持者,msaidizi,nouns,0.0
558,沉重,mzigo,adjectives,1.21
559,有意义地,kwa maana,adverbs,2.6
560,异国情调,adimu,adjectives,0.05
561,营地,kibanda,nouns,0.34
562,四轮货运马车,gari la farasi,nouns,3.67
563,货车,gari la mzigo,nouns,0.04
564,发生,kufanya,verbs,0.15
565,棚屋,makao,nouns,0.71
566,疯,ana wazimu,adjectives,5.44
567,新娘,mtoto wa mfalme,nouns,0.09
568,安全,salama,adjectives,0.33
569,相信,kuamini,verbs,0.71
570,雕塑家,sonara,nouns,0.0
571,茅屋,kibanda,nouns,3.26
572,射手,mpiga mishale,nouns,0.14
573,飑,upepo mkali,nouns,3.56
574,高速公路,gari,nouns,0.29
575,圣人,mkosaji,nouns,0.1
576,等待,kungoja,verbs,0.18
577,伟大,wa kutisha,adjectives,0.1
578,扼杀,kuziba,verbs,0.14
579,撞,kugonga,verbs,1.68
580,安然,kwa amani,adverbs,3.6
581,床,chumba cha kulala,nouns,0.96
582,摔碎,kupondwa,verbs,1.68
583,积极地,vyema,adverbs,0.0
584,发誓,kuapa,verbs,4.11
585,成年人,mlezi,nouns,2.27
586,打中,kuchapa,verbs,0.18
587,决定,kuonyesha,verbs,0.05
588,公主,bibi arusi,nouns,0.09
589,头,kichwa,nouns,0.54
590,伤心,wa kuchekesha,adjectives,0.1
591,犯罪,kosa,nouns,3.38
592,豆,kahawa,nouns,0.38
593,手机,simu mahiri,nouns,0.0
594,恐龙,mijusi ya kale,nouns,0.09
595,货车,lori,nouns,3.36
596,清洁,safi,adjectives,0.24
597,确定,kutabiri,verbs,0.29
598,天空,jua,nouns,1.01
599,喝,kunywa,verbs,0.85
600,乐队,subira,nouns,0.0
601,面具,maski,nouns,0.14
602,笨,wa upuzi,adjectives,5.04
603,偏压,oni,nouns,0.18
604,擦,kupanguza,verbs,0.0
605,餐,karamu,nouns,3.38
606,玻璃,chembechembe,nouns,0.6
607,安全地,kwa ulinzi,adverbs,2.52
608,对乙酰氨基酚,acetaminopheni,nouns,0.24
609,恳求,kuomba,verbs,4.45
610,涂抹,kupaka,verbs,0.71
611,走,kuingia,verbs,0.6
612,智力,ustadi,nouns,2.42
613,厨房,mlango,nouns,0.05
614,末期地,mwisho,adverbs,0.1
615,肉桂,mdalasini,nouns,0.24
616,罪犯,mhalifu,nouns,4.96
617,唱,kuimba,verbs,0.0
618,小提琴,fidia,nouns,0.32
619,举起,kunyanyua,verbs,3.72
620,也许,labda,adverbs,3.12
621,屏幕,kiwambo,nouns,0.15
622,熵,kuzorota,nouns,0.28
623,聚集,kuhudhuria,verbs,0.53
624,分化,kutenganisha,verbs,0.14
625,相机,mfanyakazi,nouns,0.04
626,门,sakafu,nouns,0.05
627,晚餐,chakula cha asubuhi,nouns,0.56
628,疯狂,mwenye furaha,adjectives,0.56
629,创建,kuharibu,verbs,0.23
630,女士,bwana,nouns,0.34
631,软管,gari,nouns,0.04
632,望远镜,darubini,nouns,0.0
633,岛,jukumu,nouns,0.0
634,玩,kucheza,verbs,0.18
635,河流,bahari,nouns,2.25
636,简单,rahisi,adjectives,0.16
637,微妙地,kwa uangalifu,adverbs,0.0
638,神,windo,nouns,0.0
639,混乱,kwa vurugu,adverbs,0.0
640,发出气味,kunusia,verbs,2.13
641,减肥,saladi,nouns,0.53
642,碱,besi,nouns,0.39
643,争论,kupinga,verbs,0.55
644,感情上,kwa hisia,adverbs,1.16
645,伤心,mbovu,adjectives,0.43
646,大夫,daktari,nouns,5.01
647,狗,farasi,nouns,0.61
648,汽车,baisikeli,nouns,0.68
649,出席,kujitokeza,verbs,3.34
650,晚餐,chakula,nouns,3.38
651,肉,nyama ya nguruwe,nouns,3.69
652,蟋蟀,kriketi,nouns,0.0
653,国王,mfalme,nouns,4.85
654,修道院,monasteri,nouns,0.0
655,大致地,takriban,adverbs,0.05
656,冲洗,kusuuza,verbs,4.37
657,小圆盾,ngao,nouns,0.14
658,好斗,kua na hasira,adjectives,0.14
659,红酒,brandi,nouns,3.06
660,区域,eneo,nouns,4.69
661,脖子,mfupa,nouns,0.39
662,钢笔,kalamu,nouns,0.0
663,功课,kazi ya ziada,nouns,0.6
664,培根,maharagwe,nouns,0.1
665,儿子,baba,nouns,0.47
666,雇主,mfanyakazi,nouns,0.43
667,血液,damu,nouns,0.6
668,加,kuzidisha,verbs,0.57
669,某些,uhakika,adjectives,0.0
670,谈判,jadiliano,nouns,1.66
671,极好,mbaya,adjectives,0.09
672,团结,kuunganisha,verbs,0.33
673,船,sitaha,nouns,0.56
674,容易,ana shida,adjectives,0.09
675,世纪,miaka kumi,nouns,0.29
676,拉比,mchungaji,nouns,0.45
677,完成,malizika,adjectives,4.25
678,疯狂,ana kichaa,adjectives,5.44
679,募捐活动,mfadhili,nouns,0.78
680,模式,njia,nouns,0.74
681,恶化,kuzorota,verbs,0.0
682,古老,mpya,adjectives,0.19
683,充电器,chaja,nouns,0.04
684,长大,umekua,adjectives,0.18
685,有创造力,mbunifu,adjectives,4.3
686,海滩,uwanda wa bahari,nouns,2.8
687,坟墓,kaburi,nouns,1.07
688,不道德,haramu,adjectives,2.39
689,判断,kuhukumu,verbs,1.96
690,糟糕,poa,adjectives,0.1
691,派,chokoleti,nouns,0.68
692,史学家,mwanahistoria,nouns,5.63
693,血液学,hematolojia,nouns,2.54
694,码,mita,nouns,2.69
695,谨慎地,kwa uangalifu,adverbs,5.13
696,付得起,nafuu,adjectives,2.81
697,踝,dirisha,nouns,0.0
698,悄悄地,kwa ukimya,adverbs,0.28
699,锁,kufuli,nouns,1.01
700,监护人,mtu mzima,nouns,2.27
701,歌手,mwimbaji,nouns,0.92
702,飞机场,uwanja wa ndege,nouns,0.0
703,获胜者,mgombea wa uchaguzi,nouns,1.64
704,医生,tabibu,nouns,5.01
705,电梯,gari,nouns,0.35
706,目标,mshale,nouns,0.71
707,长,mfupi,adjectives,0.14
708,溶解,kuyeyusha,verbs,0.28
709,木,mbao,nouns,0.04
710,终末,mwishoni,adverbs,0.0
711,批评,hoja,nouns,0.9
712,行李,mzigo,nouns,0.0
713,脏,rahisi,adjectives,0.37
714,俱乐部,jamii,nouns,0.3
715,环境,mazingira,nouns,0.18
716,图解,jedwali,nouns,3.19
717,自豪地,kwa jeuri,adverbs,0.09
718,盒子,kibanda,nouns,0.05
719,自由,kujitawala,nouns,4.24
