ID,HEB,SWA,PoS,score
380,תיאוריה,kanuni,nouns,1.75
381,דשא,mwani,nouns,1.65
382,לנהוג,endesha,verbs,0.45
383,באדיבות,kiupole,adverbs,2.35
384,אלים,kigomvi,adjectives,0.32
385,תנור חימום,kipasha joto,nouns,0.55
386,בקר,ngombe,nouns,3.35
387,תותח,mpira,nouns,0.6
388,עקשן,msumbufu,adjectives,0.85
389,במקור,ya uhalisia,adverbs,1.0
390,בערך,takriban,adverbs,0.18
391,מטרייה,mwamvuli,nouns,0.55
392,לחסוך,kutumia,verbs,0.7
393,רופא,daktari,nouns,5.2
394,סמל,ishara,nouns,0.9
395,אפשרי,inawezekana,adjectives,0.6
396,ודאי,ana hakika,adjectives,4.8
397,זעיר,mkubwa mno,adjectives,0.55
398,באופן לא טבעי,si asili,adverbs,0.65
399,לקבל,kukubali,verbs,0.55
400,דירה,hoteli,nouns,1.1
401,כיתה,ushoroba,nouns,0.4
402,להניח,kupa,verbs,0.4
403,רעב,kua na njaa,adjectives,0.45
404,להצדיק,kugombana,verbs,0.85
405,פחמן,atomu,nouns,1.3
406,לאמוד,kujifunza,verbs,0.7
407,כרכרה,mkokoteni,nouns,3.65
408,אינץ',yadi,nouns,1.9
409,אכזרי,mkali,adjectives,1.2
410,להבין,kusikiliza,verbs,1.2
411,נוצרי,mkristo,nouns,3.15
412,עכבר,sitaha,nouns,0.05
413,שלם,kamili,adjectives,2.95
414,בסיס,besi,nouns,0.85
415,מטען,mzigo,nouns,0.1
416,ארנב,paka,nouns,0.85
417,מצחיק,wa kuchosha,adjectives,0.5
418,אח,roho ,nouns,0.15
419,קערה,sahani,nouns,2.95
420,להגן,kuliinda,verbs,1.15
421,חולה,ana wazimu,adjectives,0.8
422,לסגור,kufunga,verbs,0.05
423,צבא,kikosi,nouns,3.2
424,אוגוסט,mwezi,nouns,2.7
425,תמונה,kioo,nouns,1.55
426,צבא,kundi,nouns,2.05
427,מטרה,jitihada,nouns,0.75
428,בעל ערך,yenye thamani,adjectives,2.85
429,להניח,kuning'inia,verbs,0.6
430,חדש,mpya,adjectives,4.45
431,דבורה,malkia,nouns,0.7
432,מרוץ,mbio,nouns,0.03
433,זיהום,maambukizo,nouns,0.8
434,לשון,koo,nouns,1.15
435,כועס,safi,adjectives,0.5
436,רע,mbaya,adjectives,0.53
437,פרווה,ngozi,nouns,2.7
438,עייף,iliyochoka,adjectives,1.6
439,אמבטיה,mke,nouns,0.05
440,דמוקרטיה,demokrasia,nouns,1.3
441,דיאטה,matofaa,nouns,0.55
442,כימיה,nadharia,nouns,0.25
443,חולדה,panya,nouns,3.2
444,ילד,kaka,nouns,2.65
445,הצלחה,ushindi,nouns,3.55
446,משרה,nguzo,nouns,0.3
447,יארד,inchi,nouns,1.9
448,דלת,sakafu,nouns,0.55
449,מתכת,chuma,nouns,2.45
450,מילה,fasihi,nouns,1.05
451,לתת,kukana,verbs,0.1
452,להסביר,kujadili,verbs,1.4
453,לשוטט,kutangatanga,verbs,5.05
454,סיפון,panya,nouns,0.05
455,ים,ziwa,nouns,3.15
456,דלת,kengele,nouns,0.7
457,סופני,mwisho,adverbs,0.1
458,מטומטם,mjanja,adjectives,0.55
459,לצמוח,kupungua,verbs,0.7
460,מעבר,njia,nouns,0.6
461,עצלן,mvivu,adjectives,0.23
462,לבחור,kuamua,verbs,2.75
463,לרצות,kusihi,verbs,0.5
464,לתת,kuweka,verbs,0.4
465,עצוב,huzuni,adjectives,0.25
466,תרשים,chati,nouns,3.85
467,שורש,nyasi,nouns,0.85
468,דם,nyama,nouns,1.35
469,חשוב,lazima,adjectives,3.05
470,לנדוד,kuondoka,verbs,1.05
471,לשים,kupata,verbs,0.55
472,ביוטופ,ekolojia,nouns,1.15
473,מטבע,sarafu,nouns,0.95
474,באופן עצמאי,kwa kujitegemea,adverbs,1.25
475,לסגת,kufyonza,verbs,1.0
476,חתול,mbwa,nouns,0.95
477,קיר,tofali,nouns,1.75
478,יכולת,ustadi,nouns,4.5
479,רחוב,gari,nouns,0.55
480,לפצח,kuvunja,verbs,0.25
481,שקיעה,macheo,nouns,1.95
482,רעיה,mama,nouns,2.6
483,כועס,mwenye furaha,adjectives,0.65
484,חודש,agosti,nouns,2.7
485,סופר,msomaji,nouns,0.7
486,נסיכה,mfalme,nouns,2.45
487,גבר,mlinzi,nouns,0.65
488,צוואר,mkono,nouns,0.75
489,ספירה,mviringo,nouns,2.2
490,בחשאיות,kwa siri,adverbs,0.5
491,בהחלט,hakika,adverbs,5.05
492,דעה,chaguo,nouns,1.45
493,מכוער,mbaya,adjectives,1.15
494,לבקש,kupuuza,verbs,0.4
495,עצב,matumbo,nouns,0.45
496,להמליץ,kushauri,verbs,3.35
497,פטיש,nyundo,nouns,0.0
498,מוסלמי,mwislamu,nouns,0.7
499,בשקט,kwa ukimya,adverbs,0.55
500,כנראה,labda,adverbs,0.75
501,משעמם,zorota,adjectives,0.45
502,ללכת,kuingia,verbs,0.4
503,גבר,mpiganaji,nouns,1.35
504,דרום,kaskazini,nouns,0.8
505,טלויזיה,runinga,nouns,0.8
506,ביתן,nyumba ndogo,nouns,3.85
507,איחוד,shirikisho,nouns,2.5
508,להתכנס,kuhudhuria,verbs,1.1
509,למסור,kuchukua,verbs,0.65
510,ברכות,kwa ulaini,adverbs,0.2
511,מבוגר,mlezi,nouns,1.25
512,קומביין,changanya,nouns,0.25
513,לחלוק,kataa,verbs,0.6
514,מיתוס,hadithi,nouns,1.75
515,להגיד,kusema,verbs,1.1
516,מסיבה,watu,nouns,0.95
517,רומן,simulizi,nouns,0.95
518,חליפין,ubadilishaji,nouns,0.75
519,תפיסה,kuona,nouns,2.4
520,עורף,nyuma,nouns,2.0
521,צי,jeshi,nouns,3.65
522,סדין,gombo,nouns,0.0
523,האבקה,uchavushi,nouns,2.15
524,הונאה,ulaghai,nouns,2.4
525,תיבה,lifti,nouns,0.3
526,נדיר,mpumbavu,adjectives,0.1
527,עמוד,neno,nouns,0.65
528,לרכוש,kupata,verbs,1.32
529,בנקאי,mwanasheria,nouns,0.85
530,תיאטרון,ukumbi,nouns,0.0
531,עוף,wali,nouns,0.65
532,רצועה,subira,nouns,0.1
533,קרסול,dirisha,nouns,0.0
534,חסר ביטחון,sio salama,adjectives,0.65
535,נוקשה,ngumu,adjectives,0.55
536,העולם הבא,kuzimu,nouns,1.7
537,בחירה,mshipa,nouns,0.05
538,אורז,maharagwe,nouns,1.0
539,טנק,tenki,nouns,1.1
540,לחשוב,kujaribu,verbs,0.25
541,בר מזל,enye bahati,adjectives,0.05
542,סירה,gari,nouns,1.15
543,קש,nyimbo,nouns,0.0
544,ייסורים,huzuni,nouns,3.0
545,חושש,wa wasiwasi,adjectives,4.45
546,תעשייה,biashara,nouns,1.85
547,מפתח,funguo,nouns,1.35
548,קצב,hesabu,nouns,0.1
549,גמיש,rahisi,adjectives,0.65
550,להזכיר,kusahau,verbs,0.55
551,שריפה,moto,nouns,0.5
552,אף,koo,nouns,0.95
553,אלים,dhalimu,adjectives,0.6
554,כדורעף,mpira wa wavu,nouns,2.6
555,קישוט,mapambo,nouns,0.2
556,קפה,maharagwe,nouns,0.9
557,לכפול,kugawanya,verbs,0.85
558,לטייל,kusafiri,verbs,2.55
559,תלמיד,rais,nouns,0.25
560,עצוב,wa kuchekesha,adjectives,0.55
561,חשבון,pigo,nouns,0.1
562,גודל,senti,nouns,0.15
563,מעיל,sweta,nouns,2.85
564,מכונית,baisikeli,nouns,1.35
565,מטומטם,hodari,adjectives,0.55
566,מאמר מערכת,uhariri,nouns,1.4
567,דלת,korido,nouns,0.95
568,מאמר,makala,nouns,1.95
569,באופן אידיאלי,walau,adverbs,0.85
570,הנהלה,kazi,nouns,0.9
571,סבולת,bendi,nouns,0.1
572,מתמטיקאי,mwanamahesabu,nouns,0.05
573,מנחה,toleo,nouns,2.65
574,לשלוט,kudhibiti,verbs,0.75
575,המנון,ushindi,nouns,0.3
576,אינטליגנציה,ujinga,nouns,0.65
577,לעולם לא,kamwe,adjectives,0.62
578,להתנגש,kugongana,verbs,3.85
579,כהונה,huduma,nouns,0.55
580,איש,mwanaume,nouns,0.4
581,להניח,kujifanya,verbs,0.05
582,לחלק,kugawanya,verbs,0.65
583,מקלט,kibanda,nouns,1.2
584,היגיון,hesabu,nouns,0.75
585,מושב,kiti,nouns,0.05
586,אישה,mwanaume,nouns,1.05
587,פסל,sanamu,nouns,4.25
588,באופן לא הוגן,si kwa haki,adverbs,0.55
589,ליצור,kuharibu,verbs,0.55
590,להפסיק,kuanza,verbs,0.55
591,פתח,kufungua,nouns,3.05
592,בקר,nyama ya ng'ombe,nouns,2.85
593,מינט,minti,nouns,0.2
594,בלון,kuoga,nouns,0.05
595,לדעת,kupa,verbs,0.0
596,אי,kisiwa,nouns,0.97
597,סוללה,betri,nouns,1.45
598,ברנדי,divai,nouns,2.85
599,תוף,pembe,nouns,0.55
600,להיכשל,kufanikiwa,verbs,0.55
601,לא ברור,haijulikani,adjectives,4.1
602,משונה,wa kawaida,adjectives,0.65
603,דולר,dola,nouns,1.35
604,לקבוע,kutambulisha,verbs,0.1
605,קשת,mpiga mishale,nouns,0.1
606,לנסות,kufanikiwa,verbs,1.3
607,בחירה,chaguo,nouns,2.9
608,יוגורט,mgando,nouns,0.55
609,באמת,kiukweli,adverbs,0.3
610,להחליט,kuhitimisha,verbs,0.85
611,ללחוץ,kuvyombo vya habari,verbs,0.45
612,לנסות,kufikiria,verbs,0.25
613,זכות,maadili,nouns,0.8
614,לנשוך,uma,verbs,0.0
615,רעידת אדמה,tetemeko la ardhi,nouns,2.45
616,פרצטמול,acetaminopheni,nouns,0.8
617,תחביר,sintaksia,nouns,0.8
618,מעטפה,bahasha,nouns,0.2
619,להיפגש,kusalimia,verbs,0.85
620,לעדכן,kufahamisha,verbs,5.15
621,גובה,urefu,nouns,0.45
622,מנזר,monasteri,nouns,0.0
623,אינטליגנציה,hekima,nouns,4.5
624,להכות,kupiga,verbs,0.25
625,אור,mwanga,nouns,0.0
626,להתחתן,kuchumbia,verbs,2.5
627,להסכים,kugombana,verbs,0.6
628,צינור,bustani,nouns,0.65
629,דשא,mzizi,nouns,0.85
630,לחשוק,kua na hamu,verbs,4.1
631,לצרוך,kuandaa,verbs,0.25
632,להצטרף,kuoa,verbs,0.35
633,זיהום,ugonjwa,nouns,3.15
634,בטוח,uhakika,adjectives,0.15
635,שפע,wingi,nouns,3.05
636,בעיקר,zaidi,adverbs,0.7
637,שחקנית,mchezaji,nouns,3.7
638,לקבל,kukana,verbs,0.25
639,פאי,chokoleti,nouns,0.95
640,חוף,ufuko,nouns,3.5
641,טייס,dereva,nouns,2.4
642,פעמון,mlango,nouns,0.7
643,זרבובית,pua,nouns,0.45
644,לצמוח,kukua,verbs,1.55
645,להציע,kupendekeza,verbs,3.8
646,ברור,ni dhahiri,adverbs,3.25
647,אמבטיה,chumba,nouns,0.7
648,קומה,mlango,nouns,0.55
649,סטטיסטיקה,takwimu,nouns,0.1
650,מבחן,jaribio,nouns,0.9
651,גמיש,flexibo,adjectives,0.75
652,יצירה,mchoro,nouns,1.15
653,אבק,vumbi,nouns,0.85
654,לגנוב,kununua,verbs,0.35
655,להפוך,kuonekana,verbs,0.25
656,לרצות,kutaka,verbs,4.1
657,להיכנס,kudaiwa,verbs,0.0
658,להסכים,kuitikia,verbs,2.8
659,ערמומי,mgeni,adjectives,0.35
660,להתעלם,kuondoka,verbs,0.55
661,בייקון,maharagwe,nouns,0.6
662,וילון,nguzo,nouns,0.75
663,אורח חיים,mtindo wa maisha,nouns,1.25
664,רוטב,matofaa,nouns,0.4
665,כבוד,hadhi,nouns,0.65
666,לטבוע,kutota,verbs,0.55
667,צוות,wafanyakazi,nouns,0.2
668,אופניים,baiskeli,nouns,0.1
669,מעצר,funga,nouns,1.5
670,פסל,sonara,nouns,0.25
671,בנייה,uharibifu,nouns,0.55
672,מכונית,mpira wa maji,nouns,0.25
673,לחלוטין,kwa ukamilifu,adverbs,0.5
674,סוודר,jaketi,nouns,2.85
675,כלב,paka,nouns,0.95
676,לפנות,kuondoka,verbs,0.1
677,ליידע,kujulisha,verbs,5.15
678,להוסיף,kuzidisha,verbs,1.0
679,תעופה,safari ya angani,nouns,3.3
