ID,CYM,SWA,PoS,score
130,ysglyfaeth,mungu,nouns,0.0
131,pledio,kujipendekeza,verbs,0.2
132,dadansoddi,kuchambua,verbs,4.0
133,stêc,kuku,nouns,0.65
134,main,mwembamba,adjectives,4.13
135,trydan,umeme,nouns,0.0
136,opera,opera,nouns,1.0
137,rheolaidd,mara kwa mara,adjectives,0.65
138,aros,kuondoka,verbs,0.1
139,taith,ushindi,nouns,0.25
140,bachgen,mazingira,nouns,0.0
141,cael,kuweka,verbs,0.3
142,amsugno,kujifunza,verbs,0.35
143,coleg,weledi,nouns,0.5
144,hynod,si wa kawaida,adjectives,3.6
145,gwneud,kuumba,verbs,4.8
146,dimai,saizi,nouns,0.05
147,darganfod,kufanya utafiti,verbs,2.35
148,syth,nyooka,adjectives,0.15
149,gwan,dhaifu,adjectives,0.1
150,yn fecanyddol,kwa ustadi,adverbs,0.3
151,sychedig,kua na kiu,adjectives,1.0
152,bargen,maafikiano,nouns,0.45
153,dydd  ,alfajiri,nouns,1.15
154,braich,bega,nouns,2.0
155,datgelwyd,haijafunikwa,adjectives,0.1
156,mwslim,mwislamu,nouns,0.2
157,asgwrn,shingo,nouns,0.4
158,diymhongar,mnyenyekevu,adjectives,0.65
159,caniatáu,kwenda,verbs,0.0
160,amwys,isiyo dhahiri,adjectives,4.65
161,penderfynu,kufikiria,verbs,1.95
162,balchder,furaha,nouns,0.95
163,dŵr,maji,nouns,0.13
164,deiet,matofaa,nouns,0.4
165,datblygiad,maendeleo,nouns,0.3
166,batri,betri,nouns,0.0
167,llawlyfr,kitabu cha mkono,nouns,1.5
168,arbed,kuokoa,verbs,2.4
169,sanctaidd,takatifu,adjectives,1.55
170,cariad,mwenzi,nouns,3.95
171,dillad isaf,chupi,nouns,0.1
172,tric,saizi,nouns,0.0
173,cyhuddo,kushtaki,verbs,0.3
174,cymyl,ukungu,nouns,3.15
175,archesgob,askofu,nouns,3.75
176,bygythiad,hatari,nouns,4.0
177,symudiad,shuguli,nouns,0.55
178,gyferbyn,kinyume,adjectives,0.5
179,gogledd,magharibi,nouns,0.7
180,stumog,njia,nouns,0.05
181,beic,gari,nouns,1.0
182,alwminiwm,alumini,nouns,2.5
183,tywysogaeth,mfalme,nouns,2.05
184,ffrio,kukaanga,verbs,1.5
185,buddugoliaeth,fora,nouns,3.55
186,rhagfarn,ubaguzi,nouns,2.45
187,camera,rais,nouns,0.0
188,ymosod,kushambulia,verbs,0.1
189,diflannu,kupungua,verbs,1.5
190,ystafell,chumba,nouns,1.0
191,ffliw,homa,nouns,4.3
192,mawr,kubwa,adjectives,0.35
193,fel arfer,kwa kawaida,adverbs,0.15
194,cyntedd,darasa,nouns,0.15
195,enwogrwydd,utajiri,nouns,0.45
196,gadael,kufanya,verbs,0.05
197,twp,mpumbavu,adjectives,0.55
198,stôl,kigoda,nouns,3.0
199,wedi ei orchuddio,funikwa,adjectives,0.1
200,seren,kanisa dogo,nouns,0.15
201,cwmwl,hali ya hewa,nouns,1.25
202,machlud haul,macheo,nouns,1.5
203,trist,huzuni,adjectives,0.1
204,niwl,wingu,nouns,2.55
205,ychwanegu,kuzidisha,verbs,1.25
206,llun,mchoro,nouns,0.0
207,ecosystem,mfumo wa ikolojia,nouns,0.2
208,hyblyg,rahisi kubadilika,adjectives,0.9
209,penwythnos,wikiendi,nouns,0.0
210,enwaediad,tohara,nouns,1.4
211,medrydd,gari,nouns,0.1
212,gorffen,kumaliza,verbs,0.58
213,lluosiad,zidisha,nouns,0.5
214,hawdd,rahisi,adjectives,0.1
215,yn bendant,hakika,adverbs,5.2
216,iâr,batamzinga,nouns,1.45
217,cul,mchafu,adjectives,0.0
218,yn wahanol,kitofauti,adverbs,0.0
219,tad,mzazi,nouns,3.5
220,ysgwydd,kichwa,nouns,0.85
221,yn bwysig,kwa umuhimu,adverbs,0.35
222,cod,alama,nouns,2.0
223,amnewid,kurudisha,verbs,0.15
224,blodyn,imani,nouns,0.05
225,yn realistig,kihalisia,adverbs,0.8
226,cwyno,kuleta,verbs,0.05
227,fflat,fanicha,nouns,0.35
228,parsel,furushi,nouns,0.35
229,canser,maradhi,nouns,3.35
230,torf,gwaride,nouns,1.1
231,cyw iâr,wali,nouns,0.2
232,nofio,kuogelea,verbs,0.0
233,brecwast,nyama ya nguruwe,nouns,0.75
234,canrif,miaka kumi,nouns,0.4
235,trwyn,pua,nouns,0.9
236,gweithiwr,mwajiri,nouns,0.6
237,pencampwr,mshindi,nouns,5.25
238,gwythïen,chaguo,nouns,0.05
239,ffôn symudol,simu ya mkononi,nouns,4.35
240,eglwys gadeiriol,dari,nouns,0.15
241,dynion,undugu,nouns,0.95
242,dynwared,kuonyesha,verbs,2.35
243,apwyntiad,shughuli,nouns,0.3
244,reidio,endesha,verbs,0.0
245,cwch,meli,nouns,0.0
246,gosod,kupa,verbs,0.65
247,rhoi,kukopesha,verbs,1.95
248,braisg,mkubwa,adjectives,3.8
249,nenfwd,paa,nouns,4.35
250,anwybyddu,kuuliza,verbs,0.05
251,cyffes,kanusho,nouns,0.25
252,ceg,pua,nouns,0.5
253,tasg,kisiwa,nouns,0.0
254,ymuno,kushiriki,verbs,4.05
255,dyfnder,ukubwa,nouns,1.05
256,coridor,mlango,nouns,0.4
257,cyfathrebu,mazungumzo,nouns,4.45
258,cân,hadithi,nouns,0.85
259,diogelu,kukinga,verbs,4.5
260,senedd,seneti,nouns,0.85
261,coleg,darasa,nouns,1.9
262,chwerthin,kucheka,verbs,0.15
263,tarw,ndama,nouns,2.0
264,gwastraffu,takataka,verbs,0.0
265,diflas,kuboreka,adjectives,0.05
266,yn syml,kirahisi,adverbs,0.15
267,gwresogydd,kipasha joto,nouns,0.0
268,yn hyderus,kwa kujiamini,adverbs,0.2
269,prifysgol,chuo kikuu,nouns,0.65
270,blaengroen,govi,nouns,1.4
271,sglodion,kibanzi,nouns,0.0
272,pâr,vitu viwili,nouns,5.85
273,yn aeddfed,kwa utu uzima,adverbs,0.6
274,ffug,bandia,adjectives,5.3
275,crebachu,kupotea,verbs,1.5
276,yn agored,wazi,adverbs,0.4
277,dosbarth,darasa,nouns,0.05
278,ysgyfaint,ini,nouns,0.65
279,enillydd,lengo,nouns,0.1
280,byr,mrefu,adjectives,0.1
281,dewin,mchawi,nouns,0.0
282,radical,fikra mpya,adjectives,0.35
283,biolegydd,mbiolojia,nouns,0.65
284,erthygl,makala,nouns,1.25
285,hollalluogrwydd,uwezaji,nouns,2.15
286,niweidio,kuuma,verbs,0.4
287,yn weithredol,kwa uhai,adverbs,0.0
288,madfall,mjusi,nouns,1.75
289,cot,nguo,nouns,2.2
290,anghytuno,kukutokubali,verbs,0.55
291,gwisg,sherehe,nouns,0.1
292,yn ystyrlon,kwa maana,adverbs,1.13
293,traeth,bahari,nouns,2.2
294,pwnc,mada,nouns,0.3
295,deinosor,mijusi ya kale,nouns,0.1
296,dosbarth,chuo,nouns,1.9
297,enillydd,bingwa,nouns,5.25
298,salad,mpangilio wa chakula,nouns,0.65
299,priodi,oa,verbs,3.6
300,injan,mota,nouns,4.35
301,proffwydo,kubainisha,verbs,0.6
302,gorchuddio,kufunika,verbs,1.0
303,coron,taji,nouns,0.0
304,yn gwrtais,kwa unyenyekevu,adverbs,0.0
305,cymryd,kuiba,verbs,1.75
306,dal,kamata,verbs,1.35
307,torf,kikundi,nouns,4.45
308,aren,kiungo,nouns,2.5
309,ymddengys,kuwa,verbs,0.85
310,drwg,ana hatia,adjectives,1.5
311,hunan,hakika,nouns,0.2
312,gwn,kisu,nouns,0.45
313,athro,msaidizi,nouns,1.35
314,ceirios,cheri,nouns,1.5
315,caban,kambi,nouns,0.7
316,dannedd,mfupa,nouns,0.5
317,awyr,anga,nouns,0.15
318,ap,programu tumishi,nouns,0.0
319,afal,mwanga wa jua,nouns,0.05
320,yn fanwl gywir,uhakika,adjectives,0.05
321,calendr,kalenda,nouns,0.4
322,yn ddarostyngedig,kwa unyenyekevu,adverbs,0.05
323,dweud celwydd,kudanganya,verbs,0.2
324,pobl,bunduki,nouns,0.1
325,personol,kibinafsi,adjectives,0.65
326,aloi,aloyi,nouns,1.45
327,osôn,ozoni,nouns,2.25
328,benthyg,kudaiwa,verbs,1.2
329,mynychu,kukusanya,verbs,0.35
330,hawdd,mkubwa,adjectives,0.05
331,lwc,furaha,nouns,0.5
332,arolygu,kuchunguza,verbs,3.5
333,goddefol,kupooza,adjectives,0.0
334,clun,mdomo,nouns,0.15
335,tymor,muhula,nouns,4.9
336,gwawr,usiku,nouns,0.2
337,arwydd,alama,nouns,4.15
338,tywynnu,kumeremeta,verbs,4.05
339,yn gyfrinachgar,kwa siri,adverbs,0.0
340,pobl,dola,nouns,0.35
341,pobl,sherehe,nouns,0.7
342,achub,okoa,verbs,4.75
343,gair,fasihi,nouns,0.95
344,anghwrtais,jeuri,adjectives,0.3
345,poster,bango,nouns,0.8
346,yn amlwg,ni wazi,adverbs,0.07
347,canrif,pombe,nouns,0.0
348,dinistrio,haribu,verbs,1.55
349,polyn,mlingoti,nouns,0.7
350,rhythm,tuni,nouns,1.15
351,miniog,mbutu,adjectives,0.15
352,ciledrych,kufinya macho,verbs,0.15
353,llenyddiaeth,kitabu,nouns,2.2
354,rhyfedd,mgeni,adjectives,3.5
355,gludiog,natanata,adjectives,0.4
356,enaid,kaka,nouns,0.05
357,treisgar,wa ghadhabu,adjectives,1.1
358,madfall,mjusi,nouns,0.42
359,twll,mke,nouns,0.0
360,brigeryn,stameni,nouns,1.75
361,coes,mkono,nouns,1.15
362,beirniadol,muhimu,adjectives,0.5
363,arbed,kutumia,verbs,0.25
364,gwydn,ngumu,adjectives,2.5
365,gwacáu,kuondoka,verbs,0.0
366,ymosodiad,shambulio,nouns,1.65
367,ffon reoli,joystiki,nouns,0.35
368,nôl rhywbeth,kununua,verbs,0.55
369,cardbord,karatasi,nouns,2.0
370,ennill,kufanikisha,verbs,2.75
371,eang,mwembamba,adjectives,0.1
372,arian cyfred,sarafu,nouns,0.17
373,anfeidredd,usio na mwisho,nouns,0.05
374,delwedd,wazo,nouns,1.0
375,dod yn,kuonekana,verbs,0.85
376,taith,mwendo,nouns,3.3
377,styfnig,msumbufu,adjectives,0.55
378,llwyddo,kushinda,verbs,4.55
379,cynhwysydd,mkokoteni,nouns,0.0
380,gogwyddo,kubagua,verbs,3.45
381,darganfod,kupata,verbs,0.05
382,etholiad,uchaguzi,nouns,2.95
383,anghenfil,pepo,nouns,1.95
384,sicr,ana hakika,adjectives,5.25
385,codi,nyanyua,verbs,0.9
386,dal,kukamata,verbs,3.45
387,drwm,pembe,nouns,0.25
388,gwythïen,tumbo,nouns,0.25
389,nod,ishara,nouns,0.0
390,merch,baba,nouns,0.5
391,to,paa,nouns,0.15
392,dinistrio,kuumba,verbs,0.1
393,cadw,kushindwa,verbs,0.2
394,pen,msumari,nouns,0.15
395,amgueddfa,jumba la makumbusho,nouns,0.0
396,theori,kemia,nouns,0.3
397,soffa,kiti,nouns,3.05
398,cyfraith,shule,nouns,0.2
399,caled,bila jasho,adjectives,0.05
400,car,teksi,nouns,4.2
401,finegr,saladi,nouns,0.3
402,tenis,tenisi,nouns,0.0
403,taliad,malipo,nouns,0.95
404,trafferthu,kusumbua,verbs,0.25
405,hurt,adimu,adjectives,0.0
406,wythnosol,kwa wiki,adjectives,0.5
407,cell,gerezani,nouns,1.7
408,cwpl,jozi,nouns,5.85
409,ar frys,haraka,adverbs,4.85
410,dillad,kabati,nouns,0.6
411,cwningen,paka,nouns,0.7
412,cotwm,plastiki,nouns,0.8
413,llygoden,sitaha,nouns,0.0
414,smart,hodari,adjectives,2.45
415,digid,tarakimu,nouns,0.0
416,ymgeisydd,mshindi,nouns,0.95
417,oen,kondoo,nouns,3.55
418,sinamon,mdalasini,nouns,0.55
419,doler,watu,nouns,0.35
420,storm,wingu,nouns,0.6
421,concwest,safari,nouns,0.25
422,enfawr,mpumbavu,adjectives,0.0
423,gorsedd,kiti cha enzi,nouns,0.35
424,trosedd,uhalifu,nouns,1.65
425,mynd  ,kutuma,verbs,0.6
426,braich,misuli,nouns,0.45
427,bachgen,patna,nouns,0.1
428,cymysgu,kuchanganya,verbs,0.98
429,dafad,mwanakondoo,nouns,3.55
430,hyfforddwraig,kocha,nouns,0.8
431,danfon,kwenda,verbs,0.6
432,tric,kuoga,nouns,0.0
433,ardal,mkoa,nouns,4.75
434,amhosib,kutowekana,adjectives,0.45
435,gwerthuso,kuchanganua,verbs,4.0
436,cynffon,sura,nouns,0.0
437,erydu,kumomonyoka,verbs,0.0
438,yn gyfan gwbl,kwa ukamilifu,adverbs,0.15
439,cyfuniad,changanya,nouns,0.0
440,disgyn,kushuka,verbs,0.3
441,canon,mpira,nouns,0.4
442,bara,nyama,nouns,0.2
443,poblogaeth,watu,nouns,2.65
444,adfer,kuleta,verbs,0.65
445,pêl,kikapu,nouns,0.2
446,injan,injini,nouns,2.0
447,ffenestr,dirisha,nouns,0.0
448,teithio,kusafiri,verbs,2.5
449,cynnig,toleo,nouns,2.4
450,cornel,eneo,nouns,0.7
451,cyfansoddiad,katiba,nouns,0.53
452,cynddaredd,hasira,nouns,4.35
453,cau,kufunga,verbs,0.0
454,cloch,mnara,nouns,0.3
455,wedi blino,choka,adjectives,0.1
456,gormesu,kukandamiza,verbs,0.45
457,yn bennaf,haswa,adverbs,0.5
458,nihiliaeth,kutoamini dini,nouns,0.0
459,ynad,hakimu,nouns,4.75
460,gadael,kupuuza,verbs,0.6
461,heddwch,furaha,nouns,1.25
462,awyr,jua,nouns,0.9
463,ffêr,kiwiko,nouns,0.7
464,dewis,mshipa,nouns,0.05
465,cardigan,fulana,nouns,1.35
466,llyfr,kitabu,nouns,0.0
467,balch,kujivunia,adjectives,0.1
468,eirfwrdd,ubao wa theluji,nouns,2.05
469,modrwy,pete,nouns,1.0
470,gwyliwr,mwanaume,nouns,0.65
471,gwn,mzinga,nouns,2.05
472,asgwrn cefn,shingo,nouns,0.6
473,awyrennu,safari ya angani,nouns,3.4
474,pwerus,mwenye nguvu,adjectives,0.1
475,cotwm,pamba,nouns,0.25
476,oeraidd,mdhaifu,adjectives,0.2
477,llyfr nodiadau,daftari,nouns,0.17
478,ystafell wely,kitanda,nouns,1.6
479,cynilwr,saver,nouns,3.05
480,gwraig,mwanamke,nouns,4.45
481,nenfwd,kanisa kuu,nouns,0.15
482,portreadu,kujifanya,verbs,0.55
483,clecian,kuvunja,verbs,0.85
484,lluwchwynt,theluji kali,nouns,0.7
485,argyfwng,ajali,nouns,1.05
486,yn ddiogel,kwa ulinzi,adverbs,2.25
487,diymhongar,pole,adjectives,0.75
488,log,kuoga,nouns,0.0
489,croes,msalaba,nouns,0.35
490,swltan,sultani,nouns,0.15
491,darganfod,kuonyesha mahali pa,verbs,0.9
492,tân,moto,nouns,0.35
493,clo,kufuli,nouns,1.15
494,dirywio,kuzorota,verbs,0.3
495,anadlu,kukaba,verbs,0.6
496,swyddfa,ofisi,nouns,0.65
497,brwnt,chafu,adjectives,0.45
498,yn drist,kwa huzuni,adverbs,1.1
499,anwybyddu,kuondoka,verbs,0.6
500,microsgop,darubini,nouns,0.65
501,casáu,chukia,verbs,0.25
502,dinistrio,kujenga,verbs,0.1
503,bach,mkubwa mno,adjectives,0.1
504,ystafell ddosbarth,ushoroba,nouns,0.15
505,yn weithredol,kikamilifu,adverbs,0.0
506,anghytuno,kataa,verbs,0.15
507,top,chini,nouns,0.25
508,pwyntydd,kionyeshi,nouns,0.0
509,wastad,mara kwa mara,adverbs,0.45
510,cenedlaethol,kitaifa,adjectives,0.0
511,bawd,mkono,nouns,1.3
512,cythraul,jitu,nouns,1.95
513,dal,kushika,verbs,0.0
514,goruchafiaeth,ukuu,nouns,2.15
515,boddi,kutota,verbs,0.05
516,aros,kungoja,verbs,5.5
517,iâr,ndege,nouns,2.75
518,enfawr,kubwa,adjectives,0.2
519,baner,bendera,nouns,0.85
520,llinyn,uzi,nouns,0.0
521,rhifyddeg,pigo,nouns,0.0
522,pêl-foli,mpira wa wavu,nouns,2.7
523,penwythnos,wiki,nouns,1.65
524,seren,nyota,nouns,2.77
525,modur,motokaa,nouns,5.4
526,allwedd,nyumba,nouns,0.55
527,sylfaen,besi,nouns,0.25
528,cyfuno,kujumuisha,verbs,2.8
529,chwaer,dada,nouns,1.75
530,gwneud,kuacha,verbs,0.05
531,ymgeisydd,mwombaji,nouns,2.05
532,tasg,njia kuu,nouns,0.1
533,cyfarwyddwr,mkurugenzi,nouns,1.95
534,ffordd,barabara,nouns,4.55
535,disgwyl,kungoja,verbs,0.0
536,tywysoges,kisiwa,nouns,0.0
537,cymysg,kumbakumba,adjectives,0.1
538,ffaith,ushahidi,nouns,1.2
539,yn gadarn,kiukakamavu,adverbs,0.75
540,tywynnu,kukondoa macho,verbs,0.15
541,cyw iâr,chakula cha usiku,nouns,0.65
542,brawdgarwch,wanaume,nouns,0.95
543,papur lapio,kanga,nouns,0.0
544,trwm,mkubwa,adjectives,1.5
545,pry,nyuki,nouns,1.75
546,cosbi,kuadhibu,verbs,0.25
547,eira,dhoruba,nouns,0.65
548,asgwrn,mkono,nouns,1.1
549,ffrind,mama,nouns,0.7
550,amlen,bahasha,nouns,0.0
551,tywysoges,mtoto mke wa mfalme,nouns,0.0
552,weithiau,muda mwingine,adverbs,0.0
553,creigres,ufuko,nouns,0.65
554,cynfas,gombo,nouns,0.0
555,priodferch,mtoto wa mfalme,nouns,0.45
556,economi,uchumi,nouns,0.2
557,troi allan,kufukuza,verbs,0.45
558,ysgol feithrin,shule ya mapema,nouns,4.9
559,ymgynnull,kukusanyika,verbs,3.55
560,sgwrs,mawasiliano,nouns,4.45
561,deintydd,daktari wa meno,nouns,4.45
562,troed,mkono,nouns,0.6
563,rhifyddeg,mantiki,nouns,0.5
564,car,daraja,nouns,0.2
565,twnnel,shimo,nouns,0.5
566,mab,mvulana,nouns,4.4
567,gwartheg,mifugo,nouns,0.1
568,adeiladu,kuharibu,verbs,0.1
569,llwyddo,kufeli,verbs,0.1
570,emyn,majani makavu,nouns,0.0
571,côr,kanisa,nouns,1.05
572,cyfansoddwr,mwandishi,nouns,3.9
573,blin,mjeuri,adjectives,1.1
574,treisgar,kigomvi,adjectives,0.0
575,ffraeo,kuthibitisha,verbs,0.0
576,dyn,mtoto,nouns,0.25
577,goruchafiath,ushindi,nouns,3.55
578,pren,gogo,nouns,2.85
579,yn feddal,kwa ulaini,adverbs,0.2
580,cerflun,kinyagu,nouns,4.75
581,cyfarch,kutoa heshima,verbs,0.05
582,gwrthod,kuepa,verbs,1.3
583,clywed,kuzungumza,verbs,0.55
584,myfyriwr,mwanachuo,nouns,4.65
585,cerbyd,mkokoteni,nouns,3.9
586,modur,boti,nouns,1.4
587,soned,ushairi,nouns,0.15
588,lleihau,kupunguza,verbs,0.0
589,yn gryf,kwa nguvu,adverbs,0.1
590,tun,tini,nouns,2.2
591,cyfamod,mapatano,nouns,5.3
592,creu,kuharibu,verbs,0.1
593,ymuno,kukuunga,verbs,0.05
594,ymwrthod,kukataa,verbs,0.88
595,eira,theluji,nouns,3.4
596,gwddf,pua,nouns,0.5
597,pêl-fas,undugu,nouns,0.0
598,sarsiant,mjeshi,nouns,0.6
599,arae,areyi,nouns,0.9
600,diymhongar,ana aibu,adjectives,0.0
601,algebra,algebra,nouns,0.2
602,yn onest,kwa kweli,adverbs,1.32
603,tad,mwanaume,nouns,2.3
604,cwmwl,dhoruba,nouns,0.6
605,angenrheidiol,muhimu,adjectives,3.0
606,llywodraeth,serikali,nouns,0.0
607,ceryddu,kulaani,verbs,0.15
608,neuadd,ukumbi,nouns,0.1
609,rhith,uhalisi,nouns,0.15
610,siwgr,asali,nouns,2.2
611,eisiau,kuazima,verbs,0.4
612,yn rheolaidd,mara kwa mara,adverbs,0.7
613,cinio,chakula,nouns,3.55
614,hwyliau,hasira,nouns,0.45
615,gludiog,kunata,adjectives,0.45
616,cynorthwyo,kusaidia,verbs,0.35
617,lemwn,matofaa,nouns,0.85
618,gwn,manyoya,nouns,0.05
619,dioddefwr,mwathirika,nouns,0.0
620,ffurfiol,sahihi,adjectives,1.4
621,hurt,mkubwa mno,adjectives,0.0
622,gwaelod,upande,nouns,0.8
623,gŵr,mwanaume,nouns,4.4
624,cyfrifiadur,kompyuta,nouns,2.45
625,ysgol,sheria,nouns,0.2
626,erfyn,kusihi,verbs,4.45
627,ymadael,kuondoka,verbs,0.0
628,deall,kuridhisha,verbs,0.3
629,gŵr bonheddig,bibi,nouns,0.5
630,ychwanegu,kugawanya,verbs,0.25
631,gwario,kuokoa,verbs,0.25
632,yn wahanol,wa kawaida,adjectives,0.4
633,mêl,sukari,nouns,2.2
634,casglu,kukusanya,verbs,3.55
635,ceffyl,ng'ombe dume,nouns,0.55
636,deallus,ana akili,adjectives,2.45
637,atodi,kujiunga,verbs,1.0
638,diod,bia,nouns,3.05
639,iogwrt,mgando,nouns,0.1
640,hydwyll,kukubali kirahisi,adjectives,0.5
641,beibl,nyimbo,nouns,0.35
642,clwb,klabu,nouns,0.0
643,anrhydedd,heshima,nouns,1.9
644,rhad,si ghali,adjectives,4.85
645,twr,kengele,nouns,0.3
646,stryd,gari,nouns,0.35
647,dysgu,kujifunza,verbs,1.98
648,awdur,msomaji,nouns,0.3
649,crebachu,kukua,verbs,0.1
650,meddwl,kuamua,verbs,1.95
651,wedi ei orchuddio,kufunikwa,adjectives,1.1
652,cyfiawnhau,kugombana,verbs,0.55
653,erydu,kumomonyoka,verbs,1.7
654,llynges,jeshi la wanamaji,nouns,0.1
655,dechrau,kwenda,verbs,0.25
656,gwthio,kusukuma,verbs,0.55
657,log,kanuni,nouns,0.4
658,moesol,adili,nouns,0.2
659,dadl,ukosoaji,nouns,1.15
660,yn arbennig,makusudi,adverbs,1.7
661,pobl,idadi ya watu,nouns,2.65
662,stumog,mshipa,nouns,0.25
663,ffraeo,kubisha,verbs,0.15
664,blwch,kibanda,nouns,0.1
665,dyn,mwanamke,nouns,0.35
666,metel,chuma,nouns,2.8
667,crys,shati,nouns,1.35
668,esgob,askofu,nouns,0.2
669,cynorthwyo,kufadhili,verbs,5.35
670,beic,baiskeli,nouns,0.0
671,rinsio,kusuuza,verbs,3.55
672,gwrtaith,samadi,nouns,0.45
673,cegin,mlango,nouns,0.15
674,arbed,kuokoa,verbs,0.05
675,yn afreolaidd,isivyo kawaida,adverbs,0.05
676,cyfrwys,imara,adjectives,0.35
677,hynafol,mpya,adjectives,0.1
