ID,CYM,RUS,PoS,score
325,llynges,армия,nouns,3.1
326,asgwrn,шея,nouns,0.35
327,dweud,подтверждать,verbs,0.45
328,neigaredd,король,nouns,0.3
329,gwaelod,бок,nouns,0.7
330,derbyn,соглашаться,verbs,2.5
331,creulon,жесткий,adjectives,1.8
332,log,ванна,nouns,0.0
333,drws,звонок,nouns,0.7
334,brawd,сестра,nouns,1.6
335,ystafell ymolchi,спальня,nouns,1.3
336,troseddu,беспокоить,verbs,0.45
337,cwch,дерево,nouns,0.3
338,sgriblo,записывать,verbs,2.6
339,ffabrig,лен,nouns,2.2
340,anghofio,помнить,verbs,0.05
341,opera,кино,nouns,0.55
342,yn gyfrinachgar,вежливо,adverbs,0.4
343,gêm,сноровка,nouns,0.95
344,babi,взрослый,nouns,0.5
345,ffilm,нигилизм,nouns,0.0
346,cysuro,унижать,verbs,0.05
347,datgelwyd,покрытый,adjectives,0.05
348,caledwedd,дело,nouns,0.15
349,gwn,нож,nouns,0.9
350,yn hawdd,грубо,adverbs,0.05
351,estron,чужеземец,nouns,3.3
352,dyffryn,депрессия,nouns,0.3
353,atgoffa,сказать,verbs,0.7
354,ap,галакси,nouns,0.3
355,syniad,образ,nouns,1.3
356,amaethyddiaeth,монокультура,nouns,0.45
357,balchder,бедный,adjectives,0.1
358,caban,хижина,nouns,3.35
359,gwerthfawr,священный,adjectives,1.95
360,menyw,мужчина,nouns,0.3
361,teiffŵn,циклон,nouns,3.7
362,siart,график,nouns,3.95
363,tywysoges,король,nouns,0.9
364,eglur,очевидный,adjectives,2.3
365,yn realistig,идеально,adverbs,0.65
366,gwlychu,уменьшить,verbs,0.0
367,erydu,разрешать,verbs,0.0
368,paragraff,страница,nouns,0.8
369,arbennig,ценный,adjectives,2.05
370,cyhuddo,осуждать,verbs,4.7
371,testun,книга,nouns,1.5
372,cytuno,спорить,verbs,0.15
373,rhodio,бродить,verbs,4.0
374,neidr,ящерица,nouns,1.2
375,cynilwr,сбережения,nouns,1.55
376,plentyn,девочка,nouns,1.45
377,sgil,ум,nouns,1.15
378,codi,пить,verbs,0.0
379,bàth,жена,nouns,0.0
380,dicter,настроение,nouns,1.1
381,digid,цитоплазма,nouns,0.0
382,stryd,переулок,nouns,2.75
383,cyfaddef,отрицать,verbs,0.05
384,yn wael,смиренно,adverbs,0.05
385,dillad,шкаф,nouns,0.75
386,yn ddibynadwy,грубо,adverbs,0.05
387,asgwrn,мускул,nouns,0.5
388,hyfforddwraig,игрок,nouns,0.5
389,llywodraeth,ящерица,nouns,0.0
390,yn ddiweddarach,никогда,adverbs,0.1
391,lifft,автомобиль,nouns,0.5
392,garddwrn,рука,nouns,1.3
393,bwlch,открытие,nouns,1.2
394,yn hapus,безопасно,adverbs,0.15
395,hyrwyddo,продвигаться,verbs,1.65
396,gwely,мебель,nouns,2.15
397,gwraig,цент,nouns,0.05
398,ystafell,камера,nouns,1.6
399,sawl,дважды,adverbs,0.4
400,siampên,виски,nouns,1.05
401,cyhyrau,кость,nouns,0.5
402,stori,карандаш,nouns,0.15
403,gwddf,язык,nouns,0.6
404,brwydro,противоречить,verbs,0.7
405,yn anaml,часто,adverbs,0.1
406,drws,подвал,nouns,0.4
407,beddrod,гробница,nouns,1.25
408,yma,сейчас,adverbs,1.6
409,deallus,тупой,adjectives,0.05
410,arbed,тонуть,verbs,0.1
411,blanced,шторм,nouns,0.0
412,archesgob,епископ,nouns,2.85
413,rheolaidd,средний,adjectives,1.5
414,llwybr,тоннель,nouns,0.95
415,sudd,яблоко,nouns,0.95
416,stoc,актив,nouns,2.8
417,cynorthwyo,защищать,verbs,1.9
418,cymysgu,комбинировать,verbs,3.55
419,cymryd rhan,сотрудничать,verbs,1.9
420,gwersyll,домик,nouns,1.05
421,gwerthu,занимать,verbs,0.2
422,gwerth,вера,nouns,0.55
423,gwych,плохой,adjectives,0.0
424,crochenwaith,керамика,nouns,3.95
425,diogelu,отстаивать,verbs,4.2
426,cig,хлеб,nouns,0.3
427,traeth,остров,nouns,0.9
428,meddwl,пытаться,verbs,0.3
429,lliain,ткань,nouns,2.2
430,tric,ванна,nouns,0.0
431,dadl,критика,nouns,1.35
432,staff,вокалист,nouns,0.0
433,stori,тема,nouns,0.85
434,da,известный,adjectives,0.1
435,gwadu,принимать,verbs,0.15
436,pennu,предсказывать,verbs,0.95
437,cefnogwr,крикет,nouns,0.05
438,gweiddi,спорить,verbs,1.1
439,pêl-fas,кушетка,nouns,0.0
440,mynychu,приходить,verbs,2.65
441,degawd,век,nouns,0.35
442,jin,виски,nouns,1.9
443,wisgi,шампанское,nouns,1.05
444,gwadu,признание,nouns,0.2
445,plasty,скульптор,nouns,0.4
446,yn gyfan gwbl,минимально,adverbs,0.1
447,dirmygu,ненавидеть,verbs,2.35
448,dimai,размер,nouns,0.3
449,anwybyddu,забывать,verbs,1.55
450,gweithred,курс,nouns,0.35
451,ymddangos,становиться,verbs,1.0
452,mawr,крупный,adjectives,4.55
453,amddiffyn,защищать,verbs,4.2
454,mintys poethion,жвачка,nouns,0.35
455,ungnwd,сельское хозяйство,nouns,0.45
456,mynd  ,позволять,verbs,0.1
457,mwydyn,вредоносные программы,nouns,0.5
458,yn anarferol,обычно,adverbs,0.15
459,tymer,врач,nouns,0.15
460,galaeth,приложение,nouns,0.3
461,ofnus,стеснительный,adjectives,1.25
462,saws,яблоко,nouns,0.7
463,dosbarth,беспорядок,nouns,0.15
464,gwael,одинокий,adjectives,0.25
465,cario ,брать,verbs,0.5
466,penderfynu,судить,verbs,2.05
467,syml,легкий,adjectives,2.55
468,oen,овца,nouns,3.15
469,mynach,священник,nouns,2.7
470,derbyn,признавать,verbs,2.8
471,dinistrio,создавать,verbs,0.1
472,angel,демон,nouns,0.15
473,barnu,решать,verbs,2.05
474,eglwys,хор,nouns,0.95
475,brawdgarwch,дверь,nouns,0.0
476,rhestr,матрица,nouns,0.9
477,anadlu,задыхаться,verbs,0.8
478,nerth,способность,nouns,1.5
479,anhygoel,грязный,adjectives,0.0
480,canol,трапеза,nouns,0.0
481,priodferch,жених,nouns,1.35
482,derbyn,прощать,verbs,1.15
483,cas,аппара́тное обеспече́ние,nouns,0.15
484,beirniadu,замечать,verbs,1.05
485,cnoi,драться,verbs,0.4
486,dweud yn gyhoeddus,объявлять,verbs,4.45
487,polyhedron,актер,nouns,0.0
488,llywydd,ученик,nouns,0.2
489,chwalu,разгромить,verbs,4.9
490,cyferbyn,уникальный,adjectives,0.15
491,cornel,область,nouns,0.45
492,braich,колено,nouns,0.7
493,matrics,вектор,nouns,1.4
494,topoleg,структура,nouns,2.05
495,crwydro,покидать,verbs,0.65
496,heddiw,сегодня ночью,adverbs,1.5
497,telesgop,стул,nouns,0.0
498,enillydd,чемпион,nouns,5.05
499,cyhoeddi,информировать,verbs,4.4
500,yn aeddfed,бойко,adverbs,0.55
501,cwympo,ушибить,verbs,1.25
502,fel arfer,редко,adverbs,0.05
503,gwylio,наблюдать,verbs,3.2
504,mynd  ,приходить,verbs,1.0
505,atgoffa,продавать,verbs,0.05
506,amwys,неясный,adjectives,4.5
507,reis,боб,nouns,0.7
508,disg,зарядное устройство,nouns,0.6
509,bore,день,nouns,1.2
510,gweithiwr,фотоаппарат,nouns,0.25
511,bri,богатство,nouns,0.15
512,nerfus,уверенный,adjectives,0.05
513,ystadegau,теннис,nouns,0.0
514,diplomyddiaeth,переговоры,nouns,2.15
515,ffynnu,пытаться,verbs,1.35
516,mam,подруга,nouns,1.05
517,brecwast,ужин,nouns,0.7
518,llynges,остров,nouns,0.45
519,cymryd,получать,verbs,1.53
520,bowlio,игрок в боулинг,nouns,1.65
521,arbediad,бережливый человек,nouns,1.55
522,cyfreithiol,безопасный,adjectives,1.05
523,trwm,груженный,adjectives,3.25
524,cyflawni,получать,verbs,0.7
525,siarad,признавать,verbs,0.5
526,dod yn,завершать,verbs,0.85
527,dosbarth,колледж,nouns,1.05
528,cwmni,предприятие,nouns,3.9
529,pur,скромный,adjectives,0.85
530,cymryd,доставлять,verbs,0.35
531,o bosibl,оптимистически,adverbs,1.0
532,hynafol,современный,adjectives,0.05
533,wedi tyfu,незрелый,adjectives,0.1
534,yn syml,видимо,adverbs,0.8
535,rhannu,объединять,verbs,0.1
536,addurn,стена,nouns,0.7
537,llyfr,статья,nouns,0.9
538,corff,грудь,nouns,1.2
539,calendr,дата,nouns,1.95
540,merch,ребенок,nouns,1.25
541,deall,знать,verbs,1.65
542,benthyca,давать,verbs,1.65
543,yn rheolaidd,иногда,adverbs,0.35
544,pont,карта,nouns,0.5
545,theori,химия,nouns,0.7
546,styden,парень,nouns,0.75
547,yr wyddor,ручка,nouns,0.25
548,diflannu,находить,verbs,0.05
549,yn llachar,слегка,adverbs,0.0
550,parêd,оркестр,nouns,0.95
551,llawr,палуба,nouns,1.65
552,stumog,спальня,nouns,0.0
553,gallu,сила,nouns,1.5
554,ffon reoli,радар,nouns,0.3
555,afon,долина,nouns,0.8
556,gofyn,игнорировать,verbs,0.0
557,crio,реветь,verbs,4.15
558,sudd,молочный коктейль,nouns,0.75
559,cerdded,стоять,verbs,0.55
560,busnes,компания,nouns,3.9
561,blits,атака,nouns,3.3
562,yn fras,приблизительно,adverbs,0.4
563,colli,сохранять,verbs,0.25
564,ffôn,потерпевший,nouns,0.0
565,yn wahanol,странно,adverbs,1.65
566,yn ofalus,осторожно,adverbs,2.8
567,trwyn,горло,nouns,0.6
568,brechdan,обед,nouns,1.1
569,sigâr,пачка,nouns,0.45
570,cwyno,ругаться,verbs,0.9
571,cyhoeddus,частный,adjectives,0.05
572,mêl,сахар,nouns,1.45
573,braf,великодушный,adjectives,1.35
574,menyn,картофель,nouns,0.4
575,cyflawni,достигать,verbs,2.35
576,tudalen,слово,nouns,0.8
577,dewis,избирать,verbs,3.85
578,anialwch,дюна,nouns,1.45
579,campws,университет,nouns,1.4
580,clywed,говорить,verbs,0.5
581,pryd bwyd,ужин,nouns,3.2
582,gwario,копить,verbs,0.1
583,meddwl,помнить,verbs,0.75
584,addysgu,учить,verbs,3.2
585,annibynadwy,коварный,adjectives,1.7
586,gwrthod,лгать,verbs,0.65
587,rhannu,отрывать,verbs,1.3
588,car,гудок,nouns,0.65
589,gyrru,останавливаться,verbs,0.1
590,brifo ,падать,verbs,1.25
591,artist,искусства,nouns,1.25
592,arwres,герой,nouns,3.2
593,ongl,изгиб,nouns,2.0
594,yn bennaf,глубоко,adverbs,0.15
595,bàth,шар,nouns,0.0
596,dermatitis,экзема,nouns,3.65
597,cadair,скамейка,nouns,2.35
598,haint,сгибание,nouns,0.0
599,wastad,дважды,adverbs,0.25
600,plismon,политик,nouns,0.2
601,flwyddyn,век,nouns,1.0
602,cwch,якорь,nouns,0.95
603,yfed,выращивать,verbs,0.0
604,dillad,ящик,nouns,0.65
605,chwerthin,хихикать,verbs,4.55
606,y rhan fwyaf,в основном,adverbs,2.85
607,nerf,мужество,nouns,1.05
608,banereg,флаг,nouns,0.9
609,gwregys,петля,nouns,0.45
610,casáu,критиковать,verbs,0.85
611,apocalyps,пожар,nouns,0.9
612,car,шланг,nouns,0.4
613,llygad,бровь,nouns,0.9
614,cymdeithas,культура,nouns,0.95
615,môr,пляж,nouns,1.5
616,rhoi,одалживать,verbs,1.55
617,bwrdd,закат,nouns,0.0
618,bwrw,ущипнуть,verbs,0.9
619,handlen,белок,nouns,0.0
620,swcros,углевод,nouns,1.55
621,anfoesol,плохой,adjectives,2.75
622,trefnu,собирать,verbs,1.6
623,rhaglen,питание,nouns,0.3
624,goruchafiath,победа,nouns,4.15
625,planhigyn,сельское хозяйство,nouns,0.8
626,ymchwilio,изучать,verbs,4.3
627,cefndir,обои,nouns,1.45
628,canon,ядро,nouns,0.9
629,dŵr,лед,nouns,2.1
630,deall,читать,verbs,0.8
631,cystadlu,заканчивать,verbs,0.0
632,gwych,выдающийся,adjectives,4.7
633,hyblyg,крупный,adjectives,0.1
634,sinamon,конфеты,nouns,0.6
635,yn ddiogel,счастливо,adverbs,0.15
636,car,автомобиль,nouns,5.35
637,chwedl,мораль,nouns,0.5
638,prysur,ленивый,adjectives,0.05
639,gorchuddio,маскировать,verbs,2.5
640,drws,проем,nouns,3.55
641,hyblyg,скромный,adjectives,1.15
642,hael,дружелюбный,adjectives,2.25
643,casáu,наслаждаться,verbs,0.0
644,actor,певец,nouns,1.05
645,bydysawd,небо,nouns,1.1
646,penelin,лодыжка,nouns,0.65
647,yn ddigynnwrf,тонко,adverbs,0.3
648,pobl,партия,nouns,1.2
649,pibell,сад,nouns,0.4
650,dwywaith,множественный,adverbs,0.4
651,cyffes,отрицание,nouns,0.2
652,amsugno,иметь,verbs,0.35
653,gwawr,день,nouns,1.05
654,offeiriad,бог,nouns,0.95
655,ewin,шляпка,nouns,0.65
656,drôr,одежда,nouns,0.65
657,ffroenell,жидкость,nouns,0.0
658,disgleirio,светиться,verbs,4.65
659,diymhongar,чистый,adjectives,0.85
660,dec,мышь,nouns,0.4
661,camera,работник,nouns,0.25
662,ton,погода,nouns,0.25
663,yn heddychlon,с гордостью,adverbs,0.05
664,disgybl,президент,nouns,0.2
665,gwisgo,рвать,verbs,0.0
666,ysbyty,койка,nouns,0.85
667,gwneud,происходить,verbs,1.3
668,gwerthfawr,особый,adjectives,2.05
669,presenoldeb,дверь,nouns,0.1
670,cryf,гордый,adjectives,0.85
671,derbyn,принимать,verbs,3.5
672,sinc,золото,nouns,0.35
673,potel,баллончик,nouns,0.5
674,alcohol,виски,nouns,2.3
675,diflannu,сжиматься,verbs,1.5
676,esgob,мусульман,nouns,0.3
677,radical,агрессивный,adjectives,0.95
678,perllan,страус,nouns,0.0
679,gwn,шалость,nouns,0.05
680,cyfansoddiad,сенат,nouns,0.8
681,bargen,пенни,nouns,0.55
682,diymhongar,пристыженный,adjectives,0.25
683,gorchuddio,закапывать,verbs,0.7
684,tywynnu,щуриться,verbs,0.35
685,chwilio,просить,verbs,0.55
686,oedran,красота,nouns,0.5
687,brenin,принц,nouns,1.2
688,alcohol,коктейль,nouns,1.7
689,cyfrwng,новость,nouns,0.35
690,gwrando,слышать,verbs,2.95
691,seren,астероид,nouns,2.0
692,gwallgof,счастливый,adjectives,0.05
693,ffenestr,крыша,nouns,0.55
694,braich,тело,nouns,1.0
695,arian,наличные,nouns,3.95
696,gwirio,говорить,verbs,0.45
697,pâr,чета,nouns,5.55
698,tref,город,nouns,2.9
699,heno,завтра,adverbs,0.4
700,dal,выпускать,verbs,0.6
701,taith,завование,nouns,0.2
702,anelu,ударять,verbs,0.85
703,geiriadur,энциклопедия,nouns,1.8
704,amlen,украшение,nouns,0.1
705,diwydiant,предприятие,nouns,1.75
706,crybwyll,критиковать,verbs,1.05
707,cydsyniad,валюта,nouns,0.0
708,derbyn,посылать,verbs,0.1
709,gadael,выселять,verbs,0.65
710,sarsiant,пистолет,nouns,0.55
711,ymddangos,покидать,verbs,0.1
712,torri,трескаться,verbs,2.0
713,ymerawdwr,конституция,nouns,0.25
714,cyfarfod,покидать,verbs,0.05
715,trafodaeth,спор,nouns,3.5
716,balch ,счастливый,adjectives,2.7
717,claddu,покрывать,verbs,0.7
718,craig,мина,nouns,0.25
719,yn annaturiol,отрицательно,adverbs,0.45
