ID,POL,RUS,PoS,score
100,ciułacz,сбережения,nouns,0.95
101,artykuł,книга,nouns,1.0
102,senat,конституция,nouns,0.8
103,osobisty,частный,adjectives,4.75
104,zgadzać się,спорить,verbs,0.1
105,okrutny,несправедливый,adjectives,1.75
106,mysz,кошка,nouns,0.45
107,podróż,поездка,nouns,4.75
108,pozdrawiać,встречать,verbs,1.4
109,ławka,стул,nouns,1.65
110,burza,снег,nouns,0.95
111,płyn,сопло,nouns,0.0
112,pokornie,гордо,adverbs,0.2
113,uwalniać,ловить,verbs,0.05
114,wino,алкоголь,nouns,2.55
115,słuchać,узнавать,verbs,0.6
116,sok,яблоко,nouns,0.8
117,pozwalać,утвердить,verbs,3.4
118,drzwi,братство,nouns,0.05
119,żyła,сосуд,nouns,2.95
120,ptak,курица,nouns,2.45
121,szukać,странствовать,verbs,1.35
122,wstyd,печаль,nouns,0.6
123,gniew,настроение,nouns,1.4
124,gardło,язык,nouns,0.85
125,telewizja,актер,nouns,0.9
126,głowa,ступня,nouns,0.45
127,talerz,миска,nouns,3.2
128,sofa,стул,nouns,1.05
129,wycofać,поглощать,verbs,0.0
130,oddychać,задыхаться,verbs,0.25
131,uzasadniać,подтверждать,verbs,2.4
132,wąski,широкий,adjectives,0.05
133,reszta,разница,nouns,1.7
134,głęboko,значительно,adverbs,1.45
135,budować,создавать,verbs,3.8
136,cel,поиск,nouns,1.15
137,paznokieć,шляпка,nouns,0.75
138,literatura,слово,nouns,1.55
139,susza,вода,nouns,0.25
140,jałowcówka,виски,nouns,1.5
141,uprzedzenie,шовинист,nouns,1.35
142,gąsienica,шелкопряд,nouns,2.85
143,konstruować,делать,verbs,3.3
144,tłum,группа,nouns,3.05
145,perfekcyjnie,действительно,adverbs,1.45
146,śmierć,трагедия,nouns,2.35
147,wizerunek,отражение,nouns,2.35
148,naprzykrzać się,обижать,verbs,1.25
149,komputer,диск,nouns,1.35
150,brama,дверь,nouns,3.8
151,spokojnie,мирно,adverbs,4.25
152,informować,полировать,verbs,0.0
153,wanna,бревно,nouns,0.0
154,wspaniały,красивый,adjectives,4.25
155,źrebak,конь,nouns,2.95
156,kabel,часовня,nouns,0.05
157,wędrować,искать,verbs,1.35
158,wieża,колокол,nouns,0.65
159,kaplica,кабель,nouns,0.05
160,poszukiwanie,цель,nouns,1.15
161,król,принцесса,nouns,1.05
162,świetny,прекрасный,adjectives,5.45
163,kłamać,обвинять,verbs,0.1
164,hymn,солома,nouns,0.0
165,alkohol,коктейль,nouns,2.1
166,oczywiście,локально,adverbs,0.0
167,odrzucić,избирать,verbs,0.3
168,brat,мальчик,nouns,1.15
169,krzyż,монах,nouns,0.95
170,nudny,посредственный,adjectives,1.8
171,regularnie,иногда,adverbs,0.35
172,niebawem,немедленно,adverbs,1.7
173,stek,мясо,nouns,4.1
174,winda,автомобиль,nouns,0.4
175,prędki,скорый,adjectives,4.8
176,słoma,задача,nouns,0.05
177,lotnictwo,полет,nouns,1.65
178,zawstydzony,счастливый,adjectives,0.05
179,kanapa,бейсбол,nouns,0.0
180,rozdział,ночь,nouns,0.0
181,książka,эссе,nouns,1.25
182,pokój,камера,nouns,1.7
183,wznosić,поднимать,verbs,2.4
184,planeta,луна,nouns,1.95
185,siatkówka,мяч,nouns,1.3
186,maska,вечеринка,nouns,0.6
187,argumentować,убеждать,verbs,3.95
188,mydliny,пузырь,nouns,1.6
189,włóczyć się,бродить,verbs,4.1
190,ciotka,дядя,nouns,1.0
191,tasować,ездить,verbs,0.1
192,zainteresowanie,внимание,nouns,3.9
193,rosnąć,сжиматься,verbs,0.0
194,krytyczny,грубый,adjectives,0.55
195,stulecie,десятилетие,nouns,0.5
196,marginalnie,полностью,adverbs,0.15
197,cytryna,яблоко,nouns,0.55
198,dwukrotnie,один раз,adverbs,0.05
199,być dłużnym,одалживать,verbs,1.9
200,sypialnia,кровать,nouns,1.45
201,zawód,колледж,nouns,0.35
202,data,календарь,nouns,1.55
203,przysięgać,обещать,verbs,3.75
204,czysty,аккуратный,adjectives,4.25
205,dzwon,башня,nouns,0.65
206,dostać,приобретать,verbs,2.2
207,osądzać,обвинять,verbs,3.65
208,deszcz,град,nouns,1.1
209,niecierpliwie,грубо,adverbs,1.05
210,życzliwie,щедро,adverbs,2.2
211,miód,молочные продукты,nouns,0.15
212,zabawka,куб,nouns,0.4
213,słowo,ключ,nouns,0.5
214,oskarżać,лгать,verbs,0.1
215,żelazo,витамин,nouns,0.95
216,ignorować,исследовать,verbs,0.0
217,zniechęcać,расстраивать,verbs,0.95
218,szach,шахматы,nouns,1.95
219,znacząco,действительно,adverbs,1.0
220,samochód,улица,nouns,0.55
221,płukać,мыть,verbs,3.05
222,podprogram,компилятор,nouns,2.0
223,odrzucać,отклонять,verbs,3.35
224,ołówek,сказка,nouns,0.05
225,film,нигилизм,nouns,0.0
226,doktor,ортодонт,nouns,2.8
227,dostarczać,принимать,verbs,0.1
228,budować,добавлять,verbs,0.7
229,obłąkany,довольный,adjectives,0.05
230,kolacja,завтрак,nouns,0.5
231,konfuzja,истерика,nouns,1.25
232,ranić,дразнить,verbs,2.7
233,komunikacja,телевидение,nouns,1.65
234,zranić,расстраивать,verbs,2.55
235,marnie,смиренно,adverbs,0.05
236,przestraszony,неуверенный,adjectives,1.6
237,aktywnie,точно,adverbs,0.3
238,mózg,разум,nouns,3.0
239,motor,двигатель,nouns,4.6
240,futerał,электричество,nouns,0.3
241,kaloryfer,датчик,nouns,0.25
242,hel,воздух,nouns,1.4
243,patrzeć,искать,verbs,0.7
244,naiwny,невинный,adjectives,0.65
245,porażka,банкротство,nouns,2.6
246,precyzyjnie,активно,adverbs,0.3
247,wysyłać,получать,verbs,0.3
248,próbować,преуспевать,verbs,0.2
249,stracić,сохранять,verbs,0.05
250,działo,ядро,nouns,0.65
251,dom,амбар,nouns,0.8
252,gitara,форель,nouns,0.0
253,krytykować,ненавидеть,verbs,1.2
254,miernik,автомобиль,nouns,0.45
255,noc,глава,nouns,0.0
256,kwiat,луковица,nouns,1.1
257,wytwórca,создатель,nouns,3.65
258,egzotyczny,редкий,adjectives,4.75
259,jednolity,бесформенный,adjectives,0.05
260,organ,печень,nouns,2.65
261,ballada,песня,nouns,3.65
262,śnieg,погода,nouns,0.7
263,drewno,бревно,nouns,3.95
264,szkoła,юриспруденция,nouns,0.5
265,regularny,невежественный,adjectives,0.05
266,prezydent,фотоаппарат,nouns,0.1
267,hasło,синтаксис,nouns,0.35
268,dezorientować,учить,verbs,0.0
269,książka,авария,nouns,0.0
270,rękawica,мяч,nouns,0.15
271,robić,становиться,verbs,0.5
272,zaręczyny,кольцо,nouns,1.0
273,prawo wyborcze,выход,nouns,0.05
274,zasadniczo,обязательно,adverbs,0.95
275,trawa,мох,nouns,1.3
276,uczęszczać,спорить,verbs,0.0
277,przestępca,преступник,nouns,5.0
278,porozumienie,спор,nouns,0.45
279,szkło,хрусталь,nouns,2.3
280,rozwój,сбор пожертвований,nouns,0.05
281,łóżko,стул,nouns,0.25
282,woda,коронация,nouns,0.0
283,zdarzyć się,действовать,verbs,1.2
284,homofon,фотофон,nouns,0.15
285,wokalista,штат сотрудников,nouns,0.05
286,obierać,назначать,verbs,0.95
287,pan młody,невеста,nouns,1.0
288,wystraszyć,преследовать,verbs,0.9
289,obecność,дверь,nouns,0.1
290,ząb,рот,nouns,0.85
291,tło,обои,nouns,2.55
292,lot,авиация,nouns,1.65
293,administracja,управление,nouns,4.2
294,prosty,трудный,adjectives,0.0
295,chatka,убежище,nouns,1.95
296,ramię,ветка,nouns,0.25
297,wyznanie,отрицание,nouns,0.2
298,reżyser,кинематография,nouns,1.15
299,płacić,купить,verbs,1.7
300,spokojny,нейтральный,adjectives,1.75
301,mięso,бутерброд,nouns,0.35
302,rozumieć,слушать,verbs,0.85
303,esej,домашнее задание,nouns,2.25
304,równanie,формула,nouns,3.15
305,tkanina,одежда,nouns,1.35
306,strona,слово,nouns,0.75
307,trunek,группа,nouns,0.15
308,konstruować,разрушать,verbs,0.0
309,rozmiar,цент,nouns,0.3
310,silnik,поршень,nouns,1.9
311,wysyłać,идти,verbs,0.05
312,kość,зубы,nouns,1.8
313,dumnie,мирно,adverbs,0.0
314,jaszczurka,крокодил,nouns,1.05
315,facet,девушка,nouns,0.05
316,niezawodnie,грубо,adverbs,0.15
317,napój,пиво,nouns,2.65
318,dominować,выигрывать,verbs,1.9
319,plotka,новость,nouns,2.05
320,taksówka,автобус,nouns,1.05
321,duży,легкий,adjectives,0.0
322,galeria,адвокат,nouns,0.0
323,zabraniać,останавливать,verbs,1.25
324,przekonywać,спорить,verbs,3.95
325,opuścić,выселять,verbs,1.55
326,zmartwić,отговаривать,verbs,0.7
327,intymny,личный,adjectives,3.55
328,wydarzenie,сбор пожертвований,nouns,0.75
329,świetny,выдающийся,adjectives,3.45
330,niedrogi,дешевый,adjectives,5.35
331,student,учитель,nouns,0.55
332,gitara,скрипка,nouns,1.2
333,sypialnia,ванная,nouns,0.7
334,pilot,водитель,nouns,1.9
335,apokalipsa,пожар,nouns,1.1
336,złączyć,жениться,verbs,1.35
337,opowieść,карандаш,nouns,0.05
338,minuta,секунда,nouns,1.0
339,ustalać,эвакуировать,verbs,0.1
340,zamówienie,меню,nouns,1.0
341,przytłaczać,душить,verbs,0.9
342,pomarańcza,цитрус,nouns,3.7
343,wiązać,ткать,verbs,0.8
344,jard,метр,nouns,2.0
345,słownik,энциклопедия,nouns,1.95
346,decydować,судить,verbs,1.4
347,koktajl,алкоголь,nouns,2.1
348,odgraniczenie,граница,nouns,3.9
349,życzliwie,мило,adverbs,4.15
350,niebezpiecznie,внимательно,adverbs,0.1
351,stop ,сталь,nouns,2.1
352,trik,ванна,nouns,0.0
353,akceptować,отказывать,verbs,0.0
354,bielizna,тело,nouns,0.3
355,książka,литература,nouns,2.95
356,demokracja,монархия,nouns,0.35
357,chaos,анархия,nouns,4.6
358,mięso,стейк,nouns,4.1
359,samochód,мост,nouns,0.2
360,obecnie,деликатно,adverbs,0.0
361,przyjazny,навряд ли,adjectives,0.05
362,pudełko,сигара,nouns,0.45
363,medal,тренери,nouns,0.2
364,drewno,одеяло,nouns,0.0
365,twardy,прочный,adjectives,3.4
366,diament,деньги,nouns,0.65
367,łatwy,жесткий,adjectives,0.0
368,fala,погода,nouns,0.3
369,wybaczać,принимать,verbs,1.85
370,koń,жеребенок,nouns,2.95
371,miło,любезно,adverbs,4.15
372,prawnik,прокурор,nouns,1.25
373,umysł,мозги,nouns,3.0
374,szybki,скоростной,adjectives,4.95
375,wspinać się,путешествовать,verbs,0.8
376,tekst,книга,nouns,2.0
377,niepoczytalny,сумасшедший,adjectives,5.25
378,obszar,угол,nouns,0.25
379,składnia,заглавное слово,nouns,0.35
380,ciężarówka,автомобиль,nouns,3.1
381,powiadamiać,признавать,verbs,0.45
382,ignorować,покидать,verbs,1.0
383,cent,размер,nouns,0.3
384,ściana,отделка,nouns,0.75
385,zestresowany,расслабленный,adjectives,0.05
386,iść,начинать,verbs,0.15
387,zawstydzony,расстроенный,adjectives,0.8
388,argumentować,посещать,verbs,0.0
389,dieta,салат,nouns,0.55
390,słoma,псалом,nouns,0.0
391,akcja,курс,nouns,0.8
392,ratować,уничтожить,verbs,0.0
393,kość,локоть,nouns,1.05
394,przestrzegać,слушаться,verbs,3.05
395,śmiać się,хихикать,verbs,4.8
396,bekon,завтрак,nouns,0.95
397,wysypka,экзема,nouns,3.2
398,świeży,широкий,adjectives,0.05
399,zmartwić,обижать,verbs,2.55
400,obszar,регион,nouns,4.75
401,pokojowo,с гордостью,adverbs,0.0
402,świt,день,nouns,1.5
403,plaża,берег,nouns,2.95
404,celebrować,удивлять,verbs,0.3
405,ustalać,предсказывать,verbs,1.7
406,burza,туча,nouns,1.0
407,winny,честный,adjectives,0.0
408,mózg,нерв,nouns,0.85
409,pomyślny,пристыженный,adjectives,0.05
410,urazić,беспокоить,verbs,1.25
411,chłopiec,партнер,nouns,0.95
412,sąd,судья,nouns,1.65
413,syn,отец,nouns,1.0
414,ziemniak,масло,nouns,0.5
415,zanieczyszczenie,атмосфера,nouns,0.6
416,popularny,известный,adjectives,4.75
417,partner,парень,nouns,2.25
418,ściana,замок,nouns,0.3
419,monokultura,сельское хозяйство,nouns,1.1
420,krzesło,кровать,nouns,0.25
421,biolog,микроскоп,nouns,0.9
422,siostrzeniec,тетя,nouns,0.85
423,zaułek,улица,nouns,2.95
424,łóżko,кушетка,nouns,3.85
425,dać,получать,verbs,0.25
426,długi,короткий,adjectives,0.05
427,pszenica,злак,nouns,3.75
428,fantazja,реальность,nouns,0.25
429,rzeczywistość,фантазия,nouns,0.25
430,brat,сестра,nouns,1.05
431,dziura,жена,nouns,0.0
432,rozpuszczać,смешивать,verbs,1.55
433,źródło,коробка,nouns,0.0
434,słoń,динозавр,nouns,0.5
435,rozumieć,знать,verbs,2.0
436,konwersja,высота,nouns,0.2
437,gotowany,кипячёный,adjectives,3.2
438,wyjście,избирательное право,nouns,0.05
439,piwo,напиток,nouns,2.65
440,samochód,такси,nouns,3.15
441,opakowanie,убежище,nouns,0.15
442,dziecko,девочка,nouns,1.35
443,gotować,жарить,verbs,1.95
444,aluminium,металл,nouns,2.1
445,arcybiskup,епископ,nouns,2.35
446,niszczyć,строить,verbs,0.0
447,miska,тарелка,nouns,3.2
448,biskup,мусульман,nouns,0.2
449,tłum,орава,nouns,3.85
450,tapeta,фон,nouns,2.55
451,ogień,апокалипсис,nouns,1.1
452,przeciętny,обычный,adjectives,2.65
453,tępy,сообразительный,adjectives,0.15
454,nos,голова,nouns,0.85
455,armia,отряд,nouns,2.35
456,pistolet,рассвет,nouns,0.0
457,polityk,полицейский,nouns,0.15
458,wiedzieć,давать,verbs,0.3
459,zegarek,юбка,nouns,0.15
460,iluzja,реальность,nouns,0.4
461,narzędzie,работа,nouns,0.75
462,kolano,рука,nouns,0.65
463,żołądek,талия,nouns,0.35
464,kwestarz,event,nouns,0.75
465,warga,бедро,nouns,0.4
466,okazja,пенни,nouns,0.15
467,brandy,вино,nouns,1.35
468,język ,мускул,nouns,1.05
469,mężczyźni,братство,nouns,0.75
470,ser,хлеб,nouns,0.25
471,zima,лето,nouns,0.6
472,smażyć,печь,verbs,2.05
473,bezradny,ранимый,adjectives,1.25
474,oceniać,отмечать,verbs,1.5
475,zaniedbać,отрекаться,verbs,0.6
476,ruchomy,гибкий,adjectives,1.3
477,powieść się,проваливать,verbs,0.0
478,ostrzegać,останавливаться,verbs,0.35
479,korzeń,трава,nouns,0.55
480,erodować,увядать,verbs,0.65
481,potężny,мощный,adjectives,4.1
482,cukierek,корица,nouns,0.25
483,rodzic,отец,nouns,4.45
484,uczeń,учащийся,nouns,4.95
485,chichotać,смеяться,verbs,4.8
486,iść,позволять,verbs,0.2
487,niepotrzebny,необходимый,adjectives,0.05
488,zdać sobie sprawę,обнаруживать,verbs,3.35
489,struś,плодовый сад,nouns,0.0
490,chronić,отстаивать,verbs,4.6
491,pozostać,достигать,verbs,0.0
492,wino,спиртное,nouns,3.05
493,kobieta,мех,nouns,0.2
494,czekolada,пирог,nouns,0.6
495,rozpuszczać,плавиться,verbs,2.6
496,cent,народ,nouns,0.05
497,robić,строить,verbs,3.3
498,kiedykolwiek,иногда,adverbs,0.7
499,tworzyć,нырять,verbs,0.0
500,kawałek,аэропорт,nouns,0.0
501,oszczędność,бережливый человек,nouns,0.95
502,zgadywać,раздражать,verbs,0.15
503,drukować,игнорировать,verbs,0.0
504,normalnie,ненормально,adverbs,0.0
505,giętki,эластичный,adjectives,4.75
506,duży,тяжелый,adjectives,1.45
507,dorosły,незрелый,adjectives,0.05
508,płatność,гонорар,nouns,4.55
509,kumpel,друг,nouns,4.2
510,wychodzić,появляться,verbs,0.3
511,klasa,колледж,nouns,0.75
512,sesja,пациент,nouns,0.15
513,ponowny pochówek,гробница,nouns,1.6
514,posiąść,брать,verbs,2.5
515,radykalny,агрессивный,adjectives,1.55
516,kot,собака,nouns,0.25
517,truskawka,вишня,nouns,1.55
518,straszny,плохой,adjectives,3.6
519,mięso,хлеб,nouns,0.2
520,dywan,дом,nouns,0.5
521,szkwał,ветер,nouns,3.65
522,szef,директор,nouns,4.8
523,inny,обычный,adjectives,0.15
524,pudełko,лифт,nouns,0.45
525,dojrzały,изысканный,adjectives,0.95
526,dyskretnie,вежливо,adverbs,1.0
527,oskarżać,осуждать,verbs,4.4
528,monarchia,демократия,nouns,0.35
529,wanna,шалость,nouns,0.0
530,symbol,криптограмма,nouns,2.7
531,koń,бык,nouns,1.15
532,jabłko,солнце,nouns,0.05
533,pułkownik,дантист,nouns,0.0
534,skakanie,забор,nouns,0.4
535,kostium,бал,nouns,0.7
536,trzewia,хладнокровие,nouns,1.15
537,pożyczać,нищенствовать,verbs,0.75
538,pasywnie,активно,adverbs,0.1
539,racjonalny,трезвый,adjectives,2.9
540,przyznawać,отрицать,verbs,0.05
541,realistycznie,идеально,adverbs,0.65
542,przyłączyć się,участвовать,verbs,1.75
543,robotyka,симуляция,nouns,0.9
544,pogorszyć się,протирать,verbs,0.2
545,kostka,локоть,nouns,0.65
546,pilnie,быстро,adverbs,3.9
547,niepewny,гневный,adjectives,0.2
548,więzienie,выбор,nouns,0.05
549,tworzyć,строить,verbs,3.8
550,długi,узкий,adjectives,0.25
551,weksylologia,флаг,nouns,1.15
552,próbować,убеждать,verbs,0.9
553,kraść,брать,verbs,0.85
554,dać,занимать,verbs,1.6
555,unia,сумма,nouns,1.35
556,sekunda,минута,nouns,1.0
557,ogar,лиса,nouns,0.25
558,słyszeć,воспринимать,verbs,1.05
559,pożyczać,хотеть,verbs,0.25
560,wieczerza,трапеза,nouns,3.85
561,piwo,шампанское,nouns,1.25
562,nudny,захватывающий,adjectives,0.05
563,koc,шторм,nouns,0.0
564,szyja,кость,nouns,0.4
565,ręka,палец,nouns,1.2
566,mżawka,дождь,nouns,3.95
567,zachowywać się,подчиняться,verbs,3.05
568,prorok,священник,nouns,0.7
569,bok,низ,nouns,0.4
570,płacić,лечить,verbs,0.3
571,ortodonta,врач,nouns,2.8
572,niemoralny,плохой,adjectives,2.65
573,pojmować,сжимать,verbs,0.7
574,wyrażać,сказать,verbs,3.05
575,elastyczny,гибкий,adjectives,4.75
576,rozzłoszczony,счастливый,adjectives,0.05
577,artykuł,журнал,nouns,1.35
578,balon,народ,nouns,0.05
579,mieszkanie,мебель,nouns,0.75
580,agonia,горе,nouns,1.15
581,żyła,выбор,nouns,0.0
582,kobieta,джинсы,nouns,0.15
583,kierownictwo,работа,nouns,1.05
584,kula,мяч,nouns,2.1
585,najwyraźniej,очевидно,adverbs,3.15
586,zabić,защищать,verbs,0.15
587,osiągnąć,пытаться,verbs,1.1
588,pies,кошка,nouns,0.25
589,potajemnie,уверенно,adverbs,0.0
590,rękodzieło,традиция,nouns,0.35
591,śmiały,гордый,adjectives,1.35
592,stodoła,дом,nouns,0.8
593,zachód słońca,строка,nouns,0.0
594,symbol,знак,nouns,5.1
595,zły,безнравственный,adjectives,2.65
596,okrutny,милый,adjectives,0.0
597,sos,яблоко,nouns,0.55
598,zatrzymywać,контролировать,verbs,0.5
599,moda,форма,nouns,0.4
600,obecnie,на днях,adverbs,0.4
601,piwo,алкоголь,nouns,2.9
602,wesoły,счастливый,adjectives,4.5
603,akceptować,получать,verbs,2.35
604,ulica,переулок,nouns,2.95
605,miasto,городок,nouns,3.65
606,inny,противолежащий,adjectives,1.4
607,sól,вода,nouns,0.5
608,przyjaciel,приятель,nouns,4.2
609,otrzymywać,давать,verbs,0.25
610,zdrowy,известный,adjectives,0.15
611,gość,друг,nouns,1.2
612,znaleźć,приобретать,verbs,1.15
613,skrzypce,гитара,nouns,1.2
614,płachta,самолет,nouns,0.25
615,chodzić,стоять,verbs,0.1
616,rozmiar,величина,nouns,4.95
617,arogancki,гордый,adjectives,2.45
618,stek,курятина,nouns,0.95
619,sad,страус,nouns,0.0
620,zniechęcać,огорчать,verbs,0.7
621,wieżowiec,дворец,nouns,0.95
622,obcokrajowiec,переводчик,nouns,0.55
623,kostka,окно,nouns,0.0
624,udusić,жечь,verbs,0.1
625,neuroza,разум,nouns,0.4
626,robotnik,работодатель,nouns,0.8
627,zamek,стена,nouns,0.3
628,siewka,лист,nouns,0.55
629,wygięty,агрессивный,adjectives,0.0
630,nie zgadzać się,бороться,verbs,1.25
631,teleskop,мозговой штурм,nouns,0.0
632,brudny,липкий,adjectives,1.75
633,postrzegać,слышать,verbs,1.05
634,dziwny,обычный,adjectives,0.05
635,asystować,помогать,verbs,4.75
636,brać,красть,verbs,0.85
637,nierozsądnie,несправедливо,adverbs,1.55
638,pasywnie,молча,adverbs,1.3
639,nieprzewidziany,неожиданный,adjectives,5.35
640,pszczoła,матка,nouns,1.05
641,działo,ружье,nouns,1.7
642,trawa,корень,nouns,0.55
643,mechanicznie,идеально,adverbs,0.35
644,argumentować,подтверждать,verbs,3.95
645,sędzia,суд,nouns,1.65
646,czekać,покидать,verbs,0.1
647,mgła,облако,nouns,1.65
648,krytyka,спор,nouns,1.05
649,dwukrotnie,всегда,adverbs,0.1
650,mieszkanie,дом,nouns,4.5
651,pojemnik,мышь,nouns,0.05
652,fonologia,экран,nouns,0.0
653,śmierdzieć,портить,verbs,0.6
654,kalendarz,праздник,nouns,0.9
655,sylabus,экзамен,nouns,0.4
656,nabyć,объединяться,verbs,0.2
657,leniwy,занятый,adjectives,0.05
658,szeroki,узкий,adjectives,0.05
659,niezły,посредственный,adjectives,0.45
660,chmura,окно,nouns,0.2
661,szklanka,значок,nouns,0.05
662,słoma,жена,nouns,0.0
663,podróż,завование,nouns,0.3
664,kuchnia,ванная,nouns,0.65
665,walczyć,противоречить,verbs,1.25
666,chcieć,занимать,verbs,0.25
667,pierścień,помолвка,nouns,1.0
668,marynarka,армия,nouns,3.0
669,aparat,работник,nouns,0.4
670,topić,спасти,verbs,0.05
671,szeptać,говорить,verbs,1.7
672,infekcja,сгибание,nouns,0.05
673,bractwo,дверь,nouns,0.05
674,ofiara,бог,nouns,0.15
675,budynek,комната,nouns,0.85
676,tsunami,море,nouns,0.8
677,władca,король,nouns,4.75
678,krew,тело,nouns,0.7
679,jutro,сегодня ночью,adverbs,0.2
680,zajęty,ленивый,adjectives,0.05
681,otrzymywać,ловить,verbs,0.45
682,jaszczurka,змея,nouns,0.8
683,facet,товарищ,nouns,2.25
684,diagram,график,nouns,4.35
685,idealnie,механически,adverbs,0.35
686,niechlujny,чистый,adjectives,0.0
687,autor,создатель,nouns,5.2
688,stracić,получать,verbs,0.0
689,mężczyzna,подозреваемый,nouns,0.35
690,wichura,покрывало,nouns,0.0
691,owies,поле,nouns,1.1
692,system,вина,nouns,0.1
693,telefon,будка,nouns,1.1
694,akceptować,рекомендовать,verbs,0.45
695,flet,музыка,nouns,0.8
696,mnich,крест,nouns,0.95
697,kokpit,штурман,nouns,0.3
698,rytm,каденция,nouns,0.7
699,brat,сын,nouns,0.85
700,szyja,рука,nouns,0.5
701,lokalnie,очевидно,adverbs,0.0
702,bezradny,нуждающийся,adjectives,2.45
703,piłka,волейбол,nouns,1.3
704,książka,тема,nouns,0.57
705,wytrzymałość,сила,nouns,2.7
706,obfitość,множество,nouns,4.6
707,czołowy,пятый,adjectives,0.0
708,karać,учить,verbs,0.0
709,cal,ярд,nouns,1.2
710,triumf,победа,nouns,5.35
711,notebook,лаптоп,nouns,5.2
712,morze,цунами,nouns,0.8
713,rafa,пляж,nouns,0.7
714,wiadomości,носитель,nouns,0.8
715,język,щека,nouns,0.8
716,płatność,монета,nouns,1.45
717,nawóz,развитие,nouns,0.4
718,niezależnie,ответственно,adverbs,0.4
719,niegrzeczny,громкий,adjectives,1.1
720,wyobrażać sobie,притворяться,verbs,2.05
721,handlować,продавать,verbs,5.1
722,sufit,пол,nouns,0.35
723,chory,сумасшедший,adjectives,1.85
724,polano,древесина,nouns,3.45
725,prezydent,ученик,nouns,0.15
726,zapominać,узнавать,verbs,0.1
