ID,EST,SPA,PoS,score
94,intelligentne,listo,adjectives,5.15
95,lennuk,hoja,nouns,0.15
96,jard,metro,nouns,1.95
97,tõstatama,levantar,verbs,1.55
98,alluma,escuchar,verbs,0.9
99,putukamürk,parásito,nouns,0.8
100,suruma,lanzar,verbs,0.3
101,niit,ovillo,nouns,2.25
102,laenama,vender,verbs,0.5
103,käsikiri,libro,nouns,2.85
104,hütt,abrigo,nouns,0.7
105,ümberlõikus,prepucio,nouns,1.7
106,biograafia,ficción,nouns,1.1
107,valetama,negar,verbs,1.2
108,näima,volverse,verbs,0.45
109,kaotama,mantener,verbs,0.25
110,välja vihastama,asaltar,verbs,1.15
111,vihane,feliz,adjectives,0.25
112,magma,volcán,nouns,1.9
113,rahulikult,sutilmente,adverbs,1.9
114,raha,perla,nouns,0.75
115,kalts,ropa,nouns,1.95
116,tervitama,reunirse,verbs,1.05
117,luu,brazo,nouns,1.1
118,torm,huracán,nouns,3.4
119,muusika,flauta,nouns,1.45
120,miljardär,indigente,nouns,0.5
121,hoidma,pedir prestado,verbs,0.35
122,klaaspurk,vaso,nouns,1.75
123,ühinema,añadir,verbs,2.25
124,päästma,proteger,verbs,2.4
125,uks,pasillo,nouns,1.1
126,kast,fuente,nouns,0.1
127,pall,voleibol,nouns,1.75
128,taotlema,mirar,verbs,1.8
129,riis,pollo,nouns,0.65
130,vildakas,curvo,adjectives,4.0
131,jalg,arena,nouns,0.25
132,luu,cuello,nouns,0.6
133,informatsioon,entropía,nouns,1.15
134,pink,silla,nouns,3.7
135,näpistama,dar un puñetazo,verbs,0.95
136,loll,inteligente,adjectives,0.65
137,süüa tegema,perder,verbs,0.05
138,jõukus,pobreza,nouns,0.5
139,hukka mõistma,rechazar,verbs,1.55
140,kuluma,permitir,verbs,0.1
141,ilmuma,salir,verbs,0.5
142,ilm,nube,nouns,1.1
143,orkester,desfile,nouns,1.45
144,uurima,perseguir,verbs,1.15
145,väljuma,separar,verbs,0.45
146,õppima,absorber,verbs,1.25
147,relv,gente,nouns,0.1
148,aken,tobillo,nouns,0.05
149,lumelaud,esquí,nouns,2.35
150,halb,horrible,adjectives,2.6
151,tee,autopista,nouns,4.2
152,vaenlaseks tegema,irritar,verbs,1.25
153,kaval,extraño,adjectives,0.65
154,lõug,hueso,nouns,1.05
155,realistlikult,recientemente,adverbs,0.15
156,naljakas,triste,adjectives,0.4
157,bänd,orquesta,nouns,3.8
158,majandus,ecosistema,nouns,0.8
159,meri,océano,nouns,3.65
160,teadustama,anunciar,verbs,3.65
161,juhtkond,trabajo,nouns,1.45
162,aktsepeerima,negar,verbs,0.2
163,tõlge,extranjero,nouns,0.75
164,kukkuma,herir,verbs,1.3
165,kutt,pareja,nouns,1.5
166,kummaline,raro,adjectives,5.55
167,meri,tsunami,nouns,1.55
168,täht,asteroide,nouns,2.45
169,riie,lino,nouns,2.7
170,bänd,espíritu,nouns,0.55
171,kindlalt,definitivamente,adverbs,3.95
172,tegema,volverse,verbs,0.95
173,õun,limón,nouns,0.8
174,gravitatsioon,meteorito,nouns,1.1
175,palk,bañera,nouns,0.0
176,emaplaat,placa base,nouns,2.8
177,au,estima,nouns,2.2
178,arst,doctor,nouns,5.15
179,film,película,nouns,5.35
180,kell,puerta,nouns,0.35
181,ülesanne,autopista,nouns,0.15
182,lõvi,gato,nouns,1.5
183,sein,ladrillo,nouns,1.25
184,vedur,motor,nouns,1.55
185,kleepuv,mojado,adjectives,1.3
186,süntaks,palabra principal,nouns,0.95
187,ülevõim,omnipotencia,nouns,2.95
188,katma,disfrazar,verbs,1.9
189,rünnak,delito,nouns,2.0
190,arvamus,creencia,nouns,3.05
191,liikumine,actividad,nouns,2.8
192,vastu võtma,rechazar,verbs,0.4
193,mesilane,reina,nouns,0.8
194,nutitelefon,piña,nouns,0.05
195,ajaleht,información,nouns,1.75
196,laenama,deber,verbs,0.75
197,kotkas,halcón,nouns,2.1
198,vesi,coronación,nouns,0.1
199,dekoratsioon,pared,nouns,0.9
200,täielikult,básicamente,adverbs,1.6
201,madrus,capitán,nouns,1.4
202,tagasihoidlik,flexible,adjectives,0.5
203,kõri,lengua,nouns,1.15
204,linnapea,presidente,nouns,1.7
205,komm,canela,nouns,0.8
206,elustiil,civilización,nouns,1.1
207,kole,crudo,adjectives,0.6
208,lõpetama,resolver,verbs,2.95
209,surmavalt,principalmente,adverbs,0.2
210,liha,pan,nouns,0.6
211,abielluma,involucrarse,verbs,1.2
212,male,comprobar,nouns,0.85
213,merevägi,isla,nouns,0.4
214,rahulikult,firmemente,adverbs,0.7
215,tass,cono,nouns,0.9
216,tagasihoidlikult,orgullosamente,adverbs,0.35
217,saar,princesa,nouns,0.05
218,tool,taburete,nouns,3.6
219,seaduslik,ilegal,adjectives,0.45
220,tooma,restaurar,verbs,0.15
221,hoone,habitación,nouns,1.25
222,teadma,comprender,verbs,3.05
223,patune,smo,nouns,0.4
224,refrään,cantante,nouns,1.55
225,lisama,separar,verbs,0.2
226,poliitik,presidente,nouns,2.75
227,tihti,raramente,adverbs,0.7
228,suur,flexible,adjectives,0.2
229,õun,dieta,nouns,0.75
230,hauakamber,renacimiento,nouns,0.65
231,keeglimängija,bolos,nouns,1.8
232,tavaline,mundano,adjectives,4.45
233,jooksja,atleta,nouns,3.0
234,looja,fabricante,nouns,3.75
235,jalg,cabeza,nouns,0.7
236,vastu võtma,recomendar,verbs,0.65
237,nisu,cereal,nouns,2.5
238,vägivaldne,suave,adjectives,0.1
239,riistvara,caso,nouns,0.5
240,essee,libro,nouns,1.5
241,müüma,pedir prestado,verbs,0.5
242,perv,montaña,nouns,0.75
243,kaamera,obrero,nouns,0.1
244,kiirustama,apurarse,verbs,5.05
245,valik,cárcel,nouns,0.35
246,pehmelt,ruidosamente,adverbs,0.15
247,kaer,campo,nouns,1.15
248,sisenev,saliente,adjectives,0.45
249,vibukütt,pionero,nouns,0.7
250,brändi,vino,nouns,1.65
251,tooma,venir,verbs,0.8
252,naarits,petróleo,nouns,0.25
253,tegelane,persona,nouns,2.65
254,tapma,defender,verbs,0.5
255,kõrgus,conversión,nouns,0.45
256,edu saavutama,lograr,verbs,4.35
257,tõestama,explicar,verbs,2.35
258,rahvas,población,nouns,3.35
259,segama,beber,verbs,0.6
260,jooma,aumentar,verbs,0.4
261,näitleja,actriz,nouns,4.35
262,tipp,lado,nouns,1.05
263,auto,bicicleta,nouns,0.85
264,kokkulepe,discusión,nouns,1.1
265,ärritunud,avergonzado,adjectives,0.45
266,silp,lema,nouns,0.95
267,jaanalind,huerta,nouns,0.2
268,lisama,dividir,verbs,0.3
269,kalkun,pájaro,nouns,2.45
270,ebanormaalselt,normalmente,adverbs,0.4
271,puit,manta,nouns,0.1
272,avastama,darse cuenta de,verbs,3.95
273,munk,sacerdote,nouns,2.65
274,jäik,áspero,adjectives,1.2
275,joonistus,alboroto,nouns,0.1
276,tuba,edificio,nouns,1.25
277,jahtima,buscar,verbs,1.95
278,laskma,permitir,verbs,4.35
279,luuletus,ritmo,nouns,1.15
280,kohtuma,nadar,verbs,0.0
281,seade,maceta,nouns,0.3
282,karp,programa informático,nouns,0.5
283,toetaja,grillo,nouns,0.0
284,keel,comunicación,nouns,1.85
285,aluspesu,cuerpo,nouns,0.7
286,pehmelt,firmemente,adverbs,0.45
287,toll,patio,nouns,0.65
288,küllus,mucho,nouns,4.7
289,diplomaatia,negociación,nouns,2.9
290,saama,aparecer,verbs,0.8
291,võmm,sheriff,nouns,3.6
292,sulgema,vomitar,verbs,0.0
293,deemon,monstruo,nouns,3.5
294,süsivesik,sacarosa,nouns,2.5
295,võtma,entregar,verbs,0.8
296,linateos,filme,nouns,5.35
297,määr,valor,nouns,2.5
298,loogika,inteligencia,nouns,2.85
299,mehaaniliselt,idealmente,adverbs,0.3
300,kuul,cañón,nouns,0.9
301,lühike,largo,adjectives,0.35
302,räpane,estrecho,adjectives,0.25
303,andestama,entender,verbs,1.65
304,märk,vaso,nouns,0.5
305,leedi,hidalgo,nouns,0.95
306,vähendama,empapar,verbs,0.25
307,pall,cesta,nouns,0.55
308,madu,lagartija,nouns,1.6
309,kaaspiloot,cabina,nouns,0.9
310,aktsepteerima,creer,verbs,1.4
311,rohumaa,prado,nouns,4.6
312,muusika,melodía,nouns,3.45
313,kuninganna,abeja,nouns,0.8
314,eitama,mentir,verbs,1.2
315,lihas,lengua,nouns,1.4
316,tuginema,depender,verbs,2.45
317,patoloogia,hematología,nouns,1.45
318,seltskondlik,bonito,adjectives,1.1
319,suur,fácil,adjectives,0.1
320,tsunaami,mar,nouns,1.55
321,rahvas,globo,nouns,0.35
322,heidutama,frustrar,verbs,3.2
323,korraldama,recoger,verbs,0.9
324,koostööd tegema,participar,verbs,3.5
325,sümbol,código,nouns,2.05
326,tseremoonia,celebracion,nouns,3.8
327,mugul,flor,nouns,1.1
328,oluline,necesario,adjectives,4.2
329,iil,manta,nouns,0.3
330,ustavalt,honestamente,adverbs,2.85
331,tava,regla,nouns,2.85
332,lubama,erosionar,verbs,0.1
333,peapiiskop,obispo,nouns,3.45
334,poiss,pareja,nouns,1.05
335,mull,jabonaduras,nouns,2.05
336,õun,jugo,nouns,1.35
337,viisa,globalismo,nouns,0.9
338,loodus,flora,nouns,2.55
339,kinematograafia,director,nouns,1.75
340,juhtkiri,noticias,nouns,1.3
341,autor,lector,nouns,0.9
342,noor,inquieto,adjectives,0.65
343,pottsepatöö,cerámico,nouns,4.15
344,vältima,ignorar,verbs,3.85
345,rahul,enfadado,adjectives,0.4
346,andma,mantener,verbs,0.6
347,illustratsioon,ampolla,nouns,0.05
348,stiil,elegancia,nouns,3.65
349,võõras,traductor,nouns,0.75
350,rind,cuerpo,nouns,1.5
351,eitama,aceptar,verbs,0.2
352,otsustamata,neutral,adjectives,1.6
353,ignoreerima,pedir,verbs,0.2
354,saama,captura,verbs,1.0
355,lennuseadmeteadus,aeronáutica,nouns,3.0
356,kätte toimetama,llevar,verbs,2.15
357,maasikas,cereza,nouns,1.25
358,sassis,feo,adjectives,1.15
359,liha,tocino,nouns,2.2
360,haiget tegema,caer,verbs,1.3
361,vaidlus,conversación,nouns,2.85
362,härrasmees,dama,nouns,0.95
363,auto,cuerno,nouns,0.5
364,heegeldus,uniforme,nouns,0.35
365,valima,recoger,verbs,2.0
366,laenama,mendigar,verbs,1.55
367,koridor,puerta,nouns,1.1
368,üllatama,celebrar,verbs,0.85
369,klubi,marca,nouns,0.8
370,põllumajandus,monocultivo,nouns,1.45
371,sinine,rojo,adjectives,0.5
372,naljakas,aburrido,adjectives,0.15
373,rakett,ruido,nouns,0.6
374,laskuma,disminución,verbs,1.85
375,näitlejanna,actor,nouns,4.35
376,tark,inteligente,adjectives,5.15
377,hindama,evaluar,verbs,4.5
378,hambaarst,ortodoncista,nouns,4.4
379,õnnelikult,activamente,adverbs,0.85
380,tuginema,fallar,verbs,0.1
381,tegema,ocurrir,verbs,0.75
382,korraldama,exigir,verbs,0.5
383,õnnelik,contento,adjectives,4.0
384,šampus,whisky,nouns,1.15
385,kokku põrkama,aplastar,verbs,1.2
386,tormama,darse prisa,verbs,5.05
387,buss,taxi,nouns,1.8
388,looja,autor,nouns,5.3
389,süsinik,átomo,nouns,1.3
390,vajalik,innecesario,adjectives,0.35
391,tütar,bebé,nouns,2.2
392,segadusse ajama,aprender,verbs,0.4
393,suund,estómago,nouns,0.1
394,ütlema,participar,verbs,0.95
395,mood,estilo,nouns,3.95
396,buss,vehículo,nouns,2.4
397,rahulikult,pacíficamente,adverbs,4.35
398,elektriline,mecánico,adjectives,0.95
399,müts,caja,nouns,0.3
400,paindlik,elástico,adjectives,4.25
401,kontrollima,investigar,verbs,3.7
402,pihk,dedo,nouns,0.75
403,relv,cuaderno,nouns,0.05
404,lisama,unirse,verbs,2.25
405,arendus,recaudación de fondos,nouns,0.65
406,tolmukas,polinización,nouns,1.4
407,tuli,ajedrez,nouns,0.85
408,tavaline,increíble,adjectives,0.4
409,teispoolsus,purgatorio,nouns,1.85
410,vara,valores,nouns,2.75
411,kissitama,deslumbrar,verbs,0.9
412,tõld,vagón,nouns,2.3
413,palk,dinero,nouns,3.55
414,president,contaminación,nouns,0.3
415,üksildane,pobre,adjectives,0.5
416,lapsik,tonto,adjectives,1.9
417,lill,bulbo,nouns,1.1
418,julm,duro,adjectives,3.3
419,nüri,gracioso,adjectives,0.15
420,ruut,mapa,nouns,0.45
421,trikk,pistola,nouns,0.3
422,sõna,literatura,nouns,2.0
423,teekond,viaje,nouns,4.2
424,saba,cuenco,nouns,0.1
425,kontor,obrero,nouns,0.45
426,tool,sofá,nouns,2.15
427,põlgama,odiar,verbs,4.2
428,ootama,permanecer,verbs,1.7
429,ilmne,obvio,adjectives,4.35
430,siiralt,generalmente,adverbs,0.9
431,äädikas,ensalada,nouns,0.8
432,piiskop,arzobispo,nouns,3.45
433,eneseväärikus,insignias,nouns,0.25
434,eesmärk,búsqueda,nouns,1.35
435,piibel,himno,nouns,0.35
436,halb,genial,adjectives,0.2
437,tekk,bote,nouns,0.8
438,univesum,cielo,nouns,1.5
439,muutmine,altitud,nouns,0.45
440,ookean,mar,nouns,3.65
441,lehm,cabra,nouns,1.2
442,uskumus,opinión,nouns,3.05
443,paluma,pedir prestado,verbs,1.55
444,mõis,escultor,nouns,0.45
445,sportlane,corredor,nouns,3.0
446,ministeerium,sultán,nouns,0.3
447,noor,feliz,adjectives,0.45
448,kolb,motor,nouns,1.95
449,kaklema,matar,verbs,0.75
450,süsteem,culpa,nouns,0.4
451,rahe,lluvia,nouns,1.85
452,põhi,parte superior,nouns,0.55
453,dieet,ensalada,nouns,0.95
454,vallutus,viaje,nouns,0.9
455,kutt,semental,nouns,1.05
456,tüütama,ofender,verbs,1.15
457,eitama,admitir,verbs,0.45
458,film,teatro,nouns,1.0
459,liblikas,rosa,nouns,0.35
460,juhtkang,radar,nouns,0.4
461,põllumajandus,planta,nouns,1.15
462,sisalik,gobierno,nouns,0.0
463,lõpetama,terminar,verbs,1.7
464,uks,portal,nouns,2.7
465,stressis,relajado,adjectives,0.4
466,lahkuma,aparecer,verbs,0.5
467,elajas,animal,nouns,4.5
468,kandma,tomar,verbs,0.9
469,valuuta,concurrencia,nouns,0.2
470,soetama,robar,verbs,0.6
471,abikaasa (naine),cañita,nouns,0.15
472,kõri,nariz,nouns,0.9
473,turvama,proteger,verbs,4.8
474,definitisioon,diccionario,nouns,2.25
475,ignoreerima,evitar,verbs,3.85
476,täkkvarss,caballo,nouns,3.1
477,ausalt,sinceramente,adverbs,4.95
478,organiseerima,volverse,verbs,0.45
479,vabastama,captura,verbs,0.6
480,peatükk,episodio,nouns,4.6
481,kaneel,caramelo,nouns,0.8
482,kaetud,descubierto,adjectives,0.35
483,ebaviisakas,crítico,adjectives,1.05
484,sõltuma,confiar,verbs,2.45
485,paber,cartulina,nouns,3.15
486,alustama,dejar,verbs,0.4
487,lina,tela,nouns,2.7
488,klaas,placa,nouns,0.5
489,imiteerima,capturar,verbs,0.65
490,relv,amanecer,nouns,0.05
491,massivne,astronómico,adjectives,2.0
492,naine,piel,nouns,0.35
493,kauss,plato,nouns,2.4
494,kritseldama,escribir,verbs,1.95
495,rääkima,susurrar,verbs,1.85
496,ennustama,suponer,verbs,2.4
497,palee,rascacielos,nouns,0.9
498,lift,coche,nouns,0.5
499,oht,enfermedad,nouns,0.75
500,vana,nuevo,adjectives,0.45
501,pikk,estrecho,adjectives,0.6
502,kinnitama,justificar,verbs,1.65
503,soodne,barato,adjectives,5.1
504,sõdur,paz,nouns,0.35
505,ajakiri,artículo,nouns,1.65
506,tapma,destruir,verbs,2.25
507,õhtusöök,desayuno,nouns,1.5
508,ala,esquina,nouns,0.55
509,kerge,difícil,adjectives,0.4
510,laenaja,crédito,nouns,2.05
511,vaikselt,naturalmente,adverbs,1.15
512,piim,jugo,nouns,0.85
513,lämmatama,abrazar,verbs,0.7
514,meeter,yarda,nouns,1.95
515,peatama,esperar,verbs,2.15
516,rahvas,partido,nouns,0.85
517,auto,tanque,nouns,0.8
518,naine,secretario,nouns,0.85
519,tooma,quejar,verbs,0.05
520,tagasihoidlik,puro,adjectives,0.85
521,jälitama,perseguir,verbs,4.15
522,hüpotees,teoría,nouns,3.2
523,raamat,tema,nouns,0.85
524,kalender,fecha,nouns,1.8
525,selgitama,explicar,verbs,4.6
526,tüssama,hacer trampas,verbs,4.55
527,kohtuma,saludar,verbs,1.05
528,televisioon,guionista,nouns,1.15
529,järgima,persuadir,verbs,0.35
530,peatuma,conducir,verbs,0.6
531,kohtunik,corte,nouns,1.25
532,luu,músculo,nouns,1.0
533,tähendusrikkalt,especialmente,adverbs,2.0
534,vajama,organizar,verbs,0.5
535,veiseliha,carne,nouns,3.45
536,vastupidavus,banda,nouns,0.2
537,üdi,sangre,nouns,1.25
538,tegema,construir,verbs,3.1
539,ebamoraalne,malo,adjectives,2.95
540,sulama,disolver,verbs,1.95
541,mulje,creencia,nouns,1.85
542,lihtne,fácil,adjectives,4.4
543,munk,cruzar,nouns,0.55
544,vaesus,riqueza,nouns,0.5
545,paluma,pedir,verbs,3.05
546,voodi,habitación,nouns,1.2
547,lõik,carta,nouns,0.75
548,kurb,gracioso,adjectives,0.4
549,president,político,nouns,2.75
550,mõistma,perdonar,verbs,1.65
551,andma,poner,verbs,0.9
552,tööstus,negocio,nouns,2.6
553,onu,hombre,nouns,2.2
554,täielikult,ligeramente,adverbs,0.65
555,omama,absorber,verbs,0.95
556,klatš,noticias,nouns,2.15
557,kohane,cortés,adjectives,3.25
558,eitamine,confesión,nouns,1.1
559,lind,pavo,nouns,2.45
560,nädalavahetus,semana,nouns,1.8
561,kõrb,duna,nouns,1.95
562,uurima,mirar,verbs,3.75
563,lugema,comprender,verbs,1.25
564,päev,amanecer,nouns,2.1
565,põõsas,flor,nouns,1.75
566,filosoof,carreras,nouns,0.15
567,maja,llave,nouns,0.8
568,haiget tegema,atacar,verbs,2.55
569,mees,tío,nouns,2.2
570,haiget tegema,enfadar,verbs,1.55
571,otsustama,retratar,verbs,0.5
572,uks,cocina,nouns,0.6
573,rakendus,galaxia,nouns,0.2
574,käsi,vena,nouns,0.65
575,õnnelik,enfadado,adjectives,0.95
576,andma,permitir,verbs,1.65
577,miljonär,dólar,nouns,1.0
578,leidma,buscar,verbs,1.25
579,jõgi,mar,nouns,2.0
580,tütar,niño,nouns,0.7
581,sein,decoración,nouns,0.9
582,kool,grado,nouns,1.55
583,helde,simpático,adjectives,2.3
584,seisund,situación,nouns,4.0
585,kohalikult,obviamente,adverbs,0.05
586,vannituba,cocina,nouns,0.95
587,alkohol,brandy,nouns,2.1
588,president,cámara,nouns,0.65
589,sõna,diccionario,nouns,1.45
590,lõdvestunud,calma,adjectives,3.85
591,süüdistama,juzgar,verbs,2.95
592,ütlema,recordar,verbs,1.35
593,laager,cabina,nouns,1.1
594,lahkuma,permanecer,verbs,0.3
595,loom,persona,nouns,0.95
596,veider,normal,adjectives,0.4
597,murdma,agrietar,verbs,2.1
598,taldrik,cuenco,nouns,2.4
599,legend,moral,nouns,0.65
600,sild,tarjeta,nouns,0.15
601,innovatiivne,creativo,adjectives,4.1
602,pöörane,alegre,adjectives,0.4
603,ökosüsteem,economía,nouns,0.8
604,lahkuma,entrar,verbs,0.3
605,veenma,tratar,verbs,1.5
606,ratsionaliseerima,discutir,verbs,1.6
607,lagunemine,factorización,nouns,1.15
608,defineerima,aclarar,verbs,3.85
609,koguma,organizar,verbs,0.9
610,optimistlikult,posiblemente,adverbs,1.2
611,autor,creador,nouns,5.3
612,aktsepteerima,estar de acuerdo,verbs,4.4
613,kohut mõistma,acusar,verbs,2.95
614,torn,campana,nouns,1.5
615,maatriks,molécula,nouns,0.55
616,halvenema,limpiar,verbs,0.25
617,saar,playa,nouns,1.5
618,kuningas,príncipe,nouns,2.05
619,meeleolu,emoción,nouns,3.55
620,pudel,tarro,nouns,2.4
621,õppekava,examen,nouns,0.75
622,õde,científico,nouns,0.3
623,häbenev,suerte,adjectives,0.05
624,vulkaan,magma,nouns,1.9
625,šerif,policía,nouns,3.6
626,säär,brazo,nouns,1.1
627,portreteerima,decidir,verbs,0.5
628,aktiivselt,pasivamente,adverbs,0.3
629,tabama,perder,verbs,0.5
630,köök,baño,nouns,0.95
631,õepoeg,tía,nouns,0.9
632,köök,puerta,nouns,0.6
633,raamat,manuscrito,nouns,2.85
634,huul,boca,nouns,2.3
635,rahutu,impaciente,adjectives,4.0
636,kahtlemata,seguramente,adverbs,3.95
637,diivan,cama,nouns,2.3
638,nõrk,poderoso,adjectives,0.25
639,võtma,llevar,verbs,0.9
640,maakera,mundo,nouns,3.25
641,osalema,decir,verbs,0.95
642,segama,montar,verbs,0.4
643,kaabel,capilla,nouns,0.0
644,taastama,reparar,verbs,4.2
645,kauss,cola,nouns,0.1
646,kinni püüdma,agarrar,verbs,3.8
647,kodutu,multimillonario,nouns,0.5
648,abiline,profesor,nouns,1.45
649,tass,tarro,nouns,1.75
650,ebakindel,necesitado,adjectives,1.2
651,aasta,siglo,nouns,1.45
652,umbes,seguramente,adverbs,0.75
653,teooria,teorema,nouns,3.2
654,raevukas,vacilante,adjectives,0.7
655,jäse,pierna,nouns,3.15
656,täna õhtul,mañana,adverbs,0.35
657,teater,película,nouns,1.0
658,kits,vaca,nouns,1.2
659,tormakas,ágil,adjectives,3.75
660,turvaline,tedioso,adjectives,0.3
661,riided,paño,nouns,1.95
662,põhiliselt,críticamente,adverbs,0.7
663,ausalt,nunca,adverbs,0.1
664,teavitama,retratar,verbs,0.4
665,seeme,mostaza,nouns,1.45
666,putukas,abeja,nouns,2.85
667,pärl,dinero,nouns,0.75
668,voodi,sofá,nouns,2.3
669,kallis,tímido,adjectives,0.25
670,basiilika,mosaico,nouns,0.55
671,heidutama,animar,verbs,0.2
672,leht,avión,nouns,0.15
673,jalg,miembro,nouns,3.15
674,õnnetus,catástrofe,nouns,3.9
675,nautima,odiar,verbs,0.1
676,korter,mueble,nouns,0.8
677,kiir,sol,nouns,1.4
678,vihje,palabra,nouns,0.45
679,leotama,reducir,verbs,0.25
680,paber,póster,nouns,1.75
681,vastu võtma,recibir,verbs,2.85
682,poiss,soldado,nouns,0.6
683,ebaküps,crecido,adjectives,0.45
684,käsi,hombro,nouns,1.2
685,mees,mujer,nouns,1.3
686,trumm,guitarra,nouns,1.0
687,kino,palomitas de maiz,nouns,1.6
688,rand,mar,nouns,2.65
689,normaalne,diferente,adjectives,0.5
690,kõver,agresivo,adjectives,0.25
691,kuulsus,riqueza,nouns,1.4
692,sviiter,algodón,nouns,0.9
693,katastroof,accidente,nouns,3.9
694,komm,manzana,nouns,0.6
695,pruut,princesa,nouns,1.3
696,saama,organizar,verbs,0.45
697,autopasun,coche,nouns,0.5
698,vann,globo,nouns,0.15
699,õun,salsa,nouns,0.5
700,andma,desconocer,verbs,0.2
701,valu,daño,nouns,2.1
702,kena,cruel,adjectives,0.05
703,kogunema,reunirse,verbs,2.8
704,aktsepteerima,reconocer,verbs,3.95
705,leidma,escapar,verbs,0.35
706,taganema,salir,verbs,2.6
707,vinge,malo,adjectives,0.1
708,nõustuma,discrepar,verbs,0.65
709,vektor,matriz,nouns,1.6
710,deemant,dinero,nouns,0.95
711,neutraalne,indeciso,adjectives,1.6
712,põhiseadus,senado,nouns,1.2
713,lõbu,fútbol,nouns,1.0
714,mugavus,seguridad,nouns,1.65
715,märkmik,ordenador portátil,nouns,0.65
716,lusikas,jugo,nouns,0.4
717,suvi,invierno,nouns,0.85
718,rass,fin de semana,nouns,0.0
719,sõber,huésped,nouns,1.8
720,ümber lükkama,permitir,verbs,0.25
721,kops,hígado,nouns,0.8
722,bronhiit,acetaminofeno,nouns,0.9
723,võitja,presencia,nouns,0.55
724,laenama,mantener,verbs,0.35
725,teenijanna,niña,nouns,1.15
726,puit,papel,nouns,1.25
727,nõu andma,recomendar,verbs,4.7
728,suruma,renunciar,verbs,0.5
729,värav,ganador,nouns,0.75
730,riided,botón,nouns,1.1
731,ühinema,adquirir,verbs,0.65
732,ärritama,herir,verbs,1.55
733,veri,cuerpo,nouns,0.9
