ID,CMN,SPA,PoS,score
344,漂移,fluir,verbs,1.25
345,无辜,gratis,adjectives,0.1
346,到达,salir,verbs,0.34
347,普通,extraño,adjectives,0.15
348,锥形蛋筒,vaso,nouns,1.06
349,过道,corredor,nouns,4.79
350,电视,actor,nouns,0.62
351,给,mantener,verbs,0.44
352,灾难,muerte,nouns,1.79
353,脏,estrecho,adjectives,0.0
354,击中,castigar,verbs,0.65
355,徽章,vaso,nouns,0.39
356,喉,lengua,nouns,0.96
357,非法,inmoral,adjectives,1.84
358,担心,malgastar,verbs,0.05
359,嫌疑人,hombre,nouns,0.48
360,面包,harina,nouns,1.42
361,有时,uniformemente,adverbs,0.1
362,树木,arce,nouns,3.98
363,保护,defender,verbs,4.5
364,立方体,dado,nouns,2.98
365,段,página,nouns,1.35
366,货币,concurrencia,nouns,0.2
367,男人,guerrero,nouns,0.73
368,原谅,entender,verbs,0.82
369,公共汽车,vehículo,nouns,2.75
370,准确地,activamente,adverbs,0.82
371,班级,universidad,nouns,0.84
372,肉,carne de vaca,nouns,3.77
373,小木屋,cabaña,nouns,2.12
374,疾病,peligro,nouns,0.63
375,大炮,pelota,nouns,0.2
376,门口,puerta,nouns,3.02
377,饮品,cerveza,nouns,2.22
378,交付,tomar,verbs,0.54
379,亲王国,ducado,nouns,1.98
380,身体,espina,nouns,0.98
381,忽略,salir,verbs,0.33
382,枪,gente,nouns,0.05
383,收到,enviar,verbs,0.62
384,棚屋,cabina,nouns,0.88
385,建造,destruir,verbs,0.28
386,红色,azul,adjectives,0.34
387,老鹰,halcón,nouns,2.79
388,哨,detener,verbs,0.25
389,日落,amanecer,nouns,0.57
390,朋友,madre,nouns,0.29
391,害羞,costoso,adjectives,0.2
392,血液,virus,nouns,0.69
393,女士,hidalgo,nouns,0.58
394,发抖,congelar,verbs,0.58
395,气旋,tifón,nouns,3.89
396,检查,examinar,verbs,4.82
397,电视,cine,nouns,2.38
398,想要,pedir prestado,verbs,0.64
399,知道,entender,verbs,3.29
400,协议,pacto,nouns,4.97
401,建立,crear,verbs,4.32
402,避免,negar,verbs,0.78
403,杀,lucha,verbs,0.89
404,忍耐力,flor,nouns,0.28
405,完成,competir,verbs,0.1
406,能力,fuerza,nouns,2.91
407,马,perro,nouns,0.66
408,火鸡,gallina,nouns,1.54
409,生日,cita,nouns,1.42
410,出席,ven,verbs,2.59
411,费用,salario,nouns,1.46
412,目前,recientemente,adverbs,3.14
413,大风,manta,nouns,0.05
414,搏斗,discrepar,verbs,0.5
415,冷静地,sutilmente,adverbs,1.18
416,神经,cuerpo,nouns,1.16
417,混乱,pacíficamente,adverbs,0.05
418,电缆,mago,nouns,0.0
419,跳跃,cerca,nouns,0.2
420,承认,hablar,verbs,0.68
421,失败,tener éxito,verbs,0.28
422,猫,perro,nouns,0.57
423,压抑,renunciar,verbs,0.5
424,聚集,recoger,verbs,2.92
425,离开,reunirse,verbs,1.08
426,哭泣,llorar,verbs,5.36
427,紫罗兰,flor,nouns,2.78
428,岛,princesa,nouns,0.05
429,电池,energía,nouns,2.46
430,牙,martillo,nouns,0.05
431,女孩,chico,nouns,0.73
432,查询,pensar,verbs,0.44
433,电缆,capilla,nouns,0.0
434,了解,escucha,verbs,1.23
435,协助,ayudar,verbs,3.92
436,雷达,palanca de mando,nouns,0.24
437,猎物,dios,nouns,0.0
438,摄影,director,nouns,1.64
439,脏,increíble,adjectives,0.0
440,在别处,a casa,adverbs,0.23
441,显著的,obvio,adjectives,3.59
442,混合,disolver,verbs,1.27
443,主教,arzobispo,nouns,3.63
444,雨,tormenta de nieve,nouns,0.67
445,裁判官,juez,nouns,3.38
446,喝,tragar,verbs,1.65
447,可怕,triste,adjectives,0.53
448,风暴,nube,nouns,0.96
449,派对,gente,nouns,0.54
450,磨坊,semilla,nouns,0.84
451,杜松子酒,whisky,nouns,1.22
452,花园,manguera,nouns,0.25
453,帮手,mucama,nouns,2.52
454,女人,secretario,nouns,0.56
455,考古学,antropología,nouns,1.01
456,谦逊地,mal,adverbs,0.1
457,听,percibir,verbs,1.58
458,球拍,pelota,nouns,0.83
459,手,pulgar,nouns,0.88
460,绊倒,caerse,verbs,3.4
461,正牙医生,médico,nouns,2.83
462,数,dígito,nouns,4.72
463,真诚地,generalmente,adverbs,0.4
464,手工业,tradición,nouns,1.84
465,多,dos veces,adverbs,0.79
466,卧室,cama,nouns,1.02
467,喝,sorber,verbs,2.42
468,意见,elección,nouns,1.1
469,发送,ir,verbs,0.39
470,管理,administración,nouns,3.56
471,检查,ajedrez,nouns,0.19
472,婴儿,adulto,nouns,0.57
473,上校,dentista,nouns,0.24
474,经常,raramente,adverbs,0.58
475,目标,flecha,nouns,0.96
476,耐力,banda,nouns,0.05
477,女儿,bebé,nouns,2.81
478,朋友,profesor,nouns,0.61
479,离开,tomar,verbs,0.2
480,房间,cama,nouns,0.7
481,概念,creencia,nouns,1.69
482,新,fresco,adjectives,4.0
483,轻微,completamente,adverbs,0.05
484,大灾难,accidente,nouns,3.2
485,埋葬,cubrir,verbs,2.92
486,歌谣,canción,nouns,3.5
487,性能,camafeo,nouns,0.04
488,逻辑,inteligencia,nouns,3.25
489,指甲,pulgar,nouns,1.07
490,描绘,notificar,verbs,0.3
491,竿,cortina,nouns,0.34
492,工作,administración,nouns,0.92
493,培根,frijol,nouns,0.15
494,字,periódico,nouns,1.37
495,袋,monedero,nouns,1.35
496,大致,seguramente,adverbs,0.69
497,破产,fracaso,nouns,1.56
498,需求,reñir,verbs,0.34
499,给予,negar,verbs,0.05
500,女佣,niña,nouns,1.25
501,航空,vuelo,nouns,2.6
502,男人,tío,nouns,2.29
503,员工,vocalista,nouns,0.43
504,电动,mecánico,adjectives,1.83
505,宫殿,rascacielos,nouns,0.48
506,足球,divertido,nouns,0.65
507,上面,fondo,nouns,0.15
508,恐龙,elefante,nouns,0.54
509,离开,retirarse,verbs,3.17
510,日常,normalmente,adverbs,3.29
511,卧室,baño,nouns,0.78
512,种子,mostaza,nouns,1.18
513,女人,hombre,nouns,0.93
514,晚上,capítulo,nouns,0.35
515,头,hombro,nouns,0.84
516,艺术品,artista,nouns,1.21
517,挤压,abrazar,verbs,0.68
518,管理,ratón,nouns,0.0
519,文学,libro,nouns,2.15
520,黏,mojado,adjectives,1.4
521,拥抱,abrazar,verbs,4.89
522,学习,escuchar,verbs,0.78
523,开心,enfadado,adjectives,0.56
524,麻布,tela,nouns,2.9
525,參加,salir,verbs,0.43
526,家牛,yogur,nouns,0.57
527,旧,mezclado,adjectives,0.0
528,指甲,mano,nouns,0.88
529,乱,limpiar,adjectives,0.49
530,银行家,abogado,nouns,0.79
531,装作,asumir,verbs,2.29
532,人,pistola,nouns,0.05
533,成功,tratar,verbs,0.39
534,海滩,costa,nouns,3.25
535,键盘,ligero,nouns,0.29
536,灯泡,flor,nouns,0.75
537,河,valle,nouns,2.06
538,公主,galleta,nouns,0.0
539,天空,sol,nouns,0.96
540,盗窃,crimen,nouns,3.28
541,顽固,estúpido,adjectives,1.21
542,自豪,fuerte,adjectives,0.78
543,使心烦,herir,verbs,0.65
544,水,coronación,nouns,0.04
545,宗教,materialista,nouns,0.1
546,冷淡,áspero,adjectives,0.45
547,募捐活动,evento,nouns,1.98
548,建议,asesorar,verbs,3.46
549,辩论,discutir,verbs,3.34
550,节奏,melodía,nouns,3.42
551,河流,mar,nouns,2.25
552,宠物,gato,nouns,3.33
553,老师,monitor,nouns,2.19
554,拿,obtener,verbs,3.17
555,停止,prohibir,verbs,2.75
556,十字架,monje,nouns,0.14
557,显微镜,biólogo,nouns,0.74
558,逃逸,encontrar,verbs,0.15
559,容易,difícil,adjectives,0.19
560,卖,recordar,verbs,0.0
561,木材,tronco,nouns,4.0
562,电脑,máquina,nouns,3.26
563,认真地,en tono rimbombante,adverbs,0.96
564,疯狂,alegre,adjectives,0.38
565,地区,región,nouns,4.54
566,悲剧,muerte,nouns,2.33
567,出租车,coche,nouns,3.63
568,海,tsunami,nouns,1.58
569,说谎,negar,verbs,0.92
570,小孩,adulto,nouns,0.53
571,承认,aceptar,verbs,3.93
572,聪明,inteligente,adjectives,5.24
573,洞,acuerdo,nouns,0.0
574,无政府,caos,nouns,3.25
575,援助,asistir,verbs,3.92
576,非常好,sucio,adjectives,0.0
577,溪流,río,nouns,2.88
578,大,nacional,adjectives,0.15
579,羞辱,comodidad,verbs,0.09
580,柠檬,manzana,nouns,0.34
581,烘烤,freír,verbs,1.2
582,参议院,constitución,nouns,1.06
583,父亲,progenitor,nouns,4.54
584,浪费,preocuparse,verbs,0.05
585,芥末,semilla,nouns,1.18
586,蔑视,cargar,verbs,0.3
587,读,morder,verbs,0.0
588,拿,entregar,verbs,0.54
589,塔,campana,nouns,1.17
590,女孩,niño,nouns,3.06
591,岩浆,volcán,nouns,1.77
592,编译器,subrutina,nouns,0.77
593,成为,realizar,verbs,0.46
594,家伙,amigo,nouns,1.49
595,钱包,bolso,nouns,1.35
596,没打中,hacer huelga,verbs,0.28
597,瘦,esbelto,adjectives,3.78
598,自行车,coche,nouns,0.53
599,腰部,comida,nouns,0.25
600,自由,inocente,adjectives,0.1
601,十四行诗,belleza,nouns,0.29
602,糖,miel,nouns,1.97
603,玻璃,placa,nouns,0.39
604,衣服,armario,nouns,1.08
605,明显,aparente,adjectives,4.36
606,数学家,show,nouns,0.05
607,悄悄地,naturalmente,adverbs,0.97
608,贫穷,solitario,adjectives,0.29
609,肚子,vena,nouns,0.34
610,机械地,idealmente,adverbs,0.19
611,赞成,permitir,verbs,3.46
612,大海,río,nouns,2.25
613,得出结论,decidir,verbs,3.03
614,无礼,crudo,adjectives,0.82
615,工作者,oficina,nouns,0.28
616,有创造力,innovador,adjectives,4.75
617,真实地,perfectamente,adverbs,0.63
618,批评,grosero,adjectives,0.77
619,轻轻的,firmemente,adverbs,0.15
620,望远镜,silla,nouns,0.1
621,滑雪板,esquí,nouns,2.02
622,丈夫,hombre,nouns,2.4
623,牛,ganado,nouns,3.08
624,字,diccionario,nouns,0.82
625,牛仔裤,mujer,nouns,0.2
626,秒,minuto,nouns,2.29
627,重新安葬,tumba,nouns,0.47
628,杯子,tarro,nouns,2.2
629,大炮,pistola,nouns,1.52
630,伟大,malo,adjectives,0.05
631,正式,apropiado,adjectives,3.37
632,到达,venir,verbs,2.36
633,开始,originar,verbs,3.96
634,杀,defender,verbs,0.38
635,海岸,playa,nouns,3.25
636,分子,átomo,nouns,2.48
637,悲伤,felicidad,nouns,0.4
638,水,sequía,nouns,0.55
639,强调,relajado,adjectives,0.1
640,狗,caballo,nouns,0.66
641,月亮,planeta,nouns,2.02
642,财富,pobreza,nouns,0.1
643,打印,ignorar,verbs,0.0
644,肯定地,seguramente,adverbs,3.44
645,故事,lápiz,nouns,0.54
646,条件,pacto,nouns,2.49
647,小旅馆,motel,nouns,3.38
648,完成,graduarse,verbs,1.98
649,开心,alegre,adjectives,5.47
650,困难,fácil,adjectives,0.19
651,最近,actualmente,adverbs,3.14
652,允许,refutar,verbs,0.25
653,给予,prestar,verbs,2.15
654,软管,jardín,nouns,0.25
655,化学,teoría,nouns,0.86
656,参与,unirse,verbs,3.59
657,完全地,ligeramente,adverbs,0.05
658,校验,justificar,verbs,1.08
659,申请,solicitante,nouns,1.48
660,强度,resistencia,nouns,2.77
661,阻碍,esforzarse,verbs,0.35
662,骨头,rodilla,nouns,1.13
663,分子,aire,nouns,0.68
664,煮,perder,verbs,0.05
665,发光,brillar,verbs,3.92
666,考试,silaba,nouns,0.43
667,宽广,grande,adjectives,2.58
668,似乎,volverse,verbs,0.34
669,指控,culpa,verbs,2.88
670,牙医,coronel,nouns,0.24
671,留,esperar,verbs,1.74
672,州,casa,nouns,0.1
673,探索,descubrir,verbs,2.96
674,屋,alfombra,nouns,0.2
675,苹果,salsa,nouns,0.39
676,值得,ganar,verbs,1.44
677,王子,rey,nouns,2.1
678,苹果,dieta,nouns,0.81
679,猫,ratón,nouns,0.39
680,叔叔,hombre,nouns,2.29
681,否认,mentir,verbs,0.92
682,汽车,fábrica,nouns,0.29
683,拥抱,ahogar,verbs,0.35
684,字典,enciclopedia,nouns,2.12
685,决定,pensar,verbs,1.03
686,拒绝,aceptar,verbs,0.19
687,次要,significativo,adjectives,0.19
688,偷偷,con confianza,adverbs,0.55
689,深度,magnitud,nouns,0.96
690,幸福,suerte,nouns,0.76
691,收到,lograr,verbs,0.15
692,显然,obvio,adjectives,4.36
693,理论,química,nouns,0.86
694,评估,aprender,verbs,0.73
695,知道,olvidar,verbs,0.1
696,一次,dos veces,adverbs,0.57
697,手腕,mano,nouns,2.1
698,糟糕,malo,adjectives,3.07
699,收到,captura,verbs,0.29
700,字,frase,nouns,1.17
701,病原,germen,nouns,3.18
702,想,contemplar,verbs,3.07
703,鸵鸟,huerta,nouns,0.2
704,冷,ordinario,adjectives,0.05
705,章节,noche,nouns,0.35
706,接受,reconocer,verbs,3.93
707,主题,hashtag,nouns,2.75
708,任务,trabajo,nouns,3.93
709,歌手,coro,nouns,1.67
710,激情,emoción,nouns,3.14
711,正常,diferente,adjectives,0.1
712,草,raíz,nouns,0.78
713,最近,nuevo,adjectives,3.42
714,信,párrafo,nouns,0.49
715,稻草,tarea,nouns,0.05
716,角,zona,nouns,0.53
717,扼杀,quemar,verbs,0.18
718,戒除,empezar,verbs,0.1
719,钝,agudo,adjectives,0.09
720,树枝,brazo,nouns,0.7
721,宪法,senado,nouns,1.06
722,工人,mecánico,nouns,2.38
723,摔倒,tropezar,verbs,3.4
724,一致地,a veces,adverbs,0.1
725,污染,atmósfera,nouns,0.74
726,消失,encoger,verbs,0.34
727,合乎体统,cortés,adjectives,3.36
728,收集,reunir,verbs,2.92
729,合理的解释,discutir,verbs,2.19
730,单种栽培,agricultura,nouns,1.19
731,容易,difícil,adjectives,0.19
732,城市,pueblo,nouns,3.36
733,累,hambriento,adjectives,0.72
734,问,ayudar,verbs,0.34
735,鼻子,garganta,nouns,0.34
736,丈夫,esposa,nouns,0.89
737,杂,antiguo,adjectives,0.0
738,便宜货,centavo,nouns,0.2
739,偏见,inclinarse,verbs,2.13
740,剑,trono,nouns,0.43
741,四轮货运马车,carro,nouns,3.07
742,老鼠,cubierta,nouns,0.0
743,团结,empatar,verbs,0.6
744,无畏舰,buque,nouns,2.83
745,惩罚,obedecer,verbs,0.59
746,小提琴,guitarra,nouns,0.57
747,机器,computadora,nouns,3.26
748,减少,empapar,verbs,0.0
749,吉他,tambor,nouns,0.58
750,普通,mundano,adjectives,4.46
751,说明,aclarar,verbs,4.17
752,床,habitación,nouns,0.7
753,终末,diferentemente,adverbs,0.0
754,可靠地,pasivamente,adverbs,0.0
755,男人,víctor,nouns,0.53
756,叔叔,prima,nouns,0.48
757,貂,petróleo,nouns,0.05
758,风,chubasco,nouns,2.11
759,水手,capitán,nouns,0.8
760,稀少,escaso,adjectives,4.04
761,肾,órgano,nouns,3.78
762,词,literatura,nouns,2.2
763,信念,concepto,nouns,1.69
764,决定,concluir,verbs,3.03
765,神圣,precioso,adjectives,1.73
766,接受,negar,verbs,0.05
767,雇主,obrero,nouns,0.64
768,癌症,enfermedad,nouns,3.41
769,行动,curso,nouns,0.83
770,在家里,lejos,adverbs,0.23
771,幼稚,inocente,adjectives,3.6
772,湖,nube,nouns,0.2
773,减去,perder,verbs,1.11
