ID,ENG,FIN,PoS,score
147,disappear,kadota,verbs,5.27
148,immoral,laiton,adjectives,1.76
149,biology,biotooppi,nouns,0.99
150,endurance,yhtye,nouns,0.0
151,rose,perhonen,nouns,0.15
152,sharp,tylsä,adjectives,0.24
153,succeed,voittaa,verbs,3.19
154,argue,myöntyä,verbs,0.24
155,monastery,suihku,nouns,0.0
156,criticize,vihata,verbs,0.84
157,hashtag,aihe,nouns,0.64
158,song,tarina,nouns,0.41
159,mosaic,basilikakirkko,nouns,0.44
160,jail,baari,nouns,0.14
161,steal,hankkia,verbs,1.39
162,amazingly,fantastisesti,adverbs,5.19
163,bump,romahtaa,verbs,1.13
164,give,varastaa,verbs,0.19
165,music,melodia,nouns,2.52
166,spicy,hyvä,adjectives,0.1
167,child,mies,nouns,0.63
168,radical,väkivaltainen,adjectives,1.06
169,shine,hohtaa,verbs,4.31
170,task,toimeksianto,nouns,5.01
171,snow,jää,nouns,2.96
172,homeless,miljardööri,nouns,0.42
173,pride,ilo,nouns,1.66
174,door,läsnäolo,nouns,0.0
175,reduce,rajoittaa,verbs,2.79
176,mechanic,työläinen,nouns,2.26
177,decoration,seinä,nouns,0.35
178,apparent,ilmiselvä,adjectives,5.18
179,marrow,veri,nouns,0.31
180,flora,luonto,nouns,2.47
181,rhythm,aritmetiikka,nouns,0.1
182,portray,päättää,verbs,0.2
183,stop,hallita,verbs,0.42
184,confidence,asenne,nouns,1.91
185,valley,masennus,nouns,0.5
186,road,moottoritie,nouns,3.95
187,learn,unohtaa,verbs,0.24
188,retreat,laskeutua,verbs,1.27
189,apparently,yksinkertaisesti,adverbs,0.37
190,real,epäaito,adjectives,0.24
191,blanket,puumateriaali,nouns,0.0
192,despise,ladata,verbs,0.0
193,pollution,presidentti,nouns,0.12
194,capture,saada kiinni,verbs,3.45
195,tired,nälkäinen,adjectives,0.27
196,guitar,taimen,nouns,0.0
197,fire,apokalypsi,nouns,0.29
198,bathroom,makuuhuone,nouns,1.51
199,raise,juoda,verbs,0.0
200,belt,silmukka,nouns,0.49
201,cloud,ikkuna,nouns,0.0
202,sing,kellua,verbs,0.0
203,old,tuore,adjectives,0.24
204,article,kirja,nouns,1.15
205,madly,surullisesti,adverbs,0.19
206,happy,vihainen,adjectives,0.24
207,interest,huomio,nouns,3.16
208,chase,saada kiinni,verbs,0.92
209,star,planeetta,nouns,1.81
210,muslim,piispa,nouns,0.3
211,champion,voittaja,nouns,4.13
212,begin,alkaa,verbs,5.34
213,friendly,antelias,adjectives,1.41
214,alcohol,brandy,nouns,2.09
215,attract,osua,verbs,0.0
216,disown,antaa,verbs,0.04
217,crystal,lasi,nouns,2.33
218,sly,nokkela,adjectives,3.61
219,woman,farkut,nouns,0.0
220,nepotism,kuningas,nouns,0.71
221,alley,kulho,nouns,0.04
222,definition,sanakirja,nouns,0.54
223,argue,todistaa,verbs,1.18
224,baby,tytär,nouns,1.98
225,dumb,nokkela,adjectives,0.24
226,humble,vaatimaton,adjectives,4.75
227,good,mausteinen,adjectives,0.1
228,scornful,halveksiva,adjectives,5.09
229,big,painava,adjectives,1.71
230,fun,peli,nouns,1.21
231,hit,rangaista,verbs,0.46
232,entertain,nauttia,verbs,0.69
233,argue,väitellä,verbs,4.58
234,pretend,näyttää,verbs,1.09
235,yogurt,karja,nouns,0.42
236,bottom,puoli,nouns,0.44
237,bring,lähettää,verbs,0.44
238,father,jumala,nouns,0.54
239,secretary,nainen,nouns,0.44
240,photophone,homofoni,nouns,0.04
241,chorus,laulaja,nouns,1.64
242,surely,joskus,adverbs,0.19
243,buy,saada,verbs,1.44
244,hymn,valloitus,nouns,0.0
245,glove,pallo,nouns,0.37
246,control,pysähtyä,verbs,0.42
247,bad,syyllinen,adjectives,1.19
248,virus,veri,nouns,0.66
249,blood,liha,nouns,1.02
250,rice,kana,nouns,0.34
251,ignore,välttää,verbs,3.17
252,cent,ihmiset,nouns,0.05
253,hotel,asunto,nouns,1.07
254,juice,lusikka,nouns,0.1
255,ankle,ikkuna,nouns,0.0
256,cab,linja-auto,nouns,1.39
257,wait,pysyä,verbs,2.06
258,fever,flunssa,nouns,2.31
259,exam,opetussuunnitelma,nouns,0.76
260,doorway,uloskäynti,nouns,2.91
261,car,automobiili,nouns,5.85
262,crowd,joukkio,nouns,4.87
263,hose,auto,nouns,0.0
264,opinion,valinta,nouns,0.94
265,fast,pikainen,adjectives,4.84
266,say,ilmaista,verbs,3.56
267,expensive,ujo,adjectives,0.0
268,boat,moottori ,nouns,0.66
269,unformed,yhtenäinen,adjectives,0.25
270,goal,voittaja,nouns,0.6
271,corner,alue,nouns,0.81
272,happen,tehdä,verbs,1.04
273,agreement,pakti,nouns,4.9
274,rinse,pestä,verbs,3.29
275,choke,tappaa,verbs,0.95
276,construction,tuho,nouns,0.28
277,bread,juusto,nouns,0.72
278,educate,oppia,verbs,0.91
279,bathroom,keittiö,nouns,0.92
280,powerful,heikko,adjectives,0.24
281,modest,nöyrä,adjectives,4.75
282,government,lisko,nouns,0.0
283,tongue,lihas,nouns,1.71
284,chest,vartalo,nouns,1.57
285,job,tehtävä,nouns,4.14
286,bridge,auto,nouns,0.15
287,neutral,rauhallinen,adjectives,1.26
288,smartphone,ananas,nouns,0.0
289,nozzle,neste,nouns,0.09
290,unfair,julma,adjectives,1.73
291,glare,siristää silmiään,verbs,1.09
292,cup,kartio,nouns,0.34
293,door,kellari,nouns,0.24
294,winner,maali,nouns,0.6
295,dairy,hunaja,nouns,0.15
296,anger,tila,nouns,0.94
297,jumping,aita,nouns,0.1
298,fun,amerikkalainen jalkapallo,nouns,0.15
299,hymn,raamattu,nouns,0.83
300,fog,pilvi,nouns,2.67
301,split,irrottaa,verbs,2.08
302,thumb,kynsi,nouns,1.23
303,hallway,luokkahuone,nouns,0.59
304,body,selkäranka,nouns,0.79
305,trip,matka,nouns,4.87
306,possess,ottaa,verbs,1.46
307,suds,kupla,nouns,2.69
308,child,poika,nouns,2.28
309,liver,elin,nouns,2.04
310,meet,jättää,verbs,0.0
311,daughter,isä,nouns,0.63
312,umbrella,lämmitin,nouns,0.05
313,dull,terävä,adjectives,0.24
314,man,vartiomies,nouns,1.49
315,meadow,ruohoalue,nouns,3.09
316,arithmetic,rytmi,nouns,0.1
317,mostly,pääasiassa,adverbs,4.64
318,never,myöhemmin,adverbs,0.87
319,chemistry,teoria,nouns,0.34
320,cow,karja,nouns,3.62
321,viscosity,loiske,nouns,0.45
322,yard,tuuma,nouns,1.32
323,violin,soitin,nouns,2.09
324,fraternity,ovi,nouns,0.0
325,apartment,hotelli,nouns,1.07
326,skin,pyörä,nouns,0.0
327,insane,hullu,adjectives,4.97
328,emergency,onnettomuus,nouns,3.21
329,aggressive,kaareva,adjectives,0.0
330,learn,kuunnella,verbs,0.69
331,companion,rakastaja,nouns,2.33
332,story,kirja,nouns,1.61
333,steeple,kappeli,nouns,1.67
334,throat,kieli,nouns,1.19
335,please,tyydyttää,verbs,2.96
336,differ,myöntyä,verbs,0.04
337,matrix,vektori,nouns,1.65
338,forgive,armahtaa,verbs,4.63
339,chaotically,rauhallisesti,adverbs,0.24
340,button,vaatteet,nouns,1.01
341,fail,onnistua,verbs,0.24
342,city,kaupunki,nouns,3.42
343,week,viikonloppu,nouns,1.11
344,intelligent,tyhmä,adjectives,0.24
345,take,varastaa,verbs,1.99
346,arm,olkapää,nouns,1.23
347,yell,kirkua,verbs,4.09
348,limb,jalka,nouns,2.77
349,emotion,intohimo,nouns,2.76
350,seriously,merkittävästi,adverbs,1.41
351,competence,kyky,nouns,4.51
352,easy,jäykkä,adjectives,0.05
353,pole,lippu,nouns,0.51
354,chaos,luokka,nouns,0.0
355,historian,historiografi,nouns,3.52
356,college,luokka,nouns,0.56
357,post,nopeus,nouns,0.0
358,leave,sivuuttaa,verbs,1.77
359,confidently,salaa,adverbs,0.32
360,clothes,jakku,nouns,1.67
361,haze,pilvi,nouns,2.96
362,father,mies,nouns,2.26
363,advise,suositella,verbs,3.87
364,film,elokuva,nouns,5.54
365,flexible,venyvä,adjectives,4.38
366,seed,sinappi,nouns,0.9
367,attach,liittyä,verbs,3.85
368,private,henkilökohtainen,adjectives,4.06
369,girl,palvelustyttö,nouns,1.22
370,parent,isä,nouns,3.27
371,swear,luvata,verbs,4.82
372,capture,matkia,verbs,0.22
373,accurately,tarkalleen,adverbs,5.27
374,tail,kappale,nouns,0.0
375,understand,sisäistää,verbs,4.49
376,covered,peittämätön,adjectives,0.24
377,unsure,pelästynyt,adjectives,0.88
378,illegal,lainmukainen,adjectives,0.24
379,cabin,mökki,nouns,3.39
380,employee,työnantaja,nouns,0.71
381,cattle,lammas,nouns,2.02
382,illness,infektio,nouns,3.19
383,send,mennä,verbs,0.26
384,sequel,kamera,nouns,0.0
385,telescope,tuoli,nouns,0.0
386,arrest,epäillä,verbs,0.33
387,large,joustava,adjectives,0.2
388,succeed,saavuttaa,verbs,3.46
389,make,tuhota,verbs,0.24
390,spend,säästää,verbs,0.29
391,lie,moittia,verbs,0.13
392,vehicle,linja-auto,nouns,2.46
393,furniture,asunto,nouns,0.45
394,scared,ujo,adjectives,1.14
395,argue,valittaa,verbs,1.5
396,allow,kumota,verbs,0.25
397,grade,koulu,nouns,0.56
398,mother,isä,nouns,1.3
399,messy,puhdas,adjectives,0.24
400,rice,poika,nouns,0.0
401,remain,säilyttää,verbs,0.79
402,owe,käydä sisään,verbs,0.0
403,crown,avain,nouns,0.0
404,path,tunneli,nouns,0.52
405,island,ranta,nouns,0.95
406,fee,kuukausipalkka,nouns,1.48
407,television,käsikirjoittaja,nouns,0.52
408,other,vastapäinen,adjectives,0.42
409,deteriorate,pyyhkiä,verbs,0.05
410,application,hakija,nouns,0.84
411,poet,toimittaja,nouns,0.76
412,sugarcane,leikkuupuimuri,nouns,0.1
413,cup,purkki,nouns,2.29
414,floor,kansi,nouns,1.54
415,tired,pitkäveteinen,adjectives,0.6
416,choice,vaalit,nouns,1.96
417,gold,sinkki,nouns,1.06
418,student,opettaja,nouns,0.71
419,fight,purra,verbs,0.84
420,system,vika,nouns,0.22
421,costume,pallo,nouns,0.0
422,save,kerätä,verbs,2.67
423,array,lista,nouns,0.85
424,pie,suklaa,nouns,0.57
425,shake,hämmentää,verbs,1.52
426,mouth,hammas,nouns,1.32
427,clearly,varmasti,adverbs,3.55
428,flesh,veri,nouns,1.02
429,violent,vihainen,adjectives,1.89
430,loyally,rehellisesti,adverbs,1.7
431,dumb,typerä,adjectives,5.29
432,motor,vene,nouns,0.66
433,push,vetää,verbs,0.29
434,catch,vastaanottaa,verbs,1.54
435,church,kuoro,nouns,0.49
436,book,tieto,nouns,0.86
437,monster,demoni,nouns,4.11
438,aluminium,metalli,nouns,2.31
439,alcohol,viini,nouns,2.24
440,sunrise,auringonlasku,nouns,0.87
441,metal,säilyketölkki,nouns,1.21
442,window,nilkka,nouns,0.0
443,cryptogram,symboli,nouns,2.14
444,keep,lainata,verbs,0.32
445,encyclopedia,sanakirja,nouns,2.49
446,soft,väkivaltainen,adjectives,0.1
447,map,neliö,nouns,0.0
448,loud,töykeä,adjectives,0.65
449,whiskey,alkoholi,nouns,2.16
450,mundane,tavallinen,adjectives,4.74
451,strange,outo,adjectives,5.42
452,coal,puuhiili,nouns,3.34
453,surprise,juhlia,verbs,0.19
454,monkey,kampanja,nouns,0.0
455,nose,suu,nouns,1.15
456,thirsty,nälkäinen,adjectives,0.98
457,come,tuoda,verbs,0.74
458,envelope,koriste,nouns,0.05
459,beach,riutta,nouns,0.84
460,water,suola,nouns,0.17
461,wear,repiä,verbs,0.36
462,wait,jättää,verbs,0.15
463,cruel,mukava,adjectives,0.1
464,side,pohja,nouns,0.44
465,town,suurkaupunki,nouns,3.42
466,letter,kohta,nouns,0.17
467,mother,huoltaja,nouns,2.47
468,peacefully,rauhallisesti,adverbs,4.15
469,sea,joki,nouns,1.39
470,find,etsiä,verbs,1.86
471,crash,murskata,verbs,1.64
472,terrific,paha,adjectives,0.09
473,digit,sytoplasma,nouns,0.0
474,inquire,edellyttää,verbs,0.3
475,grown,epäkypsä,adjectives,0.24
476,oddly,eri tavalla,adverbs,2.14
477,bone,käsivarsi,nouns,0.81
478,acknowledge,ilmoittaa,verbs,1.34
479,adult,lapsi,nouns,0.69
480,hear,puhua,verbs,0.34
481,whiskey,shamppanja,nouns,1.26
482,story,aihe,nouns,0.95
483,whip,lyödä,verbs,3.19
484,emperor,perustuslaki,nouns,0.22
485,express,sanoa,verbs,3.56
486,opinion,idea,nouns,2.38
487,reject,paheksua,verbs,1.5
488,crazy,sairas,adjectives,0.96
489,cigar,laatikko,nouns,0.22
490,sadness,onnellisuus,nouns,0.24
491,beach,saari,nouns,0.95
492,crucial,tärkeä,adjectives,4.69
493,shapeless,amorfinen,adjectives,4.1
494,topic,kirja,nouns,0.38
495,cattle,naudanliha,nouns,2.94
496,tax,tulo,nouns,0.51
497,argue,osallistua,verbs,0.15
498,forgive,unohtaa,verbs,0.48
499,mink,turkki,nouns,2.06
500,smother,musertaa,verbs,2.91
501,bad,epärehellinen,adjectives,1.38
502,insect,mehiläinen,nouns,2.38
503,glad,onnellinen,adjectives,4.53
504,era,vuosikymmen,nouns,1.98
505,division,kertolasku,nouns,1.27
506,evict,tyhjentää,verbs,1.79
507,friend,vieras,nouns,1.36
508,mild,terävä,adjectives,0.0
509,flexible,vaatimaton,adjectives,0.25
510,never,anteliaasti,adverbs,0.05
511,bean,riisi,nouns,0.98
512,whisper,puhua,verbs,2.17
513,horse,härkä,nouns,1.19
514,head,nenä,nouns,0.84
515,reliably,passiivisesti,adverbs,0.05
516,undisclosed,peittelemätön,adjectives,0.37
517,sunshine,säde,nouns,1.27
518,fail,turvautua,verbs,0.1
519,management,työ,nouns,0.82
520,leave,tavata,verbs,0.0
521,passively,aktiivisesti,adverbs,0.24
522,red,sininen,adjectives,0.91
523,night,aamunkoitto,nouns,0.79
524,drip,kaataa,verbs,1.04
525,beat,voittaa,verbs,2.64
526,doctor,luonne,nouns,0.0
527,stir,sekoittaa,verbs,4.26
528,helpless,puutteenalainen,adjectives,1.56
529,biology,anatomia,nouns,2.54
530,flower,uskomus,nouns,0.12
531,bicycle,makuuhuone,nouns,0.0
532,marry,kihlautua,verbs,1.57
533,sunset,ilta,nouns,1.61
534,afterworld,kiirastuli,nouns,2.36
535,parapsychology,neuropsykologia,nouns,1.86
536,husband,vaimo,nouns,1.42
537,dentist,ortodontti,nouns,3.25
538,honey,sokeri,nouns,1.29
539,machine,tietokone,nouns,2.61
540,pupil,opiskelija,nouns,5.45
541,course,vatsa,nouns,0.0
542,digit,numero,nouns,5.13
543,bargain,penni,nouns,0.22
544,innocent,vapaa,adjectives,1.11
545,angle,käyrä,nouns,0.98
546,officially,vahvasti,adverbs,0.41
547,molecule,matriisi,nouns,0.04
548,poorly,nöyrästi,adverbs,0.24
549,girl,heppu,nouns,0.89
550,evict,jättää,verbs,0.77
551,badge,lasi,nouns,0.04
552,screen,fonologia,nouns,0.1
553,detach,halkaista,verbs,2.08
554,neglect,olla tunnustamatta,verbs,0.8
555,aisle,sali,nouns,1.74
556,beautiful,ihmeellinen,adjectives,1.6
557,poster,paperi,nouns,2.09
558,treat,maksaa,verbs,0.19
559,outgoing,tuleva,adjectives,0.19
560,closet,vaatteet,nouns,0.51
561,kill,tuhota,verbs,2.79
562,princess,kuningas,nouns,1.14
563,circumstance,tilanne,nouns,4.84
564,funny,tylsä,adjectives,0.2
565,awful,mahtava,adjectives,0.24
566,marginally,täysin,adverbs,0.14
567,office,työläinen,nouns,0.46
568,shy,pelästynyt,adjectives,1.14
569,statistics,tennis,nouns,0.0
570,roof,ikkuna,nouns,0.57
571,winter,kesä,nouns,0.74
572,stressed,rentoutunut,adjectives,0.24
573,sinner,pyhimys,nouns,0.28
574,throne,miekka,nouns,0.13
575,comfort,turvallisuus,nouns,1.26
576,hard,yksinkertainen,adjectives,0.04
577,insult,loukata,verbs,4.89
578,warn,pysähtyä,verbs,0.48
579,think,tiedustella,verbs,0.8
580,gentleman,leidi,nouns,0.81
581,strive,sulkea,verbs,0.0
582,crime,petos,nouns,2.96
583,bowler,keilaaminen,nouns,1.48
584,perceive,kuulla,verbs,1.79
585,lion,kissa,nouns,2.08
586,inch,jaardi,nouns,1.32
587,eczema,dermatiitti,nouns,3.34
588,lamp,henkiolento,nouns,0.48
589,cent,koko,nouns,0.65
590,sky,unelma,nouns,0.13
591,soon,välittömästi,adverbs,3.4
592,limp,kävellä,verbs,1.76
593,pinch,lävistää,verbs,0.77
594,bankruptcy,epäonnistuminen,nouns,1.42
595,cube,lelu,nouns,0.15
596,scream,huutaa,verbs,4.09
597,maturely,hurskaasti,adverbs,0.58
598,sandwich,lounas,nouns,1.69
599,please,vedota,verbs,0.56
600,underwear,vartalo,nouns,0.3
601,ox,hevonen,nouns,1.19
602,snore,herättää,verbs,0.19
603,mixed,vanha,adjectives,0.0
604,anger,raivo,nouns,4.87
605,keep,antaa,verbs,0.2
606,large,iso,adjectives,5.86
607,phonology,näyttö,nouns,0.1
608,baggage,kiertäminen,nouns,0.22
609,imagine,luoda,verbs,1.19
610,ancient,moderni,adjectives,0.24
611,flag,veksillologia,nouns,1.46
612,educate,opettaa,verbs,4.87
613,determine,ennustaa,verbs,1.34
614,bowl,kuja,nouns,0.04
615,copilot,kyttä,nouns,0.49
616,myth,satiiri,nouns,0.33
617,body,hermo,nouns,0.5
618,lady,herra,nouns,0.81
619,jacket,vaatteet,nouns,1.67
620,dog,hevonen,nouns,0.88
621,join,ottaa osaa,verbs,2.87
622,suffrage,uloskäynti,nouns,0.0
623,sheet,lentokone,nouns,0.0
624,employer,työntekijä,nouns,1.79
625,island,laivasto,nouns,0.05
626,typhoon,sykloni,nouns,4.58
627,sociobiology,mutantti,nouns,0.0
628,cat,jänis,nouns,0.96
629,reject,hyväksyä,verbs,0.24
630,add,kertoa,verbs,1.14
631,occasionally,säännöllisesti,adverbs,0.81
632,peace,sotilas,nouns,0.1
633,beauty,ikä,nouns,0.17
634,container,pullo,nouns,2.3
635,knee,käsivarsi,nouns,0.69
636,decoration,kirjekuori,nouns,0.05
637,weapon,kypärä,nouns,0.39
638,box,sikari,nouns,0.22
639,know,unohtaa,verbs,0.19
640,sweater,jakku,nouns,2.32
641,window,ovi,nouns,0.84
642,ordinary,kylmä,adjectives,0.0
643,blade,ruoho,nouns,0.34
644,win,onnistua,verbs,3.19
645,fry,keittää,verbs,1.82
646,electric,mekaaninen,adjectives,0.82
647,actively,onnellisesti,adverbs,0.45
648,ball,asu,nouns,0.0
649,breakfast,pekoni,nouns,0.86
650,leg,käsivarsi,nouns,1.01
651,boil,paistaa,verbs,1.82
652,responsibly,itsenäisesti,adverbs,1.09
653,area,vyöhyke,nouns,4.75
654,vague,epäselvä,adjectives,5.04
655,subroutine,laatija,nouns,0.41
656,remind,kertoa,verbs,1.56
657,advise,ehdottaa,verbs,3.26
658,hail,sade,nouns,2.33
659,helper,palvelustyttö,nouns,2.14
660,multiply,lisätä,verbs,1.14
661,complain,kiistellä,verbs,1.5
662,organize,järjestää,verbs,5.24
663,brilliant,mahtava,adjectives,4.2
664,ostrich,hedelmätarha,nouns,0.0
665,currently,hienotunteisesti,adverbs,0.0
666,size,suuruus,nouns,5.21
667,tuition,apuraha,nouns,0.59
668,intelligent,fiksu,adjectives,5.64
669,think,järkeistää,verbs,2.75
670,shatter,murskata,verbs,4.24
671,air,molekyyli,nouns,0.57
672,criminal,lainrikkoja,nouns,4.74
673,freedom,keidas,nouns,0.15
674,yarn,ompelulanka,nouns,3.51
675,accept,antaa anteeksi,verbs,1.25
676,dawn,päivä ,nouns,2.21
677,book,teema,nouns,0.34
678,tomorrow,tänä iltana,adverbs,0.46
679,depart,erottaa,verbs,0.7
680,boat,kansi,nouns,0.44
681,tell,muistuttaa,verbs,1.56
682,diplomacy,neuvottelu,nouns,2.46
683,atom,hiili,nouns,1.35
684,fall,kompastua,verbs,3.26
685,supper,aamiainen,nouns,0.99
686,syllabus,koe,nouns,0.76
687,beach,meri,nouns,0.96
688,management,hallinto,nouns,3.17
689,hat,takki,nouns,0.91
690,forget,antaa anteeksi,verbs,0.48
691,presence,ovi,nouns,0.0
692,organ,munuainen,nouns,2.25
693,usually,harvoin,adverbs,0.32
694,arrive,jättää,verbs,0.19
695,monoculture,maatalous,nouns,0.74
696,table,auringonlasku,nouns,0.0
697,bride,prinsessa,nouns,0.19
698,overt,julkistamaton,adjectives,0.37
699,cloud,utu,nouns,2.96
700,horn,rumpu,nouns,0.15
701,strangely,epätavallisesti,adverbs,5.08
702,take,toimittaa,verbs,0.46
703,water,jää,nouns,2.08
704,mouse,kansi,nouns,0.0
705,complain,tuoda,verbs,0.0
706,pardon,antaa anteeksi,verbs,4.63
707,violin,kitara,nouns,1.33
708,accept,suositella,verbs,0.6
709,beverage,olut,nouns,2.2
710,upset,lannistaa,verbs,0.49
711,quietly,luonnollisesti,adverbs,0.19
712,smother,palaa,verbs,0.25
713,wagon,säilytysastia,nouns,0.26
714,book,artikkeli,nouns,1.15
715,create,rakentaa,verbs,3.59
716,polyhedron,näyttelijä,nouns,0.09
717,cotton,villapaita,nouns,0.66
718,differently,omituisesti,adverbs,2.14
719,lazy,kiireinen,adjectives,0.15
720,snow,lumivyöry,nouns,1.67
721,pipe,sikari,nouns,0.84
722,go,myydä,verbs,0.1
723,cotton,polyesteri,nouns,1.13
724,legion,armeija,nouns,2.92
725,sergeant,ase,nouns,0.42
726,oat,pelto,nouns,0.35
727,know,ymmärtää,verbs,3.05
728,finish,ratkaista,verbs,2.54
729,purse,laukku,nouns,3.56
730,music,huilu,nouns,1.0
731,obviously,ilmeisesti,adverbs,3.84
732,information,sanomalehti,nouns,1.01
733,bad,kauhea,adjectives,3.9
734,article,aikakauslehti,nouns,1.7
735,string,auringonlasku,nouns,0.0
736,later,ei koskaan,adverbs,0.87
737,bed,peitto,nouns,0.61
738,gallery,lakimies,nouns,0.0
739,please,viihdyttää,verbs,2.08
740,acid,pohja,nouns,0.27
741,fake,keinotekoinen,adjectives,4.78
742,sister,veli,nouns,1.79
743,peppermint,purukumi,nouns,0.79
744,tsunami,meri,nouns,1.05
