ID,CYM,FIN,PoS,score
57,ecosystem,talous,nouns,0.45
58,gwydr,kunniamerkki,nouns,0.0
59,gweithred,kurssi,nouns,0.1
60,dod â,lähettää,verbs,1.0
61,breuddwyd,taivas,nouns,0.15
62,ysgubell,pöly,nouns,0.45
63,angenrheidiol,tarpeeton,adjectives,0.2
64,yn achlysurol,säännöllisesti,adverbs,0.5
65,pwyll,huolenpito,nouns,2.35
66,strwythur,topologia,nouns,2.0
67,gair,kirjallisuus,nouns,1.05
68,llyfr,käsikirjoitus,nouns,1.65
69,anghofio,säilyttää,verbs,0.05
70,colli,saada,verbs,0.1
71,parêd,yhtye,nouns,0.6
72,cath,koira,nouns,1.25
73,anghwrtais,äänekäs,adjectives,0.4
74,cynorthwyo,kysyä,verbs,0.35
75,gwn,temppu,nouns,0.0
76,nerf,aivot,nouns,1.4
77,hwyliau,viha,nouns,0.65
78,yn annaturiol,negatiivisesti,adverbs,0.45
79,enfawr,tähtitieteellinen,adjectives,1.05
80,asid,pohja,nouns,0.0
81,modd,muoti,nouns,0.05
82,dadelfennu,tekijöihinjako,nouns,0.85
83,cynllwyniwr,strategi,nouns,3.15
84,mwstard,siemen,nouns,0.7
85,ufuddhau,kuunnella,verbs,1.25
86,ehangu,kasvaa,verbs,3.9
87,arwr,sankaritar,nouns,3.8
88,tybio,ennustaa,verbs,1.85
89,criced,tukija,nouns,0.05
90,fel arfer,epänormaalisti,adverbs,0.35
91,fel mater o drefn,normaalisti,adverbs,3.7
92,noswaith,auringonlasku,nouns,2.2
93,ymyriad,rikos,nouns,1.45
94,asgwrn cefn,niska,nouns,1.05
95,pryd bwyd,vyötärö,nouns,0.05
96,ofnus,ahdistunut,adjectives,3.4
97,ofnus,epävarma,adjectives,1.5
98,archwilio,sivuuttaa,verbs,0.05
99,ymddangos,jättää,verbs,0.05
100,bachgen,sotilas,nouns,0.8
101,plasty,kuvanveistäjä,nouns,0.2
102,cadernid,vahvuus,nouns,3.8
103,amsugno,oppia,verbs,1.4
104,mynd i mewn,mennä,verbs,1.45
105,rhyddhau,painaa,verbs,0.05
106,heno,huomenna,adverbs,0.55
107,pont,auto,nouns,0.3
108,sychu,heikentyä,verbs,0.35
109,stopio,hallita,verbs,0.3
110,rheolaidd,keskimääräinen,adjectives,0.75
111,hydoddi,sulaa,verbs,3.3
112,galaeth,astronomi,nouns,0.5
113,bwlb,kukka,nouns,0.3
114,myfyriwr,oppilas,nouns,5.05
115,pibell,auto,nouns,0.0
116,rhad,likainen,adjectives,0.1
117,doniol,tylsä,adjectives,0.25
118,yn fecanyddol,ihanteellisesti,adverbs,0.0
119,penelin,nilkka,nouns,1.1
120,cadw,vaalia,verbs,1.55
121,newyddion,väliaine,nouns,0.15
122,cig,leipä,nouns,0.55
123,ceirchen,pelto,nouns,0.45
124,llinyn,auringonlasku,nouns,0.0
125,glaswellt,sammal,nouns,1.4
126,yn anhygoel,mahtavasti,adverbs,4.7
127,pennod,valinta,nouns,0.1
128,dinistrio,biohajota,verbs,1.1
129,wedi'i goginio,keitetty,adjectives,2.9
130,amgueddfa,minttu,nouns,0.0
131,hawdd,joustava,adjectives,1.1
132,corws,laulaja,nouns,1.45
133,gwddf,käsivarsi,nouns,0.7
134,meddyg,lääkäri,nouns,4.85
135,tebyg,samannäköinen,adjectives,4.15
136,jîns,nainen,nouns,0.05
137,tad,äiti,nouns,1.6
138,tynnu,työntää,verbs,0.3
139,awgrymu,neuvoa,verbs,2.7
140,pobl,populaatio,nouns,2.8
141,cymryd,päästä,verbs,0.55
142,angor,vene,nouns,0.85
143,yn annheg,kohtuuttomasti,adverbs,3.05
144,bwlch,sikari,nouns,0.15
145,hashnod,aihe,nouns,0.55
146,buan,nopea,adjectives,4.5
147,cyfnewid,korvaaminen,nouns,3.5
148,poeni,tuhlata,verbs,0.05
149,torf,paraati,nouns,1.75
150,diddordeb,huomio,nouns,2.85
151,cymysgu,kypsentää,verbs,0.65
152,gwybod,antaa,verbs,0.15
153,yn ddigynnwrf,lujasti,adverbs,0.65
154,dimai,koko,nouns,0.65
155,rhannu,kertoa,verbs,0.9
156,cyflwr,poika,nouns,0.0
157,symud,pujotella,verbs,0.55
158,pili-pala,ruusu,nouns,0.35
159,yn ystyrlon,erityisesti,adverbs,0.95
160,log,puumateriaali,nouns,3.6
161,trwyn,kurkku,nouns,0.95
162,athro,kouluttaja,nouns,4.25
163,addurn,seinä,nouns,0.35
164,ffa,riisi,nouns,1.0
165,chwipio,lyödä,verbs,3.0
166,gwisg unffurf,virkkaus,nouns,0.0
167,syniad,mielipide,nouns,2.35
168,cymysg,vanha,adjectives,0.1
169,ci,kissa,nouns,1.25
170,anghofio,oppia,verbs,0.35
171,storm,pilvi,nouns,0.9
172,brawdgarwch,pesäpallo,nouns,0.0
173,ffôn,koju,nouns,0.0
174,chwyrnu,herättää,verbs,0.2
175,anghofio,tietää,verbs,0.2
176,ewyllys,tarkoitus,nouns,1.8
177,gorffwyll,järjetön,adjectives,4.3
178,apwyntiad,sitoumus,nouns,0.25
179,byddin,legioona,nouns,3.1
180,yn uchel,mielettömästi,adverbs,0.35
181,dychmygu,teeskennellä,verbs,1.55
182,cydio,tarttua,verbs,1.35
183,yn sicr,ilmiselvästi,adverbs,3.15
184,anghenus,avuton,adjectives,1.0
185,eglwys gadeiriol,kirkko,nouns,3.75
186,yn llachar,suuresti,adverbs,0.45
187,gallu,pätevyys,nouns,4.35
188,aseiniad,viesti,nouns,0.8
189,bydiaeth,viisumi,nouns,0.35
190,pennaeth,pormestari,nouns,1.45
191,ffenestr,katto,nouns,0.55
192,brifo ,kaatua,verbs,1.15
193,plismon,poliitikko,nouns,0.45
194,bàth,huone,nouns,0.25
195,nodyn,korvaus,nouns,0.05
196,gwrtaith,kasvu,nouns,0.8
197,masarnen,tammi,nouns,1.8
198,cul,laaja,adjectives,0.2
199,plât,kulho,nouns,1.85
200,chwalu,murskata,verbs,4.55
201,car,hissi,nouns,0.15
202,siarad,tunnustaa,verbs,0.8
203,caseg,hevonen,nouns,4.1
204,creigres,ranta,nouns,0.85
205,machlud haul,pöytä,nouns,0.0
206,cofio,ajatella,verbs,0.9
207,potel,säilytysastia,nouns,2.5
208,bachgen,lapsi,nouns,2.05
209,llo,sonni,nouns,2.05
210,gwern,järvi,nouns,1.4
211,matrics,vektori,nouns,1.3
212,cicio,sattua,verbs,1.2
213,talwrn,lentoperämies,nouns,0.25
214,sy'n dod i mewn,ulospäinsuuntautunut,adjectives,0.15
215,dinistrio,tappaa,verbs,3.15
216,collfarnu,torjua,verbs,0.75
217,arf,kypärä,nouns,0.6
218,yn ddiweddar,nykyään,adverbs,1.3
219,rhoi,pitää,verbs,0.25
220,taliad,palkinto,nouns,2.2
221,cymryd rhan,sanoa,verbs,0.25
222,botwm,vaatteet,nouns,0.8
223,amlwg,julkistamaton,adjectives,0.1
224,gwyddoniaeth,psykologia,nouns,2.0
225,twp,itsepäinen,adjectives,0.45
226,drws,oviaukko,nouns,3.75
227,cyhuddo,valehdella,verbs,0.35
228,hedyn,mylly,nouns,0.25
229,stopio,varoittaa,verbs,0.75
230,morgrugyn,mehiläinen,nouns,1.2
231,cyffes,kieltäminen,nouns,0.3
232,malu,kolahtaa,verbs,0.5
233,alltud,alieni,nouns,3.85
234,ffuglen,elämäkerta,nouns,0.5
235,gwartheg,naudanliha,nouns,2.9
236,yn fras,kärsimättömästi,adverbs,0.55
237,profocio,sattua,verbs,0.55
238,danfon,tuoda,verbs,1.0
239,maes awyr,pala,nouns,0.0
240,gorlethu,tukahduttaa,verbs,2.5
241,môr,ranta,nouns,1.4
242,cyfaddef,kiistää,verbs,0.2
243,cyfnewid,valuutta,nouns,0.4
244,cinio,ateria,nouns,3.2
245,gwely,valmentaja,nouns,0.35
246,pêl-droed,futis,nouns,5.85
247,arian parod,raha,nouns,3.55
248,iâr,lintu,nouns,2.7
249,prynu,saada,verbs,0.95
250,beio,moittia,verbs,4.6
251,gweithiwr,työnantaja,nouns,0.9
252,torf,joukkio,nouns,4.95
253,yn union,epätäsmällisesti,adverbs,0.2
254,fel arfer,rutiininomaisesti,adverbs,3.7
255,syml,kova,adjectives,0.0
256,balŵn,ihmiset,nouns,0.0
257,cig,naudanliha,nouns,3.1
258,cystrawen,hakusana,nouns,0.7
259,dŵr,kuivuus,nouns,0.2
260,stumog,kurssi,nouns,0.0
261,tric,ase,nouns,0.0
262,miliwnydd,dollari,nouns,0.65
263,arogli,pilata,verbs,0.05
264,sgriptiwr,televisio,nouns,0.4
265,caniatáu,jäytää,verbs,0.0
266,derbyn,saada kiinni,verbs,1.45
267,allbriodasol,mainitsematon,adjectives,0.0
268,nod,voittaja,nouns,0.5
269,dec,lattia,nouns,1.5
270,brawdgarwch,miehet,nouns,1.3
271,hyfforddwyr,mitali,nouns,0.2
272,gardd,letku,nouns,0.25
273,chwibanu,pysähtyä,verbs,0.1
274,dosbarthu,kantaa,verbs,2.35
275,cemeg,teoria,nouns,0.3
276,coflaid,halailla,verbs,4.25
277,mintys,museo,nouns,0.0
278,athletwr,juoksija,nouns,2.9
279,gaeaf,kesä,nouns,0.95
280,balchder,ilo,nouns,1.7
281,wisgi,shamppanja,nouns,1.4
282,aderyn,haukka,nouns,2.65
283,siampên,olut,nouns,1.25
284,tymer,tohtori,nouns,0.0
285,mam,isä,nouns,1.6
286,dringo,patikoida,verbs,2.3
287,yn anaml,usein,adverbs,0.25
288,heddwch,sotilas,nouns,0.2
289,yn anhygoel,suuresti,adverbs,1.0
290,drws,veljeskunta,nouns,0.0
291,telesgop,tuoli,nouns,0.0
292,dillad,nappi,nouns,0.8
293,yn weithredol,passiivisesti,adverbs,0.2
294,gwaed,liha,nouns,0.95
295,ychwanegu,jakaa,verbs,0.5
296,mwslim,piispa,nouns,0.3
297,cadno,ajokoira,nouns,1.15
298,mynd  ,jättää,verbs,1.25
299,yn gyfrifol,luotettavasti,adverbs,3.6
300,dod yn,menestyä,verbs,0.6
301,cymdeithas,kerho,nouns,3.6
302,anodd ei gael,harvinainen,adjectives,2.05
303,anghyfreithlon,lainmukainen,adjectives,0.25
304,athronydd,kilpaileminen,nouns,0.0
305,aros,säilyttää,verbs,0.55
306,cuddwisgo,peittää,verbs,2.65
307,nerth,valmiudet,nouns,1.95
308,arsylwi,katsella,verbs,3.25
309,cyhuddo,syyttää,verbs,4.6
310,dysgu,rangaista,verbs,0.4
311,coflaid,tukahduttaa,verbs,0.35
312,ewythr,täti,nouns,1.65
313,tafod,lihas,nouns,1.8
314,rhoi,kiistää,verbs,0.0
315,treth,tulo,nouns,0.65
316,salwch,kuume,nouns,3.05
317,calon,kirurgia,nouns,0.4
318,llyfr nodiadau,ase,nouns,0.0
319,priodfab,morsian,nouns,1.4
320,llawr,katto,nouns,0.65
321,amddiffyn,pitää,verbs,0.95
322,offeiriad,profeetta,nouns,1.35
323,bara,liha,nouns,0.55
324,chwerthin,laulaa,verbs,0.45
325,cywilydd,syyllinen,adjectives,1.45
326,dewis,poimia,verbs,3.95
327,yr wyddor,kuulakärkikynä,nouns,0.05
328,yn fras,luotettavasti,adverbs,0.05
329,misol,viikottainen,adjectives,1.1
330,llwyddo,yrittää,verbs,0.9
331,yn agored,massiivisesti,adverbs,0.35
332,handlen,valkuaisaine,nouns,0.0
333,prysur,laiska,adjectives,0.15
334,beddrod,hauta,nouns,1.1
335,ymosod,pahentaa,verbs,0.3
336,addurn,kirjekuori,nouns,0.05
337,cymysgu,juoda,verbs,0.15
338,medrydd,auto,nouns,0.25
339,cig eidion,karja,nouns,2.9
340,erfyn,lainata,verbs,0.85
341,gair,fraasi,nouns,1.65
342,yn debygol,positiivisesti,adverbs,0.85
343,gadael,tehdä,verbs,0.25
344,maer,presidentti,nouns,1.8
345,yn lleol,ilmiselvästi,adverbs,0.0
346,tacsi,taksiauto,nouns,5.4
347,tramorwr,kääntäjä,nouns,0.15
348,wedi ymlacio,stressaantunut,adjectives,0.2
349,dadlau,kiistellä,verbs,3.8
350,tafod,kurkku,nouns,1.0
351,theorem,teoria,nouns,3.3
352,ymuno,tehdä yhteistyötä,verbs,1.3
353,taliad,kolikko,nouns,0.65
354,ysgrifennydd,nainen,nouns,0.55
355,disgyn,vetäytyä,verbs,0.8
356,argyhoeddi,yrittää,verbs,0.15
357,swydd,johtokunta,nouns,0.6
358,pothell,kuvitus,nouns,0.0
359,blodyn,polttimo,nouns,0.3
360,deinosor,elefantti,nouns,0.85
361,arwres,sankari,nouns,3.8
362,targed,nuoli,nouns,0.35
363,cyntedd,käytävä,nouns,3.9
364,gair,sivu,nouns,0.55
365,yn hawdd,kovakouraisesti,adverbs,0.2
366,brigeryn,pölytys,nouns,1.25
367,i ffwrdd,kotona,adverbs,0.45
368,bychanu,lohduttaa,verbs,0.0
369,wedi blino,pitkäveteinen,adjectives,0.8
370,ôl-ddodiad,affiksi,nouns,3.25
371,eglwys,katedraali,nouns,3.75
372,cam,kaareva,adjectives,2.05
373,symbol,koodi,nouns,2.35
374,yn fras,helposti,adverbs,0.2
375,brwydro,tappaa,verbs,1.2
376,trychineb,kuolema,nouns,1.4
377,twymyn,flunssa,nouns,3.4
378,soffistigedig,kypsä,adjectives,1.7
379,ystafell wely,polkupyörä,nouns,0.0
380,gallu,pätevyys,nouns,4.2
381,crebachu,supistaa,verbs,3.05
382,gwerddon,vapaus,nouns,0.35
383,dechrau,lopettaa,verbs,0.2
384,proffwyd,pappi,nouns,1.35
385,braich,ranne,nouns,1.75
386,byr,pitkä,adjectives,0.25
387,ffrind,äiti,nouns,1.15
388,canol,ateria,nouns,0.05
389,cyflawni,vastaanottaa,verbs,0.45
390,car,automobiili,nouns,5.5
391,gwisgo,repiä,verbs,0.05
392,gwybodaeth,kirja,nouns,0.8
393,osgoi,torjua,verbs,1.75
394,geiser,kevät,nouns,0.0
395,cyflwr,koti,nouns,0.05
396,perlysieuyn,marihuana,nouns,2.15
397,deall,antaa anteeksi,verbs,0.9
398,thema,kirja,nouns,0.4
399,ufuddhau,rangaista,verbs,0.4
400,masarnen,puu,nouns,3.2
401,terfysg,piirustus,nouns,0.0
402,cyfiawnhau,kiistellä,verbs,0.9
403,glob,maailma,nouns,4.5
404,onest,syyllinen,adjectives,0.1
405,ewin,peukalo,nouns,1.35
406,nadu,evätä,verbs,2.6
407,metel,alumiini,nouns,2.95
408,amau,pidättää,verbs,0.3
409,cwch,ankkuri,nouns,0.85
410,sylfaen,jalkaterä,nouns,0.7
411,twp,tyhmä,adjectives,5.25
412,arbediad,säästäjä,nouns,1.85
413,lleihau,kutistua,verbs,3.05
414,taith,retki,nouns,3.8
415,preifat,julkinen,adjectives,0.25
416,ffrog,tanssi,nouns,0.25
417,pen,olkapää,nouns,0.9
418,dillad,komero,nouns,0.6
419,merch,isä,nouns,0.95
420,gwasgu,halata,verbs,1.8
421,yn drist,mielettömästi,adverbs,0.25
422,ciwb,lelu,nouns,0.2
423,stryd,auto,nouns,0.55
424,yn annhebygol,ystävällisesti,adverbs,0.0
425,cyfuniad,sokeriruoko,nouns,0.1
426,dwywaith,aina,adverbs,0.6
427,planed,tähti,nouns,2.15
428,priffordd,auto ,nouns,0.7
429,llawdriniaeth,sydän,nouns,0.4
430,drws,portti,nouns,2.6
431,twymyn,sairaus,nouns,3.05
432,haf,talvi,nouns,0.95
433,lifft,auto,nouns,0.15
434,diangen,tarpeellinen,adjectives,0.2
435,diflas,jännittävä,adjectives,0.25
436,gweriniaeth,herttua,nouns,0.25
437,ffwr,nainen,nouns,0.05
438,gwydn,ovela,adjectives,0.0
439,gwn,kersantti,nouns,0.35
440,rhif,luku,nouns,5.25
441,sefyllfa,olosuhde,nouns,4.95
442,diweddar,uusi,adjectives,3.15
443,côr,kirkko,nouns,0.6
444,arae,lista,nouns,0.65
445,gwrthod,valehdella,verbs,0.6
446,buwch,vuohi,nouns,1.35
447,gwm,piparminttu,nouns,0.65
448,bwriadu,koettaa,verbs,1.65
449,anghefnogi,epäonnistua,verbs,0.65
450,sant,synnintekijä,nouns,0.55
451,cul,likainen,adjectives,0.0
452,cebl,kappeli,nouns,0.0
453,cadw,omistaa,verbs,2.15
454,eirlithriad,lumi,nouns,1.55
455,bargen,penni,nouns,0.55
456,crefydd,sekularisti,nouns,0.85
457,priodol,muodollinen,adjectives,1.85
458,tywysoges,saari,nouns,0.0
459,mam,huoltaja,nouns,2.5
460,yn ofalus,varovasti,adverbs,3.35
461,gadael,ottaa,verbs,0.45
462,afal,sitruuna,nouns,1.4
463,gwas,orja,nouns,2.2
464,asgwrn,leuka,nouns,1.2
465,cyfoeth,arvovalta,nouns,0.2
466,proffwydo,määrittää,verbs,0.7
467,sedd,pankki,nouns,0.05
468,meddwl,päättää,verbs,1.9
469,crochenwaith,keraaminen esine,nouns,3.85
470,partner,poika,nouns,0.5
471,hapusrwydd,rauha,nouns,1.05
472,chwim,vikkelä,adjectives,4.85
473,ymuno,naida,verbs,1.85
474,camera,linssi,nouns,1.65
475,cael,ottaa,verbs,0.55
476,cofleidio,pidellä,verbs,1.8
477,radical,väkivaltainen,adjectives,1.1
478,olew,minkki,nouns,0.1
479,rheolaidd,oppimaton,adjectives,0.0
480,gweithgaredd,liike,nouns,1.4
481,milwr,poika,nouns,0.8
482,pêl-fas,veljeskunta,nouns,0.0
483,peilliad,hede,nouns,1.25
484,angau,tragedia,nouns,1.2
485,darganfod,olla peräisin,verbs,0.35
486,cenllysg,sade,nouns,2.35
487,gwrando,ymmärtää,verbs,1.35
488,jin,viski,nouns,1.95
489,pryd bynnag,joskus,adverbs,0.7
490,ychwanegu,liittyä,verbs,1.25
491,ysgafn,terävä,adjectives,0.05
492,eang,iso,adjectives,3.95
493,ffordd,käytös,nouns,3.25
494,ochr,huippu,nouns,0.45
495,rhewi,vapista,verbs,1.2
496,yn gyfrifol,itsenäisesti,adverbs,0.8
497,gwrthod,antaa,verbs,0.0
498,het,laatikko,nouns,0.05
499,mwsogl,ruoho,nouns,1.4
500,ffidil,soitin,nouns,2.6
501,eginblanhigyn,lehti,nouns,1.2
502,bàth,temppu,nouns,0.0
503,derbyn,antaa anteeksi,verbs,1.25
504,priffordd,tehtävä,nouns,0.0
505,gwydn,helppo,adjectives,0.2
506,gohirio,suorittaa loppuun,verbs,0.55
507,blwch  ,hattu,nouns,0.05
508,pryd bwyd,illallinen,nouns,3.35
509,lleng,armeija,nouns,3.1
510,economi,ekosysteemi,nouns,0.45
511,braich,laskimo,nouns,0.45
512,awyren,helikopteri,nouns,2.5
513,pren,peitto,nouns,0.0
514,yn annheg,reilusti,adverbs,0.25
515,parti,ihmiset,nouns,0.8
516,rabi,opettaja,nouns,2.55
517,llygoden,johtokunta,nouns,0.0
518,dyn,menestyjä,nouns,0.25
519,cysylltu,erottaa,verbs,0.25
520,rhythm,melodia,nouns,1.45
521,cenedlaethol,iso,adjectives,0.4
522,busnes,teollisuus,nouns,1.9
523,anwybyddu,jättää,verbs,1.7
524,gweithiwr,mekaanikko,nouns,2.35
525,yn wallgof,surullisesti,adverbs,0.25
526,cymhwysedd,valmiudet,nouns,4.2
527,carreg,puumateriaali,nouns,0.4
528,cred,kukka,nouns,0.0
529,wisgi,alkoholi,nouns,2.5
530,garddwrn,käsivarsi,nouns,1.75
531,mynd i mewn,jättää,verbs,0.1
532,afal,kastike,nouns,0.55
533,organ,maksa,nouns,1.95
534,cot,hattu,nouns,1.2
535,ffraeo,todistaa,verbs,0.25
536,brenhiniaeth,demokratia,nouns,0.95
537,ystadegau,tennis,nouns,0.0
538,cytuno,miellyttää,verbs,0.8
539,cig eidion,liha,nouns,3.1
540,sugnwr gwaed,lepakko,nouns,1.25
541,yn sicr,hermostunut,adjectives,0.0
542,twnnel,polku,nouns,0.75
543,cryfder,mahti,nouns,3.8
544,yn rhyfeddol,fantastisesti,adverbs,4.7
545,seryddol,massiivinen,adjectives,1.05
546,anaml,yleensä,adverbs,0.25
547,hydwyll,typerä,adjectives,1.3
548,coes,käsivarsi,nouns,1.05
549,clecian,rouskua,verbs,1.3
550,morwyn,auttaja,nouns,1.9
551,mae'n debyg,yksinkertaisesti,adverbs,0.25
552,dirywio,pyyhkiä,verbs,0.35
553,ffabrig,pellava,nouns,2.1
554,dal,matkia,verbs,0.1
555,biliwnydd,koditon,nouns,0.2
556,erthygl,kirja,nouns,1.2
557,caniatáu,vahvistaa,verbs,2.5
558,car,moottoritie,nouns,0.7
559,awdur,lukija,nouns,0.75
560,asgwrn,nilkka,nouns,1.45
561,prin,epätavallinen,adjectives,4.7
562,crwydro,etsiä,verbs,1.25
563,afal,makeinen,nouns,0.3
564,tarw,vasikka,nouns,2.05
565,gwenith,vilja,nouns,2.6
566,dynion,veljeskunta,nouns,1.3
567,ysgwydd,pää,nouns,0.9
568,gweithiwr,kamera,nouns,0.05
569,biotop,biologia,nouns,0.85
570,stopio,kuljettaa,verbs,0.15
571,gallu,vahvuus,nouns,1.95
572,afu,keuhko,nouns,1.25
573,paraseicoleg,neuropsykologia,nouns,1.9
574,gorffen,kilpailla,verbs,0.2
575,yn gyfan gwbl,niukasti,adverbs,0.15
576,car,taksi,nouns,3.65
577,syth,kaareva,adjectives,0.3
578,trafferthu,pahentaa,verbs,0.55
579,trwyn,suu,nouns,1.1
580,trên,raitiovaunu,nouns,2.65
581,actores,näyttelijä,nouns,4.35
582,fioled,kukka,nouns,2.05
583,ci,hevonen,nouns,1.25
584,archwilio,tutkia,verbs,2.85
585,pren,kivi,nouns,0.4
586,cadair,teleskooppi,nouns,0.0
587,datblygiad,varainkeruu ,nouns,0.2
588,arferol,erilainen,adjectives,0.55
589,myffin,persilja,nouns,0.25
590,asgwrn,polvi,nouns,1.5
591,newydd,käyttämätön,adjectives,4.55
592,treisgar,radikaali,adjectives,1.1
593,amddiffyn,säästää,verbs,2.1
594,gweddïo,kysyä,verbs,1.2
595,gadael,saapua,verbs,0.2
596,ffatri,auto,nouns,0.15
597,caniatáu,päästää,verbs,2.45
598,llaw,kynsi,nouns,1.25
599,top,pohja,nouns,0.35
600,siaced,neule,nouns,1.95
601,doniol,vakava,adjectives,0.25
602,byth,negatiivinen,adjectives,0.65
603,oedolyn,lapsi,nouns,0.9
604,braf,julma,adjectives,0.1
605,esgeuluso,olla tunnustamatta,verbs,0.45
606,yn gyfiawn,kypsästi,adverbs,0.5
607,traeth,saari,nouns,1.0
608,cyd-beilot,ohjaamo,nouns,0.25
609,cefn,häntä,nouns,0.95
610,cyfarch,suorittaa,verbs,0.15
611,digwydd,tehdä,verbs,1.05
612,cyffrous,tylsä,adjectives,0.25
613,ffrind,opettaja,nouns,0.6
614,lleihau,rajoittaa,verbs,3.45
615,aer,molekyyli,nouns,0.5
616,dod yn,valmistaa,verbs,0.05
617,cymysgu,yhdistää,verbs,3.2
618,yn hysbys,hyvin,adjectives,0.0
619,adfer,korvata,verbs,0.6
620,anifail,peto,nouns,2.9
621,polyn,lippu,nouns,0.7
622,tramgwyddo,lannistaa,verbs,0.7
623,tasg,nainen,nouns,0.0
624,dermatitis,ekseema,nouns,3.7
625,cwningen,kissa,nouns,1.15
626,ffrio,keittää,verbs,1.6
627,siwmper,puuvilla,nouns,0.65
628,ymuno,jättää,verbs,0.1
629,llymeitio,nieleksiä,verbs,2.3
630,cab,taksi,nouns,5.4
631,cyfreithiwr,asianajaja,nouns,4.5
632,lwc,onnellisuus,nouns,0.65
633,cul,valkoinen,adjectives,0.0
634,senedd,kongressi,nouns,3.15
635,llyfr,aihe,nouns,0.6
636,car,katu,nouns,0.55
637,yn arbennig,mielekkäästi,adverbs,0.95
638,fitamin,rauta,nouns,0.85
639,cyflymder,virka,nouns,0.0
640,gwraig,herra,nouns,0.8
641,yn ddiffuant,yleensä,adverbs,0.2
642,cleddyf,valtaistuin,nouns,0.4
643,plisman,sheriffi,nouns,2.95
644,glaswellt,juuri,nouns,0.7
645,cyhoeddi,julistaa,verbs,4.6
646,gair,vihje,nouns,0.3
647,cadlong,taistelulaiva,nouns,4.5
648,cul,hoikka,adjectives,3.35
649,anghwrtais,aggressiivinen,adjectives,1.65
650,pwnc,risuaita,nouns,0.55
651,crebachu,hävitä,verbs,1.85
652,heulwen,säde,nouns,2.15
653,damwain,katastrofi,nouns,3.8
654,brest,vartalo,nouns,1.65
655,disg,laturi,nouns,0.05
656,lindys,silkkitoukka,nouns,2.85
657,diemwnt,raha,nouns,0.7
658,siryf,kyttä,nouns,2.95
659,arall,vastapäinen,adjectives,0.65
660,gwraig,äiti,nouns,1.75
661,dysgu,imeä itseensä,verbs,1.4
662,gwely,huone,nouns,0.6
663,senoffobia,rasismi,nouns,3.9
664,oriel,lakimies,nouns,0.0
665,niwtral,rauhallinen,adjectives,0.95
666,trefnus,sotkuinen,adjectives,0.2
667,methu,lannistaa,verbs,0.65
668,pêl,maila,nouns,0.75
669,addysgu,opettaa,verbs,3.95
670,brwnt,halpa,adjectives,0.1
671,mefus,kirsikka,nouns,1.3
672,môr,tsunami,nouns,1.35
673,sylw,mielenkiinto,nouns,2.85
674,ffasiwn,tila,nouns,0.05
675,iogwrt,karja,nouns,0.2
676,mewnwelediad,älykkyys,nouns,2.95
677,cymylog,ennuste,nouns,0.35
678,gwin,brandy,nouns,1.35
679,siwmper,jakku,nouns,1.95
680,yn bryderus,hermostuneesti,adverbs,3.5
681,diogelwch,mukavuus,nouns,1.0
682,ap,galaksi,nouns,0.0
