ID,FIN,YUE,PoS,score
78,polttimo,花朵,nouns,0.0
79,moderni,古老,adjectives,0.29
80,hypoteesi,理論,nouns,3.74
81,suurenmoinen,壞,adjectives,0.1
82,linssi,相機,nouns,1.16
83,kaura,田,nouns,0.76
84,tunnustus,否認,nouns,0.38
85,kiireellisesti,迅速地,adverbs,4.36
86,ymmärrys,智力,nouns,2.97
87,hauska,枯燥,adjectives,0.24
88,seimi,床,nouns,2.92
89,rumpu,吉他,nouns,1.21
90,pelaaja,教練,nouns,0.5
91,perustuslaki,皇帝,nouns,0.33
92,kerätä,组织,verbs,1.08
93,haavoittuvainen,簡單,adjectives,0.23
94,erilainen,正常,adjectives,0.24
95,teeskennellä,似乎,verbs,0.58
96,eläin,野獸,nouns,3.08
97,kannettava tietokone,筆記本,nouns,0.66
98,hematologia,病理學,nouns,2.22
99,tarina,歌曲,nouns,0.39
100,jonkun poika,男孩子,nouns,3.42
101,ystävä,老師,nouns,0.76
102,säilytysastia,老鼠,nouns,0.0
103,jakaa,乘,verbs,0.69
104,asianmukainen,有禮貌,adjectives,2.63
105,avoimesti,大規模,adverbs,0.28
106,vastaanottaa,發送,verbs,0.24
107,vankila,選擇,nouns,0.0
108,alkoholi,啤酒,nouns,3.44
109,terapia,行動主義,nouns,0.35
110,muu,相反,adjectives,0.24
111,imeä itseensä,退出,verbs,0.39
112,moraaliton,非法,adjectives,2.12
113,iloinen,瘋狂,adjectives,0.33
114,kypsentää,失去,verbs,0.04
115,morsian,新郎,nouns,1.82
116,tunnustaa,說話,verbs,0.97
117,myöntyä,接受,verbs,3.9
118,sänky,睡房,nouns,1.18
119,helposti,舒服地,adverbs,1.21
120,kipu,危害,nouns,0.98
121,innovatiivinen,有創意,adjectives,4.97
122,ympärileikkaus,包皮,nouns,1.32
123,selviytyä,生活,verbs,3.02
124,pikainen,快,adjectives,5.0
125,väkivaltainen,嬲,adjectives,1.32
126,keinotekoinen,假,adjectives,4.03
127,magma,火山,nouns,1.51
128,lakimies,銀行家,nouns,1.42
129,väkijuoma,世紀,nouns,0.04
130,myöntyä,不同,verbs,0.04
131,turvallisesti,高高興興地,adverbs,0.92
132,lippu,旗幟學,nouns,1.3
133,syvästi,大多,adverbs,0.71
134,sekularisti,宗教,nouns,0.34
135,keskustelu,高度,nouns,0.04
136,mestari,優勝者,nouns,3.88
137,kuivuus,水,nouns,0.15
138,tietosanakirja,字典,nouns,2.83
139,koripallo,棒球,nouns,1.97
140,tunneli,路徑,nouns,0.66
141,metri,碼,nouns,2.54
142,enkeli,惡魔,nouns,0.54
143,kuljettaja,飛行員,nouns,3.42
144,ovi,門口,nouns,3.61
145,helikopteri,飛機,nouns,2.08
146,laillinen,允許,adjectives,3.63
147,prinssi,國王,nouns,2.18
148,kypsästi,正直地,adverbs,0.34
149,tee,檸檬,nouns,0.39
150,ruma,粗糙,adjectives,0.66
151,mekaanisesti,理想地,adverbs,0.18
152,temppu,尺寸,nouns,0.0
153,vaatia,訓斥,verbs,0.15
154,vaeltaa,搜索,verbs,0.53
155,syytön,幼稚,adjectives,0.24
156,luotettavasti,大致,adverbs,0.28
157,tahmea,濕,adjectives,1.27
158,ravistaa,收集,verbs,0.1
159,suru,幸福,nouns,0.29
160,vartalo,脊柱,nouns,0.88
161,lemmikkieläin,貓,nouns,2.87
162,auto,喇叭,nouns,0.09
163,sänky,椅子,nouns,1.51
164,rauhallisesti,巧妙的,adverbs,1.01
165,tankki,汽車,nouns,0.81
166,laatija,子程序,nouns,0.28
167,esilämmitys,再熱,nouns,1.73
168,halpa,髒,adjectives,0.38
169,kehitys,募捐,nouns,0.09
170,onnekas,慚愧,adjectives,0.1
171,särkyvä,冷淡,adjectives,0.15
172,ylpeä,傲慢,adjectives,2.69
173,kapea,髒,adjectives,0.0
174,pekoni,早餐,nouns,0.78
175,yhtye,遊行,nouns,0.38
176,helppo,簡單,adjectives,5.03
177,rakko,插圖,nouns,0.04
178,työnantaja,工作者,nouns,1.02
179,piano,和聲,nouns,0.67
180,välttää,拒絕,verbs,0.58
181,kahva,蛋白質,nouns,0.04
182,neutraali,冷靜,adjectives,0.73
183,ylpeä,堅強,adjectives,0.48
184,kuolla,分化,verbs,0.55
185,tuhota,腐爛,verbs,0.68
186,miellyttää,求情,verbs,0.47
187,miljonääri,元,nouns,0.48
188,läsnäolo,門,nouns,0.0
189,muistuttaa,賣,verbs,0.0
190,karja,乳酪,nouns,0.33
191,pilvi,窗口,nouns,0.0
192,onnettomuus,緊急情況,nouns,3.54
193,voittaa,成功,verbs,3.74
194,profeetta,牧師,nouns,0.93
195,liikkua,編織,verbs,0.55
196,puuvilla,冷衫,nouns,0.78
197,emolevy,主板,nouns,3.87
198,ymmärtää,原諒,verbs,0.73
199,vakuuttaa,拗撬,verbs,0.63
200,myydä,走,verbs,0.15
201,vero,收入,nouns,0.53
202,niellä,喝,verbs,1.56
203,koditon,億萬富翁,nouns,0.2
204,repiä,穿,verbs,0.05
205,aviomies,老婆,nouns,1.74
206,valmistaa,賺,verbs,0.1
207,naida,團結,verbs,0.97
208,ruokavalio,蘋果,nouns,0.63
209,oppimaton,頻繁,adjectives,0.04
210,temppu,遊戲,nouns,0.63
211,ottaa,偷,verbs,1.18
212,vaahtera,樹木,nouns,3.88
213,halata,扼殺,verbs,0.29
214,keramiikka,陶瓷,nouns,3.49
215,laulu,故事,nouns,0.39
216,verrata,分析,verbs,2.73
217,parasetamoli,支氣管炎,nouns,0.1
218,murskata,打碎,verbs,4.35
219,epämääräinen,不清楚,adjectives,4.58
220,viikonloppu,種族,nouns,0.0
221,laukaista,发送,verbs,2.15
222,sijainen,軍官,nouns,0.39
223,sonni,小牛,nouns,2.83
224,janoinen,飢餓,adjectives,1.59
225,vaikea,簡單,adjectives,0.34
226,lihas,骨頭,nouns,0.63
227,vedota,請,verbs,0.47
228,pitkä,狹窄,adjectives,0.67
229,jakaa,加,verbs,0.81
230,oppilas,總統,nouns,0.24
231,apokalypsi,火,nouns,0.24
232,paha,不誠實,adjectives,1.35
233,kova,簡單,adjectives,0.04
234,käsi ,腳,nouns,1.61
235,vaatteet,布,nouns,2.24
236,rako,開口,nouns,3.81
237,kellari,門,nouns,0.29
238,makuuhuone,單車,nouns,0.0
239,pää,鼻子,nouns,0.74
240,tammi,楓木,nouns,2.45
241,valinta,章,nouns,0.15
242,yhdistää,劃分,verbs,0.3
243,vanha,雜,adjectives,0.14
244,protestantti,基督教,nouns,4.03
245,infektio,詞性變化,nouns,0.09
246,hienostonut,成熟,adjectives,0.88
247,sisäkatto,屋頂,nouns,3.58
248,lainmukainen,非法,adjectives,0.29
249,valmistaa,毀滅,verbs,0.34
250,etsiä,徘徊,verbs,0.53
251,silkkitoukka,毛毛蟲,nouns,3.08
252,valmistaa,建造,verbs,2.84
253,vene,錨,nouns,0.67
254,mieletön,高興,adjectives,0.33
255,optimistisesti,可能,adverbs,0.93
256,mielekkäästi,深度地,adverbs,1.23
257,vaunu,馬車,nouns,4.29
258,rabbi,部長,nouns,0.24
259,painovoima,流星,nouns,0.38
260,vaatteet,衣櫃,nouns,0.61
261,kampus,大學,nouns,2.68
262,jättää,攞,verbs,0.45
263,sanoa,參與,verbs,0.25
264,prinsessa,島,nouns,0.0
265,raitiovaunu,火車,nouns,2.47
266,ikkuna,屋頂,nouns,0.77
267,kuutio,玩具,nouns,0.24
268,säde,陽光,nouns,1.32
269,hiiri,管理,nouns,0.04
270,kuluttaa,保存,verbs,0.25
271,elin,肝臟,nouns,2.47
272,näyttelijä,女演員,nouns,4.13
273,lasi,徽章,nouns,0.09
274,mennä,發送,verbs,0.1
275,katu,小巷,nouns,3.65
276,passiivinen,暴力,adjectives,0.15
277,nyt,這裡,adverbs,0.48
278,matka,旅行,nouns,4.71
279,epätavallinen,罕見,adjectives,4.42
280,kriittinen,無禮貌,adjectives,0.67
281,taksiauto,的士,nouns,5.55
282,yrittää,想,verbs,0.52
283,linja-auto,的士,nouns,2.13
284,puristaa,擁抱,verbs,0.8
285,herra,女士,nouns,0.91
286,tihkusade,雨,nouns,4.18
287,hurrikaani,暴風雨,nouns,3.38
288,tähtitieteellinen,大規模,adjectives,1.03
289,pesäpallo,兄弟會,nouns,0.14
290,valinta,監獄,nouns,0.0
291,välikäytävä,大廳,nouns,0.74
292,puu,葉,nouns,1.06
293,niittää,獲得,verbs,0.94
294,biologi,顯微鏡,nouns,0.56
295,laivasto,島,nouns,0.05
296,luoda,畫,verbs,1.13
297,kritisoida,討厭,verbs,0.78
298,ase,毛,nouns,0.04
299,harmonia,鋼琴,nouns,0.67
300,vaatimaton,靈活,adjectives,0.39
301,näyttää,變成,verbs,0.56
302,tavata,離開,verbs,0.0
303,tanssi,裙,nouns,0.1
304,koju,電話,nouns,0.0
305,puhtaasti,完全地,adverbs,3.59
306,lisätä,建立,verbs,0.77
307,evakuoida,確定,verbs,0.05
308,siisti,乾淨,adjectives,4.63
309,matemaatikko,節目,nouns,0.04
310,lannistaa,鼓勵,verbs,0.2
311,ministeri,拉比,nouns,0.24
312,biotooppi,生物學,nouns,0.79
313,neuroosi,頭腦,nouns,0.57
314,kyttä,副駕駛,nouns,0.49
315,kohta,頁,nouns,0.43
316,polvi,手臂,nouns,0.83
317,rankka,容易,adjectives,0.38
318,elokuvateatteri,歌劇,nouns,2.12
319,kahdesti,總是,adverbs,0.54
320,eläin,人,nouns,0.38
321,meri,河流,nouns,1.79
322,sosiobiologia,突變體,nouns,0.14
323,viestintä,語言,nouns,1.68
324,puhua,承認,verbs,0.97
325,ruoho,根,nouns,0.72
326,lemma,音節,nouns,0.85
327,avain,房屋,nouns,0.38
328,hermo,身體,nouns,0.78
329,leipä,芝士,nouns,0.93
330,tuli,大災變,nouns,0.24
331,tohtori,大夫,nouns,5.05
332,kielenkäyttö,溝通,nouns,1.68
333,raapustaa,寫,verbs,3.47
334,sivu,段,nouns,0.43
335,kello,門,nouns,0.33
336,nenä,嘴巴,nouns,0.94
337,liitto,組合,nouns,3.49
338,avain,王冠,nouns,0.04
339,auringonpaiste,蘋果,nouns,0.0
340,aihe,書,nouns,0.3
341,keilaaminen,保齡球選手,nouns,1.77
342,kyttä,警長,nouns,3.62
343,anoa,懇求,verbs,3.27
344,kaareva,歪斜,adjectives,2.78
345,maksa,器官,nouns,2.47
346,pallo,大炮,nouns,0.09
347,juusto,麵包,nouns,0.93
348,tarpeellinen,不需要,adjectives,0.24
349,kysyä,幫忙,verbs,0.2
350,tölkki,瓶子,nouns,2.08
351,solu,房間,nouns,0.88
352,hermostunut,害怕,adjectives,2.5
353,neste,噴嘴,nouns,0.18
354,julma,不公平,adjectives,1.17
355,pääasiassa,末期,adverbs,0.2
356,potilas,複診,nouns,0.42
357,epäilty,男人,nouns,0.33
358,putka,單身牢房,nouns,0.6
359,presidentti,政治家,nouns,3.04
360,sateenvarjo,品質,nouns,0.0
361,kuorma-auto,汽車,nouns,2.78
362,antaa,偷,verbs,0.2
363,terävä,平滑,adjectives,0.15
364,muodostaa,做,verbs,2.84
365,istunto,病人,nouns,0.42
366,kissa,老鼠,nouns,0.83
367,tytär,孩子,nouns,2.0
368,talous,生態系統,nouns,0.54
369,suuruus,深度,nouns,0.94
370,lehti,幼苗,nouns,1.15
371,aikuinen,小孩,nouns,0.78
372,havaita,聽,verbs,1.56
373,valmentaja,棒球,nouns,0.25
374,syntymäpäivä,日期,nouns,2.0
375,käsittää,滿足,verbs,0.05
376,osoitin,幻灯片,nouns,0.14
377,illallinen,餐,nouns,3.21
378,fiksu,醒目,adjectives,4.93
379,seutu,地區,nouns,4.39
380,ontua,步行,verbs,2.42
381,hallinto,行政管理,nouns,3.24
382,siirrellä,騎,verbs,0.45
383,pienentää,降落,verbs,0.15
384,vaalit,選擇,nouns,2.33
385,kauhea,傷心,adjectives,0.54
386,onnettomuus,書,nouns,0.0
387,dollari,百萬富翁,nouns,0.48
388,vartalo,肩,nouns,0.96
389,suihkukone,飛機,nouns,3.73
390,lippu,杆,nouns,0.71
391,juoda,吞,verbs,1.56
392,rauhallisesti,堅固地,adverbs,0.46
393,tuore,舊,adjectives,0.2
394,lainata,保持,verbs,0.2
395,keuhko,肝,nouns,1.08
396,laskimo,選擇,nouns,0.04
397,harvinainen,笨,adjectives,0.14
398,kaapeli,巫師,nouns,0.0
399,maailma,地球,nouns,4.09
400,tulla sisään,走,verbs,0.81
401,pohja,側面,nouns,0.43
402,vapista,凍結,verbs,0.35
403,valtava,笨,adjectives,0.09
404,matkapuhelin,電話,nouns,4.48
405,kaoottisesti,和平地,adverbs,0.2
406,valehdella,指控,verbs,0.14
407,lusikka,杯子,nouns,1.1
408,viestiä,祈禱,verbs,0.34
409,niitty,草原,nouns,4.04
410,vaimo,一分錢,nouns,0.0
411,osavaltio,家,nouns,0.1
412,luonnollisesti,悄悄地,adverbs,0.43
413,ateria,晚飯,nouns,3.1
414,toimittaa,攜帶,verbs,2.4
415,pakti,協議,nouns,4.26
416,miekka,王座,nouns,0.05
417,psykologia,科學,nouns,1.55
418,putki,雪茄,nouns,0.29
419,kirkua,叫喊,verbs,4.12
420,polkupyörä,睡房,nouns,0.0
421,maatalous,單一耕作,nouns,1.11
422,opettaja,學生,nouns,1.01
423,etsintä,目標,nouns,0.24
424,uutiset,社論,nouns,2.07
425,kurpitsa,血液,nouns,0.32
426,kuolema,災難,nouns,1.04
427,turkki,女人,nouns,0.0
428,leikkiä,搏鬥,verbs,0.48
429,keuhkoputkentulendus,對乙酰氨基酚,nouns,0.1
430,paketti,貨車,nouns,0.14
431,talo,地毯,nouns,0.47
432,häkki,柵欄,nouns,0.23
433,ajatella,記得,verbs,0.55
434,vyöhyke,地區,nouns,4.25
435,nihilismi,電影,nouns,0.09
436,luoja,作者,nouns,3.72
437,hiili,原子,nouns,1.33
438,naru,日落,nouns,0.0
439,raivo,生氣,nouns,4.34
440,aita,跳躍,nouns,0.1
441,kylpy,戲法,nouns,0.04
442,torjua,退出,verbs,0.74
443,kummallinen,狡猾,adjectives,0.61
444,pää,肩,nouns,0.73
445,ruoka,程序,nouns,0.0
446,tietoisuus,注意,nouns,2.46
447,saada,放,verbs,0.1
448,kuukausittainen,每週,adjectives,1.38
449,äiti,爸爸,nouns,1.67
450,suojella,救,verbs,1.08
451,tehdä yhteistyötä,參加,verbs,0.79
452,piparminttu,口香糖,nouns,0.63
453,töykeä,批評,adjectives,0.67
454,siristää silmiään,怒視,verbs,0.6
455,ennen,之後,adverbs,0.24
456,saada kiinni,收到,verbs,0.78
457,juoda,提高,verbs,0.0
458,ilmiselvästi,不顯眼地,adverbs,0.15
459,minuutti,秒,nouns,2.69
460,normaali,不同,adjectives,0.24
461,ilmaista,說,verbs,3.17
462,ikkuna,門,nouns,1.02
463,omena,檸檬,nouns,1.12
464,lintu,火雞,nouns,2.49
465,tarpeeton,必須,adjectives,0.24
466,siemailla,大口地吃,verbs,1.27
467,sotkuinen,核突,adjectives,0.71
468,arvioida,學習,verbs,0.49
469,minkki,毛,nouns,1.22
470,laatikko,小亭,nouns,0.05
471,koriste,牆壁,nouns,0.38
472,hyväksyä,同意,verbs,3.9
473,hallita,停止,verbs,0.43
474,häpeissään oleva,幸運,adjectives,0.1
475,omena,醬,nouns,0.53
476,surullinen,搞笑,adjectives,0.24
477,alieni,外國人,nouns,4.28
478,jäytää,允許,verbs,0.0
479,kieltäminen,坦白,nouns,0.38
480,voittaa,統治,verbs,0.92
481,säilytysastia,瓶子,nouns,2.94
482,opettaa,懲罰,verbs,0.57
483,syyttää,指控,verbs,3.46
484,jättää,出現,verbs,0.04
485,tieto,熵,nouns,0.19
486,luoda,潛水,verbs,0.04
487,jakolasku,乘法,nouns,1.8
488,saari,海軍,nouns,0.05
489,normaalisti,常規地,adverbs,3.56
490,mehu,奶昔,nouns,1.02
491,ammatti,學院,nouns,0.24
492,purra,搏鬥,verbs,0.72
493,vaara,威脅,nouns,4.83
494,ajatella,決定,verbs,1.27
495,älykäs,笨,adjectives,0.48
496,amerikkalainen jalkapallo,有趣,nouns,0.33
497,uskomus,印象,nouns,1.03
498,ikuisuus,零,nouns,0.28
499,talo,公寓,nouns,3.84
500,tavoitella,說服,verbs,0.48
501,olla tunnustamatta,疏忽,verbs,0.34
502,aktiivisesti,準確地,adverbs,0.8
503,yhtye,酒,nouns,0.0
504,tienraivaaja,射手,nouns,0.15
505,peitto,木,nouns,0.0
506,reikä,協議,nouns,0.0
507,hauska,嚴肅,adjectives,0.34
508,kaatua,傷害,verbs,0.53
509,puro,河,nouns,3.04
510,anarkia,混亂,nouns,3.34
511,unohtaa,學習,verbs,0.24
512,käsikirjoittaja,電視,nouns,0.66
513,kiista,協議,nouns,0.29
514,hauskanpito,足球,nouns,0.33
515,lattia,屋頂,nouns,0.58
516,lautanen,碗,nouns,2.38
517,jättää,參加,verbs,0.05
518,luku,數,nouns,4.55
519,riisi,男孩,nouns,0.04
520,nälkäinen,渴,adjectives,1.59
521,kotona,在別處,adverbs,0.34
522,sulttaani,部,nouns,0.15
523,toimittaja,詩人,nouns,0.49
524,peto,動物,nouns,3.08
525,televisio,溝通,nouns,0.65
526,prinsessa,新娘,nouns,0.43
527,epäkypsä,長大,adjectives,0.24
528,vahvuus,耐力,nouns,3.41
529,vuosikymmen,世紀,nouns,1.25
530,virkapuku,鈎織編織,nouns,0.0
531,typerä,輕信,adjectives,1.3
532,etäisyys,角度,nouns,0.33
533,polku,隧道,nouns,0.66
534,kadetraali,天花板,nouns,0.1
535,nauraa,唱,verbs,0.43
536,viha,狂怒,nouns,4.34
537,mehiläinen,昆蟲,nouns,3.17
538,tietämättömyys,智力,nouns,0.24
539,saada kiinni,捕獲,verbs,3.17
540,lahja,作家,nouns,0.04
541,logiikka,算術,nouns,1.97
542,kuningas,王子,nouns,2.18
543,suorittaa,敬禮,verbs,0.15
544,loukata,打稿,verbs,0.55
545,lammas,牛,nouns,2.21
546,ymmärtää,聽,verbs,0.89
547,kerätä,聚集,verbs,1.05
548,karitsa,羊,nouns,4.01
549,loistava,棒,adjectives,4.25
550,ei koskaan,否定,adjectives,0.91
551,aita,軌,nouns,0.1
552,monitahokas,演員,nouns,0.33
553,syyllinen,壞,adjectives,0.78
554,iloinen,開心,adjectives,4.63
555,analysoida,評估,verbs,4.38
556,yö,章節,nouns,0.0
557,rakentaa,創建,verbs,3.66
558,sitoa,編織,verbs,1.1
559,taso,得分,nouns,0.72
560,kuvernööri,皇帝,nouns,0.92
561,antaa,保持,verbs,0.29
562,juliste,紙,nouns,2.48
563,voittaa,打敗,verbs,2.92
564,turkki,貂,nouns,1.22
565,kukka,紫羅蘭,nouns,3.22
566,valloitus,聖歌,nouns,0.0
567,lista,陣列,nouns,0.83
568,mahtava,精彩,adjectives,4.25
569,tuhlata,擔心,verbs,0.05
570,jakku,針織套衫,nouns,2.46
571,metalli,鋁,nouns,2.59
572,kertoa,加,verbs,1.11
573,hattu,盒子,nouns,0.05
574,ansaita,做,verbs,0.1
575,kampanja,猴子,nouns,0.09
576,aamunkoitto,晚上,nouns,0.82
577,sekoittaa,溶解,verbs,0.69
578,heikko,辣,adjectives,0.04
579,vektori,矩陣,nouns,0.93
580,sanoa,表達,verbs,3.17
581,juoma,啤酒,nouns,2.49
582,luoda,建立,verbs,3.66
583,ratkaista,完成,verbs,2.91
584,pöly,掃帚,nouns,0.8
585,raivostunut,猶豫,adjectives,0.48
586,jättää,見面,verbs,0.0
587,pilvi,薄霧,nouns,2.53
588,muoti,模式,nouns,0.0
589,ilmeisesti,簡直,adverbs,0.46
590,yrittää,實現,verbs,0.73
591,ilmestyä,離開,verbs,0.04
592,mutantti,社會生物學,nouns,0.14
593,sänky,醫院,nouns,0.24
594,vyötärö,一餐,nouns,0.05
595,supistaa,淋透,verbs,0.04
596,auto,軟管,nouns,0.09
597,basilikakirkko,馬賽克,nouns,0.25
598,tarkalleen,準確地,adverbs,5.02
599,rikollinen,犯罪者,nouns,5.47
600,turkki,槍,nouns,0.04
601,tukki,沖涼,nouns,0.0
602,outo,正常,adjectives,0.29
603,jakaa,團結,verbs,0.3
604,opettaja,朋友,nouns,0.76
605,tyttö,女傭,nouns,1.18
606,pelto,燕麥,nouns,0.76
607,kaavio,圖解,nouns,3.16
608,syvästi,有意義,adverbs,1.23
609,konsepti,信念,nouns,1.05
610,opetussuunnitelma,考試,nouns,0.84
611,paraati,人群,nouns,1.4
612,järvi,沼澤,nouns,2.02
613,mekko,舞蹈,nouns,0.1
614,hunaja,乳製品,nouns,0.14
615,hienotunteisesti,目前,adverbs,0.18
616,tuho,建造,nouns,0.34
617,teeskennellä,講大話,verbs,2.96
618,tila,憤怒,nouns,0.53
619,työntekijä,僱主,nouns,0.73
620,kastella,减少,verbs,0.04
621,automobiili,汽車,nouns,6.0
622,yhtenäinen,未成形,adjectives,0.25
623,omena,飲食,nouns,0.63
624,sallia,侵蝕,verbs,0.0
625,hallittu,亂七八糟,adjectives,0.24
626,viaton,自由,adjectives,0.3
627,kuulla,說話,verbs,0.39
628,kieleke,山,nouns,0.3
629,järjestelmä,故障,nouns,0.15
630,keilaaja,保齡球,nouns,1.77
631,kulmakarva,眼睛,nouns,0.73
632,liueta,混合,verbs,0.69
633,sauvaohjain,雷達,nouns,0.29
634,harvinainen,非一般,adjectives,4.42
635,polvi,骨頭,nouns,1.1
636,liittyä,結婚,verbs,0.55
637,vastapäinen,獨特,adjectives,0.29
638,algebra,手術,nouns,0.1
639,luu,踝,nouns,1.03
640,varallisuus,貧困,nouns,0.43
641,vastaanottaa,給予,verbs,0.43
642,jättää,等待,verbs,0.15
643,näyttö,音系學,nouns,0.1
644,tykki,槍,nouns,2.59
645,epävarma,黏人,adjectives,0.43
646,alkoholi,白蘭地酒,nouns,3.22
647,enimmäkseen,深深地,adverbs,0.71
648,hakija,申請,nouns,0.78
649,henkilö,人物,nouns,3.98
650,ilmoittaa,承認,verbs,1.08
651,säilyketölkki,金屬,nouns,1.54
652,puhdas,一塵不染,adjectives,5.2
653,paha,內疚,adjectives,0.78
654,paikallisesti,明顯地,adverbs,0.09
655,sallia,讓,verbs,2.91
656,viski,酒,nouns,3.35
657,moottoritie,任務,nouns,0.0
658,talo,鎖匙,nouns,0.38
659,rauhallisesti,安然,adverbs,3.63
660,aloittaa,戒除,verbs,0.24
661,baari,籠子,nouns,0.23
662,vakuuttaa ,嘗試,verbs,0.2
663,antropologia,考古學,nouns,1.93
664,tukea,協助,verbs,4.29
665,joskus,一致地,adverbs,0.1
666,saada kiinni,追逐,verbs,0.93
667,ottaa,奪取,verbs,2.46
668,lujasti,輕輕的,adverbs,0.24
669,kirkkaasti,非常,adverbs,0.9
670,ottaa,離開,verbs,0.45
671,hajota,死,verbs,0.55
672,omena,糖果,nouns,0.24
673,aikuinen,家長,nouns,3.24
674,älykkyys,智慧,nouns,3.9
675,aviomies,男人,nouns,2.94
676,tulla johtopäätökseen,決定,verbs,3.63
677,hirveä,偉大,adjectives,0.29
678,rauha,士兵,nouns,0.15
679,hammaslääkäri,上校,nouns,0.45
680,saatana,天神,nouns,0.7
681,massiivinen,天文,adjectives,1.03
682,shakki,檢查,nouns,0.0
683,rytmi,算術,nouns,0.1
684,tyhmä,巨大,adjectives,0.09
685,uutiset,流言蜚語,nouns,0.96
686,kaliiperi,遮,nouns,0.0
687,sateenvarjo,暖爐,nouns,0.1
688,puoli,下面,nouns,0.43
689,kirjailija,小說,nouns,0.57
690,virka,速度,nouns,0.0
691,ottaa,收到,verbs,3.33
692,luvata,發誓,verbs,4.22
693,pahentaa,打稿,verbs,0.2
694,hiiri,甲板,nouns,0.04
695,lattia,門,nouns,0.63
696,lumi,風暴,nouns,0.86
697,antaa lupa,贊成,verbs,2.88
698,maksu,付款,nouns,3.31
699,laatikko,資源,nouns,0.04
700,orivarsa,馬,nouns,3.38
701,rankka,堅硬,adjectives,3.08
702,halkaista,分離,verbs,2.06
703,punainen,藍色,adjectives,0.69
704,suuri,巨大,adjectives,4.41
705,asu,球,nouns,0.04
706,tyhmä,蠢,adjectives,5.23
707,vesi,乾旱,nouns,0.15
708,korottaa,成長,verbs,1.02
709,antaa,放,verbs,0.77
710,kertoa,除,verbs,0.69
711,iskeä,未打中,verbs,0.24
712,mukavuus,安全,nouns,0.45
713,yksinkertaisesti,看來,adverbs,0.46
714,ranta,島,nouns,0.86
715,tavallinen,難以置信,adjectives,0.2
716,piispa,大主教,nouns,3.84
717,omistaa,保持,verbs,1.43
718,kulho,碟,nouns,2.38
719,ulkolainen,異族,nouns,4.28
720,ekosysteemi,經濟,nouns,0.54
721,korkeakoulu,級數,nouns,0.29
722,sumu,雲,nouns,1.75
723,kastike,蘋果,nouns,0.53
724,pullo,罐,nouns,2.08
725,outo,古怪,adjectives,5.57
