ID,FRA,SPA,PoS,score
216,engloutir,sorber,verbs,1.95
217,randonner,escalar,verbs,1.85
218,réprimander,pedir,verbs,0.7
219,obtenir,poner,verbs,0.35
220,donner,poner,verbs,1.5
221,soleil couchant,cuerda,nouns,0.0
222,perdre,mantener,verbs,0.8
223,cible,flecha,nouns,1.9
224,toit,techo,nouns,4.6
225,toujours,dos veces,adverbs,0.8
226,île,tarea,nouns,0.1
227,comportementalisme,terapia,nouns,1.6
228,furieux,feliz,adjectives,0.75
229,matériel,caso,nouns,1.25
230,apparaître,asistir,verbs,2.1
231,brume,nube,nouns,3.15
232,sale,increíble,adjectives,0.35
233,colère,estado animico,nouns,3.1
234,promettre,jurar,verbs,5.35
235,tante,tío,nouns,3.55
236,dictionnaire,definición,nouns,2.8
237,argent,perla,nouns,1.3
238,fenêtre,techo,nouns,1.1
239,vainqueur,candidato,nouns,2.15
240,singe,campaña,nouns,0.1
241,ordinaire,promedio,adjectives,3.85
242,moteur,bote,nouns,1.1
243,approuver,permitir,verbs,3.35
244,victime,teléfono,nouns,0.1
245,donation,ofrecimiento,nouns,3.75
246,week-end,semana,nouns,2.6
247,apprécier,entretener,verbs,1.3
248,garder,poseer,verbs,2.85
249,significativement,especialmente,adverbs,2.45
250,spectacle,matemático,nouns,0.15
251,poliment,discretamente,adverbs,2.1
252,s'écraser,tropezarse,verbs,3.0
253,boucle,cinturón,nouns,1.9
254,débattre,diferir de,verbs,2.25
255,base-ball,fraternidad,nouns,0.35
256,enseignant,rabino,nouns,1.25
257,parapluie,calentador,nouns,0.35
258,tuyau,coche,nouns,0.25
259,chanson,balada,nouns,4.35
260,s'échapper,huir,verbs,5.65
261,secrétaire,mujer,nouns,1.0
262,sang,médula,nouns,1.9
263,mal,terrible,adjectives,3.6
264,engagement,cita,nouns,3.7
265,arbre,arce,nouns,4.2
266,sandwich,carne,nouns,1.35
267,nécessairement,esencialmente,adverbs,3.75
268,copilote,policía,nouns,0.55
269,bête,animal,nouns,4.75
270,aller,salir,verbs,3.95
271,météore,gravedad,nouns,1.4
272,sûrement,a veces,adverbs,1.1
273,doigt,dedo del pie,nouns,4.4
274,proclamer,anunciar,verbs,4.9
275,organe,hígado,nouns,2.8
276,vérifier,justificar,verbs,2.3
277,aube,día,nouns,3.35
278,capteur,radiador,nouns,1.1
279,politicien,presidente,nouns,3.05
280,accident,libro,nouns,0.4
281,attaque,bombardeo aéreo,nouns,2.85
282,angle,curva,nouns,2.4
283,tour,campana,nouns,1.65
284,taxi,coche,nouns,3.9
285,mère,papá,nouns,2.65
286,pied,arena,nouns,0.5
287,duc,república,nouns,0.4
288,sculpteur,palacio,nouns,0.65
289,nouveau,antiguo,adjectives,0.95
290,pot,aparato,nouns,0.2
291,tarte,chocolate,nouns,1.7
292,justement,maduro,adverbs,1.2
293,oublier,saber,verbs,0.9
294,animal de compagnie,gato,nouns,3.75
295,dessiner,crear,verbs,2.2
296,rabbin,profesor,nouns,1.25
297,enseignant,ayudante,nouns,1.8
298,outil,trabajo,nouns,0.8
299,recommander,aceptar,verbs,0.9
300,sol,techo,nouns,1.45
301,radical,violento,adjectives,2.85
302,construire,hacer,verbs,3.85
303,énorme,grande,adjectives,4.8
304,professeur,amigo,nouns,0.9
305,théâtre,batería,nouns,0.15
306,séparer,salir,verbs,1.05
307,pistolet,gente,nouns,0.25
308,employé,vocalista,nouns,0.45
309,passivement,activamente,adverbs,0.95
310,malheureux,enojado,adjectives,2.35
311,attirer,golpear,verbs,0.6
312,éléphant,dinosaurio,nouns,1.3
313,mort,tragedia,nouns,2.85
314,parfois,seguramente,adverbs,1.1
315,pistolet,cuchillo,nouns,2.3
316,évidemment,en la zona,adverbs,0.15
317,influencer,inclinarse,verbs,2.45
318,herbe,marijuana,nouns,5.2
319,calmement,firmemente,adverbs,0.9
320,soigneusement,cautelosamente,adverbs,3.9
321,assister,ayudar,verbs,4.9
322,enseigner,castigar,verbs,0.6
323,commencer,comenzar,verbs,5.9
324,divertir,complacer,verbs,1.45
325,pièce,bañera,nouns,1.1
326,surtout,profundamente,adverbs,1.25
327,encourager,desalentar,verbs,1.0
328,bonheur,tristeza,nouns,1.35
329,nécessaire,esencial,adjectives,5.35
330,idée,opinión,nouns,4.35
331,représenter,notificar,verbs,1.0
332,effrayé,tímido,adjectives,2.25
333,nerf,cerebro,nouns,1.6
334,météo,ola,nouns,0.75
335,wagon,envase,nouns,0.2
336,ami,profesor,nouns,0.9
337,justice,tribunal,nouns,3.15
338,apparaître,volverse,verbs,1.15
339,atmosphère,contaminación,nouns,1.9
340,deviner,irritar,verbs,0.15
341,épée,ambiente,nouns,0.1
342,taille,centavo,nouns,0.15
343,transparent,puntero,nouns,0.35
344,persuader,discutir,verbs,1.05
345,veine,estómago,nouns,0.85
346,avoir l'intention de,intentar,verbs,3.8
347,honnêtement,sinceramente,adverbs,5.45
348,pomme,jugo,nouns,1.65
349,effrayé,inseguro,adjectives,1.55
350,lettre,párrafo,nouns,1.5
351,avec optimisme,posiblemente,adverbs,0.9
352,éroder,descolorarse,verbs,0.8
353,école,derecho,nouns,1.25
354,réduire,empapar,verbs,0.05
355,disque,cargador,nouns,0.8
356,frère,niño,nouns,2.2
357,recevoir,comprar,verbs,2.35
358,pollinisation,estambre,nouns,1.6
359,jeans,mujer,nouns,0.2
360,chercher,encontrar,verbs,2.0
361,mur,ladrillo,nouns,1.75
362,cloche,torre,nouns,1.65
363,pacte,acuerdo,nouns,5.45
364,chercher,mirar,verbs,2.3
365,honnêtement,nunca,adverbs,0.15
366,honteux,trastornado,adjectives,1.0
367,détester,disfrutar,verbs,0.85
368,au-delà,purgatorio,nouns,2.6
369,prédire,suponer,verbs,2.9
370,débattre,racionalizar,verbs,2.6
371,rêve,cielo,nouns,0.65
372,limite,límite,nouns,5.35
373,frire,cocinar,verbs,3.1
374,employeur,obrero,nouns,1.55
375,véridique,deshonesto,adjectives,0.55
376,difficulté,esfuerzo,nouns,3.15
377,permettre,dar,verbs,1.15
378,basket,medalla,nouns,0.35
379,népotisme,rey,nouns,1.95
380,affaire,industria,nouns,3.0
381,neige,avalancha,nouns,2.15
382,restaurer,reparar,verbs,5.2
383,compilateur,subrutina,nouns,1.4
384,boîte,cigarro,nouns,1.05
385,théorie,química,nouns,1.4
386,nihilisme,película,nouns,0.25
387,mur,decoración,nouns,1.35
388,effort,dificultad,nouns,3.15
389,juger,acusar,verbs,3.0
390,planète,luna,nouns,1.9
391,normalement,diariamente,adverbs,2.8
392,mythe,sátira,nouns,2.0
393,communication,noticias,nouns,2.75
394,radar,palanca de mando,nouns,0.3
395,mère,amigo,nouns,1.0
396,sphère,pelota,nouns,2.85
397,vêtement,tela,nouns,2.8
398,corps,estómago,nouns,2.3
399,surprendre,celebrar,verbs,1.0
400,être diplômé,terminar,verbs,2.35
401,quotidiennement,normalmente,adverbs,2.8
402,bol,plato,nouns,2.65
403,écouter,oír,verbs,4.9
404,apprendre,escuchar,verbs,1.7
405,ballon,voleibol,nouns,1.6
406,sûr,legal,adjectives,1.75
407,protéger,defender,verbs,5.25
408,mature,sofisticado,adjectives,1.45
409,hésitant,colérico,adjectives,0.85
410,simple,fácil,adjectives,5.15
411,délicieux,alegre,adjectives,1.85
412,prophète,sacerdote,nouns,1.85
413,bulle,jabonaduras,nouns,2.15
414,essayer,convencer,verbs,1.3
415,paracétamol,bronquitis,nouns,1.15
416,pacte,condición,nouns,2.5
417,parfois,regularmente,adverbs,2.2
418,bowling,jugador de bolos,nouns,1.85
419,ajouter,unirse,verbs,3.6
420,chauvin,prejuicio,nouns,1.0
421,passif,violento,adjectives,0.45
422,boeuf,caballo,nouns,1.9
423,fièrement,pacíficamente,adverbs,0.55
424,régime,manzana,nouns,1.05
425,sérieusement,pasivamente,adverbs,0.35
426,communiquer,rezar,verbs,0.8
427,lac,nube,nouns,0.55
428,donner,negar,verbs,0.25
429,corps,nervio,nouns,1.05
430,mur,castillo,nouns,0.95
431,cabine,teléfono,nouns,1.35
432,vendre,recordar,verbs,0.2
433,fâché,feliz,adjectives,0.8
434,événement,recaudación de fondos,nouns,2.05
435,élever,beber,verbs,0.05
436,en phase terminale,principalmente,adverbs,0.2
437,recommander,asesorar,verbs,5.25
438,rejoindre,cooperar,verbs,2.9
439,repas,cena,nouns,4.3
440,femme,secretario,nouns,1.0
441,officier,diputado,nouns,1.9
442,main,pie,nouns,1.8
443,vouloir,pedir prestado,verbs,1.0
444,haut,quinto,adjectives,0.2
445,arrêter,prohibir,verbs,2.45
446,pilote,conductor,nouns,4.75
447,collecter,organizar,verbs,1.6
448,polyester,algodón,nouns,1.95
449,boire,mezcla,verbs,0.7
450,faucon,águila,nouns,3.15
451,heureux,enojado,adjectives,0.8
452,retenir,mantener,verbs,5.1
453,canonnière,costa,nouns,0.55
454,conduire,barajar,verbs,0.4
455,graine,mostaza,nouns,2.25
456,condition,pacto,nouns,2.5
457,parlement,congreso,nouns,3.85
458,créer,dibujar,verbs,2.2
459,conduire,detener,verbs,1.05
460,cruel,bonito,adjectives,0.6
461,oiseau,gallina,nouns,2.4
462,apparaître,salir,verbs,0.4
463,volcan,magma,nouns,2.25
464,cruel,duro,adjectives,3.6
465,magnitude,tamaño,nouns,4.5
466,ami,chico,nouns,2.25
467,ordinateur,disco,nouns,1.8
468,mineur,significativo,adjectives,0.8
469,échouage,ajedrez,nouns,0.9
470,rincer,lavar,verbs,4.2
471,élire,escoger,verbs,5.25
472,interdire,detener,verbs,2.45
473,lapin,gato,nouns,1.4
474,satisfaire,estar de acuerdo,verbs,1.7
475,satisfaire,alegar,verbs,0.5
476,os,brazo,nouns,1.55
477,mariée,princesa,nouns,1.75
478,facile,sencillo,adjectives,5.15
479,assister,enviar,verbs,0.6
480,élégance,estilo,nouns,4.45
481,tisser,movimiento,verbs,0.3
482,blesser,caer,verbs,1.35
483,circumnavigation,equipaje,nouns,1.05
484,curieusement,diferentemente,adverbs,1.65
485,dent,martillo,nouns,0.05
486,pendre,poner,verbs,1.5
487,polir,informar,verbs,0.1
488,vérifier,decir,verbs,0.9
489,nécessiter,organizar,verbs,0.35
490,dieu,sacerdote,nouns,1.85
491,carte,cuadrado,nouns,0.6
492,violent,pasivo,adjectives,0.45
493,adversaire,oponente,nouns,5.25
494,corps,hombro,nouns,1.6
495,surtout,principalmente,adverbs,5.05
496,vendre,ir,verbs,0.25
497,imprévu,imprevisto,adjectives,5.7
498,colère,furia,nouns,4.8
499,raquette,ruido,nouns,0.3
500,certain,nervioso,adjectives,0.2
501,nécessaire,innecesario,adjectives,0.95
502,découvert,cubierto,adjectives,0.95
503,strictement,completamente,adverbs,2.75
504,crocodile,lagartija,nouns,3.0
505,boîte,cabina,nouns,1.6
506,détruire,crear,verbs,0.8
507,notifier,reconocer,verbs,1.15
508,débattre,debate,verbs,4.25
509,groupe,resistencia,nouns,0.15
510,calmement,pacíficamente,adverbs,4.25
511,profondément,significativamente,adverbs,3.0
512,simplement,aparentemente,adverbs,1.05
513,pointeur,diapositiva,nouns,0.35
514,garçon,hermano,nouns,2.2
515,astronome,galaxia,nouns,1.75
516,huile,visón,nouns,0.15
517,timide,costoso,adjectives,0.3
518,remarquer,criticar,verbs,1.8
519,volley-ball,pelota,nouns,1.6
520,respirer,ahogarse,verbs,1.25
521,symbole,código,nouns,2.85
522,profusion,abundancia,nouns,5.4
523,fermement,increíblemente,adverbs,0.2
524,tâche,autopista,nouns,0.1
525,résoudre,terminar,verbs,3.45
526,mère,esposa,nouns,2.7
527,champ,avena,nouns,1.3
528,haricot,arroz,nouns,1.65
529,aggraver,asaltar,verbs,1.15
530,exceptionnellement,extrañamente,adverbs,2.5
531,positivement,probablemente,adverbs,1.15
532,ancre,bote,nouns,1.55
533,poignée,proteína,nouns,0.25
534,trouver,escapar,verbs,0.45
535,valeur,tarifa,nouns,3.35
536,agité,joven,adjectives,0.7
537,août,mes,nouns,3.15
538,papier,cartulina,nouns,3.8
539,voiture,autopista,nouns,1.85
540,argumenter,discutir,verbs,4.25
541,crier,chillar,verbs,5.55
542,avancer,promover,verbs,2.5
543,intelligent,listo,adjectives,5.05
544,garçon,condición,nouns,0.1
545,rare,raro,adjectives,4.45
546,paix,felicidad,nouns,2.95
547,hymne,conquista,nouns,0.55
548,arme,casco,nouns,1.65
549,tâche,trabajo,nouns,4.6
550,battre en retraite,descender,verbs,0.75
551,réalisateur,cinematografía,nouns,2.25
552,mépriser,odiar,verbs,4.6
553,danger,amenaza,nouns,4.9
554,camion,paquete,nouns,0.4
555,contempler,pensar,verbs,2.2
556,schéma,idea,nouns,2.9
557,diode,condensador,nouns,2.0
558,mortellement,felizmente,adverbs,0.35
559,manuel,guía,nouns,5.1
560,mécanicien,obrero,nouns,3.0
561,génie,lámpara,nouns,1.45
562,frais,nuevo,adjectives,4.0
563,construire,crear,verbs,4.5
564,personne,dólar,nouns,0.1
565,débuter,empezar,verbs,5.9
566,tomber,herir,verbs,1.35
567,combiner,mezcla,verbs,4.7
568,activement,precisamente,adverbs,0.75
569,promenade,ruta,nouns,3.7
570,base,pie,nouns,2.65
571,grimper,hacer senderismo,verbs,1.85
572,calèche,coche,nouns,4.6
573,gros,fácil,adjectives,0.2
574,unique,opuesto,adjectives,0.85
575,voler,comprar,verbs,0.9
576,concept,creencia,nouns,2.5
577,liqueur,siglo,nouns,0.1
578,steak,pollo,nouns,2.35
579,souris,envase,nouns,0.1
580,estomac,vena,nouns,0.85
581,enfant,niña,nouns,3.2
582,surface,esquina,nouns,0.85
583,cadre,golpear,nouns,0.25
584,théorème,teoría,nouns,4.05
585,clé,candado,nouns,2.55
586,étroit,sucio,adjectives,0.1
587,gouverneur,emperador,nouns,3.05
588,secourir,salvar,verbs,5.65
589,absorber,poseer,verbs,1.0
590,taxi,autobús,nouns,2.55
591,penser,decidir,verbs,2.15
592,autoroute,coche,nouns,1.85
593,tsunami,mar,nouns,1.95
594,rose,mariposa,nouns,0.5
595,papier,póster,nouns,2.65
596,fraude,delito,nouns,3.75
597,sérieusement,en tono rimbombante,adverbs,1.6
598,secouer,recoger,verbs,0.35
599,ignorer,olvidar,verbs,3.05
600,écrivain,regalo,nouns,0.3
601,misère,desesperación,nouns,3.05
602,jour,amanecer,nouns,3.35
603,étoile,planeta,nouns,3.05
604,prêtre,profeta,nouns,1.85
605,os,dientes,nouns,2.3
606,hurler,discutir,verbs,1.5
607,se dépêcher,apurarse,verbs,5.5
608,viande,sándwich,nouns,1.35
609,taille,comida,nouns,0.4
610,ignorer,imprimir,verbs,0.1
611,neutre,calma,adjectives,1.55
612,entrer,deber,verbs,0.15
613,déranger,agravar,verbs,0.75
614,acquérir,robar,verbs,1.3
615,rencontrer,salir,verbs,1.25
616,obtenir,adquirir,verbs,5.15
617,mathématicien,show,nouns,0.15
618,bras,hueso,nouns,1.55
619,clarifier,definir,verbs,4.0
620,humeur,enfado,nouns,3.1
621,artiste,obra de arte,nouns,2.05
622,informer,notificar,verbs,5.25
623,dispositif,maceta,nouns,0.2
624,frustration,enfado,nouns,4.1
625,gardien,madre,nouns,1.5
626,jouet,cubo,nouns,1.7
627,extraverti,bonito,adjectives,1.15
628,sembler,volverse,verbs,1.0
629,amical,generoso,adjectives,2.15
630,voie-rapide,carretera,nouns,4.0
631,courrier,velocidad,nouns,0.2
632,force,capacidad,nouns,3.15
633,coucher de soleil,mesa,nouns,0.05
634,ruelle,cuenco,nouns,0.0
635,emploi,administración,nouns,1.8
636,chat,conejo,nouns,1.4
637,étain,aluminio,nouns,1.85
638,perdre,cocinar,verbs,0.1
639,entrer,salir,verbs,0.25
640,automobile,coche,nouns,5.75
641,fatigué,aburrido,adjectives,1.55
642,ordinateur,máquina,nouns,4.2
643,éviter,negar,verbs,1.05
644,occasion,centavo,nouns,0.3
645,chanceux,avergonzado,adjectives,0.4
646,mois,agosto,nouns,3.15
647,chemin,túnel,nouns,2.25
648,muffin,perejil,nouns,0.55
649,peut-être,probablemente,adverbs,4.6
650,petit,enano,adjectives,4.65
651,bois,piedra,nouns,1.35
652,maintenant,aquí,adverbs,1.9
653,livrer,aceptar,verbs,0.75
654,laisser,entrar,verbs,0.25
655,exotique,raro,adjectives,4.35
656,menu,orden,nouns,1.65
657,réprimer,renunciar,verbs,1.5
658,apparemment,obviamente,adverbs,3.15
659,changer,alterar,verbs,4.85
660,grossier,crítico,adjectives,0.8
661,tabou,extramatrimonial,adjectives,1.05
662,fastidieux,seguro,adjectives,0.25
663,idiot,estúpido,adjectives,5.45
664,apporter,quejar,verbs,0.1
665,accord,agujero,nouns,0.0
666,mourir,enterrar,verbs,1.6
667,ascenseur,coche,nouns,0.5
668,eau,sal,nouns,0.85
669,astuce,tamaño,nouns,0.0
670,frites,cursor,nouns,0.1
671,enterrer,morir,verbs,1.6
672,chapitre,episodio,nouns,4.7
673,lycée,profesión,nouns,1.1
674,appareil photo,presidente,nouns,0.5
675,enquêter,perseguir,verbs,1.5
676,minute,segundo,nouns,2.85
677,copilote,cabina,nouns,1.25
678,habit,cajón,nouns,1.35
679,convocation,reunión,nouns,4.05
680,accepter,perdonar,verbs,2.35
681,affaire,sociedad,nouns,2.45
682,bon,cortés,adjectives,2.6
683,arrêter,sospechar,verbs,1.2
684,couvert,descubierto,adjectives,0.95
685,pomme,salsa,nouns,1.05
686,flexible,fácil,adjectives,1.8
687,tuyau,jardín,nouns,0.8
688,extraverti,entrante,adjectives,0.3
689,décourager,animar,verbs,1.0
690,coton,suéter,nouns,1.25
691,nuage,niebla,nouns,2.75
692,apporter,venir,verbs,0.75
693,île,armada,nouns,0.85
694,fils,padre,nouns,2.15
695,fiançailles,anillo,nouns,2.25
696,rigide,fácil,adjectives,0.25
697,information,entropía,nouns,1.3
698,région,zona,nouns,3.45
699,princesse,rey,nouns,2.55
700,télévision,guionista,nouns,1.4
701,ouvertement,macizamente,adverbs,0.7
702,diviser,despegar,verbs,1.4
703,accepter,entregar,verbs,0.75
704,instamment,con rapidez,adverbs,4.35
705,danger,enfermedad,nouns,1.1
706,paragraphe,carta,nouns,1.5
707,livre,texto,nouns,3.25
708,clé,casa,nouns,1.05
709,désincarné,espiritual,adjectives,3.7
710,catastrophe,muerte,nouns,2.0
711,chaise,sofá,nouns,3.05
712,grand,grande,adjectives,3.25
713,cinéma,palomitas de maiz,nouns,1.95
714,improbable,simpático,adverbs,0.0
715,conversation,comunicación,nouns,3.8
716,parler,oír,verbs,1.3
717,boîte,sombrero,nouns,0.8
718,énorme,minúsculo,adjectives,0.95
719,dépenser,salvar,verbs,0.3
720,contrarié,avergonzado,adjectives,1.0
721,brique,pared,nouns,1.75
722,dernièrement,recientemente,adverbs,5.25
723,chiffon,ropa,nouns,2.0
724,couloir,puerta,nouns,1.3
725,facile,rígido,adjectives,0.25
726,violent,suave,adjectives,0.75
727,jamais,honestamente,adverbs,0.15
728,faible,picante,adjectives,0.1
729,fêter,sorprender,verbs,1.0
730,désarroi,histeria,nouns,2.0
731,punir,enseñar,verbs,0.6
732,chambre à coucher,baño,nouns,1.9
733,approximativement,fácilmente,adverbs,0.35
734,empereur,constitución,nouns,1.2
735,altérer,cambiar,verbs,4.85
736,don,escritor,nouns,0.3
737,enfant,chico,nouns,4.2
738,beauté,soneto,nouns,0.65
739,voiture,ascensor,nouns,0.5
740,uniformément,a veces,adverbs,0.45
741,biologiste,microscopio,nouns,1.7
742,nier,evitar,verbs,1.05
743,incliner,parcialidad,verbs,2.45
744,combinaison,unión,nouns,4.3
745,guerrier,hombre,nouns,1.6
746,énerver,adivinar,verbs,0.15
747,massif,astronómico,adjectives,2.35
748,absorber,aprender,verbs,2.1
749,homme,fraternidad,nouns,1.45
750,emprunter,dar,verbs,1.4
751,savoir,olvidar,verbs,0.9
752,viande,carne de vaca,nouns,3.75
753,gosse,chico,nouns,4.4
754,vélo,piel,nouns,0.4
755,yaourt,ganado,nouns,0.45
