ID,CMN,FIN,PoS,score
103,汽车旅馆,majatalo,nouns,3.73
104,暗礁,ranta,nouns,0.59
105,借,pitää,verbs,0.2
106,可能,todennäköisesti,adverbs,3.63
107,愤怒,väkivaltainen,adjectives,1.96
108,圣歌,raamattu,nouns,1.58
109,毁灭,rakentaminen,nouns,0.34
110,狩猎,etsiä,verbs,1.36
111,乱七八糟,hallittu,adjectives,0.29
112,没用过,uusi,adjectives,4.22
113,盗窃,rikos,nouns,3.42
114,出席,lähettää,verbs,0.15
115,相反,uniikki,adjectives,0.65
116,摇动,kerätä,verbs,0.15
117,伙伴,ystävä,nouns,4.6
118,礼物,kirjailija,nouns,0.0
119,坏,epärehellinen,adjectives,1.21
120,排球,pallo,nouns,3.27
121,脖子,luu,nouns,0.83
122,一次,kahdesti,adverbs,0.87
123,文明,elämäntapa,nouns,1.27
124,力量,valmiudet,nouns,2.5
125,戏法,ase,nouns,0.04
126,沉重,lastattu,adjectives,1.11
127,泡,saippuavaahto,nouns,3.01
128,宽广,iso,adjectives,3.79
129,教堂,mosaiikki,nouns,0.25
130,大,helppo,adjectives,0.0
131,公共的,yksityinen,adjectives,0.29
132,想,muistaa,verbs,0.68
133,评估,analysoida,verbs,4.38
134,儿子,isä,nouns,0.92
135,创造者,valmistaja,nouns,3.58
136,哲学家,kilpaileminen,nouns,0.0
137,行星,kuu,nouns,2.46
138,盒子,lähde,nouns,0.0
139,说明,keskustella,verbs,1.75
140,早餐,päivällinen,nouns,1.16
141,尖顶,kappeli,nouns,1.27
142,平庸,paha,adjectives,0.1
143,立方体,noppa,nouns,2.83
144,成熟,hienostonut,adjectives,0.82
145,章,valinta,nouns,0.15
146,古怪,kummallinen,adjectives,5.28
147,浪费,murehtia,verbs,0.05
148,生物学,biotooppi,nouns,1.24
149,蜥蜴,hallitus,nouns,0.0
150,激情,tunne,nouns,3.04
151,通常,harvoin,adverbs,0.38
152,潜水,luoda,verbs,0.0
153,拿,vastaanottaa,verbs,2.37
154,想,päättää,verbs,1.18
155,依靠,epäonnistua,verbs,0.19
156,意志,tarkoitus,nouns,1.11
157,海,tsunami,nouns,1.23
158,小提琴,soitin,nouns,3.13
159,手腕,käsi,nouns,2.15
160,旅行,matka,nouns,4.29
161,国民,tunnettu,adjectives,0.25
162,闪电攻击,hyökkäys,nouns,3.73
163,花朵,polttimo,nouns,0.0
164,第五,huippu,adjectives,0.1
165,乘,jakaa,verbs,0.88
166,合作伙伴,poika,nouns,0.68
167,大厦,huone,nouns,0.74
168,伟大,ihmeellinen,adjectives,1.69
169,杜松子酒,alkoholi,nouns,3.26
170,进来,ulospäinsuuntautunut,adjectives,0.2
171,监狱,baari,nouns,0.28
172,肌肉,käsivarsi,nouns,1.19
173,碗,kuja,nouns,0.0
174,异常地,normaalisti,adverbs,0.2
175,数,luku,nouns,4.82
176,镜片,kamera,nouns,0.97
177,塔,kello,nouns,0.57
178,哭,nyyhkyttää,verbs,5.21
179,续集,kamera,nouns,0.04
180,飞行,ilmailu,nouns,2.8
181,心灵,aineeton,adjectives,2.57
182,稀少,niukka,adjectives,3.44
183,球,lentopallo,nouns,3.27
184,奖章,lenkkikengät,nouns,0.1
185,证明,kiistellä,verbs,1.11
186,生物学,anatomia,nouns,2.47
187,完成,kilpailla,verbs,0.2
188,显然,paikallisesti,adverbs,0.0
189,腰,vatsa,nouns,2.4
190,律师,galleria,nouns,0.0
191,哭泣,itkeä,verbs,5.21
192,腿,raaja,nouns,2.7
193,公主,keksi,nouns,0.0
194,酒吧,putka,nouns,0.28
195,糟糕,mahtava,adjectives,0.24
196,蚂蚁,kärpänen,nouns,1.12
197,肚子,makuuhuone,nouns,0.0
198,选择,haluta,verbs,0.71
199,选择,laskimo,nouns,0.04
200,环境,miekka,nouns,0.18
201,溅,viskositeetti,nouns,0.34
202,排外主义,rasismi,nouns,3.79
203,二极管,kondensaattori,nouns,0.83
204,原谅,ymmärtää,verbs,0.87
205,新闻,pääkirjoitus,nouns,2.07
206,乙酰胆碱,iiris,nouns,0.15
207,女孩,palvelustyttö,nouns,1.95
208,确定,evakuoida,verbs,0.05
209,坏,suurenmoinen,adjectives,0.14
210,稻草,tehtävä,nouns,0.0
211,日历,päivämäärä,nouns,2.02
212,手,kynsi,nouns,1.08
213,女儿,vauva,nouns,2.42
214,草地,ruohoalue,nouns,3.81
215,宠物,kissa,nouns,3.18
216,戏法,peli,nouns,0.77
217,水,suola,nouns,0.28
218,未成熟的,vastuuton,adjectives,2.06
219,音节,lemma,nouns,0.9
220,事实,ymmärrys,nouns,0.49
221,偏见,sovinisti,nouns,1.04
222,河,puro,nouns,3.17
223,叔叔,mies,nouns,2.63
224,工作者,toimisto,nouns,0.53
225,领导,manageri,nouns,2.7
226,乐队,paraati,nouns,0.33
227,和蔼,julma,adjectives,0.1
228,缺乏信心,puutteenalainen,adjectives,0.24
229,手机,puhelin,nouns,4.57
230,虫害,torjunta-aine,nouns,0.48
231,友善,antelias,adjectives,2.21
232,徘徊,kierrellä,verbs,2.95
233,电话,uhri,nouns,0.0
234,一餐,vyötärö,nouns,0.05
235,减肥,salaatti,nouns,0.83
236,影片,elokuva,nouns,4.74
237,便士,tarjous,nouns,0.15
238,车,vene,nouns,0.63
239,布,pellava,nouns,2.6
240,认真地,vilpittömästi,adverbs,2.26
241,做,tapahtua,verbs,0.7
242,出租车,taksi,nouns,5.5
243,疾病,infektio,nouns,3.21
244,准许,vahvistaa,verbs,3.11
245,喇叭,auto,nouns,0.09
246,掩饰,peittää,verbs,3.65
247,游戏,hauskuus,nouns,0.63
248,安排,edellyttää,verbs,0.0
249,订婚,naida,verbs,2.18
250,米饭,poika,nouns,0.0
251,茶,sitruuna,nouns,0.29
252,光标,dia,nouns,0.09
253,联合,summa,nouns,0.57
254,交流,televisio,nouns,0.6
255,拿,omistaa,verbs,0.83
256,足球,hauskanpito,nouns,0.2
257,烟草,savuke,nouns,5.06
258,尺寸,temppu,nouns,0.0
259,猫,jänis,nouns,0.93
260,肉,veri,nouns,0.63
261,合法,laiton,adjectives,0.29
262,乐队,orkesteri,nouns,4.3
263,正式,asianmukainen,adjectives,3.12
264,管弦乐队,bändi,nouns,4.3
265,关键,tärkeä,adjectives,4.52
266,床,makuuhuone,nouns,0.77
267,女孩,heppu,nouns,0.64
268,猎鹰,kotka,nouns,2.94
269,打印,sivuuttaa,verbs,0.0
270,涂抹,levitä,verbs,0.77
271,走,lähettää,verbs,0.15
272,真实,epärehellinen,adjectives,0.24
273,作家,säveltäjä,nouns,1.97
274,完成,valmistua,verbs,3.03
275,海滩,riutta,nouns,0.59
276,政治家,poliisi,nouns,0.39
277,蟋蟀,tukija,nouns,0.0
278,钝,terävä,adjectives,0.29
279,丑陋,raaka,adjectives,0.47
280,词性变化,infektio,nouns,0.0
281,类似,samannäköinen,adjectives,3.35
282,熵,tieto,nouns,0.38
283,商业,teollisuus,nouns,1.41
284,启,aloittaa,verbs,4.98
285,头,olkapää,nouns,0.54
286,喷嘴,neste,nouns,0.05
287,珍珠,raha,nouns,0.2
288,陶瓷,keramiikka,nouns,3.08
289,精确,väärä,adjectives,0.14
290,菠萝,älypuhelin,nouns,0.0
291,分析,verrata,verbs,2.42
292,合唱团,kirkko,nouns,0.39
293,玩具,kuutio,nouns,0.24
294,轻信,typerä,adjectives,0.98
295,老师,ystävä,nouns,0.71
296,电动,makea,adjectives,0.0
297,可行,mahdoton,adjectives,0.34
298,紧张地,ahdistuneesti,adverbs,3.71
299,深深地,enimmäkseen,adverbs,0.48
300,同意,kiistellä,verbs,0.38
301,雷达,sauvaohjain,nouns,0.24
302,主教,arkkipiispa,nouns,3.93
303,乱,puhdas,adjectives,0.24
304,牛扒,kana,nouns,0.49
305,糖类,sakkaroosi,nouns,3.13
306,毁灭,luoda,verbs,0.38
307,辣,heikko,adjectives,0.0
308,叔叔,täti,nouns,1.02
309,和平,onnellisuus,nouns,1.64
310,带来,lähettää,verbs,0.45
311,淫贱,likainen,adjectives,0.42
312,河流,meri,nouns,1.74
313,毁灭,valmistaa,verbs,0.29
314,果汁,lusikka,nouns,0.1
315,女儿,muksu,nouns,2.5
316,金,sinkki,nouns,1.16
317,积极地,täsmällisesti,adverbs,0.57
318,惩罚,opettaa,verbs,0.63
319,卡,silta,nouns,0.18
320,混乱,luokka,nouns,0.0
321,否认,myöntää,verbs,0.38
322,早餐,illallinen,nouns,1.17
323,忘记,antaa anteeksi,verbs,0.68
324,平淡,pitkästynyt,adjectives,2.19
325,植物群,luonto,nouns,2.11
326,作者,luoja,nouns,3.9
327,厂,auto,nouns,0.19
328,运气,onnellisuus,nouns,0.66
329,漫游,vaeltaa,verbs,2.95
330,叫喊,kirkua,verbs,4.03
331,糖,hunaja,nouns,2.22
332,当然,ilmiselvästi,adverbs,3.36
333,土豆,voi,nouns,0.54
334,逃跑,karata,verbs,5.62
335,享受,viihdyttää,verbs,0.85
336,灰尘,luuta,nouns,0.53
337,易损坏,hyytävä,adjectives,0.15
338,制服,muotoutumaton,adjectives,0.25
339,知道,unohtaa,verbs,0.15
340,云,sää,nouns,1.64
341,发送,laukaista,verbs,2.6
342,订婚,sormus,nouns,1.14
343,信念,konsepti,nouns,1.19
344,财富,kuuluisuus,nouns,0.8
345,从不,anteliaasti,adverbs,0.05
346,通知,kuvata,verbs,0.15
347,生物学家,mikroskooppi,nouns,0.29
348,柔韧,suuri,adjectives,0.34
349,芝士,leipä,nouns,0.79
350,地带,alue,nouns,4.57
351,收缩,supistaa,verbs,3.19
352,能力,pätevyys,nouns,4.7
353,高高兴兴,aktiivisesti,adverbs,0.62
354,蜜蜂,kuningatar,nouns,0.4
355,原谅,armahtaa,verbs,4.16
356,原谅,hyväksyä,verbs,2.02
357,容易地,kovakouraisesti,adverbs,0.15
358,街,kuja,nouns,3.79
359,血液,kurpitsa,nouns,0.18
360,走廊,eteishalli,nouns,3.98
361,交换,valuutta,nouns,0.6
362,吸收,omistaa,verbs,0.33
363,学习,unohtaa,verbs,0.2
364,轻松,stressaantunut,adjectives,0.2
365,建立,lisätä,verbs,0.95
366,蔑视,ladata,verbs,0.0
367,离开,vaeltaa,verbs,0.04
368,智力,tietämättömyys,nouns,0.2
369,气球,ihmiset,nouns,0.0
370,蓝色,punainen,adjectives,0.69
371,哭,nauraa,verbs,0.38
372,搜索,katsoa,verbs,1.35
373,牛,hevonen,nouns,1.07
374,辣,hyvä,adjectives,0.1
375,了解,antaa anteeksi,verbs,0.87
376,雪,jää,nouns,2.77
377,餐,illallinen,nouns,3.43
378,胸部,vartalo,nouns,2.15
379,页,kohta,nouns,0.7
380,头,kynsi,nouns,0.6
381,缺口,aukko,nouns,3.76
382,受惊,innostunut,adjectives,0.38
383,打,viehättää,verbs,0.0
384,提醒,unohtaa,verbs,0.38
385,寻求,etsiä,verbs,4.07
386,不定形,muodoton,adjectives,3.07
387,字典,määritelmä,nouns,0.67
388,做,ansaita,verbs,0.28
389,污染,tunnelma,nouns,0.09
390,一尘不染,puhdas,adjectives,5.16
391,冷静地,rauhanomaisesti,adverbs,3.46
392,弯曲,kiero,adjectives,2.78
393,山羊,lehmä,nouns,0.97
394,批评,huomauttaa,verbs,1.92
395,面包,liha,nouns,0.54
396,男孩,kunto,nouns,0.14
397,幼苗,lehti,nouns,1.01
398,碳,atomi,nouns,0.92
399,淹,säästää,verbs,0.1
400,酱,omena,nouns,0.44
401,神经,vartalo,nouns,1.41
402,女人,vaimo,nouns,2.94
403,工作者,kamera,nouns,0.1
404,儿童,poika,nouns,2.9
405,女人,mies,nouns,0.63
406,相机,työläinen,nouns,0.1
407,手稿,kirja,nouns,1.45
408,窄小,leveä,adjectives,0.34
409,幻想,todellisuus,nouns,0.75
410,电动,mekaaninen,adjectives,1.78
411,绿洲,vapaus,nouns,0.04
412,拉比,opettaja,nouns,1.47
413,军士,ase,nouns,0.24
414,不同意,myöntyä,verbs,0.38
415,前进,edistää,verbs,1.92
416,拉比,ministeri,nouns,0.24
417,枪,aamunkoitto,nouns,0.0
418,毯,puumateriaali,nouns,0.0
419,丰富,runsaus,nouns,4.69
420,冰雹,sade,nouns,2.13
421,静脉,vatsa,nouns,0.64
422,最近,viime aikoina,adverbs,5.03
423,剧院,elokuva,nouns,1.35
424,豆,pekoni,nouns,0.2
425,草,juuri,nouns,0.68
426,谨慎地,huolellisesti,adverbs,4.03
427,墙壁,koriste,nouns,0.52
428,智力,viisaus,nouns,3.85
429,刀口,ruoho,nouns,0.0
430,溪流,joki,nouns,3.17
431,眼睛,kulmakarva,nouns,0.73
432,肉,leipä,nouns,0.54
433,航空学,ilmailuelektroniikka,nouns,2.34
434,巨大,tyhmä,adjectives,0.04
435,演员,televisio,nouns,0.62
436,目标,etsintä,nouns,0.6
437,下面,puoli,nouns,0.34
438,监狱,valinta,nouns,0.04
439,硬件,tapaus,nouns,0.09
440,乏味,turvattu,adjectives,0.05
441,英寸,jaardi,nouns,2.17
442,争论,todistaa,verbs,1.11
443,峡谷,laakso,nouns,4.14
444,家伙,naistenmies,nouns,0.96
445,钱,helmi,nouns,0.2
446,反驳,sallia,verbs,0.25
447,说谎,moittia,verbs,0.18
448,牙,vasara,nouns,0.0
449,交付,ottaa,verbs,0.24
450,公牛,vasikka,nouns,2.74
451,达到,menestyä,verbs,3.04
452,女人,tehtävä,nouns,0.0
453,发送,mennä,verbs,0.15
454,父亲,mies,nouns,2.53
455,手机,ananas,nouns,0.0
456,讨厌,nauttia,verbs,0.24
457,剑,valtaistuin,nouns,0.28
458,重,iso,adjectives,0.82
459,珍爱,pitää,verbs,1.18
460,心烦,häpeissään oleva,adjectives,0.43
461,地板,ovi,nouns,0.45
462,胎压计,auto,nouns,0.34
463,困难,helppo,adjectives,0.27
464,书,tieto,nouns,1.4
465,妻子,äiti,nouns,1.98
466,电脑,kone,nouns,3.01
467,理解,tyydyttää,verbs,0.28
468,可能,optimistisesti,adverbs,0.83
469,理论,teoreema,nouns,3.56
470,武器,kypärä,nouns,0.34
471,走廊,ovi,nouns,0.48
472,付款,ostaa,verbs,2.81
473,骨头,hampaat,nouns,1.32
474,怪异,kummallinen,adjectives,4.98
475,笨,harvinainen,adjectives,0.0
476,发烧,sairaus,nouns,2.44
477,杀,taistella,verbs,1.39
478,海啸,meri,nouns,1.23
479,预测,pilvinen sää,nouns,0.39
480,车,mittari,nouns,0.34
481,阳光,säde,nouns,1.64
482,松饼,persilja,nouns,0.2
483,追求,tutkia,verbs,0.54
484,咬,lukea,verbs,0.0
485,教堂,kirkontorni,nouns,1.27
486,罪人,pyhimys,nouns,0.24
487,教育,opettaa,verbs,4.19
488,树枝,käsivarsi,nouns,0.15
489,实质上,kriittisesti,adverbs,0.93
490,锁起来,solu,nouns,0.6
491,细胞质,luku,nouns,0.0
492,城市,kaupunki,nouns,3.76
493,闻名,kansallinen,adjectives,0.25
494,大笑,itkeä,verbs,0.38
495,手表,hame,nouns,0.0
496,伤心,ylpeä,adjectives,0.14
497,大致,luotettavasti,adverbs,0.14
498,母亲,ystävä,nouns,0.69
499,想,valita,verbs,0.71
500,营地,kämppä,nouns,0.34
501,晚上,päivä,nouns,0.6
502,暴力,vihainen,adjectives,1.96
503,玻璃,kunniamerkki,nouns,0.04
504,强大,heikko,adjectives,0.2
505,终末,eri tavalla,adverbs,0.1
506,派,suklaa,nouns,0.53
507,原木,puutavara,nouns,3.59
508,段,sivu,nouns,0.7
509,椅子,penkki,nouns,3.76
510,争论,kritiikki,nouns,0.95
511,门口,ovi,nouns,3.52
512,脏,halpa,adjectives,0.42
513,承认,puhua,verbs,0.97
514,汽车,tankki,nouns,0.77
515,新,vanha,adjectives,0.34
516,描绘,teeskennellä,verbs,0.2
517,衬衣,neuletakki,nouns,1.53
518,天神,saatana,nouns,0.7
519,护士,tieteilijä,nouns,0.29
520,需要,tiedustella,verbs,0.43
521,植物,maatalous,nouns,1.04
522,云,myrsky,nouns,0.86
523,说谎,teeskennellä,verbs,2.63
524,线索,sana,nouns,0.19
525,奇怪,eriskummallinen,adjectives,4.77
526,品质,sateenvarjo,nouns,0.04
527,国境,rajaviiva,nouns,3.09
528,身体,hermo,nouns,1.41
529,门,keittiö,nouns,0.15
530,友好,ulospäinsuuntautunut,adjectives,0.94
531,手术,sydän,nouns,0.39
532,长,kapea,adjectives,0.48
533,非常,kirkkaasti,adverbs,0.4
534,信心十足地,salaa,adverbs,0.05
535,角,alue,nouns,0.72
536,学习,arvioida,verbs,0.73
537,最近,uusi,adjectives,3.06
538,盐,vesi,nouns,0.28
539,班,armeija,nouns,0.67
540,电影,paukkumaissi,nouns,0.43
541,音乐,melodia,nouns,3.07
542,威力,vahvuus,nouns,3.19
543,沼泽,järvi,nouns,0.97
544,累,pitkäveteinen,adjectives,0.54
545,出席,kokoontua,verbs,1.27
546,假,aito,adjectives,0.34
547,壁橱,vaatteet,nouns,0.48
548,报纸,sana,nouns,1.27
549,戏法,koko,nouns,0.0
550,掌握,ymmärtää,verbs,4.58
551,墙纸,tausta,nouns,2.3
552,身体,alusvaatteet,nouns,0.15
553,校园,yliopisto,nouns,2.91
554,暴动,piirustus,nouns,0.04
555,胜利者,mies,nouns,0.33
556,推荐,hyväksyä,verbs,0.73
557,锁匙,talo,nouns,0.2
558,创造性地,alkuperäisesti,adverbs,0.45
559,墙,tiili,nouns,0.72
560,降落,pienentää,verbs,0.24
561,轻微,täysin,adverbs,0.1
562,统治者,kuningas,nouns,4.5
563,杂志,artikkeli,nouns,1.74
564,地窖,ovi,nouns,0.38
565,授粉,hede,nouns,1.02
566,哥哥,poika,nouns,2.29
567,屏幕,fonologia,nouns,0.1
568,赶,kiirehtiä,verbs,3.4
569,拿,toimittaa,verbs,0.24
570,布料,vaatteet,nouns,1.23
571,狗,kissa,nouns,0.92
572,员工,työnantaja,nouns,0.55
573,脏,kapea,adjectives,0.0
574,想,yrittää,verbs,0.43
575,控制,pysähtyä,verbs,0.29
576,危险地,huolellisesti,adverbs,0.23
577,安慰,turvallisuus,nouns,0.49
578,行动,kurssi,nouns,0.28
579,苍蝇,muurahainen,nouns,1.12
580,交流,kielenkäyttö,nouns,1.32
581,人,populaatio,nouns,3.02
582,工作,johtokunta,nouns,0.63
583,非法,lainmukainen,adjectives,0.29
584,机器,tietokone,nouns,3.01
585,危害,kipu,nouns,1.21
586,地图,neliö,nouns,0.14
587,医生,luonne,nouns,0.0
588,城堡,seinä,nouns,0.53
589,宪法,keisari,nouns,0.2
590,关键地,olennaisesti,adverbs,0.93
591,戒除,tehdä,verbs,0.25
592,个人,yksityinen,adjectives,4.23
593,暴风雪,sade,nouns,1.47
594,结婚,kihlautua,verbs,2.18
595,橙子,sitrushedelmä,nouns,3.68
596,骨头,kyynärpää,nouns,0.69
597,望远镜,tuoli,nouns,0.0
598,神经官能症,mieli,nouns,0.44
599,鸢尾花,asetyylikoliini,nouns,0.15
600,在家里,poissa,adverbs,0.43
601,试着,aikoa,verbs,2.01
602,公寓,talo,nouns,3.88
603,不准确地,tarkalleen,adverbs,0.38
604,古怪,outo,adjectives,5.57
605,困难,yksinkertainen,adjectives,0.17
606,从不,negatiivinen,adjectives,1.41
607,加,rakentaa,verbs,0.95
608,作家,romaani,nouns,0.39
609,衣服,liina,nouns,1.23
610,成为,organisoida,verbs,0.0
611,增加,kasvaa,verbs,1.1
612,小麦,vilja,nouns,3.24
613,日出,auringonlasku,nouns,0.88
614,背景,tapetti,nouns,2.3
615,窗口,katto,nouns,0.54
616,低语,puhua,verbs,2.9
617,轻视,halveksiva,adjectives,5.13
618,存在,voittaja,nouns,0.0
619,建议,suositella,verbs,3.56
620,叫喊,kiistellä,verbs,1.1
621,束,väkijoukko,nouns,0.05
622,举起,korottaa,verbs,3.98
623,海报,paperi,nouns,2.21
624,肠子,hermo,nouns,0.54
625,团结,naida,verbs,1.02
626,稍后,ei koskaan,adverbs,0.69
627,拥有,ottaa,verbs,0.83
628,借,antaa,verbs,2.04
629,字,vihje,nouns,0.19
630,公主,kuningas,nouns,0.75
631,老师,auttaja,nouns,1.51
632,狭窄,likainen,adjectives,0.0
633,观看,tarkkailla,verbs,3.93
634,在别处,kotona,adverbs,0.43
635,马,härkä,nouns,1.07
636,问,auttaa,verbs,0.29
637,俱乐部,merkki,nouns,0.05
638,扩大,kasvaa,verbs,2.75
639,鸡,riisi,nouns,0.3
640,收到,lähettää,verbs,0.52
641,自豪,ylimielinen,adjectives,2.6
642,小山,kalliojyrkänne,nouns,1.13
643,罕见,tyhmä,adjectives,0.0
644,喝,sekoittaa,verbs,0.0
645,失败,onnistua,verbs,0.38
646,箭头,kohde,nouns,0.41
647,旧,tuore,adjectives,0.29
648,食物,ohjelma,nouns,0.0
649,詞,sivu,nouns,0.15
650,喷气式飞机,lentokone,nouns,3.82
651,风暴,pilvi,nouns,0.86
652,发生,tehdä,verbs,0.7
653,总统,saastuminen,nouns,0.0
654,能力,pätevyys,nouns,4.29
655,手套,pallo,nouns,0.19
656,游标,sirut,nouns,0.04
657,恶意软件,mato,nouns,1.41
658,想像,teeskennellä,verbs,0.69
659,运输,auto,nouns,1.65
660,混合,kypsentää,verbs,0.34
661,成年人,vanhempi,nouns,3.19
662,满足,käsittää,verbs,0.28
663,高速公路,tie,nouns,3.96
664,阻碍,pyrkiä,verbs,0.0
665,阵列,lista,nouns,0.48
666,保持,suojella,verbs,0.48
667,决定,ajatella,verbs,1.18
668,课程,vatsa,nouns,0.0
669,拖着脚走,ajaa,verbs,0.45
670,距离,näkökulma,nouns,0.18
671,葬礼,kuolema,nouns,0.82
672,抱怨,kiistellä,verbs,1.69
673,日期,syntymäpäivä,nouns,1.77
674,学习,hämätä,verbs,0.0
675,刺激,suututtaa,verbs,4.24
676,变成,näyttää,verbs,0.34
677,许多,yltäkylläisyys,nouns,4.69
678,起泡,kuvitus,nouns,0.0
679,天空,unelma,nouns,0.14
680,幼儿床,sänky,nouns,2.75
681,活塞,moottori,nouns,1.44
682,文学,kirja,nouns,2.2
683,容器,pullo,nouns,2.75
684,今天晚上,tänään,adverbs,2.83
685,键盘,valo,nouns,0.04
686,购买,varastaa,verbs,0.57
687,演员,laulu,nouns,0.58
688,门,lattia,nouns,0.45
689,仆人,orja,nouns,2.78
690,脚,pää,nouns,0.69
691,麻布,kangas,nouns,2.6
692,残酷,mukava,adjectives,0.1
693,大笑,laulaa,verbs,0.25
694,貂,turkki,nouns,1.13
695,不可能,käyttökelpoinen,adjectives,0.34
696,扭曲,kaareva,adjectives,2.78
697,酸,pohja,nouns,0.14
698,房间,rakennus,nouns,0.74
699,做,muodostaa,verbs,2.53
700,立方体,lelu,nouns,0.24
701,法庭,tuomari,nouns,1.06
702,创新,luova,adjectives,5.2
703,击中,rangaista,verbs,0.15
704,黎明,päivä ,nouns,2.37
705,身体,olkapää,nouns,0.96
706,甲板,hiiri,nouns,0.0
707,薄荷,museo,nouns,0.0
708,普通,uskomaton,adjectives,0.2
709,建造,valmistaa,verbs,2.53
710,签证,globalismi,nouns,0.61
711,平凡,tavallinen,adjectives,4.66
712,无礼,raaka,adjectives,0.82
713,留,odottaa,verbs,1.54
714,球,kori,nouns,0.2
715,海岸,ranta,nouns,nan
716,餐,päivällinen,nouns,3.1
717,航空电子学,ilmailu,nouns,2.34
718,一般,epänormaalisti,adverbs,0.2
719,信,kohta,nouns,0.14
720,尺寸,sentti,nouns,0.65
721,步行,ontua,verbs,2.38
722,百万富翁,dollari,nouns,0.3
723,走,tulla,verbs,0.68
724,磁盘,laturi,nouns,0.1
725,钟,ovi,nouns,0.05
726,篮子,pallo,nouns,0.2
727,好心地,anteliaasti,adverbs,1.97
728,船,moottori ,nouns,0.48
729,替换,vaihto,nouns,4.37
730,读,käsittää,verbs,0.82
731,后缀,affiksi,nouns,2.67
732,不需要,tarpeellinen,adjectives,0.29
733,判断,päättää,verbs,2.35
734,真实,epäaito,adjectives,0.34
