ID,ENG,EST,PoS,score
101,ballad,laul,nouns,3.25
102,surely,selgelt,adverbs,3.5
103,avionics,lennundus,nouns,3.19
104,breakfast,peekon,nouns,0.71
105,bishop,moslem,nouns,0.6
106,fry,keetma,verbs,1.22
107,go,saatma,verbs,0.51
108,valley,jõgi,nouns,1.07
109,woman,mees,nouns,0.71
110,well,tuntud,adjectives,0.57
111,importantly,tõesti,adverbs,0.77
112,carbohydrate,sahharoos,nouns,2.53
113,president,õpilane,nouns,0.2
114,obey,karistama,verbs,0.3
115,officially,tähtsalt,adverbs,2.25
116,inquire,otsima,verbs,1.96
117,shapeless,amorfne,adjectives,4.35
118,dumb,rumal,adjectives,5.19
119,knee,käsi,nouns,0.54
120,insane,pöörane,adjectives,5.17
121,unhappy,pöörane,adjectives,1.07
122,explain,selgitama,verbs,4.58
123,wealth,vaesus,nouns,0.52
124,bush,lill,nouns,1.35
125,grief,piin,nouns,2.38
126,lately,äsja,adverbs,4.42
127,bird,kalkun,nouns,2.15
128,increase,kasvama,verbs,4.47
129,steak,kana,nouns,0.71
130,presence,võitja,nouns,0.35
131,wait,jääma,verbs,1.67
132,fantasy,reaalsus,nouns,0.64
133,learn,unustama,verbs,0.29
134,devil,jumal,nouns,0.87
135,money,deemant,nouns,0.76
136,lip,suu,nouns,1.92
137,activity,liikumine,nouns,2.84
138,chapter,osa,nouns,3.26
139,deputy,ohvitser,nouns,1.15
140,bump,kokku põrkama,verbs,2.53
141,agreement,vaidlus,nouns,0.54
142,take,jätma,verbs,0.44
143,guilty,aus,adjectives,0.4
144,ice,lumi,nouns,2.86
145,sonnet,ilu,nouns,0.46
146,poor,uhke,adjectives,0.3
147,door,värav,nouns,3.04
148,fight,mitte nõustuma,verbs,1.79
149,perceive,kuulma,verbs,1.74
150,reburial,hauakamber,nouns,0.66
151,bad,süüdi,adjectives,1.39
152,spoil,haistma,verbs,0.04
153,go,reisima,verbs,2.17
154,keep,kaotama,verbs,0.2
155,wizard,kaabel,nouns,0.0
156,winter,aastaeg,nouns,2.26
157,money,kapital,nouns,3.34
158,discourage,julgustama,verbs,0.09
159,fire,apokalüpsis,nouns,0.59
160,elevator,kast,nouns,0.19
161,cherry,maasikas,nouns,0.98
162,aisle,saal,nouns,1.59
163,stiff,kerge,adjectives,0.05
164,area,tsoon,nouns,4.8
165,wine,naps,nouns,1.71
166,sandwich,liha,nouns,0.61
167,combination,liit,nouns,2.35
168,insignia,eneseväärikus,nouns,0.24
169,fencing,võimlemine,nouns,1.19
170,valuable,eriline,adjectives,2.72
171,ceramic,pottsepatöö,nouns,3.41
172,emotion,kirg,nouns,3.21
173,forget,meelde tuletama,verbs,0.39
174,suppose,ennustama,verbs,2.11
175,pain,kahju,nouns,2.26
176,say,kinnitama,verbs,1.34
177,remain,lahkuma,verbs,0.36
178,plate,kauss,nouns,1.97
179,succeed,proovima,verbs,1.08
180,driver,piloot,nouns,2.04
181,ankle,aken,nouns,0.0
182,terrible,kurb,adjectives,1.22
183,endurance,lill,nouns,0.15
184,nervously,rahutult,adverbs,5.0
185,chauvinist,eelarvamus,nouns,1.1
186,theatre,film,nouns,1.4
187,conquest,võitlus,nouns,2.12
188,bedroom,kõht,nouns,0.1
189,sip,neelatama,verbs,2.22
190,man,isa,nouns,2.01
191,bird,kana,nouns,1.77
192,sea,tsunaami,nouns,1.15
193,freedom,vabadus,nouns,5.42
194,genie,lamp,nouns,0.79
195,coronation,vesi,nouns,0.1
196,bench,tool,nouns,3.26
197,army,merevägi,nouns,2.34
198,disc,arvuti,nouns,0.65
199,apartment,mööbel,nouns,0.71
200,separate,lisama,verbs,0.19
201,ministry,sultan,nouns,0.26
202,sickness,vähk,nouns,2.27
203,tower,kell,nouns,0.72
204,child,täiskasvanu,nouns,0.69
205,seedling,leht,nouns,0.79
206,football,lõbu,nouns,0.4
207,blister,illustratsioon,nouns,0.05
208,polyhedron,näitleja,nouns,0.19
209,dune,kõrb,nouns,1.51
210,ball,kahur,nouns,1.01
211,safe,legaalne,adjectives,1.44
212,wood,paber,nouns,1.21
213,pet,kass,nouns,2.42
214,lemma,silp,nouns,0.77
215,odd,kummaline,adjectives,5.49
216,arm,säär,nouns,1.11
217,notify,informeerima,verbs,5.1
218,tremor,maavärin,nouns,2.76
219,discourage,nurjuma,verbs,0.77
220,mouth,hammas,nouns,0.98
221,necessary,ebavajalik,adjectives,0.29
222,come,osalema,verbs,2.48
223,polite,kohane,adjectives,3.34
224,idea,pilt,nouns,0.73
225,sorrow,häbi,nouns,1.14
226,wide,värske,adjectives,0.05
227,steal,võtma,verbs,2.04
228,bizarre,kummaline,adjectives,5.32
229,nose,pea,nouns,0.59
230,muscle,käsi,nouns,1.04
231,put,andma,verbs,0.45
232,simple,keeruline,adjectives,0.39
233,help,kaitsma,verbs,1.69
234,sunshine,õun,nouns,0.2
235,article,raamat,nouns,0.9
236,difficulty,pingutus,nouns,2.8
237,cannon,relv,nouns,2.31
238,distance,vaatenurk,nouns,1.04
239,muslim,piiskop,nouns,0.6
240,messy,puhas,adjectives,0.29
241,rate,väärtus,nouns,1.92
242,computer,masin,nouns,1.91
243,neck,luu,nouns,0.52
244,island,printsess,nouns,0.0
245,emperor,kuberner,nouns,1.48
246,attend,ilmuma,verbs,0.87
247,camera,tööline,nouns,0.05
248,whiskey,džinn,nouns,1.41
249,horn,trumm,nouns,0.76
250,god,saak,nouns,0.1
251,failure,pankrot,nouns,1.48
252,nose,suu,nouns,0.99
253,big,kerge,adjectives,0.1
254,accept,eitama,verbs,0.19
255,tram,rong,nouns,2.38
256,gather,kohtuma,verbs,2.63
257,ecosystem,majandus,nouns,0.79
258,sailor,kapten,nouns,1.69
259,mutant,sotsiobioloogia,nouns,0.35
260,boat,auto,nouns,0.67
261,mayor,pealik,nouns,1.99
262,photophone,homofoon,nouns,0.14
263,snore,ärkama,verbs,0.54
264,contemplate,mõtlema,verbs,4.39
265,hang,tapma,verbs,1.57
266,miss,tabama,verbs,0.4
267,death,katastroof,nouns,1.15
268,brandy,vein,nouns,1.54
269,balloon,vann,nouns,0.1
270,vein,kõht,nouns,0.15
271,roughly,kannatamatult,adverbs,0.74
272,actor,laulja,nouns,1.31
273,greet,kohtuma,verbs,1.81
274,aluminium,tina,nouns,1.54
275,choice,vangla,nouns,0.2
276,bowl,saba,nouns,0.0
277,rude,toores,adjectives,2.06
278,nerve,aju,nouns,1.17
279,succeed,võitma,verbs,3.64
280,humbly,kehvasti,adverbs,0.74
281,rationalize,mõtlema,verbs,2.6
282,easy,karm,adjectives,0.09
283,smartphone,ananass,nouns,0.05
284,intimate,isiklik,adjectives,3.79
285,leave,jääma,verbs,0.36
286,duke,vabariik,nouns,0.39
287,ant,mesilane,nouns,0.86
288,monster,deemon,nouns,3.81
289,fun,mäng,nouns,1.86
290,mouse,rott,nouns,2.41
291,swamp,järv,nouns,1.02
292,innocent,vaba,adjectives,1.36
293,probably,võib-olla,adverbs,3.21
294,word,vihje,nouns,0.35
295,offend,tüütama,verbs,1.33
296,keep,säilitama,verbs,4.38
297,dollar,miljonär,nouns,0.57
298,chaos,klass,nouns,0.15
299,value,määr,nouns,1.92
300,action,mäng,nouns,0.96
301,know,hoomama,verbs,3.17
302,fake,tehislik,adjectives,4.47
303,reject,valima,verbs,0.45
304,obtain,võtma,verbs,2.76
305,boring,väsinud,adjectives,0.91
306,hug,pigistama,verbs,1.63
307,author,lugeja,nouns,0.81
308,handicraft,traditsioon,nouns,0.85
309,ask,palvetama,verbs,1.44
310,bus,takso,nouns,1.34
311,cigar,toru,nouns,1.09
312,blend,kloppima,verbs,1.0
313,character,inimene,nouns,2.52
314,win,teostama,verbs,2.08
315,lose,süüa tegema,verbs,0.0
316,marrow,veri,nouns,0.91
317,accident,hädaolukord,nouns,3.21
318,mechanically,ideaalselt,adverbs,0.2
319,room,vann,nouns,0.42
320,acquire,leidma,verbs,2.07
321,hat,mantel,nouns,0.66
322,disprove,lubama,verbs,0.0
323,sweet,elektriline,adjectives,0.1
324,gauge,auto,nouns,0.6
325,possibly,optimistlikult,adverbs,0.69
326,wipe,halvenema,verbs,0.05
327,cinematography,režissöör,nouns,1.13
328,day,öö,nouns,0.71
329,band,paraad,nouns,0.72
330,mark,hindeid panema,verbs,4.89
331,crude,ebaviisakas,adjectives,2.06
332,insect,mesilane,nouns,2.33
333,hole,kokkulepe,nouns,0.05
334,computer,ketas,nouns,0.65
335,pull,lükkama,verbs,0.34
336,uncle,mees,nouns,1.4
337,sincerely,tavaliselt,adverbs,0.5
338,runner,sportlane,nouns,2.46
339,bull,vasikas,nouns,1.56
340,fundraising,arendus,nouns,0.29
341,flexible,liigutatav,adjectives,2.5
342,search,jahtima,verbs,2.71
343,hug,lämmatama,verbs,0.92
344,protect,päästma,verbs,2.48
345,difficult,raske,adjectives,5.17
346,entertain,heameelt tegema,verbs,2.08
347,crime,pettus,nouns,2.85
348,assignment,märge,nouns,0.36
349,probably,positiivselt,adverbs,0.64
350,cable,võlur,nouns,0.0
351,rare,ebatavaline,adjectives,4.54
352,aggravate,tüütama,verbs,2.15
353,take,kätte toimetama,verbs,0.66
354,door,ukseava,nouns,2.46
355,try,saavutama,verbs,0.74
356,carriage,vagun,nouns,2.51
357,century,aasta,nouns,1.07
358,aggressive,ebaviisakas,adjectives,2.11
359,meat,steik,nouns,3.79
360,upset,heidutama,verbs,1.04
361,hard,sitke,adjectives,3.24
362,blame,ründama,verbs,3.63
363,squint,jõllitama,verbs,1.19
364,fight,tapma,verbs,0.84
365,violet,lill,nouns,1.95
366,definitely,kindlalt,adverbs,4.5
367,odd,veider,adjectives,5.13
368,president,poliitik,nouns,2.95
369,borrow,hoidma,verbs,0.36
370,average,regulaarne,adjectives,3.25
371,aviation,lend,nouns,2.36
372,blade,muru,nouns,0.59
373,suggest,nõu andma,verbs,4.31
374,religion,sekularist,nouns,1.05
375,clean,kena,adjectives,2.6
376,violent,radikaalne,adjectives,1.16
377,illustration,vill,nouns,0.05
378,humiliate,rahustama,verbs,0.04
379,yogurt,kari,nouns,0.47
380,broom,tolm,nouns,0.67
381,monkey,kampaania,nouns,0.05
382,gun,kahur,nouns,2.31
383,easy,haavatav,adjectives,0.59
384,bad,suurepärane,adjectives,0.19
385,manager,juht,nouns,3.65
386,news,meedium,nouns,0.7
387,clothes,nööp,nouns,0.71
388,normally,ebanormaalselt,adverbs,0.34
389,beach,riff,nouns,0.79
390,dust,luud,nouns,0.67
391,jail,trell,nouns,0.74
392,roam,uitama,verbs,4.13
393,arrange,vajama,verbs,0.35
394,convince,vaidlema,verbs,1.91
395,book,essee,nouns,1.25
396,build,lisama,verbs,1.14
397,impossible,teostatav,adjectives,0.34
398,cloth,riided,nouns,1.99
399,princess,saar,nouns,0.0
400,holiday,kalender,nouns,0.67
401,accuse,valetama,verbs,0.33
402,mainly,enamasti,adverbs,3.94
403,fry,küpsetama,verbs,2.35
404,happiness,kurbus,nouns,0.54
405,cop,kaaspiloot,nouns,0.19
406,forgive,aktsepteerima,verbs,1.75
407,meet,kogunema,verbs,2.63
408,fury,viha,nouns,5.02
409,tuition,stipendium,nouns,1.04
410,serious,naljakas,adjectives,0.45
411,fur,relv,nouns,0.3
412,case,riistvara,nouns,0.35
413,diet,õun,nouns,0.49
414,winner,värav,nouns,0.56
415,pole,lipp,nouns,0.91
416,movie,film,nouns,5.43
417,tiny,hiiglasuur,adjectives,0.33
418,unforeseen,ootamatu,adjectives,5.36
419,biography,ilukirjandus,nouns,1.09
420,flight,lennundus,nouns,2.36
421,generously,mitte kunagi,adverbs,0.1
422,long,kitsas,adjectives,0.6
423,combat,sõjakus,nouns,1.71
424,normally,igapäevaselt,adverbs,3.16
425,wall,kindlus,nouns,0.92
426,trainers,medal,nouns,0.19
427,pathogen,pisik,nouns,4.08
428,car,voolik,nouns,0.2
429,boss,direktor,nouns,3.69
430,construct,hävitama,verbs,0.09
431,sly,kummaline,adjectives,0.57
432,spicy,hea,adjectives,0.55
433,oak,vaher,nouns,1.23
434,logic,aritmeetika,nouns,1.73
435,ball,kinnas,nouns,0.47
436,boy,vend,nouns,1.79
437,wander,lahkuma,verbs,0.52
438,malware,uss,nouns,0.42
439,destroy,lagunema,verbs,1.41
440,childish,juhm,adjectives,1.84
441,champagne,õlu,nouns,1.15
442,capacitor,diood,nouns,1.46
443,chapter,öö,nouns,0.05
444,secretly,kindlalt,adverbs,0.67
445,hall,vahekäik,nouns,1.59
446,dirty,odav,adjectives,0.69
447,national,suur,adjectives,0.57
448,zero,lõpmatus,nouns,0.76
449,north,lõuna,nouns,0.91
450,strange,veider,adjectives,5.32
451,cloud,ilm,nouns,1.18
452,glass,kristall,nouns,1.94
453,surely,mõnikord,adverbs,0.14
454,cooperate,osalema,verbs,2.83
455,hill,kalju,nouns,1.43
456,tin,alumiinium,nouns,1.54
457,clarify,defineerima,verbs,3.52
458,crunch,naksama,verbs,1.31
459,drive,peatuma,verbs,0.3
460,logic,intelligentsus,nouns,2.5
461,decide,portreteerima,verbs,0.2
462,crocodile,sisalik,nouns,2.3
463,easy,kange,adjectives,0.05
464,parade,orkester,nouns,0.72
465,weird,kummaline,adjectives,5.32
466,sharp,leebe,adjectives,0.15
467,portray,otsustama,verbs,0.2
468,heart,operatsioon,nouns,0.38
469,sentry,mees,nouns,1.04
470,finish,võistlema,verbs,0.89
471,arrogant,uhke,adjectives,3.4
472,flesh,veri,nouns,1.07
473,listen,alluma,verbs,1.06
474,eye,pisar,nouns,0.77
475,hymn,piibel,nouns,0.48
476,soft,vägivaldne,adjectives,0.0
477,honey,meierei,nouns,0.3
478,victim,telefon,nouns,0.15
479,endurance,jõud,nouns,2.78
480,trick,relv,nouns,0.2
481,bell,uks,nouns,0.32
482,chaotically,rahumeelselt,adverbs,0.29
483,algebra,tehe,nouns,1.01
484,quietly,loomulikult,adverbs,0.49
485,exchange,asendus,nouns,3.3
486,descend,taganema,verbs,1.32
487,tribunal,õiglus,nouns,1.9
488,swallow,jooma,verbs,1.99
489,absorb,tagasi võtma,verbs,0.05
490,gulp,rüüpama,verbs,2.22
491,deadly,õnnelikult,adverbs,0.05
492,start,algama,verbs,4.64
493,intelligence,oskus,nouns,1.77
494,danger,tõbi,nouns,0.51
495,bring,tulema,verbs,0.54
496,retain,jääma,verbs,1.09
497,diode,kondensaator,nouns,1.46
498,man,onu,nouns,1.4
499,income,maks,nouns,0.56
500,elect,tagasi lükkama,verbs,0.45
501,fake,päris,adjectives,0.29
502,menu,tellimus,nouns,0.91
503,despise,vihkama,verbs,4.65
504,proud,kurb,adjectives,0.0
505,esteem,au,nouns,2.83
506,bury,surema,verbs,0.83
507,great,imeline,adjectives,4.19
508,hang,panema,verbs,1.19
509,road,maantee,nouns,3.95
510,verdict,kohtumenetlus,nouns,1.66
511,surely,ilmselgelt,adverbs,3.29
512,father,poeg,nouns,1.21
513,adjourn,lõpetama,verbs,2.99
514,pour,tilkuma,verbs,1.09
515,mostly,sügavalt,adverbs,0.51
516,flag,mast,nouns,0.91
517,lizard,valitsus,nouns,0.0
518,wonderful,suurepärane,adjectives,4.19
519,evacuate,määrama,verbs,0.05
520,attorney,advokaat,nouns,4.74
521,dinner,eine,nouns,3.01
522,juice,lusikas,nouns,0.3
523,people,pidu,nouns,0.79
524,mind,neuroos,nouns,1.02
525,chapel,kaabel,nouns,0.0
526,doorway,uks,nouns,2.46
527,door,kelder,nouns,0.54
528,agriculture,monokultuur,nouns,1.39
529,chapel,kirikutorn,nouns,1.52
530,cabin,laager,nouns,0.94
531,violent,vihane,adjectives,2.04
532,topic,lugu,nouns,1.55
533,president,linnapea,nouns,1.34
534,hut,metsamajake,nouns,3.49
535,aid,assisteerima,verbs,4.9
536,container,hiir,nouns,0.2
537,list,rivi,nouns,1.46
538,incoming,väljuv,adjectives,0.39
539,writer,anne,nouns,0.3
540,thread,lõng,nouns,2.66
541,decrease,laskuma,verbs,0.9
542,seriously,oluliselt,adverbs,2.01
543,admit,eitama,verbs,0.39
544,unfair,julm,adjectives,1.99
545,stamen,tolmendamine,nouns,1.29
546,supper,hommikusöök,nouns,0.79
547,winter,suvi,nouns,0.74
548,gentleman,leedi,nouns,0.81
549,create,hävitama,verbs,0.34
550,beach,rannik,nouns,2.95
551,criminal,seaduserikkuja,nouns,4.39
552,ice,vesi,nouns,2.08
553,acknowledge,aktsepteerima,verbs,2.96
554,elegantly,ilusti,adverbs,3.37
555,ant,kärbes,nouns,1.06
556,separate,väljuma,verbs,0.8
557,dinosaur,elevant,nouns,0.52
558,create,joonistama,verbs,1.27
559,home,võõrsil,adverbs,0.51
560,child,poiss,nouns,1.88
561,tough,kerge,adjectives,0.09
562,turkey,kana,nouns,1.32
563,band,naps,nouns,0.3
564,august,kuu,nouns,1.9
565,actively,passiivselt,adverbs,0.24
566,cocktail,alkohol,nouns,1.93
567,boring,keskpärane,adjectives,2.28
568,wood,kivi,nouns,0.59
569,agree,mitte nõustuma,verbs,0.29
570,obviously,umbes,adverbs,0.14
571,belligerence,lahing,nouns,1.71
572,division,korrutamine,nouns,1.13
573,participate,koostööd tegema,verbs,2.83
574,evict,vabastama,verbs,1.39
575,cloud,aken,nouns,0.15
576,discourage,ärritama,verbs,1.04
577,attack,haiget tegema,verbs,2.52
578,slim,sale,adjectives,5.24
579,appear,saama,verbs,0.39
580,bottle,klaaspurk,nouns,2.91
581,soon,koheselt,adverbs,2.65
582,opinion,valik,nouns,1.09
583,get,jääma,verbs,0.0
584,important,vajalik,adjectives,4.45
585,arm,veen,nouns,0.44
586,dwarfish,väiksevõitu,adjectives,3.83
587,wall,dekoratsioon,nouns,0.66
588,mustard,seeme,nouns,0.9
589,acquire,varastama,verbs,0.94
590,dawn,relv,nouns,0.05
591,dog,hobune,nouns,0.53
592,argue,veenma,verbs,2.13
593,hut,varjend,nouns,1.66
594,bold,uhke,adjectives,1.73
595,chapter,ots,nouns,0.05
596,hit,karistama,verbs,1.26
597,crazy,hull,adjectives,5.17
598,relaxed,stressis,adjectives,0.34
599,usually,harva,adverbs,0.41
600,dream,taevas,nouns,0.48
601,drum,ruupor,nouns,0.76
602,sometimes,kindlalt,adverbs,0.14
603,molecule,aatom,nouns,1.64
604,stomach,veen,nouns,0.15
605,size,trikk,nouns,0.05
606,automobile,auto,nouns,5.35
607,dive,looma,verbs,0.15
608,car,tank,nouns,0.81
609,infection,käänamine,nouns,0.0
610,declare,teadustama,verbs,4.58
611,professor,üliõpilane,nouns,0.67
612,wagon,tõld,nouns,2.51
613,comfort,alandama,verbs,0.04
614,literature,raamat,nouns,2.47
615,flora,loodus,nouns,2.62
616,winner,kohalolek,nouns,0.35
617,divide,lisama,verbs,0.3
618,pact,seisund,nouns,0.44
619,vocalist,koosseis,nouns,0.4
620,artwork,kunstnik,nouns,1.14
621,payment,tasu,nouns,3.39
622,bedroom,jalgratas,nouns,0.05
623,proud,vaene,adjectives,0.3
624,eagle,pistrik,nouns,2.09
625,film,teater,nouns,1.4
626,beverage,õlu,nouns,1.69
627,mediocre,okei,adjectives,3.83
628,upset,haiget tegema,verbs,2.49
629,bean,kohv,nouns,1.04
630,idea,arvamus,nouns,2.69
631,baby,täiskasvanu,nouns,0.6
632,uniform,heegeldus,nouns,0.2
633,pretend,näima,verbs,1.79
634,father,jumal,nouns,0.49
635,schemer,strateeg,nouns,3.05
636,volcano,magma,nouns,1.4
637,adult,laps,nouns,0.69
638,huge,loll,adjectives,0.14
639,jail,valik,nouns,0.2
640,write,kritseldama,verbs,2.41
641,argue,veenma,verbs,1.91
642,cyclone,taifuun,nouns,3.58
643,disguise,katma,verbs,2.29
644,kindly,kenasti,adverbs,4.22
645,throat,keel,nouns,0.98
646,twice,mitu korda,adverbs,1.56
647,apple,komm,nouns,0.39
648,saver,kokkuhoid,nouns,1.83
649,allowed,legaalne,adjectives,4.71
650,hunt,otsima,verbs,2.71
651,opinion,eelarvamus,nouns,2.39
652,cheek,keel,nouns,0.84
653,head,küüs,nouns,0.25
654,apartment,hotell,nouns,0.98
655,democracy,monarhia,nouns,1.06
656,hymn,kõrs,nouns,0.0
657,dice,kuubik,nouns,2.04
658,laugh,nutma,verbs,0.59
659,never,negatiivne,adjectives,0.6
660,straight,kõver,adjectives,0.38
661,obvious,ilmne,adjectives,4.83
662,retreat,laskuma,verbs,1.32
663,drawer,riided,nouns,0.66
664,chicken,riis,nouns,0.44
665,illegal,ebamoraalne,adjectives,2.11
666,remain,saama,verbs,0.0
667,pair,mõni,nouns,4.57
668,trick,suurus,nouns,0.05
669,pollination,tolmukas,nouns,1.29
670,send,tooma,verbs,0.34
671,queen,mesilane,nouns,0.74
672,goal,otsing,nouns,1.68
673,flour,leib,nouns,0.94
674,nerve,keha,nouns,0.35
675,colt,hobune,nouns,3.0
676,elbow,luu,nouns,1.2
677,beach,saar,nouns,1.05
678,demon,koletis,nouns,3.81
679,sword,troon,nouns,0.38
680,read,hammustama,verbs,0.1
681,calendar,kuupäev,nouns,1.51
682,control,peatuma,verbs,0.62
683,god,isa,nouns,0.49
684,politician,president,nouns,2.95
685,mother,abikaasa (naine),nouns,2.04
686,live,ellu jääma,verbs,2.69
687,haunt,hirmutama,verbs,2.24
688,steal,soetama,verbs,0.94
689,honestly,mitte kunagi,adverbs,0.0
690,breakfast,õhtusöök,nouns,1.26
691,forecast,pilvkate,nouns,0.66
692,judge,tunnistama,verbs,0.9
693,accident,raamat,nouns,0.05
694,clever,kaval,adjectives,3.56
695,hurt,jalaga lööma,verbs,1.41
696,finish,lõpetama,verbs,1.98
697,arm,kael,nouns,0.49
698,neurosis,meel,nouns,1.02
699,take,kandma,verbs,1.01
700,become,tegema,verbs,1.02
701,agree,heameelt tegema,verbs,0.79
702,airport,tükk,nouns,0.0
703,arm,ranne,nouns,1.72
704,image,peegeldus,nouns,1.61
705,civilization,elustiil,nouns,0.86
706,box,sigar,nouns,0.33
707,bedroom,vannituba,nouns,1.16
708,obviously,kindlalt,adverbs,3.29
709,monthly,iganädalane,adjectives,0.98
710,cry,nuuksuma,verbs,3.89
711,deliver,võtma,verbs,0.66
712,sly,nutikas,adjectives,3.56
713,ignorance,intelligentsus,nouns,0.34
714,retain,unustama,verbs,0.3
715,psychology,teadus,nouns,1.71
716,bed,tool,nouns,0.72
717,trick,vann,nouns,0.0
718,dull,vaimustav,adjectives,0.09
719,kid,poiss,nouns,2.42
720,poor,üksildane,adjectives,0.39
721,cotton,sviiter,nouns,0.71
722,mediocre,halb,adjectives,1.31
723,father,vanem,nouns,2.92
724,bone,lõug,nouns,0.77
725,straw,abikaasa (naine),nouns,0.0
726,person,loom,nouns,1.06
727,opposite,muu,adjectives,0.52
728,information,ajaleht,nouns,1.21
729,harmony,klaver,nouns,0.71
730,earthquake,vappumine,nouns,2.76
731,hurry,tormama,verbs,4.54
732,brilliant,suurepärane,adjectives,4.3
733,manuscript,raamat,nouns,2.86
734,trial,kohtuotsus,nouns,1.66
735,think,proovima,verbs,0.45
736,bad,õudne,adjectives,3.39
737,bring,taastama,verbs,0.17
738,outgoing,sisenev,adjectives,0.39
739,horn,auto,nouns,0.96
740,realistically,äsja,adverbs,0.15
741,huge,imepisike,adjectives,0.33
742,chocolate,pirukas,nouns,0.67
743,reality,illusioon,nouns,0.61
744,become,organiseerima,verbs,0.35
745,juice,jäätisekokteil,nouns,1.04
746,clothed,kaetud,adjectives,3.42
747,flower,põõsas,nouns,1.35
748,leave,uitama,verbs,0.52
749,busy,laisk,adjectives,0.15
750,realistically,ideaalselt,adverbs,0.72
751,strategist,skeemitaja,nouns,3.05
752,year,sünnipäev,nouns,0.82
753,car,autopasun,nouns,0.96
754,understand,kuulama,verbs,1.19
755,belt,silmus,nouns,0.84
756,deny,andma,verbs,0.15
757,join,lahkuma,verbs,0.19
758,atom,molekul,nouns,1.64
759,helper,õpetaja,nouns,1.98
760,state,kodu,nouns,0.57
761,arithmetic,loogika,nouns,1.73
762,neutral,rahulik,adjectives,2.06
763,soldier,rahu,nouns,0.2
764,mix,süüa tegema,verbs,0.76
765,coach,mängija,nouns,0.85
766,new,vana,adjectives,0.39
