ID,CYM,ENG,PoS,score
257,boch,tongue,nouns,0.69
258,cynorthwyo,assist,verbs,5.55
259,llawdriniaeth,heart,nouns,0.17
260,lefel,score,nouns,1.66
261,cae,oat,nouns,0.1
262,yn anhygoel,amazingly,adverbs,4.59
263,hofrennydd,plane,nouns,2.36
264,alltud,alien,nouns,2.83
265,gwasgu,hug,verbs,1.98
266,uchder,conversion,nouns,0.0
267,gên,bone,nouns,0.77
268,braf,cruel,adjectives,0.0
269,pêl,cannon,nouns,0.61
270,cyfrwys,strange,adjectives,0.07
271,barnu,testify,verbs,0.74
272,pibell,garden,nouns,0.07
273,estrys,orchard,nouns,0.0
274,bol,abdomen,nouns,4.09
275,chwerthin,giggle,verbs,4.33
276,yn feddal,firmly,adverbs,0.2
277,yn fanwl gywir,wrong,adjectives,0.05
278,caets,bar,nouns,0.41
279,teledu,screenwriter,nouns,0.42
280,rhwygo,wear,verbs,0.31
281,cwch,anchor,nouns,0.66
282,pobl,population,nouns,2.32
283,holi,search,verbs,1.6
284,brenhiniaeth,democracy,nouns,0.61
285,brecwast,supper,nouns,0.74
286,dadl,agreement,nouns,0.09
287,meddwl,decide,verbs,1.72
288,cân,performer,nouns,0.64
289,iâr,bird,nouns,1.92
290,poblogaeth,people,nouns,2.32
291,gwawdlyd,contemptuous,adjectives,4.14
292,dôl,grassland,nouns,2.59
293,coleddu,keep,verbs,1.25
294,mam,guardian,nouns,2.17
295,anghofio,know,verbs,0.09
296,ynys,peninsula,nouns,2.17
297,alcohol,whiskey,nouns,1.96
298,athro,helper,nouns,2.13
299,cwrs,stomach,nouns,0.0
300,sychder,water,nouns,0.09
301,gwasgu,release,verbs,0.05
302,cwmwl,mist,nouns,2.99
303,datgelwyd,covered,adjectives,0.04
304,brwydro,bite,verbs,0.39
305,cyfreithiwr,prosecutor,nouns,2.95
306,coctel,alcohol,nouns,1.77
307,cerbyd,bus,nouns,2.46
308,gadael,enter,verbs,0.14
309,llymeitio,gulp,verbs,2.38
310,ceiniog,payment,nouns,0.96
311,ychwanegu,multiply,verbs,1.29
312,edrych,search,verbs,4.18
313,yn onest,sincerely,adverbs,4.75
314,injan,piston,nouns,2.23
315,derbyn,believe,verbs,1.54
316,yn ddelfrydol,mechanically,adverbs,0.0
317,bachgen,brother,nouns,1.65
318,hurt,smart,adjectives,0.04
319,ysgol feithrin,kindergarten,nouns,4.4
320,gwawr,night,nouns,0.34
321,creu,become,verbs,0.32
322,gêm,action,nouns,0.22
323,llenyddiaeth,book,nouns,2.42
324,cyfansoddiad,emperor,nouns,0.13
325,delwedd,reflection,nouns,1.31
326,yn ddiffuant,seriously,adverbs,1.48
327,parch,honor,nouns,2.88
328,gŵr bonheddig,lady,nouns,0.61
329,codiad haul,sunset,nouns,0.82
330,creu,dive,verbs,0.0
331,incwm,tax,nouns,0.45
332,tad,daughter,nouns,0.48
333,gwenynen,ant,nouns,0.76
334,cyfrwys,tough,adjectives,0.0
335,bàth,trick,nouns,0.0
336,mam,wife,nouns,1.79
337,yn anhygoel,tightly,adverbs,0.0
338,ffliwt,music,nouns,1.1
339,crogi,kill,verbs,1.57
340,cyfaill,companion,nouns,4.5
341,ffôn clyfar,pineapple,nouns,0.0
342,cofleidio,hold,verbs,2.0
343,clecs,news,nouns,2.47
344,cyfarwyddwr,boss,nouns,3.14
345,stopio,warn,verbs,1.04
346,gwn,cannon,nouns,2.26
347,cwmni,business,nouns,4.21
348,ffôl,dumb,adjectives,4.52
349,pryd bwyd,waist,nouns,0.0
350,urddas,insignia,nouns,0.19
351,llaw,nail,nouns,0.64
352,telesgop,chair,nouns,0.0
353,anelu,hit,verbs,0.86
354,angor,boat,nouns,0.66
355,haf,winter,nouns,0.59
356,ci hela,fox,nouns,0.79
357,cyhuddo,lie,verbs,0.38
358,ystafell,bath,nouns,0.28
359,alcohol,wine,nouns,1.89
360,heb benderfynu,neutral,adjectives,3.17
361,seren,asteroid,nouns,1.77
362,byd,globe,nouns,4.45
363,asetylocolin,iris,nouns,0.05
364,rhyfedd,sly,adjectives,0.07
365,pwyll,care,nouns,3.59
366,yn derfynol,differently,adverbs,0.04
367,caled,tough,adjectives,3.04
368,sibrwd,speak,verbs,1.87
369,yn anaml,often,adverbs,0.17
370,hanfodol,important,adjectives,4.59
371,maes llafur,exam,nouns,0.66
372,traethawd,book,nouns,0.85
373,cnoi,read,verbs,0.0
374,hedfaniad,aviation,nouns,3.01
375,dewis,jail,nouns,0.0
376,maddau,understand,verbs,0.73
377,lan,coast,nouns,3.33
378,pêl,volleyball,nouns,2.04
379,sgrîn,phonology,nouns,0.0
380,cyfrifiadur,disc,nouns,0.74
381,encilio,descend,verbs,1.07
382,chwalu,smash,verbs,3.69
383,twp,stubborn,adjectives,0.26
384,gwn,dawn,nouns,0.0
385,gwrando,obey,verbs,1.46
386,doniol,sad,adjectives,0.12
387,actor,actress,nouns,3.84
388,cwmwl,storm,nouns,0.72
389,sgleinio,inform,verbs,0.0
390,blodyn,belief,nouns,0.12
391,ystafell,cell,nouns,1.77
392,sinamon,candy,nouns,0.52
393,traeth,coast,nouns,2.29
394,piston,engine,nouns,2.23
395,drwg,awful,adjectives,3.74
396,cab,bus,nouns,0.94
397,trwm,laden,adjectives,3.6
398,ffêr,elbow,nouns,0.59
399,dadl,criticism,nouns,1.73
400,gwneud,quit,verbs,0.04
401,llyncu,sip,verbs,2.38
402,annog,discourage,verbs,0.04
403,cwtsh,hug,verbs,4.44
404,cul,wide,adjectives,0.09
405,rhadlon,incoming,adjectives,0.04
406,canlyn,persuade,verbs,0.24
407,orthodontydd,doctor,nouns,1.21
408,cyw iâr,rice,nouns,0.14
409,dichonadwy,impossible,adjectives,0.39
410,danfon,go,verbs,0.71
411,yn amlwg,surely,adverbs,3.04
412,yn achlysurol,regularly,adverbs,0.92
413,capel,steeple,nouns,0.82
414,coginio,lose,verbs,0.0
415,carreg,wood,nouns,0.09
416,strategydd,schemer,nouns,3.35
417,gwneud,create,verbs,4.79
418,tlodi,wealth,nouns,0.32
419,gwan,spicy,adjectives,0.0
420,yn bwysig,officially,adverbs,2.15
421,efelychiad,robotics,nouns,0.65
422,duw,devil,nouns,0.67
423,yn hyderus,secretly,adverbs,0.42
424,yn ysgafn,brightly,adverbs,0.57
425,talu,buy,verbs,2.0
426,paraseicoleg,neuropsychology,nouns,1.96
427,fflat,furniture,nouns,0.45
428,llywydd,mayor,nouns,1.59
429,presenoldeb,door,nouns,0.0
430,cael,acquire,verbs,4.57
431,ffurfdroad,infection,nouns,0.0
432,ffilm,nihilism,nouns,0.0
433,cyfathrebu,language,nouns,1.99
434,crebachu,reduce,verbs,3.58
435,plisman,sheriff,nouns,3.01
436,cydio,clench,verbs,2.82
437,anthropoleg,archaeology,nouns,1.23
438,gwaed,virus,nouns,0.61
439,ar ôl,before,adverbs,0.09
440,tasg,woman,nouns,0.0
441,cicio,hurt,verbs,1.26
442,potel,can,nouns,0.66
443,ffrio,boil,verbs,1.32
444,treisgar,radical,adjectives,0.66
445,rhannu,add,verbs,0.21
446,offeiriad,prophet,nouns,1.35
447,cythruddo,guess,verbs,0.0
448,dadlau,yell,verbs,1.79
449,eglwys,choir,nouns,0.49
450,nihiliaeth,film,nouns,0.0
451,trefn,menu,nouns,0.51
452,ysgwydd,head,nouns,0.91
453,tymor,winter,nouns,2.01
454,sigâr,box,nouns,0.07
455,yn ddibynadwy,responsibly,adverbs,3.31
456,porth,exit,nouns,2.16
457,byr,long,adjectives,0.09
458,madfall,government,nouns,0.0
459,deallusrwydd,skill,nouns,1.83
460,deall,satisfy,verbs,0.38
461,pwysig,crucial,adjectives,4.59
462,claddu,die,verbs,0.94
463,gwastraffu,worry,verbs,0.0
464,car,boat,nouns,0.67
465,eira,storm,nouns,1.24
466,basilica,mosaic,nouns,0.54
467,pêl,basket,nouns,0.05
468,cyfnewid,currency,nouns,0.99
469,hapusrwydd,luck,nouns,0.59
470,sblash,viscosity,nouns,0.15
471,pont,car,nouns,0.15
472,meddu ar,take,verbs,1.31
473,cymdeithas,club,nouns,4.04
474,mwstard,seed,nouns,0.49
475,gwthio,blame,verbs,0.05
476,balch ,strong,adjectives,0.66
477,mwd,dirt,nouns,4.25
478,pwysig,necessary,adjectives,3.6
479,cardbord,paper,nouns,2.5
480,pibell,car,nouns,0.0
481,band,parade,nouns,0.72
482,drws,bell,nouns,0.32
483,dal,imitate,verbs,0.12
484,darganfod,disappear,verbs,0.05
485,ardal,zone,nouns,5.15
486,ceirchen,field,nouns,0.1
487,mêl,dairy,nouns,0.26
488,alwminiwm,tin,nouns,1.9
489,minc,fur,nouns,2.35
490,gyrru,stop,verbs,0.05
491,swydd,management,nouns,0.63
492,wedi'i ferwi,cooked,adjectives,2.37
493,gadael,join,verbs,0.09
494,caniau,bottle,nouns,0.66
495,craig,mine,nouns,0.42
496,ffenestr,ankle,nouns,0.0
497,gwrthod,elect,verbs,0.0
498,torf,mob,nouns,4.62
499,masarnen,tree,nouns,2.45
500,amsugno,learn,verbs,1.27
501,yn fuan,immediately,adverbs,2.55
502,gwahanu,depart,verbs,1.4
503,pennod,tail,nouns,0.0
504,nod,quest,nouns,1.98
505,rhaniad,multiplication,nouns,0.82
506,siriol,happy,adjectives,5.06
507,codi,drink,verbs,0.0
508,heulwen,apple,nouns,0.0
509,perswadio,pursue,verbs,0.24
510,dechrau,go,verbs,0.97
511,plentyn,boy,nouns,1.63
512,trwyn,head,nouns,0.64
513,disgyn,retreat,verbs,1.07
514,yn dynn,incredibly,adverbs,0.0
515,chwerthin,cry,verbs,0.14
516,cyrraedd,leave,verbs,0.09
517,ffres,new,adjectives,3.54
518,barn,bias,nouns,2.19
519,brifo ,fall,verbs,0.96
520,sesiwn,patient,nouns,0.07
521,tân,apocalypse,nouns,0.54
522,dewis,decide,verbs,4.22
523,ci,cat,nouns,0.86
524,prin,dumb,adjectives,0.0
525,cwympo,stumble,verbs,3.96
526,cymyl,fog,nouns,2.67
527,menyw,task,nouns,0.0
528,jar,cup,nouns,1.44
529,cot,clothes,nouns,1.57
530,dirprwy,officer,nouns,1.29
531,dilyniant,camera,nouns,0.0
532,gorchuddio,disguise,verbs,2.04
533,denu,hit,verbs,0.0
534,car,hose,nouns,0.0
535,curo,win,verbs,3.64
536,menyw,man,nouns,0.26
537,pumed,top,adjectives,0.0
538,anonest,bad,adjectives,1.42
539,gwely,hospital,nouns,0.35
540,wal,brick,nouns,0.91
541,llyfn,sharp,adjectives,0.15
542,ffres,old,adjectives,0.04
543,coflaid,smother,verbs,0.67
544,gogledd,south,nouns,0.71
545,gadael,ignore,verbs,1.07
546,cosbi,hit,verbs,0.76
547,ychydig,roughly,adverbs,0.46
548,gwrthod,give,verbs,0.0
549,cuddwisgo,cover,verbs,2.04
550,stumog,waist,nouns,1.41
551,amhosib,feasible,adjectives,0.39
552,menyw,secretary,nouns,0.19
553,cymharu,analyze,verbs,2.32
554,coflaid,cuddle,verbs,4.44
555,hardd,wonderful,adjectives,2.0
556,pen,alphabet,nouns,0.04
557,ffaith,insight,nouns,1.33
558,maint,cent,nouns,0.0
559,yn negyddol,unnaturally,adverbs,0.38
560,sychedig,hungry,adjectives,1.23
561,lema,syllable,nouns,0.12
562,main,slim,adjectives,4.64
563,aneglur,vague,adjectives,5.04
564,iaith,communication,nouns,1.99
565,profocio,hurt,verbs,0.71
566,awyrgylch,ozone,nouns,2.04
567,dŵr,coronation,nouns,0.0
568,gwasgu,grasp,verbs,2.82
569,cell,room,nouns,1.77
570,hysbysu,acknowledge,verbs,0.89
571,braich,neck,nouns,0.19
572,stopio,control,verbs,0.42
573,mynychu,gather,verbs,0.37
574,arbed,collect,verbs,2.02
575,blin,happy,adjectives,0.09
576,ymadael,separate,verbs,1.4
577,danfon,receive,verbs,0.09
578,gwerthuso,analyze,verbs,4.26
579,hapusrwydd,peace,nouns,1.67
580,ennill,accomplish,verbs,2.49
581,traeth,seashore,nouns,4.72
582,car,elevator,nouns,0.14
583,tarth,cloud,nouns,2.67
584,ale,bowl,nouns,0.04
585,casglu,gather,verbs,4.57
586,sinema,popcorn,nouns,0.46
587,baglu,fall,verbs,3.96
588,preifat,public,adjectives,0.09
589,llygoden,management,nouns,0.0
590,cul,long,adjectives,0.35
591,llywydd,pupil,nouns,0.05
592,athro,rabbi,nouns,2.41
593,yn garedig,generously,adverbs,2.99
594,gorffen,compete,verbs,0.69
595,ymddangos,become,verbs,0.69
596,plaladdwr,pest,nouns,0.76
597,bwlb,flower,nouns,0.69
598,penderfynu,judge,verbs,3.09
599,sgriptiwr,television,nouns,0.42
600,plesio,satisfy,verbs,3.35
601,gwerddon,freedom,nouns,0.51
602,papur,wood,nouns,0.66
603,blanced,wood,nouns,0.0
604,rheolwr,leader,nouns,3.35
605,sicr,sure,adjectives,5.64
606,bag,purse,nouns,2.52
607,blanced ,bed,nouns,0.86
608,mae'n debyg,simply,adverbs,0.42
609,dysgu,listen,verbs,0.69
610,eisiau,choose,verbs,0.81
611,lleihau,restrict,verbs,2.74
612,poen,harm,nouns,2.26
613,safbwynt,distance,nouns,0.74
614,erfyn,ask,verbs,2.51
615,prynu,get,verbs,1.29
616,myffin,parsley,nouns,0.05
617,blodyn,bulb,nouns,0.69
618,cegin,bathroom,nouns,0.72
619,trefnu,require,verbs,0.0
620,twnnel,path,nouns,0.77
621,soned,beauty,nouns,0.27
622,anifail anwes,cat,nouns,2.62
623,camera,president,nouns,0.0
624,ffaith,proof,nouns,1.52
625,dod â,complain,verbs,0.0
626,gwych,brilliant,adjectives,4.6
627,gwrthod,avoid,verbs,1.07
628,torri,demolish,verbs,3.69
629,tywysoges,island,nouns,0.0
630,crochenwaith,ceramic,nouns,3.6
631,llafn,grass,nouns,0.65
632,cymhwysedd,capability,nouns,4.32
633,lladd,hang,verbs,1.57
634,sensoriaeth,liberty,nouns,0.17
635,goruchafiaeth,omnipotence,nouns,1.66
636,llys,judge,nouns,0.95
637,cyflawni,win,verbs,2.49
638,cerddorfa,band,nouns,2.94
639,deall,know,verbs,2.85
640,cwmwl,lake,nouns,0.15
641,batri,theatre,nouns,0.0
642,deilen,seedling,nouns,0.94
643,yn syth,once,adverbs,0.94
644,yn sicr,obviously,adverbs,3.04
645,dweud celwydd,accuse,verbs,0.38
646,prawf,trial,nouns,4.32
647,maes awyr,piece,nouns,0.0
648,cymryd rhan,cooperate,verbs,2.29
649,undeb,sum,nouns,0.24
650,dadansoddi,compare,verbs,2.32
651,o ddifrif,sincerely,adverbs,1.48
652,hela,search,verbs,2.81
653,claddedigaeth,death,nouns,1.27
654,cerflunydd,mansion,nouns,0.15
655,aflonydd,young,adjectives,0.19
656,ystafell ymolchi,bedroom,nouns,1.41
657,damcaniaeth,theory,nouns,4.81
658,meddwl,remember,verbs,0.82
659,gweiddi,argue,verbs,1.79
660,tasg,straw,nouns,0.0
661,bachgen,partner,nouns,0.13
662,clwb,mark,nouns,0.0
663,cynnyrch llaeth,honey,nouns,0.26
664,troi allan,vacate,verbs,1.08
665,nam,system,nouns,0.12
666,crëwr,maker,nouns,5.32
667,ysgyfaint,liver,nouns,0.79
668,blanced,gale,nouns,0.0
669,cyfieithydd,foreigner,nouns,0.3
670,telesgop,brainstorming,nouns,0.0
671,gwartheg,beef,nouns,3.04
672,ffantasi,reality,nouns,0.49
673,mwslim,bishop,nouns,0.3
674,pensil,story,nouns,0.15
675,hel,catch,verbs,0.92
676,poeni,waste,verbs,0.0
677,ethol,choose,verbs,4.25
678,awgrymu,advise,verbs,3.36
679,rheolaeth,job,nouns,0.63
680,brwnt,amazing,adjectives,0.0
681,modrwy,engagement,nouns,1.46
682,yn weithredol,happily,adverbs,0.15
683,cryf,proud,adjectives,0.66
684,argraff,belief,nouns,1.81
685,parth,area,nouns,5.15
686,corff,shoulder,nouns,0.54
687,gwirio,justify,verbs,0.8
688,brawdgarwch,baseball,nouns,0.0
689,gwych,wonderful,adjectives,4.64
690,wedi ymlacio,stressed,adjectives,0.04
691,styfnig,stupid,adjectives,0.26
692,cam,curved,adjectives,2.0
693,myfyriwr,teacher,nouns,0.51
694,rhaglen,food,nouns,0.05
695,gwaed,marrow,nouns,0.61
696,eirfwrdd,skiing,nouns,1.52
697,dinistrio,save,verbs,0.05
698,dŵr,drought,nouns,0.09
699,cadw,possess,verbs,2.94
700,ffenestr,roof,nouns,0.22
701,anwybodus,uniform,adjectives,0.0
702,mawr,heavy,adjectives,1.61
703,dwyn,give,verbs,0.09
704,yn fras,obviously,adverbs,0.24
705,ynys,beach,nouns,1.05
706,yn fecanyddol,ideally,adverbs,0.0
707,pennu,predict,verbs,1.44
708,enillydd,presence,nouns,0.0
709,ansicr,needy,adjectives,1.09
710,gwely,room,nouns,0.34
711,graddio,finish,verbs,1.67
712,dweud ar goedd,announce,verbs,4.97
713,chwilio,wander,verbs,1.29
714,rheolaeth,administration,nouns,2.72
715,log,wood,nouns,3.04
716,esgob,archbishop,nouns,3.38
717,atgyweirio,restore,verbs,4.21
718,pryd bynnag,sometimes,adverbs,0.42
719,germ,pathogen,nouns,4.22
720,tric,game,nouns,0.84
721,coleg,profession,nouns,0.34
722,amaethyddiaeth,monoculture,nouns,0.74
723,dur,alloy,nouns,2.17
724,gwybodaeth,newspaper,nouns,1.01
725,dyn,sentry,nouns,0.69
726,partner,boy,nouns,0.13
727,cymryd rhan,join,verbs,3.51
728,gwefrydd,disk,nouns,0.12
729,yn naturiol,quietly,adverbs,0.14
730,gwaith llaw,tradition,nouns,0.21
731,tagu,kill,verbs,1.2
732,beibl,book,nouns,1.77
733,sgwrs,communication,nouns,3.86
734,coffi,bean,nouns,0.74
735,gwydn,easy,adjectives,0.04
736,ton,weather,nouns,0.0
737,jin,whiskey,nouns,1.66
738,dewis,election,nouns,2.26
739,brandi,wine,nouns,1.24
740,bydiaeth,visa,nouns,0.29
741,anatomeg,biology,nouns,2.79
742,camera,worker,nouns,0.0
743,sefyllfa,circumstance,nouns,5.19
744,anghyfrifol,immature,adjectives,2.29
745,bowlen,plate,nouns,1.42
746,gwddf,tongue,nouns,0.58
747,ceg,nose,nouns,0.65
748,iselder,valley,nouns,0.8
749,cysur,safety,nouns,1.36
750,ceinder,style,nouns,2.85
751,amwys,unclear,adjectives,5.04
752,troed,hand,nouns,0.7
