ID,EST,HEB,PoS,score
141,kavatsus,רצון,nouns,4.15
142,aus,אשם,adjectives,0.7
143,doktor,פרופסור,nouns,2.9
144,põld,שיבולת שועל,nouns,1.7
145,kahur,רובה,nouns,2.5
146,pagas,הקפת כדור הארץ,nouns,0.55
147,käsivars,רגל,nouns,1.75
148,luuletus,מקצב,nouns,1.7
149,hoidma,להשאיל,verbs,0.8
150,tee,לימון,nouns,0.75
151,kodu,מדינה,nouns,0.95
152,raamat,תאונה,nouns,0.05
153,tavaline,שגרתי,adjectives,5.25
154,vasikas,שור,nouns,2.05
155,rist,נזיר,nouns,1.1
156,käsi,אגודל,nouns,1.6
157,ebaviisakas,גס,adjectives,3.0
158,auto,צופר,nouns,1.15
159,kurvalt,רגשית,adverbs,1.3
160,vannituba,חדר שינה,nouns,1.25
161,vihje,מילה,nouns,0.7
162,korv,כדור,nouns,0.9
163,mees,שומר,nouns,0.95
164,sissetulek,מס,nouns,1.0
165,maamaja,ביתן,nouns,3.65
166,autojuht,טייס,nouns,2.2
167,miljardär,חסר בית,nouns,0.85
168,meri,אוקיינוס,nouns,3.3
169,õiglus,בית דין,nouns,2.0
170,ülesanne,הערה,nouns,0.6
171,sigar,קופסה,nouns,0.6
172,ümbrik,קישוט,nouns,0.45
173,lagi,רצפה,nouns,1.2
174,andma,להרשות,verbs,2.6
175,valima,לרצות,verbs,1.25
176,tavaline,מדהים,adjectives,0.7
177,närviline,מפוחד,adjectives,1.55
178,vähendama,להנמיך,verbs,3.25
179,tušš,מנזר,nouns,0.1
180,avalikustamata,גלוי,adjectives,0.85
181,vabadus,צנזורה,nouns,0.7
182,skeem,רעיון,nouns,1.9
183,režissöör,סינמטוגרפיה,nouns,1.3
184,osalema,להצטרף,verbs,2.0
185,rahvahulk,חבורה,nouns,3.2
186,küün,בית,nouns,1.35
187,frustreerima,לדכא,verbs,2.95
188,saama,לקחת,verbs,1.35
189,sümbol,צופן,nouns,1.7
190,lennundus,אוויוניקה,nouns,2.5
191,lapsik,טיפשי,adjectives,1.75
192,kohut mõistma,להחליט,verbs,2.2
193,ettevaatus,דאגה,nouns,3.1
194,linnapea,נשיא,nouns,1.6
195,rahustama,להשפיל,verbs,0.35
196,kiirustama,למהר,verbs,4.85
197,sein,לבנה,nouns,1.45
198,auto,כרכרה,nouns,1.75
199,muru,להב,nouns,0.5
200,prohvet,כומר,nouns,1.65
201,korrutamine,חילוק,nouns,1.65
202,uks,אחווה,nouns,0.15
203,tüütu,מוגן,adjectives,0.35
204,tihti,לפעמים,adverbs,1.2
205,arv,ספרה,nouns,4.9
206,jooma,לבלוע,verbs,2.0
207,põnevil,מבוהל,adjectives,1.7
208,eksootiline,נדיר,adjectives,4.5
209,tsütoplasma,ספרה,nouns,0.3
210,tunnel,שביל,nouns,1.2
211,kondensaator,דיודה,nouns,1.8
212,kinematograafia,במאי,nouns,1.3
213,patoloogia,המטולוגיה,nouns,1.75
214,tänav,סמטה,nouns,3.7
215,kuhjatud,כבד,adjectives,1.35
216,sent,רעיה,nouns,0.05
217,öö,פרק,nouns,0.1
218,hütt,ביתן,nouns,4.1
219,täielikult,אך ורק,adverbs,1.9
220,hämmastavalt,באופן פנטסטי,adverbs,5.05
221,president,ראש,nouns,1.6
222,kunstiteos,אמן,nouns,1.5
223,valik,דעה,nouns,1.2
224,taastama,להביא,verbs,0.7
225,kaisutama,להתחבק,verbs,4.0
226,pahkluu,חלון,nouns,0.0
227,õnneseen,מובך,adjectives,0.1
228,ellu jääma,לחיות,verbs,2.5
229,silm,דמעה,nouns,1.45
230,tagasihoidlikult,בגאווה,adverbs,0.8
231,lääs,צפון,nouns,1.45
232,vana,טרי,adjectives,0.6
233,neelama,לשתות,verbs,2.0
234,liha,בייקון,nouns,2.65
235,jahikoer,שועל,nouns,1.45
236,laul,בלדה,nouns,3.65
237,armee,יחידה,nouns,1.55
238,haigus,חום,nouns,2.05
239,kaklema,לחלוק,verbs,1.65
240,protestant,נוצרי,nouns,3.0
241,teleskoop,כיסא,nouns,0.15
242,münt,תשלום,nouns,1.6
243,vesi,הכתרה,nouns,0.15
244,kurat,אל,nouns,1.5
245,kino,טלויזיה,nouns,2.4
246,bioloog,מיקרוסקופ,nouns,1.15
247,vehklemine,התעמלות,nouns,1.45
248,saama,להשיג,verbs,2.05
249,liha,כריך,nouns,1.05
250,kell,דלת,nouns,0.75
251,umbes,בקלות,adverbs,0.6
252,vahetus,מטבע,nouns,1.35
253,partner,בחור,nouns,1.65
254,juhtkiri,חדשות,nouns,1.5
255,pall,סל,nouns,0.9
256,kerge,פשוט,adjectives,3.8
257,tekk,עכבר,nouns,0.2
258,kole,גס,adjectives,1.05
259,loomulikult,בשקט,adverbs,0.65
260,ostma,לשלם,verbs,2.45
261,pruut,חתן,nouns,1.35
262,miljonär,דולר,nouns,1.05
263,õun,לימון,nouns,1.6
264,auto,אופניים,nouns,1.45
265,raha,משכורת,nouns,3.5
266,põlgama,להאשים,verbs,0.4
267,loogika,אינטליגנציה,nouns,2.5
268,halb,אשם,adjectives,1.15
269,sisenev,יוצא,adjectives,0.9
270,mahl,חלב,nouns,1.25
271,vokalist,צוות,nouns,0.45
272,lammas,טלה,nouns,3.75
273,tsüklon,טייפון,nouns,3.7
274,aatom,פחמן,nouns,1.55
275,teavitama,לאשר,verbs,1.35
276,vabastama,לתפוס,verbs,0.9
277,konteiner,קרון,nouns,2.2
278,ähvardus,סכנה,nouns,3.35
279,haiget tegema,ליפול,verbs,1.5
280,uhke,עצוב,adjectives,0.25
281,metsamajake,בקתה,nouns,3.65
282,võõrastemaja,מוטל,nouns,4.3
283,ebaviisakas,רועש,adjectives,1.1
284,alluma,להעניש,verbs,0.7
285,kritiseerima,לשנוא,verbs,0.85
286,teesklema,לשקר,verbs,2.95
287,pidu,אנשים,nouns,1.2
288,väiksevõitu,ננסי,adjectives,4.45
289,intelligentsus,תבונה,nouns,4.95
290,isa,בן,nouns,1.6
291,perv,הר,nouns,0.75
292,pigistama,לחבק,verbs,1.2
293,veenma,להתווכח,verbs,2.0
294,ehitama,לחבר,verbs,1.6
295,ookean,ים,nouns,3.3
296,passiivselt,במרץ,adverbs,0.45
297,püha,יקר ערך,adjectives,2.3
298,leht,עץ,nouns,1.4
299,võitma,לשלוט,verbs,2.0
300,ilusti,באלגנטיות,adverbs,2.9
301,prints,מלך,nouns,2.1
302,õppima,לספוג,verbs,1.35
303,pakk,משאית,nouns,1.0
304,küsima,להפציר,verbs,3.55
305,mõte,דעה,nouns,2.65
306,leib,גבינה,nouns,1.2
307,kasvama,להתכווץ,verbs,0.95
308,relv,תעלול,nouns,0.3
309,tüdinud,משעמם,adjectives,1.9
310,minema,למכור,verbs,0.2
311,mäng,פעילות,nouns,2.1
312,tooma,לשלוח,verbs,0.85
313,kleepuv,רטוב,adjectives,1.45
314,isa,אל,nouns,0.35
315,hiiglasuur,מטומטם,adjectives,0.2
316,partner,ילד,nouns,1.35
317,tormakas,מהיר,adjectives,4.35
318,mängima,לריב,verbs,1.2
319,teesklema,לדמיין,verbs,1.25
320,klatš,חדשות,nouns,2.2
321,hankima,לקחת,verbs,1.85
322,ebamoraalne,רע,adjectives,2.8
323,paluma,להפציר,verbs,4.4
324,tapma,לתלות,verbs,1.95
325,idee,תמונה,nouns,0.8
326,seletama,להוכיח,verbs,2.1
327,vale,מדוייק,adjectives,0.75
328,ühinema,לעזוב,verbs,0.65
329,osariik,בית,nouns,0.95
330,vaidlus,הסכמה,nouns,1.0
331,kuu,אוגוסט,nouns,2.05
332,ründama,לפגוע,verbs,2.75
333,propageerima,להתקדם,verbs,2.55
334,vann,בלון,nouns,0.15
335,ühendama,להתמוסס,verbs,1.2
336,topoloogia,מבנה,nouns,2.05
337,tehe,אלגברה,nouns,1.2
338,ajaleht,מילה,nouns,1.3
339,halb,מעולה,adjectives,0.6
340,šokolaad,פאי,nouns,0.9
341,vulkaan,מגמה,nouns,1.7
342,hirmunud,ביישן,adjectives,1.75
343,meloodia,מוסיקה,nouns,3.25
344,harva,לרוב,adverbs,1.15
345,väsinud,משעמם,adjectives,1.25
346,normaalne,שונה,adjectives,0.85
347,algama,להיווצר,verbs,1.7
348,mahl,תפוח,nouns,1.5
349,lööma,להצליף,verbs,3.15
350,klaas,תג,nouns,0.35
351,laps,גבר,nouns,1.6
352,tõstatama,להרים,verbs,1.5
353,kursor,שבבים,nouns,0.35
354,lehm,עז,nouns,1.4
355,kael,זרוע,nouns,1.05
356,deemon,מפלצת,nouns,4.3
357,klaviatuur,אור,nouns,0.1
358,paindlik,רפוי,adjectives,1.75
359,mitte kunagi,לאחר מכן,adverbs,0.4
360,kulutama,ללבוש,verbs,0.85
361,vanem,מבוגר,nouns,2.6
362,küüs,יד,nouns,1.1
363,tagasihoidlik,מתבייש,adjectives,2.5
364,kõri,לשון,nouns,1.15
365,laps,מבוגר,nouns,1.2
366,veen,בטן,nouns,0.55
367,ebatõenäoline,באופן ידידותי,adverbs,0.0
368,piim,מיץ,nouns,1.25
369,mehaaniline,חשמלי,adjectives,1.0
370,nutikas,ערמומי,adjectives,3.5
371,näitleja,זמר,nouns,1.9
372,näpistama,לחבוט,verbs,1.0
373,number,ציטופלזמה,nouns,0.3
374,lõdvestunud,לחוץ,adjectives,0.8
375,käsitöö,מסורת,nouns,1.25
376,rütm,שיר,nouns,1.7
377,sõna,עיתון,nouns,1.3
378,ründama,לגנות,verbs,2.75
379,sent,אנשים,nouns,0.7
380,saama,לתת,verbs,1.3
381,avalik,חבוי,adjectives,0.85
382,naksama,לחרוק,verbs,0.75
383,heameelt tegema,להפציר,verbs,0.4
384,palavik,מחלה,nouns,2.05
385,tooma,להתלונן,verbs,0.05
386,lahustama,להמיס,verbs,1.55
387,tõstma,לגדל,verbs,1.5
388,tooma,לשאת,verbs,2.05
389,habras,נוקשה,adjectives,0.55
390,karusnahk,אישה,nouns,0.4
391,suur,קל,adjectives,0.45
392,sultan,כהונה,nouns,0.65
393,tants,שמלה,nouns,0.8
394,eksam,סילבוס,nouns,1.1
395,kaootiliselt,בשלווה,adverbs,0.45
396,süüa tegema,לערבב,verbs,1.15
397,liigutatav,גמיש,adjectives,1.45
398,vabadus,חרות,nouns,5.6
399,võit,הצלחה,nouns,4.15
400,isiklik,אינטימי,adjectives,4.6
401,tõstma,לשתות,verbs,0.4
402,puitmaterjal,קורה,nouns,2.6
403,kallis,ביישן,adjectives,0.1
404,telliskivi,קיר,nouns,1.45
405,lühike,ארוך,adjectives,0.75
406,ootama,להישאר,verbs,1.7
407,usaldusväärselt,באופן סביל,adverbs,0.7
408,tasu,תשלום,nouns,3.2
409,liide,מוספית,nouns,3.25
410,advokaat,בנקאי,nouns,1.2
411,täpne,שגוי,adjectives,0.75
412,luu,לסת,nouns,1.3
413,masin,מנוע,nouns,2.3
414,aastaeg,חורף,nouns,2.3
415,loominguline,חדשני,adjectives,3.45
416,legaalne,מותר,adjectives,4.6
417,president,מצלמה,nouns,0.25
418,siiralt,לרוב,adverbs,0.55
419,naine,גבר,nouns,1.35
420,mõtlema,לברר,verbs,1.0
421,harva,לעיתים קרובות,adverbs,0.85
422,lehekülg,מילה,nouns,0.95
423,võtma,לעזוב,verbs,0.55
424,kõristi,רעש,nouns,1.9
425,määrama,לבחור,verbs,1.95
426,jääma,לקבל,verbs,0.35
427,tõesti,לחלוטין,adverbs,1.05
428,arst,דוקטור,nouns,5.1
429,keha,דם,nouns,1.2
430,kergelt,בערך,adverbs,0.6
431,ema,חבר,nouns,1.55
432,vabadus,נווה מדבר,nouns,0.6
433,telefon,טלפון סלולרי,nouns,4.2
434,viski,אלכוהול,nouns,2.3
435,võitma,להשיג,verbs,1.6
436,senat,חוקה,nouns,1.0
437,otsekohe,פעם אחת,adverbs,0.25
438,töö,משימה,nouns,3.5
439,õpilane,מורה,nouns,1.4
440,motell,אכסניה,nouns,4.3
441,liit,סכום,nouns,2.45
442,kallistama,לחנוק,verbs,0.7
443,pärast,לפני,adverbs,0.8
444,kätte toimetama,לשאת,verbs,1.3
445,kaval,מוזר,adjectives,0.85
446,meelde tuletama,להגיד,verbs,1.8
447,silp,למה,nouns,1.35
448,huul,ירך,nouns,1.0
449,lubama,לתת,verbs,2.6
450,tõlge,זר,nouns,0.8
451,süüdi,מתבייש,adjectives,1.4
452,jääma,לעזוב,verbs,0.75
453,kuulma,לדבר,verbs,0.85
454,illusioon,מציאות,nouns,1.0
455,vastandlik,אחר,adjectives,0.55
456,lumi,תחזית,nouns,1.2
457,mõte,תכנית,nouns,1.9
458,dieet,סלט,nouns,1.15
459,keel,שריר,nouns,1.1
460,peatuma,לנהוג,verbs,0.75
461,suusatamine,סנוברד,nouns,2.45
462,vaidlema,לדרוש,verbs,1.15
463,hütt,מקלט,nouns,1.55
464,kiusama,לפגוע,verbs,2.45
465,kõver,ישר,adjectives,0.8
466,tõsiselt,בכנות,adverbs,1.45
467,džinn,מנורה,nouns,0.85
468,heegeldus,מדים,nouns,0.35
469,tavaline,קר,adjectives,0.4
470,hea,מוכר,adjectives,0.7
471,president,זיהום,nouns,0.1
472,viirus,דם,nouns,1.1
473,televisioon,שחקן,nouns,1.25
474,hõivatud,עצלן,adjectives,0.55
475,compass,פיל,nouns,0.55
476,saavutama,לקבל,verbs,2.05
477,võitja,אלוף,nouns,4.35
478,loogika,חשבון,nouns,1.45
479,lind,תרנגולת,nouns,2.05
480,süüdistama,לשקר,verbs,0.65
481,pudel,מכולה,nouns,0.85
482,nahk,אופניים,nouns,0.2
483,kaabel,קוסם,nouns,0.15
484,pärima,לחפש,verbs,1.65
485,vahe,פתח,nouns,3.2
486,passivselt,בשקט,adverbs,1.15
487,karistama,לציית,verbs,0.7
488,kommunikatsioon,טלויזיה,nouns,2.1
489,õppima,להקשיב,verbs,1.7
490,valgus,מקלדת,nouns,0.1
491,demokraatia,מלוכה,nouns,1.4
492,imik,מבוגר,nouns,1.15
493,tehas,מכונית,nouns,0.7
494,keetma,לטגן,verbs,1.3
495,kombain,קנה סוכר,nouns,0.7
496,mõtlema,להרהר,verbs,4.5
497,puit,קורה,nouns,2.3
498,korrapärane,מבולגן,adjectives,0.75
499,heameelt tegema,להסכים,verbs,0.95
500,abikaasa (naine),אמא,nouns,2.4
501,ilmselgelt,באופן מקומי,adverbs,0.15
502,bänd,ליקר,nouns,0.3
503,kandma,לקרוע,verbs,0.2
504,kroonimine,מים,nouns,0.15
505,kuluma,לאפשר,verbs,0.15
506,vähk,מחלה,nouns,2.15
507,lõik,מכתב,nouns,1.15
508,imepisike,עצום,adjectives,0.75
509,deemon,מלאך,nouns,1.35
510,eesnahk,ברית מילה,nouns,1.55
511,märg,דביק,adjectives,1.45
512,vaidlema,להתווכח,verbs,1.75
513,küttekeha,מטרייה,nouns,0.6
514,väärtus,שיעור,nouns,1.8
515,jogurt,בקר,nouns,0.7
516,teadma,לתת,verbs,0.0
517,süütu,חופשי,adjectives,0.65
518,nina,פה,nouns,1.25
519,kapp,בגדים,nouns,1.0
520,ignorantne,רגיל,adjectives,0.25
521,pritsess,מלך,nouns,1.7
522,anatoomia,ביולוגיה,nouns,2.5
523,teavitama,לתאר,verbs,0.55
524,diskreetselt,בוודאי,adverbs,0.35
525,jalgratas,מכונית,nouns,1.45
526,ebavajalik,הכרחי,adjectives,0.8
527,ärritama,לדכא,verbs,1.3
528,periood,סמסטר,nouns,3.15
529,õun,ממתק,nouns,0.95
530,kerge,גדול,adjectives,0.45
531,karusnahk,מינק,nouns,3.0
532,veider,מוזר,adjectives,5.15
533,süüa tegema,לאבד,verbs,0.0
534,praadima,לאפות,verbs,2.7
535,kriitiline,חצוף,adjectives,1.1
536,vein,אלכוהול,nouns,2.3
537,vesistama,לבכות,verbs,4.35
538,analüüsima,לאמוד,verbs,2.6
539,jooma,לערבב,verbs,0.75
540,märge,משימה,nouns,0.6
541,pagema,לברוח,verbs,5.3
542,võitja,נוכחות,nouns,0.35
543,kuningas,נסיכה,nouns,1.7
544,reaktiivmootor,מטוס,nouns,1.25
545,ava,מרווח,nouns,3.2
546,tsunaami,ים,nouns,1.3
547,uhke,יהיר,adjectives,3.4
548,rütm,מנגינה,nouns,2.75
549,kuningas,נסיך,nouns,2.1
550,vajalikult,בעצם,adverbs,0.95
551,jääma,להמתין,verbs,1.7
552,kuulutama,להודיע,verbs,4.15
553,küsima,להתעלם,verbs,0.45
554,eelarvamus,דעה,nouns,2.8
555,eitama,להודות,verbs,0.85
556,küps,מתוחכם,adjectives,1.15
557,väljendama,לומר,verbs,3.85
558,modernne,עתיק,adjectives,0.8
559,kandidaat,מנצח,nouns,1.2
560,märk,מועדון,nouns,0.35
561,muusika,חליל,nouns,1.3
562,sihtima,להכות,verbs,1.25
563,hoomama,לספק,verbs,0.25
564,vann,תעלול,nouns,0.0
565,palk,עץ,nouns,2.3
566,võlgnema,להיכנס,verbs,0.05
567,teadma,להאמין,verbs,1.4
568,harmoonia,פסנתר,nouns,1.1
569,ühinema,לשתף,verbs,1.5
570,harva,לעולם לא,adverbs,1.45
571,veenma,לנסות,verbs,1.3
572,vägivaldne,כועס,adjectives,1.85
573,minema,לטייל,verbs,2.25
574,pilv,אגם,nouns,0.6
575,neutraalne,רגוע,adjectives,2.05
576,kirik,קתדרלה,nouns,4.2
577,lahustama,לערבב,verbs,1.2
578,krediit,לווה,nouns,1.6
579,artikkel,כתב יד,nouns,1.9
580,voodi,חדר שינה,nouns,1.3
581,uskumus,פרח,nouns,0.05
582,torm,ענן,nouns,1.75
583,ujuma,להיפגש,verbs,0.05
584,pihk,אצבע,nouns,1.25
585,kole,מבולגן,adjectives,1.35
586,veok,מכונית,nouns,3.0
587,sõnaraamat,אנציקלופדיה,nouns,2.25
588,imetlema,להעריץ,verbs,4.2
589,asteroid,כוכב,nouns,2.05
590,tõestama,להתווכח,verbs,1.9
591,hape,בסיס,nouns,1.1
592,tõld,עגלה,nouns,2.85
593,väide,ביקורת,nouns,1.4
594,välja vihastama,לתקוף,verbs,1.1
595,korruptsioon,הונאה,nouns,3.15
596,kabel,צריח,nouns,1.75
597,viies,עליון,adjectives,0.6
598,uus,ישן,adjectives,0.85
599,papp,נייר,nouns,2.65
600,laadima,לתעב,verbs,0.4
601,jää,מים,nouns,2.4
602,noomima,לדרוש,verbs,1.3
603,supp,סעודה,nouns,1.65
604,tunnistama,להודיע,verbs,1.35
605,aju,תודעה,nouns,1.75
606,mosaiik,בזיליקה,nouns,1.4
607,ideaalselt,באופן מציאותי,adverbs,0.95
608,katedraal,תקרה,nouns,0.9
609,loodus,צמחייה,nouns,2.5
610,pott,מכשיר,nouns,0.65
611,tagasihoidlikult,בעוני,adverbs,0.8
612,läbi kukkuma,להצליח,verbs,0.8
613,laenama,לתת,verbs,2.67
614,kitarr,פורל,nouns,0.05
615,varastama,לקנות,verbs,0.65
616,tool,ספה,nouns,2.0
617,kirg,רגש,nouns,3.45
618,äri,תעשייה,nouns,2.05
619,hing,אח,nouns,0.4
620,ütlema,להשתתף,verbs,0.65
621,masin,מחשב,nouns,2.2
622,unistus,שמיים,nouns,0.8
623,imenduma,להחזיק,verbs,0.55
624,prognoos,מעונן,nouns,1.15
625,juust,לחם,nouns,1.2
626,aru saama,לקלוט,verbs,4.5
627,tõesti,חשוב,adverbs,0.8
628,planeet,ירח,nouns,1.95
629,põhi,פסגה,nouns,0.95
630,sukelduma,ליצור,verbs,0.25
631,tee,כביש מהיר,nouns,4.2
632,umbes,באופן אמין,adverbs,0.35
633,rahvastik,אנשים,nouns,3.15
634,kannatused,ייאוש,nouns,2.75
635,mõnikord,בוודאי,adverbs,0.15
636,säär,זרוע,nouns,1.75
637,vitamiin,ברזל,nouns,1.25
638,ärritunud,מובך,adjectives,0.65
639,muutma,להתחלף,verbs,2.75
640,jooksma,לרכב,verbs,0.9
641,maja,שטיח,nouns,0.8
642,hajuma,לשחוק,verbs,2.15
643,defineerima,להבהיר,verbs,3.2
644,pull,עגל,nouns,2.05
645,närviline,בטוח,adjectives,0.3
646,uus,טרי,adjectives,3.75
647,kena,חברותי,adjectives,2.35
648,hoidma,להגן,verbs,3.9
649,ballaad,שיר,nouns,3.65
650,telefon,קורבן,nouns,0.3
651,putukas,מדביר,nouns,1.15
652,esineja,שיר,nouns,0.95
653,lugu,נושא,nouns,1.75
654,kaotama,להיכשל,verbs,2.4
655,ilm,שלג,nouns,1.2
656,süda,ניתוח,nouns,0.75
657,kaudne,לא אמין,adjectives,1.4
658,poiss,אח,nouns,2.25
659,sõjalaev,ספינת מלחמה,nouns,5.2
660,teras,סגסוגת,nouns,2.95
661,meeleolu,רגש,nouns,3.5
662,küpselt,בצדקנות,adverbs,0.65
663,ärritama,לנחש,verbs,0.25
664,pesapall,ספה,nouns,0.2
665,välistama,לשאוף,verbs,0.1
666,president,פוליטיקאי,nouns,2.65
667,kõht,קורס,nouns,0.05
668,tuba,אמבטיה,nouns,1.0
669,haruldane,יוצא דופן,adjectives,4.5
670,õli,מינק,nouns,0.35
671,vägi,כוח,nouns,4.15
672,rahumeelselt,ברוגע,adverbs,5.0
673,säravalt,בקלות,adverbs,0.7
674,nädal,סוף שבוע,nouns,1.55
675,põlgama,לשנוא,verbs,4.65
676,heameelt tegema,לספק,verbs,3.1
677,aktsepeerima,להכחיש,verbs,0.35
678,alustama,להפסיק,verbs,0.8
679,hertsog,רפובליקה,nouns,0.8
680,lubama,לאפשר,verbs,4.25
681,intiimne,אישי,adjectives,4.6
682,magamistuba,אופניים,nouns,0.2
683,talv,עונה,nouns,2.3
684,sisalik,נחש,nouns,1.95
685,oluline,זעיר,adjectives,0.75
686,kange,קל,adjectives,0.45
687,kombineeritud,מעורבב,adjectives,3.35
688,põõsas,פרח,nouns,1.9
689,ilmselgelt,כביכול,adverbs,1.25
690,keeruline,קל,adjectives,0.75
691,abielluma,להתארס,verbs,1.75
692,puu,מייפל,nouns,2.45
693,inimene,חיה,nouns,1.45
694,homofoon,פוטופון,nouns,0.6
695,seaduserikkuja,פושע,nouns,5.15
696,ulatus,עומק,nouns,2.35
697,haigus,סרטן,nouns,2.15
698,teooria,תאורמה,nouns,1.95
699,torm,שלג,nouns,1.85
700,näitleja,פאון,nouns,0.75
