ID,CYM,POL,PoS,score
67,post,szybkość,nouns,0.0
68,presenoldeb,nieobecność,nouns,0.45
69,het,pudełko,nouns,0.1
70,canwr,aktor,nouns,0.7
71,cryndod,trzęsienie ziemi,nouns,3.65
72,gwern,jezioro,nouns,0.95
73,claf,sesja,nouns,0.0
74,hwyl,piłka nożna,nouns,0.75
75,tasg,praca,nouns,3.05
76,ynys,plaża,nouns,1.4
77,llew,kot,nouns,2.4
78,theori,chemia,nouns,0.55
79,amddiffyn,zachować,verbs,1.45
80,osgoi,zaprzeczać,verbs,1.1
81,gwn,sierżant,nouns,0.3
82,canon,bal,nouns,0.35
83,oedolyn,rodzic,nouns,2.05
84,hanfodol,konieczny,adjectives,5.1
85,caled,gęsty,adjectives,0.5
86,siwmper,bawełna,nouns,0.6
87,wedi ei dychryn,podekscytowany,adjectives,1.15
88,dyrchafu,podnieść,verbs,3.2
89,amlwg,zauważalny,adjectives,3.65
90,dimai,żona,nouns,0.1
91,gwirod,stulecie,nouns,0.05
92,canfyddiad,wizja,nouns,1.4
93,arian cyfred,wymiana,nouns,0.45
94,cwrs,żołądek,nouns,0.0
95,tywysoges,ciastko,nouns,0.0
96,seciwlarydd,religia,nouns,0.6
97,carped,dom,nouns,0.25
98,doniol,nudny,adjectives,0.05
99,actores,aktor,nouns,3.3
100,rhannu,łączyć,verbs,0.05
101,diflas,ostry,adjectives,0.1
102,coflaid,udusić,verbs,0.1
103,twrci,kura,nouns,2.6
104,yn drist,emocjonalnie,adverbs,1.5
105,yr un peth,podobny,adjectives,3.9
106,nai,ciotka,nouns,0.9
107,casglu,organizować,verbs,1.6
108,cario ,brać,verbs,0.35
109,yn beryglus,ostrożnie,adverbs,0.05
110,bywyd wedi marwolaeth,czyściec,nouns,2.05
111,digartref,bilioner,nouns,0.05
112,creu,zarabiać,verbs,0.45
113,yma,teraz,adverbs,1.6
114,cyd-beilot,kokpit,nouns,0.1
115,twrci,ptak,nouns,2.85
116,syml,skomplikowany,adjectives,0.0
117,cinio,posiłek,nouns,3.35
118,awdur,dar,nouns,0.0
119,cytuno,różnić się,verbs,0.0
120,cael,brać,verbs,1.15
121,caffael,znaleźć,verbs,1.6
122,yn bwysig,poważnie,adverbs,2.55
123,creu,stać się,verbs,0.15
124,cerbyd,autobus,nouns,3.2
125,niwroseicoleg,parapsychologia,nouns,1.55
126,disg,komputer,nouns,1.05
127,oedolyn,niemowlę,nouns,0.1
128,diymadferth,podatny,adjectives,1.3
129,rhoi,wisieć,verbs,0.25
130,gitâr,pstrąg,nouns,0.0
131,dwywaith,raz,adverbs,0.3
132,canolig,nudny,adjectives,0.7
133,cul,biały,adjectives,0.0
134,rhoi,zaprzeczać,verbs,0.0
135,arferol,dziwaczny,adjectives,0.0
136,cymryd,dostarczać,verbs,0.3
137,yn dynn,stanowczo,adverbs,0.65
138,seryddwr,galaktyka,nouns,0.7
139,anghefnogi,nawalić,verbs,0.15
140,cartref,stan,nouns,0.0
141,holi,wymagać,verbs,0.2
142,diweddeb,rytm,nouns,0.6
143,deall,wiedzieć,verbs,2.6
144,digon,obfitość,nouns,4.4
145,troi allan,wychodzić,verbs,0.6
146,hawdd,duży,adjectives,0.0
147,yn sylfaenol,zupełnie,adverbs,0.6
148,asgwrn cefn,szyja,nouns,0.7
149,anghofio,przypominać,verbs,0.05
150,gofyn,prosić,verbs,1.95
151,casáu,lubić,verbs,0.0
152,coginio,stracić,verbs,0.0
153,aflonydd,młody,adjectives,0.55
154,asgwrn,kolano,nouns,1.55
155,soffistigedig,dojrzały,adjectives,1.85
156,yn annibynnol,odpowiedzialnie,adverbs,0.45
157,trwm,duży,adjectives,1.1
158,yn fecanyddol,idealnie,adverbs,0.3
159,drwm,róg,nouns,0.4
160,difetha,śmierdzieć,verbs,0.6
161,traddodiad,rękodzieło,nouns,0.05
162,dŵr,koronacja,nouns,0.0
163,nenfwd,podłoga,nouns,0.1
164,twr,dzwon,nouns,0.4
165,gwthio,winić,verbs,0.05
166,matrics,wektor,nouns,0.9
167,ceisio,przekonywać,verbs,0.65
168,yn swyddogol,znacząco,adverbs,1.95
169,gwadu,akceptować,verbs,0.1
170,car,miernik,nouns,0.05
171,presenoldeb,drzwi,nouns,0.0
172,awdur,czytelnik,nouns,0.2
173,ewythr,kuzyn,nouns,0.9
174,perfformiwr,piosenka,nouns,0.9
175,gwaed,wirus,nouns,0.55
176,gêm,akcja,nouns,0.8
177,stumog,kurs,nouns,0.0
178,degawd,era,nouns,1.95
179,derbyn,wysyłać,verbs,0.3
180,tywynnu,świecić,verbs,4.7
181,yn onest,lojalnie,adverbs,2.35
182,petrusgar,gniewny,adjectives,0.2
183,bowlen,zaułek,nouns,0.0
184,byddin,marynarka,nouns,3.7
185,dwys,tępy,adjectives,0.0
186,gwaith celf,artysta ,nouns,1.15
187,blin,szczęśliwy,adjectives,0.1
188,beic,skóra,nouns,0.0
189,canrif,dekada,nouns,0.55
190,dinistrio,konstruować,verbs,0.05
191,anghofio,wybaczać,verbs,1.65
192,ffôl,tępy,adjectives,4.75
193,drws,podłoga,nouns,0.25
194,tramgwyddo,zniechęcać,verbs,1.1
195,rhannu,mnożyć,verbs,0.4
196,bwrw,uszczypnąć,verbs,0.65
197,gwraig,wanna,nouns,0.0
198,nod,klub,nouns,0.0
199,het,płaszcz,nouns,0.65
200,reidio,biegać,verbs,0.15
201,ceisio,powieść się,verbs,0.5
202,siaced,ubrania,nouns,1.95
203,disgleirdeb,gwiazda,nouns,1.1
204,duw,ofiara,nouns,0.0
205,caseg,koń,nouns,3.85
206,llythyr,akapit,nouns,0.6
207,reis,chłopiec,nouns,0.0
208,penwythnos,tydzień,nouns,1.25
209,seicoleg,nauka,nouns,1.95
210,yn drist,szalenie,adverbs,0.1
211,cymysgu,mieszać,verbs,3.3
212,cul,szeroki,adjectives,0.05
213,mynd  ,przyjść,verbs,1.35
214,gorchuddio,chronić,verbs,1.55
215,llyfr,tekst,nouns,1.5
216,ceirchen,pole,nouns,0.7
217,llywydd,burmistrz,nouns,1.75
218,pledio,zadowalać,verbs,0.0
219,ifanc,szczęśliwy,adjectives,0.3
220,rhuthro,śpieszyć się,verbs,5.2
221,offeryn,praca,nouns,0.35
222,môr,plaża,nouns,1.2
223,cydnabod,mówić,verbs,0.35
224,merch,dzieciak,nouns,1.8
225,gwych,wspaniały,adjectives,5.3
226,hofrennydd,samolot,nouns,2.35
227,blwch,budka,nouns,0.2
228,ystafell wely,rower,nouns,0.0
229,gwrthod,akceptować,verbs,0.05
230,oeraidd,kruchy,adjectives,0.25
231,cydsyniad,waluta,nouns,0.0
232,ymennydd,nerw,nouns,0.8
233,balch ,silny,adjectives,0.75
234,derbyn,zaprzeczać,verbs,0.1
235,llwyddo,nawalić,verbs,0.05
236,cyfuno,miksować,verbs,4.0
237,agoriad,przerwa,nouns,1.1
238,heddwch,szczęście,nouns,1.55
239,erthygl,czasopismo,nouns,2.05
240,ffliwt,muzyka,nouns,0.95
241,yfed,sączyć,verbs,2.85
242,argraffu,ignorować,verbs,0.0
243,bwystfil,zwierzę,nouns,2.8
244,yn ddigynnwrf,pokojowo,adverbs,3.0
245,cath,zwięrzę domowe,nouns,2.95
246,ystafell ymolchi,sypialnia,nouns,1.3
247,degawd,stulecie,nouns,0.55
248,topoleg,struktura,nouns,2.05
249,blaengroen,obrzezanie,nouns,1.05
250,tyfu,rozprzestrzeniać się,verbs,3.95
251,rhyddid,oaza,nouns,0.65
252,anwybyddu,eksplorować,verbs,0.05
253,ffisigwr,doktor,nouns,5.0
254,glaswelltir,łąka,nouns,3.35
255,cynnwys,angażować,verbs,0.65
256,gorffwyll,niepoczytalny,adjectives,4.65
257,heddiw,dzisiaj wieczorem,adverbs,1.9
258,allwedd,korona ,nouns,0.05
259,mynnu,argumentować,verbs,1.2
260,enwaediad,napletek,nouns,1.05
261,cymryd,zostawić,verbs,0.05
262,crys,kardigan,nouns,1.15
263,yn naturiol,nienaturalnie,adverbs,0.05
264,hanfodol,ważny,adjectives,4.75
265,ofnus,nieśmiały,adjectives,2.0
266,cwch,kotwica,nouns,1.0
267,ffens,skakanie,nouns,0.1
268,priodi,angażować,verbs,1.0
269,awyrgylch,ozon,nouns,1.95
270,gynfad,wybrzeże,nouns,0.05
271,banereg,flaga,nouns,0.85
272,byw,przeżyć,verbs,3.25
273,bachgen,ryż,nouns,0.0
274,anghyfreithlon,niemoralny,adjectives,1.7
275,cul,brudny,adjectives,0.0
276,salad,dieta,nouns,0.6
277,go iawn,fałszywy,adjectives,0.05
278,dysgu,dezorientować,verbs,0.0
279,therapi,behawioryzm,nouns,1.7
280,trefn,menu,nouns,0.7
281,cytuno,zadowalać,verbs,0.75
282,dechrau,zaczynać,verbs,5.2
283,darllen,rozumieć,verbs,0.75
284,yn amlwg,lokalnie,adverbs,0.0
285,ymddangos,uczęszczać,verbs,0.95
286,derbyn,polecać,verbs,0.4
287,hunan,pewność siebie,nouns,0.5
288,dyddiad,urodziny,nouns,1.55
289,dyffryn,kanion,nouns,3.1
290,siwgr,miód,nouns,1.15
291,holi,szukać,verbs,1.35
292,sylweddol,pomniejszy,adjectives,0.0
293,crebachu,zniknąć,verbs,2.2
294,cwpwrdd,ubrania,nouns,0.45
295,pen,paznokieć,nouns,0.2
296,sinema,popcorn,nouns,0.55
297,to,okno,nouns,0.25
298,anhapus,obłąkany,adjectives,0.6
299,talu,kupować,verbs,2.5
300,homoffon,fotofon,nouns,0.2
301,offeiriad,bóg,nouns,0.7
302,arian,pensja,nouns,3.1
303,atgoffa,powiedzieć,verbs,0.9
304,datgymalu,umrzeć,verbs,0.45
305,heulwen,jabłko,nouns,0.05
306,taliad,opłata,nouns,5.0
307,stôl,krzesło,nouns,3.0
308,amwys,niejasny,adjectives,4.4
309,morgrugyn,mucha,nouns,0.6
310,braf,okrutny,adjectives,0.0
311,hurt,niemądry,adjectives,4.75
312,amddiffyn,zabić,verbs,0.45
313,diogelwch,wygoda,nouns,1.15
314,carchariad,cela,nouns,2.75
315,ap,galaktyka,nouns,0.0
316,dewin,kabel,nouns,0.0
317,casáu,krytykować,verbs,1.25
318,brwnt,klejący,adjectives,1.15
319,ffrio,piec,verbs,2.0
320,tudalen,słowo,nouns,0.75
321,cydnabod,powiadamiać,verbs,0.55
322,dod yn,zrealizować,verbs,1.4
323,crwt,córka,nouns,1.8
324,pwerus,potężny,adjectives,4.55
325,trefnu,chaotyczny,verbs,0.05
326,prynu,kraść,verbs,0.05
327,tram,pociąg,nouns,2.35
328,hanesydd,historiograf,nouns,2.55
329,gardd,wąż ogrodowy,nouns,0.25
330,cynilwr,oszczędność,nouns,1.7
331,ciwb,zabawka,nouns,0.1
332,cwch,drzewo,nouns,0.1
333,clywed,mówić,verbs,0.75
334,hurt,bystry,adjectives,0.0
335,sinc,złoto,nouns,0.4
336,yn ddiffuant,poważnie,adverbs,1.55
337,gwm,mięta,nouns,0.35
338,dicter,szał,nouns,4.15
339,corfforaeth,biznes,nouns,2.2
340,penelin,kość,nouns,1.25
341,dwys,twardy,adjectives,0.5
342,egni,bateria,nouns,2.4
343,cynorthwyo,chronić,verbs,1.9
344,prin,tępy,adjectives,0.0
345,anghefnogi,zachęcać,verbs,0.0
346,cynorthwy-ydd,pokojówka,nouns,1.7
347,clecs,wiadomości,nouns,2.25
348,gwrthod,unikać,verbs,1.1
349,corff,żołądek,nouns,1.05
350,cyfraith,szkoła,nouns,0.25
351,hen,mieszany,adjectives,0.15
352,ffonoleg,ekran,nouns,0.0
353,protestaniaid,chrześcijanin,nouns,1.45
354,gwyliadwraeth,spódnica,nouns,0.05
355,datblygiad,kwestowanie,nouns,0.25
356,ysgafn,średni,adjectives,0.5
357,pigo,selekcjonować,verbs,4.85
358,ysgol,ocena,nouns,0.75
359,anwybodus,jednolity,adjectives,0.05
360,trist,dumny,adjectives,0.1
361,hurt,inteligentny,adjectives,0.0
362,ifanc,niespokojny,adjectives,0.55
363,ffres,nowy,adjectives,4.25
364,gwraig,dżentelmen,nouns,0.9
365,saethydd,zwiadowca,nouns,0.8
366,bychanu,pocieszać,verbs,0.0
367,siryf,gliniarz,nouns,3.0
368,misol,tygodniowy,adjectives,0.7
369,cwch,motor,nouns,0.7
370,gwellt,zadanie,nouns,0.0
371,balch ,obłąkany,adjectives,0.0
372,heno,dzisiaj,adverbs,1.9
373,nawr,tutaj,adverbs,1.6
374,golygyddol,wiadomości,nouns,0.9
375,gwydr,odznaka,nouns,0.05
376,gofyn,ignorować,verbs,0.0
377,afal,sok,nouns,0.75
378,parti,maska,nouns,0.4
379,siarad,uznawać,verbs,0.35
380,maes awyr,samolot,nouns,1.5
381,coleg,zawód,nouns,0.15
382,busnes,korporacja,nouns,2.2
383,ewythr,ciotka,nouns,1.45
384,brest,ciało,nouns,1.4
385,miniog,łagodny,adjectives,0.05
386,sgriptiwr,telewizja,nouns,0.2
387,twp,uparty,adjectives,0.4
388,anghofio,wiedzieć,verbs,0.05
389,mam,żona,nouns,1.45
390,cytuno,kłócić się,verbs,0.05
391,cymryd,posiąść,verbs,1.6
392,cab,autobus,nouns,1.05
393,rhoi,kraść,verbs,0.05
394,awyrennu,lot,nouns,2.55
395,yn wreiddiol,kreatywnie,adverbs,0.9
396,dwywaith,zawsze,adverbs,0.25
397,hapusrwydd,smutek,nouns,0.2
398,maddau,akceptować,verbs,1.7
399,dannedd,kość,nouns,1.55
400,tagu,zabić,verbs,1.7
401,car,szosa,nouns,0.55
402,ymgynnull,zbierać,verbs,4.95
403,papur,karton,nouns,2.9
404,ysgyfaint,wątroba,nouns,0.9
405,awyren,odrzutowiec,nouns,4.35
406,diflas,śmieszny,adjectives,0.05
407,swigen,mydliny,nouns,0.95
408,ysgubell,kurz,nouns,0.2
409,traeth,morze,nouns,1.2
410,yn uchel,subtelnie,adverbs,0.0
411,blodyn,wytrzymałość,nouns,0.1
412,ymosodol,niegrzeczny,adjectives,1.75
413,pledio,błagać,verbs,4.25
414,gwarcheidwad,matka,nouns,2.7
415,derbyn,dostarczać,verbs,0.05
416,bàth,żona,nouns,0.0
417,dodrefn,łóżko,nouns,2.35
418,cael,pozostać,verbs,0.0
419,deall,czytać,verbs,0.75
420,confensiwn,zasada,nouns,2.6
421,dweud,wyrażać,verbs,3.65
422,awst,miesiąc,nouns,2.2
423,heb siâp,amorficzny,adjectives,5.65
424,yn fawr,niewiarygodnie,adverbs,0.85
425,llywydd,aparat,nouns,0.0
426,chwilio,polować,verbs,2.5
427,stopio,ostrzegać,verbs,0.85
428,allwedd,dom ,nouns,0.25
429,brenhines,pszczoła,nouns,0.4
430,curo,smagać,verbs,2.85
431,ymuno,współpracować,verbs,1.15
432,anwybyddu,zostawić,verbs,1.25
433,cytundeb,argument,nouns,0.25
434,unwaith,natychmiast,adverbs,0.65
435,dinistrio,tworzyć,verbs,0.05
436,danfon,uczęszczać,verbs,0.0
437,eira,burza,nouns,1.0
438,busnes,przemysł,nouns,2.1
439,sleid,wskaźnik,nouns,0.0
440,cab,samochód,nouns,3.8
441,yn realistig,idealnie,adverbs,0.9
442,yn llawn,zasadniczo,adverbs,0.6
443,drws,bractwo,nouns,0.05
444,pennaeth,burmistrz,nouns,1.25
445,cadw,zapominać,verbs,0.3
446,gwaelod,bok,nouns,0.7
447,ungnwd,rolnictwo,nouns,1.05
448,yn wael,pokornie,adverbs,0.1
449,gair,strona,nouns,0.75
450,cul,szeroki,adjectives,0.05
451,yn gyflym,pilnie,adverbs,4.6
452,gostwng,redukować,verbs,4.9
453,rhoddi,pożyczać,verbs,1.85
454,troed,głowa,nouns,0.35
455,brwydro,bawić się,verbs,0.1
456,bag,portmonetka,nouns,1.5
457,dillad,schowek,nouns,0.45
458,goruchafiaeth,wszechmoc,nouns,1.75
459,cythraul,anioł,nouns,0.15
460,amaethyddiaeth,roślina,nouns,0.55
461,rhoi,zezwalać,verbs,1.4
462,ymennydd,umysł,nouns,3.8
463,cansen siwgr,konsorcjum,nouns,0.05
464,pêl,działo,nouns,0.35
465,derwen,klon,nouns,1.75
466,cinio,śniadanie,nouns,0.7
467,llygoden,kot,nouns,0.45
468,gwyddoniadur,słownik,nouns,1.85
469,gormesu,wyrzekać się,verbs,0.9
470,tric,wanna,nouns,0.0
471,amddiffyn,chronić,verbs,4.7
472,fel arfer,nienormalnie,adverbs,0.15
473,etholiad,wybór,nouns,2.7
474,maddau,zapominać,verbs,1.65
475,acwsteg,dźwięk,nouns,2.15
476,yr wyddor,długopis,nouns,0.05
477,cytuno,nie zgadzać się,verbs,0.05
478,blodyn,krzak,nouns,1.1
479,barn,przekonanie,nouns,3.8
480,anfoesol,nielegalny,adjectives,1.7
481,sychder,woda,nouns,0.05
482,yn uchel,szalenie,adverbs,0.3
483,disgwyl,odchodzić,verbs,0.0
484,asgwrn cefn,ciało,nouns,0.7
485,archwilio,skontrolować,verbs,3.2
486,tagu,oddychać,verbs,0.55
487,llyfr,opowieść,nouns,2.3
488,morwyn,pomocnik,nouns,1.7
489,crwydro,szukać,verbs,1.55
490,derbyn,brać,verbs,2.2
491,eira,pogoda,nouns,0.7
492,cyflwr,dom ,nouns,0.0
493,gwerthfawr,święty,adjectives,1.25
494,disgyn,obniżać,verbs,1.15
495,gadael,robić,verbs,0.0
496,stumog,sypialnia,nouns,0.0
497,onest,nieuczciwy,adjectives,0.05
498,rhoi,dostać,verbs,0.15
499,tanc,samochód,nouns,0.6
500,hela,szukać,verbs,2.5
501,dewis,decydować,verbs,4.4
502,cymryd rhan,powiedzieć,verbs,0.0
503,newydd,starożytny,adjectives,0.0
504,maddau,rozumieć,verbs,1.35
505,cwch,pokład,nouns,1.7
506,da,znany,adjectives,0.05
507,pylu,erodować,verbs,1.8
508,gweithiwr,pracodawca,nouns,0.85
509,tŷ,stodoła,nouns,0.5
510,caban,chatka,nouns,4.45
511,biolegydd,mikroskop,nouns,0.75
512,madfall,krokodyl,nouns,1.15
513,diafol,bóg,nouns,0.45
514,dod,uczęszczać,verbs,2.9
515,ceisio,osiągnąć,verbs,0.65
516,gwefrydd,dysk,nouns,0.2
517,glaswellt,mech,nouns,1.25
518,gallu,kompetencja,nouns,4.2
519,cyfarfod,odchodzić,verbs,0.05
520,dyn,wartownik,nouns,0.85
521,niwtral,spokojny,adjectives,1.25
522,gwenynen,mrówka,nouns,0.8
523,gwalch,ptak,nouns,2.85
524,meddw,trzeźwy,adjectives,0.05
525,dwyn,porwać,verbs,2.35
526,nerfus,pewien,adjectives,0.0
527,yn fras,niezawodnie,adverbs,0.1
528,delta,morze,nouns,1.0
529,prynu,dostać,verbs,0.5
530,soned,piękno,nouns,0.25
531,rhyddid,cenzura,nouns,0.05
532,dilyniant,kamera,nouns,0.0
533,afal,cytryna,nouns,0.8
534,chwilio,dowiadywać się,verbs,1.35
535,wedi cyffroi,wystraszony,adjectives,1.15
536,gwybodaeth,entropia,nouns,0.2
537,parsel,ciężarówka,nouns,0.85
538,sigarét,tytoń,nouns,2.85
539,bricsen,ściana,nouns,0.95
540,uchder,konwersja,nouns,0.2
541,yn ddiweddar,realistycznie,adverbs,0.0
542,glaw,mgiełka,nouns,1.4
543,cynyddu,rosnąć,verbs,3.25
544,tywynnu,zezować,verbs,0.0
545,ras,weekend,nouns,0.0
546,cynfas,płaszczyzna,nouns,0.25
547,mwstard,nasienie,nouns,0.15
548,croes,mnich,nouns,0.5
549,corff,bielizna,nouns,0.25
550,mam,tata,nouns,1.3
551,fector,matryca,nouns,0.9
552,diymhongar,czysty,adjectives,1.05
553,wisgi,jałowcówka,nouns,1.6
554,asetylocolin,tęczówka,nouns,0.35
555,swper,śniadanie,nouns,0.65
556,ffrog,taniec,nouns,0.15
557,cyffredin,prozaiczny,adjectives,2.45
558,iselder,dolina,nouns,1.0
559,pathogen,zarazek,nouns,4.15
560,dewis,rozdział,nouns,0.15
561,hashnod,temat,nouns,1.3
562,iâr,ptak,nouns,2.7
563,ynys,zadanie,nouns,0.0
564,senedd,kongres,nouns,2.4
565,twyllo,oszukać,verbs,4.4
566,yn garedig,łagodnie,adverbs,1.5
567,indrawn,ziarno,nouns,1.1
568,priffordd,zadanie,nouns,0.05
569,buwch,koza,nouns,1.15
570,dygnwch,kwiat,nouns,0.1
571,eirfwrdd,narciarstwo,nouns,1.8
572,orthodontydd,dentysta,nouns,3.9
573,cell,areszt,nouns,2.75
574,dydd ,noc,nouns,0.15
575,soffa,krzesło,nouns,1.85
576,brwydr,podbój,nouns,2.55
577,finegr,sałatka,nouns,0.35
578,weithiau,często,adverbs,0.5
579,anghyfreithlon,prawowity,adjectives,0.05
580,llwyddo,próbować,verbs,0.5
581,corn,samochód,nouns,0.3
582,datgan,ogłaszać,verbs,4.0
583,sylfaen,kwas,nouns,0.0
584,sigâr,pudełko,nouns,0.0
585,cyfathrebu,modlić się,verbs,0.6
586,fitamin,żelazo,nouns,0.95
587,sawl,dwukrotnie,adverbs,0.6
588,te,cytryna,nouns,0.4
589,llyfr,literatura,nouns,2.95
590,main,wąski,adjectives,3.3
591,papur newydd,informacja,nouns,1.35
592,moesol,legenda,nouns,0.6
593,archwilio,odkryć,verbs,2.7
594,gwddf,kręgosłup,nouns,0.7
595,rhyfeddol,dziwny,adjectives,3.95
596,rheolaeth,administracja,nouns,3.05
597,gwrthod,unikać,verbs,1.65
598,cyfiawnhau,weryfikować,verbs,1.15
599,glaswellt,korzeń,nouns,0.4
600,diflas,ekscytujący,adjectives,0.05
601,papur,plakat,nouns,1.35
602,amddiffyn,ratować,verbs,2.95
603,cerdded,utykać,verbs,0.4
604,treisgar,miękki,adjectives,0.0
605,llawr,dach,nouns,0.5
606,gwerthu,pożyczać,verbs,0.15
607,buwch,bydło,nouns,4.85
608,afiechyd,niebezpieczeństwo,nouns,0.25
609,calon,chirurgia,nouns,0.25
610,ofnus,niepewny,adjectives,2.0
611,cosbi,uderzyć,verbs,1.05
612,tywod,stopa,nouns,0.05
613,cywilydd,skromny,adjectives,0.65
614,yn ysgafn,życzliwie,adverbs,1.5
615,eisiau,wybierać,verbs,1.2
616,gadael,zaczynać,verbs,0.0
617,lluosi,dzielić,verbs,0.4
618,yn agored,ogromnie,adverbs,0.45
619,diogelu,bronić,verbs,4.7
620,cymysgu,jeździć,verbs,0.0
621,hyblyg,wielki,adjectives,0.1
622,esgus,wydawać się,verbs,0.7
623,ffug,prawdziwy,adjectives,0.05
624,coroni,woda,nouns,0.0
625,anonest,zły,adjectives,2.1
626,symudol,giętki,adjectives,1.55
627,pen-blwydd,rok,nouns,0.85
628,jar,filiżanka,nouns,1.3
629,diplomyddiaeth,negocjacja,nouns,2.45
630,anthropoleg,archeologia,nouns,1.55
631,bioleg,biotop,nouns,0.4
632,aros,dostać,verbs,0.0
633,pensil,opowieść,nouns,0.2
634,drws,piwnica,nouns,0.2
635,bacwn,fasola,nouns,0.3
636,morgrugyn,pszczoła,nouns,0.8
637,coeden,liść,nouns,1.05
638,arbed,ocalać,verbs,5.15
639,mynychu,pojawić się,verbs,0.95
640,top,bok,nouns,0.35
641,ymholi,myśleć,verbs,0.75
642,haeddu,zarabiać,verbs,0.85
643,mathemategydd,widowisko,nouns,0.0
644,ennill,zasługiwać,verbs,0.85
645,bydiaeth,wiza,nouns,0.1
646,yn sicr,zdecydowanie,adverbs,5.6
647,mis,sierpień,nouns,2.2
648,hyll,prymitywny,adjectives,0.5
649,egluro,udowodnić,verbs,1.45
650,camera,kontynuacja,nouns,0.0
651,ceunant,dolina,nouns,3.1
652,priodfab,panna młoda,nouns,1.35
653,pwnc,książka,nouns,0.65
654,meddyg,lekarz,nouns,5.0
655,mab,chłopiec,nouns,3.1
656,tywysoges,wyspa,nouns,0.0
657,ardal,strefa,nouns,5.35
658,asgwrn,zęby,nouns,1.55
659,wastad,dwukrotnie,adverbs,0.25
660,gwrthod,wycofać,verbs,2.3
661,dweud celwydd,zaprzeczać,verbs,0.55
662,blodyn,cebulka,nouns,1.1
663,priffordd,droga,nouns,4.75
664,llosgfynydd,magma,nouns,1.95
665,oriel,prawnik,nouns,0.0
666,amddiffyn,zakryć,verbs,1.55
667,ewyllys,intencja,nouns,2.75
668,yn llachar,lekko,adverbs,0.15
669,anwybyddu,pytać,verbs,0.0
670,mynychu,argumentować,verbs,0.0
671,yn amlwg,dyskretnie,adverbs,0.0
672,traethawd,praca domowa,nouns,2.1
673,danfon,otrzymywać,verbs,0.3
674,yfed,wymieszać,verbs,0.2
675,poen,zgryzota,nouns,1.65
676,symud,tkać,verbs,0.0
677,cymryd,odmawiać,verbs,0.05
678,ceg,ząb,nouns,0.9
679,baled,piosenka ,nouns,3.95
680,popcorn,kino,nouns,0.55
681,llawysgrif,artykuł,nouns,1.0
682,blanced,wichura,nouns,0.0
683,bàth,polano,nouns,0.0
684,gymnasteg,szermierka,nouns,0.6
685,dyn,dziecko,nouns,0.15
686,storm,śnieg,nouns,1.0
687,yn heddychlon,spokojnie,adverbs,3.0
688,cywilydd,zmartwiony,adjectives,0.5
689,cyfrifiadur,dysk,nouns,1.05
690,dodrefn,mieszkanie,nouns,0.6
691,arloesol,kreatywny,adjectives,3.3
