ID,CMN,CYM,PoS,score
332,恶魔,anghenfil,nouns,2.56
333,低语,siarad,verbs,2.6
334,装饰,amlen,nouns,0.32
335,诗人,newyddiadurwr,nouns,0.2
336,柠檬,afal,nouns,0.69
337,深度地,yn ystyrlon,adverbs,1.82
338,无礼,beirniadol,adjectives,0.82
339,火车,tram,nouns,2.41
340,沙拉,deiet,nouns,0.68
341,玩,brwydro,verbs,0.28
342,重新安葬,bedd,nouns,0.82
343,搂抱,coflaid,verbs,4.49
344,广场,map,nouns,0.18
345,沈闷,diflas,adjectives,3.35
346,制服,anwybodus,adjectives,0.0
347,绿洲,rhyddid,nouns,0.39
348,巧妙的,yn ddigynnwrf,adverbs,0.57
349,娱乐,mwynhau,verbs,1.05
350,次要,sylweddol,adjectives,0.09
351,老鼠,rheoli,nouns,0.0
352,果汁,llwy,nouns,0.05
353,交流,teledu,nouns,0.45
354,失去,coginio,verbs,0.0
355,积极地,yn oddefol,adverbs,0.18
356,收到,rhoi,verbs,0.05
357,面包,caws,nouns,0.43
358,男人,person dan amheuaeth,nouns,0.63
359,幻想,realiti,nouns,0.84
360,借,cadw,verbs,0.1
361,吸血鬼,ystlum,nouns,0.78
362,打破,cracio,verbs,2.3
363,种子,mwstard,nouns,0.43
364,锡,metel,nouns,2.71
365,清洁,taclus,adjectives,2.55
366,坏,anfoesol,adjectives,3.06
367,精彩,hyfryd,adjectives,2.67
368,信用,benthyciwr,nouns,1.01
369,必须,hanfodol,adjectives,5.17
370,枪,sarsiant,nouns,0.29
371,故事,llyfr,nouns,2.33
372,科学家,nyrs,nouns,0.29
373,教,cosbi,verbs,0.33
374,不耐烦地,yn fras,adverbs,0.2
375,加冕礼,dŵr,nouns,0.04
376,总统,disgybl,nouns,0.05
377,狭窄,brwnt,adjectives,0.0
378,发出气味,drewi,verbs,3.27
379,程序,bwyd,nouns,0.05
380,呛,anadlu,verbs,0.87
381,兄弟会,pêl-fas,nouns,0.0
382,狮子,cath,nouns,1.56
383,放,cael,verbs,0.15
384,锚,cwch,nouns,0.78
385,得罪,sarhau,verbs,2.76
386,星,disgleirdeb,nouns,0.69
387,笨,smart,adjectives,0.04
388,钥匙,clo,nouns,0.96
389,生病,gorffwyll,adjectives,0.6
390,钱,cyfalaf,nouns,3.27
391,降落,encilio,verbs,0.34
392,苹果,heulwen,nouns,0.09
393,保护,cadw,verbs,0.73
394,尖顶,capel,nouns,0.41
395,摇铃,sŵn,nouns,0.8
396,恳求,erfyn,verbs,4.0
397,放走,dal,verbs,0.69
398,零,anfeidredd,nouns,0.0
399,虫害,plaladdwr,nouns,0.63
400,毁灭,lladd,verbs,3.19
401,雨,lluwchwynt,nouns,0.81
402,说话,cydnabod,verbs,0.38
403,宽广,cul,adjectives,0.14
404,粘人,ansicr,adjectives,0.45
405,摄影,cyfarwyddwr,nouns,1.04
406,西洋棋,gwirio,nouns,0.09
407,傍晚,cyfnos,nouns,4.36
408,案件,trydan,nouns,0.04
409,捏碎,clecian,verbs,1.7
410,剧院,ffilm,nouns,1.46
411,钢琴,harmoni,nouns,0.78
412,开心,ifanc,adjectives,0.2
413,车,cab,nouns,3.77
414,头脑,niwrosis,nouns,0.69
415,学生,athro,nouns,0.58
416,存在,enillydd,nouns,0.0
417,学习,drysu,verbs,0.0
418,支气管炎,parasetamol,nouns,0.24
419,关键,pwysig,adjectives,4.42
420,年龄,harddwch,nouns,0.38
421,雨,niwl,nouns,1.31
422,米饭,ffa,nouns,0.63
423,走,gwerthu,verbs,0.0
424,古老,newydd,adjectives,0.09
425,忘记,cadw,verbs,0.09
426,契约,cytundeb,nouns,4.97
427,酒店,fflat,nouns,0.46
428,付款,prynu,verbs,2.76
429,伤害,profocio,verbs,0.72
430,炒,pobi,verbs,1.15
431,知道,rhoi,verbs,0.0
432,溪流,afon,nouns,3.88
433,混合,curo,verbs,0.55
434,拒绝,rhoi,verbs,0.0
435,狡猾,clyfar,adjectives,1.35
436,匆忙,rhuthro,verbs,4.7
437,大气层,llygredd,nouns,0.69
438,旅程,pleserdaith,nouns,3.59
439,日落,bwrdd,nouns,0.0
440,朋友,dyn,nouns,0.99
441,驾驶,stopio,verbs,0.1
442,容器,gwythïen,nouns,0.0
443,冷静地,yn heddychlon,adverbs,2.6
444,一分钱,maint,nouns,0.0
445,航空,hedfaniad,nouns,3.05
446,普通,oer,adjectives,0.0
447,接受,argymell,verbs,0.34
448,高速公路,tasg,nouns,0.0
449,到达,gadael,verbs,0.18
450,成熟,yn graff,adverbs,0.63
451,不公平,yn deg,adverbs,0.23
452,消失,darganfod,verbs,0.05
453,鸡,stêc,nouns,0.54
454,灵魂,brawd,nouns,0.0
455,门,porth,nouns,3.87
456,修道院,cawod,nouns,0.0
457,海滩,ynys,nouns,1.19
458,外国人,cyfieithydd,nouns,0.33
459,美人,oedran,nouns,0.38
460,电视,cyfathrebu,nouns,0.45
461,依靠,dibynnu ar,verbs,4.04
462,电视,sinema,nouns,1.78
463,侧面,top,nouns,0.34
464,外交,trafodaeth,nouns,2.11
465,街,ale,nouns,3.04
466,游戏,hwyl,nouns,0.82
467,野兽,anifail,nouns,3.33
468,杀,amddiffyn,verbs,0.48
469,猛烈地,yn drist,adverbs,0.19
470,协议,dadl,nouns,0.28
471,时代,degawd,nouns,0.74
472,疼痛,niwed,nouns,1.31
473,演员,actores,nouns,3.68
474,腿,braich,nouns,0.57
475,疯狂,balch ,adjectives,0.28
476,可悲的是,yn wallgof,adverbs,0.19
477,财富,bri,nouns,0.37
478,乘法,rhaniad,nouns,0.85
479,作家,nofel,nouns,0.7
480,审查,rhyddid,nouns,0.1
481,椅子,telesgop,nouns,0.0
482,提高,codi,verbs,3.72
483,真实,ffug,adjectives,0.18
484,一分钱,gwraig,nouns,0.23
485,贡献,cynnig,nouns,2.42
486,船,car,nouns,0.58
487,装饰,wal,nouns,0.47
488,合法,caniataëdig,adjectives,2.47
489,岩浆,llosgfynydd,nouns,1.83
490,机场,awyren,nouns,1.5
491,选择,penderfynu,verbs,4.06
492,困难,ymdrech,nouns,0.69
493,书,stori,nouns,2.33
494,国王,neigaredd,nouns,0.33
495,大规模,enfawr,adjectives,3.44
496,允许,rhoi,verbs,1.05
497,战斗,rhyfelgarwch,nouns,2.5
498,直升机,awyren,nouns,2.83
499,天神,ysbryd,nouns,0.65
500,云,storm,nouns,0.86
501,二极管,cynhwysor,nouns,0.33
502,悲伤,hapusrwydd,nouns,0.2
503,包装纸,harbwr,nouns,0.0
504,伟大,drwg,adjectives,0.0
505,不同,arferol,adjectives,0.35
506,溺爱,arogli,verbs,0.0
507,留,cael,verbs,0.04
508,找到,dianc,verbs,0.05
509,侧面,gwaelod,nouns,0.59
510,简单,hawdd,adjectives,3.78
511,工作,tasg,nouns,3.23
512,显然,yn gyfrinachgar,adverbs,0.18
513,工作者,swyddfa,nouns,0.53
514,检察官,cyfreithiwr,nouns,2.23
515,宣告,dweud ar goedd,verbs,4.49
516,借,eisiau,verbs,0.24
517,儿子,tad,nouns,0.68
518,猴子,ymgyrch,nouns,0.0
519,无礼,amrwd,adjectives,0.53
520,豆,bacwn,nouns,0.1
521,元,miliwnydd,nouns,0.35
522,之后,cyn,adverbs,0.23
523,敬礼,perfformio,verbs,0.0
524,线索,gair,nouns,0.29
525,雨,cenllysg,nouns,1.67
526,自由,sensoriaeth,nouns,0.1
527,云,llyn,nouns,0.2
528,说明,trafod,verbs,1.8
529,混乱,dosbarth,nouns,0.05
530,迅速,clou,adjectives,4.54
531,捕获,dynwared,verbs,0.0
532,活塞,injan,nouns,1.89
533,工作者,camera,nouns,0.04
534,蝴蝶,rhosyn,nouns,0.48
535,开襟毛衣,crys,nouns,1.13
536,分数,graddio,verbs,2.75
537,明显,nodadwy,adjectives,4.14
538,监控,sgrîn,nouns,0.67
539,完成,gohirio,verbs,0.44
540,纯,diymhongar,adjectives,1.1
541,正常,rhyfedd,adjectives,0.09
542,获得,darganfod,verbs,1.89
543,雕像,cerflunwaith,nouns,5.23
544,晚上,pennod,nouns,0.0
545,艺术家,gwaith celf,nouns,1.06
546,有时,yn unffurf,adverbs,0.0
547,悬崖,bryn,nouns,1.07
548,平滑,miniog,adjectives,0.24
549,马赛克,basilica,nouns,0.35
550,西方,gogledd,nouns,0.64
551,箭头,targed,nouns,0.67
552,真实,anonest,adjectives,0.1
553,来,dod â,verbs,1.81
554,发送,mynd  ,verbs,0.6
555,子程序,casglwr,nouns,0.36
556,描绘,hysbysu,verbs,0.15
557,杯子,llwy,nouns,0.55
558,交换,arian cyfred,nouns,0.8
559,分界线,ffin,nouns,3.64
560,授粉,brigeryn,nouns,0.96
561,严肃,doniol,adjectives,0.0
562,一餐,canol,nouns,0.0
563,墙,bricsen,nouns,0.92
564,云,tywydd,nouns,1.59
565,培根,cig,nouns,2.94
566,天气,eira,nouns,1.42
567,服从,cosbi,verbs,0.29
568,发烧,salwch,nouns,2.88
569,减少,crebachu,verbs,3.13
570,必须,diangen,adjectives,0.09
571,母鸡,aderyn,nouns,1.97
572,尝试,llwyddo,verbs,0.58
573,标志,symbol,nouns,4.7
574,圣经,llyfr,nouns,2.18
575,家牛,iogwrt,nouns,0.33
576,人类学,archeoleg,nouns,1.26
577,印象,cred,nouns,0.79
578,女孩,dyn,nouns,0.54
579,迷惑,dysgu,verbs,0.0
580,妻子,mam,nouns,2.04
581,帮手,athro,nouns,1.46
582,枪,pobl,nouns,0.05
583,女人,tasg,nouns,0.0
584,获得,ymuno,verbs,0.15
585,矬小,go fach,adjectives,2.67
586,文学,llyfr,nouns,2.15
587,理论,cemeg,nouns,0.52
588,侵蚀,caniatáu,verbs,0.0
589,柑橘,oren,nouns,3.24
590,单身牢房,ystafell,nouns,2.13
591,可行,amhosib,adjectives,0.48
592,安全,cysur,nouns,0.6
593,定义,geiriadur,nouns,1.22
594,传说,moesol,nouns,0.2
595,正式,yn gryf,adverbs,0.42
596,行动,gêm,nouns,0.1
597,紧张地,yn bryderus,adverbs,3.61
598,电池,theatr,nouns,0.0
599,虚无主义,ffilm,nouns,0.28
600,拿,dwyn,verbs,1.7
601,身体,dillad isaf,nouns,0.1
602,照耀,tywynnu,verbs,4.21
603,便宜,heb fod yn ddrud,adjectives,4.05
604,肩,corff,nouns,0.71
605,伤害,cicio,verbs,1.21
606,上校,deintydd,nouns,0.09
607,悬崖,cynffon,nouns,0.0
608,习语,gair,nouns,1.27
609,航空学,afioneg,nouns,3.75
610,明亮地,yn ysgafn,adverbs,0.0
611,鼻子,ceg,nouns,0.34
612,分化,marw,verbs,0.18
613,提高,yfed,verbs,0.0
614,强调,wedi ymlacio,adjectives,0.0
615,湖,gwern,nouns,0.88
616,磁盘,gwefrydd,nouns,0.04
617,伤心地,yn emosiynol,adverbs,1.51
618,植物群,natur,nouns,1.91
619,英雄,arwres,nouns,3.9
620,结构,topoleg,nouns,0.75
621,水手,capten,nouns,0.74
622,生活,goroesi,verbs,2.92
623,自豪,cryf,adjectives,0.63
624,公共汽车,cerbyd,nouns,3.0
625,很少,byth,adverbs,2.74
626,锌,aur,nouns,0.61
627,讨厌,dirmygu,verbs,2.3
628,歌手,staff,nouns,0.18
629,影片,fideo,nouns,4.09
630,不同,cytuno,verbs,0.0
631,床,cadair,nouns,0.48
632,疾病,canser,nouns,3.5
633,好斗,brwydr,nouns,2.5
634,毯子,gwely,nouns,0.6
635,忘记,gwybod,verbs,0.05
636,闻名,cenedlaethol,adjectives,0.0
637,羊,gwartheg,nouns,1.03
638,退出,amsugno,verbs,0.4
639,运动鞋,medal,nouns,0.2
640,征服,emyn,nouns,0.0
641,大厦,cerflunydd,nouns,0.15
642,笔直,crwm,adjectives,0.14
643,糟糕,gwych,adjectives,0.04
644,蜥蜴,llywodraeth,nouns,0.0
645,暴动,llun,nouns,0.04
646,总统,maer,nouns,1.9
647,毛线衣,cotwm,nouns,0.52
648,查询,meddwl,verbs,0.64
649,奇怪,cyfrwys,adjectives,0.32
650,面包,cig,nouns,0.19
651,社会生物学,mwtant,nouns,0.33
652,门,brawdgarwch,nouns,0.0
653,牛肉,cig,nouns,3.22
654,带来,dod,verbs,1.81
655,财富,enwogrwydd,nouns,0.85
656,手机,pîn-afal,nouns,0.0
657,淫贱,brwnt,adjectives,0.32
658,脏,rhad,adjectives,0.32
659,杯子,côn,nouns,0.51
660,女人,dyn,nouns,0.28
661,关闭,chwydu,verbs,0.0
662,魔鬼,duw,nouns,0.45
663,尾巴,clogwyn,nouns,0.0
664,需要,holi,verbs,0.14
665,巨大,bach,adjectives,0.14
666,直觉,synnwyr,nouns,3.94
667,奇特地,yn rhyfeddol,adverbs,3.64
668,危险,afiechyd,nouns,0.33
669,申请,ymgeisydd,nouns,1.54
670,午饭,brechdan,nouns,0.64
671,树,deilen,nouns,0.83
672,窗帘,gwialen,nouns,0.14
673,浪费,poeni,verbs,0.0
674,得到,prynu,verbs,0.81
675,拉,gwthio,verbs,0.28
676,安慰,diogelwch,nouns,0.6
677,澄清,egluro,verbs,3.82
678,硬件,cas,nouns,0.09
679,完成,cyflawn,adjectives,5.16
680,钩针编织,gwisg unffurf,nouns,0.23
681,打招呼,cyfarfod,verbs,0.83
682,发动机,modur,nouns,3.17
683,选举,gwrthod,verbs,0.0
684,走廊,cyntedd,nouns,4.18
685,正式地,yn bwysig,adverbs,1.65
686,乞求,pledio,verbs,4.0
687,和蔼,creulon,adjectives,0.0
688,晚餐,pryd bwyd,nouns,3.28
689,恐吓,aflonyddu,verbs,1.08
690,月亮,planed,nouns,2.46
691,偷偷,yn hyderus,adverbs,0.15
692,通知,portreadu,verbs,0.15
693,打赌,gamblo,verbs,5.13
694,代码,symbol,nouns,2.5
695,充分,yn sylfaenol,adverbs,0.23
696,糖果,afal,nouns,0.2
697,碗,cynffon,nouns,0.0
698,解剖学,bioleg,nouns,2.72
699,死亡,trychineb,nouns,2.04
700,政治家,plismon,nouns,0.15
701,傻,hurt,adjectives,5.04
702,赢家,nod,nouns,0.05
703,偷,cymryd,verbs,1.7
704,大,eang,adjectives,3.44
705,探路者,saethydd,nouns,0.18
706,杀,brwydro,verbs,1.08
707,地带,ardal,nouns,4.97
708,眉头,llygad,nouns,0.78
709,海滩,creigres,nouns,0.44
710,流体,ffroenell,nouns,0.0
711,想,myfyrio,verbs,3.92
712,军队,lleng,nouns,3.98
713,沉思,meddwl,verbs,3.92
714,完全地,yn llwyr,adverbs,4.97
715,选择,etholiad,nouns,2.81
716,火鸡,iâr,nouns,2.13
717,选择,ethol,verbs,3.26
718,弯曲,syth,adjectives,0.14
719,学校,gradd,nouns,0.95
720,偷,rhoi,verbs,0.23
721,酸,sylfaen,nouns,0.14
722,玩具,ciwb,nouns,0.14
723,文章,gwaith cartref,nouns,1.35
724,内疚,onest,adjectives,0.1
725,同意,anghytuno,verbs,0.23
726,懒,prysur,adjectives,0.04
727,问,gweddïo,verbs,0.97
728,单种栽培,amaethyddiaeth,nouns,0.79
729,头脑,ymennydd,nouns,4.22
730,车,cwch,nouns,0.58
731,忘记,atgoffa,verbs,0.23
732,神经官能症,meddwl,nouns,0.69
733,小行星,seren,nouns,2.5
734,皮肤,beic,nouns,0.0
735,非一般,prin,adjectives,4.24
736,学校,cyfraith,nouns,0.33
737,草,gwraidd,nouns,0.38
