ID,FIN,POL,PoS,score
200,auttaa,pytać,verbs,0.2
201,luku,cytoplazma,nouns,0.0
202,auto ,szosa,nouns,0.45
203,kummallinen,osobliwy,adjectives,4.9
204,oppilas,prezydent,nouns,0.2
205,tykkivene,wybrzeże,nouns,0.15
206,kaveri,towarzysz,nouns,4.0
207,oikeudenmukaisuus,trybunał,nouns,1.75
208,muodollinen,właściwy,adjectives,3.05
209,lumimyrsky,deszcz,nouns,1.65
210,hunaja,cukier,nouns,1.2
211,viihdyttää,zadowalać,verbs,2.35
212,normaalisti,rutynowo,adverbs,3.55
213,lento,lotnictwo,nouns,2.3
214,painava,duży,adjectives,1.2
215,energia,bateria,nouns,1.7
216,haukka,orzeł,nouns,2.25
217,mittari,samochód,nouns,0.2
218,mehu,milkshake,nouns,1.05
219,säde,światło słoneczne,nouns,2.5
220,tuomita,zeznawać,verbs,0.45
221,tylsä,ponury,adjectives,0.65
222,virus,krew,nouns,0.6
223,keittää,smażyć,verbs,2.3
224,antelias,miły,adjectives,0.7
225,pilvi,burza,nouns,0.85
226,helikopteri,samolot,nouns,1.75
227,hermostunut,przestraszony,adjectives,1.8
228,ovi,bractwo,nouns,0.05
229,varmistaa,powiedzieć,verbs,0.75
230,mylly,nasienie,nouns,0.2
231,lahja,pisarz,nouns,0.0
232,riutta,plaża,nouns,0.75
233,timantti,pieniądze,nouns,0.45
234,flunssa,gorączka,nouns,2.05
235,mies,wujek,nouns,2.35
236,ystävä,gość,nouns,1.0
237,pikainen,szybki,adjectives,5.0
238,sulttaani,ministerstwo,nouns,0.25
239,pohja,stopa,nouns,0.4
240,satama,opakowanie,nouns,0.05
241,antropologia,archeologia,nouns,1.5
242,moottoritie,zadanie,nouns,0.05
243,tapaus,elektryczność,nouns,0.0
244,sänky,sypialnia,nouns,1.15
245,hiiri,kot,nouns,0.85
246,raja,odgraniczenie,nouns,3.2
247,operaatio,algebra,nouns,0.25
248,kirurgia,serce,nouns,0.45
249,hämmentää,wymieszać,verbs,4.25
250,pormestari,prezydent,nouns,1.75
251,ohjaamo,drugi pilot,nouns,0.35
252,hävitä ,znaleźć,verbs,0.15
253,taito,inteligencja,nouns,1.95
254,ylpeä,biedny,adjectives,0.1
255,purkki,filiżanka,nouns,2.15
256,kieltäytyä,odmawiać,verbs,3.5
257,mahdoton,wykonalny,adjectives,0.2
258,opiskelija,uczeń,nouns,4.85
259,moraaliton,nielegalny,adjectives,1.55
260,joskus,pewnie,adverbs,0.15
261,yrittää,myśleć,verbs,0.4
262,veljenpoika,ciotka,nouns,0.85
263,yö,dzień,nouns,0.65
264,päivämäärä,kalendarz,nouns,1.35
265,metri,cal,nouns,1.45
266,huone,wanna,nouns,0.15
267,unohtaa,wiedzieć,verbs,0.15
268,lainata,zachować,verbs,0.2
269,ennen,po,adverbs,0.4
270,vartalo,kręgosłup,nouns,1.0
271,positiivisesti,prawdopodobnie,adverbs,1.45
272,mestari,zwycięzca,nouns,4.1
273,laiton,prawowity,adjectives,0.2
274,korjata,przywrócić,verbs,1.4
275,joukkio,tłum,nouns,4.45
276,liitto,suma,nouns,0.55
277,viini,brandy,nouns,1.5
278,vanha,świeży,adjectives,0.2
279,enimmäkseen,głęboko,adverbs,0.3
280,taivas,marzenie,nouns,0.05
281,outo,dziwny,adjectives,5.6
282,tietty,nerwowy,adjectives,0.0
283,ei koskaan,później,adverbs,0.9
284,saada kiinni,ścigać,verbs,1.1
285,puhua,słyszeć,verbs,0.7
286,anarkia,chaos,nouns,4.1
287,aihe,książka,nouns,0.65
288,peruna,masło,nouns,0.6
289,korkeakoulu,zawód,nouns,0.2
290,vikkelä,prędki,adjectives,5.0
291,etsiä,poszukiwać,verbs,4.9
292,myöntyä,akceptować,verbs,4.35
293,onnellinen,obłąkany,adjectives,0.2
294,aikoa,spróbować,verbs,2.15
295,mahtava,zły,adjectives,0.05
296,aikuinen,rodzic,nouns,2.75
297,uhri,telefon,nouns,0.0
298,häpeissään oleva,winny,adjectives,0.6
299,kuvata,decydować,verbs,0.25
300,juna,tramwaj,nouns,2.0
301,alkuperäisesti,kreatywnie,adverbs,0.65
302,vapista,zamarzać,verbs,0.65
303,rannikkoalue,kanonierka,nouns,0.15
304,hiiri,kierownictwo,nouns,0.05
305,lukea,gryźć,verbs,0.0
306,huolellisesti,przezornie,adverbs,3.95
307,voittaa,powieść się,verbs,2.95
308,pelästyttää,nawiedzać,verbs,1.4
309,sääntö,konwencja,nouns,2.35
310,meri,rzeka,nouns,1.4
311,toukka,jedwabnik,nouns,3.25
312,sisäkatto,katedra,nouns,0.3
313,sytoplasma,cyfra,nouns,0.0
314,tuuma,jard,nouns,1.4
315,veri,wirus,nouns,0.6
316,luu,mięsień,nouns,0.5
317,näyttelijä,wielościan,nouns,0.05
318,täysin,marginalnie,adverbs,0.2
319,kirja,literatura,nouns,3.0
320,kääre,port,nouns,0.05
321,opiskelija,nauczyciel,nouns,0.65
322,ottaa,zostawić,verbs,0.4
323,seinä,zamek,nouns,0.25
324,kunto,chłopiec,nouns,0.0
325,leveä,świeży,adjectives,0.05
326,sileä,ostry,adjectives,0.3
327,vankila,wybór,nouns,0.05
328,tila,gniew,nouns,0.95
329,nokkela,tępy,adjectives,0.2
330,nujertaa,dominować,verbs,2.1
331,auto,czołg,nouns,0.65
332,temppu,pistolet,nouns,0.05
333,istunto,pacjent,nouns,0.1
334,jakku,sweter,nouns,1.45
335,sensori,kaloryfer,nouns,0.1
336,usein,czasem,adverbs,0.75
337,voileipä,obiad,nouns,1.0
338,hiljattain,obecnie,adverbs,1.05
339,niukasti,pobieżnie,adverbs,0.6
340,hyytävä,kruchy,adjectives,0.3
341,illallinen,śniadanie,nouns,0.9
342,koira,koń,nouns,1.1
343,lyödä,miksować,verbs,0.25
344,masennus,dolina,nouns,0.7
345,seutu,obszar,nouns,4.85
346,tuoli,sofa,nouns,1.7
347,ääni,akustyka,nouns,1.8
348,yllättää,celebrować,verbs,0.2
349,uutiset,wstępniak,nouns,1.25
350,selittää,dyskutować,verbs,1.75
351,loiske,lepkość,nouns,0.3
352,negatiivisesti,nienaturalnie,adverbs,0.25
353,ehdokas,zwycięzca,nouns,0.9
354,osua,celować,verbs,1.5
355,sotkuinen,czysty,adjectives,0.2
356,penni,okazja,nouns,0.15
357,työntää,winić,verbs,0.0
358,ontua,chodzić,verbs,1.5
359,hiili,atom,nouns,1.4
360,leipä,mięso,nouns,0.45
361,purra,czytać,verbs,0.0
362,vaikutelma,przekonanie,nouns,1.75
363,vesi,susza,nouns,0.15
364,pensas,kwiat,nouns,1.65
365,komero,ubrania,nouns,0.25
366,amerikkalainen jalkapallo,zabawa,nouns,0.75
367,keramiikka,ceramika,nouns,3.2
368,katu,zaułek,nouns,3.75
369,lattia,sufit,nouns,0.7
370,sentti,rozmiar,nouns,0.65
371,ajaa,biegać,verbs,0.55
372,huutaa,krzyczeć,verbs,5.05
373,intiimi,osobisty,adjectives,3.9
374,pätevyys,umiejętność,nouns,4.25
375,hampaat,kość,nouns,2.15
376,auto,fabryka,nouns,0.2
377,affiksi,sufiks,nouns,2.3
378,ymmärtää,słuchać,verbs,1.35
379,tuomari,sąd,nouns,1.5
380,kissa,pies,nouns,0.75
381,korvata,przywrócić,verbs,1.2
382,aakkoset,długopis,nouns,0.1
383,totuudenmukainen,nieuczciwy,adjectives,0.2
384,ihailla,uwielbiać,verbs,3.65
385,jättää,ignorować,verbs,1.95
386,balladi,piosenka ,nouns,4.0
387,viime aikoina,niedawno,adverbs,5.15
388,älykkyys,ignorancja,nouns,0.2
389,kääpiömäinen,przymały,adjectives,3.3
390,julistaa,ogłaszać,verbs,4.75
391,lähteä,oddzielać,verbs,0.2
392,kurssi,żołądek,nouns,0.0
393,todellisuus,iluzja,nouns,0.3
394,papu,bekon,nouns,0.4
395,käsivarsi,ciało,nouns,1.4
396,kerho,stowarzyszenie,nouns,4.4
397,musiikki,flet,nouns,0.85
398,tuho,konstrukcja,nouns,0.2
399,konsepti,przekonanie,nouns,1.35
400,valo,klawiatura,nouns,0.0
401,vaeltaa,włóczyć się,verbs,3.5
402,johto,drut,nouns,3.45
403,ruusu,motyl,nouns,0.25
404,opiskelija,profesor,nouns,0.7
405,jaardi,cal,nouns,1.4
406,onnettomuus,awaria,nouns,3.25
407,kihlautua,poślubić,verbs,1.45
408,vähäpätöinen,istotny,adjectives,0.2
409,henkilö,zwierzę,nouns,0.2
410,pienehkö,karłowaty,adjectives,3.3
411,tee,cytryna,nouns,0.3
412,luoda,nurkować,verbs,0.0
413,köyhyys,bogactwo,nouns,0.4
414,hyväksyä,wybaczać,verbs,1.95
415,valittaa,kłócić się,verbs,1.4
416,säilytysastia,wóz,nouns,0.15
417,suojella,pomagać,verbs,2.3
418,suositella,akceptować,verbs,0.8
419,ilmoittaa,ukazywać,verbs,0.8
420,pitkä,wąski,adjectives,0.45
421,vaunut,samochód,nouns,2.0
422,kiistellä,debatować,verbs,4.05
423,sairaanhoitaja,naukowiec,nouns,0.2
424,oppia,słuchać,verbs,0.55
425,temppu,rozmiar,nouns,0.0
426,saada,kłaść,verbs,0.1
427,tieto,entropia,nouns,0.2
428,punainen,niebieski,adjectives,0.6
429,pankki,siedzenie,nouns,0.15
430,virkapuku,robótka szydełkowa,nouns,0.0
431,tuhota,robić,verbs,0.2
432,valtava,wielki,adjectives,5.45
433,lapsi,chłopiec,nouns,2.9
434,olla eri mieltä,walczyć,verbs,1.55
435,monokulttuuri,rolnictwo,nouns,1.05
436,haalistua,erodować,verbs,0.65
437,ylpeys,radość,nouns,1.6
438,uutiset,plotka,nouns,1.35
439,kärsimättömästi,pobieżnie,adverbs,0.95
440,poika,dziecko,nouns,2.9
441,tyyli,moda,nouns,4.15
442,onnellinen,młody,adjectives,0.2
443,työntekijä,pracodawca,nouns,1.05
444,johdin,przewód,nouns,3.45
445,vyö,pętla,nouns,0.45
446,lähettää,przynieść,verbs,0.4
447,lumi,pogoda,nouns,0.55
448,päästä,brać,verbs,0.6
449,muinainen,nowy,adjectives,0.2
450,suora,wygięty,adjectives,0.25
451,pöly,miotła,nouns,0.45
452,kone,komputer,nouns,3.6
453,saari,plaża,nouns,1.3
454,tyttö,facet,nouns,0.5
455,miekka,tron,nouns,0.1
456,mahtava,okropny,adjectives,0.2
457,kiista,krytyka,nouns,0.9
458,jakkara,krzesło,nouns,3.7
459,kiireinen,leniwy,adjectives,0.15
460,jäykkä,łatwy,adjectives,0.05
461,ennuste,zachmurzenie,nouns,0.45
462,laimilyödä,wyrzec się,verbs,0.9
463,lattia,pokład,nouns,1.7
464,väsynyt,nudny,adjectives,0.6
465,taksi,samochód,nouns,3.35
466,pääkirjoitus,wiadomości,nouns,1.25
467,suositella,radzić,verbs,3.3
468,laatikko,kapelusz,nouns,0.15
469,laittaa,dać,verbs,0.65
470,nainen,futro,nouns,0.0
471,matkia,pojmać,verbs,0.1
472,yhtiö,biznes,nouns,2.15
473,syytön,naiwny,adjectives,0.5
474,säilyttää,zachować,verbs,3.75
475,runo,rytm,nouns,0.6
476,helppo,sztywny,adjectives,0.05
477,sykloni,tajfun,nouns,4.65
478,viestintä,konwersacja,nouns,3.0
479,sotalaiva,pancernik,nouns,4.6
480,kuolla,rozpadać się,verbs,0.95
481,ovi,piwnica,nouns,0.3
482,juhla,maska,nouns,0.4
483,poissaolo,obecność,nouns,0.2
484,oviaukko,wyjście,nouns,3.6
485,tietämättömyys,inteligencja,nouns,0.2
486,mielipide,pomysł,nouns,1.7
487,käyrä,kąt,nouns,0.95
488,kohta,strona,nouns,0.45
489,häiritä,naprzykrzać się,verbs,3.95
490,pallo,kostium,nouns,0.2
491,juoda,sączyć,verbs,3.75
492,sotaisuus,walka,nouns,2.3
493,vaimo,kobieta,nouns,2.5
494,kieltäminen,wyznanie,nouns,0.3
495,niska,kręgosłup,nouns,0.85
496,pohja,wierzch,nouns,0.2
497,sana,wskazówka,nouns,0.55
498,jättää,eksmitować,verbs,0.9
499,miellyttää,prosić,verbs,0.25
500,matemaatikko,widowisko,nouns,0.0
501,melodia,muzyka,nouns,3.2
502,raitiovaunu,pociąg,nouns,2.0
503,älykkyys,mądrość,nouns,4.15
504,sitruuna,jabłko,nouns,1.0
505,valehdella,oskarżać,verbs,0.05
506,hevonen,źrebak,nouns,3.35
507,tapahtua,robić,verbs,0.95
508,pääkaupunki,pieniądze,nouns,0.0
509,ananas,smartfon,nouns,0.0
510,mahdollisesti,optymistycznie,adverbs,1.1
511,kääntäjä,obcokrajowiec,nouns,0.2
512,viini,alkohol,nouns,2.9
513,vuosisata,rok,nouns,1.3
514,puhdas,niechlujny,adjectives,0.2
515,demoni,potwór,nouns,4.25
516,kiista,dyskusja,nouns,1.5
517,puoli,spód,nouns,0.45
518,todellisuus,fantazja,nouns,0.2
519,laulaa,śmiać się,verbs,0.35
520,valittaa,przynieść,verbs,0.0
521,katsella,obserwować,verbs,4.05
522,juoksija,atleta,nouns,2.75
523,työ,kierownictwo,nouns,0.8
524,kuva,odbicie,nouns,2.3
525,kantaa,dostarczać,verbs,2.25
526,pallo,siatkówka,nouns,2.2
527,valita,chcieć,verbs,1.05
528,tylsä,ostry,adjectives,0.2
529,rumpu,róg,nouns,0.25
530,leikkuupuimuri,trzcina cukrowa,nouns,0.15
531,legioona,armia,nouns,2.85
532,massiivinen,astronomiczny,adjectives,2.05
533,kieli,policzek,nouns,1.05
534,löytää,szukać,verbs,1.3
535,piano,harmonia,nouns,0.5
536,tahraton,czysty,adjectives,5.35
537,jalka,ramię,nouns,1.05
538,poliitikko,policjant,nouns,0.4
539,opettaa,karać,verbs,0.35
540,rikollinen,przestępca,nouns,5.3
541,tytär,dzieciak,nouns,2.25
542,olut,napój,nouns,2.85
543,hissi,pudełko,nouns,0.1
544,huoltaja,dorosły,nouns,2.7
545,kansi,podłoga,nouns,1.7
546,isä,brat,nouns,1.0
547,vuohi,krowa,nouns,1.3
548,innovatiivinen,kreatywny,adjectives,4.7
549,huippu,spód,nouns,0.2
550,biologi,mikroskop,nouns,0.55
551,makuuhuone,łazienka,nouns,1.4
552,ottaa,chwytać,verbs,2.0
553,menettää,zachować,verbs,0.1
554,jumaloida,podziwiać,verbs,3.65
555,mennä,przyjść,verbs,1.4
556,tylsä,śmieszny,adjectives,0.2
557,taivutus,infekcja,nouns,0.05
558,valmistaa,zarabiać,verbs,0.55
559,sarvi,bęben,nouns,0.25
560,toimittaa,akceptować,verbs,0.0
561,auto,rower,nouns,0.75
562,ruma,niechlujny,adjectives,0.95
563,polkupyörä,sypialnia,nouns,0.0
564,linna,ściana,nouns,0.25
565,näyttää,udawać,verbs,0.95
566,sänky,krzesło,nouns,0.75
567,morsian,księżniczka,nouns,0.3
568,mieli,neuroza,nouns,0.65
569,puhdas,schludny,adjectives,4.9
570,aamiainen,wieczerza,nouns,0.9
571,hedelmätarha,struś,nouns,0.0
572,janoinen,głodny,adjectives,1.05
573,osavaltio,dom ,nouns,0.05
574,arkipäiväinen,zwykły,adjectives,3.7
575,meri,plaża,nouns,0.8
576,kirjallisuus,książka,nouns,3.0
577,farkut,kobieta,nouns,0.0
578,uusi,stary,adjectives,0.2
579,halata,udusić,verbs,0.25
580,kertoa,dzielić,verbs,0.7
581,mies,ojciec,nouns,2.45
582,sähkö,futerał,nouns,0.0
583,rehellisesti,nigdy,adverbs,0.0
584,joskus,kiedykolwiek,adverbs,1.2
585,kiivetä,wędrować,verbs,1.3
586,ujo,przestraszony,adjectives,1.45
587,opettaja,przyjaciel,nouns,0.4
588,ymmärrys,fakt,nouns,1.2
589,kadetraali,sufit,nouns,0.3
590,julma,miły,adjectives,0.1
591,konkurssi,porażka,nouns,2.05
592,uskomus,wrażenie,nouns,1.75
593,lahjoitus,wkład,nouns,1.25
594,suo,jezioro,nouns,1.05
595,keskinkertainen,nudny,adjectives,1.15
596,jättää,przybywać,verbs,0.15
597,väkijoukko,parada,nouns,1.85
598,kallio,kopalnia,nouns,0.5
599,vähentää,stracić,verbs,1.1
600,tehtävä,praca,nouns,3.45
601,antaa,otrzymywać,verbs,0.45
602,jahdata,złapać,verbs,1.1
603,normaalisti,codziennie,adverbs,1.55
604,silta,karta,nouns,0.5
605,jakolasku,mnożenie,nouns,0.95
606,tärkeä,konieczny,adjectives,4.45
607,isä,córka,nouns,0.75
608,lisko,rząd,nouns,0.0
609,huonosti,pokornie,adverbs,0.1
610,pettää,oszukać,verbs,4.6
611,yrittää,przekonywać,verbs,0.8
612,sentti,żona,nouns,0.05
613,solu,pokój,nouns,1.75
614,vyötärö,posiłek,nouns,0.1
615,dia,wskaźnik,nouns,0.0
616,mosaiikki,bazylika,nouns,0.45
617,aurinko,niebo,nouns,1.15
618,ihanteellisesti,realistycznie,adverbs,0.65
619,auringonlasku,wschód słońca,nouns,0.75
620,tyhmä,rzadki,adjectives,0.0
621,kypsä,wyrafinowany,adjectives,1.35
622,saada,kupować,verbs,0.65
623,himoita,chcieć,verbs,5.05
624,sekunti,minuta,nouns,1.55
625,vasikka,byk,nouns,2.15
626,suuruus,głębia,nouns,1.5
627,luokkahuone,hol,nouns,0.75
628,valmistaa,tworzyć,verbs,3.95
629,virallisesti,silnie,adverbs,0.6
630,jälkeen,przed,adverbs,0.4
631,huomenna,dzisiaj wieczorem,adverbs,0.35
632,peittää,chronić,verbs,2.35
633,voimistelu,szermierka,nouns,1.25
634,huuli,biodro,nouns,0.75
635,vaimo,matka,nouns,1.4
636,työ,zadanie,nouns,3.45
637,niemimaa,wyspa,nouns,1.1
638,toimittaa,brać,verbs,0.3
639,prinsessa,panna młoda,nouns,0.3
640,todistaa,tłumaczyć,verbs,1.9
641,naiivi,niewinny,adjectives,0.5
642,loistaa,błyszczeć,verbs,4.85
643,hyvä,pikantny,adjectives,0.35
644,perustuslaki,senat,nouns,0.75
645,sohva,krzesło,nouns,1.7
646,yksinkertaisesti,najwyraźniej,adverbs,0.7
647,henkilökunta,wokalista,nouns,0.05
648,torjua,wycofać,verbs,1.95
649,mieletön,szczęśliwy,adjectives,0.2
650,sattua,kopać,verbs,0.95
651,hohtaa,świecić,verbs,4.85
652,alkoholi,piwo,nouns,3.2
653,heijastus,wizerunek,nouns,2.3
654,johtokunta,mysz,nouns,0.05
655,kulta,cynk,nouns,0.95
656,makeinen,cynamon,nouns,0.25
657,mieto,ostry,adjectives,0.0
658,kertoa,przypomnieć,verbs,1.45
659,talous,ekosystem,nouns,0.45
660,eri tavalla,nieuleczalnie,adverbs,0.4
661,kompassi,słoń,nouns,0.05
662,pilvi,mgła,nouns,2.05
663,terapia,behawioryzm,nouns,1.15
664,uskomattomasti,ciasno,adverbs,0.4
665,sallia,iść,verbs,0.35
666,sisko,brat,nouns,1.3
667,pappi,mnich,nouns,1.95
668,lentokone,płachta,nouns,0.25
669,kaliiperi,parasol,nouns,0.0
670,romaani,pisarz,nouns,0.65
671,hautaaminen,śmierć,nouns,1.25
672,avain,zamek,nouns,0.65
673,kuivuus,woda,nouns,0.15
674,kulho,ogon,nouns,0.0
675,täti,wujek,nouns,1.2
676,linssi,aparat,nouns,1.05
677,kuukausipalkka,pieniądze,nouns,2.7
678,kertolasku,dzielenie,nouns,0.95
679,viulu,gitara,nouns,1.7
680,lusikka,filiżanka,nouns,0.8
681,isä,mężczyzna,nouns,2.45
682,muurahainen,pszczoła,nouns,1.1
683,turvallisesti,szczęśliwie,adverbs,1.5
684,juhla,ceremonia,nouns,4.95
685,liittyä,uczestniczyć,verbs,2.35
686,biohajota,niszczyć,verbs,1.25
687,kantaa,przynieść,verbs,2.05
688,kypsennetty,zagotowany,adjectives,3.7
689,elin,nerka,nouns,3.0
