ID,RUS,YUE,PoS,score
206,смерть,災難,nouns,1.2
207,стиль,時裝,nouns,3.0
208,палуба,地板,nouns,0.83
209,колокол,塔,nouns,0.58
210,клен,樹木,nouns,3.63
211,воспринимать,聽,verbs,1.35
212,биология,解剖學,nouns,2.02
213,молекула,原子,nouns,1.64
214,квартира,酒店,nouns,1.35
215,подавлять,宣佈放棄,verbs,0.18
216,актер,歌手,nouns,1.64
217,ноль,無窮,nouns,0.43
218,губа,臀部,nouns,0.39
219,личный,私人,adjectives,3.96
220,вокалист,員工,nouns,0.18
221,кампания,猴子,nouns,0.09
222,олово,金屬,nouns,1.94
223,облако,薄霧,nouns,1.83
224,задолжать,借,verbs,0.88
225,ненадёжный,狡詐,adjectives,2.42
226,достигать,收到,verbs,0.73
227,область,地帶,nouns,3.8
228,удобный,脆弱,adjectives,0.18
229,церковь,合唱團,nouns,0.97
230,важно,認真地,adverbs,2.69
231,человек,兄弟,nouns,0.5
232,занятый,懶,adjectives,0.14
233,раввин,老師,nouns,1.1
234,нерегулярно,平時,adverbs,0.23
235,принимать,運送,verbs,0.1
236,механически,理想地,adverbs,0.23
237,снег,天氣,nouns,0.78
238,боль,危害,nouns,0.73
239,встряхивать,收集,verbs,0.0
240,переговоры,外交,nouns,2.08
241,сахарный тростник,聯合,nouns,0.1
242,учить,懲罰,verbs,0.23
243,терминально,主要,adverbs,0.2
244,голова,肩,nouns,0.57
245,заканчивать,休會,verbs,0.1
246,дредноут,主力艦,nouns,2.42
247,мать,朋友,nouns,0.63
248,взрослый,未成熟的,adjectives,0.1
249,солома,妻子,nouns,0.0
250,нарушение,犯罪,nouns,3.63
251,сахар,蜜糖,nouns,1.73
252,домик,茅屋,nouns,3.93
253,ненавидеть,批評,verbs,0.68
254,мягко,大聲地,adverbs,0.14
255,автотранспорт,巴士,nouns,2.04
256,примечание,作業,nouns,0.57
257,в восторге,受驚,adjectives,0.28
258,слово,提示,nouns,0.18
259,король,裙帶關係,nouns,0.2
260,рассерженный,極好,adjectives,0.25
261,защищать,救,verbs,0.83
262,клясться,承諾,verbs,3.32
263,встретить,離開,verbs,0.0
264,крест,僧侣,nouns,0.84
265,легко,舒服地,adverbs,1.3
266,современный,古老,adjectives,0.14
267,редкий,笨,adjectives,0.14
268,вкладывать,給,verbs,0.67
269,громко,微妙地,adverbs,0.04
270,теленок,公牛,nouns,2.78
271,марка,俱樂部,nouns,0.04
272,отрицание,坦白,nouns,0.28
273,ткать,绑,verbs,0.6
274,цитрус,橙子,nouns,4.54
275,мужчина,丈夫,nouns,2.49
276,шляпа,盒子,nouns,0.25
277,адвокат,畫廊,nouns,0.0
278,конгресс,議會,nouns,2.58
279,заканчивать,解決,verbs,2.21
280,приносить,抱怨,verbs,0.1
281,кузен,叔叔,nouns,1.52
282,дружелюбный,友好,adjectives,3.63
283,торопиться,趕,verbs,3.73
284,лев,貓,nouns,1.12
285,странный,普通,adjectives,0.1
286,угождать,娛樂,verbs,0.34
287,шея,手臂,nouns,0.57
288,автобус,車輛,nouns,2.04
289,ноготь,手,nouns,1.06
290,ужин,早餐,nouns,1.21
291,бедро,嘴唇,nouns,0.39
292,бумага,海報,nouns,2.23
293,император,憲法,nouns,0.38
294,широкий,窄小,adjectives,0.14
295,читать,咬,verbs,0.09
296,грубо,可靠地,adverbs,0.28
297,красть,攞,verbs,0.47
298,нечестный,壞,adjectives,1.1
299,разрешать,給,verbs,2.07
300,учебный план,考試,nouns,0.84
301,нормальный,奇怪,adjectives,0.14
302,одежда,抽屜,nouns,0.57
303,признание,否認,nouns,0.28
304,внебрачный,不宜說出口的,adjectives,0.28
305,пистолет,筆記本,nouns,0.0
306,немой,稀罕,adjectives,0.14
307,положительно,大概,adverbs,0.41
308,полковник,牙醫,nouns,0.04
309,завоевание,戰役,nouns,1.31
310,верх,側面,nouns,0.43
311,кость,顎,nouns,1.5
312,никогда,慷慨地,adverbs,0.04
313,грохот,喧鬧聲,nouns,4.32
314,ездить,跑,verbs,0.29
315,боб,米飯,nouns,0.57
316,грубо,明顯地,adverbs,0.55
317,жвачка,薄荷,nouns,0.33
318,телефон,受害者,nouns,0.04
319,идти,來,verbs,0.73
320,кухня,門,nouns,0.58
321,принцесса,國王,nouns,1.49
322,отрицательный,從未,adjectives,1.46
323,предсказывать,確定,verbs,0.6
324,закат,日出,nouns,0.62
325,интеллектуальный,笨,adjectives,0.33
326,непотизм,國王,nouns,0.2
327,спорить,叫喊,verbs,0.34
328,мозговой штурм,望遠鏡,nouns,0.04
329,необходимый,重要,adjectives,3.34
330,бровь,眼睛,nouns,0.68
331,мощный,弱,adjectives,0.1
332,горло,鼻子,nouns,0.58
333,прощать,接受,verbs,0.97
334,кровать,傢俱,nouns,2.62
335,игрок,教練,nouns,0.3
336,заканчивать,競爭,verbs,0.09
337,город,城鎮,nouns,3.38
338,оплата,硬幣,nouns,0.88
339,мир,士兵,nouns,0.34
340,устраивать,需要,verbs,0.09
341,завтрак,晚餐,nouns,1.21
342,тратить,保存,verbs,0.05
343,работник,辦公室,nouns,0.63
344,статья,手稿,nouns,2.88
345,минимально,十足地,adverbs,0.1
346,экзема,皮炎,nouns,3.62
347,сыр,麵包,nouns,0.48
348,глава,晚上,nouns,0.0
349,энциклопедия,字典,nouns,2.17
350,присоединиться,結婚,verbs,0.3
351,алгебра,手術,nouns,0.04
352,эмоция,心情,nouns,2.74
353,глобализм,簽證,nouns,0.38
354,кино,電視,nouns,2.81
355,молекула,基質,nouns,0.96
356,странствовать,搜索,verbs,0.88
357,выступать,敬禮,verbs,0.55
358,кувшин,杯子,nouns,1.69
359,форель,吉他,nouns,0.0
360,практически,關鍵地,adverbs,0.53
361,человек,哨兵,nouns,1.05
362,журнал,公式,nouns,0.2
363,крыша,地板,nouns,0.43
364,создавать,想像,verbs,0.34
365,стеснительный,昂貴,adjectives,0.0
366,злак,小麥,nouns,3.04
367,мышка,貓,nouns,0.43
368,тренер,播放機,nouns,0.3
369,элегантно,美麗地,adverbs,3.42
370,профессия,學院,nouns,0.39
371,покидать,等待,verbs,0.1
372,схватывать,明白,verbs,1.98
373,создавать,畫,verbs,0.68
374,учить,迷惑,verbs,0.0
375,гусеница,蠶,nouns,2.67
376,умножать,除,verbs,0.14
377,батарейка,劇院,nouns,0.09
378,слушаться,服從,verbs,3.38
379,решать,選擇,verbs,1.21
380,сиденье,銀行,nouns,0.0
381,проход,出口,nouns,3.17
382,судно,甲板,nouns,1.21
383,запускать,斷絕父子關係,verbs,0.04
384,окно,門,nouns,0.67
385,будка,電話,nouns,0.45
386,занимать,想要,verbs,0.09
387,первый,第五,adjectives,0.09
388,компьютер,磁盘,nouns,1.33
389,жарить,烘烤,verbs,1.93
390,омофон,光線電話機,nouns,0.1
391,трава,苔蘚,nouns,2.02
392,неаккуратно,精確地,adverbs,0.04
393,хранить,保護,verbs,1.23
394,выход,門口,nouns,3.17
395,происходить,發現,verbs,0.33
396,гордый,堅強,adjectives,0.68
397,довольный,瘋狂,adjectives,0.33
398,прекращать,做,verbs,0.15
399,пожертвование,給予,nouns,3.6
400,танк,汽車,nouns,1.06
401,пушка,槍,nouns,2.04
402,вода,冰,nouns,2.24
403,предприятие,公司,nouns,3.76
404,кровать,房間,nouns,0.53
405,воздух,氦氣,nouns,1.12
406,гипотеза,理論,nouns,3.13
407,палец,指甲,nouns,1.65
408,беспорядочный,井井有條,verbs,0.04
409,кушетка,棒球,nouns,0.0
410,пчела,女王,nouns,0.7
411,дерево,葉,nouns,0.86
412,огромный,笨,adjectives,0.09
413,выбирать,想,verbs,0.44
414,достигать,留,verbs,0.55
415,ключ,鎖,nouns,0.95
416,цветок,紫羅蘭,nouns,2.97
417,постель,毯子,nouns,0.69
418,день,晚上,nouns,0.24
419,часы,裙子,nouns,0.19
420,правитель,國王,nouns,4.18
421,радость,自豪,nouns,1.93
422,выносливость,強度,nouns,2.81
423,лодыжка,骨頭,nouns,0.82
424,потолок,屋頂,nouns,2.79
425,миллионер,元,nouns,0.78
426,камера,房間,nouns,0.82
427,король,統治者,nouns,4.18
428,скульптор,大廈,nouns,0.25
429,мудрость,智力,nouns,3.8
430,уверенный,緊張,adjectives,0.1
431,часто,不經常,adverbs,0.1
432,подбодрять,使氣餒,verbs,0.05
433,держать,借,verbs,0.1
434,точно,肯定地,adverbs,3.83
435,раскалывать,分離,verbs,2.12
436,радиатор,傳感器,nouns,0.56
437,деньги,工資,nouns,3.35
438,бриллиант,錢,nouns,0.81
439,посылать,走,verbs,0.05
440,смешной,枯燥,adjectives,0.1
441,бал,服裝,nouns,0.55
442,худенький,苗條,adjectives,4.11
443,драться,咬,verbs,0.57
444,курс,肚,nouns,0.1
445,матрица,向量,nouns,1.02
446,император,州長,nouns,0.96
447,калибр,遮,nouns,0.0
448,представлять,決定,verbs,0.5
449,удар,陷害,nouns,0.14
450,гордый,傲慢,adjectives,2.9
451,безнравственный,壞,adjectives,1.56
452,валюта,並行性,nouns,0.0
453,мусульман,主教,nouns,0.24
454,ступня,手,nouns,1.11
455,рука,腿,nouns,0.48
456,держать,給,verbs,0.19
457,твердо,輕輕的,adverbs,0.1
458,ребенок,男孩子,nouns,2.58
459,больница,床,nouns,0.64
460,разрушать,建造,verbs,0.23
461,легенда,道德,nouns,0.34
462,покидать,出現,verbs,0.1
463,безопасный,乏味,adjectives,0.04
464,мяч,球拍,nouns,0.96
465,путеводитель,手冊,nouns,3.69
466,действие,運動,nouns,2.87
467,хаотично,和平地,adverbs,0.1
468,мускул,手臂,nouns,0.83
469,подъемник,汽車,nouns,0.49
470,солнце,蘋果,nouns,0.0
471,телескоп,椅子,nouns,0.04
472,мясо,煙肉,nouns,2.47
473,счастливый,瘋狂,adjectives,0.55
474,быстрый,迅速,adjectives,4.78
475,врач,正牙醫生,nouns,2.69
476,демон,天使,nouns,0.24
477,батарейка,能量,nouns,2.13
478,ружье,黎明,nouns,0.0
479,комната,床,nouns,0.53
480,присоединиться,離開,verbs,0.0
481,народ,氣球,nouns,0.0
482,улица,小巷,nouns,2.85
483,законный,非法,adjectives,0.19
484,кольцо,訂婚,nouns,1.29
485,муж,男人,nouns,2.49
486,шпиль,教堂,nouns,0.97
487,умножение,除法,nouns,1.3
488,стол,日落,nouns,0.0
489,ящерица,政府,nouns,0.04
490,мошенничество,犯罪,nouns,2.27
491,ванная,廚房,nouns,0.53
492,приносить,恢復,verbs,0.23
493,отклонять,譴責,verbs,0.29
494,беспомощный,脆弱,adjectives,1.71
495,журналист,詩人,nouns,0.39
496,трескаться,打碎,verbs,1.2
497,скоро,立即,adverbs,1.32
498,казаться,成為,verbs,0.48
499,президент,小學生,nouns,0.2
500,врач,脾氣,nouns,0.33
501,гордый,貧窮,adjectives,0.05
502,статуя,雕塑,nouns,4.17
503,в основном,末期,adverbs,0.2
504,кожа,自行車,nouns,0.04
505,покидать,無視,verbs,0.39
506,слово,習語,nouns,1.15
507,платье,舞蹈,nouns,0.35
508,сила,耐力,nouns,2.81
509,грязный,黏,adjectives,1.18
510,доктор,教授,nouns,1.02
511,нигилизм,電影,nouns,0.09
512,вулкан,岩漿,nouns,1.76
513,облачность,預測,nouns,0.69
514,свистеть,停,verbs,0.14
515,потерпевший,電話,nouns,0.04
516,ангел,惡魔,nouns,0.24
517,конечно,有時,adverbs,0.15
518,конституция,參議院,nouns,0.8
519,смешанный,舊,adjectives,0.14
520,смешной,嚴肅,adjectives,0.14
521,смерть,悲劇,nouns,1.54
522,трудный,容易,adjectives,0.28
523,календарь,假日,nouns,0.72
524,братство,棒球,nouns,0.43
525,счастье,和平,nouns,2.42
526,иметь,吸收,verbs,0.34
527,стараться,阻礙,verbs,0.0
528,собака,貓,nouns,0.52
529,обычный,平凡,adjectives,5.5
530,фантазия,現實,nouns,0.61
531,симуляция,機器人技術,nouns,0.68
532,попугать,困擾,verbs,0.39
533,матрица,分子,nouns,0.96
534,мед,乳製品,nouns,0.24
535,исчезать,搵到,verbs,0.0
536,взрослый,小孩,nouns,0.68
537,верить,知道,verbs,0.47
538,чип,遊標,nouns,0.15
539,диск,充電器,nouns,0.6
540,естественно,非自然,adverbs,0.1
541,дерматит,濕疹,nouns,3.62
542,драгоценный,懶,adjectives,0.04
543,велосипед,睡房,nouns,0.0
544,епископ,穆斯林,nouns,0.24
545,ум,洞察力,nouns,2.22
546,скучающий,平淡,adjectives,2.66
547,перспектива,距離,nouns,0.68
548,прогрев,再熱,nouns,2.98
549,толпа,遊行,nouns,1.35
550,удовлетворять,理解,verbs,0.2
551,пчела,昆蟲,nouns,2.73
552,в основном,大多,adverbs,2.75
553,победитель,冠軍,nouns,4.58
554,делить,加,verbs,0.41
555,коро́ва,乳酪,nouns,0.33
556,скромный,羞愧,adjectives,0.43
557,справочник,指南,nouns,3.69
558,дорогой,害羞,adjectives,0.0
559,математик,節目,nouns,0.04
560,умиротворенность,幸福,nouns,2.42
561,слышать,聽,verbs,3.45
562,корона,锁匙,nouns,0.04
563,пропадать,消逝,verbs,4.92
564,сказка,鉛筆,nouns,0.0
565,душить,殺,verbs,3.01
566,мечта,天空,nouns,0.2
567,повышать,舉起,verbs,2.51
568,строить,毀滅,verbs,0.23
569,возраст,美人,nouns,0.34
570,точно,積極地,adverbs,0.55
571,гордо,謙遜地,adverbs,0.24
572,говорить,低語,verbs,1.19
573,помогать,協助,verbs,4.44
574,актер,女演員,nouns,3.08
575,разлагаться,毀滅,verbs,0.53
576,ветер,颮,nouns,3.42
577,грузовик,汽車,nouns,2.43
578,сельское хозяйство,植物,nouns,0.91
579,свежий,新,adjectives,3.02
580,завязать,編織,verbs,0.6
581,сказать,提醒,verbs,1.68
582,точный,錯誤,adjectives,0.14
583,задолжать,進入,verbs,0.0
584,наука,心理學,nouns,1.4
585,ухудшать,抹,verbs,0.09
586,мотор,船,nouns,0.54
587,старый,新鮮,adjectives,0.05
588,магма,火山,nouns,1.76
589,сообразительный,醒目,adjectives,3.68
590,смотреть,搜索,verbs,0.96
591,ацетилхолин,鳶尾花,nouns,0.0
592,дядя,表哥,nouns,1.52
593,слякоть,泥土,nouns,5.27
594,укусить,讀,verbs,0.09
595,письмо,段,nouns,0.45
596,дом,州,nouns,0.29
597,давать,放,verbs,0.67
598,портить,聞,verbs,0.0
599,пляж,海滨,nouns,2.62
600,происходить,出現,verbs,2.63
601,воспользоваться,攞,verbs,2.11
602,пожар,大災變,nouns,0.69
603,помогать,問,verbs,0.1
604,жаловаться,帶來,verbs,0.1
605,хороший,平庸,adjectives,0.44
606,присутствие,優勝者,nouns,0.1
607,парень,夥伴,nouns,2.17
608,знать,相信,verbs,0.47
609,коридор,課堂,nouns,0.45
610,гвоздь,頭,nouns,0.65
611,выбор,靜脈,nouns,0.04
612,мило,仁慈地,adverbs,4.38
613,бутылка,罐,nouns,1.68
614,цветок,灌木,nouns,1.46
615,выпуститься,完成,verbs,1.51
616,убежище,棚屋,nouns,1.02
617,плохой,平庸,adjectives,0.6
618,странный,怪異,adjectives,4.26
619,шторм,雪,nouns,0.86
620,выжимать,擁抱,verbs,0.04
621,тяжелый,大,adjectives,1.17
622,дерево,楓樹,nouns,3.63
623,болезнь,危險,nouns,0.67
624,драться,玩,verbs,0.23
625,посылать,出席,verbs,0.19
626,преступление,違反,nouns,3.63
627,жена,稻草,nouns,0.0
628,арифметика,韻律,nouns,0.1
629,код,符號,nouns,1.01
630,открывать,起源,verbs,0.33
631,хор,教堂,nouns,0.97
632,слушать,聽見,verbs,3.45
633,завоевание,聖歌,nouns,0.0
634,десятилетие,世紀,nouns,0.7
635,скучный,沉悶,adjectives,2.66
636,ежемесячный,每週,adjectives,0.82
637,пялиться,瞇,verbs,0.39
638,абзац,頁,nouns,0.68
639,беспорядочный,核突,adjectives,0.46
640,давать,知道,verbs,0.24
641,победитель,候選人,nouns,0.81
642,пояс,環,nouns,1.58
643,гнаться,抓住,verbs,1.23
644,жаловаться,拗撬,verbs,0.44
645,напиток,啤酒,nouns,2.29
646,аккуратный,乾淨,adjectives,3.98
647,мокрый,黏,adjectives,1.18
648,операция,代數,nouns,0.04
649,уникальный,相反,adjectives,0.29
650,джинн,燈,nouns,0.19
651,нейтральный,未定,adjectives,0.77
652,здание,房間,nouns,0.54
653,вязание,制服,nouns,0.2
654,армия,海軍,nouns,2.88
655,происшествие,緊急情況,nouns,3.79
656,бедность,財富,nouns,0.24
657,церемония,慶祝,nouns,3.22
658,усилие,困難,nouns,0.74
659,комбинатор,策略家,nouns,2.31
660,синтаксис,首詞,nouns,0.43
661,динозавр,大象,nouns,0.43
662,просить,幫忙,verbs,0.1
663,законченный,完結,adjectives,3.83
664,входить,走,verbs,0.86
665,участвовать,說,verbs,0.3
666,аэропорт,飛機,nouns,0.87
667,грубый,冷淡,adjectives,0.1
668,жечь,扼殺,verbs,0.23
669,ушибить,踢,verbs,2.42
670,распадаться,死,verbs,0.35
671,беспорядок,類別,nouns,0.1
672,ванна,氣球,nouns,0.0
673,святой,罪人,nouns,0.2
674,убивать,防守,verbs,0.0
675,дорожка,碗,nouns,0.0
676,липкий,濕,adjectives,1.18
677,герой,女英雄,nouns,3.3
678,общество,文化,nouns,0.77
679,становиться,出現,verbs,0.48
680,неестественно,自然地,adverbs,0.1
681,жена,老公,nouns,1.44
682,известный,好,adjectives,0.6
683,размер,戲法,nouns,0.05
684,флаг,旗幟學,nouns,1.05
685,коридор,走道,nouns,4.13
686,бекон,早餐,nouns,0.63
687,грязный,狹窄,adjectives,0.0
688,зонтик,暖爐,nouns,0.04
689,идти,允許,verbs,0.1
690,жена,洞,nouns,0.0
691,глубоко,大多,adverbs,0.41
692,рожок,杯子,nouns,0.29
693,нетерпеливый,焦慮,adjectives,3.03
694,аморфный,無形,adjectives,3.54
695,суп,晚餐,nouns,1.09
696,гора,窗台,nouns,0.5
697,грязный,淫賤,adjectives,0.28
698,напоминать,忘記,verbs,0.04
699,семя,磨坊,nouns,0.64
700,дьявол,天神,nouns,0.24
701,звезда,行星,nouns,2.25
702,трезвый,理性的,adjectives,2.42
703,скрытный,奇怪,adjectives,1.06
704,микроскоп,生物學家,nouns,0.92
705,арестовывать,懷疑,verbs,0.33
706,оскорблять,得罪,verbs,3.33
707,область,區城,nouns,4.29
708,коридор,門,nouns,0.53
709,выборы,選擇,nouns,2.43
710,логика,算術,nouns,1.88
711,лиса,獵狗,nouns,0.79
712,гол,赢家,nouns,0.33
713,изогнутый,直,adjectives,0.18
714,ягненок,羊,nouns,3.37
715,тетя,叔叔,nouns,0.78
716,автомобиль,的士,nouns,3.49
717,указатель,幻灯片,nouns,0.14
718,вино,酒,nouns,2.84
719,государство,家,nouns,0.29
720,путешествовать,走,verbs,1.46
721,пляж,海岸,nouns,3.12
722,мирно,混亂,adverbs,0.1
723,цензура,自由,nouns,0.39
724,уменьшаться,收縮,verbs,3.05
725,приложение,申請人,nouns,0.38
726,цветок,信念,nouns,0.05
727,выходные,種族,nouns,0.0
728,острый,平滑,adjectives,0.05
729,шар,人,nouns,0.0
730,бридж,卡,nouns,0.5
731,древесина,原木,nouns,3.18
732,изготовитель,創造者,nouns,4.09
733,собираться,出席,verbs,0.38
734,пытаться,成功,verbs,0.24
735,пост,速度,nouns,0.0
736,плодовый сад,鴕鳥,nouns,0.0
737,ксенофобия,種族主義,nouns,3.63
738,складывать,除,verbs,0.41
739,режиссер,攝影,nouns,1.23
740,потрясающий,壞,adjectives,0.2
741,чистый,整齊,adjectives,3.98
742,образ жизни,文明,nouns,0.72
743,звонок,門,nouns,0.78
744,совпадение,貨幣,nouns,0.0
745,комбинировать,混合,verbs,3.71
746,полагаться,失敗,verbs,0.04
747,ружье,人,nouns,0.33
748,баллада,歌曲,nouns,3.93
749,оплата,紙幣,nouns,0.28
750,бисквит,公主,nouns,0.0
751,стул,凳子,nouns,3.63
752,получать,發送,verbs,0.1
753,важно,正式地,adverbs,0.81
754,стройный,瘦,adjectives,4.11
755,закрыть,嘔吐,verbs,0.0
756,грустно,猛烈地,adverbs,0.2
757,доверчивый,蠢,adjectives,0.75
758,останавливать,控制,verbs,0.53
759,человек,勝利者,nouns,0.63
760,надёжно,被動地,adverbs,0.0
761,украшение,信封,nouns,0.1
762,решать,完成,verbs,2.21
763,словарь,字,nouns,0.77
764,мать,妻子,nouns,2.31
