ID,CMN,EST,PoS,score
216,攻击,kuritegu,nouns,1.6
217,草地,rohumaa,nouns,4.21
218,奇怪,harilik,adjectives,0.39
219,承认,teavitama,verbs,0.65
220,自豪,tugev,adjectives,0.68
221,卖,äri tegema,verbs,3.16
222,拒绝,hukka mõistma,verbs,0.54
223,离开,võtma,verbs,0.4
224,偏见,šovinist,nouns,1.19
225,狗,hobune,nouns,0.86
226,戏法,suurus,nouns,0.05
227,母马,hobune,nouns,3.22
228,真诚地,tõsiselt,adverbs,2.41
229,离开,taganema,verbs,2.88
230,肘,luu,nouns,0.83
231,生气,raev,nouns,4.4
232,苍蝇,sipelgas,nouns,1.07
233,理想地,realistlikult,adverbs,0.54
234,之后,enne,adverbs,0.48
235,潜水,looma,verbs,0.15
236,软线,juhe,nouns,1.44
237,智慧,intelligentsus,nouns,4.3
238,洞,kokkulepe,nouns,0.05
239,怒视,kissitama,verbs,0.83
240,表达,ütlema,verbs,3.33
241,偷,andma,verbs,0.33
242,失去,nurjuma,verbs,1.37
243,稻草,abikaasa (naine),nouns,0.09
244,穿,rebima,verbs,0.14
245,学习,kuulama,verbs,1.18
246,家具,korter,nouns,0.6
247,传感器,radiaator,nouns,0.28
248,混乱,hüsteeria,nouns,2.72
249,男人,korporatsioon,nouns,1.23
250,大小,ulatus,nouns,2.88
251,忘记,meelde tuletama,verbs,0.53
252,褪色,kuluma,verbs,1.12
253,保持,kaotama,verbs,0.29
254,发动机,mootor,nouns,1.78
255,打扰,solvama,verbs,1.35
256,摄影,režissöör,nouns,1.29
257,晚餐,kana,nouns,0.43
258,社会,klubi,nouns,0.4
259,欠,sisenema,verbs,0.05
260,血液,viirus,nouns,0.64
261,暴风雪,vihm,nouns,0.96
262,培根,liha,nouns,3.04
263,选举权,väljapääs,nouns,0.33
264,掩盖,kaitsma,verbs,1.24
265,司机,piloot,nouns,1.73
266,做,juhtuma,verbs,0.45
267,立即,varsti,adverbs,2.06
268,同意,vaidlema,verbs,0.53
269,纸,puit,nouns,0.97
270,十四行诗,ilu,nouns,0.39
271,孤独,vaene,adjectives,0.48
272,吉他,trumm,nouns,0.78
273,头脑风暴,teleskoop,nouns,0.0
274,简单,haavatav,adjectives,0.34
275,穆斯林,piiskop,nouns,0.81
276,基质,molekul,nouns,0.76
277,能量,patarei,nouns,1.77
278,白天,öö,nouns,0.55
279,画,looma,verbs,0.74
280,迅速地,hädasti,adverbs,2.58
281,一次,kaks korda,adverbs,0.72
282,理论,teoreem,nouns,3.21
283,刺激,arvama,verbs,0.24
284,柔韧,suur,adjectives,0.34
285,地图,ruut,nouns,0.39
286,金属,tina,nouns,2.71
287,暖炉,vihmavari,nouns,0.1
288,瘦,sale,adjectives,4.78
289,故事,pliiats,nouns,0.39
290,经济,ökosüsteem,nouns,0.6
291,划分,ühendama,verbs,0.73
292,掩盖,matma,verbs,1.83
293,流行,tuntud,adjectives,3.72
294,辣,nõrk,adjectives,0.0
295,打招呼,kohtuma,verbs,1.13
296,汽车,jalgratas,nouns,0.78
297,假,tehislik,adjectives,3.55
298,严肃,naljakas,adjectives,0.45
299,偷,soetama,verbs,0.89
300,点菜,menüü,nouns,1.32
301,选择,tahtma,verbs,1.02
302,协助,abistama,verbs,4.07
303,聚集,koguma,verbs,2.37
304,香槟,viski,nouns,1.83
305,评估,analüüsima,verbs,3.78
306,创新,loominguline,adjectives,4.35
307,真实,valelik,adjectives,0.34
308,粗鲁,vali,adjectives,2.35
309,年,sajand,nouns,1.8
310,硬币,makse,nouns,1.25
311,手臂,veen,nouns,0.45
312,旗,liputeadus,nouns,1.02
313,建造,hävitama,verbs,0.23
314,笨,intelligentne,adjectives,0.44
315,季节,talv,nouns,2.58
316,主要,enamasti,adverbs,3.9
317,心情,viha,nouns,2.33
318,疼痛,kahju,nouns,1.31
319,飓风,torm,nouns,3.17
320,轻视,põlglik,adjectives,4.88
321,婴儿,tütar,nouns,2.12
322,作业,ülesanne,nouns,2.88
323,稻草,ülesanne,nouns,0.1
324,雷达,juhtkang,nouns,0.24
325,结婚,ühendama,verbs,1.02
326,完全地,margniaalselt,adverbs,0.6
327,年轻,püsimatu,adjectives,0.55
328,果汁,lusikas,nouns,0.3
329,淋透,vähendama,verbs,0.25
330,任务,saar,nouns,0.0
331,最近,äsja,adverbs,4.72
332,公主,kuningas,nouns,0.7
333,减少,langetama,verbs,3.31
334,新,iidne,adjectives,0.29
335,煮,kaotama,verbs,0.0
336,兄弟会,pesapall,nouns,0.1
337,可怕,halb,adjectives,1.37
338,偷偷,kindlalt,adverbs,0.4
339,窗,uks,nouns,0.82
340,大海,jõgi,nouns,1.84
341,坚强,uhke,adjectives,0.68
342,害怕,närviline,adjectives,2.05
343,假设,teesklema,verbs,1.69
344,撕开,kandma,verbs,0.14
345,理想地,mehaaniliselt,adverbs,0.29
346,滑雪,lumelaud,nouns,1.77
347,行星,täht,nouns,2.79
348,毯,puit,nouns,0.05
349,枯燥,igav,adjectives,3.25
350,订婚,kohtumine,nouns,1.44
351,扫帚,tolm,nouns,0.73
352,进入,lahkuma,verbs,0.43
353,脆弱,kerge,adjectives,0.34
354,墙,telliskivi,nouns,0.92
355,评论说,kritiseerima,verbs,1.62
356,新,vana,adjectives,0.48
357,重复,harjutama,verbs,2.31
358,衣服,kapp,nouns,0.73
359,滨,rannik,nouns,3.16
360,猎物,jumal,nouns,0.1
361,懊恼,viha,nouns,2.28
362,地板,katus,nouns,0.55
363,得到,jääma,verbs,0.04
364,裙带关系,kuningas,nouns,0.83
365,有时,kunaiganes,adverbs,0.97
366,男孩,laps,nouns,2.5
367,心理学,teadus,nouns,2.5
368,理解,lugema,verbs,0.82
369,月亮,planeet,nouns,2.31
370,沐浴,abikaasa (naine),nouns,0.0
371,忽略,küsima,verbs,0.19
372,男孩,põngerjas,nouns,3.03
373,花朵,mugul,nouns,0.35
374,其他,vastandlik,adjectives,0.39
375,海滩,riff,nouns,0.54
376,不可能,sõbralik,adverbs,0.09
377,检查,male,nouns,0.84
378,挤压,kallistama,verbs,0.92
379,接受,ära ütlema,verbs,0.48
380,吸引,lööma,verbs,0.3
381,描绘,teavitama,verbs,0.1
382,紧急,kiiresti,adverbs,2.58
383,祈祷,suhtlema,verbs,0.62
384,允许,ümber lükkama,verbs,0.0
385,兄弟,hing,nouns,0.3
386,身体,käsi,nouns,0.72
387,海滩,meri,nouns,2.22
388,平凡,tavaline,adjectives,4.91
389,无穷,null,nouns,0.45
390,优雅地,ilusti,adverbs,3.29
391,骨头,hambad,nouns,1.37
392,香槟酒,õlu,nouns,1.88
393,尊严,tunnus,nouns,0.05
394,接受,soovitama,verbs,0.39
395,兄弟会,uks,nouns,0.15
396,怀疑,arreteerima,verbs,0.83
397,小马,hobune,nouns,3.38
398,抓住,saama,verbs,0.98
399,除,korrutama,verbs,0.63
400,轨,aed,nouns,0.1
401,玻璃,märk,nouns,0.2
402,学生,õpilane,nouns,3.85
403,对乙酰氨基酚,bronhiit,nouns,0.59
404,判断,otsustama,verbs,2.75
405,文学,sõna,nouns,1.8
406,喜爱,vihkama,verbs,0.14
407,地毯,maja,nouns,0.34
408,毁灭,ehitamine,nouns,0.58
409,口香糖,piparmünt,nouns,0.72
410,财富,prestiiž,nouns,1.02
411,标识,klubi,nouns,0.35
412,菜单,tellimus,nouns,1.32
413,大,ruumikas,adjectives,4.01
414,危害,valu,nouns,1.31
415,运输,auto,nouns,1.71
416,脏,kleepuv,adjectives,1.32
417,勺子,mahl,nouns,0.3
418,有时,kindlalt,adverbs,0.1
419,教练,mängija,nouns,0.7
420,闪电攻击,rünnak,nouns,3.73
421,每月,iganädalane,adjectives,1.42
422,剑,keskkond,nouns,0.18
423,辣,hea,adjectives,0.55
424,公式,võrrand,nouns,2.5
425,古老,modernne,adjectives,0.3
426,首领,linnapea,nouns,2.78
427,奇怪,normaalne,adjectives,0.39
428,密度大,kõva,adjectives,2.42
429,坚固,kaval,adjectives,0.34
430,医院,voodi,nouns,0.82
431,红酒,brändi,nouns,2.21
432,保持,säilitama,verbs,3.54
433,人,laps,nouns,1.78
434,绿洲,vabadus,nouns,0.39
435,国王,valitseja,nouns,4.75
436,主题,raamat,nouns,1.38
437,服装,ball,nouns,0.74
438,天气,pilv,nouns,1.84
439,西洋棋,tuli,nouns,0.84
440,显微镜,bioloog,nouns,0.69
441,得分,tase,nouns,1.36
442,突变体,sotsiobioloogia,nouns,0.57
443,相反,muu,adjectives,0.39
444,医生,tuju,nouns,0.1
445,需求,noomima,verbs,0.39
446,逃走,pagema,verbs,5.52
447,胆大,uhke,adjectives,1.21
448,船,puur,nouns,0.0
449,甲板,hiir,nouns,0.15
450,正式,tugevalt,adverbs,0.82
451,前进,propageerima,verbs,2.37
452,不久,koheselt,adverbs,2.06
453,一对,mõni,nouns,3.63
454,被动地,vaikselt,adverbs,0.92
455,刺激,nüri,adjectives,0.14
456,方案,mõte,nouns,2.25
457,射手,rajaleidja,nouns,0.43
458,自己,kindlustunne,nouns,0.88
459,探索,ignoreerima,verbs,0.05
460,皮肤,ratas,nouns,0.1
461,新娘,peigmees,nouns,0.78
462,球,reket,nouns,0.73
463,澄清,seletama,verbs,3.98
464,生活,ellu jääma,verbs,2.38
465,墙纸,taust,nouns,2.9
466,国王,pritsess,nouns,0.7
467,发光,särama,verbs,3.01
468,天花板,põrand,nouns,0.65
469,日期,sünnipäev,nouns,1.73
470,狭窄,ulatuslik,adjectives,0.24
471,磁盘,arvuti,nouns,0.57
472,不经常,tihti,adverbs,0.48
473,机械地,ideaalselt,adverbs,0.29
474,沉思,mõtlema,verbs,3.87
475,便士,tehing,nouns,0.1
476,音节,algvorm,nouns,1.15
477,认真地,oluliselt,adverbs,1.46
478,迷惑,õppima,verbs,0.3
479,异常地,normaalselt,adverbs,0.3
480,不需要,vajalik,adjectives,0.34
481,汽车,tehas,nouns,0.34
482,并发,valuuta,nouns,0.1
483,教,karistama,verbs,0.38
484,侮辱,haavama,verbs,3.01
485,西方,põhi,nouns,0.59
486,和平,õnn,nouns,2.38
487,屏幕,fonoloogia,nouns,0.1
488,指甲,käsi,nouns,0.83
489,故事,teema,nouns,1.37
490,避免,tagasi lükkama,verbs,1.77
491,容易,karm,adjectives,0.1
492,总和,liit,nouns,1.37
493,依靠,nurjuma,verbs,0.09
494,脊柱,kael,nouns,1.03
495,巨大,loll,adjectives,0.15
496,抱怨,tooma,verbs,0.14
497,日历,puhkus,nouns,0.83
498,英寸,jard,nouns,1.88
499,空气,heelium,nouns,2.07
500,现代,iidne,adjectives,0.3
501,懒,hõivatud,adjectives,0.2
502,壁,kindlus,nouns,1.08
503,唱,hõljuma,verbs,0.0
504,争论,erinema,verbs,0.73
505,说谎,eitama,verbs,0.92
506,老板,direktor,nouns,4.13
507,重要,vajalik,adjectives,4.36
508,害怕,häbelik,adjectives,1.3
509,失败,edu saavutama,verbs,0.48
510,原谅,aktsepteerima,verbs,2.52
511,船,mootor,nouns,0.43
512,士兵,rahu,nouns,0.24
513,每当,vahepeal,adverbs,0.97
514,北,lõuna,nouns,0.69
515,预言家,preester,nouns,0.89
516,黄昏,õhtu,nouns,4.46
517,实际地,ideaalselt,adverbs,0.54
518,朋友,külaline,nouns,2.59
519,橙子,tsitrus,nouns,3.29
520,制服,vormimata,adjectives,0.3
521,小行星,täht,nouns,2.6
522,排外主义,rassism,nouns,3.39
523,实质上,kriitiliselt,adverbs,0.53
524,拒绝,andma,verbs,0.15
525,宪法,imperaator,nouns,0.45
526,小心地,ohtlikult,adverbs,0.38
527,报纸,informatsioon,nouns,1.61
528,社会,kultuur,nouns,1.89
529,借,müüma,verbs,0.57
530,问,palvetama,verbs,1.18
531,联合,summa,nouns,1.37
532,查询,mõtlema,verbs,0.49
533,啤酒,karastusjook,nouns,2.13
534,失败,pankrot,nouns,1.35
535,日落,laud,nouns,0.05
536,世界,maakera,nouns,2.84
537,星星,planeet,nouns,2.79
538,蜜蜂,putukas,nouns,2.9
539,担心,raiskama,verbs,0.15
540,逃逸,leidma,verbs,0.2
541,演员,hulktahukas,nouns,0.15
542,博物馆,piparmünt,nouns,0.0
543,犹豫,raevukas,adjectives,0.47
544,猫,lemmikloom,nouns,2.83
545,出席,tulema,verbs,2.49
546,独特,vastandlik,adjectives,1.05
547,窗台,mägi,nouns,0.55
548,果汁,õun,nouns,1.57
549,愤怒,tuju,nouns,2.33
550,电影,nihilism,nouns,0.48
551,演员,laul,nouns,0.73
552,挑选,valima,verbs,2.88
553,傻,lapsik,adjectives,2.25
554,不准确地,täpselt,adverbs,0.43
555,交换,valuuta,nouns,1.15
556,财富,kuulsus,nouns,1.05
557,烧伤,lämmatama,verbs,0.34
558,安慰,ohutus,nouns,0.74
559,向外,sisenev,adjectives,0.39
560,肥料,kasv,nouns,0.97
561,想,valima,verbs,1.02
562,尝试,edu saavutama,verbs,0.83
563,僧侣,rist,nouns,0.59
564,包皮,ümberlõikus,nouns,1.02
565,愉快,imeline,adjectives,2.38
566,交易,müüma,verbs,3.16
567,洗澡,klooster,nouns,0.1
568,课程,tegu,nouns,0.83
569,知会,poleerima,verbs,0.0
570,旋律,muusika,nouns,3.27
571,公开,avalikustamata,adjectives,0.44
572,出现,saama,verbs,0.53
573,空气,molekul,nouns,0.72
574,相机,järg,nouns,0.1
575,安全,mugavus,nouns,0.74
576,给予,eitama,verbs,0.15
577,男人,võitja,nouns,0.43
578,酒,bänd,nouns,0.3
579,有意义,sügavalt,adverbs,2.97
580,早餐,peekon,nouns,0.63
581,屋,vaip,nouns,0.34
582,灌木,lill,nouns,1.02
583,赢,edu saavutama,verbs,3.96
584,争论,karjuma,verbs,1.04
585,逻辑,intelligentsus,nouns,2.69
586,拥抱,kaisutama,verbs,4.79
587,开心,noor,adjectives,0.45
588,电池,teater,nouns,0.2
589,生气,õnnelik,adjectives,0.15
590,默默地,passivselt,adverbs,0.92
591,定理,teooria,nouns,3.21
592,负责任,usaldusväärselt,adverbs,3.72
593,容易地,mugavalt,adverbs,1.52
594,听,mõistma,verbs,1.33
595,包装纸,sadam,nouns,0.0
596,蓝色,punane,adjectives,0.34
597,年龄,ilu,nouns,0.58
598,笨,nutikas,adjectives,0.34
599,茅屋,metsamajake,nouns,3.06
600,汽车,veok,nouns,2.96
601,心靈,jumal,nouns,0.4
602,王冠,võti,nouns,0.45
603,刀,relv,nouns,2.29
604,老鼠,kass,nouns,0.48
605,培根,hommikusöök,nouns,0.63
606,牙齿,luu,nouns,1.37
607,相信,teadma,verbs,1.41
608,得到,panema,verbs,0.1
609,伞,küttekeha,nouns,0.1
610,图表,graafik,nouns,3.34
611,大炮,relv,nouns,2.06
612,文章,kodutöö,nouns,1.41
613,原子,süsinik,nouns,0.88
614,总统,poliitik,nouns,3.15
615,午饭,võileib,nouns,0.54
616,主题标签,teema,nouns,2.8
617,盒子,sigar,nouns,0.29
618,蝙蝠,vampiir,nouns,0.78
619,不道德,illegaalne,adjectives,2.24
620,女人,karusnahk,nouns,0.2
621,复诊,patsient,nouns,0.58
622,精彩,vinge,adjectives,3.67
623,火山,magma,nouns,1.68
624,自由,priius,nouns,4.89
625,出席,saatma,verbs,0.35
626,俱乐部,märk,nouns,0.35
627,传染,haigus,nouns,1.84
628,走,müüma,verbs,0.15
629,迅速,kiire,adjectives,4.35
630,天气,laine,nouns,0.24
631,骨头,küünarnukk,nouns,0.83
632,球,korv,nouns,0.45
633,加入,lisama,verbs,0.8
634,用拳猛击,näpistama,verbs,0.93
635,顶,külg,nouns,0.58
636,做,koostama,verbs,2.63
637,大风,tekk,nouns,0.25
638,黎明,päev,nouns,2.12
639,流感,palavik,nouns,2.25
640,杀,kaitsma,verbs,0.48
641,磁盘,laadija,nouns,0.2
642,粗鲁,agressivne,adjectives,1.94
643,目标,otsing,nouns,1.25
644,来,tooma,verbs,1.36
645,简单,keeruline,adjectives,0.44
646,巧克力,pirukas,nouns,0.63
647,阻碍,püüdma,verbs,0.0
648,理性的,kaine,adjectives,3.51
649,合法,ebaseaduslik,adjectives,0.44
650,坏,suurepärane,adjectives,0.15
651,申请,taotleja,nouns,1.33
652,线,päikeseloojang,nouns,0.05
653,女人,teksad,nouns,0.2
654,成为,ilmuma,verbs,0.53
655,同意,aktsepteerima,verbs,4.32
656,天使,deemon,nouns,0.83
657,必须,oluline,adjectives,4.36
658,连接,ühinema,verbs,0.8
659,精灵,lamp,nouns,0.4
660,预测,oletama,verbs,3.92
661,句法,märksõna,nouns,0.72
662,医生,ortodont,nouns,3.42
663,肉,steik,nouns,4.14
664,失去,hoidma,verbs,0.29
665,小孩,täiskasvanu,nouns,0.78
666,汽车,tõld,nouns,1.71
667,通常,siiralt,adverbs,0.5
668,埋葬,surema,verbs,1.49
669,购买,varastama,verbs,0.57
670,拒绝,vältima,verbs,1.77
671,有趣,tõsine,adjectives,0.45
672,环境,mõõk,nouns,0.18
673,运输,tõstma,verbs,1.23
674,大薄片,lennuk,nouns,0.29
675,舞蹈,kleit,nouns,0.54
676,野兽,loom,nouns,4.22
677,可靠,vastutustundlikult,adverbs,3.72
678,成熟地,õiglaselt,adverbs,0.95
679,半岛,saar,nouns,3.17
680,接受,kätte toimetama,verbs,0.3
681,妻子,ema,nouns,2.29
682,糖果,õun,nouns,0.39
683,女演员,näitleja,nouns,3.98
684,暴力,pehme,adjectives,0.0
685,保护,turvama,verbs,4.3
686,争论,veenma,verbs,2.33
687,死气沉沉的,õnnelikult,adverbs,0.23
688,元,miljonär,nouns,0.45
689,打算,üritama,verbs,2.21
690,新闻,klatš,nouns,2.19
691,向量,maatriks,nouns,1.2
692,合金,teras,nouns,3.61
693,批评,märkima,verbs,1.62
694,能力,pädevus,nouns,3.99
695,锚,paat,nouns,0.88
696,画画,mäss,nouns,0.1
697,拇指,käsi,nouns,0.93
698,纸币,makse,nouns,1.2
699,不诚实,tõene,adjectives,0.34
700,习语,sõna,nouns,1.42
701,赚,tegema,verbs,0.53
702,肢体,jalg,nouns,2.35
703,消失,leidma,verbs,0.35
704,标志,sümbol,nouns,4.85
705,非法,seaduslik,adjectives,0.44
706,眼睛,kulm,nouns,1.02
707,肚子,keha,nouns,1.71
708,苹果,sidrun,nouns,0.64
709,神圣,kallis,adjectives,1.98
710,电梯,sikutama,verbs,1.23
711,羞愧,kurbus,nouns,1.1
712,被动,vägivaldne,adjectives,0.25
713,伴侣,semu,nouns,3.46
714,片,lennujaam,nouns,0.0
715,管理,hiir,nouns,0.0
716,忘记,säilitama,verbs,0.39
717,海岸,kahuripaat,nouns,0.39
718,大气层,reostus,nouns,0.49
719,老鹰,pistrik,nouns,2.49
720,播放机,treener,nouns,0.7
721,声明放弃,ära tõukama,verbs,1.74
722,高度,muutmine,nouns,0.15
723,明亮地,õrnalt,adverbs,0.3
724,羊肉,lammas,nouns,4.18
725,先生,leedi,nouns,0.64
726,告诉,meelde tuletama,verbs,2.41
727,腹部,kõht,nouns,2.5
728,器官,maks,nouns,2.42
729,风暴,lumi,nouns,1.21
730,指控,süüdistama,verbs,3.23
731,米,toll,nouns,2.03
732,装作,ette kujutama,verbs,0.84
733,平淡,tüdinud,adjectives,2.04
734,责怪,lükkama,verbs,0.43
735,做,lõpetama,verbs,0.65
736,角度,kurv,nouns,1.25
737,发出恶臭,lõhnama,verbs,2.58
738,制作者,looja,nouns,3.63
739,可笑,nüri,adjectives,0.1
740,威士忌酒,šampus,nouns,1.83
741,电影,film,nouns,4.64
742,交流,keel,nouns,1.22
743,购买,maksma,verbs,2.61
744,容器,hiir,nouns,0.2
745,害羞,kallis,adjectives,0.05
746,罕见,ebatavaline,adjectives,4.29
747,绊倒,kukkuma,verbs,2.65
748,植物,põllumajandus,nouns,1.34
749,自由,oaas,nouns,0.39
750,容易,suur,adjectives,0.1
751,断绝亲子关系,loobuma,verbs,1.74
