ID,ENG,SWA,PoS,score
68,hear,kusikia,verbs,0.94
69,sensor,sensa,nouns,0.41
70,bathroom,jiko,nouns,0.37
71,meat,mkate,nouns,0.14
72,flexible,mkubwa sana,adjectives,0.15
73,condition,makubaliano,nouns,0.39
74,rock,mwamba,nouns,0.27
75,lawyer,mfanyakazi wa benki,nouns,0.52
76,exchange,badilisha,nouns,2.35
77,gather,kukutana,verbs,2.38
78,champion,mshindi,nouns,5.03
79,separate,kutenganisha,verbs,0.27
80,catch,kamata,verbs,1.44
81,adult,mzazi,nouns,2.0
82,hold,kushikilia,verbs,2.4
83,insecure,sio salama,adjectives,0.69
84,deliver,kubeba,verbs,0.8
85,curtain,nguzo,nouns,0.21
86,notify,kufahamisha,verbs,5.0
87,bed,chumba cha kulala,nouns,1.21
88,participate,kusema,verbs,0.21
89,evaluate,kuchanganua,verbs,4.36
90,weave,kufuma,verbs,0.24
91,satisfy,kufahamu,verbs,0.07
92,stop,kusimamisha,verbs,1.79
93,vomit,kutapika,verbs,0.0
94,economy,uchumi,nouns,0.34
95,scared,ogopa,adjectives,0.94
96,obey,kutii,verbs,0.0
97,sunset,macheo,nouns,1.22
98,mix,kuchanganya,verbs,2.31
99,tell,kusema,verbs,1.06
100,crowd,gwaride,nouns,1.13
101,son,baba,nouns,0.56
102,tree,mpera,nouns,2.55
103,censorship,udhibiti,nouns,0.27
104,humble,mnyenyekevu,adjectives,5.0
105,card,daraja,nouns,0.1
106,scholarship,ufadhili wa elimu,nouns,1.29
107,orchard,kiunga,nouns,0.0
108,tank,tenki,nouns,0.66
109,literature,neno,nouns,1.11
110,pot,kifaa,nouns,0.65
111,money,almasi,nouns,0.41
112,pray,kuuliza,verbs,0.79
113,pathfinder,njia,nouns,0.15
114,deny,kukubali,verbs,0.09
115,other,wengine,adjectives,0.27
116,tooth,kinywa,nouns,1.02
117,person,mnyama,nouns,0.56
118,rare,mpumbavu,adjectives,0.0
119,competence,uwezo,nouns,4.32
120,mix,kuchanganya,verbs,0.34
121,conversation,mawasiliano,nouns,4.21
122,hit,pigo,nouns,0.0
123,vague,isiyo dhahiri,adjectives,4.99
124,battery,betri,nouns,1.17
125,hotel,fleti,nouns,0.72
126,band,subira,nouns,0.0
127,crime,udanganyifu,nouns,2.71
128,box,sanduku,nouns,0.0
129,party,watu,nouns,0.54
130,multiply,kujumlisha,verbs,0.73
131,accident,ajali,nouns,0.0
132,geyser,chemchemi ya maji ya moto,nouns,2.78
133,cube,mchemraba,nouns,1.29
134,difficult,bila jasho,adjectives,0.09
135,tail,sura,nouns,0.0
136,crunch,kuteketa,verbs,0.81
137,feasible,inawezekana,adjectives,0.14
138,independently,kwa kujitegemea,adverbs,0.84
139,servant,mtumishi,nouns,3.09
140,truly,kiukweli,adverbs,0.27
141,big,rahisi,adjectives,0.05
142,strive,kujitahidi,verbs,0.0
143,helmet,helmeti,nouns,0.39
144,unformed,kutobadilishwa,adjectives,0.05
145,leave,kwenda,verbs,4.99
146,ankle,kiwiko,nouns,0.49
147,peace,furaha,nouns,1.81
148,attend,kuja,verbs,3.08
149,sweet,tamu,adjectives,0.0
150,nozzle,pua,nouns,0.04
151,easily,kirahisi,adverbs,3.4
152,dirty,rahisi,adjectives,0.09
153,play,kucheza,verbs,0.0
154,win,kufanikisha,verbs,3.04
155,basilica,basilika,nouns,0.24
156,inexpensive,rahisi,adjectives,5.33
157,fry,kukaanga,verbs,2.25
158,send,kuhudhuria,verbs,0.0
159,glow,kumeremeta,verbs,3.51
160,fraud,uhalifu,nouns,2.71
161,pair,vitu viwili,nouns,5.52
162,shy,aibu,adjectives,0.47
163,liquor,karne,nouns,0.0
164,worker,makanika,nouns,1.76
165,kidnap,kuteka nyara,verbs,1.83
166,region,eneo,nouns,4.64
167,bone,taya,nouns,0.42
168,violation,uhalifu,nouns,3.08
169,tomorrow,kesho,adverbs,0.12
170,organ,ini,nouns,2.04
171,date,siku ya kuzaliwa,nouns,1.54
172,classroom,ushoroba,nouns,0.04
173,pen,kalamu,nouns,0.04
174,borrow,kutaka,verbs,0.3
175,inch,yadi,nouns,1.27
176,page,neno,nouns,0.32
177,screenwriter,mwandishi wa filamu,nouns,0.42
178,telescope,darubini,nouns,0.0
179,weekly,kwa wiki,adjectives,0.43
180,task,kazi,nouns,3.79
181,accept,kutambua,verbs,2.01
182,compass,dira,nouns,0.0
183,muslim,mwislamu,nouns,0.21
184,photophone,picha,nouns,0.04
185,forget,kujua,verbs,0.09
186,molecule,molekuli,nouns,0.04
187,woman,mwanamke,nouns,0.0
188,chapter,chaguo,nouns,0.05
189,jet,ndege,nouns,5.0
190,condition,mvulana,nouns,0.0
191,asset,mali,nouns,3.22
192,bake,kuoka,verbs,1.5
193,glare,kukondoa macho,verbs,0.69
194,achieve,kufanikisha,verbs,5.24
195,overcast,kivuli cha mawingu,nouns,0.3
196,depart,kuondoka,verbs,0.5
197,decrease,kupungua,verbs,0.74
198,humbly,kwa unyenyekevu,adverbs,0.19
199,electric,chenye umeme,adjectives,0.27
200,quietly,kwa ukimya,adverbs,0.04
201,erode,kumomonyoka,verbs,0.0
202,key,nyumba,nouns,0.52
203,knife,bunduki,nouns,0.56
204,naturally,kwa uhalisia,adverbs,0.34
205,rhythm,mahadhi,nouns,0.52
206,bite,uma,verbs,0.0
207,clarify,kueleza,verbs,4.63
208,think,kuamua,verbs,1.77
209,subtly,kijanja,adverbs,0.04
210,repress,kukandamiza,verbs,0.69
211,cloud,wingu,nouns,0.0
212,currently,kwa sasa,adverbs,2.06
213,fur,mwanamke,nouns,0.0
214,nail,mkono,nouns,0.44
215,weird,wa kawaida,adjectives,0.19
216,bull,ndama,nouns,1.91
217,optimistically,kwa matuamini,adverbs,0.54
218,honest,ana hatia,adjectives,0.1
219,polyhedron,pembe zaidi ya sita,nouns,0.04
220,medium,wastani,adjectives,1.23
221,class,darasa,nouns,0.0
222,coat,kofia,nouns,0.41
223,cottage,kibanda,nouns,3.59
224,give,kukana,verbs,0.05
225,simple,ngumu,adjectives,0.09
226,monthly,kila mwezi,adjectives,0.43
227,straw,mke,nouns,0.0
228,curved,pinda,adjectives,0.17
229,dawn,bunduki,nouns,0.0
230,lately,hivi majuzi,adverbs,4.38
231,leave,kubaki,verbs,0.17
232,task,mwanamke,nouns,0.05
233,window,mlango,nouns,0.74
234,size,ukubwa,nouns,4.76
235,stand,kusimama,verbs,0.24
236,melody,pigo,nouns,1.27
237,information,kitabu,nouns,0.81
238,mustard,mbegu,nouns,0.39
239,precious,yenye thamani,adjectives,1.1
240,kindly,kiupole,adverbs,2.64
241,aunt,mjomba,nouns,0.99
242,mad,safi,adjectives,0.0
243,chicken,wali,nouns,0.14
244,wife,kuoga,nouns,0.0
245,baseball,kochi,nouns,0.0
246,lie,kudanganya,verbs,2.61
247,ignore,kuepa,verbs,2.58
248,neck,mkono,nouns,0.19
249,lemon,matofaa,nouns,0.41
250,water,barafu,nouns,2.17
251,plane,jeti,nouns,5.0
252,area,kona,nouns,0.56
253,modest,ana aibu,adjectives,0.12
254,explain,kujadili,verbs,1.59
255,buckler,ngao,nouns,0.42
256,join,kujipatia,verbs,0.21
257,doorway,mlango wa kutoka,nouns,2.1
258,doctor,mtaalamu wa meno,nouns,2.05
259,strangely,ya kustajabisha,adverbs,4.88
260,evening,giza kuingia,nouns,4.49
261,coin,sarafu,nouns,1.21
262,racket,raketi,nouns,0.65
263,cloud,ukungu,nouns,3.33
264,iron,vitamini,nouns,0.61
265,navy,jeshi la wanamaji,nouns,0.0
266,currently,kwa sasa,adverbs,0.0
267,people,idadi ya watu,nouns,2.87
268,discourage,kufeli,verbs,0.17
269,peace,amani,nouns,0.1
270,music,muziki,nouns,1.0
271,read,kusoma,verbs,0.0
272,slim,nyembamba,adjectives,4.99
273,background,mandharinyuma,nouns,2.39
274,crowd,kikundi,nouns,4.37
275,suggest,kupendekeza,verbs,3.91
276,smooth,nyororo,adjectives,0.0
277,sequel,mwendelezo,nouns,0.0
278,coat,nguo,nouns,2.17
279,receive,kupa,verbs,0.34
280,princess,bibi arusi,nouns,0.04
281,cable,amari,nouns,0.0
282,officially,rasmi,adverbs,0.7
283,hang,kuweka,verbs,0.43
284,writer,muandishi,nouns,0.0
285,paper,kadibodi,nouns,2.19
286,guy,msichana,nouns,0.48
287,ankle,dirisha,nouns,0.0
288,door,kengele,nouns,0.27
289,cooperate,kushiriki,verbs,3.08
290,justify,kuhakikisha,verbs,0.65
291,daily,kila siku,adverbs,2.71
292,cat,sungura,nouns,0.51
293,shame,huzuni,nouns,0.79
294,guy,rafiki,nouns,0.61
295,protect,kuweka,verbs,0.6
296,bowl,mkia,nouns,0.0
297,north,magharibi,nouns,0.65
298,stock,akiba,nouns,3.22
299,car,teksi,nouns,3.58
300,caliber,kaliba,nouns,0.0
301,jeans,jinzi,nouns,0.0
302,disease,hatari,nouns,0.51
303,crystal,bilauri,nouns,1.03
304,receive,kupokea,verbs,1.79
305,bible,kitabu,nouns,2.17
306,hole,mapatano,nouns,0.0
307,nerve,matumbo,nouns,0.69
308,bias,kubagua,verbs,2.41
309,glad,ana hasira,adjectives,0.0
310,differ,kukubali,verbs,0.09
311,boat,mota,nouns,1.31
312,bee,sisimizi,nouns,0.61
313,aluminium,alumini,nouns,2.08
314,ideally,walau,adverbs,0.3
315,twice,mara mbili,adverbs,0.5
316,menu,agizo,nouns,0.71
317,greatly,sana,adverbs,2.12
318,lock,kufuli,nouns,0.79
319,note,noti,nouns,0.86
320,car,njia kuu,nouns,0.41
321,chair,kiti,nouns,0.0
322,tough,ngumu,adjectives,2.84
323,stomach,njia,nouns,0.05
324,push,kusukuma,verbs,0.54
325,steal,kupa,verbs,0.04
326,acid,asidi,nouns,0.52
327,stomach,mwili,nouns,0.79
328,magnitude,kina,nouns,1.56
329,dawn,mchana,nouns,1.75
330,table,meza,nouns,0.0
331,saint,mkosaji,nouns,0.13
332,ignore,kuuliza,verbs,0.05
333,accident,balaa,nouns,2.52
334,watch,kuangalia,verbs,5.37
335,obey,kusikiliza,verbs,1.56
336,chaotically,kwa vurugu,adverbs,0.04
337,vulnerable,walio hatarini,adjectives,0.34
338,hut,makao,nouns,1.31
339,lunch,ugali,nouns,1.89
340,thirsty,kua na kiu,adjectives,0.63
341,lung,ini,nouns,0.54
342,criticism,hoja,nouns,1.27
343,bone,shingo,nouns,0.36
344,cook,kupika,verbs,1.1
345,chest,mwili,nouns,1.38
346,valuable,yenye thamani,adjectives,2.57
347,private,binafsi,adjectives,0.04
348,peppermint,mti wa minti,nouns,0.34
349,clue,neno,nouns,0.2
350,foreigner,mgeni,nouns,0.15
351,sell,kuuza,verbs,0.69
352,spiritual,kiroho,adjectives,0.79
353,money,mshahara,nouns,2.88
354,listen,kutii,verbs,1.56
355,fantasy,uhalisi,nouns,0.24
356,disappear,kutafuta,verbs,0.1
357,alley,bakuli,nouns,0.09
358,electric,chenye umeme,adjectives,0.0
359,mad,mwenye furaha,adjectives,0.1
360,inflection,inflection,nouns,0.75
361,search,tafuta,verbs,1.08
362,opera,opera,nouns,1.07
363,attorney,mwanasheria,nouns,5.19
364,word,kamusi,nouns,1.19
365,colt,farasi,nouns,3.34
366,herb,bangi,nouns,1.19
367,mouse,sitaha,nouns,0.0
368,course,tumbo,nouns,0.05
369,imitate,kuiga,verbs,0.12
370,maid,msichana,nouns,0.62
371,lose,kupata,verbs,0.1
372,similar,sawasawa,adjectives,5.07
373,room,mahabusu,nouns,1.07
374,underwear,chupi,nouns,0.15
375,cruel,katili,adjectives,2.08
376,free,huru,adjectives,2.21
377,government,serikali,nouns,0.0
378,leave,kuondoka,verbs,0.01
379,door,uwepo,nouns,0.0
380,hunt,kuwinda,verbs,3.26
381,arm,goti,nouns,0.24
382,argue,kutofautiana,verbs,2.77
383,warrior,mwanaume,nouns,0.72
384,circumcision,tohara,nouns,1.29
385,vein,tumbo,nouns,0.1
386,handicraft,kazi za mikono,nouns,0.15
387,send,kwenda,verbs,0.21
388,editorial,uhariri,nouns,1.31
389,session,kikao,nouns,0.07
390,summer,msimu wa baridi,nouns,0.34
391,cursor,mshale,nouns,0.0
392,book,hadithi,nouns,1.71
393,vinegar,saladi,nouns,0.14
394,tear,kuchana,verbs,0.36
395,dinner,chakula cha asubuhi,nouns,0.61
396,hashtag,reli,nouns,0.39
397,amazingly,kwa kushangaza,adverbs,4.59
398,throat,pua,nouns,0.49
399,communication,mazungumzo,nouns,4.21
400,hand,kifundo,nouns,0.91
401,say,kushiriki,verbs,0.21
402,beach,mchanga,nouns,0.65
403,inspect,kuchunguza,verbs,4.45
404,mind,akili,nouns,0.93
405,watch,saa,nouns,0.0
406,mainly,haswa,adverbs,0.14
407,cattle,ngombe,nouns,3.52
408,replacement,badala,nouns,2.35
409,spring,kisima,nouns,2.78
410,money,hela,nouns,5.46
411,devil,mungu,nouns,0.27
412,proud,kujivunia,adjectives,0.0
413,sober,kutolewa,adjectives,0.04
414,deny,kukataa,verbs,0.36
415,arrive,kuondoka,verbs,0.09
416,parade,umati,nouns,1.13
417,unfair,jeuri,adjectives,2.08
418,learn,kusahau,verbs,0.19
419,multiple,nyingi zaidi,adverbs,0.86
420,fee,mshahara,nouns,0.72
421,smother,kuziba,verbs,0.0
422,organized,kupanga,verbs,0.04
423,galaxy,giligili,nouns,0.0
424,era,miaka kumi,nouns,1.18
425,pure,safi,adjectives,0.27
426,perfectly,kiukamilifu,adverbs,0.95
427,night,alfajiri,nouns,0.24
428,bath,mbinu,nouns,0.0
429,rapid,wa haraka,adjectives,5.09
430,lawful,halali,adjectives,0.14
431,fertilizer,samadi,nouns,0.24
432,join,kukuunga,verbs,0.04
433,wander,kuondoka,verbs,0.46
434,container,chupa,nouns,1.3
435,reheat,choma,nouns,0.67
436,payment,ada,nouns,4.04
437,generously,kwa ukarimu,adverbs,0.0
438,release,kuachilia,verbs,0.0
439,construction,uharibifu,nouns,0.13
440,cloud,hali ya hewa,nouns,1.18
441,grief,uchungu,nouns,2.78
442,violin,fidia,nouns,0.39
443,woman,mwanaume,nouns,0.41
444,easy,bila jasho,adjectives,4.81
445,chicken,chakula cha usiku,nouns,0.59
446,forgive,kukubali,verbs,0.75
447,arm,kifundo,nouns,1.02
448,bottle,chombo,nouns,1.3
449,clothes,kabati,nouns,0.48
450,honey,asali,nouns,0.15
451,accept,kupeleka,verbs,0.0
452,book,fasihi,nouns,2.32
453,attend,kukusanya,verbs,0.52
454,promise,kuweka ahadi,verbs,4.57
455,probably,labda,adverbs,0.19
456,large,nama,adjectives,0.15
457,advise,kupendekeza,verbs,4.27
458,battery,betri,nouns,0.0
459,rude,jeuri,adjectives,0.39
460,president,mwanachuo,nouns,0.05
461,nose,pua,nouns,0.64
462,bible,nyimbo,nouns,0.43
463,know,kupa,verbs,0.04
464,kidney,kiungo,nouns,2.2
465,fraternity,mlango,nouns,0.0
466,ox,farasi,nouns,0.49
467,think,kutafiti,verbs,0.7
468,sad,mbovu,adjectives,0.92
469,intelligence,umaizi,nouns,2.54
470,lamp,taa,nouns,0.39
471,worm,mnyoo,nouns,0.13
472,white,nyeupe,adjectives,0.0
473,funny,mwenye huzuni,adjectives,0.17
474,surprise,kushangaza,verbs,0.19
475,perhaps,labda,adverbs,2.96
476,knee,mkono,nouns,0.24
477,decompose,kuoza,verbs,1.36
478,prosecutor,mwendesha mashtaka,nouns,3.3
479,terminally,mwishoni,adverbs,0.04
480,player,mchezaji,nouns,0.76
481,funny,wa kuchosha,adjectives,0.05
482,important,lazima,adjectives,3.4
483,priest,mtawa,nouns,3.1
484,guilty,mbaya,adjectives,1.59
485,comprehend,kuridhisha,verbs,0.07
486,nephew,shangazi,nouns,0.22
487,sure,bila shaka,adjectives,4.99
488,forgive,kuelewa,verbs,0.48
489,situation,mazingira,nouns,1.74
490,dermatitis,ugonjwa wa ngozi,nouns,2.84
491,body,tumbo,nouns,0.79
492,birthday,tarehe,nouns,1.54
493,fraternity,wanaume,nouns,0.74
494,manuscript,muswada,nouns,1.57
495,genie,jini,nouns,0.39
496,loyally,kwa uaminifu,adverbs,2.65
497,syllabus,mtaala,nouns,0.61
498,defend,kulinda,verbs,4.35
499,sky,anga,nouns,0.13
500,rose,waridi,nouns,0.05
501,tree,mti,nouns,0.0
502,argue,kupinga,verbs,0.0
503,guy,patna,nouns,0.22
504,boat,nanga,nouns,0.66
505,molecule,atomu,nouns,2.24
506,gold,dhahabu,nouns,0.81
507,fight,kupigana,verbs,0.0
508,tsunami,sunami,nouns,0.9
509,sly,mgeni,adjectives,0.07
510,argument,ukosoaji,nouns,1.27
511,ask,kuomba,verbs,2.66
512,ordinary,kawaida,adjectives,0.12
513,student,profesa,nouns,0.41
514,straight,nyooka,adjectives,0.17
515,body,bega,nouns,0.54
516,sunset,machweo,nouns,0.0
517,hear,kusikiliza,verbs,4.62
518,now,sasahivi,adverbs,1.56
519,camera,kamera,nouns,0.0
520,cat,panya,nouns,0.3
521,whenever,kila wakati,adverbs,0.32
522,say,kuhakikisha,verbs,0.39
523,visa,mhuri,nouns,0.24
524,unhappy,ana hasira,adjectives,2.22
525,style,fesheni,nouns,4.8
526,magnitude,saizi,nouns,4.76
527,antecedent,antecedent,nouns,1.71
528,size,senti,nouns,0.05
529,juice,juisi,nouns,0.0
530,muscle,ulimi,nouns,0.96
531,tough,rahisi,adjectives,0.09
532,plead,kuuliza,verbs,2.04
533,weather,hali ya hewa,nouns,0.4
534,great,mbaya,adjectives,0.09
535,building,jengo,nouns,0.76
536,foot,mkono,nouns,0.9
537,light,mwanga,nouns,0.0
538,fresh,mpana,adjectives,0.0
539,bank,benki,nouns,0.0
540,topic,hadithi,nouns,0.6
541,release,kukutolewa,verbs,0.04
542,way,namna,nouns,3.92
543,water,chumvi,nouns,0.22
544,people,senti,nouns,0.0
545,film,sinema,nouns,5.23
546,stiff,ngumu,adjectives,0.15
547,winter,msimu,nouns,2.26
548,easy,rahisi,adjectives,0.25
549,roughly,takriban,adverbs,0.21
550,mother,baba,nouns,0.75
551,do,kuacha,verbs,0.09
552,snake,nyoka,nouns,0.84
553,basket,mpira,nouns,0.15
554,think,kufikiria,verbs,1.27
555,hesitant,sitasita,adjectives,0.0
556,giggle,kukenua,verbs,3.58
557,modest,pole,adjectives,0.55
558,magistrate,hakimu,nouns,4.79
559,envelope,bahasha,nouns,0.0
560,seat,kiti,nouns,0.0
561,prohibit,kukataza,verbs,2.87
562,pour,kumwaga,verbs,0.89
563,construct,kutengeneza,verbs,4.35
564,ancient,wa kisasa,adjectives,0.09
565,body,kifua,nouns,1.38
566,bean,wali,nouns,0.64
567,sword,panga,nouns,0.0
568,require,kutafiti,verbs,0.05
569,shuffle,kuchanganya,verbs,0.0
570,sincerely,kwa ukweli,adverbs,0.59
571,author,msomaji,nouns,0.41
572,rough,baridi,adjectives,0.0
573,modest,nyenyekevu,adjectives,5.0
574,phone,simu,nouns,0.0
575,moon,sayari,nouns,0.91
576,vein,mkono,nouns,0.29
577,aid,kufadhili,verbs,5.11
578,airport,uwanja wa ndege,nouns,0.0
579,man,mwanaume,nouns,0.07
580,doctor,tabia,nouns,0.0
581,article,makala,nouns,1.57
582,bee,malkia,nouns,0.44
583,hose,bustani,nouns,0.13
584,atom,kaboni,nouns,1.06
585,protect,kulinda,verbs,1.39
586,criticize,kupinga,verbs,0.55
587,novel,simulizi,nouns,0.35
588,chauvinist,chauvinist,nouns,1.6
589,immature,kutokomaa,adjectives,0.04
590,bed,kiti,nouns,0.57
591,finish,kumaliza,verbs,1.36
592,messy,chafu,adjectives,0.63
593,calendar,kalenda,nouns,0.17
594,child,mtu mzima,nouns,0.34
595,gum,fizi,nouns,0.34
596,bishop,askofu mkuu,nouns,4.13
597,medal,medali,nouns,0.34
598,allow,kupa,verbs,0.56
599,flexible,mwenye kiasi,adjectives,0.55
600,lend,kupa,verbs,2.59
601,multiply,kugawanya,verbs,0.21
602,car,mtaa,nouns,0.39
603,bed,blanketi,nouns,0.96
604,spirit,mungu,nouns,2.25
605,obey,kutenda,verbs,1.92
606,helper,mfanyakazi wa nyumbani,nouns,2.89
607,container,mkokoteni,nouns,0.15
608,rear,nyuma,nouns,2.76
609,argue,kujadili,verbs,0.19
610,understand,kujua,verbs,3.65
611,schemer,mweka mipango,nouns,2.7
612,whistle,mluzi,verbs,0.0
613,coast,ufuko,nouns,3.26
614,dumb,hodari,adjectives,0.14
615,sum,jumla,nouns,0.94
616,jail,chaguo,nouns,0.1
617,lip,nyonga,nouns,0.09
618,always,mara kwa mara,adverbs,0.33
619,metal,bati,nouns,1.36
620,virus,kirusi,nouns,0.56
621,protestant,protestanti,nouns,3.17
622,fault,kosa,nouns,0.12
623,breakfast,chakula cha usiku,nouns,0.61
624,huge,mkubwa sana,adjectives,5.26
625,prince,mfalme,nouns,2.41
626,waist,tumbo,nouns,1.46
627,greet,kukutana,verbs,1.41
628,roughly,kwa kukadiria,adverbs,0.04
629,dirty,chafu,adjectives,0.65
630,beauty,umri,nouns,0.17
631,decade,enzi,nouns,1.18
632,might,nguvu,nouns,4.18
633,rare,haba,adjectives,4.95
634,mother,mlezi,nouns,2.77
635,reap,kuvuna,verbs,1.64
636,truly,kweli,adverbs,0.95
637,computer,kompyuta,nouns,2.41
638,forget,kudumisha,verbs,0.05
639,finger,kidole cha mguu,nouns,1.21
640,confession,kanusho,nouns,0.37
641,muffin,muffini,nouns,0.0
642,skill,akili,nouns,2.13
643,explore,kugundua,verbs,2.46
644,expensive,ghali,adjectives,0.0
645,lemon,chai,nouns,0.14
646,responsibly,kwa uwajibikaji,adverbs,0.84
647,winner,lengo,nouns,0.21
648,tradition,utamaduni,nouns,0.15
649,dinner,supu,nouns,0.74
650,tonight,usiku huu,adverbs,1.42
651,nail,kidole gumba,nouns,1.04
652,dukedom,dukedom,nouns,2.03
653,weird,wa kigeni,adjectives,4.29
654,weak,dhaifu,adjectives,0.14
655,butter,kiazi,nouns,0.22
656,bedroom,kitanda,nouns,1.21
657,negatively,kwa ubaya,adverbs,0.13
658,polyester,pamba,nouns,0.47
659,accuse,kushtaki,verbs,1.44
660,map,ramani,nouns,0.0
661,determine,kutambulisha,verbs,0.0
662,appear,kuwa,verbs,0.64
663,pull,kuvuta,verbs,0.54
664,gut,neva,nouns,0.69
665,seedling,miche,nouns,0.94
666,mouth,pua,nouns,0.54
667,reject,kukataa,verbs,1.34
668,gun,watu,nouns,0.05
669,elect,kuchagua,verbs,5.25
670,surgery,moyo,nouns,0.38
671,pupil,rais,nouns,0.05
672,management,utawala,nouns,3.22
673,wheat,nafaka,nouns,1.8
674,guardian,mtu mzima,nouns,1.72
675,development,maendeleo,nouns,0.14
676,number,nambari,nouns,5.38
677,bride,mtoto wa mfalme,nouns,0.04
678,science,saikolojia,nouns,1.8
679,wander,kutangatanga,verbs,5.17
680,receive,kutuma,verbs,0.19
681,pursue,kushawishi,verbs,0.34
682,discover,kutokana,verbs,0.53
683,make,kuwa,verbs,0.32
684,hear,kuzungumza,verbs,0.24
685,presence,mlango,nouns,0.0
686,cellphone,simu ya mkononi,nouns,3.92
687,maple,mnazi,nouns,1.07
688,dull,wa kuchekesha,adjectives,0.05
689,clean,safi,adjectives,0.24
690,loudly,kwa sauti,adverbs,0.27
691,theatre,ukumbi,nouns,0.0
692,monk,mtawa,nouns,0.17
693,cloud,dhoruba,nouns,0.42
694,people,dola,nouns,0.35
695,drive,endesha,verbs,0.0
696,people,bunduki,nouns,0.05
697,boss,bosi,nouns,3.69
698,scarce,adimu,adjectives,4.95
699,travel,kusafiri,verbs,2.47
700,dull,zorota,adjectives,0.04
701,meter,yadi,nouns,2.51
702,ice,maji,nouns,2.17
703,whisper,kunong'oneza,verbs,1.37
704,evict,kufukuza,verbs,0.52
705,leave,kujitokeza,verbs,0.44
706,terrible,mbaya,adjectives,5.0
707,door,dirisha,nouns,0.74
708,death,balaa,nouns,1.46
709,likely,uwezekano,adverbs,3.24
710,toy,kichezeo,nouns,0.0
711,crime,kosa,nouns,3.08
712,calmly,kiutulivu,adverbs,0.54
713,lose,poteza,verbs,0.0
714,destroy,kutengeneza,verbs,0.09
715,rain,mvua,nouns,0.59
716,cab,gari,nouns,3.58
717,dinosaur,mijusi ya kale,nouns,0.12
718,uniformly,sawa,adverbs,0.0
719,assist,kusaidia,verbs,5.11
720,arrive,kuja,verbs,2.8
721,tin,chuma,nouns,1.36
722,cent,mke,nouns,0.0
723,win,kutawala,verbs,1.06
724,arm,mkono,nouns,0.46
725,foot,kichwa,nouns,0.19
726,overcome,kutawala,verbs,1.94
727,skirt,sketi,nouns,0.0
728,presence,mshindi,nouns,0.05
729,participate,kujiunga,verbs,3.76
730,give,kutoa,verbs,0.09
731,bell,mnara,nouns,0.22
732,blizzard,theluji kali,nouns,0.59
733,choice,oni,nouns,1.34
734,balloon,kuoga,nouns,0.0
735,lizard,mjusi,nouns,2.25
736,marry,oa,verbs,3.21
737,cytoplasm,cytoplasm,nouns,0.0
738,car,daraja,nouns,0.05
739,bridge,kadi,nouns,0.1
740,wash,kuosha,verbs,3.93
741,accept,kukana,verbs,0.09
742,child,mwanaume,nouns,0.22
743,before,kabla,adverbs,0.09
744,deputy,msaidizi,nouns,1.15
745,capacitor,capacitor,nouns,1.36
746,atom,molekuli,nouns,2.24
