ID,FIN,HEB,PoS,score
181,lattia,סיפון,nouns,1.6
182,kori,כדור,nouns,0.65
183,näyttää,להתחזות,verbs,0.95
184,paita,קרדיגן,nouns,1.85
185,ylimielinen,גאה,adjectives,3.0
186,jakaa,לאחד,verbs,0.8
187,kaaos,אנרכיה,nouns,4.0
188,tamma,סוס,nouns,3.45
189,väkijuoma,מאה,nouns,0.0
190,tyyli,אופנה,nouns,3.6
191,tavu,למה,nouns,1.1
192,teräs,סגסוגת,nouns,2.9
193,pensas,פרח,nouns,2.3
194,kapea,דק,adjectives,3.1
195,kumppani,מאהב,nouns,2.25
196,jättää,לנדוד,verbs,0.7
197,ompelulanka,חוט,nouns,4.4
198,hede,האבקה,nouns,1.65
199,elokuvateatteri,פופקורן,nouns,0.7
200,hiiri,מיכל,nouns,0.0
201,yhtye,ליקר,nouns,0.0
202,antaa,לגנוב,verbs,0.55
203,kulttuuri,חברה,nouns,1.9
204,puhelin,טלפון סלולרי,nouns,4.45
205,sormus,אירוסין,nouns,1.6
206,hankkia,להצטרף,verbs,0.2
207,valmentaja,שחקן,nouns,1.15
208,epäonnistua,לסמוך,verbs,0.3
209,aikakausi,עשור,nouns,2.25
210,avustaa,לעזור,verbs,5.15
211,balladi,שיר,nouns,4.2
212,lannistaa,לתסכל,verbs,2.85
213,kursori,שבבים,nouns,0.15
214,haluta,להשאיל,verbs,0.5
215,planeetta,ירח,nouns,2.1
216,taistelulaiva,אוניית קרב,nouns,5.25
217,kristalli,זכוכית,nouns,2.7
218,aito,מזוייף,adjectives,0.7
219,selvin päin oleva,רציונלי,adjectives,1.35
220,juhlapäivä,לוח שנה,nouns,1.15
221,kuolettavasti,באושר,adverbs,0.15
222,negatiivisesti,באופן לא טבעי,adverbs,0.65
223,kirkkaus,כוכב,nouns,1.1
224,vyö,לולאה,nouns,0.8
225,kirkkaasti,מאוד,adverbs,0.55
226,lapsi,מבוגר,nouns,1.2
227,vartalo,גב,nouns,1.45
228,teeskennellä,להניח,verbs,0.35
229,tehtävä,אישה,nouns,0.0
230,kompassi,פיל,nouns,0.05
231,olkapää,זרוע,nouns,1.8
232,sininen,אדום,adjectives,1.35
233,kuolema,קבורה,nouns,1.7
234,odottaa,להישאר,verbs,2.1
235,elämäntapa,ציוויליזציה,nouns,0.85
236,ilmiselvästi,בחשאי,adverbs,0.2
237,suuresti,באופן מדהים,adverbs,0.75
238,psykologia,מדע,nouns,1.95
239,järjestää,לארגן,verbs,5.15
240,kirkkaasti,בקלות,adverbs,1.0
241,auringonpaiste,תפוח,nouns,0.0
242,harvoin,לרוב,adverbs,1.05
243,juna,חשמלית,nouns,2.35
244,vahvuus,עוצמה,nouns,3.95
245,lyödä,לשלב,verbs,0.05
246,välttämätön,חשוב,adjectives,3.75
247,ranta,אי,nouns,1.1
248,ymmärrys,עובדה,nouns,1.5
249,kypsä,מתוחכם,adjectives,1.15
250,sattua,להעציב,verbs,1.0
251,tietokone,מכונה,nouns,2.9
252,hävitä ,למצוא,verbs,0.65
253,ylpeä,מסכן,adjectives,0.1
254,luonnollisesti,בשקט,adverbs,0.35
255,odottaa,לעזוב,verbs,0.35
256,kitara,פורל,nouns,0.05
257,auto,מכונית,nouns,5.95
258,kuningas,נסיכה,nouns,1.75
259,pätevyys,יכולת,nouns,4.3
260,typerä,עקשן,adjectives,0.75
261,ystävällinen,נדיר,adjectives,0.8
262,saada,להשאיר,verbs,0.4
263,talo,דירה,nouns,3.95
264,karkea,נוקשה,adjectives,1.15
265,eläin,אדם,nouns,0.9
266,dollari,מיליונר,nouns,0.9
267,sallia,לתת,verbs,3.45
268,menettää,לשמור,verbs,0.45
269,uskoa,להרגיש,verbs,1.5
270,olla peräisin,לגלות,verbs,0.5
271,ylpeä,יהיר,adjectives,3.0
272,taso,ניקוד,nouns,0.85
273,hyväksyä,למסור,verbs,0.5
274,tyhmä,פיקח,adjectives,0.65
275,jättää,להמתין,verbs,0.35
276,opettaja,מדריך,nouns,4.2
277,olla erilainen,להסכים,verbs,0.55
278,kärpänen,נמלה,nouns,2.1
279,lähettää,לקבל,verbs,0.65
280,töykeä,תוקפני,adjectives,1.65
281,uida,להיפגש,verbs,0.05
282,istuin,שיפוע,nouns,0.05
283,helppo,קשה,adjectives,0.7
284,hienostonut,בוגר,adjectives,1.15
285,ottaa,ללכוד,verbs,1.4
286,teleskooppi,כיסא,nouns,0.15
287,sairaanhoitaja,מדען,nouns,0.45
288,kokoontua,להגיע,verbs,1.85
289,epäröivä,זועם,adjectives,0.85
290,terminaalisesti,בעיקר,adverbs,0.15
291,peitto,עץ,nouns,0.15
292,onnistua,להיכשל,verbs,0.7
293,naistenmies,בחור,nouns,1.35
294,panos,מנחה,nouns,1.9
295,vanhempi,מבוגר,nouns,2.55
296,tavata,לשחות,verbs,0.05
297,kysyä,להתפלל,verbs,1.75
298,tietää,להבין,verbs,2.75
299,vaikea,פשוט,adjectives,1.1
300,ooppera,קולנוע,nouns,1.75
301,munkki,צלב,nouns,0.8
302,rauha,שמחה,nouns,0.85
303,pää,רגל,nouns,1.15
304,sirut,סמן,nouns,0.15
305,papu,קפה,nouns,1.0
306,työläinen,מכונאי,nouns,2.25
307,varmasti,ברור,adverbs,3.6
308,muta,לכלוך,nouns,2.4
309,määritelmä,מילון,nouns,1.15
310,väkijuoma,יין,nouns,2.25
311,tunnettu,לאומי,adjectives,0.85
312,vuori,אדן,nouns,0.5
313,kuvata,להחליט,verbs,0.4
314,vamppyyri,עטלף,nouns,2.15
315,virsi,כבוש,nouns,0.25
316,yksinkertainen,קשה,adjectives,0.4
317,seurata,לרדוף,verbs,2.75
318,ostaa,לשלם,verbs,2.65
319,vehnä,דגנים,nouns,3.1
320,kaapeli,קוסם,nouns,0.15
321,tammi,מייפל,nouns,1.95
322,intiimi,אישי,adjectives,4.7
323,kana,אורז,nouns,0.85
324,ymmärrys,אינטליגנציה,nouns,2.85
325,turkki,אישה,nouns,0.2
326,pekoni,בשר,nouns,2.75
327,antaa anteeksi,להבין,verbs,1.15
328,sallia,ללכת,verbs,0.3
329,orvokki,פרח,nouns,2.55
330,älykkyys,מיומנות,nouns,1.65
331,vaikeus,מאמץ,nouns,2.4
332,raivostunut,הססן,adjectives,0.85
333,aggressiivinen,חצוף,adjectives,1.65
334,onnekas,מובך,adjectives,0.1
335,epäkypsä,בוגר,adjectives,0.7
336,tuhoeläin,מדביר,nouns,0.9
337,voileipä,בשר,nouns,1.0
338,tehtävä,קש,nouns,0.0
339,lihas,לשון,nouns,1.6
340,pyyhkiä,להתדרדר,verbs,0.05
341,aukko,מרווח,nouns,3.65
342,laatikko,מקור,nouns,0.0
343,tuuma,יארד,nouns,1.95
344,naaraslintu,הודו,nouns,1.8
345,sanomalehti,מידע,nouns,1.3
346,vartalo,בטן,nouns,1.95
347,eversti,רופא,nouns,0.7
348,maksa,איבר,nouns,2.0
349,oksentaa,לסגור,verbs,0.05
350,ikkuna,גג,nouns,1.05
351,kansi,עכבר,nouns,0.05
352,tuore,ישן,adjectives,0.7
353,ikä,יופי,nouns,0.6
354,vihata,לבקר,verbs,0.75
355,irrottaa,לפצל,verbs,1.7
356,kellari,דלת,nouns,0.65
357,henki,אל,nouns,1.65
358,ajaa,לרוץ,verbs,0.95
359,yhdistetty,מעורבב,adjectives,2.8
360,varastaa,לקחת,verbs,2.1
361,suru,שמחה,nouns,0.75
362,sotalaiva,ספינת מלחמה,nouns,5.25
363,juonittelija,אסטרטג,nouns,3.0
364,kieli,לחי,nouns,1.4
365,paha,איום,adjectives,3.25
366,liittää,להפריד,verbs,0.7
367,mukava,אכזרי,adjectives,0.5
368,miellyttää,להסכים,verbs,0.95
369,näyttelijä,טלויזיה,nouns,0.95
370,miljardööri,חסר בית,nouns,0.6
371,menneisyys,קודם,nouns,1.9
372,tarina,ספר,nouns,1.9
373,polkupyörä,חדר שינה,nouns,0.15
374,vetäytyä,לספוג,verbs,0.55
375,lintu,תרנגולת,nouns,2.6
376,maapallo,עולם,nouns,3.95
377,pohja,פסגה,nouns,0.7
378,suoja,צריף,nouns,1.75
379,aikakauslehti,כתבה,nouns,1.65
380,vapauttaa,לתפוס,verbs,0.7
381,heijastus,תמונה,nouns,1.8
382,marihuana,עשב,nouns,2.7
383,ankara,אכזרי,adjectives,1.95
384,tyhmä,אינטליגנטי,adjectives,0.65
385,katto,קומה,nouns,1.15
386,kuppi,כף,nouns,1.35
387,pyörä,עור,nouns,0.1
388,työ,כלי,nouns,0.7
389,varastaa,לחטוף,verbs,2.45
390,sarvi,תוף,nouns,0.45
391,huonosti, בענווה,adverbs,0.3
392,sykloni,טייפון,nouns,4.7
393,kaneli,ממתק,nouns,0.8
394,ei koskaan,בנדיבות,adverbs,0.5
395,seinä,לבנה,nouns,1.25
396,elokuvateatteri,אופרה,nouns,1.75
397,kolikko,תשלום,nouns,1.2
398,näkö,תפיסה,nouns,3.05
399,suu,אף,nouns,1.4
400,pyhä,יקר ערך,adjectives,2.35
401,kaveri,ידיד,nouns,4.85
402,veri,בשר,nouns,1.15
403,ihmiset,דולר,nouns,0.05
404,muoti,סגנון,nouns,3.6
405,poika,אח,nouns,2.5
406,luonnollisesti,באופן לא טבעי,adverbs,0.65
407,hautaaminen,מוות,nouns,1.7
408,kirja,מידע,nouns,1.1
409,alkaa,החל,verbs,5.5
410,karja,פרה,nouns,3.45
411,ystävä,אמא,nouns,1.15
412,kurjuus,ייאוש,nouns,2.95
413,stressaantunut,נינוח,adjectives,0.7
414,kaaos,שיעור,nouns,0.1
415,huomio,עניין,nouns,2.85
416,mekaanikko,עובד,nouns,2.25
417,mennä,להתחיל,verbs,0.5
418,kuukausittainen,שבועי,adjectives,1.45
419,valehdella,להעמיד פנים,verbs,3.1
420,letku,מכונית,nouns,0.25
421,kasvaa,להתרחב,verbs,3.95
422,jää,מים,nouns,2.4
423,kohta,מכתב,nouns,0.85
424,hämmentää,לערבב,verbs,5.1
425,vasara,שיניים,nouns,0.0
426,uniikki,הפוך,adjectives,0.3
427,kukka,שיח,nouns,2.3
428,veli,נשמה,nouns,0.1
429,fiksu,מטומטם,adjectives,0.7
430,kouluttaja,מורה,nouns,4.2
431,olut,שמפניה,nouns,1.7
432,pakti,הסכם,nouns,5.0
433,laitteisto,מקרה,nouns,0.25
434,jättää,לפנות,verbs,1.0
435,saada selville,לנבוע,verbs,0.5
436,auringonlasku,חוט,nouns,0.0
437,helppo,גדול,adjectives,0.35
438,tuuma,מטר,nouns,1.85
439,tulla,להגיע,verbs,5.1
440,yö,יום,nouns,1.1
441,onnettomuus,ספר,nouns,0.0
442,sana,עיתון,nouns,1.2
443,havaita,לשמוע,verbs,1.9
444,vatsa,קורס,nouns,0.0
445,ihmiset,סנט,nouns,0.7
446,puhtaasti,לגמרי,adverbs,2.4
447,tiukasti,מאוד,adverbs,0.9
448,läksyt,חיבור,nouns,1.85
449,asu,כדור,nouns,0.2
450,ruoskia,להכות,verbs,3.75
451,riutta,חוף,nouns,1.5
452,luu,לסת,nouns,1.5
453,vihje,מילה,nouns,0.45
454,olkapää,גוף,nouns,1.4
455,kasvaa,להגביר,verbs,1.35
456,arkkipiispa,בישוף,nouns,3.35
457,yritys,עסק,nouns,3.2
458,infektio,חולי,nouns,2.6
459,mies,דוד,nouns,2.25
460,puro,נהר,nouns,2.3
461,infektio,מחלה,nouns,2.95
462,kyynel,עין,nouns,1.2
463,vastaanottaa,לשלוח,verbs,0.65
464,hämmentää, לנער,verbs,2.15
465,poliitikko,נשיא,nouns,2.55
466,osua,לכוון,verbs,1.0
467,tylsä,חד,adjectives,1.0
468,passiivinen,אלים,adjectives,0.4
469,kielenkäyttö,תקשורת,nouns,1.95
470,elefantti,מצפן,nouns,0.05
471,määrittää,להבהיר,verbs,2.8
472,uskomattomasti,מאוד,adverbs,0.75
473,silmä,גבה,nouns,1.05
474,oppia,לבלבל,verbs,0.3
475,tapahtua,לעשות,verbs,1.35
476,ovi,מרתף,nouns,0.65
477,kysyä,לעזור,verbs,1.1
478,kylpyhuone,חדר שינה,nouns,1.6
479,ympärileikkaus,עורלה,nouns,1.35
480,kadetraali,תקרה,nouns,0.45
481,näppäimistö,אור,nouns,0.0
482,nykyään,בעדינות,adverbs,0.0
483,normaali,משונה,adjectives,0.7
484,usein,לעיתים רחוקות,adverbs,0.75
485,kampus,אוניברסיטה,nouns,2.65
486,ontua,ללכת,verbs,1.85
487,leveä,טרי,adjectives,0.0
488,olosuhde,מצב,nouns,4.45
489,sanomalehti,מילה,nouns,1.2
490,etsiä,לצוד,verbs,2.0
491,onnellisesti,נמרצות,adverbs,0.6
492,esiintyjä,שיר,nouns,0.8
493,kiirastuli,העולם הבא,nouns,1.9
494,aihe,סיפור,nouns,1.15
495,lisko,תנין,nouns,2.95
496,säilyketölkki,מתכת,nouns,1.25
497,joki,עמק,nouns,0.95
498,kertoa,להזכיר,verbs,1.6
499,rumpu,גיטרה,nouns,1.9
500,hammas,פה,nouns,1.7
501,romaani,סופר,nouns,1.1
502,opettaja,חבר,nouns,0.75
503,sokeriruoko,קומביין,nouns,0.35
504,sauva,וילון,nouns,0.7
505,väkivaltainen,פאסיבי,adjectives,0.4
506,ystävällisesti,לא סביר,adverbs,0.0
507,asunto,רהיט,nouns,0.8
508,isä,בן,nouns,1.7
509,liiketoiminta,תאגיד,nouns,2.55
510,yksinäinen,מסכן,adjectives,0.95
511,säästää,להגן,verbs,2.05
512,liittyä,לשתף,verbs,1.2
513,lumimyrsky,גשם,nouns,1.9
514,hyytävä,שביר,adjectives,0.45
515,vaimo,אמבטיה,nouns,0.05
516,sairaala,מיטה,nouns,0.6
517,teatteri,סרט,nouns,1.3
518,jäykkä,קל,adjectives,0.45
519,säilyketölkki,אלומיניום,nouns,1.3
520,presidentti,מצלמה,nouns,0.05
521,illallinen,ארוחת בוקר,nouns,2.0
522,matemaatikko,הצגה,nouns,0.05
523,satunnaisesti,בקביעות,adverbs,0.95
524,noppa,קובייה,nouns,3.85
525,venyvä,גמיש,adjectives,5.25
526,lentokone,שדה תעופה,nouns,1.2
527,erottaa,לחבר,verbs,0.7
528,kieli,גרון,nouns,1.35
529,sade,ברד,nouns,2.8
530,energia,סוללה,nouns,1.75
531,terävä,חלק,adjectives,0.6
532,hyväksyä,להסכים,verbs,3.3
533,alkuperäisesti,באופן יצירתי,adverbs,0.8
534,ohjaamo,טייס משנה,nouns,0.95
535,makeinen,תפוח,nouns,0.75
536,ottaa osaa,להצטרף,verbs,2.55
537,sulhanen,כלה,nouns,1.4
538,hyönteinen,דבורה,nouns,2.4
539,parasetamoli,ברונכיטיס,nouns,0.75
540,tuntea,להאמין,verbs,1.5
541,kuoro,זמר,nouns,1.8
542,loukata,להטריד,verbs,1.45
543,normaalisti,באופן שגרתי,adverbs,3.85
544,syntymäpäivä,שנה,nouns,1.05
545,tehdä tutkimusmatka,להתעלם,verbs,0.25
546,kuorma-auto,חבילה,nouns,0.4
547,mestari,מנצח,nouns,3.5
548,valtava,גדול,adjectives,5.0
549,tohtori,רופא,nouns,5.15
550,hengittää,לחנוק,verbs,0.75
551,toimittaa,לקחת,verbs,0.65
552,selvästi,בוודאי,adverbs,3.35
553,leipä,קמח,nouns,1.45
554,saavuttaa,לקבל,verbs,1.3
555,sisäkatto,קתדרלה,nouns,0.45
556,olla peräisin,להתחיל,verbs,1.1
557,omena,מיץ,nouns,1.0
558,metsästää,לחפש,verbs,2.0
559,onnistua,לנסות,verbs,1.3
560,yksinkertaisesti,לכאורה,adverbs,0.45
561,usein,לפעמים,adverbs,1.3
562,osua,למשוך,verbs,0.45
563,levoton,צעיר,adjectives,0.3
564,työntää,להאשים,verbs,0.2
565,paistaa,להרתיח,verbs,1.9
566,todellisuus,הזיה,nouns,0.85
567,evätä,לקבל,verbs,0.65
568,liittyä,להתחתן,verbs,0.8
569,aineeton,רוחני,adjectives,2.1
570,keuhkoputkentulendus,פרצטמול,nouns,0.75
571,neuvoa,להמליץ,verbs,2.95
572,sekoitettu,משולב,adjectives,2.8
573,auto,אופניים,nouns,1.45
574,saapua,לעזוב,verbs,0.6
575,diplomatia,הדיינות,nouns,2.05
576,eksoottinen,נדיר,adjectives,4.65
577,samannäköinen,דומה,adjectives,3.85
578,viulu,גיטרה,nouns,1.95
579,kello,דלת,nouns,0.6
580,jättää,להגיע,verbs,0.6
581,meri,צונאמי,nouns,1.2
582,unohtaa,להתעלם,verbs,1.65
583,virkapuku,קרושה,nouns,0.15
584,symboli,קוד,nouns,2.5
585,hiljaisesti,בטבעיות,adverbs,0.35
586,huone,בניין,nouns,1.35
587,pöytä,שקיעה,nouns,0.0
588,huutaa,לצעוק,verbs,4.4
589,tappaa,להרוס,verbs,2.5
590,liiketoiminta,תעשייה,nouns,1.95
591,naida,להתארס,verbs,2.0
592,pysähtyä,להזהיר,verbs,0.55
593,luuta,אבק,nouns,1.0
594,tuomio,משפט,nouns,1.8
595,tuomita,להעיד,verbs,0.75
596,metri,אינץ',nouns,1.85
597,antaa anteeksi,למחול,verbs,5.2
598,poika,חייל,nouns,1.05
599,aviomies,אישה,nouns,1.5
600,luu,ברך,nouns,1.4
601,sotkuinen,מכוער,adjectives,0.9
602,siirrellä,לרכב,verbs,0.85
603,viisumi,גלובליזם,nouns,0.6
604,keidas,חופש,nouns,0.25
605,luoda,לעשות,verbs,4.1
606,löysä,גמיש,adjectives,1.25
607,tieto,עיתון,nouns,1.3
608,lähettää,ללכת,verbs,0.45
609,tavata,לברך,verbs,1.3
610,veli,אב,nouns,1.7
611,hurskaasti,בבגרות,adverbs,0.45
612,arkeologia,אנתרופולוגיה,nouns,1.7
613,kirjallisuus,ספר,nouns,2.15
614,henkiolento,מנורה,nouns,0.55
615,joustava,נייד,adjectives,0.85
616,ajelehtia,לזרום,verbs,3.15
617,viulu,כלי,nouns,2.1
618,seistä,לצעוד,verbs,1.0
619,vuohi,פרה,nouns,1.6
620,myrsky,הוריקן,nouns,3.55
621,loiske,צמיגות,nouns,0.55
622,valmiudet,כשירות,nouns,4.6
623,prinsessa,אי,nouns,0.3
624,pelto,שיבולת שועל,nouns,1.25
625,riisi,שעועית,nouns,1.35
626,voittaa,להצליח,verbs,2.75
627,viesti,תשלום,nouns,0.0
628,luku,ציטופלזמה,nouns,0.25
629,vaahtera,עץ,nouns,3.05
630,lentokenttä,חלק,nouns,0.1
631,paperi,עץ,nouns,1.45
632,leipoa,לטגן,verbs,2.55
633,esilämmitys,חימום מחדש,nouns,1.85
634,tieteilijä,אחות,nouns,0.45
635,julma,נחמד,adjectives,0.5
636,sähkö,תיבה,nouns,0.2
637,uskomus,דעה,nouns,3.55
638,niukasti,לחלוטין,adverbs,0.5
639,lumi,תחזית,nouns,0.9
640,kumota,להרשות,verbs,0.35
641,joskus,לעיתים קרובות,adverbs,1.3
642,totuudenmukainen,שקרן,adjectives,0.7
643,surullisesti,רגשית,adverbs,1.5
644,jakaa,לחבר,verbs,1.5
645,kesä,חורף,nouns,1.25
646,ovi,נוכחות,nouns,0.15
647,puutarha,צינור,nouns,0.85
648,kylpy,חדר,nouns,0.7
649,raapustaa,לכתוב,verbs,3.1
650,suojella,להגן,verbs,4.25
651,suorittaa loppuun,לפתור,verbs,2.45
652,jaardi,מטר,nouns,3.0
653,valmistaja,בורא,nouns,4.45
654,joustava,גדול,adjectives,0.3
655,ilmoittaa,ליידע,verbs,5.1
656,tuomari,בית משפט,nouns,1.5
657,sekoittaa,לבחוש,verbs,5.1
658,yhtälö,נוסחה,nouns,4.1
659,häntä,צוק,nouns,0.0
660,sekava,מסודר,verbs,0.7
661,korvaus,מטבע,nouns,1.2
662,juoruilu,חדשות,nouns,1.6
663,tee,לימון,nouns,0.7
664,penni,מציאה,nouns,0.35
665,huolenpito,זהירות,nouns,2.05
666,näyttö,פונולוגיה,nouns,0.25
667,epänormaalisti,בדרך כלל,adverbs,0.65
668,menestyä,להפוך,verbs,0.35
669,etsiä,למצוא,verbs,1.65
670,kestävyys,חוזק,nouns,3.35
671,löytää,לרכוש,verbs,1.15
672,optimistisesti,ייתכן,adverbs,1.15
673,ihanteellisesti,באופן מציאותי,adverbs,0.7
674,massiivisesti,בפתיחות,adverbs,0.35
675,vastuullisesti,באופן עצמאי,adverbs,1.5
676,suostutella,לרדוף,verbs,0.6
677,kiista,ביקורת,nouns,1.2
678,tiedottaa,לעדכן,verbs,5.1
679,saada,להפסיד,verbs,0.45
680,lakimies,משפטן,nouns,4.65
