ID,SWA,YUE,PoS,score
64,bowler,保齡球選手,nouns,2.06
65,patna,男孩,nouns,0.33
66,damu,血液,nouns,0.53
67,mshindi,男人,nouns,0.18
68,maradufu,難以置信,adjectives,0.05
69,lango,門,nouns,5.32
70,mkono,頸,nouns,0.43
71,paka,老鼠,nouns,0.29
72,hali ya anga,大氣層,nouns,3.08
73,uti,身體,nouns,0.48
74,biashara,工業,nouns,2.17
75,rafiki,傢伙,nouns,0.6
76,kunyonga,殺,verbs,3.74
77,mjanja,笨,adjectives,0.38
78,ufalme,帝制,nouns,0.5
79,mguu,腳,nouns,0.04
80,sketi,裙子,nouns,0.09
81,mwenye huzuni,可怕,adjectives,0.24
82,kukutana,見面,verbs,0.04
83,funga,鎖起來,nouns,1.25
84,nenokuu,首詞,nouns,0.63
85,baiskeli,自行車,nouns,0.04
86,mfanyakazi wa benki,律師,nouns,1.11
87,mgombea wa uchaguzi,獲勝者,nouns,0.96
88,neno,字典,nouns,1.21
89,mti,楓樹,nouns,3.68
90,akili,頭腦,nouns,4.88
91,kwa ukweli,真誠地,adverbs,0.23
92,chafu,脏,adjectives,0.0
93,bafu,廚房,nouns,0.28
94,mkutano,國會,nouns,2.94
95,muumbaji,作者,nouns,3.02
96,meli,船,nouns,0.04
97,ukuaji,發展,nouns,0.37
98,safari,征服,nouns,0.14
99,kuminya,擠壓,verbs,0.15
100,jabali,尾巴,nouns,0.04
101,yadi,米,nouns,2.64
102,kuchukua,離開,verbs,0.04
103,kanisa kuu,天花板,nouns,0.15
104,hitaji,需求,verbs,0.04
105,kuweka ahadi,承諾,verbs,3.97
106,kusikia,說話,verbs,0.29
107,wiski,香檳,nouns,3.62
108,bila doa,一塵不染,adjectives,5.2
109,nguo,鈕扣,nouns,0.71
110,mfanyakazi wa nyumbani,幫手,nouns,2.79
111,ushindi,戰役,nouns,0.46
112,kuokoa,花费,verbs,0.2
113,safari ya angani,航空,nouns,3.58
114,kujifunza,聽,verbs,0.28
115,sauti,聲音,nouns,3.13
116,mtafsiri,翻譯者,nouns,0.14
117,mzazi,大人,nouns,2.99
118,kibinasfi,個人,adjectives,3.51
119,karne,十年,nouns,0.75
120,kubaki,留,verbs,1.18
121,mchanga,焦躁不安,adjectives,0.15
122,kushinda,統治,verbs,0.58
123,kifundo,手臂,nouns,0.77
124,kutumia,保存,verbs,0.2
125,kitabu,文學,nouns,2.55
126,kudaka,抓住,verbs,0.3
127,kukenua,傻笑,verbs,3.38
128,sakafu,門,nouns,0.23
129,bandari,港口,nouns,0.04
130,mkia,碗,nouns,0.0
131,hela,工資,nouns,3.46
132,kaburi,墳墓,nouns,1.25
133,popo,蝙蝠,nouns,0.95
134,kufanya utafiti,無視,verbs,0.05
135,kununua,得到,verbs,0.15
136,uchumi,經濟,nouns,0.29
137,ukweli,洞察力,nouns,1.27
138,kufanya,戒除,verbs,0.1
139,farasi wa kiume,馬,nouns,3.73
140,kutamka,說話,verbs,1.19
141,kutukia,做,verbs,0.24
142,mshairi,詩人,nouns,0.24
143,supu,晚餐,nouns,0.79
144,takwimu,統計資料,nouns,0.0
145,ishara,字,nouns,0.34
146,kuku,晚餐,nouns,0.39
147,barafu,冰,nouns,3.67
148,kushawishi,追求,verbs,0.43
149,sanduku,帽子,nouns,0.05
150,kisima,泉,nouns,3.08
151,kuoga,戲法,nouns,0.04
152,mashine,機器,nouns,2.81
153,baisikeli,睡房,nouns,0.0
154,ngano,穀物,nouns,2.69
155,farasi,狗,nouns,0.93
156,mara moja,一次,adverbs,0.09
157,kushuka,降落,verbs,0.04
158,daktari,教授,nouns,0.82
159,sura,尾巴,nouns,0.04
160,safi,清潔,adjectives,5.2
161,bangi,草藥,nouns,1.44
162,nyoka,蛇,nouns,0.56
163,askofu,大主教,nouns,4.29
164,mfupa,踝,nouns,1.13
165,hakimu,判斷,verbs,0.2
166,kwa furaha,高高興興地,adverbs,0.26
167,paka,狗,nouns,0.52
168,kupunguza,減少,verbs,0.36
169,kukoroga,攪拌,verbs,4.72
170,kuanza,戒除,verbs,0.1
171,kuangalia,觀看,verbs,4.93
172,mnato,粘性,nouns,0.0
173,kupinga,拗撬,verbs,0.14
174,maji,水,nouns,0.1
175,kuweka,保護,verbs,0.38
176,kufanikiwa,嘗試,verbs,0.54
177,mrefu,狹窄,adjectives,0.42
178,mkono,骨頭,nouns,0.48
179,mwanasheria,大狀,nouns,4.72
180,jani,葉,nouns,0.96
181,mtaa,汽車,nouns,0.32
182,makusudi,特別,adverbs,1.56
183,kujipendekeza,娛樂,verbs,0.04
184,mkarimu,友善,adjectives,2.29
185,wa ghadhabu,暴力,adjectives,0.92
186,kuzurura,離開,verbs,0.44
187,enye bahati,幸運,adjectives,0.04
188,goti,手臂,nouns,0.38
189,kukandamiza,壓抑,verbs,0.48
190,kusema,說,verbs,2.23
191,kukataa,拒絕,verbs,0.0
192,usiku,章節,nouns,0.0
193,kijana,男孩子,nouns,3.08
194,mlango,兄弟會,nouns,0.0
195,divai,白蘭地,nouns,3.29
196,kusalimia,見面,verbs,0.86
197,bunduki,黎明,nouns,0.0
198,kukataa,拒絕,verbs,0.55
199,kilima cha zao moja,單一耕作,nouns,2.36
200,kalenda,日曆,nouns,0.37
201,mkono,拇指,nouns,1.57
202,mwenye kiasi,羞愧,adjectives,0.18
203,mfupa,膝蓋,nouns,0.66
204,delta,三角洲,nouns,0.72
205,mkurugenzi,董事,nouns,3.96
206,kusogea,前進,verbs,0.46
207,kuvutia,吸引,verbs,0.0
208,lindwa,安全,adjectives,0.04
209,kutuma,帶來,verbs,0.14
210,ndege,鷹,nouns,3.53
211,hasira,心情,nouns,0.33
212,boti,甲板,nouns,0.66
213,usalama,安慰,nouns,0.45
214,daraja,汽車,nouns,0.18
215,cheri,櫻桃,nouns,2.27
216,rais,污染,nouns,0.1
217,kwa uhatari,危險地,adverbs,0.09
218,kiganja,手指,nouns,1.38
219,uendeshaji,手術,nouns,0.04
220,mungu,牧師,nouns,0.57
221,kumtiririko,流,verbs,0.82
222,nyeupe,白色,adjectives,0.0
223,fleti,家具,nouns,0.23
224,kufuatilia,說服,verbs,0.43
225,kanisa,合唱團,nouns,1.07
226,kustahili,賺,verbs,0.19
227,geji,車,nouns,0.05
228,adimu,笨,adjectives,0.14
229,rushwa,貪污,nouns,1.41
230,kuhudhuria,發送,verbs,0.09
231,neno,習語,nouns,1.65
232,kumomonyoka,侵蝕,verbs,1.14
233,ulimwengu,天空,nouns,1.44
234,kushtaki,指控,verbs,0.09
235,kuunganisha,團結,verbs,0.15
236,uhalifu,違反,nouns,3.29
237,kuufa,打碎,verbs,0.5
238,amari,電纜,nouns,0.0
239,kuvaa,穿,verbs,0.05
240,kuweka,失去,verbs,0.04
241,monasteri,修道院,nouns,0.0
242,mnara,鐘,nouns,0.33
243,pua,鼻子,nouns,0.54
244,wa kale,現代,adjectives,0.14
245,ubaguzi,偏見,nouns,2.69
246,unajimu,天文,adjectives,0.18
247,hali ya hewa,雪,nouns,0.53
248,kutetea,校驗,verbs,0.24
249,mazingira,男孩,nouns,0.04
250,ubaguzi,排外主義,nouns,4.18
251,msomaji,作者,nouns,0.28
252,pinda,彎曲,adjectives,0.24
253,mpumbavu,稀罕,adjectives,0.14
254,njia za panya,狡詐,adjectives,1.97
255,bunduki,槍,nouns,0.68
256,chakula,腰部,nouns,0.0
257,kwa utu uzima,成熟,adverbs,0.34
258,kuhuzunika,搞到唔開心,verbs,0.14
259,wa kujivunia,堅強,adjectives,0.23
260,kuvunja,打碎,verbs,3.75
261,aya,頁,nouns,0.23
262,mbaya,核突,adjectives,0.96
263,njia kuu,任務,nouns,0.1
264,matofaa,果汁,nouns,0.86
265,mandharinyuma,背景,nouns,1.94
266,kufahamu,滿足,verbs,0.0
267,kwa huzuni,可悲的是,adverbs,0.39
268,theluji,風暴,nouns,0.46
269,uhakika,某些,adjectives,0.04
270,kuchumbia,結婚,verbs,2.96
271,zinki,鋅,nouns,1.64
272,ana hasira,高興,adjectives,0.28
273,kazi,任務,nouns,3.19
274,ubaguzi wa rangi,種族主義,nouns,4.18
275,bafu,睡房,nouns,0.42
276,mtaala,教學大綱,nouns,0.7
277,kupendekeza,建議,verbs,4.04
278,mkali,憤怒,adjectives,0.18
279,akiolojia,考古學,nouns,2.83
280,bendi,耐力,nouns,0.0
281,muandishi,作家,nouns,0.04
282,ya pekee,獨特,adjectives,0.39
283,akili,洞察力,nouns,2.63
284,wingu,薄霧,nouns,2.17
285,kukagua,檢查,verbs,4.58
286,treni,火車,nouns,2.27
287,chombo,老鼠,nouns,0.0
288,kukamatwa,逮捕,verbs,0.18
289,maharagwe,煙肉,nouns,0.1
290,kumeremeta,發光,verbs,3.42
291,nyimbo,征服,nouns,0.05
292,mtazamo,角度,nouns,0.28
293,mfanyakazi,相機,nouns,0.18
294,onya,警告,verbs,0.14
295,matriksi,矩陣,nouns,0.97
296,keki,巧克力,nouns,0.58
297,gari,單車,nouns,1.23
298,tarakimu,數字,nouns,0.0
299,ana shida,簡單,adjectives,0.18
300,mbwa,馬,nouns,0.93
301,simu,電話,nouns,2.19
302,kuwaza,查詢,verbs,0.29
303,kupatana,見面,verbs,0.0
304,kukubali kirahisi,輕信,adjectives,0.5
305,pambano,協議,nouns,0.14
306,juu,側面,nouns,0.47
307,gari la mzigo,貨車,nouns,0.09
308,ngumu,强硬,adjectives,2.92
309,dari,大教堂,nouns,0.15
310,pete,戒指,nouns,0.83
311,algebra,代數,nouns,0.04
312,senti,妻子,nouns,0.0
313,kiwanda,汽車,nouns,0.05
314,mkurugenzi,導演,nouns,0.64
315,kiukamilifu,完美地,adverbs,0.58
316,kwa usahihi,精確地,adverbs,0.04
317,kazi,任務,nouns,3.03
318,wa ajabu,偉大,adjectives,0.88
319,jangwa,沙漠,nouns,2.28
320,anthropolojia,人類學,nouns,2.83
321,mwili,神經,nouns,0.68
322,halisi,真實,adjectives,0.24
323,chafu,脏,adjectives,0.43
324,wa kale,新,adjectives,0.19
325,kwenda,允許,verbs,0.0
326,meza,吞,verbs,1.6
327,sunami,海嘯,nouns,1.27
328,baada ya,之後,adverbs,0.1
329,unga,麵包,nouns,0.92
330,ghali,昂貴,adjectives,0.0
331,kiajabu,奇怪地,adverbs,0.44
332,kwa unyenyekevu,謙遜地,adverbs,0.14
333,bila subira,不耐煩地,adverbs,0.23
334,hakika,態度,nouns,0.41
335,gari,廠,nouns,0.05
336,kitabu,故事,nouns,2.4
337,kukumbusha,忘記,verbs,0.1
338,mmea,植物,nouns,1.26
339,laini,柔軟,adjectives,0.0
340,sultani,蘇丹,nouns,0.04
341,kukana,拒絕,verbs,0.98
342,kukutolewa,放走,verbs,0.23
343,muongo,世紀,nouns,0.81
344,kukumbusha,賣,verbs,0.0
345,kiukomavu,成熟地,adverbs,0.14
346,kujifanya,描繪,verbs,0.24
347,kuguta,叫喊,verbs,0.14
348,mzunguko,環球航行,nouns,0.23
349,isiyotulia,年輕,adjectives,0.15
350,malimau,蘋果,nouns,0.57
351,ana hasira,極好,adjectives,0.0
352,msanii,藝術家,nouns,0.81
353,kukuinua,提高,verbs,3.31
354,hesabu,韻律,nouns,0.0
355,mwenye kiasi,靈活,adjectives,0.69
356,bisi,爆谷,nouns,0.37
357,roboti,機器人技術,nouns,0.23
358,ushindi,旅程,nouns,0.14
359,nguzo,郵件,nouns,0.0
360,kulenga,瞄准,verbs,1.1
361,kuuliza,問,verbs,0.2
362,sinema,攝影,nouns,0.64
363,mdomo,臀部,nouns,0.14
364,kusihi,問,verbs,0.7
365,tarehe,生日,nouns,1.65
366,kuua,防守,verbs,0.05
367,mkate,肉,nouns,0.28
368,eneo,角,nouns,0.29
369,kwa huzuni,傷心地,adverbs,1.02
370,kwa hasira,猛烈地,adverbs,1.21
371,kwa amani,安然,adverbs,3.79
372,limau,茶,nouns,0.24
373,kufuli,鎖,nouns,1.1
374,furaha,和平,nouns,2.06
375,nyumba,地毯,nouns,0.33
376,ulimi,肌肉,nouns,0.29
377,anga,天空,nouns,0.05
378,alphabeti,字母,nouns,0.0
379,ogopa,害怕,adjectives,3.25
380,bilionea,億萬富翁,nouns,0.04
381,akili,頭腦,nouns,0.72
382,nyumba,鎖匙,nouns,0.58
383,kutawala,贏,verbs,0.57
384,upepo mkali,大風,nouns,0.0
385,askofu,主教,nouns,0.14
386,kuamini,知道,verbs,0.63
387,ana wazimu,瘋,adjectives,5.53
388,kufyonza,擁有,verbs,0.18
389,kwa usiri,謹慎地,adverbs,0.59
390,kung'orota,打鼻鼾,verbs,0.05
391,mpangilio wa chakula,沙拉,nouns,0.53
392,kiazi,牛油,nouns,0.15
393,mkate,芝士,nouns,0.38
394,kuuza,賣,verbs,0.46
395,takriban,大致地,adverbs,0.37
396,kukubali,接受,verbs,0.1
397,takribani,大致,adverbs,0.75
398,kutania,戲弄,verbs,0.14
399,kupungua,減少,verbs,1.82
400,muhimu,重大,adjectives,0.14
401,kukana,接受,verbs,0.55
402,mpira wa miguu,足球,nouns,5.59
403,mvuke,雨,nouns,0.42
404,kupumua,嗆,verbs,0.41
405,kuthibitisha,拗撬,verbs,0.0
406,kukataa,接受,verbs,0.23
407,menejimenti,老鼠,nouns,0.04
408,mzee,新鮮,adjectives,0.05
409,mbaya,粗糙,adjectives,1.13
410,korido,過道,nouns,4.2
411,kumbuku,便條,nouns,0.33
412,panga,劍,nouns,0.0
413,uhalifu,詐騙,nouns,2.87
414,mkubwa,大規模,adjectives,3.49
415,chakula,食物,nouns,0.0
416,kuua,毀滅,verbs,1.98
417,bila siri,公開,adjectives,0.24
418,mbivu,寬,adjectives,0.0
419,kwa unyenyekevu,有禮貌地,adverbs,0.59
420,kutii,服從,verbs,0.14
421,koboa,磨坊,nouns,0.24
422,kufuata,跟隨,verbs,2.28
423,baba,母親,nouns,1.11
424,kuzidisha,加,verbs,0.71
425,lengo,赢家,nouns,0.23
426,kupokea,攞,verbs,3.63
427,kuharibu,摔碎,verbs,3.75
428,mtawala,統治者,nouns,4.53
429,panya,甲板,nouns,0.04
430,tundu,協議,nouns,0.0
431,mtalaamu wa historia,歷史學家,nouns,5.76
432,rada,雷達,nouns,0.39
433,bosi,老闆,nouns,3.96
434,zorota,平淡,adjectives,0.18
435,kujaribu,成功,verbs,0.54
436,wa kujivunia,膽大,adjectives,0.93
437,kupigana,搏鬥,verbs,0.18
438,asidi,酸,nouns,1.07
439,pombe,世紀,nouns,0.04
440,kusema,參與,verbs,0.05
441,simba,貓,nouns,1.12
442,ya kawaida,平庸,adjectives,0.44
443,mtoto,成人,nouns,0.43
444,kukanya,鼓勵,verbs,0.1
445,noti,紙幣,nouns,0.83
446,mkia,章,nouns,0.04
447,inaonekana,看來,adverbs,0.36
448,wiski,杜松子酒,nouns,3.13
449,zaidi,大多,adverbs,2.31
450,pwaya,鬆動,adjectives,1.04
451,kikapu,球,nouns,0.24
452,mgonjwa,瘋,adjectives,0.24
453,hoi,無助,adjectives,1.2
454,mkusanyaji,編譯器,nouns,0.18
455,kaka,父親,nouns,0.93
456,simu ya mkononi,手提電話,nouns,4.33
457,nyumba,公寓,nouns,4.04
458,makala,文章,nouns,1.98
459,kuku,牛扒,nouns,0.24
460,kujua,給,verbs,0.04
461,jukumu,高速公路,nouns,0.1
462,mtoto wa mfalme,島,nouns,0.0
463,majani makavu,任務,nouns,0.0
464,kuteka nyara,綁架,verbs,1.08
465,chupa,瓶子,nouns,2.13
466,kukopesha,欠,verbs,0.47
467,pistoni,活塞,nouns,1.06
468,mwishoni,終末,adverbs,0.04
469,gogo,木,nouns,4.22
470,upande,下面,nouns,0.48
471,profesa,醫生,nouns,0.82
472,mkono,身體,nouns,1.36
473,kuweka,得到,verbs,0.15
474,kutia moyo,使氣餒,verbs,0.1
475,kupaka,塗抹,verbs,0.48
476,maandishi ya siri,密碼,nouns,0.25
477,mwanachuo,學生,nouns,3.7
478,jioni,日落,nouns,4.88
479,kichezeo,玩具,nouns,0.09
480,kung'amua,察覺,verbs,0.71
481,msaidizi,副手,nouns,0.39
482,ada,工資,nouns,0.74
483,kwa kuaminika,可靠地,adverbs,0.23
484,kesi,案件,nouns,0.07
485,kutabiri,確定,verbs,0.24
486,mpumbavu,蠢,adjectives,4.83
487,kuona,知覺,nouns,1.45
488,mara kwa mara,總是,adverbs,0.39
489,rahisi,困難,adjectives,0.2
490,mchezo,戲法,nouns,0.43
491,mwanachuo,總統,nouns,0.1
492,kivuli cha mawingu,灰濛蒙,nouns,0.24
493,kushawishi,拗撬,verbs,0.38
494,dirisha,窗口,nouns,0.0
495,matofaa,陽光,nouns,0.05
496,fleti,屋,nouns,4.04
497,panya,鼠,nouns,4.31
498,kuzidisha,公式,nouns,0.0
499,nyonga,嘴唇,nouns,0.14
500,kueleza,澄清,verbs,4.12
501,ulimi,喉,nouns,1.1
502,muhimu,必須,adjectives,2.99
503,uzuri,風格,nouns,0.52
504,kuuza,提醒,verbs,0.0
505,tumbaku,香煙,nouns,4.02
506,ukingo,分界線,nouns,3.92
507,nafaka,小麥,nouns,2.69
508,jamhuri,共和國,nouns,0.18
509,kalamu,鋼筆,nouns,0.0
510,kubagua,偏見,verbs,3.13
511,kuchana,撕開,verbs,0.05
512,mchanga,海灘,nouns,0.43
513,kukuza,促進,verbs,0.46
514,kupigana,搏鬥,verbs,0.1
515,wa kuchekesha,枯燥,adjectives,0.1
516,siagi,土豆,nouns,0.15
517,umaarufu,財富,nouns,0.42
518,ugonja wa bronchitis,支氣管炎,nouns,0.15
519,mbinu,遊戲,nouns,0.43
520,hatari sana,死氣沈沈的,adverbs,0.04
521,ya kushangaza,奇怪,adjectives,0.15
522,kigomvi,暴力,adjectives,0.02
523,kutambua,說話,verbs,0.38
524,kutimiza,嘗試,verbs,0.43
525,mwalimu,老師,nouns,1.01
526,wa kigeni,奇怪,adjectives,4.73
527,mkono,指甲,nouns,0.66
528,mtu mzima,嬰兒,nouns,0.28
529,ulimi,臉頰,nouns,0.38
530,kamusi,定義,nouns,0.55
531,radiator,散熱器,nouns,0.67
532,mijusi ya kale,恐龍,nouns,0.18
533,ramani,地圖,nouns,0.18
534,msimu,冬天,nouns,2.63
535,baba,哥哥,nouns,0.93
536,majimaji,流體,nouns,0.14
537,kufifia,褪色,verbs,1.14
538,moyo,手術,nouns,0.67
539,haijafunikwa,沒有冚住的,adjectives,0.15
540,elimisha,教育,verbs,3.25
541,mwema,残酷,adjectives,0.05
542,kimsingi,基本上,adverbs,0.36
543,ishara,象徵,nouns,3.86
544,jumla,總數,nouns,0.97
545,ukubwa,深度,nouns,0.58
546,kupa,知道,verbs,0.04
547,kupa,保持,verbs,0.19
548,mjinga,蠢,adjectives,0.5
549,kushiriki,參加,verbs,4.83
550,kupeleka,攞,verbs,0.65
551,inayoingia,進來,adjectives,0.2
552,watu,槍,nouns,0.33
553,kwa utulivu,冷靜地,adverbs,2.17
554,kusoma,理解,verbs,0.77
555,bunduki,槍,nouns,0.0
556,moto,火,nouns,0.14
557,kusema,校驗,verbs,0.05
558,kupata,放,verbs,0.15
559,faragha,私人,adjectives,3.51
560,malipo,付款,nouns,0.83
561,nyasi,苔蘚,nouns,2.02
562,kutembea umbali mrefu,遠足,verbs,0.41
563,kuondoka,攞,verbs,0.04
564,viungo,種子,nouns,0.6
565,mota,引擎,nouns,4.67
566,panya,貓,nouns,0.29
567,kibanda,營地,nouns,0.43
568,kufukuza,驅逐,verbs,0.09
569,ozoni,臭氧,nouns,3.08
570,kutafuta,定位,verbs,0.38
571,mpiganaji,男人,nouns,0.95
572,kiungo,腎,nouns,2.92
573,sawa,好的,adjectives,0.44
574,kwa kawaida,一般,adverbs,0.0
575,jedwali,圖解,nouns,3.06
576,rubani,司機,nouns,3.06
577,sanduku,電梯,nouns,0.04
578,kwa utaratibu,小心地,adverbs,0.09
579,kujitahidi,努力,verbs,0.0
580,kinyagu,雕像,nouns,4.43
581,tukio,事件,nouns,0.28
582,asili,大自然,nouns,0.79
583,nyama,麵包,nouns,0.28
584,mwanakondoo,羊,nouns,3.76
585,binamu,叔叔,nouns,1.02
586,kuzungumza,承認,verbs,0.38
587,uchafuzi,總統,nouns,0.1
588,nyumba ndogo,小木屋,nouns,3.54
589,chai,檸檬,nouns,0.24
590,kujaribu,试着,verbs,0.83
591,kutambulisha,確定,verbs,0.0
592,kupendelea,傾向,verbs,3.13
593,dhoruba,雲,nouns,0.97
594,koo,舌頭,nouns,1.1
595,mphilisophia,哲學家,nouns,0.09
596,kileo,威士忌酒,nouns,4.15
597,salama,好,adjectives,0.5
598,hatari,威脅,nouns,4.29
599,oni,選擇,nouns,1.26
600,mpaka,國境,nouns,3.92
601,mwanaume,父親,nouns,2.67
602,uwazi,缺口,nouns,3.21
603,saladi,減肥,nouns,0.53
604,mara chache,不經常,adverbs,0.04
605,oasisi,綠洲,nouns,0.0
606,kuandika,匆匆地寫,verbs,3.02
607,kutembea,步行,verbs,2.42
608,sikawaida,異常地,adverbs,0.0
609,kutota,淹,verbs,0.04
610,kuadhibu,懲罰,verbs,0.14
611,ushindi,聖歌,nouns,0.05
612,strouberi,士多啤梨,nouns,2.27
613,bluu,藍色,adjectives,0.39
614,haijafichuliwa,未公開,adjectives,0.24
615,kupata,留,verbs,0.65
616,chuma,金屬,nouns,2.44
617,mlango,走廊,nouns,0.43
618,stadi ya magonjwa,病理學,nouns,2.77
619,saratani,疾病,nouns,3.62
620,alama,標誌,nouns,3.86
621,mwanamahesabu,數學家,nouns,0.04
622,farasi,小馬,nouns,3.73
623,nyumba ya sanaa,畫廊,nouns,0.0
624,mguu,手臂,nouns,0.98
625,kutoa heshima,敬禮,verbs,0.05
626,juu,下面,nouns,0.1
627,wa dhambi,壞,adjectives,1.6
628,mbaya,內疚,adjectives,1.18
629,mara nyingi,經常,adverbs,0.04
630,mpangilio wa chakula,蘋果,nouns,0.33
631,kaka,兄弟,nouns,1.57
632,kukashifu,得罪,verbs,3.38
633,mara kwa mara,稍微地,adverbs,0.75
634,utendaji,性能,nouns,0.55
635,mbao,木,nouns,0.32
636,kiundani,深度地,adverbs,0.72
637,injini,機器,nouns,2.99
638,kushukia,懷疑,verbs,0.18
639,mwanajeshi,男孩,nouns,0.65
640,dola,人,nouns,0.35
641,kionyeshi,光標,nouns,0.14
642,kubadilisha,恢復,verbs,0.51
643,kukusanya,見面,verbs,1.41
644,kuwa yumba,未定,adjectives,0.46
645,kwa ukaribu,親密,adjectives,0.05
646,ajali,大災難,nouns,2.41
647,mwandishi,作家,nouns,0.43
648,makaa,煤,nouns,3.48
649,hekima,智力,nouns,3.9
650,dada,姊妹,nouns,1.57
651,kuhukumu,判斷,verbs,1.84
652,kukataza,禁止,verbs,2.42
653,shughuli,約定,nouns,0.75
654,kuoa,訂婚,verbs,2.96
655,aya,信,nouns,0.25
656,mungu,獵物,nouns,0.0
657,safi,純,adjectives,0.14
658,tao,角度,nouns,1.65
659,bomba,雪茄,nouns,0.18
660,sheria,學校,nouns,0.23
661,dakika,秒,nouns,2.99
662,umasikini,財富,nouns,0.29
663,pombe,紅酒,nouns,3.69
664,ana kichaa,瘋狂,adjectives,5.53
665,sherehe,人們,nouns,0.56
666,nuru,明亮,nouns,2.67
667,nyooka,直,adjectives,0.24
668,arifu,通知,verbs,0.0
669,mbuni,鴕鳥,nouns,0.0
670,steki,肉,nouns,4.54
671,kileo,白蘭地酒,nouns,3.32
672,kua na hasira,好鬥,adjectives,0.05
673,hali ya hewa,雲,nouns,1.07
674,senti,人,nouns,0.14
675,kibanda,茅屋,nouns,3.54
676,kuondoka,到達,verbs,0.05
677,kunusia,發出氣味,verbs,2.13
678,mchango,募捐,nouns,0.19
679,kwa kweli,誠實地,adverbs,1.87
680,protestanti,新教,nouns,3.93
681,kukuza,加劇,verbs,0.0
682,mvivu,懶,adjectives,0.09
683,kuokoa,保留,verbs,0.04
684,kulowesha,淋透,verbs,0.04
685,kazi za mikono,手工業,nouns,0.28
686,daktari,脾氣,nouns,0.18
687,mzinga,槍,nouns,1.94
688,kupuuza,離開,verbs,0.24
689,falahi,奴隸,nouns,3.55
690,chukia,討厭,verbs,0.21
691,lenzi,相機,nouns,1.51
692,mkakati,策略家,nouns,2.56
693,pafu,肝,nouns,0.48
694,nyimbo,稻草,nouns,0.18
695,haraka,紧急,adverbs,4.26
696,kunyanyua,舉起,verbs,3.31
697,helmeti,頭盔,nouns,1.02
698,kukaba,呼吸,verbs,0.41
699,msimu wa joto,冬天,nouns,0.24
700,gogo,沖涼,nouns,0.0
701,mtazamo,自信,nouns,0.41
702,kiukakamavu,堅固地,adverbs,0.56
703,mfupa,肘,nouns,0.34
704,uwanja,田,nouns,0.41
705,jukumu,女人,nouns,0.1
706,mguu,肢體,nouns,1.83
707,kusoma,讀,verbs,0.09
708,mdogo,次要,adjectives,0.14
709,mpini,柄,nouns,0.2
710,kamera,工作者,nouns,0.18
711,upendeleo,意見,nouns,0.1
712,mshale,目標,nouns,0.85
713,feki,假,adjectives,0.24
714,kushiriki,說,verbs,0.05
715,njia,探路者,nouns,0.04
716,jumba la makumbusho,博物館,nouns,0.04
717,kazi,管理,nouns,0.62
718,kuondoka,出現,verbs,0.45
719,kupanua,成長,verbs,0.66
720,kwa ukimya,靜靜地,adverbs,0.32
721,bila masihara,重要的,adverbs,2.79
