ID,ENG,FRA,PoS,score
134,opinion,croyance,nouns,4.21
135,magnitude,taille,nouns,4.31
136,vulnerable,impuissant,adjectives,3.7
137,tough,sournois,adjectives,0.35
138,snow,avalanche,nouns,2.17
139,shy,effrayé,adjectives,1.79
140,away,à domicile,adverbs,1.05
141,dull,tranchant,adjectives,0.09
142,shy,coûteux,adjectives,0.1
143,book,accident,nouns,0.3
144,jet,avion,nouns,4.5
145,argument,critique,nouns,2.33
146,zone,surface,nouns,4.35
147,hall,allée,nouns,1.89
148,plane,jet,nouns,4.5
149,modest,honteux,adjectives,0.67
150,beauty,âge,nouns,0.67
151,lose,garder,verbs,0.75
152,weather,neige,nouns,1.51
153,argue,hurler,verbs,1.94
154,canyon,vallée,nouns,4.03
155,chapter,nuit,nouns,0.1
156,unfairly,déraisonnablement,adverbs,3.41
157,suppose,prédire,verbs,2.61
158,oddly,différemment,adverbs,1.89
159,street,voiture,nouns,1.04
160,band,longévité,nouns,0.1
161,raise,boire,verbs,0.05
162,reduce,rétrécir,verbs,4.68
163,iron,vitamine,nouns,1.97
164,air,molécule,nouns,1.27
165,belief,impression,nouns,2.55
166,arrive,assister,verbs,0.74
167,servant,esclave,nouns,3.69
168,brainstorming,télescope,nouns,0.05
169,app,galaxie,nouns,0.1
170,concurrency,cours,nouns,0.69
171,source,boîte,nouns,0.0
172,spend,sauver,verbs,0.29
173,arm,poignet,nouns,1.86
174,bet,parier,verbs,5.37
175,money,liquide,nouns,4.41
176,rabbi,enseignant,nouns,1.91
177,engine,machine,nouns,2.79
178,wisdom,intelligence,nouns,4.03
179,get,rester,verbs,0.2
180,gun,fourrure,nouns,0.05
181,unused,nouveau,adjectives,4.52
182,racism,xénophobie,nouns,4.66
183,diode,condensateur,nouns,1.56
184,sergeant,pistolet,nouns,0.82
185,information,entropie,nouns,1.29
186,analyze,évaluer,verbs,4.76
187,arrive,laisser,verbs,0.24
188,stupid,crédule,adjectives,3.29
189,shake,recueillir,verbs,0.15
190,hurt,attaque,verbs,2.52
191,illegal,légitime,adjectives,0.69
192,anxious,apeuré,adjectives,2.87
193,show,mathématicien,nouns,0.1
194,restless,jeune,adjectives,0.64
195,base,pied,nouns,2.74
196,nicely,aimablement,adverbs,5.28
197,frigid,rugueux,adjectives,0.15
198,possibly,avec optimisme,adverbs,0.39
199,girl,enfant,nouns,2.53
200,become,faire,verbs,0.82
201,comprehend,satisfaire,verbs,0.42
202,leaf,semis,nouns,1.04
203,despair,misère,nouns,4.2
204,survive,vivre,verbs,3.74
205,ordinary,banal,adjectives,5.44
206,boring,médiocre,adjectives,2.48
207,purse,sac,nouns,2.92
208,confession,déni,nouns,1.12
209,army,section,nouns,2.26
210,lazy,occupé,adjectives,0.45
211,leave,rencontrer,verbs,0.35
212,smother,brûler,verbs,0.35
213,deck,bateau,nouns,1.04
214,sad,marrant,adjectives,0.71
215,originate,découvrir,verbs,0.63
216,article,manuscrit,nouns,2.07
217,engine,piston,nouns,2.53
218,wire,corde,nouns,4.21
219,area,zone,nouns,4.35
220,average,ordinaire,adjectives,3.8
221,roughly,grossièrement,adverbs,4.82
222,door,ouverture,nouns,2.51
223,rude,agressif,adjectives,1.96
224,abnormally,normalement,adverbs,0.79
225,illegal,immoral,adjectives,2.56
226,fake,artificiel,adjectives,4.72
227,easily,approximativement,adverbs,0.25
228,guardian,mère,nouns,1.73
229,laden,lourd,adjectives,3.91
230,bowler,bowling,nouns,1.38
231,destroy,créer,verbs,0.79
232,boring,fatigué,adjectives,0.96
233,search,errer,verbs,1.49
234,come,assister,verbs,3.27
235,string,soleil couchant,nouns,0.0
236,container,wagon,nouns,0.35
237,story,livre,nouns,2.31
238,window,nuage,nouns,0.4
239,borrow,vendre,verbs,0.64
240,floor,porte,nouns,0.39
241,apparent,évident,adjectives,4.63
242,coarsely,à peu près,adverbs,4.82
243,dusk,soir,nouns,4.34
244,night,chapitre,nouns,0.1
245,flow,dériver,verbs,2.04
246,emperor,constitution,nouns,0.67
247,sunset,table,nouns,0.0
248,polite,bon,adjectives,2.69
249,ring,fiançailles,nouns,1.85
250,unanticipated,fortuit,adjectives,5.81
251,wife,baignoire,nouns,0.05
252,syntax,mot-clé,nouns,0.84
253,come,apporter,verbs,0.49
254,evict,quitter,verbs,1.79
255,spicy,bien,adjectives,0.15
256,mayor,président,nouns,2.09
257,assault,aggraver,verbs,1.07
258,investigate,examiner,verbs,3.9
259,fury,colère,nouns,5.32
260,management,souris,nouns,0.0
261,ball,panier,nouns,0.65
262,apple,soleil,nouns,0.3
263,restore,remplacer,verbs,2.83
264,finish,être diplômé,verbs,2.63
265,nervously,anxieusement,adverbs,5.5
266,sugarcane,moissonneuse-batteuse,nouns,0.3
267,motel,auberge,nouns,3.96
268,girl,bonne,nouns,0.77
269,restore,apporter,verbs,0.17
270,replace,restaurer,verbs,2.83
271,sweet,électrique,adjectives,0.2
272,strange,bizarre,adjectives,5.62
273,story,sujet,nouns,1.5
274,politician,policier,nouns,0.88
275,give,voler,verbs,0.74
276,delicately,actuellement,adverbs,0.15
277,bench,chaise,nouns,3.11
278,plenty,abondance,nouns,5.4
279,insult,offenser,verbs,4.64
280,endurance,groupe,nouns,0.1
281,world,globe,nouns,4.4
282,difficult,difficile,adjectives,5.92
283,physician,docteur,nouns,5.25
284,opponent,adversaire,nouns,5.54
285,strongly,officiellement,adverbs,0.35
286,mansion,sculpteur,nouns,0.3
287,terrific,furieux,adjectives,0.55
288,anxiously,nerveusement,adverbs,5.5
289,soldier,paix,nouns,0.7
290,forgive,accepter,verbs,1.55
291,steal,acquérir,verbs,1.64
292,container,souris,nouns,0.05
293,gamble,miser,verbs,5.37
294,moss,herbe,nouns,2.21
295,quick,rapide,adjectives,5.67
296,appliance,pot,nouns,0.39
297,sell,traiter,verbs,1.09
298,overcast,prévision,nouns,0.66
299,know,comprendre,verbs,3.2
300,ceramic,poterie,nouns,4.0
301,peacefully,calmement,adverbs,4.46
302,discover,comprendre,verbs,3.19
303,cent,personne,nouns,0.05
304,lizard,crocodile,nouns,2.7
305,friendly,généreux,adjectives,1.96
306,sell,rappeler,verbs,0.2
307,split,détacher,verbs,2.19
308,classroom,couloir,nouns,0.64
309,completely,strictement,adverbs,2.75
310,powerful,fort,adjectives,5.46
311,young,heureux,adjectives,0.39
312,bizarre,étrange,adjectives,5.62
313,light,clavier,nouns,0.1
314,door,cave,nouns,0.64
315,crime,attaque,nouns,2.04
316,disappear,trouver,verbs,0.2
317,matrix,molécule,nouns,0.24
318,guardian,adulte,nouns,2.22
319,princess,île,nouns,0.25
320,sand,pied,nouns,0.3
321,mad,content,adjectives,0.65
322,explore,ignorer,verbs,0.3
323,inn,motel,nouns,3.96
324,fifth,haut,adjectives,0.15
325,mark,évaluer,verbs,5.49
326,chair,télescope,nouns,0.2
327,grown,immature,adjectives,0.74
328,gun,portable,nouns,0.1
329,smallish,nain,adjectives,4.13
330,tsunami,mer,nouns,1.55
331,captain,marin,nouns,2.74
332,discreetly,manifestement,adverbs,0.59
333,fresh,vieux,adjectives,0.19
334,combined,mixte,adjectives,4.81
335,endurance,force,nouns,3.17
336,biology,anatomie,nouns,3.08
337,sonnet,beauté,nouns,0.52
338,discuss,expliquer,verbs,2.29
339,live,survivre,verbs,3.74
340,child,fille,nouns,2.53
341,vein,choix,nouns,0.25
342,leave,errer,verbs,0.36
343,ashamed,coupable,adjectives,3.46
344,elegance,style,nouns,4.05
345,father,homme,nouns,2.61
346,temper,médecin,nouns,0.0
347,cotton,pull-over,nouns,1.05
348,smear,propager,verbs,4.28
349,bone,dent,nouns,2.49
350,exit,suffrage,nouns,0.3
351,capacitor,diode,nouns,1.56
352,compete,terminer,verbs,0.79
353,job,tâche,nouns,4.54
354,relaxed,calme,adjectives,5.38
355,get,acquérir,verbs,5.29
356,deceive,tricher,verbs,3.55
357,release,presser,verbs,0.2
358,happily,activement,adverbs,0.41
359,value,croyance,nouns,2.81
360,predict,supposer,verbs,2.61
361,give,prêter,verbs,3.29
362,firmly,calmement,adverbs,0.81
363,topic,livre,nouns,0.77
364,wrist,bras,nouns,1.86
365,never,honnêtement,adverbs,0.05
366,shrink,réduire,verbs,4.68
367,homophone,photophone,nouns,0.29
368,fraternity,porte,nouns,0.0
369,salute,accomplir,verbs,0.1
370,combine,mélanger,verbs,4.71
371,happy,fâché,adjectives,0.74
372,monkey,campagne,nouns,0.05
373,comprehend,lire,verbs,1.44
374,sincerely,généralement,adverbs,0.2
375,homeless,milliardaire,nouns,1.02
376,buy,recevoir,verbs,1.73
377,airport,pièce,nouns,0.1
378,peppermint,gomme,nouns,0.84
379,historiographer,historien,nouns,3.92
380,confidence,attitude,nouns,2.11
381,hip,lèvre,nouns,0.59
382,insane,fou,adjectives,5.67
383,mild,moyen,adjectives,1.38
384,offender,criminel,nouns,4.54
385,meat,boeuf,nouns,2.96
386,know,donner,verbs,0.34
387,honor,estime,nouns,3.52
388,boiled,cuit,adjectives,3.22
389,boy,frère,nouns,2.2
390,apparently,évidemment,adverbs,3.54
391,circumstance,situation,nouns,5.14
392,create,détruire,verbs,0.79
393,lawyer,banquier,nouns,1.17
394,attack,criminalité,nouns,2.04
395,science,psychologie,nouns,2.0
396,bias,incliner,verbs,2.46
397,create,plonger,verbs,0.1
398,owe,entrer,verbs,0.15
399,stop,interdire,verbs,3.02
400,wallpaper,arrière-plan,nouns,3.24
401,lizard,gouvernement,nouns,0.0
402,xenophobia,racisme,nouns,4.66
403,find,chercher,verbs,2.31
404,electricity,boîtier,nouns,0.65
405,essential,nécessaire,adjectives,5.34
406,diet,pomme,nouns,0.79
407,vanish,disparaître,verbs,5.37
408,sofa,chaise,nouns,3.09
409,cloud,brume,nouns,3.2
410,flower,croyance,nouns,0.12
411,agriculture,plante,nouns,1.56
412,bike,revêtement,nouns,0.2
413,constitution,empereur,nouns,0.67
414,lift,transporter,verbs,2.54
415,sweater,coton,nouns,1.05
416,depth,magnitude,nouns,2.02
417,old,mixte,adjectives,0.05
418,club,société,nouns,4.29
419,cheap,bon marché,adjectives,5.43
420,read,mordre,verbs,0.0
421,tired,ennuyeux,adjectives,0.96
422,reject,élire,verbs,0.55
423,recommend,accepter,verbs,0.5
424,violent,passif,adjectives,0.35
425,boil,frire,verbs,2.27
426,chapter,épisode,nouns,3.36
427,lie,nier,verbs,1.82
428,tongue,joue,nouns,1.34
429,author,créateur,nouns,4.39
430,sensor,radiateur,nouns,0.61
431,aluminium,étain,nouns,2.15
432,joystick,radar,nouns,0.22
433,galaxy,astronome,nouns,1.22
434,episode,chapitre,nouns,3.36
435,football,football américain,nouns,4.87
436,decide,choisir,verbs,4.63
437,fashion,style,nouns,4.4
438,sip,engloutir,verbs,2.17
439,weather,vague,nouns,0.45
440,go,envoyer,verbs,0.6
441,dull,passionnant,adjectives,0.34
442,terrible,mal,adjectives,3.65
443,blister,illustration,nouns,0.15
444,bell,tour,nouns,0.88
445,linen,tissu,nouns,2.58
446,big,facile,adjectives,0.2
447,winner,présence,nouns,0.25
448,crime,vol,nouns,2.51
449,proclaim,annoncer,verbs,5.42
450,book,information,nouns,1.56
451,friend,copain,nouns,5.26
452,chapter,queue,nouns,0.0
453,generous,amical,adjectives,1.96
454,trip,voyage,nouns,4.52
455,cop,copilote,nouns,0.44
456,appointment,engagement,nouns,3.39
457,narrow,sale,adjectives,0.1
458,examine,enquêter,verbs,3.9
459,drip,verser,verbs,1.34
460,pot,dispositif,nouns,0.39
461,irregularly,généralement,adverbs,0.81
462,similar,ressemblant,adjectives,5.57
463,spread,étaler,verbs,4.28
464,cattle,yaourt,nouns,0.42
465,esteem,honneur,nouns,3.52
466,dinosaur,éléphant,nouns,0.96
467,secure,fastidieux,adjectives,0.24
468,parsley,muffin,nouns,0.3
469,intelligence,logique,nouns,3.29
470,room,échouage,nouns,1.11
471,chicken,dîner,nouns,1.19
472,overt,confidentiel,adjectives,0.67
473,portray,décider,verbs,0.75
474,valuable,spécial,adjectives,2.97
475,modest,humble,adjectives,5.5
476,drink,mélanger,verbs,0.4
477,think,rationaliser,verbs,3.45
478,clothes,chiffon,nouns,2.04
479,vulnerable,facile,adjectives,0.84
480,openly,massivement,adverbs,0.6
481,jar,tasse,nouns,2.25
482,translator,étranger,nouns,0.96
483,blend,combiner,verbs,4.71
484,abundance,profusion,nouns,5.4
485,stay,attendre,verbs,2.56
486,dwarfish,petit,adjectives,4.13
487,forget,retenir,verbs,0.75
488,ecosystem,économie,nouns,0.94
489,flexible,modeste,adjectives,0.2
490,car,pont,nouns,0.3
491,disk,chargeur,nouns,0.71
492,complain,apporter,verbs,0.1
493,ball,canon,nouns,0.76
494,day,matin,nouns,2.6
495,emotionally,tristement,adverbs,2.13
496,vacate,expulser,verbs,1.79
497,recommend,conseiller,verbs,5.17
498,comfortably,facilement,adverbs,2.35
499,nurse,scientifique,nouns,0.81
500,sell,emprunter,verbs,0.64
501,obvious,perceptible,adjectives,3.89
502,lion,chat,nouns,2.33
503,ride,courir,verbs,0.94
504,want,emprunter,verbs,0.5
505,avoid,rejeter,verbs,1.57
506,pathology,hématologie,nouns,2.16
507,chaos,classe,nouns,0.15
508,butter,pomme de terre,nouns,0.96
509,amorphous,informe,adjectives,4.0
510,well,connu,adjectives,0.92
511,complain,se disputer,verbs,1.9
512,bowling,lanceur,nouns,1.38
513,blame,pousser,verbs,0.2
514,reliably,raisonnablement,adverbs,3.46
515,bronchitis,paracétamol,nouns,0.79
516,violent,fâché,adjectives,1.99
517,cord,câble,nouns,4.21
518,send,assister,verbs,0.25
519,depart,séparer,verbs,1.4
520,priest,prophète,nouns,1.91
521,border,frontière,nouns,5.22
522,big,national,adjectives,0.27
523,river,mer,nouns,2.09
524,cone,tasse,nouns,0.65
525,corporation,affaire,nouns,3.39
526,massively,ouvertement,adverbs,0.6
527,trainers,médaille,nouns,0.29
528,victor,homme,nouns,0.96
529,mud,saleté,nouns,3.54
530,innocent,naïf,adjectives,5.07
531,hesitant,courroucé,adjectives,0.4
532,possess,absorber,verbs,0.69
533,colonel,dentiste,nouns,0.29
534,urgently,rapidement,adverbs,3.86
535,defend,protéger,verbs,4.75
536,caution,soin,nouns,4.54
537,seldom,jamais,adverbs,2.77
538,unhappy,furieux,adjectives,1.97
539,gun,sergent,nouns,0.82
540,breakfast,bacon,nouns,1.11
541,fact,perspicacité,nouns,1.43
542,verify,dire,verbs,0.84
543,ashamed,contrarié,adjectives,1.04
544,foot,sable,nouns,0.3
545,explain,discuter,verbs,2.29
546,spotless,propre,adjectives,5.39
547,tennis,statistique,nouns,0.25
548,ugly,brut,adjectives,1.06
549,trick,bain,nouns,0.0
550,writer,compositeur,nouns,3.44
551,magnitude,profondeur,nouns,2.02
552,editorial,nouvelle,nouns,2.66
553,bean,café,nouns,0.69
554,acquire,voler,verbs,1.64
555,apple,sauce,nouns,1.14
556,cheat,tromper,verbs,3.55
557,achieve,accomplir,verbs,5.29
558,nerve,intestin,nouns,1.29
559,reap,gagner,verbs,2.89
560,brightness,étoile,nouns,0.96
561,strength,puissance,nouns,5.18
562,obviously,localement,adverbs,0.15
563,symbol,signe,nouns,5.13
564,spoon,jus,nouns,0.5
565,raise,élever,verbs,5.22
566,equation,formule,nouns,4.34
567,decide,penser,verbs,2.12
568,blitz,attaque,nouns,2.95
569,illness,fièvre,nouns,3.02
570,pest,pesticide,nouns,1.36
571,capability,force,nouns,2.85
572,flower,longévité,nouns,0.2
573,never,rarement,adverbs,2.77
574,helper,servante,nouns,2.44
575,sword,trône,nouns,0.57
576,sheet,avion,nouns,0.05
577,depend,compter sur,verbs,4.53
578,reprimand,exiger,verbs,0.49
579,portray,prétendre,verbs,0.66
580,island,tâche,nouns,0.05
581,agree,différer,verbs,0.74
582,worker,appareil photo,nouns,0.05
583,greatly,incroyablement,adverbs,2.37
584,straight,incurvé,adjectives,0.88
585,usually,rarement,adverbs,0.96
586,helpless,nécessiteux,adjectives,2.17
587,honestly,jamais,adverbs,0.05
588,unclear,vague,adjectives,5.29
589,shapeless,amorphe,adjectives,4.0
590,assist,aider,verbs,5.46
591,genie,lampe,nouns,1.33
592,steel,alliage,nouns,2.92
593,schemer,stratège,nouns,3.2
594,slim,mince,adjectives,5.49
595,neutral,calme,adjectives,1.81
596,blanket,bois,nouns,0.15
597,flexible,grand,adjectives,0.15
598,denial,confession,nouns,1.12
599,notebook,pistolet,nouns,0.1
600,disappear,rétrécir,verbs,1.44
601,softly,bruyamment,adverbs,0.59
602,incredibly,fermement,adverbs,0.2
603,sing,flotter,verbs,0.1
604,actively,heureusement,adverbs,0.41
605,keep,chérir,verbs,1.8
606,style,élégance,nouns,4.05
607,water,sel,nouns,0.72
608,fail,compter,verbs,0.2
609,dirty,bon marché,adjectives,0.19
610,generously,gentiment,adverbs,2.89
611,television,scénariste,nouns,1.12
612,good,épicé,adjectives,0.15
613,logic,intelligence,nouns,3.29
614,print,ignorer,verbs,0.1
615,vision,perception,nouns,4.27
616,portray,notifier,verbs,0.7
617,proud,audacieux,adjectives,2.19
618,easy,simple,adjectives,5.16
619,emergency,accident,nouns,2.86
620,smell,puer,verbs,3.81
621,task,île,nouns,0.05
622,ocean,mer,nouns,4.97
623,avoid,nier,verbs,0.74
624,people,ballon,nouns,0.0
625,dentist,colonel,nouns,0.29
626,fry,cuisiner,verbs,2.85
627,fur,femme,nouns,0.25
628,locally,évidemment,adverbs,0.15
629,inquire,penser,verbs,1.1
630,kill,se battre,verbs,1.4
631,glad,heureux,adjectives,5.22
632,covered,vêtu,adjectives,3.92
633,mighty,puissant,adjectives,5.46
634,crown,clé,nouns,0.05
635,ignorant,ordinaire,adjectives,0.53
636,join,marier,verbs,3.31
637,stop,prévenir,verbs,1.08
638,parapsychology,neuropsychologie,nouns,2.26
639,camera,suite,nouns,0.15
640,outgoing,agréable,adjectives,1.17
641,meal,dîner,nouns,3.56
642,judge,témoigner,verbs,1.29
643,appear,laisser,verbs,0.14
644,semester,trimestre,nouns,4.35
645,deeply,significativement,adverbs,3.44
646,say,vérifier,verbs,0.84
647,eye,sourcil,nouns,1.82
648,spine,cou,nouns,2.12
649,statistics,tennis,nouns,0.25
650,lift,augmenter,verbs,5.22
651,mainboard,carte mère,nouns,3.15
652,accept,recommander,verbs,0.5
653,sticky,humide,adjectives,1.22
654,heater,parapluie,nouns,0.25
655,germ,pathogène,nouns,3.93
656,remark,critiquer,verbs,1.76
657,insight,fait,nouns,1.43
658,become,organiser,verbs,0.15
659,move,tisser,verbs,0.34
660,overwhelm,étouffer,verbs,3.16
661,fraternity,homme,nouns,1.25
662,obey,se comporter,verbs,2.87
663,gain,récolter,verbs,2.89
664,vocalist,employé,nouns,0.2
665,cop,shérif,nouns,3.81
666,participate,coopérer,verbs,3.29
667,hymn,paille,nouns,0.1
668,pesticide,parasite,nouns,1.36
669,iris,acétylcholine,nouns,nan
670,anger,frustration,nouns,3.85
671,impatiently,approximativement,adverbs,0.94
672,tear,porter,verbs,0.41
673,duke,république,nouns,0.34
674,bite,combattre,verbs,1.25
675,officer,adjoint,nouns,1.99
676,caliber,parapluie,nouns,0.05
677,gun,gens,nouns,0.2
678,oil,vison,nouns,0.1
679,bite,lire,verbs,0.0
680,enter,devoir,verbs,0.15
681,float,chanter,verbs,0.1
682,sculptor,château,nouns,0.3
683,car,automobile,nouns,5.85
684,save,dépenser,verbs,0.29
685,kill,défendre,verbs,0.81
686,fight,tuer,verbs,1.4
687,stomach,veine,nouns,0.65
688,sincerely,honnêtement,adverbs,5.5
689,fog,nuage,nouns,3.03
690,water,sacre,nouns,0.25
691,activity,mouvement,nouns,3.44
692,valley,dépression,nouns,1.1
693,nervous,effrayé,adjectives,2.19
694,creative,innovant,adjectives,5.07
695,room,lit,nouns,0.74
696,car,usine,nouns,0.55
697,grade,noter,verbs,5.49
698,repress,renoncer,verbs,1.34
699,scared,nerveux,adjectives,2.19
700,behaviorism,thérapie,nouns,1.57
701,agony,chagrin,nouns,2.67
702,card,pont,nouns,0.25
703,actively,exactement,adverbs,0.29
704,company,affaire,nouns,4.05
705,unnaturally,négativement,adverbs,0.77
706,reward,paiement,nouns,3.04
707,retreat,descendre,verbs,1.07
708,save,détruire,verbs,0.6
709,pretend,sembler,verbs,1.69
710,positively,probablement,adverbs,0.89
711,mink,huile,nouns,0.1
712,drawer,habit,nouns,0.85
713,independently,responsablement,adverbs,1.04
714,mixed,vieux,adjectives,0.05
715,flora,nature,nouns,3.17
716,guest,ami,nouns,2.41
717,rain,bruine,nouns,3.96
718,monitor,écran,nouns,4.78
719,president,maire,nouns,2.09
720,humiliate,conforter,verbs,0.49
721,shatter,fracasser,verbs,4.33
722,stir,mélanger,verbs,4.21
723,couple,paire,nouns,5.52
724,sound,acoustique,nouns,3.7
725,beach,rivage,nouns,4.62
726,obviously,apparemment,adverbs,3.54
727,virus,sang,nouns,1.36
728,pointer,transparent,nouns,0.1
729,infection,maladie,nouns,3.98
730,maker,créateur,nouns,5.32
731,sauce,pomme,nouns,1.14
732,accident,registre,nouns,0.3
733,frightened,enthousiasmé,adjectives,0.81
734,car,réservoir,nouns,1.01
735,once,immédiatement,adverbs,1.04
736,sign,symbole,nouns,5.13
737,spirit,dieu,nouns,2.66
738,carry,prendre,verbs,1.41
739,humbly,fièrement,adverbs,1.17
740,please,divertir,verbs,1.54
741,rear,queue,nouns,2.96
742,decide,juger,verbs,3.79
743,bishop,musulman,nouns,0.96
744,alter,changer,verbs,5.56
745,molecule,matrice,nouns,0.24
746,cent,taille,nouns,0.05
747,try,penser,verbs,0.15
748,road,voie-rapide,nouns,3.75
749,bowl,ruelle,nouns,0.04
750,give,savoir,verbs,0.34
751,mother,ami,nouns,1.46
752,collect,rassembler,verbs,5.38
753,triumph,victoire,nouns,5.46
754,arrogant,fier,adjectives,4.14
755,sword,environnement,nouns,0.05
756,hammer,dent,nouns,0.0
757,timber,rondin,nouns,3.21
758,mouse,gestion,nouns,0.0
759,typhoon,cyclone,nouns,4.58
760,flight,aviation,nouns,2.86
761,tower,cloche,nouns,0.88
762,policeman,politicien,nouns,0.88
763,poor,solitaire,adjectives,0.54
764,get,mettre,verbs,0.29
765,hole,femme,nouns,0.1
766,proudly,paisiblement,adverbs,0.6
767,ignore,imprimer,verbs,0.1
768,syllabus,examen,nouns,1.36
769,lately,récemment,adverbs,5.22
770,boss,réalisateur,nouns,2.79
771,spicy,faible,adjectives,0.1
772,patient,session,nouns,0.17
773,maid,auxiliaire,nouns,2.44
774,steal,prendre,verbs,2.69
775,brightly,légèrement,adverbs,0.88
776,join,participer,verbs,3.21
777,build,créer,verbs,4.34
778,literature,mot,nouns,1.96
779,actor,polyèdre,nouns,0.04
780,deputy,officier,nouns,1.99
781,woman,jeans,nouns,0.05
782,wait,rester,verbs,2.56
783,evacuate,déterminer,verbs,0.2
784,attack,blesser,verbs,2.52
785,astronomer,galaxie,nouns,1.22
786,great,brillant,adjectives,4.55
787,companion,copain,nouns,5.0
788,softly,fermement,adverbs,0.7
789,irritate,deviner,verbs,0.15
790,theatre,batterie,nouns,0.05
