ID,FIN,SPA,PoS,score
109,opiskelija,profesor,nouns,0.75
110,onnellisuus,suerte,nouns,0.6
111,imeä itseensä,aprender,verbs,1.85
112,illallinen,desayuno,nouns,1.15
113,kypärä,arma,nouns,0.9
114,terä,hierba,nouns,0.05
115,mitali,zapatillas,nouns,0.15
116,presidentti,alcalde,nouns,1.95
117,kastike,manzana,nouns,0.65
118,hyytävä,áspero,adjectives,0.7
119,fakta,prueba,nouns,2.75
120,poika,pareja,nouns,0.65
121,juoruilu,noticias,nouns,1.55
122,leipä,harina,nouns,1.25
123,kompastua,caerse,verbs,3.55
124,järjestäytynyt,desorganizado,verbs,0.25
125,tukehtua,matar,verbs,0.95
126,pitää,dar,verbs,0.55
127,miekka,trono,nouns,0.25
128,hevonen,potro,nouns,3.1
129,molekyyli,átomo,nouns,2.45
130,kuutio,juguete,nouns,0.65
131,kukka,violeta,nouns,2.45
132,pilvi,neblina,nouns,2.75
133,peittämätön,cubierto,adjectives,0.3
134,hattu,caja,nouns,0.2
135,myöntää,negar,verbs,0.3
136,intiimi,personal,adjectives,4.65
137,luu,cuello,nouns,0.9
138,rauha,soldado,nouns,0.25
139,paeta,escapar,verbs,5.55
140,vetää,empujar,verbs,1.2
141,naistenmies,chico,nouns,0.85
142,edellyttää,organizar,verbs,0.15
143,ilmiselvästi,aparentemente,adverbs,3.45
144,saada,perder,verbs,0.15
145,metri,yarda,nouns,2.55
146,kummallinen,raro,adjectives,5.65
147,hyötyä,recoger,verbs,0.7
148,rankka,fácil,adjectives,0.3
149,auto,manguera,nouns,0.15
150,vaara,enfermedad,nouns,0.55
151,rakentaa,crear,verbs,3.75
152,aina,dos veces,adverbs,0.45
153,suojella,cubrir,verbs,3.2
154,pohja,parte superior,nouns,0.3
155,kaava,ecuación,nouns,3.65
156,työläinen,mecánico,nouns,2.5
157,tunnustaa,hablar,verbs,1.1
158,kappeli,campanario,nouns,1.35
159,teeskennellä,retratar,verbs,0.65
160,puu,bote,nouns,0.4
161,antaa,prestar,verbs,2.05
162,voileipä,almuerzo,nouns,1.3
163,kouluttaa,aprender,verbs,1.45
164,kihlautua,casar,verbs,1.45
165,lääkäri,doctor,nouns,5.2
166,käsivarsi,vena,nouns,0.5
167,ovi,pasillo,nouns,0.6
168,länsi,norte,nouns,0.8
169,koko,truco,nouns,0.0
170,hallinto,gestión,nouns,3.3
171,palvelustyttö,niña,nouns,1.2
172,pölytys,estambre,nouns,1.1
173,analysoida,comparar,verbs,2.4
174,säästää,gastar,verbs,0.3
175,vedota,complacer,verbs,0.6
176,appelsiini,cítrico,nouns,3.55
177,alkoholi,cerveza,nouns,2.65
178,simulaatio,robótica,nouns,0.8
179,varastaa,dar,verbs,0.2
180,välittömästi,una vez,adverbs,0.55
181,suostutella,perseguir,verbs,0.55
182,elokuu,mes,nouns,2.85
183,unohtaa,perdonar,verbs,1.5
184,sinappi,semilla,nouns,1.45
185,ymmärrys,hecho,nouns,0.65
186,kiistää,dar,verbs,0.05
187,tyhmä,inteligente,adjectives,0.5
188,mennä,venir,verbs,1.1
189,mellakka,dibujo,nouns,0.05
190,lintu,halcón,nouns,2.75
191,asunto,mueble,nouns,0.55
192,polttimo,flor,nouns,0.75
193,papu,tocino,nouns,0.35
194,pariskunta,par,nouns,4.75
195,ampua ohi,hacer huelga,verbs,0.3
196,käydä sisään,deber,verbs,0.0
197,koju,caja,nouns,0.65
198,työkalu,trabajo,nouns,0.7
199,tee,limón,nouns,0.5
200,koriste,pared,nouns,0.6
201,säilyttää,mantener,verbs,4.5
202,apuraha,matrícula,nouns,0.85
203,jäykkä,fácil,adjectives,0.1
204,henkiolento,lámpara,nouns,0.6
205,avoimesti,macizamente,adverbs,0.15
206,virkkaus,uniforme,nouns,0.15
207,käyttäytyä,obedecer,verbs,2.7
208,äiti,papá,nouns,2.0
209,kahdesti,siempre,adverbs,0.45
210,jahdata,seguir,verbs,3.6
211,tulla sisään,ir,verbs,1.1
212,kurjuus,desesperación,nouns,2.65
213,hienostonut,maduro,adjectives,1.35
214,jättää,tomar,verbs,0.6
215,lehti,árbol,nouns,1.35
216,mehiläinen,insecto,nouns,2.9
217,leijona,gato,nouns,1.8
218,tuomita,acusar,verbs,3.1
219,kasvu,fertilizante,nouns,0.8
220,sallia,refutar,verbs,0.5
221,työ,administración,nouns,1.1
222,viulu,instrumento,nouns,2.85
223,korvaus,moneda,nouns,1.35
224,pysyä,esperar,verbs,2.1
225,yritys,negocio,nouns,3.8
226,rannekello,falda,nouns,0.15
227,taiteilija,obra de arte,nouns,1.25
228,armeija,legión,nouns,2.95
229,kaaos,anarquía,nouns,3.55
230,lemma,sílaba,nouns,0.7
231,ruokavalio,manzana,nouns,0.8
232,piparminttu,goma,nouns,0.5
233,dyyni,desierto,nouns,2.0
234,hyökätä kimppuun,agravar,verbs,0.7
235,varovasti,cuidadosamente,adverbs,4.05
236,kiistellä,pedir,verbs,0.65
237,helmi,dinero,nouns,0.7
238,saatana,dios,nouns,0.95
239,ennen,después,adverbs,0.25
240,ärsyttää,adivinar,verbs,0.0
241,mielettömästi,ruidosamente,adverbs,0.9
242,mäki,acantilado,nouns,1.7
243,parasetamoli,bronquitis,nouns,0.5
244,piirakka,chocolate,nouns,1.0
245,täysikasvuinen,inmaduro,adjectives,0.45
246,epävarma,necesitado,adjectives,0.55
247,romahtaa,aplastar,verbs,0.8
248,alkuperäisesti,creativamente,adverbs,1.4
249,kylpyhuone,habitación,nouns,1.65
250,viestiä,rezar,verbs,0.5
251,auto,bote,nouns,0.75
252,rohkaista,desalentar,verbs,0.35
253,miehet,fraternidad,nouns,1.3
254,liitto,combinación,nouns,3.95
255,matemaatikko,show,nouns,0.05
256,anatomia,biología,nouns,2.25
257,vasikka,toro,nouns,2.3
258,huuhdella,lavar,verbs,3.25
259,seinä,castillo,nouns,0.5
260,palkinto,pago,nouns,3.05
261,luoja,fabricante,nouns,3.7
262,vaikea,fácil,adjectives,0.3
263,puumateriaali,tronco,nouns,3.65
264,sisäkatto,catedral,nouns,0.25
265,vaikeus,esfuerzo,nouns,2.35
266,itsenäisesti,responsablemente,adverbs,1.05
267,lenkkikengät,medalla,nouns,0.15
268,hakija,solicitud,nouns,1.35
269,kauneus,soneto,nouns,0.35
270,kiistellä,probar,verbs,0.55
271,suositella,asesorar,verbs,3.95
272,galleria,abogado,nouns,0.1
273,helposti,aproximadamente,adverbs,0.25
274,ei koskaan,negativo,adjectives,1.25
275,liina,ropa,nouns,1.35
276,kynsi,cabeza,nouns,0.85
277,osallistua,reunir,verbs,1.45
278,äänioikeus,salida,nouns,0.05
279,kahdesti,múltiple,adverbs,1.35
280,hauska,aburrido,adjectives,0.25
281,sarvi,coche,nouns,0.0
282,löysä,flexible,adjectives,1.05
283,hiiri,administración,nouns,0.0
284,jättää,llegar,verbs,0.35
285,käsikirjoitus,artículo,nouns,1.9
286,tyhmä,denso,adjectives,0.2
287,metalli,estaño,nouns,1.3
288,kattila,aparato,nouns,0.25
289,toiminta,juego,nouns,1.15
290,uskomaton,ordinario,adjectives,0.3
291,kovakouraisesti,fácilmente,adverbs,0.25
292,viikonloppu,semana,nouns,1.9
293,tänään,esta noche,adverbs,2.9
294,ruusu,mariposa,nouns,0.3
295,lemmikkieläin,gato,nouns,3.15
296,ylivalta,omnipotencia,nouns,3.1
297,uskomus,opinión,nouns,2.95
298,aamiainen,cena,nouns,1.15
299,tarpeellinen,importante,adjectives,4.1
300,realistisesti,idealmente,adverbs,0.55
301,hämätä,aprender,verbs,0.1
302,juhlapäivä,calendario,nouns,1.0
303,viihdyttää,complacer,verbs,2.0
304,kaareva,derecho,adjectives,0.4
305,kaareva,torcido,adjectives,2.8
306,rangaista,obedecer,verbs,0.7
307,ei koskaan,honestamente,adverbs,0.1
308,laulu,balada,nouns,4.1
309,helppo,vulnerable,adjectives,0.65
310,kerho,marca,nouns,0.5
311,tilanne,circunstancia,nouns,5.1
312,kuvitus,ampolla,nouns,0.0
313,sotkuinen,limpiar,adjectives,0.65
314,tuhlata,preocuparse,verbs,0.1
315,nõyrästi,orgullosamente,adverbs,0.25
316,tietää,entender,verbs,3.25
317,lahja,escritor,nouns,0.05
318,vastaanottaa,lograr,verbs,0.5
319,prinsessa,galleta,nouns,0.0
320,lehmä,ganado,nouns,2.8
321,tykkivene,costa,nouns,0.5
322,kuukausi,agosto,nouns,2.85
323,televisio,cine,nouns,1.55
324,laite,maceta,nouns,0.25
325,vatsa,habitación,nouns,0.1
326,halveksia,cargar,verbs,0.3
327,kuvitella,crear,verbs,1.15
328,kunnolla,cuidadosamente,adverbs,4.35
329,elin,hígado,nouns,2.3
330,käsittää,saber,verbs,3.2
331,maksu,pago,nouns,3.95
332,virkapuku,tejer,nouns,0.15
333,ulkomaalainen,traductor,nouns,0.25
334,haitta,dolor,nouns,2.0
335,maailma,globo,nouns,3.55
336,kysyä,ayudar,verbs,0.45
337,tuoli,cama,nouns,1.3
338,huutaa,discutir,verbs,1.0
339,tuomioistuin,juez,nouns,1.1
340,vilpittömästi,generalmente,adverbs,0.4
341,pujotella,movimiento,verbs,0.7
342,kääntäjä,extranjero,nouns,0.25
343,tuntea,creer,verbs,1.85
344,kertoa,recordar,verbs,1.15
345,satunnaisesti,regularmente,adverbs,1.05
346,nauttia,entretener,verbs,1.15
347,vartalo,pecho,nouns,1.7
348,vyöhyke,área,nouns,4.9
349,tuomita,testificar,verbs,0.7
350,vartalo,espina,nouns,0.9
351,piispa,arzobispo,nouns,3.3
352,karata,encontrar,verbs,0.35
353,huomattava,obvio,adjectives,2.65
354,auto,calle,nouns,0.35
355,lähettää,traer,verbs,0.9
356,tärkeä,necesario,adjectives,4.1
357,rauhallisesti,pacíficamente,adverbs,3.95
358,levitä,manchar,verbs,0.6
359,kuppi,cono,nouns,0.65
360,kävellä,cojear,verbs,1.55
361,ilmiselvästi,discretamente,adverbs,0.3
362,vaatteet,botón,nouns,1.4
363,samankaltainen,igual,adjectives,3.7
364,kruunajaiset,agua,nouns,0.0
365,tehtävä,cañita,nouns,0.05
366,valtava,tonto,adjectives,0.0
367,köyhyys,riqueza,nouns,0.4
368,vaatteet,capa,nouns,1.85
369,terapia,behaviorismo,nouns,0.8
370,rikos,fraude,nouns,3.3
371,minuutti,segundo,nouns,2.35
372,massiivisesti,abiertamente,adverbs,0.15
373,ruoho,espada,nouns,0.05
374,sulkea,vomitar,verbs,0.0
375,tuleva,saliente,adjectives,0.25
376,saada selville,darse cuenta de,verbs,4.1
377,virka,velocidad,nouns,0.2
378,tähtitieteellinen,masivo,adjectives,1.65
379,mies,tío,nouns,2.65
380,pullo,envase,nouns,2.3
381,välttää,ignorar,verbs,3.4
382,turvallisesti,felizmente,adverbs,0.8
383,seremonia,celebracion,nouns,4.2
384,maatalous,planta,nouns,0.85
385,muslimi,obispo,nouns,0.35
386,veri,carne,nouns,0.75
387,vartalo,estómago,nouns,1.85
388,ikkuna,nube,nouns,0.35
389,kiistellä,convencer,verbs,0.95
390,ovi,campana,nouns,0.2
391,rutiininomaisesti,normalmente,adverbs,3.8
392,alue,zona,nouns,4.9
393,sänky,hospital,nouns,0.45
394,kevyesti,brillantemente,adverbs,0.6
395,suuri,flexible,adjectives,0.2
396,isä,hija,nouns,0.8
397,uutiset,editorial,nouns,1.6
398,leidi,hidalgo,nouns,0.95
399,kaupunki,ciudad,nouns,3.3
400,ruoho,raíz,nouns,1.1
401,jakaa,unir,verbs,0.4
402,surullinen,orgulloso,adjectives,0.05
403,nauttia,odiar,verbs,0.2
404,uskomus,concepto,nouns,1.6
405,avuton,necesitado,adjectives,0.95
406,sänky,habitación,nouns,1.1
407,vuosi,siglo,nouns,1.6
408,sähköinen,dulce,adjectives,0.0
409,psykologia,ciencia,nouns,1.45
410,pääasiassa,mayormente,adverbs,4.95
411,tähti,asteroide,nouns,2.2
412,sivuuttaa,explorar,verbs,0.1
413,muistuttaa,vender,verbs,0.0
414,tylsä,agudo,adjectives,0.2
415,vahvuus,capacidad,nouns,2.5
416,säästää,proteger,verbs,2.15
417,saada kiinni,capturar,verbs,3.1
418,ruma,crudo,adjectives,0.5
419,keskustelu,altitud,nouns,0.35
420,dominoida,ganar,verbs,1.8
421,työläinen,cámara,nouns,0.1
422,surullisesti,locamente,adverbs,0.5
423,älykkyys,sabiduría,nouns,3.8
424,lintu,pavo,nouns,2.7
425,tuoli,taburete,nouns,3.75
426,tulostaa,ignorar,verbs,0.0
427,laitteisto,caso,nouns,0.3
428,avain,candado,nouns,1.65
429,voittaja,candidato,nouns,1.4
430,torjua,retirar,verbs,1.35
431,illallinen,comida,nouns,3.6
432,siristää silmiään,deslumbrar,verbs,0.8
433,pormestari,presidente,nouns,1.95
434,loistaa,irradiar,verbs,4.55
435,alue,esquina,nouns,0.8
436,päivämäärä,cumpleaños,nouns,1.75
437,tuhota,hacer,verbs,0.3
438,mieletön,alegre,adjectives,0.15
439,purra,luchar,verbs,0.8
440,oppilas,estudiante,nouns,5.35
441,moottori,maquinaria,nouns,1.4
442,rannikkoalue,barco de cañón,nouns,0.5
443,kaapeli,capilla,nouns,0.0
444,surullisesti,emocionalmente,adverbs,1.9
445,mukava,saliente,adjectives,0.6
446,rangaista,enseñar,verbs,0.6
447,lusikka,vaso,nouns,1.2
448,linja-auto,vehículo,nouns,2.75
449,viski,ginebra,nouns,1.35
450,muodostaa,hacer,verbs,3.0
451,maksaa,tratar,verbs,0.1
452,haukka,águila,nouns,2.55
453,maksu,salario,nouns,1.9
454,luu,mandíbula,nouns,1.25
455,häpeissään oleva,trastornado,adjectives,0.65
456,pehmeä,violento,adjectives,0.2
457,poika,soldado,nouns,0.8
458,hiili,átomo,nouns,1.35
459,kirjailija,compositor,nouns,1.9
460,halailla,abrazo,verbs,4.65
461,kadetraali,techo,nouns,0.25
462,pallo,raqueta,nouns,0.95
463,antaa,saber,verbs,0.4
464,vauva,adulto,nouns,0.7
465,vene,cubierta,nouns,0.75
466,pikainen,ágil,adjectives,4.05
467,fantasia,realidad,nouns,0.35
468,näyttelijä,actriz,nouns,4.4
469,iskeä,perder,verbs,0.3
470,jauho,pan,nouns,1.25
471,varmasti,claramente,adverbs,3.1
472,planeetta,luna,nouns,1.75
473,valloitus,batalla,nouns,2.0
474,pöytä,puesta de sol,nouns,0.05
475,tuomita,decidir,verbs,2.25
476,sakkaroosi,carbohidrato,nouns,2.35
477,toimeksianto,nota,nouns,0.85
478,valopuhelin,homófono,nouns,0.4
479,hyväksyä,rechazar,verbs,0.3
480,lamppu,genio,nouns,0.6
481,kuolema,entierro,nouns,1.35
482,myöntyä,discrepar,verbs,0.6
483,yleensä,irregularmente,adverbs,0.55
484,kampus,universidad,nouns,3.3
485,kylpy,habitación,nouns,0.4
486,ylimielinen,orgulloso,adjectives,2.9
487,aihe,historia,nouns,0.85
488,helppo,sencillo,adjectives,4.55
489,sana,periódico,nouns,1.0
490,tuskin koskaan,a menudo,adverbs,0.6
491,tähdätä,golpear,verbs,0.95
492,kadenssi,ritmo,nouns,2.05
493,tietokone,disco,nouns,0.85
494,ilmailuelektroniikka,aeronáutica,nouns,2.3
495,silta,coche,nouns,0.25
496,kissa,mascota,nouns,3.15
497,piirtää,crear,verbs,1.65
498,sauva,cortina,nouns,0.2
499,nappi,ropa,nouns,1.4
500,päättää,concluir,verbs,3.15
501,omistaa,tomar,verbs,1.75
502,tieto,entropía,nouns,0.5
503,ystävä,chico,nouns,1.35
504,koju,teléfono,nouns,0.6
505,varallisuus,pobreza,nouns,0.4
506,antaa,robar,verbs,0.2
507,muistutus,diferencia,nouns,0.35
508,hankkia,recibir,verbs,2.65
509,vilpittömästi,honestamente,adverbs,4.9
510,johtokunta,administración,nouns,3.3
511,kylki,parte superior,nouns,0.85
512,positiivisesti,probablemente,adverbs,0.85
513,suojella,salvar,verbs,2.15
514,kuppi,cuchara,nouns,1.2
515,yksinkertainen,difícil,adjectives,0.3
516,todella,perfectamente,adverbs,1.6
517,voimakas tuuli,manta,nouns,0.05
518,joskus,seguramente,adverbs,0.6
519,arkkipiispa,obispo,nouns,3.3
520,kritisoida,odiar,verbs,1.0
521,totuudenmukainen,deshonesto,adjectives,0.25
522,myöntyä,aceptar,verbs,3.85
523,hyväksyä,perdonar,verbs,2.05
524,säilyketölkki,aluminio,nouns,0.9
525,lehti,planta de semilla,nouns,1.35
526,lumi,avalancha,nouns,1.65
527,karja,vaca,nouns,2.8
528,nauraa,llorar,verbs,0.3
529,paketti,camión,nouns,0.35
530,pyyhkiä,deteriorarse,verbs,0.25
531,terminaalisesti,principalmente,adverbs,0.35
532,lähettää,recibir,verbs,0.5
533,sattua,enfadar,verbs,1.0
534,vihainen,violento,adjectives,1.95
535,iso,nacional,adjectives,0.25
536,helppo,difícil,adjectives,0.3
537,myrsky,huracán,nouns,3.3
538,suutin,fluido,nouns,0.25
539,itsevarmasti,secretamente,adverbs,0.6
540,terävä,aburrido,adjectives,0.2
541,auto,tanque,nouns,0.75
542,perustuslaki,emperador,nouns,0.75
543,poika,hijo,nouns,3.6
544,tekijöihinjako,descomposición,nouns,0.8
545,kirkkaasti,muy,adverbs,0.55
546,retki,ruta,nouns,4.05
547,krokotiili,lagartija,nouns,2.85
548,kysyä,rezar,verbs,1.25
549,matkia,retratar,verbs,1.5
550,tunne,pasión,nouns,3.0
551,rotta,ratón,nouns,3.7
552,motelli,posada,nouns,3.65
553,kerho,sociedad,nouns,3.35
554,matriisi,molécula,nouns,0.2
555,odottaa,pausa,verbs,2.3
556,poissaolo,presencia,nouns,0.35
557,luoda,destruir,verbs,0.25
558,kypsennetty,hervido,adjectives,4.1
559,patologia,hematología,nouns,1.7
560,sihteeri,mujer,nouns,0.6
561,rytmi,poema,nouns,0.8
562,kohtelias,apropiado,adjectives,2.45
563,välttää,rechazar,verbs,2.65
564,oppia,confundir,verbs,0.1
565,puutavara,tronco,nouns,3.5
566,kärpänen,hormiga,nouns,1.05
567,koditon,multimillonario,nouns,0.25
568,asunto,casa,nouns,3.8
569,voimistelu,esgrima,nouns,2.15
570,työntekijä,empleador,nouns,1.25
571,sekoitettu,antiguo,adjectives,0.0
572,kuume,gripe,nouns,2.45
573,sinkki,oro,nouns,1.4
574,epärehellinen,veraz,adjectives,0.25
575,matkia,capturar,verbs,0.3
576,lihas,brazo,nouns,1.3
577,viski,alcohol,nouns,2.25
578,älykäs,listo,adjectives,5.45
579,esilämmitys,recalentamiento,nouns,1.35
580,rakentaa,añadir,verbs,0.95
581,pidellä,abrazar,verbs,1.35
582,tavallinen,increíble,adjectives,0.3
583,nöyrä,modesto,adjectives,4.35
584,ministeri,rabino,nouns,0.8
585,moottoritie,coche,nouns,1.0
586,pää,hombro,nouns,1.2
587,tukahduttaa,quemar,verbs,0.3
588,sivuuttaa,pedir,verbs,0.1
589,papu,café,nouns,0.4
590,turhauttaa,desalentar,verbs,3.1
591,yksityinen,personal,adjectives,4.15
592,huonosti,humildemente,adverbs,0.15
593,vanhempi,padre,nouns,4.1
594,arvioida,aprender,verbs,0.9
595,demokratia,monarquía,nouns,1.45
596,lika,barro,nouns,2.35
597,tulla,hacer,verbs,0.2
598,kiista,conversación,nouns,2.15
599,hyväksyä,negar,verbs,0.25
600,maatalous,monocultivo,nouns,0.8
601,metri,pulgada,nouns,1.55
602,pysähtyä,controlar,verbs,0.65
603,sallia,ir,verbs,0.45
604,kaava,tronco,nouns,0.1
605,piispa,musulmán,nouns,0.35
606,valmistaa,ganar,verbs,0.35
607,valtava,grande,adjectives,5.0
608,hukkua ,salvar,verbs,0.2
609,persilja,mollete,nouns,0.45
610,veitsi,pistola,nouns,2.3
611,jättää,esperar,verbs,0.35
612,näyttö,fonología,nouns,0.15
613,kiireellisesti,con rapidez,adverbs,4.6
614,häntä,capítulo,nouns,0.05
615,vanha,mezclado,adjectives,0.0
616,lepakko,vampiro,nouns,1.7
617,kiista,acuerdo,nouns,0.8
618,ihmiset,partido,nouns,0.7
619,peitto,vendaval,nouns,0.05
620,pitkä,corto,adjectives,0.3
621,kipu,daño,nouns,2.0
622,nainen,tarea,nouns,0.1
623,rakko,ilustración,nouns,0.0
624,hävitä,encoger,verbs,1.0
625,vapista,congelar,verbs,0.8
626,katto,ventana,nouns,0.65
627,seutu,zona,nouns,4.25
628,linja-auto,taxi,nouns,1.85
629,raivostunut,vacilante,adjectives,0.75
630,menestyä,volverse,verbs,0.3
631,munuainen,órgano,nouns,2.85
632,vaatia,reñir,verbs,0.4
633,koe,silaba,nouns,0.45
634,lammas,ganado,nouns,2.6
635,elokuva,teatro,nouns,0.85
636,ortodontti,médico,nouns,2.1
637,surullinen,gracioso,adjectives,0.25
638,galaksi,aplicación,nouns,0.1
639,varmasti,definitivamente,adverbs,3.0
640,fiktio,biografía,nouns,0.85
641,yhtenäisesti,a veces,adverbs,0.15
642,laskeutua,retirarse,verbs,0.95
643,ohjaamo,copiloto,nouns,0.6
644,kotka,halcón,nouns,2.55
645,kellua,cantar,verbs,0.0
646,lentokone,helicóptero,nouns,1.4
647,muistikirja,ordenador portátil,nouns,0.45
648,sana,diccionario,nouns,1.25
649,säilytysastia,ratón,nouns,0.05
650,naida,involucrarse,verbs,1.45
651,mehu,manzana,nouns,0.85
652,torni,campana,nouns,1.1
653,saapua,salir,verbs,0.35
654,lattia,puerta,nouns,0.9
655,kouluttaa,enseñar,verbs,4.65
656,mahtava,horrible,adjectives,0.3
657,venyvä,flexible,adjectives,4.55
658,ihmiset,dólar,nouns,0.05
659,sentti,esposa,nouns,0.15
660,poika,niño,nouns,3.45
661,olut,champán,nouns,1.25
662,kummallinen,ordinario,adjectives,0.3
663,käärme,lagartija,nouns,1.8
664,pysähtyä,advertir,verbs,0.45
665,suora,curvo,adjectives,0.4
666,veljeskunta,béisbol,nouns,0.15
667,nokkela,tonto,adjectives,0.3
668,melu,raqueta,nouns,0.15
669,riutta,playa,nouns,1.3
670,veikata,jugar,verbs,2.9
671,puutteenalainen,inseguro,adjectives,0.55
672,veduri,motor,nouns,1.4
673,säästäjä,ahorro,nouns,2.1
674,epätoivo,miseria,nouns,2.65
675,iso,pesado,adjectives,1.0
676,kamera,obrero,nouns,0.1
677,eksoottinen,raro,adjectives,4.35
678,ravistaa,remover,verbs,2.4
679,merkki,club,nouns,0.5
680,suuresti,increíblemente,adverbs,0.85
681,amorfinen,informe,adjectives,2.85
682,laiska,ocupado,adjectives,0.3
683,runoilija,periodista,nouns,0.9
684,mielettömästi,tristemente,adverbs,0.5
685,tahrata,untar,verbs,0.6
686,kirkko,coro,nouns,0.9
687,rukoilla,comunicar,verbs,0.5
688,tuli,apocalipsis,nouns,0.55
689,radikaali,violento,adjectives,1.9
690,lisätä,dividir,verbs,0.6
691,julma,duro,adjectives,2.75
692,pala,aeropuerto,nouns,0.0
693,tuska,dolor,nouns,3.5
694,lävistää,pellizcar,verbs,0.7
695,kutistua,desaparecer,verbs,1.0
696,pehmeästi,firmemente,adverbs,0.35
697,toimittaa,aceptar,verbs,0.2
698,valkuaisaine,asa,nouns,0.15
699,kielenkäyttö,comunicación,nouns,1.95
700,arvovalta,riqueza,nouns,0.65
701,ekseema,dermatitis,nouns,2.9
702,tukija,grillo,nouns,0.0
703,petos,corrupción,nouns,3.45
704,päättää,escoger,verbs,3.4
705,magma,volcán,nouns,1.6
706,hissi,caja,nouns,0.15
707,levoton,joven,adjectives,0.2
708,kantaa,entregar,verbs,2.2
709,naaraslintu,pavo,nouns,1.4
710,mieli,neurosis,nouns,1.1
711,sää,ola,nouns,0.4
