ID,ENG,YUE,PoS,score
428,polyhedron,演員,nouns,0.32
429,often,不經常,adverbs,0.16
430,keep,保留,verbs,4.38
431,hit,陷害,nouns,0.14
432,smallish,矬小,adjectives,3.75
433,broad,大,adjectives,2.77
434,lemon,茶,nouns,0.18
435,gun,毛,nouns,0.04
436,turkey,母雞,nouns,1.67
437,dull,刺激,adjectives,0.22
438,bath,原木,nouns,0.0
439,genie,燈,nouns,0.47
440,germ,病原,nouns,3.53
441,clothes,抽屜,nouns,0.38
442,put,給,verbs,0.47
443,absorb,擁有,verbs,0.33
444,definition,字典,nouns,0.74
445,north,西方,nouns,0.55
446,poet,記者,nouns,0.35
447,fence,跳躍,nouns,0.0
448,iron,維他命,nouns,0.75
449,ask,幫忙,verbs,0.15
450,therapy,行動主義,nouns,0.42
451,army,軍團,nouns,3.25
452,tremor,地震,nouns,3.28
453,argue,同意,verbs,0.04
454,other,相反,adjectives,0.36
455,bible,書,nouns,1.18
456,personal,私人,adjectives,3.87
457,lie,否認,verbs,0.8
458,engagement,戒指,nouns,1.29
459,expensive,害羞,adjectives,0.0
460,elastic,靈活的,adjectives,4.01
461,please,求情,verbs,0.54
462,strongly,正式,adverbs,0.47
463,formula,日誌,nouns,0.07
464,neat,乾淨,adjectives,3.83
465,race,週末,nouns,0.0
466,devil,天神,nouns,0.32
467,smash,撞,verbs,2.73
468,spine,身體,nouns,0.47
469,generously,從未,adverbs,0.04
470,room,單身牢房,nouns,0.99
471,analyze,比較,verbs,2.95
472,despair,苦難,nouns,4.17
473,story,書,nouns,2.31
474,mayor,首領,nouns,2.29
475,globe,世界,nouns,4.04
476,wave,天氣,nouns,0.04
477,passive,暴力,adjectives,0.04
478,throat,鼻子,nouns,0.37
479,bed,房間,nouns,0.37
480,candy,蘋果,nouns,0.13
481,wife,沖涼,nouns,0.04
482,movable,靈活,adjectives,2.91
483,squint,怒視,verbs,0.59
484,rely,依賴,verbs,4.89
485,absorb,退出,verbs,0.04
486,motor,船,nouns,0.4
487,orchestra,樂隊,nouns,3.21
488,people,人口,nouns,2.77
489,dull,沈悶,adjectives,4.48
490,mood,情感,nouns,3.25
491,wall,裝飾,nouns,0.33
492,bridge,卡,nouns,0.0
493,mix,攪拌,verbs,4.04
494,obey,懲罰,verbs,0.14
495,suggest,提議,verbs,4.59
496,sincerely,誠實地,adverbs,4.63
497,article,雜誌,nouns,2.18
498,mainly,末期,adverbs,0.08
499,new,沒用過,adjectives,4.5
500,snowboard,滑雪,nouns,1.02
501,sauce,蘋果,nouns,0.56
502,violent,被動,adjectives,0.04
503,national,大,adjectives,0.12
504,protect,防御,verbs,3.73
505,capacitor,二極管,nouns,1.84
506,bag,錢包,nouns,2.94
507,hard,困難,adjectives,5.7
508,absence,在场,nouns,0.21
509,globalism,簽證,nouns,0.37
510,sequel,相機,nouns,0.04
511,book,聖經,nouns,1.18
512,flag,旗幟學,nouns,1.07
513,demand,拗撬,verbs,0.23
514,myth,諷刺,nouns,0.35
515,sucrose,醣類,nouns,1.97
516,attack,犯罪,nouns,1.3
517,whisper,說話,verbs,1.36
518,campus,大學,nouns,2.18
519,great,精彩,adjectives,4.04
520,vinegar,沙拉,nouns,0.27
521,live,生存,verbs,3.36
522,accuse,責怪,verbs,3.49
523,airport,片,nouns,0.0
524,supremacy,全能,nouns,0.93
525,football,英式足球,nouns,5.36
526,artist,藝術品,nouns,0.79
527,reality,幻想,nouns,0.55
528,sea,三角洲,nouns,0.59
529,partner,男孩,nouns,0.35
530,theft,犯罪,nouns,2.84
531,thread,紗,nouns,2.87
532,mundane,普通,adjectives,5.04
533,wealth,貧困,nouns,0.25
534,rabbi,老師,nouns,1.46
535,simulation,機器人技術,nouns,0.72
536,leave,攞,verbs,0.08
537,sheep,牛,nouns,1.73
538,tightly,難以置信地,adverbs,0.14
539,push,拉,verbs,0.18
540,boat,錨,nouns,0.47
541,build,創建,verbs,3.75
542,stupid,笨,adjectives,5.32
543,innovative,有創意,adjectives,4.54
544,person,動物,nouns,0.49
545,acetaminophen,支氣管炎,nouns,0.04
546,cry,大笑,verbs,0.08
547,profession,學院,nouns,0.23
548,page,段,nouns,0.57
549,bridge,汽車,nouns,0.14
550,muscle,舌頭,nouns,0.95
551,bacon,肉,nouns,2.12
552,engine,活塞,nouns,1.29
553,snake,蜥蜴,nouns,1.1
554,money,珍珠,nouns,0.34
555,cellar,門,nouns,0.13
556,bring,恢復,verbs,0.26
557,exam,教學大綱,nouns,1.01
558,decline,拒絕,verbs,4.5
559,scared,不肯定,adjectives,0.7
560,bottom,側面,nouns,0.37
561,rain,冰雹,nouns,1.33
562,ancient,現代,adjectives,0.13
563,brightly,輕輕地,adverbs,0.71
564,long,狹窄,adjectives,0.47
565,circumstance,情況,nouns,5.27
566,television,電影,nouns,2.1
567,gathering,大型會議,nouns,3.47
568,boat,電動機,nouns,0.4
569,know,給,verbs,0.08
570,bath,房間,nouns,0.35
571,infection,感染,nouns,3.28
572,independently,負責可靠地,adverbs,0.98
573,shoulder,頭,nouns,0.74
574,volleyball,球,nouns,2.44
575,band,酒,nouns,0.0
576,large,柔韌,adjectives,0.04
577,brother,姊妹,nouns,1.57
578,crucial,重要,adjectives,4.63
579,decoration,牆壁,nouns,0.33
580,microscope,生物學家,nouns,0.44
581,destroy,建造,verbs,0.27
582,helium,空氣,nouns,0.98
583,carefully,危險地,adverbs,0.09
584,performance,客串角色,nouns,0.69
585,imitate,捕獲,verbs,0.12
586,book,資料,nouns,0.96
587,melody,節奏,nouns,2.56
588,legal,允許,adjectives,3.88
589,cloud,風暴,nouns,1.09
590,well,聞名,adjectives,0.77
591,bench,椅子,nouns,2.99
592,beef,肉,nouns,2.79
593,hard,密度大,adjectives,2.73
594,terrific,瘋狂,adjectives,0.0
595,achieve,完成,verbs,4.73
596,explore,無視,verbs,0.0
597,boy,米飯,nouns,0.04
598,timber,原木,nouns,2.99
599,cigar,煙鬥,nouns,0.82
600,go,進入,verbs,1.21
601,year,生日,nouns,0.73
602,car,街,nouns,0.71
603,send,帶來,verbs,0.13
604,ball,排球,nouns,2.44
605,tail,碗,nouns,0.0
606,critical,無禮貌,adjectives,0.74
607,bean,米飯,nouns,0.66
608,happy,瘋狂,adjectives,0.5
609,cliff,小山,nouns,0.52
610,room,沖涼,nouns,0.35
611,lawyer,畫廊,nouns,0.0
612,dumb,聰明,adjectives,0.08
613,acquire,得到,verbs,4.86
614,museum,薄荷,nouns,0.08
615,aunt,侄子,nouns,0.7
616,monster,惡魔,nouns,3.59
617,accomplish,達到,verbs,4.73
618,inquire,搜索,verbs,2.98
619,rescue,拯救,verbs,5.14
620,milk,果汁,nouns,0.58
621,information,熵,nouns,0.47
622,brain,神經,nouns,0.82
623,mad,高興,adjectives,0.28
624,plant,農業,nouns,1.11
625,easily,大致地,adverbs,0.32
626,launch,发送,verbs,2.0
627,subtly,大聲地,adverbs,0.08
628,mosaic,教堂,nouns,0.19
629,young,開心,adjectives,0.08
630,leave,徘徊,verbs,0.21
631,freeze,發抖,verbs,0.54
632,peppermint,口香糖,nouns,0.52
633,kill,防守,verbs,0.15
634,modern,古老,adjectives,0.13
635,freedom,綠洲,nouns,0.15
636,biography,小說,nouns,1.17
637,semester,學期,nouns,4.53
638,girl,小孩,nouns,2.15
639,messy,井然有序,adjectives,0.13
640,honey,乳製品,nouns,0.29
641,sheep,羊肉,nouns,4.13
642,princess,餅乾,nouns,0.0
643,pretend,描繪,verbs,0.51
644,announce,宣布,verbs,4.75
645,page,詞,nouns,0.55
646,strange,普通,adjectives,0.08
647,marrow,血液,nouns,0.63
648,patient,複診,nouns,0.4
649,renounce,壓抑,verbs,0.48
650,essay,功課,nouns,2.17
651,marginally,大致,adverbs,0.96
652,base,酸,nouns,1.09
653,attention,意識,nouns,3.37
654,fundraising,發展,nouns,0.13
655,affix,後綴,nouns,0.95
656,holiday,日曆,nouns,0.43
657,wood,毯,nouns,0.0
658,circumnavigation,行李,nouns,0.3
659,homeless,億萬富翁,nouns,0.32
660,haze,雲,nouns,2.58
661,father,女兒,nouns,0.4
662,needy,無助,adjectives,1.61
663,catastrophe,意外,nouns,3.03
664,guitar,鱒魚,nouns,0.0
665,mutant,社會生物學,nouns,0.14
666,insight,事實,nouns,1.25
667,cousin,叔叔,nouns,0.93
668,carriage,汽車,nouns,1.86
669,ox,馬,nouns,1.25
670,door,廚房,nouns,0.22
671,cockpit,副駕駛,nouns,0.25
672,carpet,屋,nouns,0.27
673,separate,連接,verbs,0.04
674,cable,教堂,nouns,0.0
675,happily,安全地,adverbs,0.44
676,belief,花,nouns,0.12
677,tram,火車,nouns,2.71
678,build,加,verbs,1.01
679,agreement,契約,nouns,4.37
680,basketball,棒球,nouns,1.14
681,liberty,自由,nouns,4.98
682,illegal,合法,adjectives,0.13
683,word,文學,nouns,2.08
684,code,符號,nouns,1.34
685,man,勝利者,nouns,0.49
686,send,走,verbs,0.15
687,swamp,湖,nouns,1.85
688,formal,合乎體統,adjectives,3.48
689,cloud,窗口,nouns,0.0
690,foot,手,nouns,1.41
691,tea,檸檬,nouns,0.18
692,lock,鎖匙,nouns,0.69
693,remind,告訴,verbs,1.99
694,easy,困難,adjectives,0.22
695,chase,跟隨,verbs,2.65
696,actress,演員,nouns,3.62
697,proof,事實,nouns,1.66
698,say,校驗,verbs,0.34
699,college,級數,nouns,0.35
700,throat,舌頭,nouns,0.89
701,wall,磚,nouns,0.72
702,dollar,百萬富翁,nouns,0.29
703,unreasonably,不公平地,adverbs,4.14
704,court,法官,nouns,0.96
705,song,演員,nouns,0.19
706,jail,酒吧,nouns,0.08
707,friend,母親,nouns,0.79
708,neck,脊柱,nouns,1.95
709,girl,男人,nouns,0.71
710,reprimand,需求,verbs,0.04
711,constitution,參議院,nouns,0.57
712,spoil,聞,verbs,0.04
713,die,埋葬,verbs,0.89
714,president,相機,nouns,0.0
715,destroy,創建,verbs,0.08
716,jet,飛機,nouns,4.03
717,roughly,稍微地,adverbs,0.96
718,retain,忘記,verbs,0.04
719,fabric,衣服,nouns,1.86
720,disc,電腦,nouns,0.98
721,boy,士兵,nouns,0.59
722,management,管理,nouns,3.21
723,hammer,牙,nouns,0.04
724,portray,決定,verbs,0.0
725,gamble,打賭,verbs,4.62
726,action,課程,nouns,1.12
727,winter,季節,nouns,1.99
728,salad,醋,nouns,0.27
729,happiness,運氣,nouns,0.65
730,lamb,羊,nouns,4.13
731,acknowledge,通知,verbs,0.82
732,skyscraper,宮殿,nouns,0.25
733,clench,把握,verbs,3.09
734,pie,巧克力,nouns,0.41
735,wife,老公,nouns,1.86
736,payment,紙幣,nouns,0.58
737,funny,傷心,adjectives,0.16
738,hit,瞄准,verbs,0.85
739,knee,手臂,nouns,0.22
740,intend,试着,verbs,0.55
741,bargain,便士,nouns,0.21
742,chapter,尾巴,nouns,0.04
743,hostility,侵略,nouns,3.92
744,disappear,搵到,verbs,0.0
745,practice,重複,verbs,2.53
746,fresh,舊,adjectives,0.04
747,anger,心情,nouns,0.96
748,disk,充電器,nouns,0.12
749,prosecutor,律師,nouns,3.32
750,swallow,喝,verbs,1.34
751,hard,簡單,adjectives,0.08
752,ceiling,地板,nouns,0.29
753,case,電,nouns,0.0
754,catastrophe,死亡,nouns,0.89
755,digit,細胞質,nouns,0.0
756,obtain,獲得,verbs,4.93
757,noise,吵鬧,nouns,3.75
758,obviously,本地,adverbs,0.09
759,steak,雞,nouns,0.35
760,notify,承認,verbs,0.82
761,delicately,目前,adverbs,0.18
762,organized,雜亂無章,verbs,0.08
763,cottage,小木屋,nouns,3.33
764,fall,絆倒,verbs,3.71
765,law,學校,nouns,0.26
766,battleship,无畏舰,nouns,2.54
767,draw,創建,verbs,0.84
768,undisclosed,公開,adjectives,0.36
769,sell,走,verbs,0.04
770,significant,次要,adjectives,0.18
771,encyclopedia,字典,nouns,2.11
772,sea,河流,nouns,1.78
773,passively,靜靜地,adverbs,1.09
774,beg,借,verbs,0.9
775,slim,苗條,adjectives,5.1
776,mouse,容器,nouns,0.0
777,paper,海報,nouns,2.07
778,clothes,布,nouns,1.86
779,pollination,蕊,nouns,0.8
780,post,速度,nouns,0.0
781,box,電梯,nouns,0.08
782,detach,裂開,verbs,2.75
783,travel,走,verbs,1.53
784,chaotically,和平地,adverbs,0.04
785,chaos,無政府,nouns,3.17
786,case,硬件,nouns,0.24
787,badge,玻璃,nouns,0.13
788,creator,作者,nouns,3.67
789,balloon,沖涼,nouns,0.0
790,accept,承認,verbs,2.81
791,disown,給,verbs,0.08
792,bar,監獄,nouns,0.08
793,send,出席,verbs,0.09
794,argument,協議,nouns,0.13
795,go,旅行,verbs,1.53
796,gun,軍士,nouns,0.55
797,closet,衣服,nouns,0.72
798,salary,費用,nouns,1.17
799,obtain,攞,verbs,3.52
800,conversion,高度,nouns,0.04
801,clothes,鈕扣,nouns,0.72
802,proper,有禮貌,adjectives,3.17
803,huge,大規模,adjectives,4.37
804,juice,匙羹,nouns,0.18
805,leg,肢體,nouns,2.3
806,conquest,旅程,nouns,0.66
