ID,FRA,YUE,PoS,score
191,suivre,追逐,verbs,2.58
192,inquiéter,浪費,verbs,0.15
193,trou,協議,nouns,0.0
194,champ,燕麥,nouns,1.36
195,recommander,接受,verbs,0.5
196,enseignant,拉比,nouns,1.45
197,porte,廚房,nouns,0.63
198,inquiet,不耐煩,adjectives,2.83
199,hymne,稻草,nouns,0.28
200,mousse,泡,nouns,3.25
201,professeur,朋友,nouns,1.16
202,maison,公寓,nouns,4.09
203,névrose,頭腦,nouns,1.07
204,précieux,懶,adjectives,0.15
205,portable,槍,nouns,0.1
206,aggraver,攻擊,verbs,0.7
207,activement,準確地,adverbs,0.8
208,probablement,積極地,adverbs,1.06
209,pouce,指甲,nouns,2.35
210,whisky,香檳,nouns,3.51
211,différence,剩餘,nouns,2.87
212,pouce,手,nouns,2.37
213,alcool,威士忌酒,nouns,3.75
214,reflet,圖像,nouns,3.97
215,rugueux,冷淡,adjectives,0.2
216,ongle,頭,nouns,0.65
217,mois,八月,nouns,2.83
218,hésitant,憤怒,adjectives,0.58
219,bulle,肥皂泡沫,nouns,3.25
220,activement,高高興興,adverbs,0.71
221,sûr,合法,adjectives,1.46
222,pousser,責怪,verbs,0.43
223,n'importe quand,有時,adverbs,0.47
224,venir,帶來,verbs,1.63
225,imaginer,假扮,verbs,0.89
226,faucon,老鷹,nouns,4.22
227,délinquant,罪犯,nouns,5.28
228,pardonner,接受,verbs,1.37
229,homme,勝利者,nouns,0.83
230,divertir,使滿意,verbs,0.7
231,ruelle,碗,nouns,0.0
232,propre,整齊,adjectives,5.08
233,sortie,門口,nouns,3.38
234,fragile,冷淡,adjectives,0.2
235,déraisonnablement,不公平地,adverbs,3.63
236,appartement,屋,nouns,4.09
237,cristal,玻璃,nouns,3.12
238,verger,鴕鳥,nouns,0.05
239,dîner,早餐,nouns,2.65
240,viser,尋求,verbs,2.94
241,incertain,害怕,adjectives,0.83
242,sélectionner,挑選,verbs,5.08
243,balai,灰塵,nouns,1.46
244,pied,手,nouns,2.16
245,chirurgie,心臟,nouns,1.27
246,frigide,粗暴,adjectives,0.2
247,significativement,特別,adverbs,1.6
248,promenade,旅程,nouns,4.36
249,molécule,空氣,nouns,1.32
250,puer,發出氣味,verbs,3.27
251,force,能力,nouns,3.29
252,exiger,查詢,verbs,0.49
253,dinosaure,大象,nouns,1.03
254,agréable,開朗,adjectives,2.54
255,lac,沼澤,nouns,2.77
256,assister,發送,verbs,0.34
257,réfuter,允許,verbs,0.25
258,acquérir,搵到,verbs,2.67
259,bocal,杯子,nouns,2.49
260,actif,股票,nouns,3.63
261,inexactement,精確地,adverbs,0.8
262,hélicoptère,飛機,nouns,2.79
263,frites,遊標,nouns,0.15
264,attaque,閃電攻擊,nouns,3.0
265,enjoué,開心,adjectives,4.95
266,adulte,家長,nouns,3.54
267,coupable,羞愧,adjectives,3.63
268,vulnérable,簡單,adjectives,0.68
269,obéir,守規矩,verbs,3.43
270,vélo,皮膚,nouns,0.24
271,chaise,凳子,nouns,4.28
272,paille,任務,nouns,0.0
273,frère,靈魂,nouns,0.3
274,robe,舞蹈,nouns,0.45
275,arrière-plan,牆紙,nouns,2.79
276,empereur,憲法,nouns,0.78
277,immédiatement,一次,adverbs,0.74
278,dire,提醒,verbs,2.88
279,poliment,謹慎地,adverbs,1.74
280,château,壁,nouns,0.83
281,trou,妻子,nouns,0.1
282,bizarre,古怪,adjectives,5.87
283,sophistiqué,成熟,adjectives,0.97
284,événement,募捐活動,nouns,0.93
285,radical,暴力,adjectives,3.2
286,hématologie,病理學,nouns,2.67
287,obtenir,放,verbs,0.25
288,viscosité,濺,nouns,0.3
289,câble,教堂,nouns,0.05
290,fermer,嘔吐,verbs,0.05
291,sale,非常好,adjectives,0.35
292,conforter,羞辱,verbs,0.45
293,opinion,主意,nouns,4.77
294,terrifiant,瘋狂,adjectives,0.55
295,effrayé,不肯定,adjectives,0.83
296,chanteur,員工,nouns,0.38
297,mécanique,電動,adjectives,2.57
298,hymne,征服,nouns,0.4
299,goutter,倒,verbs,1.17
300,campement,艙,nouns,0.83
301,information,書,nouns,1.6
302,chercher,查詢,verbs,4.02
303,heureusement,積極地,adverbs,0.71
304,rêve,天空,nouns,0.4
305,éditorial,新聞,nouns,3.02
306,interdire,停止,verbs,2.57
307,taille,一分錢,nouns,0.1
308,sûrement,有時,adverbs,0.65
309,acquérir,偷,verbs,1.18
310,reconnaître,說話,verbs,0.53
311,cinéma,電視,nouns,3.06
312,athlète,賽跑運動員,nouns,3.9
313,environnement,劍,nouns,0.05
314,uniforme,鈎織編織,nouns,0.05
315,football américain,足球,nouns,4.69
316,penser,查詢,verbs,0.69
317,ceinture,環,nouns,2.44
318,apparaître,成為,verbs,0.83
319,permettre,反駁,verbs,0.25
320,yaourt,家牛,nouns,0.33
321,flic,警長,nouns,3.87
322,mathématicien,節目,nouns,0.15
323,exactement,積極地,adverbs,0.8
324,carte,廣場,nouns,0.58
325,nombre,數字,nouns,4.6
326,membre,腿,nouns,3.08
327,magma,火山,nouns,2.16
328,chef,市長,nouns,2.96
329,vent,颮,nouns,3.46
330,récemment,最近,adverbs,5.57
331,imiter,描繪,verbs,1.65
332,subtilement,冷靜地,adverbs,1.26
333,cheval,狗,nouns,1.77
334,assiette,碗,nouns,2.63
335,siffler,停,verbs,0.39
336,ami,母親,nouns,1.03
337,ciel,宇宙,nouns,2.59
338,érable,樹木,nouns,4.48
339,trône,劍,nouns,0.5
340,hiver,季節,nouns,2.98
341,tête,指甲,nouns,0.65
342,ministre,拉比,nouns,0.8
343,canon,球,nouns,0.54
344,salade,減肥,nouns,1.13
345,verser,滴,verbs,1.17
346,jamais,慷慨地,adverbs,0.1
347,outil,工作,nouns,0.54
348,canon,槍,nouns,2.59
349,habit,鈕扣,nouns,1.51
350,lune,行星,nouns,2.57
351,épaule,手臂,nouns,2.31
352,gentiment,慷慨地,adverbs,3.08
353,capteur,散熱器,nouns,0.86
354,pied,基底,nouns,3.23
355,boussole,大象,nouns,0.04
356,renoncer,斷絕父子關係,verbs,3.38
357,nécessaire,完全必要,adjectives,5.48
358,apprendre,吸收,verbs,2.84
359,situation,狀態,nouns,4.17
360,parfois,經常,adverbs,2.84
361,heureux,快樂,adjectives,4.95
362,femme,沖涼,nouns,0.1
363,porter,撕開,verbs,0.1
364,honteux,內疚,adjectives,3.63
365,vivre,生存,verbs,4.02
366,prendre sa retraite,退出,verbs,0.83
367,uniformément,有時,adverbs,0.39
368,film,電影,nouns,5.27
369,chalet,營地,nouns,0.83
370,club,標識,nouns,0.29
371,or,鋅,nouns,2.44
372,don,作家,nouns,0.29
373,ampoule,插圖,nouns,0.2
374,passivement,靜靜地,adverbs,1.32
375,buisson,花,nouns,2.31
376,stupide,稀罕,adjectives,0.29
377,agriculture,植物,nouns,1.35
378,sérieusement,被動地,adverbs,0.35
379,nuage,薄霧,nouns,2.92
380,chaîne,日落,nouns,0.0
381,engrais,發展,nouns,1.37
382,astronome,星系,nouns,2.04
383,noyer,救,verbs,0.8
384,iris,乙酰膽鹼,nouns,nan
385,guitare,鱒魚,nouns,0.05
386,admirablement,優雅地,adverbs,3.72
387,tiroir,衣服,nouns,0.92
388,pacifiquement,冷靜地,adverbs,3.93
389,tsunami,海,nouns,1.92
390,évaluer,分析,verbs,4.68
391,venir,出席,verbs,3.11
392,paresseux,忙碌,adjectives,0.54
393,normalement,日常,adverbs,2.69
394,admirer,崇拜,verbs,4.52
395,batterie,能量,nouns,3.17
396,répéter,練習,verbs,3.66
397,âme,兄弟,nouns,0.3
398,vendre,走,verbs,0.24
399,discrètement,有禮貌地,adverbs,1.74
400,toit,窗口,nouns,1.22
401,surtout,深深地,adverbs,0.96
402,chenille,蠶,nouns,3.08
403,jouer,搏鬥,verbs,0.88
404,porte-monnaie,袋,nouns,2.62
405,mot,提示,nouns,0.94
406,centime,尺寸,nouns,0.1
407,batterie,劇院,nouns,0.14
408,logique,算術,nouns,3.27
409,entrer,欠,verbs,0.15
410,médaille,運動鞋,nouns,0.29
411,couvrir,埋葬,verbs,2.88
412,bruyant,無禮貌,adjectives,1.13
413,étreindre,摟抱,verbs,5.07
414,vallée,峽谷,nouns,4.28
415,nerf,腦,nouns,1.65
416,révision,預測,nouns,0.59
417,minute,秒,nouns,3.19
418,généreux,友善,adjectives,2.44
419,étroit,長,adjectives,1.17
420,tour,鐘,nouns,0.98
421,insulter,得罪,verbs,4.07
422,posséder,吸收,verbs,0.64
423,informer,擦亮,verbs,0.1
424,critiquer,推,verbs,0.43
425,sûr,確定,adjectives,5.54
426,principalement,關鍵地,adverbs,0.43
427,acoustique,聲音,nouns,3.83
428,sobre,理性的,adjectives,1.92
429,appartement,酒店,nouns,2.25
430,auxiliaire,女僕,nouns,2.34
431,petit,矬小,adjectives,4.12
432,téléphone,受害者,nouns,0.15
433,clairement,肯定地,adverbs,3.79
434,étranger,翻譯者,nouns,0.94
435,illégal,合法,adjectives,0.74
436,région,地區,nouns,3.59
437,partir,驅逐,verbs,2.56
438,falaise,尾巴,nouns,0.1
439,os,牙齒,nouns,2.45
440,carte,圖解,nouns,2.46
441,président,小學生,nouns,0.65
442,haut,第五,adjectives,0.24
443,porter,侵蝕,verbs,0.29
444,nuage,湖,nouns,0.58
445,rarement,從未,adverbs,3.66
446,commencer,走,verbs,0.65
447,rester,得到,verbs,0.75
448,amical,不會,adverbs,0.0
449,film,劇院,nouns,2.34
450,mélanger,騎,verbs,0.1
451,nihilisme,電影,nouns,0.24
452,bouteille,罐,nouns,2.88
453,pierre,礦,nouns,1.46
454,informe,制服,adjectives,0.5
455,fortement,猛烈地,adverbs,2.31
456,ordinaire,平凡,adjectives,5.4
457,détacher,裂開,verbs,2.17
458,communication,偈,nouns,3.7
459,robotique,模擬,nouns,0.97
460,grossièrement,稍微地,adverbs,1.15
461,lit,醫院,nouns,0.94
462,aider,協助,verbs,4.89
463,statue,雕塑,nouns,4.83
464,dernièrement,最近,adverbs,5.57
465,grand,柔韌,adjectives,0.2
466,diviser,加,verbs,1.27
467,parfois,肯定地,adverbs,0.65
468,généreux,善良,adjectives,2.25
469,changer,改變,verbs,4.84
470,bras,靜脈,nouns,0.84
471,chaos,類別,nouns,0.15
472,fille,嬰兒,nouns,2.25
473,électrique,甜,adjectives,0.2
474,honneur,徽章,nouns,1.23
475,donner,斷絕父子關係,verbs,0.15
476,dent,鎚,nouns,0.04
477,vêtement,褸,nouns,3.66
478,centimètre,碼,nouns,3.29
479,acquérir,加入,verbs,0.6
480,prison,選擇,nouns,0.15
481,rétracter,退休,verbs,0.83
482,livre,文章,nouns,3.49
483,instamment,迅速地,adverbs,4.11
484,laisser,等待,verbs,0.65
485,août,月,nouns,2.83
486,hebdomadaire,每月,adjectives,2.13
487,semestre,學期,nouns,4.18
488,sacre,水,nouns,0.25
489,secrétaire,女人,nouns,2.08
490,emprunter,乞求,verbs,0.87
491,sud,北,nouns,1.94
492,frère,男孩,nouns,2.81
493,sérieusement,重要的,adverbs,2.59
494,peut-être,大概,adverbs,4.46
495,tuer,毀滅,verbs,2.74
496,porte,門口,nouns,3.46
497,devenir,完成,verbs,2.37
498,oublier,學習,verbs,0.8
499,enseigner,懲罰,verbs,0.57
500,honte,悲傷,nouns,2.38
501,curseur,微晶片,nouns,0.15
502,tricher,欺騙,verbs,3.26
503,autobus,的士,nouns,2.83
504,partenaire,傢伙,nouns,2.22
505,galaxie,天文學家,nouns,2.04
506,programme,食物,nouns,0.55
507,rétrécir,消失,verbs,1.27
508,devoir,進入,verbs,0.15
509,église,大教堂,nouns,5.03
510,anniversaire,生日,nouns,2.4
511,champion,優勝者,nouns,4.83
512,rassembler,出席,verbs,0.57
513,chanceux,慚愧,adjectives,0.45
514,port,包裝紙,nouns,0.49
515,possibilité,自由,nouns,4.37
516,cheval,牛,nouns,2.11
517,coupable,誠實,adjectives,0.73
518,inflexion,感染,nouns,0.24
519,galaxie,應用程式,nouns,0.1
520,critique,爭論,nouns,2.58
521,nier,接受,verbs,1.35
522,alliage,鋼,nouns,3.39
523,traducteur,外國人,nouns,0.94
524,secouer,收集,verbs,0.15
525,ajouter,建立,verbs,1.07
526,retenir,忘記,verbs,0.8
527,queue,懸崖,nouns,0.1
528,contempler,想,verbs,2.63
529,lèvre,臀部,nouns,0.64
530,type,夥伴,nouns,2.22
531,affectation,任務,nouns,2.68
532,plafond,屋頂,nouns,3.83
533,fille,孩子,nouns,2.0
534,ennuyeux,平庸,adjectives,3.0
535,smartphone,菠蘿,nouns,0.0
536,supplier,借,verbs,0.87
537,impeccable,清潔,adjectives,5.2
538,oiseau,鷹,nouns,3.77
539,télévision,演員,nouns,1.26
540,jument,馬,nouns,4.03
541,porte,地窖,nouns,0.69
542,taxi,的士,nouns,5.4
543,incurvé,直,adjectives,0.94
544,repas,腰部,nouns,0.15
545,président,污染,nouns,0.25
546,gaspiller,擔心,verbs,0.15
547,bétail,牛,nouns,4.09
548,éventuellement,樂觀地,adverbs,0.63
549,éléphant,恐龍,nouns,1.03
550,cerveau,頭腦,nouns,4.22
551,trouver,獲得,verbs,2.67
552,calmement,堅固地,adverbs,0.91
553,mixte,舊,adjectives,0.18
554,âge,美人,nouns,0.65
555,mariée,新郎,nouns,3.27
556,élire,拒絕,verbs,0.55
557,intelligent,笨,adjectives,1.07
558,globe,世界,nouns,4.45
559,enfant,女孩,nouns,2.83
560,conscience,注意,nouns,3.16
561,capital,錢,nouns,4.12
562,légion,尊嚴,nouns,1.23
563,météore,地心吸力,nouns,0.97
564,imiter,捕獲,verbs,0.25
565,registre,意外,nouns,0.3
566,tabouret,椅子,nouns,4.28
567,acteur,女演員,nouns,4.17
568,persuader,拗撬,verbs,0.68
569,danger,疾病,nouns,1.06
570,centime,人,nouns,0.18
571,logique,智力,nouns,3.36
572,récipient,四輪貨運馬車,nouns,0.24
573,basket,獎章,nouns,0.29
574,orage,颶風,nouns,3.44
575,dépendre,依靠,verbs,4.27
576,important,次要,adjectives,0.83
577,journal,文章,nouns,3.08
578,cogitation,望遠鏡,nouns,0.1
579,choisir,選擇,verbs,5.08
580,collecte de fonds,事件,nouns,0.93
581,voiture,街,nouns,0.97
582,tabou,婚外,adjectives,1.13
583,eau,加冕禮,nouns,0.25
584,cerveau,神經,nouns,1.65
585,rare,非一般,adjectives,4.46
586,violon,吉他,nouns,2.77
587,biologiste,顯微鏡,nouns,1.42
588,stylo,字母,nouns,0.55
589,dirigeant,國王,nouns,4.63
590,prétendre,講大話,verbs,3.46
591,boire,提高,verbs,0.05
592,svelte,苗條,adjectives,5.21
593,choix,靜脈,nouns,0.29
594,brut,核突,adjectives,1.01
595,malheureux,激氣,adjectives,2.79
596,mode,風尚,nouns,3.75
597,obtenir,留,verbs,0.75
598,source,盒子,nouns,0.04
599,voiture,坦克,nouns,1.06
600,nuage,窗口,nouns,0.4
601,valeur,價格,nouns,4.13
602,froid,普通,adjectives,0.2
603,construire,做,verbs,3.69
604,doucement,堅固地,adverbs,0.74
605,chapitre,選擇,nouns,0.45
606,arithmétique,韻律,nouns,0.1
607,faible,強大,adjectives,0.74
608,espace,區城,nouns,3.59
609,nier,避免,verbs,0.69
610,tristement,猛烈地,adverbs,0.39
611,nerf,身體,nouns,1.08
612,émotion,心情,nouns,3.49
613,ver à soie,毛毛蟲,nouns,3.08
614,ouvrier,辦公室,nouns,0.63
615,éléphant,指南針,nouns,0.04
616,ballon,大炮,nouns,0.54
617,tranchant,鈍,adjectives,0.14
618,gagner,成功,verbs,4.39
619,astéroïde,星,nouns,3.69
620,autoroute,任務,nouns,0.05
621,descendre,撤退,verbs,0.34
622,accomplir,敬禮,verbs,0.1
623,demander,幫忙,verbs,0.6
624,façon,方式,nouns,5.13
625,coucher de soleil,傍晚,nouns,3.93
626,facile,脆弱,adjectives,0.68
627,poussière,掃帚,nouns,1.46
628,obtenir,獲得,verbs,5.05
629,whisky,杜松子酒,nouns,3.38
630,voyage,旅行,nouns,4.36
631,lapin,貓,nouns,1.77
632,veste,針織套衫,nouns,3.26
633,massivement,公開地,adverbs,0.82
634,dentiste,上校,nouns,0.29
635,invité,朋友,nouns,3.27
636,intelligence,邏輯,nouns,3.36
637,régime,蘋果,nouns,0.88
638,disque,電腦,nouns,1.78
639,chauffeur,飛行員,nouns,4.07
640,sérieusement,真誠地,adverbs,2.59
641,emploi,工具,nouns,0.54
642,déni,坦白,nouns,1.07
643,acteur,電視,nouns,1.26
644,décider,描繪,verbs,0.75
645,orchestre,樂隊,nouns,3.62
646,porter,運送,verbs,3.75
647,groupe,管弦樂隊,nouns,3.62
648,mentir,假扮,verbs,3.46
649,centime,便宜貨,nouns,0.24
650,volley-ball,球,nouns,2.59
651,faucon,鳥,nouns,3.77
652,héroïne,英雄,nouns,4.35
653,réceptacle,老鼠,nouns,0.05
654,élégamment,美麗地,adverbs,3.72
655,frère,父親,nouns,2.02
656,flic,副駕駛,nouns,0.45
657,saisir,努力,verbs,0.4
658,rassemblement,大型會議,nouns,3.19
659,vêtement,大褸,nouns,2.93
660,absorber,學習,verbs,2.84
661,chagrin,羞愧,nouns,2.38
662,suggérer,提議,verbs,5.43
663,alcool,樂隊,nouns,0.15
664,indépendamment,負責可靠地,adverbs,1.33
665,attendre,離開,verbs,0.65
666,femme,秘書,nouns,2.08
667,dur,容易,adjectives,0.88
668,ozone,大氣層,nouns,3.73
669,pont,卡,nouns,0.25
670,porte,大門,nouns,5.17
671,ignorer,忘記,verbs,3.08
672,remuer,混合,verbs,4.63
673,rigide,簡單,adjectives,0.2
674,aller,賣,verbs,0.24
675,recevoir,給予,verbs,0.93
676,affiche,紙,nouns,2.92
677,accident,書,nouns,0.3
678,illustration,起泡,nouns,0.2
679,gros,國民,adjectives,0.15
680,notifier,承認,verbs,0.93
681,puéril,傻,adjectives,3.03
682,hystérie,混亂,nouns,2.33
683,singe,参加競選,nouns,0.14
684,tasse,匙羹,nouns,1.45
685,colonel,牙醫,nouns,0.29
686,lycée,職業,nouns,0.65
687,échapper,搵到,verbs,0.3
688,autruche,果園,nouns,0.05
689,pull-over,棉,nouns,1.18
690,créer,潛水,verbs,0.15
691,sac,錢包,nouns,2.62
692,satisfaire,理解,verbs,0.35
693,marteau,牙,nouns,0.04
694,se comporter,服從,verbs,3.43
695,bain,房間,nouns,1.02
696,livrer,攜帶,verbs,3.75
697,calmement,巧妙的,adverbs,1.26
698,beauté,年齡,nouns,0.65
699,fierté,喜悅,nouns,2.78
700,donner,借,verbs,4.17
701,lézard,政府,nouns,0.04
702,schéma,主意,nouns,3.49
703,nuage,風暴,nouns,1.87
704,dense,堅硬,adjectives,2.41
705,shérif,警察,nouns,3.87
706,auberge,汽車旅館,nouns,3.56
707,heureux,高興,adjectives,5.33
708,procureur,律師,nouns,3.37
709,loyalement,誠實地,adverbs,4.24
710,dieu,獵物,nouns,0.05
711,cave,門,nouns,0.69
712,livre,故事,nouns,3.0
713,étouffer,呼吸,verbs,1.36
714,maison,州,nouns,0.1
715,cytoplasme,數字,nouns,0.0
716,sûrement,明顯地,adverbs,3.9
717,biologie,解剖學,nouns,2.97
718,cinquième,最佳,adjectives,0.24
719,crocodile,蜥蜴,nouns,2.7
720,se dépêcher,趕,verbs,4.88
721,mordre,搏鬥,verbs,1.13
722,tacot,的士,nouns,5.4
723,plafond,大教堂,nouns,0.29
724,bouger,編織,verbs,0.15
725,couteau,槍,nouns,2.4
726,bacon,早餐,nouns,1.03
727,fleur,忍耐力,nouns,0.24
728,turbine,摩打,nouns,4.13
729,pistolet,筆記本,nouns,0.1
730,terrifiant,精彩,adjectives,2.44
731,mélanger,攪拌,verbs,4.63
732,père,兒子,nouns,2.35
733,chanteur,演員,nouns,2.49
734,sauver,花费,verbs,0.25
735,tribunal,正義,nouns,3.17
736,enterrer,死,verbs,1.6
737,arithmétique,邏輯,nouns,3.27
738,côte,海灘,nouns,3.76
739,fenêtre,踝,nouns,0.09
740,cousin,叔叔,nouns,2.23
741,quotidiennement,通常,adverbs,2.69
742,prier,溝通,verbs,0.64
743,ciel,陽光,nouns,1.66
744,piano,和聲,nouns,1.32
745,dollar,人,nouns,0.05
746,déguiser,偽裝,verbs,3.33
747,baignoire,妻子,nouns,0.1
748,marrant,傷心,adjectives,0.65
749,généralement,真誠地,adverbs,0.43
750,information,報紙,nouns,3.12
751,fort,自豪,adjectives,1.08
752,pluie,毛毛雨,nouns,4.48
753,tromper,作弊,verbs,3.26
754,faire plaisir,滿足,verbs,4.99
755,acier,合金,nouns,3.39
756,corps,底衫褲,nouns,1.21
757,musique,長笛,nouns,2.13
758,facile,生硬,adjectives,0.2
759,fou,瘋,adjectives,5.58
760,négatif,從未,adjectives,1.26
761,triste,自豪,adjectives,0.65
762,marais,湖,nouns,2.77
763,boire,混合,verbs,0.45
764,bras,肩膀,nouns,2.31
765,mentir,指控,verbs,0.59
766,téléphone,小亭,nouns,0.75
767,voiture,高速公路,nouns,1.6
768,plage,海岸,nouns,3.76
769,théâtre,電影,nouns,2.34
