ID,FRA,RUS,PoS,score
136,mythe,сатира,nouns,1.35
137,pesticide,вредитель,nouns,1.5
138,violent,мягкий,adjectives,0.65
139,penser,пытаться,verbs,0.3
140,pollution,президент,nouns,0.25
141,surtout,глубоко,adverbs,0.55
142,cesser,начинать,verbs,0.85
143,victoire,триумф,nouns,5.2
144,dangereusement,внимательно,adverbs,0.5
145,mixte,комбинированный,adjectives,4.6
146,lèvre,бедро,nouns,0.85
147,bétail,овца,nouns,3.6
148,calendrier,праздник,nouns,1.55
149,vinaigre,салат,nouns,1.2
150,instrument,скрипка,nouns,2.95
151,certain,нервный,adjectives,0.2
152,bon,официальный,adjectives,0.85
153,oasis,свобода,nouns,0.3
154,administration,управление,nouns,4.75
155,intelligent,хитрый,adjectives,1.7
156,secourir,спасать,verbs,5.05
157,taquiner,обижать,verbs,2.3
158,bateau,палуба,nouns,1.6
159,construire,делать,verbs,3.7
160,détruire,спасти,verbs,0.6
161,intelligent,тупой,adjectives,0.8
162,réalité,фантазия,nouns,1.2
163,mélanger,комбинировать,verbs,4.4
164,coupable,честный,adjectives,0.6
165,bientôt,немедленно,adverbs,2.7
166,peuple,шар,nouns,0.0
167,commencer,происходить,verbs,0.65
168,sincèrement,серьезно,adverbs,1.35
169,rabbin,наставник,nouns,1.55
170,corps,рука,nouns,1.75
171,nier,лгать,verbs,1.8
172,fil,пряжа,nouns,3.35
173,paquet,грузовик,nouns,0.25
174,tuer,душить,verbs,2.95
175,stratège,комбинатор,nouns,2.65
176,lire,понимать,verbs,1.0
177,vérifier,говорить,verbs,0.8
178,beauté,возраст,nouns,0.9
179,mordre,драться,verbs,1.25
180,porter,рвать,verbs,0.1
181,normalement,ненормально,adverbs,0.75
182,se disputer,жаловаться,verbs,1.4
183,oublier,напоминать,verbs,0.75
184,brin,нить,nouns,3.35
185,rigide,легкий,adjectives,0.2
186,promenade,путешествие,nouns,4.05
187,gant,мяч,nouns,0.75
188,curieusement,иначе,adverbs,1.55
189,pistolet,сержант,nouns,0.9
190,automobile,машина,nouns,5.85
191,silencieusement,пассивно,adverbs,1.85
192,suspecter,арестовывать,verbs,0.95
193,faire,строить,verbs,3.7
194,farine,хлеб,nouns,1.95
195,chasser,ловить,verbs,1.8
196,voiture,судно,nouns,1.35
197,queue,миска,nouns,0.05
198,nature,флора,nouns,3.35
199,chasser,искать,verbs,1.75
200,notifier,изображать,verbs,0.7
201,voie-rapide,дорога,nouns,4.2
202,cave,дверь,nouns,0.9
203,atome,углерод,nouns,2.35
204,arrêter,предупреждать,verbs,0.85
205,formel,приличный,adjectives,0.85
206,bras,мускул,nouns,1.85
207,calmement,решительно,adverbs,0.75
208,précisément,неаккуратно,adverbs,0.75
209,étoile,планета,nouns,3.05
210,bruyant,грубый,adjectives,1.5
211,ballon,сфера,nouns,2.3
212,sale,дешевый,adjectives,0.15
213,galaxie,астроном,nouns,1.7
214,profondeur,величина,nouns,1.5
215,imiter,захватить,verbs,0.25
216,sphère,мяч,nouns,2.3
217,facilement,грубо,adverbs,0.25
218,accepter,получать,verbs,2.95
219,récit,тема,nouns,1.35
220,échapper,находить,verbs,0.3
221,rapidement,срочно,adverbs,4.0
222,stupide,упрямый,adjectives,1.35
223,musée,mинт,nouns,0.0
224,magnitude,размер,nouns,4.35
225,gagnant,присутствие,nouns,0.3
226,nouveau,свежий,adjectives,3.7
227,donner,получать,verbs,0.8
228,instamment,быстро,adverbs,4.0
229,détruire,создавать,verbs,0.75
230,rire,хихикать,verbs,4.8
231,patient,сессия,nouns,0.25
232,arme,шлем,nouns,1.5
233,éviter,отрицать,verbs,0.65
234,oublier,помнить,verbs,0.8
235,secouer,собирать,verbs,0.15
236,nerveux,испуганный,adjectives,1.6
237,normalement,ежедневно,adverbs,1.95
238,diode,конденсатор,nouns,1.65
239,récipient,платформа,nouns,0.25
240,droit,факультет,nouns,1.25
241,bras,ветка,nouns,1.0
242,bourrasque,ветер,nouns,4.15
243,plaider,угождать,verbs,0.65
244,lycée,профессия,nouns,0.95
245,lit,больница,nouns,1.3
246,fortement,официально,adverbs,0.4
247,porte,подвал,nouns,0.9
248,chenille,шелкопряд,nouns,3.2
249,poitrine,тело,nouns,1.95
250,enseignant,раввин,nouns,1.55
251,humide,липкий,adjectives,1.35
252,faute,система,nouns,0.25
253,pousser,обвинять,verbs,0.2
254,homme,дядя,nouns,2.35
255,maïs,кукуруза,nouns,3.25
256,heureux,рассерженный,adjectives,0.7
257,bain,бревно,nouns,0.0
258,maison,ключ,nouns,1.15
259,extraverti,приходящий,adjectives,0.25
260,médecin,профессор,nouns,2.15
261,formule,уравнение,nouns,3.6
262,tombeur,парень,nouns,1.45
263,théâtre,батарейка,nouns,0.05
264,fantastique,реальность,nouns,1.2
265,officiellement,важно,adverbs,0.75
266,blé,злак,nouns,3.55
267,trône,меч,nouns,0.6
268,paresseux,драгоценный,adjectives,0.1
269,crier,вопить,verbs,5.5
270,dinde,птица,nouns,2.95
271,mal,ужасный,adjectives,3.8
272,sol,палуба,nouns,1.95
273,impression,мнение,nouns,2.85
274,élève,президент,nouns,0.75
275,errer,искать,verbs,1.8
276,ouragan,буря,nouns,4.0
277,spirituel,бестелесный,adjectives,3.75
278,atteindre,пытаться,verbs,1.6
279,action,игра,nouns,2.7
280,télévision,сценарист,nouns,1.35
281,ventre,живот,nouns,5.1
282,lettre,абзац,nouns,1.55
283,concrètement,недавно,adverbs,0.15
284,brut,уродливый,adjectives,1.25
285,musique,мелодия,nouns,4.6
286,hélium,воздух,nouns,2.15
287,pacte,условие,nouns,2.15
288,maladie,опасность,nouns,1.0
289,allée,коридор,nouns,4.0
290,style,элегантность,nouns,4.3
291,aggraver,беспокоить,verbs,0.25
292,centime,народ,nouns,0.05
293,électrique,сладкий,adjectives,0.2
294,champ,овёс,nouns,1.45
295,week-end,гонка,nouns,0.25
296,estomac,курс,nouns,0.2
297,responsablement,независимо,adverbs,0.7
298,hôpital,койка,nouns,1.3
299,recommander,советовать,verbs,5.4
300,trou,жена,nouns,0.1
301,bras,кость,nouns,1.55
302,hystérie,помрачение,nouns,2.1
303,véridique,нечестный,adjectives,0.5
304,tombe,перезахоронения,nouns,1.9
305,astuce,ванна,nouns,0.0
306,coude,кость,nouns,1.65
307,névrose,разум,nouns,0.95
308,paiement,вознаграждение,nouns,3.8
309,type,бабник,nouns,1.45
310,pipe,сигара,nouns,2.6
311,accident,книга,nouns,0.3
312,étoile,астероид,nouns,2.6
313,plonger,создавать,verbs,0.1
314,ami,парень,nouns,2.15
315,disparaître,находить,verbs,0.2
316,mort,бедствие,nouns,2.0
317,partir,отделять,verbs,1.1
318,histoire,карандаш,nouns,0.2
319,différer,спорить,verbs,0.95
320,tapis,дом,nouns,1.05
321,bol,хвост,nouns,0.05
322,douche,монастырь,nouns,0.1
323,hutte,коттедж,nouns,3.95
324,honteux,расстроенный,adjectives,1.1
325,porte,ворота,nouns,4.2
326,homophone,фотофон,nouns,0.35
327,partenaire,парень,nouns,1.75
328,pacifiquement,спокойно,adverbs,4.7
329,fraternité,бейсбол,nouns,0.5
330,centime,жена,nouns,0.05
331,frais,платеж,nouns,3.7
332,ballon,корзина,nouns,1.05
333,vol,преступлениe,nouns,2.5
334,libérer,нажимать,verbs,0.2
335,vouloir,желать,verbs,5.65
336,honnête,виноватый,adjectives,0.6
337,gentiment,щедро,adverbs,2.45
338,bras,шея,nouns,1.35
339,sembler,становиться,verbs,1.4
340,paille,жена,nouns,0.0
341,poulet,стейк,nouns,1.75
342,massivement,открыто,adverbs,0.75
343,généralement,искренне,adverbs,0.25
344,lit,мебель,nouns,2.85
345,cerveau,нерв,nouns,1.6
346,plaisir,футбол,nouns,0.9
347,porte,присутствие,nouns,0.25
348,courroucé,нерешительный,adjectives,0.45
349,négatif,никогда,adjectives,1.8
350,devenir,казаться,verbs,1.22
351,pièce,кровать,nouns,0.9
352,demander,помогать,verbs,0.7
353,câble,шнур,nouns,4.45
354,fenêtre,крыша,nouns,1.35
355,condensateur,диод,nouns,1.65
356,rejoindre,вкладывать,verbs,1.45
357,passionnant,скучный,adjectives,0.35
358,alphabet,ручка,nouns,0.8
359,développer,расти,verbs,3.75
360,approuver,разрешать,verbs,3.2
361,pont,автомобиль,nouns,0.5
362,sol,дверь,nouns,0.65
363,oublier,узнавать,verbs,0.85
364,confiance,настрой,nouns,1.95
365,liberté,цензура,nouns,1.25
366,maison,государство,nouns,0.3
367,astronome,галактика,nouns,1.7
368,catastrophe,смерть,nouns,2.0
369,anxieux,испуганный,adjectives,3.65
370,long,узкий,adjectives,1.0
371,orthodontiste,дантист,nouns,4.8
372,pointeur,слайд,nouns,0.1
373,au fond,вполне,adverbs,1.0
374,créer,разрушать,verbs,0.8
375,apeuré,встревоженный,adjectives,3.65
376,affaire,промышленность,nouns,2.25
377,persil,маффин,nouns,0.4
378,rose,бабочка,nouns,0.65
379,désincarné,духовный,adjectives,3.75
380,papier,картон,nouns,3.45
381,parasite,пестицид,nouns,1.5
382,inclure,знать,verbs,0.8
383,prier,общаться,verbs,0.65
384,dictionnaire,толкование,nouns,2.7
385,vainqueur,человек,nouns,1.1
386,aggraver,нападать,verbs,0.65
387,sortie,избирательное право,nouns,0.3
388,mousse,трава,nouns,2.15
389,aube,ружье,nouns,0.05
390,bon marché,грязный,adjectives,0.15
391,analyser,оценивать,verbs,4.25
392,passion,эмоция,nouns,3.05
393,langue,щека,nouns,1.5
394,ongle,палец,nouns,2.1
395,chef,мэр,nouns,3.05
396,nier,соглашаться,verbs,0.25
397,chasser,следовать,verbs,2.7
398,laisser,подождать,verbs,0.75
399,devenir,организовывать,verbs,0.3
400,apparaître,посещать,verbs,1.3
401,prouver,аргументировать,verbs,3.15
402,supposer,предсказывать,verbs,3.0
403,donner,разрешать,verbs,1.45
404,dire,участвовать,verbs,1.25
405,impatient,беспокойный,adjectives,2.5
406,bon,известный,adjectives,0.75
407,bizarrement,естественно,adverbs,0.8
408,bateau,автомобиль,nouns,1.35
409,petit déjeuner,бекон,nouns,1.2
410,tâche,автострада,nouns,0.15
411,positivement,наверное,adverbs,0.75
412,infraction,нарушение,nouns,4.65
413,sauver,уничтожить,verbs,0.6
414,adjoint,офицер,nouns,2.2
415,entrer,покидать,verbs,0.2
416,ouvertement,массивно,adverbs,0.75
417,nager,встретить,verbs,0.3
418,chiffre,цитоплазма,nouns,0.0
419,bon marché,дешевый,adjectives,5.3
420,négativement,неестественно,adverbs,0.85
421,épouse,мать,nouns,2.6
422,attirer,ударять,verbs,0.55
423,pistolet,мех,nouns,0.1
424,canonnière,берег,nouns,0.3
425,génial,прекрасный,adjectives,5.3
426,oncle,мужчина,nouns,2.35
427,facilement,удобно,adverbs,1.7
428,montagne,выступ,nouns,1.5
429,astéroïde,звезда,nouns,2.6
430,connu,национальный,adjectives,0.85
431,foule,группа,nouns,3.75
432,rencontrer,приветствовать,verbs,2.25
433,corruption,мошенничество,nouns,3.55
434,vélo,спальня,nouns,0.05
435,inflexion,инфекция,nouns,0.15
436,lit,комната,nouns,0.9
437,femme,ванна,nouns,0.05
438,cockpit,штурман,nouns,1.1
439,honteux,виноватый,adjectives,2.75
440,steak,курятина,nouns,1.75
441,évaluer,анализировать,verbs,4.25
442,femme,задача,nouns,0.05
443,pièce,аэропорт,nouns,0.1
444,ignorer,избегать,verbs,3.65
445,chercher,странствовать,verbs,1.8
446,vêtement,ткань,nouns,1.85
447,copilote,полицейский,nouns,0.4
448,fâché,счастливый,adjectives,0.7
449,chalet,домик,nouns,3.95
450,date,календарь,nouns,2.35
451,acétylcholine,ирис,nouns,nan
452,généreusement,любезно,adverbs,2.45
453,rythme,арифметика,nouns,0.2
454,svelte,узкий,adjectives,2.6
455,source,коробка,nouns,0.0
456,commande,меню,nouns,1.65
457,recueillir,встряхивать,verbs,0.15
458,occupé,ленивый,adjectives,0.5
459,jeune,неугомонный,adjectives,1.05
460,bacon,завтрак,nouns,1.2
461,crayon,сказка,nouns,0.2
462,whisky,алкоголь,nouns,2.9
463,jauge,автомобиль,nouns,0.8
464,sang,вирус,nouns,1.45
465,épée,трон,nouns,0.6
466,danger,угроза,nouns,5.25
467,pont,карта,nouns,0.75
468,branche,рука,nouns,1.0
469,savoir,забывать,verbs,0.85
470,impuissant,нуждающийся,adjectives,2.4
471,neige,снежный обвал,nouns,2.25
472,peut-être,скорее всего,adverbs,4.4
473,cheville,окно,nouns,0.0
474,science,психология,nouns,2.25
475,ministère,султан,nouns,0.5
476,microscope,биолог,nouns,1.6
477,vaste,узкий,adjectives,0.6
478,dieu,отец,nouns,2.0
479,rapide,быстрый,adjectives,4.75
480,bateau,дерево,nouns,0.5
481,doigt,ладонь,nouns,1.6
482,bureau,работник,nouns,0.9
483,volcan,магма,nouns,2.1
484,savoir,понимать,verbs,0.8
485,preuve,факт,nouns,3.7
486,base-ball,братство,nouns,0.5
487,chapitre,выбор,nouns,0.7
488,humeur,эмоция,nouns,3.05
489,hymne,завоевание,nouns,0.4
490,personnel,частный,adjectives,4.75
491,flotter,петь,verbs,0.15
492,menu,заказ,nouns,1.65
493,lumière,клавиатура,nouns,0.1
494,sonnet,красота,nouns,0.45
495,viande,говядина,nouns,3.1
496,fastidieux,безопасный,adjectives,0.2
497,probablement,возможно,adverbs,4.4
498,chapelle,шпиль,nouns,2.0
499,emprunter,хотеть,verbs,0.5
500,femme,джинсы,nouns,0.2
501,national,известный,adjectives,0.85
502,cérémonie,праздник,nouns,4.55
503,collant,мокрый,adjectives,1.35
504,oublier,знать,verbs,0.85
505,enterrer,умереть,verbs,1.5
506,flexible,свободный,adjectives,1.0
507,danger,болезнь,nouns,1.0
508,être d'accord,угождать,verbs,1.8
509,théorie,химия,nouns,1.45
510,échouage,шахматы,nouns,1.6
511,parfois,конечно,adverbs,0.8
512,rêve,небо,nouns,0.6
513,connu,популярный,adjectives,4.9
514,rugueux,равнодушный,adjectives,0.2
515,côte,берег,nouns,4.25
516,clé,корона,nouns,0.05
517,harmonie,пианино,nouns,1.25
518,millionnaire,доллар,nouns,1.6
519,uniforme,бесформенный,adjectives,0.5
520,ordinaire,холодный,adjectives,0.2
521,boussole,слон,nouns,0.0
522,fier,бедный,adjectives,0.35
523,cathédrale,потолок,nouns,0.4
524,berceau,кровать,nouns,4.4
525,trou,соглашение,nouns,0.0
526,devenir,завершать,verbs,1.5
527,pont,судно,nouns,1.6
528,organiser,становиться,verbs,0.3
529,estomac,вена,nouns,0.95
530,attentivement,локально,adverbs,0.25
531,pot,прибор,nouns,0.3
532,enjoué,счастливый,adjectives,4.65
533,définir,уточнить,verbs,3.95
534,nombre,цифра,nouns,4.9
535,systématiquement,обычно,adverbs,3.8
536,ciel,солнце,nouns,1.7
537,profondément,в основном,adverbs,0.55
538,fermement,невероятно,adverbs,0.2
539,revêtement,велосипед,nouns,0.2
540,vouloir,занимать,verbs,0.5
541,foie,орган,nouns,2.6
542,tissu,лен,nouns,2.85
543,arrêter,свистеть,verbs,0.25
544,fiction,биография,nouns,1.65
545,marrant,скучный,adjectives,0.3
546,emprunter,продавать,verbs,0.65
547,abordable,недорогой,adjectives,5.3
548,grossier,грубый,adjectives,4.55
549,groupe,износоустойчивость,nouns,0.1
550,pull-over,хлопок,nouns,1.3
551,tuteur,взрослый,nouns,2.15
552,naturellement,неестественно,adverbs,0.8
553,vallée,депрессия,nouns,0.6
554,lac,облако,nouns,0.55
555,assister,помогать,verbs,5.15
556,saut d'obstacles,забор,nouns,1.35
557,modeste,пристыженный,adjectives,0.8
558,sortie,проход,nouns,3.1
559,iris,ацетилхолин,nouns,nan
560,astuce,размер,nouns,0.05
561,triste,смешной,adjectives,0.6
562,président,ученик,nouns,0.75
563,canapé,бейсбол,nouns,0.05
564,goutter,наливать,verbs,0.9
565,examen,учебный план,nouns,1.2
566,sauce,яблоко,nouns,1.25
567,terrible,плохой,adjectives,3.95
568,régime,салат,nouns,1.2
569,désirer,хотеть,verbs,5.65
570,argent,наличные,nouns,3.95
571,haricot,бекон,nouns,0.75
572,éroder,увядать,verbs,0.35
573,dollar,народ,nouns,0.05
574,régime,яблоко,nouns,0.9
575,probablement,возможно,adverbs,4.4
576,robotique,симуляция,nouns,1.2
577,viande,стейк,nouns,4.55
578,bouger,ткать,verbs,0.15
579,toujours,дважды,adverbs,0.8
580,généreusement,никогда,adverbs,0.05
581,gratte-ciel,дворец,nouns,1.45
582,gagnant,чемпион,nouns,5.05
583,sauver,тратить,verbs,0.3
584,sobre,рациональный,adjectives,1.8
585,combattre,играть,verbs,0.75
586,acteur,телевидение,nouns,1.3
587,porte,проем,nouns,3.05
588,biologiste,микроскоп,nouns,1.6
589,personne,цент,nouns,0.05
590,délicatement,теперь,adverbs,0.15
591,certainement,явно,adverbs,3.1
592,singe,кампания,nouns,0.05
593,honnêtement,никогда,adverbs,0.05
594,désordonné,чистый,adjectives,0.75
595,émotion,настроение,nouns,3.05
596,aider,ассистировать,verbs,5.15
597,application,галакси,nouns,0.4
598,anormalement,отрицательно,adverbs,0.85
599,intestin,хладнокровие,nouns,1.65
600,fenêtre,облако,nouns,0.6
601,taille,цент,nouns,0.35
602,attraper,выпускать,verbs,0.25
603,polyèdre,актер,nouns,0.0
604,ouvrier,офис,nouns,0.9
605,chapeau,коробка,nouns,0.9
606,chance,счастье,nouns,2.8
607,chapelle,кабель,nouns,0.05
608,saint,грешник,nouns,1.0
609,humilier,утешать,verbs,0.5
610,jupe,часы,nouns,0.45
611,doucement,твердо,adverbs,0.75
612,passivement,надёжно,adverbs,0.35
613,préjudice,шовинист,nouns,0.9
614,notifier,признавать,verbs,0.9
615,riz,мальчик,nouns,0.05
616,organiser,собирать,verbs,2.0
617,terrasse,пол,nouns,1.95
618,ongle,шляпка,nouns,1.2
619,lit,кроватка,nouns,4.4
620,élève,учащийся,nouns,5.55
621,autruche,плодовый сад,nouns,0.05
622,intuition,чувство,nouns,3.9
623,tempête,туча,nouns,1.65
624,bagage,кругосветное плавание,nouns,1.0
625,capital,деньги,nouns,4.3
626,vendre,продаваться,verbs,0.6
627,nuage,окно,nouns,0.6
628,enseignant,преподаватель,nouns,5.6
629,apparaître,становиться,verbs,1.05
630,arguer,требовать,verbs,1.4
631,éviter,отвергать,verbs,1.8
632,explorer,игнорировать,verbs,0.3
633,génial,выдающийся,adjectives,4.65
634,maison,ковер,nouns,1.05
635,fier,печальный,adjectives,0.7
636,force,выносливость,nouns,3.15
637,facile,трудный,adjectives,0.88
638,perdre,готовить,verbs,0.05
639,barres,прыжки,nouns,1.35
640,sûr,легальный,adjectives,1.65
641,ancre,лодка,nouns,1.5
642,sauvegarder,коллекционировать,verbs,2.7
643,coeur,операция,nouns,1.3
644,planète,луна,nouns,2.5
645,poignet,рука,nouns,1.9
646,heureusement,смертельно,adverbs,0.4
647,assiette,миска,nouns,3.1
648,traducteur,иностранец,nouns,1.15
649,page,слово,nouns,1.55
650,arbre,лист,nouns,1.7
651,visa,глобализм,nouns,0.8
652,lit,одеяло,nouns,1.8
653,terminer,соревноваться,verbs,0.1
654,lin,ткань,nouns,2.85
655,officiellement,сильно,adverbs,0.4
656,église,хор,nouns,2.0
657,panier,мяч,nouns,1.05
658,honteux,скромный,adjectives,0.8
659,frais de scolarité,стипендия,nouns,1.55
660,blé,маис,nouns,3.25
661,employeur,работник,nouns,1.55
662,pomme,сладость,nouns,1.3
663,incertain,смутный,adjectives,4.75
664,admettre,отрицать,verbs,0.85
665,nuage,буря,nouns,1.65
666,logique,интеллект,nouns,3.15
667,haricot,кофе,nouns,0.75
668,voler,похищать,verbs,4.1
669,fiablement,грубо,adverbs,0.5
670,brume,дождь,nouns,2.75
671,type,товарищ,nouns,1.75
672,moteur,лодка,nouns,1.35
673,fortuit,неожиданный,adjectives,5.8
674,larme,глаз,nouns,1.4
675,précis,неправильный,adjectives,0.25
676,assister,собираться,verbs,0.5
677,tour,игра,nouns,1.65
678,révision,прогноз,nouns,1.1
679,attacher,соединять,verbs,1.45
680,politicien,полицейский,nouns,0.9
681,jument,лошадь,nouns,4.45
682,curseur,чип,nouns,0.2
683,corps,кровь,nouns,1.65
684,persévérance,сила,nouns,3.15
685,accord,прореха,nouns,0.0
686,os,лодыжка,nouns,1.75
687,cathédrale,церковь,nouns,4.25
688,ascenseur,автомобиль,nouns,0.75
689,soir,сумерки,nouns,3.85
690,contrarier,обижать,verbs,3.85
691,obtenir,оставаться,verbs,0.2
692,argent,капитал,nouns,4.3
693,fleur,выносливость,nouns,0.2
694,entreprise,предприятие,nouns,3.75
695,tranchant,тупой,adjectives,0.1
696,affreux,плохой,adjectives,3.65
697,calme,нейтральный,adjectives,2.0
698,porte,выход,nouns,3.1
699,sale,узкий,adjectives,0.1
700,convaincre,пытаться,verbs,0.75
701,puissant,слабый,adjectives,0.75
702,simulation,робототехника,nouns,1.2
703,date,дата,nouns,3.25
704,calendrier,дата,nouns,2.35
705,conforter,унижать,verbs,0.5
706,analyser,сравнивать,verbs,3.35
707,grossier,громкий,adjectives,1.5
708,information,книга,nouns,1.8
709,céréale,пшеница,nouns,3.55
710,volley-ball,мяч,nouns,1.55
711,plafond,собор,nouns,0.4
712,apparemment,очевидно,adverbs,3.3
713,armure,щит,nouns,3.2
714,chef,руководитель,nouns,4.4
715,fenêtre,лодыжка,nouns,0.0
716,accepter,прощать,verbs,1.7
717,sérieusement,искренне,adverbs,1.35
718,sentiment,интуиция,nouns,3.9
719,actuellement,деликатно,adverbs,0.15
720,représenter,уведомлять,verbs,0.7
721,loucher,пялиться,verbs,0.5
722,cou,позвоночник,nouns,2.1
723,rétrécir,исчезать,verbs,1.35
724,mari,мужчина,nouns,3.4
725,monstre,демон,nouns,4.6
726,hymne,библия,nouns,1.4
727,essayer,убеждать,verbs,0.75
728,trouver,обнаруживать,verbs,4.55
729,obtenir,терять,verbs,0.7
730,évident,заметный,adjectives,3.0
731,moyen,незначительный,adjectives,1.0
732,carbone,атом,nouns,2.35
733,aider,защищать,verbs,3.0
734,blesser,расстраивать,verbs,3.85
735,faire,создавать,verbs,4.7
736,molécule,матрица,nouns,0.7
737,déterminer,эвакуировать,verbs,0.3
738,barrière,ограда,nouns,4.8
739,violette,цветок,nouns,3.05
740,préchauffage,подогрев,nouns,3.65
741,probablement,положительно,adverbs,0.75
742,os,локоть,nouns,1.65
743,salle de cours,коридор,nouns,1.0
744,divertir,угождать,verbs,0.95
745,bain,шар,nouns,0.1
746,détruire,создавать,verbs,0.8
747,robe,танец,nouns,0.8
748,taureau,теленок,nouns,2.65
749,jamais,щедро,adverbs,0.05
750,collecte de fonds,event,nouns,1.1
751,saluer,выступать,verbs,0.65
752,examiner,исследовать,verbs,4.4
753,accident,авария,nouns,3.7
754,air,гелий,nouns,2.15
