ID,HEB,RUS,PoS,score
127,שופט,суд,nouns,1.65
128,ספרה,число,nouns,4.9
129,ספר,литература,nouns,2.1
130,בטוח,нервный,adjectives,0.2
131,דיודה,конденсатор,nouns,1.65
132,סטודנט,профессор,nouns,0.95
133,שותף,мальчик,nouns,0.9
134,לאפשר,разъедать,verbs,0.05
135,מפתח,замок,nouns,1.2
136,להושיע,спасать,verbs,5.0
137,לעיתים קרובות,редко,adverbs,0.6
138,להצביע,выбирать,verbs,3.6
139,מיטה,спальня,nouns,1.45
140,לקבל,оставаться,verbs,0.35
141,אקדח,шалость,nouns,0.15
142,ראש,ступня,nouns,0.85
143,לרוץ,ездить,verbs,0.7
144,רוח,бог,nouns,1.6
145,מנגינה,ритм,nouns,3.15
146,מצחיק,скучный,adjectives,0.5
147,טיפש,упрямый,adjectives,0.75
148,מטומטם,умный,adjectives,0.5
149,רגל,песок,nouns,0.25
150,היגיון,интеллект,nouns,2.55
151,גשם,изморось,nouns,2.0
152,בשר,бутерброд,nouns,0.9
153,פרק,выбор,nouns,0.4
154,הפוך,уникальный,adjectives,0.3
155,מדינה,дом,nouns,0.9
156,סמל,знак,nouns,4.6
157,מחברת,пистолет,nouns,0.0
158,פתוגן,микроб,nouns,3.85
159,דיונה,пустыня,nouns,2.1
160,שוטר,политик,nouns,0.45
161,סופר,роман,nouns,1.25
162,מכוער,беспорядочный,adjectives,0.65
163,מילה,литература,nouns,1.3
164,כבש,ягненок,nouns,3.25
165,לחפש,странствовать,verbs,1.3
166,דודה,племянник,nouns,1.05
167,ללכת,посылать,verbs,0.4
168,באופן מקומי,очевидно,adverbs,0.1
169,סוסון,конь,nouns,2.35
170,בוגר,изысканный,adjectives,0.75
171,פרה,скот,nouns,3.2
172,לפגוע,пинать,verbs,1.85
173,גוף,желудок,nouns,1.7
174,זול,доступный,adjectives,2.35
175,שיעור,значение,nouns,0.7
176,מצלמה,линза,nouns,1.45
177,ילד,рис,nouns,0.2
178,מפולת שלגים,снег,nouns,1.75
179,כבד,орган,nouns,1.8
180,ליצור,представлять,verbs,1.05
181,בגדים,шкаф,nouns,0.9
182,ויכוח,соглашение,nouns,0.75
183,חדש,старый,adjectives,0.6
184,עשב,марихуана,nouns,2.65
185,כיף,футбол,nouns,0.95
186,צורה,мода,nouns,0.7
187,להפוך,завершать,verbs,0.6
188,באופן שלילי,неестественно,adverbs,0.65
189,להתעלם,покидать,verbs,0.7
190,כריך,обед,nouns,1.35
191,להחליף,восстанавливать,verbs,2.0
192,ראש,плечо,nouns,1.0
193,חופש,свобода,nouns,5.8
194,ג'ין,алкоголь,nouns,2.15
195,מערכת אקולוגית,экономика,nouns,0.85
196,עצב,тело,nouns,0.8
197,להצליח,проваливать,verbs,0.5
198,חדש,старый,adjectives,0.5
199,קר,обычный,adjectives,0.2
200,בערך,грубо,adverbs,1.2
201,מיץ,молоко,nouns,0.85
202,קישוט,конверт,nouns,0.3
203,דביק,мокрый,adjectives,0.95
204,ליפול,ушибить,verbs,1.2
205,בלון,народ,nouns,0.1
206,אירוסין,кольцо,nouns,1.7
207,סמסטר,срок,nouns,2.15
208,בחירה,глава,nouns,0.4
209,לדרג,отмечать,verbs,2.0
210,אח,мальчик,nouns,1.9
211,גדול,огромный,adjectives,4.9
212,לשכנע,пытаться,verbs,0.85
213,לאחרונה,теперь,adverbs,0.7
214,ליצור,рисовать,verbs,1.5
215,שמיים,солнце,nouns,1.2
216,ללחוץ,освобождать,verbs,0.45
217,איבר,печень,nouns,1.8
218,אפס,бесконечность,nouns,0.8
219,עוצמה,сила,nouns,4.55
220,להכחיש,лгать,verbs,1.25
221,גיטרה,форель,nouns,0.05
222,אגם,облако,nouns,0.55
223,גבעה,утес,nouns,2.25
224,נשמה,брат,nouns,0.6
225,כרגע,деликатно,adverbs,0.0
226,זווית,изгиб,nouns,2.7
227,לקחת,доставлять,verbs,0.7
228,להתפעל,обожать,verbs,3.85
229,הגדרה,словарь,nouns,2.0
230,מחלה,рак,nouns,2.0
231,ספה,стул,nouns,1.65
232,נושא,история,nouns,1.05
233,חסר צורה,аморфный,adjectives,4.55
234,זרוע,колено,nouns,1.1
235,אשליה,реальность,nouns,0.8
236,להתחזות,изображать,verbs,3.5
237,להסכים,спорить,verbs,0.55
238,חד,мягкий,adjectives,0.45
239,כותנה,свитер,nouns,1.05
240,דם,плоть,nouns,1.3
241,רע,нечестный,adjectives,1.05
242,צמיגות,всплеск,nouns,0.45
243,סיגר,трубка,nouns,2.45
244,טלסקופ,мозговой штурм,nouns,0.0
245,חשמלית,поезд,nouns,2.15
246,אוטובוס,таксомотор,nouns,1.55
247,נכס,акции,nouns,2.6
248,רחב,узкий,adjectives,0.55
249,תמונה,идея,nouns,1.3
250,צדק,суд,nouns,1.95
251,לרכב,бежать,verbs,0.7
252,כפפה,мяч,nouns,0.55
253,ביולוג,микроскоп,nouns,1.1
254,מעבר,коридор,nouns,4.15
255,שוקולד,пирог,nouns,0.9
256,סנט,конституция,nouns,0.85
257,להטריח,обострять,verbs,0.15
258,כלי,скрипка,nouns,1.95
259,טלויזיה,кино,nouns,2.7
260,עצם,колено,nouns,1.35
261,מולקולה,воздух,nouns,1.25
262,להאמין,принимать,verbs,1.15
263,ים,река,nouns,1.5
264,לשים,получать,verbs,0.55
265,נסיכה,невеста,nouns,0.9
266,נדיר,необычный,adjectives,4.05
267,הלילה,завтра,adverbs,0.75
268,מכונית,грузовик,nouns,2.7
269,אך ורק,полностью,adverbs,1.5
270,נוכחות,победитель,nouns,0.05
271,לדבר,шептать,verbs,1.7
272,לחפש,находить,verbs,1.4
273,וידוי,отрицание,nouns,0.4
274,באופן לא הוגן,довольно,adverbs,0.6
275,באופן סביל,надёжно,adverbs,0.5
276,לעזוב,забирать,verbs,0.2
277,לקחת,завладевать,verbs,2.3
278,לרמות,обманывать,verbs,4.9
279,עצום,большой,adjectives,4.9
280,לדחות,избегать,verbs,1.05
281,ספר,эссе,nouns,1.7
282,מבוגר,ребенок,nouns,1.1
283,לפרוש,уходить,verbs,3.65
284,לפעמים,конечно,adverbs,0.2
285,מפתח,дом,nouns,1.05
286,מצומצם,скудный,adjectives,1.55
287,לאשר,уведомлять,verbs,0.95
288,שקיעה,рассвет,nouns,1.3
289,כף,чашка,nouns,1.15
290,לעולם לא,отрицательный,adjectives,1.9
291,בוודאי,иногда,adverbs,0.2
292,ממתק,корица,nouns,0.8
293,שותף,парень,nouns,1.55
294,לנסות,убеждать,verbs,0.85
295,לנהוג,останавливаться,verbs,0.5
296,בטבעיות,неестественно,adverbs,0.5
297,בדיה,биография,nouns,0.9
298,מכונית,завод,nouns,0.65
299,ללמוד,спутывать,verbs,0.3
300,עכבר,управление,nouns,0.35
301,מחוץ לנישואין,неприличный,adjectives,0.15
302,נחמד,жестокий,adjectives,0.4
303,פוסטר,бумага,nouns,2.2
304,לחבר,отделять,verbs,0.5
305,שמחה,умиротворенность,nouns,1.4
306,מעלית,коробка,nouns,0.65
307,הליום,воздух,nouns,1.75
308,חבר,гость,nouns,1.65
309,להשאיר,достигать,verbs,0.35
310,לנגב,ухудшать,verbs,0.0
311,משמח,восхитительный,adjectives,3.3
312,קדוש,драгоценный,adjectives,2.2
313,המשך,камера,nouns,0.0
314,חכם,тупой,adjectives,0.65
315,בעיקרון,вполне,adverbs,0.85
316,שונה,обычный,adjectives,0.5
317,תובנה,факт,nouns,2.65
318,בת,отец,nouns,1.15
319,קרסול,локоть,nouns,1.25
320,כסף,бриллиант,nouns,0.95
321,פעם אחת,немедленно,adverbs,0.25
322,ביתן,хижина,nouns,3.5
323,להפציר,угождать,verbs,0.8
324,שדה תעופה,кусок,nouns,0.1
325,לחנוק,жечь,verbs,0.35
326,לשלם,лечить,verbs,0.3
327,כף רגל,база,nouns,0.55
328,קבר,перезахоронения,nouns,1.5
329,לחפש,спрашивать,verbs,1.35
330,מלגה,обучение,nouns,1.05
331,רציני,смешной,adjectives,0.5
332,לבחור,хотеть,verbs,0.95
333,רגיל,обычный,adjectives,5.8
334,תאריך,календарь,nouns,1.6
335,לדכא,подбодрять,verbs,0.55
336,נפש,невроз,nouns,0.7
337,ברונכיטיס,ацетаминофен,nouns,1.05
338,בחוזקה,твердо,adverbs,2.25
339,צלב,монах,nouns,1.35
340,בחשאי,очевидно,adverbs,0.35
341,גבול,рубеж,nouns,4.35
342,סיפור,книга,nouns,1.65
343,פחם,рашкуль,nouns,1.15
344,בקרוב,немедленно,adverbs,1.9
345,להכריע,душить,verbs,0.6
346,מצחיק,печальный,adjectives,0.5
347,רחב,узкий,adjectives,0.55
348,קצין,лейтенант,nouns,2.2
349,לקבל,посылать,verbs,0.5
350,נייר,дерево,nouns,1.1
351,סיפור,тема,nouns,1.05
352,כבד,груженный,adjectives,2.0
353,קרב,завоевание,nouns,1.9
354,מיץ,ложка,nouns,0.4
355,בגדים,пальто,nouns,1.8
356,פסנתר,гармония,nouns,0.75
357,וויסקי,шампанское,nouns,1.6
358,קרושה,форма,nouns,0.35
359,מכה,рамка,nouns,0.0
360,עיתון,известие,nouns,1.4
361,מעולה,плохой,adjectives,0.45
362,וריד,рука,nouns,0.95
363,ממשלה,ящерица,nouns,0.05
364,לקנות,платить,verbs,1.8
365,להזניח,отрекаться,verbs,0.5
366,לשיר,плавать,verbs,0.25
367,קרן,барабан,nouns,0.8
368,ענן,погода,nouns,1.0
369,עצב,счастье,nouns,0.6
370,להחמיר,беспокоить,verbs,0.15
371,אלומיניום,металл,nouns,2.0
372,לאפשר,идти,verbs,0.15
373,ללכת,путешествовать,verbs,2.15
374,לשלוט,побеждать,verbs,1.35
375,קל,гибкий,adjectives,1.65
376,קומבינציה,соединение,nouns,2.75
377,לרכוש,брать,verbs,1.5
378,לאומי,большой,adjectives,0.4
379,דין,магистрат,nouns,1.8
380,לסגת,поглощать,verbs,0.2
381,בייקון,завтрак,nouns,1.1
382,לאפות,жарить,verbs,1.75
383,עובד,офис,nouns,1.05
384,להגביל,уменьшить,verbs,2.1
385,אל,дьявол,nouns,1.1
386,רגשית,грустно,adverbs,0.85
387,לשלב,комбинировать,verbs,4.0
388,לרצות,ладить,verbs,1.15
389,שריפה,апокалипсис,nouns,1.05
390,לעשות,становиться,verbs,0.75
391,אי,задача,nouns,0.0
392,להאשים,лгать,verbs,0.5
393,משימה,автострада,nouns,0.1
394,לתעב,обвинять,verbs,0.55
395,טבע,флора,nouns,2.6
396,לשוטט,странствовать,verbs,4.35
397,להרשות,давать,verbs,2.15
398,כדור,корзина,nouns,0.9
399,ביקורתי,грубый,adjectives,0.75
400,כלה,принцесса,nouns,0.9
401,גלקסי,приложение,nouns,0.6
402,לרצות,удовлетворять,verbs,2.8
403,בזהירות,внимательно,adverbs,3.1
404,פקעת,цветок,nouns,1.25
405,לבן,узкий,adjectives,0.0
406,לרצות,желать,verbs,4.85
407,אלכוהול,бренди,nouns,2.35
408,נורא,прекрасный,adjectives,0.4
409,מלחין,писатель,nouns,1.35
410,לנחש,раздражать,verbs,0.05
411,תשלום,гонорар,nouns,3.45
412,נוסחה,журнал,nouns,0.4
413,ארנב,кот,nouns,0.8
414,מנוע,лодка,nouns,1.1
415,פרפסיכולוגיה,нейропсихология,nouns,1.4
416,לצמצם,спускаться,verbs,0.9
417,באושר,смертельно,adverbs,0.25
418,להוסיף,умножать,verbs,0.8
419,לולאה,пояс,nouns,1.1
420,להצטרף,покидать,verbs,0.5
421,בייקון,мясо,nouns,2.4
422,מכתב,абзац,nouns,1.25
423,ספר,библия,nouns,1.6
424,לקבל,доставлять,verbs,0.6
425,דם,вирус,nouns,0.95
426,שלג,снежный обвал,nouns,1.75
427,סרט,кинолента,nouns,3.75
428,לדשדש,ездить,verbs,0.5
429,לשרבט,записывать,verbs,2.5
430,מילון,слово,nouns,1.35
431,להרוג,бороться,verbs,0.65
432,להופיע,покидать,verbs,0.35
433,אבא,мать,nouns,1.75
434,הערכה,честь,nouns,4.2
435,למצוא,исчезать,verbs,0.5
436,להרוג,душить,verbs,2.35
437,לרוב,нерегулярно,adverbs,0.5
438,אישה,мужчина,nouns,1.0
439,טהור,скромный,adjectives,0.8
440,כעס,ярость,nouns,4.7
441,זרוע,тело,nouns,1.3
442,מכוסה,непокрытый,adjectives,0.55
443,ממתק,яблоко,nouns,1.0
444,גלוי,неизвестный,adjectives,0.65
445,עלה,дерево,nouns,1.3
446,בשר,говядина,nouns,2.55
447,גייזר,весна,nouns,0.1
448,צמא,голодный,adjectives,1.3
449,קופסה,сигара,nouns,0.8
450,להופיע,приветствовать,verbs,0.85
451,לספוג,уменьшить,verbs,0.25
452,להתחרות,заканчивать,verbs,0.1
453,להוכיח,объяснять,verbs,2.35
454,למשוך,толкать,verbs,0.8
455,מציאה,пенни,nouns,0.35
456,שוביניסט,предубеждение,nouns,1.95
457,אופנה,форма,nouns,0.7
458,פעולה,алгебра,nouns,0.5
459,גב,тело,nouns,1.5
460,קיץ,зима,nouns,0.95
461,מצחיק,серьезный,adjectives,0.5
462,לשנוא,критиковать,verbs,0.65
463,ברנדי,вино,nouns,1.8
464,ספר,авария,nouns,0.0
465,לקבור,умереть,verbs,1.0
466,בגאווה,мирно,adverbs,0.1
467,כינור,инструмент,nouns,1.95
468,לחי,язык,nouns,1.15
469,מותן,трапеза,nouns,0.4
470,אל,отец,nouns,0.85
471,ספסל,стул,nouns,2.15
472,מצביע,слайд,nouns,0.2
473,רעיון,образ,nouns,1.3
474,להכות,смешивать,verbs,0.1
475,אדם,животное,nouns,1.1
476,קרדיגן,рубашка,nouns,1.35
477,לרצות,выбирать,verbs,0.95
478,מגדל,колокол,nouns,0.9
479,להתווכח,требовать,verbs,0.85
480,זרוע,шея,nouns,0.9
481,גיטרה,скрипка,nouns,1.45
482,מהירות,пост,nouns,0.3
483,לספוג,отделяться,verbs,0.2
484,חדר שינה,кровать,nouns,1.45
485,משוגע,ужасный,adjectives,0.55
486,לילה,рассвет,nouns,1.1
487,באופן לא הוגן,необоснованно,adverbs,1.55
488,משעמם,посредственный,adjectives,1.75
489,לחם,сыр,nouns,0.75
490,מיליונר,доллар,nouns,1.2
491,מנזר,душ,nouns,0.0
492,אגם,болото,nouns,0.95
493,לעולם לא,честно говоря,adverbs,0.0
494,לשלוט,останавливать,verbs,0.55
495,הקפת כדור הארץ,багаж,nouns,0.6
496,לחפש,просить,verbs,0.65
497,מדע,психология,nouns,1.8
498,לחזור,практиковаться,verbs,1.25
499,שיח,цветок,nouns,1.75
500,לדעת,понимать,verbs,1.55
501,להצדיע,выступать,verbs,0.85
502,תמים,свободный,adjectives,0.1
503,פעמון,дверь,nouns,1.05
504,חרדל,зерно,nouns,1.4
505,משונה,странный,adjectives,4.85
506,לצרוך,устраивать,verbs,0.15
507,להפתיע,праздновать,verbs,0.75
508,משרה,скорость,nouns,0.3
509,זיהום,президент,nouns,0.05
510,אורח,друг,nouns,1.65
511,מכללה,класс,nouns,1.15
512,ללכת,входить,verbs,0.8
513,קרח,вода,nouns,2.4
514,אזור,угол,nouns,0.65
515,דם,мозг,nouns,1.0
516,קהה,острый,adjectives,0.85
517,חצוף,критичный,adjectives,0.75
518,תמיד,дважды,adverbs,0.5
519,בייסבול,баскетбол,nouns,1.6
520,תנאי,пакт,nouns,1.7
521,בנחישות,плотно,adverbs,2.25
522,מורה,ученик,nouns,1.2
523,לקבל,отвергать,verbs,0.25
524,לרדוף,следовать,verbs,2.35
525,לעזוב,оставаться,verbs,0.5
526,גבר,воин,nouns,1.6
527,שנייה,минута,nouns,1.7
528,הנהלה,мышь,nouns,0.35
529,ביולוגיה,анатомия,nouns,2.25
530,שבוע,выходной,nouns,1.15
531,ענן,окно,nouns,0.5
532,טייס,водитель,nouns,2.05
533,לאסוף,сохранять,verbs,2.1
534,עצם,рука,nouns,1.1
535,חבר,парень,nouns,1.7
536,שחקנית,актер,nouns,3.0
537,עוני,богатство,nouns,0.6
538,לחשוד,арестовывать,verbs,0.55
539,דביק,грязный,adjectives,1.35
540,מיכל,мышь,nouns,0.0
541,לא הוגן,жестокий,adjectives,1.4
542,חולצה,кардиган,nouns,1.35
543,לילה,день,nouns,0.6
544,ממוצע,обычный,adjectives,2.7
545,מהנה,радостный,adjectives,3.3
546,צמחייה,природа,nouns,2.6
547,חיוני,необходимый,adjectives,4.3
548,להאמין,знать,verbs,0.7
549,עצבני,уверенный,adjectives,0.2
550,להיכנס,идти,verbs,0.8
551,לשמור,давать,verbs,0.4
552,לגלות,происходить,verbs,0.4
553,לבכות,реветь,verbs,4.65
554,להיפגש,плавать,verbs,0.05
555,צנום,худенький,adjectives,4.05
556,מנוע,мотор,nouns,5.45
557,מטר,дюйм,nouns,1.6
558,קשה,прочный,adjectives,3.8
559,רגל,рука,nouns,1.25
560,רזה,стройный,adjectives,4.05
561,סופר,дар,nouns,1.05
562,לשלוח,приносить,verbs,0.7
563,תא,запирание,nouns,1.15
564,עונה,зима,nouns,1.7
565,עץ,бумага,nouns,1.1
566,ספר,информация,nouns,1.4
567,אנשים,ружье,nouns,0.35
568,רעיון,план,nouns,1.95
569,אוגוסט,месяц,nouns,2.5
570,להיווצר,начинать,verbs,1.15
571,לעזוב,входить,verbs,0.45
572,מכריע,важный,adjectives,3.3
573,עיתונאי,поэт,nouns,1.15
574,דוכס,республика,nouns,0.6
575,ברך,рука,nouns,1.1
576,להישאר,покидать,verbs,0.5
577,כלב,кошка,nouns,0.95
578,לסיים,решать,verbs,1.75
579,לדרוש,спорить,verbs,0.85
580,זוג,пара,nouns,5.4
581,להתחזות,воображать,verbs,1.55
582,לברוח,находить,verbs,0.4
583,אכזרי,милый,adjectives,0.4
584,כסף,зарплата,nouns,3.2
585,זעיר,значительный,adjectives,0.5
586,מושחת,плохой,adjectives,2.2
587,כבל,волшебник,nouns,0.15
588,בעל ערך,особый,adjectives,2.6
589,מבוגר,родитель,nouns,1.8
590,בחוכמה,зрело,adverbs,0.75
591,דם,тело,nouns,1.0
592,לסגת,удаляться,verbs,3.65
593,שמח,радостный,adjectives,4.85
594,גוף,нерв,nouns,0.8
595,צוואר,рука,nouns,0.9
596,מסע,поездка,nouns,4.25
597,גס,уродливый,adjectives,1.35
598,מלאך,демон,nouns,0.75
599,בשלווה,спокойно,adverbs,5.0
600,עין,слеза,nouns,1.25
601,זיהום,сгибание,nouns,0.05
602,כוכב,астероид,nouns,1.95
603,חוף,риф,nouns,1.45
604,להתחיל,происходить,verbs,1.15
605,תעלול,ружье,nouns,0.15
606,נזק,боль,nouns,1.55
607,שפך,море,nouns,0.85
608,סוף שבוע,гонка,nouns,0.05
609,להאמין,чувствовать,verbs,1.2
610,אסון,авария,nouns,3.95
611,להשאיל,держать,verbs,0.65
612,אלגברה,операция,nouns,0.5
613,שיר,баллада,nouns,3.85
614,זכות בחירה,выход,nouns,0.0
615,פרק,ночь,nouns,0.05
616,תעלול,ванна,nouns,0.0
617,ברוגע,решительно,adverbs,0.4
618,כבד,легкое,nouns,1.1
619,דמדומים,вечер,nouns,3.2
620,ספירה,мяч,nouns,2.2
621,ליצור,делать,verbs,4.0
622,לשקם,ремонтировать,verbs,3.85
623,לגנוב,покупать,verbs,0.35
624,אישה,джинсы,nouns,0.45
625,חיידק,патогенный микроорганизм,nouns,3.85
626,בית משפט,судья,nouns,1.65
627,לחלק,объединять,verbs,0.55
628,למכור,торговать,verbs,4.45
629,כנראה,возможно,adverbs,4.0
630,שלב,гол,nouns,0.45
631,לשלוט,выигрывать,verbs,1.65
632,מזוייף,настоящий,adjectives,0.65
633,כנסייה,собор,nouns,4.0
634,שקיעה,вечер,nouns,2.15
635,שלום,счастье,nouns,1.4
636,מבוגר,младенец,nouns,1.1
637,שרפרף,стул,nouns,3.1
638,בחירות,выбор,nouns,2.65
639,חשוב,решающий,adjectives,3.3
640,צי,армия,nouns,2.9
641,תפוד,масло,nouns,0.8
642,להרוס,создавать,verbs,0.55
643,מאוד,невероятно,adverbs,0.4
644,ללכת,продавать,verbs,0.45
645,גברים,братство,nouns,0.7
646,להגיע,идти,verbs,1.25
647,הפוך,другой,adjectives,0.9
648,מאוד,ярко,adverbs,0.75
649,לחנוק,обнимать,verbs,0.65
650,מעוקל,прямой,adjectives,0.55
651,לקרוא,укусить,verbs,0.0
652,מודעות,внимание,nouns,1.15
653,כוס,кувшин,nouns,1.7
654,לגדל,поднимать,verbs,1.55
655,מטרייה,калибр,nouns,0.3
656,להגן,убивать,verbs,0.4
657,כלכלה,экосистема,nouns,0.85
658,ידית,белок,nouns,0.0
659,שעון,юбка,nouns,0.35
660,סערה,туча,nouns,1.7
661,צוואר,кость,nouns,0.75
662,פאי,шоколад,nouns,0.9
663,שגרתי,обычный,adjectives,5.8
664,להתדרדר,протирать,verbs,0.0
665,דרום,север,nouns,0.95
666,תה,лимон,nouns,0.9
667,יוגורט,коро́ва,nouns,0.65
668,קצר,длинный,adjectives,0.55
669,לנסות,думать,verbs,0.4
670,בקלות,ярко,adverbs,0.4
671,כוכב,планета,nouns,3.25
672,אשראי,заёмщик,nouns,1.7
673,סוס,собака,nouns,0.8
674,להקשיב,слышать,verbs,3.35
675,לחשוב,обосновывать,verbs,1.5
676,קערה,хвост,nouns,0.0
677,מדליה,тренери,nouns,0.65
678,אריג,одежда,nouns,1.95
679,לבעוט,ушибить,verbs,1.85
680,רעיה,цент,nouns,0.0
681,לטעון,жаловаться,verbs,1.3
682,פסגה,низ,nouns,0.65
683,פח,металл,nouns,1.65
684,לחיות,выживать,verbs,2.25
685,אמא,подруга,nouns,1.05
686,חוקה,император,nouns,0.5
687,תותח,ружье,nouns,2.3
688,מזכירה,женщина,nouns,1.05
689,מסכן,гордый,adjectives,0.15
690,שולחן,закат,nouns,0.0
691,במהירות,срочно,adverbs,3.35
692,קשה,простой,adjectives,0.4
693,להפסיד,проваливать,verbs,2.3
694,להצדיק,думать,verbs,1.5
695,בינוני,плохой,adjectives,0.95
696,בשר,бекон,nouns,2.4
697,היום,сегодня ночью,adverbs,1.5
698,בקבוק,банка,nouns,2.15
699,בטן,курс,nouns,0.1
700,קשה,легкий,adjectives,0.55
701,שמיים,вселенная,nouns,1.6
702,זול,грязный,adjectives,0.4
703,לאמת,обосновывать,verbs,2.8
704,להניח,давать,verbs,0.75
705,אמונה,цветок,nouns,0.05
706,קיר,кирпич,nouns,1.35
707,הר געש,магма,nouns,1.65
708,שחיתות,мошенничество,nouns,2.85
709,מידע,энтропия,nouns,0.85
710,סילון,самолет,nouns,1.45
711,יקר,стеснительный,adjectives,0.05
712,פרווה,норка,nouns,2.5
713,המנון,солома,nouns,0.0
714,לדחוף,тянуть,verbs,0.8
715,חוקי,безопасный,adjectives,1.05
716,צמח,сельское хозяйство,nouns,1.25
717,בסיס,кислота,nouns,0.65
718,תיבה,будка,nouns,3.55
719,דלת,коридор,nouns,1.05
720,משעמם,смешной,adjectives,0.5
