ID,CYM,FRA,PoS,score
65,enaid,frère,nouns,0.3
66,torri,fissurer,verbs,3.25
67,prif air,syntaxe,nouns,0.8
68,tun,métal,nouns,3.15
69,brwydr,conquête,nouns,3.0
70,garw,frigide,adjectives,0.5
71,edau,brin,nouns,3.75
72,llywydd,élève,nouns,0.65
73,gwn,aube,nouns,0.05
74,miniog,doux,adjectives,0.75
75,yn fras,marginalement,adverbs,0.65
76,gwario,sauver,verbs,0.3
77,cydymaith,amant,nouns,3.95
78,diddanu,satisfaire,verbs,1.65
79,llew,chat,nouns,2.55
80,gwthio,critiquer,verbs,0.25
81,awyren,jet,nouns,4.45
82,benthyciwr,crédit,nouns,1.6
83,aros,retenir,verbs,0.95
84,prin,stupide,adjectives,0.15
85,merch,père,nouns,1.5
86,hysbysu,polir,verbs,0.1
87,deall,lire,verbs,0.9
88,llygoden,pont,nouns,0.05
89,llythyr,paragraphe,nouns,1.55
90,perllan,autruche,nouns,0.05
91,hyderus,sûr,adjectives,5.1
92,tacsi,tacot,nouns,5.25
93,diflannu,rétrécir,verbs,1.95
94,deallusrwydd,sagesse,nouns,3.8
95,cwyno,apporter,verbs,0.1
96,caban,campement,nouns,1.1
97,dyn,vainqueur,nouns,0.75
98,ased,action,nouns,3.7
99,amsugno,posséder,verbs,0.65
100,llygoden,réceptacle,nouns,0.05
101,afiechyd,infection,nouns,4.95
102,carped,maison,nouns,0.8
103,cydnabod,parler,verbs,0.35
104,cleddyf,trône,nouns,0.85
105,angenrheidiol,important,adjectives,3.95
106,ci hela,renard,nouns,1.55
107,ffidil,instrument,nouns,2.9
108,cig,boeuf,nouns,3.2
109,ymennydd,nerf,nouns,1.55
110,dŵr,sel,nouns,0.85
111,dal,chasser,verbs,1.5
112,anwybyddu,imprimer,verbs,0.1
113,nos,chapitre,nouns,0.1
114,llwyddo,atteindre,verbs,4.5
115,theorem,théorie,nouns,3.8
116,seren,planète,nouns,2.95
117,yn anghywir,précisément,adverbs,0.75
118,ennill,accomplir,verbs,1.9
119,coginio,mélanger,verbs,1.6
120,cyfarwyddwr,cinématographie,nouns,1.65
121,perygl,maladie,nouns,0.8
122,tad,frère,nouns,1.75
123,gair,journal,nouns,1.3
124,cynorthwy-ydd,servante,nouns,2.2
125,ffordd o fyw,civilisation,nouns,3.15
126,coleg,profession,nouns,0.75
127,fformiwla,registre,nouns,1.3
128,llyn,nuage,nouns,0.55
129,wedi cyffroi,effrayé,adjectives,1.65
130,glaw,brume,nouns,2.55
131,yn gywir,activement,adverbs,0.65
132,liberti,liberté,nouns,4.75
133,yn gyfrinachgar,manifestement,adverbs,0.55
134,ffôn,cabine,nouns,0.75
135,niwtral,calme,adjectives,1.5
136,angen,se renseigner,verbs,0.45
137,hanesydd,historiographe,nouns,3.6
138,llosgi,étouffer,verbs,1.2
139,eilradd,important,adjectives,0.7
140,dewis,prison,nouns,0.15
141,hwyliau,émotion,nouns,3.1
142,cadw,retenir,verbs,4.9
143,gadael,rencontrer,verbs,0.4
144,fel arfer,irrégulièrement,adverbs,0.75
145,harbwr,emballage,nouns,0.45
146,trist,fier,adjectives,0.75
147,mam,gardien,nouns,1.75
148,cyflog,honoraire,nouns,5.1
149,cameo,performance,nouns,3.3
150,theori,chimie,nouns,1.05
151,pwnc,récit,nouns,1.5
152,afal,sauce,nouns,0.95
153,symbol,code,nouns,2.75
154,creu,plonger,verbs,0.1
155,gwerthu,emprunter,verbs,0.75
156,dodrefn,appartement,nouns,1.3
157,hyll,désordonné,adjectives,0.85
158,darganfod,provenir,verbs,0.4
159,awyren,aéroport,nouns,2.3
160,rhoi,pendre,verbs,0.6
161,sgleinio,informer,verbs,0.1
162,dilyn,chasser,verbs,2.2
163,ennill,battre,verbs,4.05
164,cynllun,idée,nouns,2.75
165,ceg,lèvre,nouns,3.35
166,balŵn,peuple,nouns,0.0
167,corff,poitrine,nouns,1.75
168,cychwyn,débuter,verbs,5.85
169,croes,moine,nouns,1.25
170,dewis,choisir,verbs,5.05
171,arbediad,épargnant,nouns,2.6
172,digonedd,profusion,nouns,5.05
173,cyflawni,devenir,verbs,1.45
174,ffa,riz,nouns,1.5
175,gwraig,paille,nouns,0.0
176,deiet,salade,nouns,1.25
177,cytundeb,trou,nouns,0.0
178,gwely,pièce,nouns,0.7
179,da,cinquième,adjectives,0.15
180,cuddwisgo,couvrir,verbs,2.55
181,ffabrig,lin,nouns,2.65
182,methu,compter,verbs,0.35
183,priffordd,tâche,nouns,0.05
184,ymddygiadaeth,thérapie,nouns,2.05
185,arian cyfred,concours,nouns,0.65
186,polyester,coton,nouns,2.0
187,emyn,paille,nouns,0.1
188,hyblyg,facile,adjectives,1.5
189,dod yn,apparaître,verbs,1.35
190,bwyd,programme,nouns,0.6
191,rhad,sale,adjectives,0.15
192,pechadur,saint,nouns,1.2
193,cerbyd,wagon,nouns,4.65
194,yr un peth,similaire,adjectives,5.1
195,arweinydd,manager,nouns,4.15
196,llawr,terrasse,nouns,2.3
197,ceffyl,jument,nouns,4.55
198,gwely,chaise,nouns,1.35
199,morwyn,auxiliaire,nouns,2.2
200,cyfrwys,intelligent,adjectives,1.3
201,nôl rhywbeth,acheter,verbs,1.25
202,dysgu,évaluer,verbs,0.95
203,ton,météo,nouns,0.45
204,pen,alphabet,nouns,0.55
205,pîn-afal,smartphone,nouns,0.0
206,anfoesol,illégal,adjectives,2.55
207,batri,énergie,nouns,3.35
208,myfyriwr,élève,nouns,5.3
209,tsunami,mer,nouns,1.85
210,yn hael,gentiment,adverbs,2.8
211,planhigyn,agriculture,nouns,1.25
212,deintydd,orthodontiste,nouns,4.4
213,ennill,dominer,verbs,3.2
214,athletwr,coureur,nouns,3.35
215,beichio,crier,verbs,3.05
216,ael,œil,nouns,1.75
217,cwch,moteur,nouns,1.3
218,lladd,détruire,verbs,3.15
219,uchder,conversion,nouns,0.2
220,peilliad,étamine,nouns,1.75
221,wedi blino,ennuyeux,adjectives,1.15
222,protein,poignée,nouns,0.1
223,pot,dispositif,nouns,0.05
224,salad,régime,nouns,1.25
225,cludo,soulever,verbs,1.85
226,alwminiwm,métal,nouns,3.1
227,yn ochelgar,soigneusement,adverbs,3.2
228,dimai,taille,nouns,0.05
229,rhoi,savoir,verbs,0.3
230,ffôn,portable,nouns,5.05
231,doethineb,intelligence,nouns,3.8
232,prynu,payer,verbs,3.45
233,gwefus,bouche,nouns,3.35
234,cymysgu,boire,verbs,0.55
235,cyfreithlon,illégal,adjectives,0.7
236,ymgeisydd,candidature,nouns,2.3
237,trosedd,attaque,nouns,2.35
238,gofyn,ignorer,verbs,0.55
239,wastad,deux fois,adverbs,0.95
240,glaswellt,mousse,nouns,2.1
241,ffrind,mère,nouns,1.45
242,prynu,recevoir,verbs,1.25
243,mosäig,basilique,nouns,0.75
244,gwersyll,chalet,nouns,1.1
245,balŵn,bain,nouns,0.1
246,rhadlon,entrant,adjectives,0.2
247,ymennydd,esprit,nouns,3.95
248,mam,épouse,nouns,2.55
249,theori,hypothèse,nouns,4.95
250,meddwl,rationaliser,verbs,3.25
251,parasetamol,bronchite,nouns,0.9
252,blaengau,lutter,verbs,0.55
253,drws,sol,nouns,0.4
254,mis,août,nouns,2.75
255,yn ddiffuant,honnêtement,adverbs,5.25
256,corff,bras,nouns,1.65
257,gwn,fourrure,nouns,0.1
258,unigryw,contraire,adjectives,0.25
259,yn hawdd,confortablement,adverbs,1.4
260,arian parod,argent,nouns,3.9
261,gorynys,île,nouns,3.15
262,dillad isaf,corps,nouns,0.95
263,gwahaniaethu,être d'accord,verbs,0.7
264,ffynnu,essayer,verbs,1.15
265,caniatáu,réfuter,verbs,0.25
266,dug,république,nouns,0.35
267,deffro,ronfler,verbs,0.75
268,gair,page,nouns,1.55
269,tudalen,mot,nouns,1.55
270,edafedd,fil,nouns,3.75
271,staff,chanteur,nouns,0.2
272,yn uchel,doucement,adverbs,0.55
273,heulwen,pomme,nouns,0.3
274,mynd  ,permettre,verbs,0.2
275,perfformio,saluer,verbs,0.1
276,ynys,princesse,nouns,0.25
277,dinistrio,sauver,verbs,0.65
278,cerflunydd,château,nouns,0.45
279,eglwys gadeiriol,plafond,nouns,0.3
280,caled,ardu,adjectives,5.55
281,llifo,dériver,verbs,2.75
282,polyn,drapeau,nouns,1.35
283,llywydd,appareil photo,nouns,0.05
284,thema,livre,nouns,0.75
285,cadw,oublier,verbs,0.75
286,chwerthin,chanter,verbs,1.15
287,cadw,chérir,verbs,1.75
288,asteroid,étoile,nouns,2.6
289,ffrog,danse,nouns,0.6
290,tarth,nuage,nouns,3.1
291,cawod,couvent,nouns,0.1
292,noswaith,crépuscule,nouns,4.2
293,cywilydd,chanceux,adjectives,0.4
294,machlud haul,soir,nouns,3.2
295,corff,sang,nouns,1.7
296,euog,honnête,adjectives,0.65
297,ynys,marine,nouns,0.75
298,tynnu'n ôl,absorber,verbs,1.4
299,mynychu,venir,verbs,3.2
300,yn sicr,nerveux,adjectives,0.15
301,dwywaith,toujours,adverbs,0.95
302,canol,estomac,nouns,0.55
303,goruchafu,gagner,verbs,3.2
304,rhyddid,possibilité,nouns,4.75
305,aer,hélium,nouns,2.7
306,cwmwl,brume,nouns,3.33
307,llynges,armée,nouns,3.85
308,llwy,tasse,nouns,1.45
309,tystio,juger,verbs,1.35
310,asgwrn,coude,nouns,1.85
311,nofel,écrivain,nouns,1.75
312,afioneg,aéronautique,nouns,4.5
313,llaeth,jus,nouns,1.6
314,gafr,vache,nouns,1.9
315,menyw,fourrure,nouns,0.3
316,onest,malhonnête,adjectives,0.55
317,arwydd,symbole,nouns,4.95
318,dilyniant,appareil photo,nouns,0.15
319,archwilio,ignorer,verbs,0.35
320,gwely,chambre à coucher,nouns,2.5
321,brysio,se ruer,verbs,5.35
322,rhwygo,porter,verbs,0.1
323,tâl,salaire,nouns,5.1
324,argymell,accepter,verbs,0.7
325,canlyn,persuader,verbs,0.55
326,cyhuddo,juger,verbs,2.9
327,tric,taille,nouns,0.0
328,cryfder,persévérance,nouns,4.15
329,gwirod,siècle,nouns,0.05
330,eang,frais,adjectives,0.15
331,casglu,organiser,verbs,1.3
332,porth,sortie,nouns,2.65
333,gwael,solitaire,adjectives,0.6
334,theatr,film,nouns,1.75
335,gweinidogaeth,sultan,nouns,0.65
336,casglu,sauvegarder,verbs,2.5
337,amgueddfa,menthe,nouns,0.0
338,nihiliaeth,film,nouns,0.15
339,byddin,marine,nouns,3.85
340,cyfaill,compagnon,nouns,4.8
341,pêl-foli,ballon,nouns,2.2
342,mam,papa,nouns,2.25
343,yn annhebygol,amical,adverbs,0.0
344,sylw,conscience,nouns,2.9
345,cyfathrebu,conversation,nouns,4.25
346,bachgen,fils,nouns,4.15
347,meithrinfa,maternelle,nouns,4.25
348,yn ddiweddar,concrètement,adverbs,0.15
349,cydymaith,copain,nouns,4.8
350,nenfwd,toit,nouns,4.4
351,tad,fille,nouns,1.5
352,gorffen,rivaliser,verbs,0.1
353,map,carré,nouns,0.45
354,yn garedig,généreusement,adverbs,2.8
355,lladd,défendre,verbs,0.95
356,afon,vallée,nouns,1.55
357,gwych,brillant,adjectives,5.15
358,presenoldeb,gagnant,nouns,0.25
359,injan,piston,nouns,2.9
360,mwynhau,divertir,verbs,1.05
361,wisgi,alcool,nouns,2.9
362,sblash,viscosité,nouns,0.3
363,te,citron,nouns,1.15
364,artiffisial,faux,adjectives,5.0
365,ar frys,rapidement,adverbs,4.7
366,gwellt,femme,nouns,0.0
367,fel arfer,anormalement,adverbs,0.9
368,addysgu,enseigner,verbs,4.3
369,gwlychu,réduire,verbs,0.05
370,bysellfwrdd,lumière,nouns,0.1
371,archwilio,enquêter,verbs,3.7
372,gogledd,ouest,nouns,1.8
373,arwres,héros,nouns,4.25
374,mynachlog,douche,nouns,0.1
375,bwrdd,coucher de soleil,nouns,0.0
376,siwr,confiant,adjectives,5.1
377,llwybr,tunnel,nouns,1.55
378,cyfarch,accomplir,verbs,0.1
379,coginio,perdre,verbs,0.05
380,cryf,fier,adjectives,1.25
381,gwydr,cristal,nouns,2.9
382,cinio,repas,nouns,3.65
383,heb ei ddefnyddio,nouveau,adjectives,4.4
384,negyddol,jamais,adjectives,1.0
385,ymosodol,grossier,adjectives,1.7
386,mamfwrdd,carte graphique,nouns,3.1
387,yn fras,évidemment,adverbs,0.65
388,yn heddychlon,fièrement,adverbs,0.5
389,heulwen,rayon,nouns,2.7
390,gwastraffu,inquiéter,verbs,0.15
391,dyn,tombeur,nouns,1.3
392,canu,flotter,verbs,0.1
393,meddwl,décider,verbs,2.3
394,twr,cloche,nouns,0.95
395,dynion,fraternité,nouns,1.45
396,dysgu,punir,verbs,0.4
397,ysgwydd,bras,nouns,2.4
398,rhagolwg,révision,nouns,0.5
399,concwest,bataille,nouns,3.0
400,diflas,tranchant,adjectives,0.15
401,lluosi,ajouter,verbs,2.45
402,ffwr,pistolet,nouns,0.1
403,emyn,bible,nouns,0.65
404,mainc,chaise,nouns,3.3
405,ffrind,copain,nouns,5.8
406,dadlau,persuader,verbs,1.25
407,yn gryf,officiellement,adverbs,0.3
408,hafaliad,formule,nouns,4.3
409,gwresogydd,parapluie,nouns,0.25
410,rhad,bon marché,adjectives,4.95
411,sudd,milk-shake,nouns,1.85
412,dychmygu,feindre,verbs,1.75
413,cadair,tabouret,nouns,3.55
414,yn afresymol,injustement,adverbs,3.2
415,gwael,fier,adjectives,0.35
416,yn naturiol,bizarrement,adverbs,0.8
417,yn syml,apparemment,adverbs,0.95
418,dianc,trouver,verbs,0.35
419,trychineb,mort,nouns,2.25
420,ystafell wely,estomac,nouns,0.05
421,cul,long,adjectives,1.05
422,beic,revêtement,nouns,0.2
423,ymosodiad,blitz,nouns,3.1
424,rheoli,souris,nouns,0.0
425,pêl,raquette,nouns,1.6
426,hyfforddiant,bourse d'étude,nouns,1.6
427,twf,engrais,nouns,1.45
428,diflas,fatigué,adjectives,1.15
429,heb benderfynu,neutre,adjectives,3.3
430,rheiddiadur,capteur,nouns,0.6
431,mwd,saleté,nouns,4.1
432,derbyn,donner,verbs,0.8
433,dysgu,oublier,verbs,0.9
434,mae'n debyg,simplement,adverbs,0.95
435,senedd,constitution,nouns,1.65
436,basilica,mosaïque,nouns,0.75
437,yn realistig,récemment,adverbs,0.15
438,oedran,beauté,nouns,0.8
439,casglu,assister,verbs,0.45
440,beiddgar,fier,adjectives,1.9
441,digwyddiad,collecte de fonds,nouns,1.75
442,pêl,gant,nouns,0.75
443,soffa,baseball,nouns,0.05
444,awyr,rêve,nouns,0.5
445,chwim,vite,adjectives,5.35
446,beirniadaeth,dispute,nouns,2.2
447,anghwrtais,bruyant,adjectives,0.95
448,diymhongar,pur,adjectives,1.45
449,ufuddhau,punir,verbs,1.0
450,anhygoel,sale,adjectives,0.35
451,rhoi,permettre,verbs,1.25
452,dosbarthu,prendre,verbs,0.6
453,sglodion,curseur,nouns,0.1
454,gadael,apparaître,verbs,0.15
455,weithiau,n'importe quand,adverbs,0.4
456,angor,bateau,nouns,1.55
457,gwellt,tâche,nouns,0.0
458,orthodontydd,dentiste,nouns,4.4
459,yn realistig,idéalement,adverbs,1.35
460,pledio,demander,verbs,2.4
461,taro,attirer,verbs,0.55
462,ymlid,suivre,verbs,2.2
463,yn ofalus,prudemment,adverbs,3.2
464,eang,étroit,adjectives,0.6
465,yn wreiddiol,créativement,adverbs,0.85
466,hurt,dense,adjectives,0.05
467,hysbysu,reconnaître,verbs,1.0
468,da,connu,adjectives,0.65
469,cyhuddo,reprocher,verbs,4.9
470,cymryd,livrer,verbs,0.6
471,treisgar,doux,adjectives,0.65
472,doniol,triste,adjectives,0.6
473,dynwared,représenter,verbs,2.5
474,amau,arrêter,verbs,0.85
475,braich,branche,nouns,1.45
476,ap,galaxie,nouns,0.1
477,weithiau,sûrement,adverbs,0.65
478,car,calèche,nouns,4.65
479,dod,assister,verbs,3.2
480,mynach,croix,nouns,1.25
481,byw,survivre,verbs,3.9
482,tebyg,ressemblant,adjectives,5.1
483,dinistrio,faire,verbs,0.75
484,dillad,tiroir,nouns,1.0
485,cyflawni,gagner,verbs,1.9
486,cydnabod,notifier,verbs,1.0
487,arian,capital,nouns,3.75
488,stori,sujet,nouns,1.5
489,deiet,pomme,nouns,0.95
490,amlwg,confidentiel,adjectives,0.4
491,ffaith,perspicacité,nouns,0.9
492,dod yn,sembler,verbs,1.45
493,mawr,grand,adjectives,3.8
494,cysylltu,séparer,verbs,0.8
495,enillydd,présence,nouns,0.25
496,dyffryn,rivière,nouns,1.55
497,pêl,canon,nouns,0.75
498,clun,lèvre,nouns,0.65
499,sy'n dod i mewn,extraverti,adjectives,0.2
500,gwneud,se produire,verbs,1.25
501,fel mater o drefn,normalement,adverbs,3.6
502,trychineb,accident,nouns,4.05
503,matrics,molécule,nouns,0.35
504,sioe,mathématicien,nouns,0.1
505,efelychiad,robotique,nouns,0.9
506,darn,aéroport,nouns,0.1
507,ffres,nouveau,adjectives,4.0
508,coron,clé,nouns,0.05
509,llyncu,siroter,verbs,2.4
510,balchder,audacieux,adjectives,1.9
511,blaengroen,circoncision,nouns,1.6
512,bregus,frigide,adjectives,0.3
513,disgleirdeb,étoile,nouns,1.2
514,darganfod,disparaître,verbs,0.25
515,gwacáu,déterminer,verbs,0.2
516,cwmwl,fenêtre,nouns,0.4
517,hysteria,désarroi,nouns,2.1
518,wagen,récipient,nouns,0.2
519,yn bwysig,sérieusement,adverbs,2.0
520,bydiaeth,visa,nouns,0.7
521,llidiog,hésitant,adjectives,0.45
522,rabi,enseignant,nouns,2.4
523,yn amlwg,sûrement,adverbs,3.1
524,tasg,île,nouns,0.05
525,curo,gagner,verbs,4.05
526,clyfar,sournois,adjectives,1.3
527,llyfr,dissertation,nouns,1.0
528,dod yn,organiser,verbs,0.15
529,pryf sidan,chenille,nouns,2.85
530,goroesi,vivre,verbs,3.9
531,reis,garçon,nouns,0.05
532,cyhoeddi,informer,verbs,4.95
533,minc,fourrure,nouns,3.15
534,niwroseicoleg,parapsychologie,nouns,2.3
535,cracio,casser,verbs,3.25
536,caffael,joindre,verbs,0.7
537,cath,lion,nouns,2.55
538,enillydd,champion,nouns,5.3
539,mewnwelediad,fait,nouns,0.9
540,diffinio,clarifier,verbs,3.65
541,dŵr,sacre,nouns,0.25
542,yn ddiffuant,généralement,adverbs,0.4
543,bowliwr,bowling,nouns,1.5
544,mynnu,réprimander,verbs,0.6
545,mawr,national,adjectives,0.45
546,anwybyddu,éviter,verbs,3.35
547,tywysoges,île,nouns,0.25
548,dal,terminer,verbs,0.75
549,eliffant,dinosaure,nouns,0.95
550,môr,océan,nouns,4.4
551,cred,opinion,nouns,4.35
552,barnwr,magistrat,nouns,4.7
553,atodiad,suffixe,nouns,3.8
554,dadlau,assister,verbs,0.55
555,yn anhygoel,grandement,adverbs,1.5
556,cymysg,vieux,adjectives,0.15
557,dwys,difficile,adjectives,1.25
558,anghwrtais,agressif,adjectives,1.7
559,bowlen,queue,nouns,0.05
560,darllen,mordre,verbs,0.0
561,rheolwr,chef,nouns,4.15
562,portreadu,imiter,verbs,2.5
563,asgwrn,bras,nouns,1.9
564,yn gynnil,calmement,adverbs,1.1
565,colli,cuisiner,verbs,0.05
566,patholeg,hématologie,nouns,2.2
567,wal,château,nouns,1.0
568,stoc,actif,nouns,3.7
569,lindys,ver à soie,nouns,2.85
570,bedd,réinhumation,nouns,1.65
571,anarferol,rare,adjectives,4.75
572,cyferbyn,unique,adjectives,0.25
573,pennod,nuit,nouns,0.1
574,priodol,formel,adjectives,1.2
575,twrci,oiseau,nouns,3.1
576,pen,ongle,nouns,0.65
577,anghyfreithlon,légitime,adjectives,0.7
578,beic,chambre à coucher,nouns,0.05
579,proffwyd,prêtre,nouns,1.95
580,drud,timide,adjectives,0.1
581,cig,lard,nouns,3.05
582,corff,sous-vêtement,nouns,0.95
583,cath,chien,nouns,1.8
584,erfyn,emprunter,verbs,0.9
585,cwch,ancre,nouns,1.55
586,brawd,fils,nouns,1.7
587,ffilm,nihilisme,nouns,0.15
588,danfon,assister,verbs,0.25
589,prin,inhabituel,adjectives,4.75
590,yn bendant,sûrement,adverbs,5.95
591,dewis,veine,nouns,0.25
592,band,orchestre,nouns,3.35
593,betio,parier,verbs,5.65
594,braf,cruel,adjectives,0.55
595,drws,ouverture,nouns,3.6
596,dosbarthu,porter,verbs,3.7
597,ffon reoli,radar,nouns,0.15
598,eginblanhigyn,feuille,nouns,1.3
599,nerf,corps,nouns,0.95
600,pennu,évacuer,verbs,0.2
601,siwmper,coton,nouns,1.05
602,cyntedd,salle de cours,nouns,0.75
603,sefyllfa,circonstance,nouns,5.25
604,car,réservoir,nouns,1.1
605,diferu,verser,verbs,1.95
606,gwisgo,déchirer,verbs,0.1
607,bricsen,mur,nouns,1.7
608,tatws,beurre,nouns,0.95
609,ystafell ddosbarth,couloir,nouns,0.75
610,dwyn,prendre,verbs,2.85
611,ymadael,séparer,verbs,1.8
612,ysgafn,moyen,adjectives,0.5
613,creu,faire,verbs,5.05
614,cyd-beilot,flic,nouns,0.45
615,baled,chanson,nouns,4.5
616,crebachu,croître,verbs,0.85
617,yn ddibynadwy,passivement,adverbs,0.45
618,beibl,hymne,nouns,0.65
619,anwybodus,uniforme,adjectives,0.5
620,cyfarfod,saluer,verbs,1.8
621,crwydro,parcourir,verbs,3.3
622,baner,mât,nouns,1.35
623,rhan,chapitre,nouns,4.15
624,gorlethu,étouffer,verbs,2.75
625,tywydd,neige,nouns,1.6
626,ysbyty,lit,nouns,1.15
627,anrheg,écrivain,nouns,0.25
628,siriol,heureux,adjectives,5.05
629,melys,électrique,adjectives,0.2
630,yn drist,follement,adverbs,0.45
631,rhoi,mettre,verbs,1.55
632,enwaediad,prépuce,nouns,1.6
633,ynys,tâche,nouns,0.05
634,ymddengys,devenir,verbs,1.45
635,lleihau,mouiller,verbs,0.05
636,ffrio,cuisiner,verbs,2.7
637,arfordir,canonnière,nouns,0.25
638,cadw,posséder,verbs,2.95
639,maneg,balle,nouns,0.75
640,pont,voiture,nouns,0.45
641,anatomeg,biologie,nouns,3.1
642,cadlong,cuirassé,nouns,4.55
643,egni,batterie,nouns,3.35
644,cangen,bras,nouns,1.45
645,swydd,outil,nouns,0.4
646,plismon,politicien,nouns,0.9
647,concwest,hymne,nouns,0.4
648,dianc,fuir,verbs,5.45
649,ynad,juge,nouns,4.7
650,yn gynnil,bruyamment,adverbs,0.65
651,talu,acheter,verbs,3.45
652,rhedeg,chevaucher,verbs,0.8
653,drwg,immoral,adjectives,3.8
654,athro,ami,nouns,1.0
655,yn emosiynol,tristement,adverbs,2.25
656,magma,volcan,nouns,2.3
657,hapus,enjoué,adjectives,5.05
658,criced,supporter,nouns,0.4
659,partner,type,nouns,1.4
660,newydd,frais,adjectives,4.0
661,niwrosis,esprit,nouns,1.45
662,diogel,fastidieux,adjectives,0.2
663,cyfrifiadur,disque,nouns,1.55
664,car,bateau,nouns,1.45
665,delta,mer,nouns,1.7
666,trist,marrant,adjectives,0.6
667,teimlo,croire,verbs,2.9
668,pobl,pistolet,nouns,0.25
669,geiriadur,définition,nouns,2.4
670,yn oddefol,sérieusement,adverbs,0.45
671,gweriniaeth,duc,nouns,0.35
672,dwyn,donner,verbs,0.75
673,meddal,violent,adjectives,0.65
674,breuddwyd,ciel,nouns,0.5
675,lleng,armée,nouns,3.6
676,bacwn,viande,nouns,3.05
677,byd,globe,nouns,4.85
678,gwybod,oublier,verbs,0.85
679,corwynt,orage,nouns,3.4
680,losin,cannelle,nouns,1.15
681,cerbyd,voiture,nouns,4.65
682,yn ofalus,fermement,adverbs,1.8
683,cariad,compagnon,nouns,3.95
684,asgwrn,cheville,nouns,1.8
685,tiwtora,éduquer,verbs,4.3
686,awdur,don,nouns,0.25
687,gair,littérature,nouns,1.8
688,llywodraethwr,empereur,nouns,3.3
689,cymryd,voler,verbs,2.85
690,argyfwng,accident,nouns,2.35
691,gweithiwr,employeur,nouns,1.35
692,busnes,entreprise,nouns,3.95
693,holi,exiger,verbs,0.45
694,crisial,verre,nouns,2.9
695,tröedigaeth,altitude,nouns,0.2
696,rhedwr,athlète,nouns,3.35
697,gwahardd,arrêter,verbs,3.2
698,wedi gorffen,achevé,adjectives,5.7
699,tric,bain,nouns,0.0
700,tywynnu,luire,verbs,5.15
701,yn iawn,médiocre,adjectives,2.05
702,yn agored i niwed,facile,adjectives,0.55
703,cyhoeddi,déclarer,verbs,5.25
704,lemwn,thé,nouns,1.15
705,yn amlwg,certainement,adverbs,2.95
706,cadw,perdre,verbs,0.95
707,doler,millionnaire,nouns,1.35
708,hael,amical,adjectives,2.1
709,braich,épaule,nouns,2.4
710,yn lleol,évidemment,adverbs,0.15
711,corn,voiture,nouns,1.15
712,byddin,légion,nouns,3.6
713,fel arfer,sincèrement,adverbs,0.4
714,stori,crayon,nouns,0.35
715,credu,savoir,verbs,2.5
716,llygad,larme,nouns,1.35
717,poenus,honteux,adjectives,0.8
718,clyfar,stupide,adjectives,0.75
719,enillydd,objectif,nouns,0.7
720,rhyddhau,presser,verbs,0.25
721,yn amlwg,discrètement,adverbs,0.55
722,sychu,détériorer,verbs,0.5
723,piston,moteur,nouns,2.9
724,hael,agréable,adjectives,1.65
725,mynd i mewn,devoir,verbs,0.25
