ID,CYM,EST,PoS,score
364,tŷ,küün,nouns,0.9
365,digwydd,tegema,verbs,0.8
366,dannedd,luu,nouns,1.45
367,iris,atsetüülkoliin,nouns,0.4
368,cael,kaotama,verbs,0.15
369,gwyliwr,mees,nouns,0.95
370,agwedd,kindlus,nouns,1.0
371,gwyliadwraeth,seelik,nouns,0.1
372,bachgen,põngerjas,nouns,2.3
373,mynychu,kohale jõudma,verbs,0.8
374,protein,käepide,nouns,0.0
375,golygyddol,uudised,nouns,0.85
376,cinio,supp,nouns,1.4
377,duw,kurat,nouns,1.0
378,mwslim,piiskop,nouns,0.6
379,traddodiad,käsitöö,nouns,0.75
380,twnnel,rada,nouns,0.95
381,gwaed,üdi,nouns,0.9
382,ffêr,aken,nouns,0.0
383,cot,riided,nouns,1.8
384,yn union,ebatäpselt,adverbs,0.25
385,creu,tegema,verbs,4.2
386,gwrthbrofi,lubama,verbs,0.0
387,gwerthfawr,laisk,adjectives,0.15
388,dyn,täkk,nouns,1.05
389,cornel,ala,nouns,0.7
390,dillad,kapp,nouns,0.85
391,dug,vabariik,nouns,0.4
392,bachgen,riis,nouns,0.05
393,danfon,minema,verbs,0.9
394,hydoddi,ühendama,verbs,1.2
395,planed,täht,nouns,2.3
396,steil,elegants,nouns,2.8
397,yn gadarnhaol,tõenäoliselt,adverbs,0.9
398,rhoi,hoidma,verbs,0.3
399,ennill,domineerima,verbs,2.6
400,maer,president,nouns,1.55
401,garw,jäik,adjectives,1.15
402,cytoplasm,number,nouns,0.05
403,dewis,arvamus,nouns,1.1
404,mwtant,sotsiobioloogia,nouns,0.45
405,pobl,dollar,nouns,0.05
406,dosbarthu,vastu võtma,verbs,0.35
407,gwaed,viirus,nouns,0.85
408,cymryd,ära ütlema,verbs,0.35
409,campws,ülikool,nouns,1.6
410,dolen,vöö,nouns,0.5
411,peiriant,arvuti,nouns,1.95
412,ffôn symudol,telefon,nouns,4.25
413,ochr,tipp,nouns,0.65
414,cais,taotleja,nouns,1.6
415,trosedd,pettus,nouns,3.0
416,profi,seletama,verbs,1.85
417,clo,võti,nouns,1.3
418,hyder,suhtumine,nouns,1.0
419,yn anhygoel,tihedalt,adverbs,0.2
420,dwyn,röövima,verbs,3.6
421,gwneud,lõpetama,verbs,0.65
422,bargen,penn,nouns,0.5
423,het,mantel,nouns,0.95
424,poster,paber,nouns,1.4
425,digio,solvama,verbs,2.95
426,gwasgu,haarama,verbs,1.45
427,ysgubor,maja,nouns,0.9
428,de,põhi,nouns,1.0
429,difrifol,naljakas,adjectives,0.45
430,arferol,veider,adjectives,0.3
431,yn gynnil,rahulikult,adverbs,1.3
432,tasg,maantee,nouns,0.1
433,gadael,tegema,verbs,0.65
434,sinamon,komm,nouns,0.8
435,diog,hõivatud,adjectives,0.15
436,log,puitmaterjal,nouns,3.15
437,uno,siduma,verbs,3.1
438,newydd,iidne,adjectives,0.2
439,swltan,ministeerium,nouns,0.25
440,eliffant,dinosaurus,nouns,0.5
441,cefnder,onu,nouns,1.25
442,meddyg,arst,nouns,4.8
443,hysbysu,tunnistama,verbs,1.0
444,pennaeth,linnapea,nouns,1.65
445,dillad,sahtel,nouns,0.8
446,lluosiad,jagamine,nouns,1.1
447,cymdeithas,kultuur,nouns,1.85
448,yn fras,usaldusväärselt,adverbs,0.15
449,ffenestr,uks,nouns,1.0
450,anodd,raske,adjectives,4.8
451,atom,molekul,nouns,1.65
452,poblogaeth,rahvas,nouns,2.55
453,digon,küllus,nouns,4.35
454,pwerus,nõrk,adjectives,0.1
455,iâ,vesi,nouns,2.1
456,taclus,puhas,adjectives,2.0
457,braich,lihas,nouns,1.0
458,yn annhebygol,sõbralik,adverbs,0.0
459,corn,auto,nouns,0.7
460,anarferol,haruldane,adjectives,4.35
461,dafad,lambatall,nouns,3.65
462,finegr,salat,nouns,0.45
463,cwyno,vaidlema,verbs,1.1
464,menyw,teksad,nouns,0.2
465,bricsen,sein,nouns,1.2
466,dannedd,haamer,nouns,0.1
467,drws,kell,nouns,0.4
468,geiriadur,definitisioon,nouns,1.85
469,drysu,õppima,verbs,0.3
470,archwilio,avastama,verbs,2.5
471,nerthol,võimas,adjectives,4.7
472,yn rheolaidd,aeg-ajalt,adverbs,1.05
473,cadw,kaotama,verbs,0.4
474,bioleg,biotoop,nouns,0.85
475,taliad,münt,nouns,1.05
476,bwydlen,tellimus,nouns,0.8
477,gwlychu,vähendama,verbs,0.25
478,gorllewin,põhi,nouns,1.05
479,siwmper,jakk,nouns,1.75
480,pryf sidan,tõuk,nouns,2.35
481,rhyddhau,püüdma,verbs,0.95
482,hedfaniad,lennundus,nouns,2.45
483,cyfathrebu,palvetama,verbs,0.7
484,twrci,kana,nouns,1.75
485,cyflawni,saavutama,verbs,3.2
486,cynorthwyo,assisteerima,verbs,5.15
487,tŷ,korter,nouns,2.05
488,chwerthin,nutma,verbs,0.65
489,asgwrn cefn,kael,nouns,1.25
490,llys,kohtunik,nouns,1.25
491,ffisigwr,doktor,nouns,4.8
492,tasg,saar,nouns,0.0
493,cymyl,udu,nouns,2.35
494,cyhyrau,keel,nouns,1.3
495,corff,rind,nouns,1.45
496,cynhwysor,diood,nouns,1.0
497,cyhyr,käsi,nouns,1.0
498,brawdgarwch,mehed,nouns,1.1
499,proffwydo,määrama,verbs,1.35
500,gwraig,ema,nouns,2.05
501,creu,sukelduma,verbs,0.15
502,siwr,veendunud,adjectives,5.4
503,ymddwyn,alluma,verbs,1.3
504,ysbyty,voodi,nouns,0.95
505,ysgwydd,pea,nouns,1.0
506,dŵr,jää,nouns,2.1
507,nôl rhywbeth,ostma,verbs,1.4
508,parêd,rahvahulk,nouns,1.8
509,gweiddi,kiljuma,verbs,3.6
510,tymestl,tekk,nouns,0.25
511,penderfynu,kohut mõistma,verbs,2.65
512,byth,heldelt,adverbs,0.1
513,llaw,ranne,nouns,1.75
514,gwirod,vein,nouns,1.85
515,eira,laviin,nouns,1.4
516,twp,loll,adjectives,5.15
517,heulwen,kiir,nouns,1.9
518,methiant,pankrot,nouns,1.3
519,swydd,tööriist,nouns,0.65
520,stopio,hoiatama,verbs,0.8
521,coleg,klass,nouns,1.25
522,osôn,atmosfäär,nouns,1.95
523,rhyfedd,normaalne,adjectives,0.3
524,cig eidion,liha,nouns,2.9
525,yn ofalus,ettevaatlikult,adverbs,3.65
526,myfyrio,mõtlema,verbs,4.15
527,llenwi,põlgama,verbs,0.0
528,pren,tekk,nouns,0.05
529,gweithiwr,kontor,nouns,0.7
530,gadael,välja tõstma,verbs,0.7
531,brecwast,õhtueine,nouns,1.15
532,trefnu,koguma,verbs,0.6
533,cyfarwyddwr,boss,nouns,3.45
534,penodi,valima,verbs,2.7
535,cadach,riided,nouns,1.5
536,gafr,lehm,nouns,1.15
537,aflonydd,noor,adjectives,0.7
538,cywilydd,õnneseen,adjectives,0.05
539,sinema,ooper,nouns,0.85
540,ffactorio,lagunemine,nouns,1.2
541,cyfnos,õhtu,nouns,3.9
542,gitâr,viiul,nouns,1.15
543,rheolaeth,amet,nouns,0.95
544,cynfas,lennuk,nouns,0.15
545,casglu,raputama,verbs,0.05
546,darganfod,põgenema,verbs,0.25
547,cred,lill,nouns,0.05
548,rhuglen,lärm,nouns,1.1
549,croes,munk,nouns,0.8
550,bàth,palk,nouns,0.0
551,stryd,auto,nouns,0.75
552,dŵr,põud,nouns,0.35
553,actor,hulktahukas,nouns,0.15
554,anarchiaeth,kaos,nouns,3.65
555,ffenestr,pahkluu,nouns,0.0
556,llwybr,tunnel,nouns,0.95
557,yn ansicr,hirmunud,adjectives,2.3
558,sgïo,lumelaud,nouns,1.95
559,cadair,diivan,nouns,2.15
560,cyflawni,edu saavutama,verbs,4.3
561,cymryd,kätte toimetama,verbs,0.5
562,brwnt,odav,adjectives,0.65
563,dec,hiir,nouns,0.15
564,hen,värske,adjectives,0.1
565,disgyn,vähenema,verbs,0.9
566,gorchuddio,kaitsma,verbs,1.15
567,derbyn,vastu võtma,verbs,3.6
568,ystadegau,tennis,nouns,0.2
569,ŷd,mais,nouns,1.55
570,perllan,jaanalind,nouns,0.0
571,gwaelod,pool,nouns,1.0
572,cwmwl,järv,nouns,0.35
573,cryfder,vägi,nouns,4.0
574,bòs,direktor,nouns,3.45
575,busnes,ühing,nouns,1.95
576,dinistrio,lagunema,verbs,1.6
577,corachaidd,väiksevõitu,adjectives,3.3
578,asteroid,täht,nouns,2.1
579,cymryd,kandma,verbs,0.9
580,wedi eu cyfuno,segatud,adjectives,3.35
581,tramgwyddo,heidutama,verbs,1.25
582,cwpwrdd,riided,nouns,0.85
583,miniog,sile,adjectives,0.55
584,cariad,seltsiline,nouns,2.85
585,ar ôl,enne,adverbs,0.35
586,glob,maailm,nouns,4.2
587,caffael,leidma,verbs,1.6
588,batri,energia,nouns,2.3
589,llwyddo,võitma,verbs,4.15
590,ymwrthod,suruma,verbs,0.1
591,erfyn,küsima,verbs,2.85
592,yn heddychlon,kaootiliselt,adverbs,0.25
593,bàth,abikaasa (naine),nouns,0.0
594,fforddiadwy,odav,adjectives,4.55
595,cystadlu,lõpetama,verbs,0.2
596,chwilio,uitama,verbs,1.75
597,algebra,tehe,nouns,0.9
598,drws,korporatsioon,nouns,0.15
599,gorchuddio,matma,verbs,0.8
600,maint,trikk,nouns,0.05
601,amgylchedd,mõõk,nouns,0.0
602,yn sicr,selgelt,adverbs,2.75
603,diddanu,nautima,verbs,1.8
604,encilio,lahkuma,verbs,2.6
605,pryd bwyd,õhtueine,nouns,3.25
606,dermatitis,ekseem,nouns,3.3
607,pwnc,lugu,nouns,1.55
608,tymer,arst,nouns,0.1
609,yn gyfan gwbl,margniaalselt,adverbs,0.65
610,adfer,tooma,verbs,0.1
611,gadael,välja tõstma,verbs,0.7
612,cyfoeth,vaesus,nouns,0.6
613,cyfuno,segunema,verbs,2.8
614,diymhongar,paindlik,adjectives,0.55
615,cwrw,šampus,nouns,1.3
616,arferol,erinev,adjectives,0.75
617,heb ei ddefnyddio,uus,adjectives,4.3
618,dod,osalema,verbs,2.4
619,dal,saama,verbs,1.8
620,twyn,kõrb,nouns,1.1
621,cyfiawnhau,kinnitama,verbs,1.05
622,cyfathrebu,keel,nouns,1.85
623,niwtral,rahulik,adjectives,1.75
624,losin,kaneel,nouns,0.8
625,dydd  ,koidik,nouns,1.35
626,hedyn,veski,nouns,0.65
627,ffroenell,vedelik,nouns,0.6
628,balch ,pöörane,adjectives,0.3
629,basged,pall,nouns,0.45
630,cul,räpane,adjectives,0.25
631,dysgu,kuulama,verbs,1.2
632,ardderchog,halb,adjectives,0.05
633,digid,tsütoplasma,nouns,0.05
634,deallusrwydd,tarkus,nouns,4.05
635,byth,negatiivne,adjectives,0.65
636,cyfrifiadur,masin,nouns,1.95
637,ystafell ymolchi,köök,nouns,1.1
638,euog,häbenev,adjectives,2.0
639,wedi blino,näljane,adjectives,0.55
640,niwed,valu,nouns,1.9
641,partner,kutt,nouns,1.45
642,rhoi,panema,verbs,0.95
643,dewin,kaabel,nouns,0.0
644,brwydro,hammustama,verbs,0.6
645,dod i feddiant,hankima,verbs,3.85
646,llygoden,konteiner,nouns,0.2
647,ewythr,nõbu,nouns,1.25
648,dugiaeth,printskond,nouns,2.3
649,blodyn,mugul,nouns,0.65
650,aer,molekul,nouns,0.7
651,ystafell,hoone,nouns,1.4
652,ysglyfaeth,jumal,nouns,0.1
653,heb fod yn ddrud,odav,adjectives,4.65
654,oeraidd,habras,adjectives,0.35
655,cadw,laenama,verbs,0.35
656,disg,laadija,nouns,0.15
657,braich,õlg,nouns,1.65
658,fel arfer,harva,adverbs,0.35
659,yn ofalus,ohtlikult,adverbs,0.25
660,diffiniad,sõnaraamat,nouns,1.85
661,crochenwaith,keraamika,nouns,3.7
662,gludiog,räpane,adjectives,1.3
663,deallusrwydd,loogika,nouns,2.15
664,balch ,tugev,adjectives,0.75
665,dafad,kari,nouns,1.25
666,ceiniog,makse,nouns,1.05
667,gwydn,kõva,adjectives,2.9
668,calon,operatsioon,nouns,0.4
669,lloches,hütt,nouns,1.6
670,egluro,arutama,verbs,1.95
671,afioneg,lennundus,nouns,3.7
672,cartref,osariik,nouns,0.3
673,crwm,sirge,adjectives,0.35
674,mynnu,noomima,verbs,0.45
675,persli,muffin,nouns,0.25
676,yn gyfrinachgar,otseloomulikult,adverbs,0.25
677,degawd,sajand,nouns,0.95
678,cymryd rhan,ütlema,verbs,0.35
679,canon,kuul,nouns,1.0
680,gorynys,saar,nouns,2.7
681,maint,ulatus,nouns,3.1
682,cyflogwr,töötaja,nouns,1.05
683,pwerus,vägev,adjectives,4.7
684,gwisg,ball,nouns,0.75
685,yn iawn,keskpärane,adjectives,2.85
686,ceryddu,nõudma,verbs,0.45
687,ufuddhau,karistama,verbs,0.5
688,hwyliau,viha,nouns,1.55
689,argraff,uskumus,nouns,1.3
690,cytundeb,pakt,nouns,5.05
691,dod â,taastama,verbs,0.1
692,misol,iganädalane,adjectives,1.05
693,cwpan,klaaspurk,nouns,1.15
694,ceg,huul,nouns,2.45
695,newydd,hiljutine,adjectives,3.45
696,brecwast,peekon,nouns,0.75
